"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q1",4.2591935483871,"Down",27639000,-23910000,3729000,-9439000,-8057000,-1382000,-5710000,-32000,-32000,-5742000,-5742000,-5742000,-5742000,-5742000,-5742000,18086000,18086000,17535000,17535000,12868000,1697000,1697000,50186000,84394000,89000,89000,84483000,134669000,17052000,13065000,3987000,1043000,1043000,18130000,971000,971000,975000,19105000,533088000,-417524000,115564000,115564000,134669000,-5742000,2555000,1036000,2939000,788000,-3222000,-3222000,-13000,-596000,-609000,-3043000,-3043000,-3043000,-3155000,39000,0.13492,-0.20659,-0.20775,-0.04969,-0.04264,2.76812,0.16532,0.00029,-0.24733,-0.24733,1.1905,4.97769,-0.04926,5.72013,3.1606
"12","2017_Q2",4.22190476190476,"Down",23002000,-20781000,2221000,-11273000,-9697000,-1576000,-9052000,-26000,-26000,-9078000,-9078000,-9078000,-9078000,-9078000,-9078000,11228000,11228000,17248000,17248000,15132000,1192000,1192000,44800000,82719000,97000,97000,82816000,127616000,18281000,14169000,4112000,789000,789000,19090000,1082000,1082000,1082000,20172000,534346000,-426902000,107444000,107444000,127616000,-9078000,2676000,1243000,740000,-4419000,-2146000,-2146000,-7000.00000000001,-286000,-293000,-6858000,-6858000,-6858000,-6376000,20000,0.09656,-0.39353,-0.39466,-0.08449,-0.07114,2.34678,0.18774,0.00016,-0.39033,-0.39033,0.98901,4.61975,-0.08363,1.75784,1.23818
"13","2017_Q3",4.37,"Up",25069000,-21375000,3694000,-9127000,-7418000,-1709000,-5433000,-39000,-39000,-5472000,-5472000,-5472000,-5472000,-5472000,-5472000,6951000,6951000,16492000,16492000,13255000,1343000,1343000,38041000,80523000,94000,94000,80617000,118658000,13159000,8408000,4751000,806000,806000,13977000,1335000,1335000,1335000,15312000,535720000,-432374000,103346000,103346000,118658000,-5472000,2630000,1374000,-116000,-1584000,-2685000,-2685000,-8000,0,-8000,-4277000,-4277000,-4277000,-2803000,12000,0.14735,-0.21672,-0.21828,-0.05295,-0.04612,2.72169,0.14816,1e-04,-0.23415,-0.23415,1.07274,4.42232,-0.05227,2.47556,1.27719
"14","2017_Q4",4.65888888888889,"Up",27198000,-22250000,4948000,-7978000,-6510000,-1468000,-3030000,-58000,-58000,-3088000,-3088000,-3088000,-3088000,-3088000,-3088000,7305000,7305000,17106000,17106000,13992000,1478000,1478000,39881000,78073000,84000,84000,78157000,118038000,13571000,8886000,4685000,1608000,1608000,15183000,1332000,1332000,1332000,16515000,536985000,-435462000,101523000,101523000,118038000,-3088000,2726000,1364000,51000.0000000001,1053000,-592000,-592000,-8000,-99000,-107000,354000,354000,354000,-304000,4000,0.18193,-0.11141,-0.11354,-0.03042,-0.02616,2.62669,0.16267,3e-05,-0.13173,-0.13173,1.16021,4.33077,-0.03002,24.01645,2.40957
"15","2018_Q1",4.72754098360656,"Up",36362000,-28554000,7808000,-9429000,-8002000,-1427000,-1621000,-62000,-62000,-1683000,-1683000,-1683000,-1683000,-1683000,-1683000,10694000,10694000,26764000,26764000,8915000,1289000,1289000,47662000,76067000,86000,86000,76153000,123815000,16515000,10653000,5862000,5054000,1304000,21569000,1303000,1303000,1303000,22872000,538088000,-437145000,100943000,100943000,123815000,-1683000,2721000,1109000,-1803000,344000,-695000,-695000,3746000,-6000,3740000,3389000,3389000,3389000,1100000,0,0.21473,-0.04458,-0.04628,-0.01667,-0.01359,2.20975,0.22658,0,-0.07164,-0.07164,1.54785,4.29691,-0.01646,-9.72182,6.59716
"16","2018_Q2",4.74765625,"Up",23074000,-20264000,2810000,-9560000,-7955000,-1605000,-6750000,-92000,-92000,-6842000,-6842000,-6842000,-6842000,-6842000,-6842000,9615000,9615000,20134000,20134000,9974000,1088000,1088000,40811000,73292000,83000,83000,73375000,114186000,10971000,7032000,3939000,4769000,1019000,15740000,3713000,3225000,3713000,19453000,538720000,-443987000,94733000,94733000,114186000,-6842000,3171000,1146000,127000,-2398000,-677000,-677000,2709920.71371217,1996000,1996000,-1079000,-1079000,-1079000,-3579000,-2.27373675443232e-13,0.12178,-0.29254,-0.29652,-0.07222,-0.05992,2.59282,0.20535,0,-0.29032,-0.29032,0.97908,4.01973,-0.0695,2.6865,1.42444
"17","2018_Q3",4.86777777777778,"Up",21671000,-18927000,2744000,-9599000,-7961000,-1638000,-6855000,-103000,-103000,-6958000,-6958000,-6958000,-6958000,-6958000,-6958000,7286000,7286000,20106000,20106000,12822000,1190000,1190000,41404000,71988000,79000,79000,72067000,113471000,13105000,8395000,4710000,5290000,1540000,18395000,6151000,5224000,6151000,24546000,539870000,-450945000,88925000,88925000,113471000,-6958000,2515000,1183000,-589000,-3849000,-980000,-980000,0,2500000,2500000,-2329000,-2329000,-2329000,-4340000,0,0.12662,-0.31632,-0.32107,-0.07825,-0.06132,2.25083,0.27603,0,-0.29305,-0.29305,0.91272,3.74526,-0.07318,1.6788,1.06287
"18","2018_Q4",3.38698412698413,"Down",23937000,-22408000,1529000,-7898000,-6514000,-1384000,-6369000,-163000,-163000,-6532000,-6532000,-6532000,-6532000,-6532000,-6532000,5177000,5177000,21461000,21461000,9909000,1410000,1410000,37957000,7.1e+07,75999.9999999999,75999.9999999999,71076000,109033000,11413000,7884000,3529000,7967000,2811000,19380000,6160000,5260000,6160000,25540000,540970000,-457477000,83493000,83493000,109033000,-6532000,2573000,1192000,274000,-2493000,-994000,-994000,1406000,-28000,1378000,-2109000,-2109000,-2109000,-3796000,-5.6843418860808e-14,0.06388,-0.26607,-0.27288,-0.07823,-0.05991,1.95857,0.30589,-4.2351647362715e-22,-0.27435,-0.27435,1.00539,3.50683,-0.07286,1.3638,0.81284
"19","2019_Q1",2.97180327868852,"Down",35679000,-30093000,5586000,-12172000,-10480000,-1692000,-6586000,-166000,-166000,-6752000,-14108000,-14108000,-14108000,-14108000,-14108000,3327000,3327000,25565000,25565000,7318000,1041000,1041000,37251000,61699000,73000,73000,61772000,99023000,16256000,12392000,3864000,6810000,2629000,23066000,5703000,5703000,5703000,28769000,541839000,-471585000,70254000,70254000,99023000,-14108000,2528000,11059000,607000,86000,-942000,-942000,4025000,-5019000,-994000,-1850000,-1850000,-1850000,-4058000,0,0.15656,-0.18459,-0.39541,-0.20081,-0.14247,1.61497,0.4095,0,-0.59187,-0.59187,1.49683,2.94735,-0.18574,0.81986,0.50516
"20","2019_Q2",4.53968253968254,"Up",27912000,-24194000,3718000,-9679000,-7751000,-1928000,-5961000,-41000,-41000,-6002000,-6002000,-6002000,-6002000,-6002000,-6002000,3369000,3369000,22287000,22287000,9268000,916000,916000,35840000,59648000,4633000,4633000,64281000,100121000,12801000,8571000,4230000,7880000,3579000,20681000,14764000,14764000,14764000,35445000,542263000,-477587000,64676000,64676000,100121000,-6002000,2532000,1039000,-580000,-3011000,-637000,-637000,-856000,4546000,3690000,42000,42000,42000,-3429000,-4.54747350886464e-13,0.1332,-0.21356,-0.21503,-0.0928,-0.05995,1.73299,0.54804,0,-0.25081,-0.25081,1.16637,2.70265,-0.07555,0.9825,0.56517
"21","2019_Q3",6.35953125,"Up",29533000,-26019000,3514000,-8729000,-6861000,-1868000,-5215000,-103000,-103000,-5318000,-5318000,-5318000,-5318000,-5318000,-5318000,3322000,3322000,22166000,22166000,13099000,1320000,1320000,39907000,57319000,4536000,4536000,61855000,101762000,14073000,10028000,4045000,10857000,6915000,24930000,16488000,14546000,16488000,41418000,543249000,-482905000,60344000,60344000,101762000,-5318000,2565000,1238000,2583000,1068000,-665000,-665000,-440000,-10000,-450000,-47000,-47000,-47000,-2650000,0,0.11899,-0.17658,-0.18007,-0.08813,-0.05226,1.60076,0.68636,0,-0.22048,-0.22048,1.22444,2.50186,-0.06922,1.25358,0.63701
"22","2019_Q4",6.90703125,"Up",35425000,-27683000,7742000,-9895000,-7849000,-2046000,-2153000,-136000,-136000,-2289000,-2289000,-2289000,-2289000,-2289000,-2289000,1195000,1195000,24362000,24362000,13459000,1512000,1512000,40528000,55163000,4363000,4363000,59526000,100054000,13636000,9097000,4539000,12063000,6149000,25699000,15289000,14374000,15289000,40988000,544260000,-485194000,59066000,59066000,100054000,-2289000,2554000,1310000,-5393000,-3818000,-287000,-287000,1978000,9.31322574615479e-10,1978000,-2127000,-2127000,-2127000,401000,-7.27595761418343e-12,0.21855,-0.06078,-0.06462,-0.03875,-0.02288,1.57703,0.69394,0,-0.09469,-0.09469,1.46545,2.44343,-0.03078,-2.98005,0.55504
"23","2020_Q1",8.11645161290323,"Up",46505000,-35195000,11310000,-12140000,-9575000,-2565000,-830000,-126000,-126000,-956000,-956000,-956000,-956000,-956000,-956000,3633000,3633000,32254000,32254000,8768000,1114000,1114000,45769000,53617000,4116000,4116000,57733000,103502000,20653000,12596000,8057000,9781000,5620000,30434000,14078000,14078000,14078000,44512000,545140000,-486150000,58990000,58990000,103502000,-956000,2562000,1131000,1970000,4707000,-523000,-523000,3260000,-5006000,-1746000,2438000,2438000,2438000,1732000,0,0.2432,-0.01785,-0.02056,-0.01621,-0.00924,1.50388,0.75457,0,-0.03955,-0.03955,1.92376,2.44022,-0.01308,-2.09758,4.37711
"24","2020_Q2",6.41857142857143,"Down",28419000,-22439000,5980000,-9066000,-6839000,-2227000,-3086000,-83000,-83000,-3169000,-3169000,-3169000,-3169000,-3169000,-3169000,11786000,11786000,20455000,20455000,13432000,917000,917000,46590000,51834000,4041000,4041000,55875000,102465000,12333000,8717000,3616000,5909000,4840000,18242000,13854000,13854000,13854000,32096000,559688000,-489319000,70369000,70369000,102465000,-3169000,2563000,1235000,-1982000,-1353000,-927000,-927000,-3123000,13556000,10433000,8153000,8153000,8153000,-523000,0,0.21042,-0.10859,-0.11151,-0.04503,-0.03093,2.554,0.45611,-1.73472347597681e-18,-0.12578,-0.12578,1.12799,2.79305,-0.03763,22.53537,3.81918
"25","2020_Q3",7.90984375,"Up",24641000,-21790000,2851000,-8499000,-6378000,-2121000,-5648000,-50000,-50000,-5698000,-5698000,-5698000,-5698000,-5698000,-5698000,13359000,13359000,19168000,19168000,9452000,1391000,1391000,43370000,50132000,4043000,4043000,54175000,97545000,8805000,4713000,4092000,4503000,3412000,13308000,14045000,14045000,17706000,31014000,561548000,-495017000,66531000,66531000,97545000,-5698000,2562000,1238000,9000,-1889000,-1050000,-1050000,18695000,-15052000,4512000,1573000,1573000,1573000,-3086000,3661000,0.1157,-0.22921,-0.23124,-0.08564,-0.05841,3.25894,0.46616,0.03753,-0.21484,-0.21484,0.92908,2.50853,-0.06764,3.14258,1.71707
"26","2020_Q4",13.1471875,"Up",24195000,-22295000,1900000,-8604000,-6516000,-2088000,-6704000,-49000,-49000,-6753000,-6753000,-6753000,-6753000,-6753000,-6753000,11314000,11314000,20072000,20072000,9427000,1595000,1595000,42408000,48099000,3790000,3790000,51889000,94297000,12435000,8354000,4081000,3331000,2275000,16133000,13979000,13979000,17277000,33410000,562657000,-501770000,60887000,60887000,94297000,-6753000,2545000,1413000,1255000,-1540000,-623000,-623000,27000,-27000,118000,-2045000,-2045000,-2045000,-4159000,3665000,0.07853,-0.27708,-0.27911,-0.11091,-0.07161,2.62865,0.54872,0.03887,-0.25259,-0.25259,0.90501,2.27746,-0.08599,1.83914,1.14096
"27","2021_Q1",21.0932786885246,"Up",23018000,-19155000,3863000,-9994000,-7701000,-2293000,-6131000,-58000,-58000,-6189000,-6189000,-6189000,-6189000,-6189000,-6189000,16496000,16496000,15698000,15698000,13099000,1830000,1830000,47123000,46739000,3562000,3562000,50301000,97424000,9235000,5351000,3884000,3083000,2037000,13927000,13586000,13586000,15645000,29572000,575811000,-507959000,67852000,67852000,97424000,-6189000,2528000,2423000,-3904000,-5142000,-816000,-816000,9646000,-180000,11140000,5182000,5182000,5182000,-3603000,3668000,0.16783,-0.26636,-0.26888,-0.09121,-0.06353,3.38357,0.43583,0.03765,-0.22871,-0.22871,0.85063,2.50747,-0.07272,3.56037,2.09232
"28","2021_Q2",20.405873015873,"Down",28097000,-24141000,3956000,-10131000,-7689000,-2442000,-6175000,-75000,-75000,-6250000,-6250000,-6250000,-6250000,-6250000,-6250000,17219000,17219000,20668000,20668000,10847000,1152000,1152000,49886000,45747000,4241000,4241000,49988000,99874000,12274000,6968000,5306000,7775000,2061000,22903000,9511000,9511000,10328000,33231000,580852000,-514209000,66643000,66643000,99874000,-6250000,2638000,1141000,598999.999999999,-1872000,-1470000,-1470000,156195.145404261,3602000,4065000,723000,723000,723000,-3537000,3671000,0.1408,-0.21977,-0.22244,-0.09378,-0.06258,2.17814,0.49864,0.03676,-0.22335,-0.22335,1.00406,2.38151,-0.0783,3.83036,2.19401
"29","2021_Q3",39.64140625,"Up",31670000,-27090000,4580000,-11194000,-8585000,-2609000,-6614000,-55000,-55000,-6669000,-6669000,-6669000,-6669000,-6669000,-6669000,102257000,102257000,19366000,19366000,9438000,2071000,2071000,133132000,46085000,13007000,13007000,59092000,192224000,16489000,9522000,6967000,7996000,1870000,28160000,16916000,16916000,16916000,45076000,668026000,-520878000,147148000,147148000,192224000,-6669000,2104000,1334000,4574000,1343000,-2409000,-2409000,-22549063.0710544,10874000,86104000,85038000,85038000,85038000,-4510000,3675000,0.14462,-0.20884,-0.21058,-0.04532,-0.03469,4.7277,0.30633,0.01912,-0.23832,-0.23832,1.13174,5.25839,-0.03976,21.85854,14.90505
"30","2021_Q4",52.6959375,"Up",30380000,-27313000,3067000,-14565000,-11488000,-3077000,-11498000,-58000,-58000,-11556000,-7822000,-7822000,-7822000,-7822000,-7822000,95531000,95531000,18723000,18723000,9712000,3167000,3167000,127133000,46706000,13833000,13833000,60539000,187672000,19611000,9820000,9791000,8661000,1722000,28272000,16942000,16942000,16942000,45214000,671158000,-528700000,142458000,142458000,187672000,-7822000,2114000,-1631000,1289000,-6050000,-2254000,-2254000,-26713289.7519858,-18678000,1578000.00000001,-6726000.00000001,-6726000.00000001,-6726000.00000001,-9384000,0,0.10095,-0.37847,-0.25747,-0.05491,-0.04168,4.49678,0.31738,-3.46944695195361e-18,-0.2405,-0.2405,0.9341,4.38017,-0.04907,10.1802,8.30849
"31","2022_Q1",32.4532258064516,"Down",31475000,-33141000,-1666000,-14646000,-11333000,-3313000,-16312000,-41000,-41000,-16353000,-16353000,-16353000,-16353000,-16353000,-16353000,76564000,76564000,20426000,20426000,11987000,3173000,3173000,112150000,55778000,15026000,15026000,70804000,182954000,28259000,17440000,10819000,8296000,1321000,36555000,17991000,17991000,17991000,54546000,673461000,-545053000,128408000,128408000,182954000,-16353000,2584000,2149000,-429000,-12049000,-7645000,-7645000,19420000,-45000,727000,-18967000,-18967000,-18967000,-13728000,0,-0.05293,-0.51825,-0.51956,-0.12735,-0.08938,3.06798,0.42479,0,-0.50281,-0.50281,0.96776,3.94817,-0.1117,5.57721,4.69372
"32","2022_Q2",20.1770967741935,"Down",38407000,-40195000,-1788000,-16836000,-13244000,-3592000,-18624000,-860000,-860000,-19484000,-19484000,-19484000,-19484000,-19484000,-19484000,205177000,205177000,24533000,24533000,15505000,2835000,2835000,248050000,77720000,15236000,15236000,92956000,341006000,37806000,30069000,7737000,8395000,1201000,46201000,12556000,12556000,113194000,159395000,746148000,-564537000,181611000,181611000,341006000,-19484000,2128000,3216000,-8689000,-22829000,-14504000,-14504000,95087000,20821000,165946000,128613000,128613000,128613000,-16496000,100638000,-0.04655,-0.48491,-0.5073,-0.10728,-0.05714,5.36893,0.87767,0.29512,-0.59675,-0.59675,1.17631,5.56229,-0.06609,6.33723,5.61313
"33","2022_Q3",12.109375,"Down",45640000,-46851000,-1211000,-21435000,-16988000,-4447000,-22646000,-1404000,-1404000,-24050000,-24050000,-24050000,-24050000,-24050000,-24050000,162185000,162185000,29481000,29481000,1.7e+07,4616000,4616000,213282000,122206000,20446000,20446000,142652000,355934000,62099000,51126000,10973000,9104000,1616000,71203000,17256000,17256000,119977000,191180000,753341000,-588587000,164754000,164754000,355934000,-24050000,2033000,4507000,7475000,-10035000,-37855000,-37855000,0,4762000,4898000,-42992000,-42992000,-42992000,-20613000,102721000,-0.02653,-0.49619,-0.52695,-0.14598,-0.06757,2.99541,1.1604,0.2886,-0.68308,-0.68308,1.2963,4.67945,-0.08447,2.88478,2.62581
