"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","assets_held_for_sale","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",8.9278125,"Up",3.788e+09,-1.958e+09,1.83e+09,-1.12e+09,-8.79e+08,-2.41e+08,7.1e+08,-1.96e+08,-2.1e+08,1.4e+07,5.14e+08,-8.04e+08,-2.9e+08,-1.1e+07,-4e+06,-3.05e+08,-3.05e+08,-7e+06,-3.12e+08,-3.12e+08,1.241e+09,1.241e+09,5.254e+09,5.254e+09,4.636e+09,1.41e+09,9.76e+08,1.8e+07,4.16e+08,1.2541e+10,6.643e+09,3.8061e+10,1.1878e+10,2.4657e+10,3.31e+08,1.195e+09,4.4704e+10,5.7245e+10,4.019e+09,1.688e+09,2.331e+09,3.13e+09,6.957e+09,6.957e+09,1.4106e+10,2.3812e+10,4.402e+09,1.462e+09,2.94e+09,2.8214e+10,4.232e+10,2.7349e+10,-4.128e+09,-7.066e+09,-2.365e+09,1.379e+10,1.134e+09,1.4924e+10,5.7244e+10,-3.08e+08,4.13e+08,-4.6e+07,2.66e+08,3.25e+08,-1.69e+08,3.3e+07,3.62e+08,-2e+06,2.24e+08,-1.46e+09,-1e+06,-1.461e+09,-9.12e+08,-9.12e+08,-1.2e+07,-9.24e+08,1.123e+09,2.6942e+10,1.231e+09,0.4831,0.18743,-0.08237,-0.02091,-0.00545,-3.94551,0.88905,2.8357,0.47064,-0.28598,-0.28598,3.47204,12.63978,1.12832,-0.00674,0.02661,22.88602,36.19859
"12","2020_Q1",10.245,"Up",4.467e+09,-2.51e+09,1.957e+09,-1.257e+09,-1.025e+09,-2.32e+08,7e+08,-1.4e+08,-1.87e+08,4.7e+07,5.6e+08,-6e+08,-4e+07,1.19e+08,-5e+06,73999999.9999999,73999999.9999999,3.5e+07,1.09e+08,1.09e+08,1.975e+09,1.975e+09,5.676e+09,5.676e+09,4.422e+09,1.391e+09,8.7e+08,8.7e+07,4.34e+08,1.3464e+10,6.436e+09,3.7569e+10,1.1232e+10,2.4846e+10,3.86e+08,1.105e+09,4.4005e+10,5.7469e+10,3.587e+09,1.718e+09,1.869e+09,2.345e+09,7.741e+09,7.741e+09,1.3673e+10,2.4562e+10,4.171e+09,1.096e+09,3.075e+09,2.8733e+10,4.2406e+10,2.7368e+10,-4.128e+09,-6.956e+09,-2.312e+09,1.3972e+10,1.091e+09,1.5063e+10,5.7469e+10,75999999.9999999,4.16e+08,1.63e+08,-1.17e+08,5.38e+08,2.24e+08,-1.73e+08,3.79e+08,-3.72529029846191e-09,4.3e+08,-2.44e+08,3e+06,-2.41e+08,7.27e+08,7.27e+08,7e+06,7.34e+08,1.116e+09,2.6907e+10,1.104e+09,0.4381,0.1567,0.0244,0.00724,0.0019,10.12844,0.98471,2.81524,0.4682,0.0999099999999999,0.0999099999999999,4.09441,12.8066,1.01192,0.00236,0.02393,22.3405,35.61714
"13","2020_Q2",11.3095238095238,"Up",4.357e+09,-2.294e+09,2.063e+09,-1.138e+09,-9.17e+08,-2.21e+08,9.25e+08,-2.11e+08,-2.24e+08,1.3e+07,7.14e+08,-7.45e+08,-3.1e+07,5.9e+07,-1e+06,2.7e+07,2.7e+07,4.4e+07,7.1e+07,7.1e+07,1.804e+09,1.804e+09,5.189e+09,5.189e+09,4.29e+09,1.601e+09,9.77e+08,8.6e+07,5.38e+08,1.2884e+10,6.221e+09,3.6225e+10,1.0256e+10,2.449e+10,4.4e+08,1.039e+09,4.2446e+10,5.533e+10,3.968e+09,1.71e+09,2.258e+09,1.63e+09,6.723e+09,6.723e+09,1.2321e+10,2.4473e+10,3.947e+09,9.12e+08,3.035e+09,2.842e+10,4.0741e+10,2.7398e+10,-4.128e+09,-6.887e+09,-2.852e+09,1.3531e+10,1.057e+09,1.4588e+10,5.5329e+10,2.5e+07,3.99e+08,5.47e+08,-6.66e+08,3.05e+08,-1.22e+08,-129673971.063001,3.68e+08,6e+06,2.52e+08,-7e+08,1338136.51392156,-7e+08,-1.43e+08,-1.43e+08,-2.8e+07,-1.71e+08,1.324e+09,2.6103e+10,4.77e+08,0.47349,0.2123,0.0163,0.00487,0.00128,6.71831,1.04569,2.79277,0.47177,0.06496,0.06478,3.98628,12.37969,0.43641,0.00159,0.01069,18.35272,26.26919
"14","2020_Q3",10.57875,"Down",3.87e+09,-2.108e+09,1.762e+09,-1.085e+09,-8.6e+08,-2.25e+08,6.77e+08,-2.15e+08,-2.24e+08,9e+06,4.62e+08,-5.13e+08,-5.1e+07,1.04e+08,1e+06,54000000.0000002,54000000.0000002,8.7e+07,1.41e+08,1.41e+08,2.402e+09,2.402e+09,4.545e+09,4.545e+09,4.361e+09,1.473e+09,9.56e+08,6.9e+07,4.48e+08,1.2781e+10,6.122e+09,3.6088e+10,9.94e+09,2.4616e+10,4.83e+08,1.049e+09,4.221e+10,5.4991e+10,3.905e+09,1.606e+09,2.299e+09,1.649e+09,6.196e+09,6.196e+09,1.175e+10,2.4616e+10,3.8e+09,9.75e+08,2.825e+09,2.8416e+10,4.0166e+10,2.7431e+10,-4.128e+09,-6.747e+09,-2.703e+09,1.3853e+10,9.72e+08,1.4825e+10,5.4991e+10,5.3e+07,3.82e+08,1.74e+08,-3.36e+08,2.73e+08,-9.2e+07,8999999.99999994,4.01e+08,-5e+06,3.13e+08,1.19209289550781e-07,-3e+06,-3e+06,5.83e+08,5.83e+08,1.5e+07,5.98e+08,1.059e+09,2.6265e+10,5.27e+08,0.4553,0.17494,0.03643,0.00951,0.00256,3.73759,1.08774,2.70934,0.47762,0.12853,0.12818,3.5278,12.62808,0.4804,0.00314,0.01174,22.53352,35.24815
"15","2020_Q4",9.58,"Down",3.979e+09,-2.126e+09,1.853e+09,-1.142e+09,-8.84e+08,-2.58e+08,7.11e+08,-1.09e+08,-1.17e+08,8e+06,6.02e+08,-5.062e+09,-4.46e+09,-1.6e+07,1.35e+08,-4.341e+09,-4.341e+09,-1e+07,-4.351e+09,-4.351e+09,1.827e+09,1.827e+09,4.385e+09,4.385e+09,4.516e+09,1.431e+09,8.95e+08,1.13e+08,4.23e+08,1.2159e+10,6.152e+09,3.1424e+10,9.308e+09,2.0228e+10,5.09e+08,1.379e+09,3.7576e+10,4.9735e+10,4.052e+09,1.716e+09,2.336e+09,2.106e+09,5.944e+09,5.944e+09,1.2102e+10,2.3515e+10,3.527e+09,8.74e+08,2.653e+09,2.7042e+10,3.9144e+10,2.746e+10,-4.128e+09,-1.1096e+10,-2.643e+09,9.593e+09,9.99e+08,1.0592e+10,4.9736e+10,-4.339e+09,3.81e+08,4.89e+09,-6.25e+08,3.07e+08,-1.34e+08,3e+06,3.33e+08,-4.5e+07,1.57e+08,-1.056e+09,-1e+06,-1.057e+09,-5.93e+08,-5.93e+08,1.8e+07,-5.75e+08,1.092e+09,2.5621e+10,3.49e+08,0.46569,0.17869,-1.09349,-0.41078,-0.08748,-0.08021,1.00471,3.69562,0.51515,-3.97352,-3.99541,3.63379,8.76073,0.31872,-0.10949,0.00878,21.78938,33.46554
"16","2021_Q1",11.4670491803279,"Up",4.453e+09,-2.405e+09,2.048e+09,-1.303e+09,-1.01e+09,-2.93e+08,7.45e+08,-2.59e+08,-2.69e+08,1e+07,4.86e+08,-3.49e+08,137000000.000001,2.1e+07,3000000.00000001,1.61e+08,1.61e+08,-1.2e+07,1.49e+08,148999999.999999,2.177e+09,2.177e+09,4.581e+09,4.581e+09,4.403e+09,1.844e+09,9.45e+08,1.89e+08,7.1e+08,1.3005e+10,6.296e+09,3.1339e+10,8.923e+09,2.0624e+10,6.95e+08,1.097e+09,3.7635e+10,5.064e+10,4.221e+09,1.756e+09,2.465e+09,3.188e+09,5.757e+09,5.757e+09,1.3166e+10,2.2731e+10,3.683e+09,9.64e+08,2.719e+09,2.6414e+10,3.958e+10,2.75e+10,-4.128e+09,-1.0946e+10,-2.399e+09,1.0027e+10,1.035e+09,1.1062e+10,5.0642e+10,1.62e+08,3.95e+08,3.35e+08,-5.61e+08,3.31e+08,-1.63e+08,-5.5e+07,3.03e+08,5.6e+07,1.41e+08,-1.24e+08,-1e+06,-1.25e+08,3.47e+08,3.47e+08,3e+06,3.5e+08,1.14e+09,2.5919e+10,3.95e+08,0.45991,0.1673,0.03346,0.01347,0.00294,2.65101,0.98777,3.57801,0.51183,0.13607,0.136070000000001,4.06667,9.15708,0.36073,0.00366,0.00971,20.82632,31.86846
"17","2021_Q2",10.5846031746032,"Down",3.982e+09,-2.104e+09,1.878e+09,-1.129e+09,-8.75e+08,-2.54e+08,7.49e+08,-2.85e+08,-2.9e+08,5e+06,4.64e+08,-3.2e+08,1.44e+08,-6.2e+07,3e+06,8.5e+07,8.5e+07,-7e+06,7.8e+07,7.8e+07,1.743e+09,1.743e+09,4.572e+09,4.572e+09,4.406e+09,1.681e+09,9.42e+08,8.7e+07,6.52e+08,1.2402e+10,6.112e+09,3.0491e+10,8.445e+09,2.0302e+10,6.91e+08,1.053e+09,3.6603e+10,4.9005e+10,3.543e+09,1.692e+09,1.851e+09,2.697e+09,5.849e+09,5.849e+09,1.2089e+10,2.2288e+10,3.652e+09,9.91e+08,2.661e+09,2.594e+10,3.8029e+10,2.7531e+10,-4.128e+09,-1.0869e+10,-2.534e+09,1e+10,9.75e+08,1.0975e+10,4.9004e+10,8.4e+07,3.76e+08,2.11e+08,-1.076e+09,-4.05e+08,-1.2e+07,4.4e+07,4.76e+08,91411215.2113449,5.08e+08,-4.91e+08,-2e+06,-4.93e+08,-3.9e+08,-3.9e+08,-4.4e+07,-4.34e+08,1.125e+09,2.4985e+10,9.9e+07,0.47162,0.1881,0.01959,0.00711000000000002,0.00159,1.26923,1.02589,3.46506,0.50985,0.07097,0.07046,3.62329,9.09918,0.09008,0.00197,0.0025,20.65956,31.03071
"18","2021_Q3",9.36375,"Down",3.91e+09,-2.037e+09,1.873e+09,-1.104e+09,-8.57e+08,-2.47e+08,7.69e+08,-2.31e+08,-2.74e+08,4.3e+07,5.38e+08,-2.29e+08,3.09e+08,-9.7e+07,1.1e+07,2.23e+08,2.23e+08,-1.4e+07,2.09e+08,2.09e+08,2.436e+09,2.436e+09,4.488e+09,4.488e+09,4.362e+09,1.535e+09,1.022e+09,2.9e+07,4.84e+08,1.2821e+10,6.127e+09,3.0247e+10,8.12e+09,2.0421e+10,6.45e+08,1.061e+09,3.6374e+10,4.9195e+10,3.358e+09,1.551e+09,1.807e+09,3.53e+09,5.802e+09,5.802e+09,1.269e+10,2.1602e+10,3.591e+09,9.32e+08,2.659e+09,2.5193e+10,3.7883e+10,2.756e+10,-4.128e+09,-1.0662e+10,-2.446e+09,1.0324e+10,9.87e+08,1.1311e+10,4.9194e+10,2.22e+08,3.05e+08,2.94e+08,-6.03e+08,2.18e+08,3e+06,7.3e+07,4.05e+08,49892698.6371548,4.81e+08,-1.19209289550781e-07,-1e+06,-1000000.00000012,6.98e+08,6.98e+08,-5000000.00000001,6.93e+08,1.074e+09,2.5132e+10,5.71e+08,0.47903,0.19668,0.05345,0.01848,0.00425,2.73206,1.01032,3.34922,0.51086,0.19017,0.1888,3.55778,9.39399,0.51956,0.00522,0.01426,21.13222,29.51365
"19","2021_Q4",9.02578125,"Down",3.887e+09,-2.093e+09,1.794e+09,-1.11e+09,-8.88e+08,-2.22e+08,6.84e+08,-2.16e+08,-2.41e+08,2.5e+07,4.68e+08,-8.6e+07,3.82e+08,-7.6e+07,-5e+06,3.01e+08,3.01e+08,-1.1e+07,2.9e+08,2.9e+08,2.045e+09,2.045e+09,4.046e+09,4.046e+09,4.167e+09,1.896e+09,1.066e+09,2.5e+07,8.05e+08,1.2154e+10,6.04e+09,2.9658e+10,7.832e+09,2.0179e+10,6.22e+08,1.025e+09,3.5698e+10,4.7852e+10,4.104e+09,1.514e+09,2.59e+09,2.709e+09,5.011e+09,5.011e+09,1.1824e+10,2.1037e+10,3.538e+09,9.1e+08,2.628e+09,2.4575e+10,3.6399e+10,2.7586e+10,-4.128e+09,-1.037e+10,-2.62e+09,1.0468e+10,9.84e+08,1.1452e+10,4.7851e+10,3.02e+08,3.29e+08,1e+08,-2.02e+08,5.29e+08,-1.31e+08,1.9e+07,3.97e+08,2999999.9999999,2.88e+08,-1.175e+09,-2e+06,-1.177e+09,-3.6e+08,-3.6e+08,-3.1e+07,-3.91e+08,1.013e+09,2.3746e+10,7.56e+08,0.46154,0.17597,0.07461,0.02532,0.00606,2.6069,1.02791,3.1784,0.49624,0.26292,0.2615,3.52403,9.49048,0.6854,0.00749,0.01952,21.42251,31.72661
"20","2022_Q1",8.34532258064516,"Down",4.099e+09,-2.05e+09,2.049e+09,-1.152e+09,-9.08e+08,-2.44e+08,8.97e+08,-2.28e+08,-2.53e+08,2.5e+07,6.69e+08,-8.47e+08,-1.78e+08,2.4e+07,1.86264514923096e-09,-1.54e+08,-1.54e+08,-7e+06,-1.61e+08,-1.61e+08,2.165e+09,2.165e+09,4.529e+09,4.529e+09,3.818e+09,2.059e+09,1.075e+09,1.9e+07,9.65e+08,1.2571e+10,5.982e+09,2.9112e+10,7.466e+09,2.004e+10,5.96e+08,1.01e+09,3.5094e+10,4.7665e+10,4.457e+09,1.686e+09,2.771e+09,1.426e+09,5.144e+09,5.144e+09,1.1027e+10,2.1617e+10,3.778e+09,7.84e+08,2.994e+09,2.5395e+10,3.6422e+10,2.7618e+10,-4.128e+09,-1.0529e+10,-2.683e+09,1.0278e+10,9.66e+08,1.1244e+10,4.7666e+10,-1.52e+08,3.2e+08,1.08e+08,1.8e+08,4.56e+08,-1.11e+08,-1.1e+07,3.7e+08,-2e+06,2.46e+08,-5e+08,-1e+06,-5.01e+08,2.01e+08,2.01e+08,-4.8e+07,1.53e+08,1.217e+09,2.3043e+10,1.262e+09,0.49988,0.21883,-0.03928,-0.01432,-0.00338,-7.83851,1.14002,3.23924,0.48344,-0.14597,-0.14518,3.71623,9.31822,1.14415,-0.00423,0.03315,17.1553,23.27536
"21","2022_Q2",8.71209677419355,"Up",3.661e+09,-1.921e+09,1.74e+09,-1.105e+09,-8.8e+08,-2.25e+08,6.35e+08,-2.06e+08,-2.58e+08,5.2e+07,4.29e+08,-1.401e+09,-9.72e+08,-2e+06,2.1e+07,-9.53e+08,-9.53e+08,-3e+06,-9.56e+08,-9.56e+08,2.175e+09,2.175e+09,4.253e+09,4.253e+09,4.012e+09,2.01e+09,1.064e+09,1.3e+07,9.33e+08,1.245e+10,5.932e+09,2.8675e+10,7.116e+09,1.9986e+10,6.37e+08,9.36e+08,3.4607e+10,4.7057e+10,4.828e+09,1.75e+09,3.078e+09,2.077e+09,4.707e+09,4.707e+09,1.1612e+10,2.084e+10,4.347e+09,6.66e+08,3.681e+09,2.5187e+10,3.6799e+10,2.7644e+10,-4.128e+09,-1.1484e+10,-2.687e+09,9.345e+09,9.16e+08,1.0261e+10,4.706e+10,-9.52e+08,3.23e+08,2.1e+07,5.59e+08,-4.9e+07,-1.32e+08,-4e+06,2.98e+08,-1e+06,1.61e+08,477449590.761992,2e+06,2e+06,1.14e+08,1.14e+08,-6.2e+07,5.2e+07,9.58e+08,2.2917e+10,1.387e+09,0.47528,0.17345,-0.26113,-0.09317,-0.02032,-1.45084,1.07217,3.5863,0.48701,-0.86673,-0.86673,3.31913,8.47235,1.25748,-0.02548,0.03696,21.65136,32.66457
"22","2022_Q3",8.8425,"Up",3.786e+09,-1.992e+09,1.794e+09,-1.135e+09,-9.07e+08,-2.28e+08,6.59e+08,-1.75e+08,-2.1e+08,3.5e+07,4.84e+08,-1.643e+09,-1.159e+09,9.01e+08,0,-2.58e+08,-2.58e+08,2.7e+07,-2.31e+08,-2.31e+08,2.058e+09,2.058e+09,4.471e+09,1339719568.58001,4.049e+09,1.586e+09,1.052e+09,1.6e+07,5.18e+08,1.2164e+10,5.74e+09,2.8027e+10,6.7e+09,1.8837e+10,1.595e+09,8.95e+08,3.3767e+10,4.5931e+10,4.48e+09,1.901e+09,2.579e+09,1.719e+09,4.796e+09,4.796e+09,1.0995e+10,2.0363e+10,4.745e+09,5.32e+08,4.213e+09,2.5108e+10,3.6103e+10,2.7682e+10,-4.128e+09,-1.1716e+10,-2.801e+09,9.037e+09,7.91e+08,9.828e+09,4.5931e+10,-2.59e+08,3.58e+08,-3.3e+08,3.54e+08,1.23e+08,-1.09e+08,3e+06,2.87e+08,-1e+06,1.8e+08,-2.96e+08,-4.2e+07,-3.38e+08,-3.5e+07,-3.5e+07,-1.23e+08,-1.58e+08,1.017e+09,2.2082e+10,3.61e+08,0.47385,0.17406,-0.06101,-0.0235,-0.00503,-1.56277,1.10632,3.67348,0.48076,-0.20943,-0.20943,3.43246,8.19311,0.32729,-0.0063,0.00985,19.68928,30.38543
