"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",2.32796875,"Up",3059000,-2177000,882000,-1654000,-1164000,-311000,-853000,-490000,-772000,-2000,-2000,-2000,-774000,-774000,8000,-766000,-747000,-747000,-747000,2039000,2039000,3764000,3764000,3746000,916000,207000,36000,10465000,786000,786000,786000,11251000,2199000,981000,1218000,2204000,434000,325000,451000,2655000,17004000,-8408000,8596000,8596000,11251000,-819000,145000,50000,62000,-490000,-20000,-20000,0,0,-510000,-510000,-510000,-627000,22000,-593000,0.28833,-0.25237,-0.2442,-0.0869,-0.06639,0.79384,4.74819,0.30886,0.00196,-0.22364,-0.22364,0.9158,2.57347,-0.17753,-0.08252,-0.06551,3.21691,2.61269
"12","2014_Q1",2.56,"Up",2722000,-2157000,565000,-1257000,-827000,-348000,-479000,-430000,-692000,0,4.54747350886464e-13,-3000,-692000,-692000,12000,-680000,-672000,-672000,-672000,1680000,1680000,3404000,3404000,3834000,494000,157000,278000,9412000,813000,813000,1183000,10595000,2120000,844000,1276000,2266000,377000,318000,392000,2658000,17012000,-9080000,7937000,7937000,10595000,-6e+05,139000,-4000,547000,10000,-17999.9999999999,-384000,-1000,15000,-359000,-359000,-359000,-553000,20000,-36000,0.20757,-0.25422,-0.24688,-0.08467,-0.06343,0.0535699999999996,4.15357,0.33489,0.00189,-0.20072,-0.20072,0.81304,2.37072,-0.01075,-0.08063,-0.00432,3.00181,2.39884
"13","2014_Q2",2.0884126984127,"Down",2555000,-1610000,945000,-924000,-549000,-92000,-457000,-375000,21000,-2000,-2000,-2000,19000,19000,-1000,18000,212000,212000,212000,1829000,1829000,3287000,3287000,3973000,613000,139000,413000,9702000,97000,80000,751000,10453000,1629000,482000,1147000,1847000,368000,308000,382000,2229000,17031000,-8868000,8224000,8224000,10453000,212000,132000,-144000,-712000,-512000,889000,661000,0,0,149000,149000,149000,153000,20000,331000,0.36986,0.00822,0.08297,0.02578,0.02028,1.56132,5.25284,0.27104,0.00191,0.06338,0.06322,0.7639,2.45882,0.09896,0.02462,0.03843,-11.82353,-86.14286
"14","2014_Q3",2.148125,"Up",2639000,-2090000,549000,-925000,-560000,-139000,-421000,-365000,-376000,8000,8000,-2000,-368000,-374000,36000,-338000,-338000,-338000,-338000,1554000,1554000,3374000,3374000,3552000,889000,168000,654000,9369000,117000,77000,1020000,10389000,1715000,626000,1089000,1969000,361000,301000,373000,2342000,17044000,-9206000,8047000,8047000,10389000,-338000,151000,21000,38000,-128000,-43999.9999999999,-145000,-2000,-2000.00000000003,-275000,-275000,-275000,-225000,19000,-267000,0.20803,-0.14248,-0.12808,-0.042,-0.03253,0.78994,4.75825,0.29104,0.00183,-0.1011,-0.10136,0.78934,2.4069,-0.07986,-0.04011,-0.03168,6.82222,4.08245
"15","2014_Q4",2.328125,"Up",2405000,-1864000,541000,-984000,-603000,-177000,-426000,-381000,-443000,-2000,-2000,-3000,-445000,-412000,53000,-359000,-386000,-386000,-386000,1926000,1926000,2784000,2784000,3184000,1332000,206000,1066000,9226000,130000,77000,964000,10190000,1873000,603000,1270000,2157000,353000,293000,362000,2519000,17061000,-9592000,7671000,7671000,10190000,-386000,115000,-5000,573000,297000,-19000,71000,-2000,4000,372000,372000,372000,-328000,16000,173000,0.22495,-0.1842,-0.1605,-0.05032,-0.03788,-0.44819,4.27724,0.32838,0.00157,-0.11543,-0.11543,0.7192,2.29396,0.05173,-0.04801,0.02152,5.82317,4.31151
"16","2015_Q1",2.2883606557377,"Down",3213000,-2282000,931000,-947000,-586000,-177000,-409000,-361000,-16000.0000000001,0,0,-1000,-16000.0000000001,12000,16000,28000,24000,24000,24000,3188000,3188000,3351000,3351000,2600000,1329000,110000,1104000,10468000,182000,77000,1240000,11708000,1834000,744000,1090000,2074000,411000,296000,418000,2492000,18582000,-9568000,9216000,9216000,11708000,24000,129000,-39000,-1e+05,13999.9999999999,-77000,-264000,-1000,1512000,1262000,1262000,1262000,113000,15000,-80000,0.28976,-0.00497999999999998,0.00747000000000003,0.0026,0.00205,-3.33333,5.04725,0.2704,0.00128,0.00609000000000001,0.00609,0.81536,2.33873,-0.0203,0.00249,-0.0083,-28.07965,198.3125
"17","2015_Q2",2.18714285714286,"Down",2595000,-1767000,828000,-1017000,-633000,-142000,-491000,-384000,-189000,-1000,-1000,-2000,-190000,-190000,9000,-181000,-170000,-170000,-170000,3609000,3609000,2567000,2567000,2587000,1458000,95000,1248000,10221000,242000,77000,1324000,11545000,1828000,617000,1211000,2084000,395000,280000,399000,2483000,18587000,-9738000,9062000,9062000,11545000,-170000,127000,13000,553000,523000,-85000,-97000,-2000,-5000,421000,421000,421000,-62000,13000,397000,0.31908,-0.07283,-0.06551,-0.01876,-0.01472,-2.33529,4.90451,0.274,0.00113,-0.04039,-0.04039,0.61654,2.15303,0.09432,-0.01795,0.04192,58,19.02646
"18","2015_Q3",2.36015625,"Up",2792000,-2096000,696000,-1090000,-645000,-186000,-459000,-445000,-394000,3000,3000,-1000,-391000,-331000,129000,-202000,-192000,-192000,-192000,1973000,1973000,2677000,2677000,2880000,2999000,211000,2642000,10529000,414000,80000,1416000,11945000,2182000,830000,1352000,2694000,367000,221000,368000,3062000,18497000,-9930000,8883000,8883000,11945000,-192000,132000,-142000,-58000,-260000,-184000,-1280000,-2000,-95999.9999999998,-1636000,-1636000,-1636000,-262000,12000,-633000,0.24928,-0.14112,-0.06877,-0.02161,-0.01607,3.29688,3.90831,0.3447,0.001,-0.04603,-0.04603,0.66938,2.12968,-0.15176,-0.02073,-0.06834,7.48473,4.97716
"19","2015_Q4",2.50234375,"Up",3923000,-2878000,1045000,-1435000,-955000,-363000,-592000,-480000,-390000,0,0,-1000,-390000,6000,-98000,-92000,-76000,-76000,-76000,1475000,1475000,3703000,3703000,3444000,2977000,184000,2654000,11599000,1016000,86000,1016000,12615000,3220000,1534000,1686000,3783000,354000,210000,430000,4213000,18408000,-10006000,8402000,8402000,12615000,-76000,139000,-307000,-457000,-701000,-22000,297000,-2000,-94000,-498000,-498000,-498000,-251000,109000,-632000,0.26638,-0.09941,-0.01937,-0.00905,-0.00602,8.31579,3.06609,0.50143,0.00864,-0.01828,-0.01828,0.94348,2.02068,-0.152,-0.00857,-0.07129,5.44223000000001,3.50255999999999
"20","2016_Q1",2.82114754098361,"Up",4073000,-2938000,1135000,-1064000,-705000,-284000,-421000,-359000,71000,-2000,-2000,-2000,69000,69000,4000,73000,73000,73000,73000,697000,697000,3796000,3796000,4310000,1075000,124000,881000,9878000,986000,86000,2638000,12516000,3069000,1867000,1202000,3694000,274000,204000,344000,4038000,18411000,-9933000,8478000,8478000,12516000,73000,180000,4000,-594000,-337000,-16000,-433000,-9000.00000000003,-8000,-778000,-778000,-778000,251000,101000,-363000,0.27866,0.01743,0.01792,0.00861,0.00583,-4.9726,2.67407,0.47629,0.00807,0.01764,0.01764,0.98398,2.04817,-0.0877,0.00825,-0.041,-2.3745,-8.39437
"21","2016_Q2",4.09171875,"Up",4097000,-3039000,1058000,-1177000,-748000,-214000,-534000,-429000,-119000,-6000,-6000,-6000,-125000,-125000,0,-125000,-125000,-125000,-125000,493000,493000,2096000,2096000,4251000,2770000,160000,2567000,9610000,951000,86000,2660000,12270000,2466000,1209000,1257000,3614000,231000,188000,296000,3910000,18418000,-10058000,8360000,8360000,12270000,-125000,169000,7000,-692000,-641000,-1000,-1000,491000,438000,-204000,-204000,-204000,50000,593000,-643000,0.25824,-0.02905,-0.03051,-0.01495,-0.01019,5.144,2.6591,0.4677,0.04833,-0.03018,-0.03018,0.98925,2.01859,-0.15526,-0.01361,-0.07001,2,-0.840340000000001
"22","2016_Q3",5.21359375,"Up",4926000,-3655000,1271000,-731000,-632000,-180000,-452000,-99000.0000000001,540000,-20000,-20000,-20000,520000,534000,-1000,533000,390000,390000,390000,2514000,1053000,3056000,3056000,4481000,1195000,122000,1030000,11246000,921000,88000,921000,12167000,2322000,1286000,1036000,3127000,216000,173000,274000,3401000,18434000,-9668000,8766000,8766000,12167000,390000,165000,-35000,-207000,313000,270000,184000,-10999.9999999999,63000,560000,560000,560000,705000,581000,769000,0.25802,0.10962,0.07917,0.04449,0.03205,1.97179,3.59642,0.38798,0.04775,0.09415,0.09329,1.18914,2.11612,0.18564,0.04078,0.08041,-2.74184,-3.57963
"23","2016_Q4",4.56095238095238,"Down",5176000,-3863000,1313000,-892000,-591000,-170000,-421000,-301000,421000,-10000,-10000,-10000,411000,510000,-15000,495000,368000,368000,368000,1452000,1452000,3367000,3367000,4118000,1946000,129000,1817000,10883000,634000,80000,634000,11517000,2024000,1132000,892000,2165000,160000,160000,212000,2377000,18440000,-9300000,9140000,9140000,11517000,368000,147000,-99000,-1127000,-711000,1612000,1611000,-505000,-501000,399000,399000,399000,568000,76000,1068000,0.25367,0.08134,0.0711,0.04026,0.03195,2.90217,5.02679,0.26007,0.0066,0.08865,0.08793,1.24693,2.20188,0.25729,0.03925,0.11391,-2.42254,-3.26841
"24","2017_Q1",5.05193548387097,"Up",4990000,-3714000,1276000,-1066000,-691000,-216000,-475000,-375000,210000,-1000,-1000,-1000,209000,209000,-9000.00000000006,2e+05,189000,189000,189000,2294000,2294000,2691000,2691000,3364000,2164000,129000,1748000,10513000,634000,71000,634000,11147000,1917000,841000,1076000,2155000,69000,69000,115000,2270000,17988000,-9111000,8877000,8877000,11147000,189000,133000,1999.99999999997,1181000,1505000,-206000,-206000,-5000,-457000,842000,842000,842000,343000,71999.9999999999,1327000,0.25571,0.04208,0.03788,0.02129,0.01696,7.02116,4.87842,0.25572,0.00646,0.04576,0.04514,1.20811,2.14918,0.32128,0.02096,0.14715,-6.47813,-10.58095
"25","2017_Q2",5.27301587301587,"Up",5129000,-3705000,1424000,-1017000,-713000,-149000,-564000,-304000,407000,0,0,-3000,407000,294000,-7000,287000,286000,286000,286000,2168000,2168000,3125000,3125000,3370000,2738000,107000,2631000,11401000,528000,80000,528000,11929000,2278000,1184000,1094000,2653000,45000,45000,150000,2803000,17951000,-8825000,9126000,9126000,11929000,286000,139000,94000,-264000,255000,-326000,-326000,-16000,-55000,-126000,-126000,-126000,546000,161000,-37000,0.27764,0.07935,0.05576,0.03134,0.02398,-0.12937,4.2974,0.30714,0.0135,0.07038,0.07038,1.26211,2.24566,-0.0091,0.03065,-0.00395999999999999,-3.67582,-4.9312
"26","2017_Q3",6.64063492063492,"Up",4599000,-3290000,1309000,-1041000,-764000,-159000,-605000,-277000,268000,5000,5000,-4000,273000,276000,2859000,3135000,3194000,3194000,3194000,2180000,2180000,2484000,2484000,3272000,6293000,123000,3023000,14229000,514000,71000,805000,15034000,2207000,761000,1446000,2716000,26000,26000,117000,2833000,17838000,-5631000,12201000,12201000,15034000,3194000,136000,-2828000,2999.99999999977,505000,-67000,-367000,-13000,-126000,12000,12000,12000,404000,148000,-2519000,0.28463,0.05827,0.6945,0.26178,0.21245,-0.78867,5.23895,0.23219,0.00984,0.78744,0.77296,1.13383,3.00802,-0.62103,0.2581,-0.20356,-5.0297,-7.58209
"27","2017_Q4",7.22952380952381,"Up",6618000,-4155000,2463000,-1114000,-856000,-131000,-725000,-258000,1349000,4000,4000,-3000,1353000,1353000,-650000,703000,888000,888000,888000,3699000,3699000,5389000,5389000,2975000,2486000,242000,12000.0000000005,14549000,503000,71000,840000,15389000,2103000,946000,1157000,2219000,133000,133000,209000,2428000,17704000,-4743000,12961000,12961000,15389000,888000,143000,272000,-143000,1160000,-90000,510000,-15000,-151000,1519000,1519000,1519000,1492000,133000,1909000,0.37217,0.20384,0.13418,0.06851,0.0577,2.14977,6.55656,0.18733,0.00864,0.22084,0.21877,1.64586,3.22333,0.47476,0.06714,0.14433,-2.39008,-2.64344
"28","2018_Q1",6.8944262295082,"Down",5597000,-3607000,1990000,-1167000,-781000,-146000,-635000,-386000,823000,6000,6000,-2000,829000,829000,-113000,716000,716000,716000,716000,4205000,4205000,5338000,5338000,3084000,2786000,363000,12000,15413000,220000,71000,938000,16351000,2503000,1159000,1344000,2580000,0,0,61000,2641000,17704000,-4027000,13710000,13710000,16351000,716000,137000,183000,279000,1315000,-66000,-795000,-15000,-14000.0000000001,506000,506000,506000,960000,119000,1286000,0.35555,0.14704,0.12793,0.05222,0.04379,1.79609,5.97403,0.19263,0.00728,0.1781,0.17656,1.39221,3.41025,0.31988,0.05178,0.09299,-4.25625,-4.96476
"29","2018_Q2",6.69203125,"Down",5162000,-3302000,1860000,-998000,-591000,-87000,-504000,-407000,862000,16000,16000,-2000,878000,890000,-262000,628000,628000,628000,628000,5855000,5855000,4131000,4131000,3512000,3285000,108000,1174000,16783000,499000,71000,1384000,18167000,1706000,943000,763000,1783000,63000,63000,109000,1892000,19750000,-3399000,16275000,16275000,18167000,628000,153000,57000,223000,1061000,-127000,1737000,-14000,-1148000,1650000,1650000,1650000,1015000,105000,1373000,0.36033,0.16699,0.12166,0.03859,0.03457,2.18631,9.41279,0.11625,0.00578,0.14442,0.14442,1.18713,3.74285,0.31576,0.03819,0.0835,-5.66502,-6.67053
"30","2018_Q3",7.97015873015873,"Up",5561000,-3843000,1718000,-1141000,-663000,-87000,-576000,-478000,577000,73000,73000,-2000,650000,424000,-79000,345000,345000,345000,345000,5262000,5262000,5792000,5792000,3196000,3428000,149000,1308000,17678000,265000,71000,1135000,18813000,1910000,923000,987000,1970000,67000,67000,98000,2068000,19889000,-3054000,16745000,16745000,18813000,345000,157000,283000,-564000,221000,-571000,-470000,-15000,-344000,-593000,-593000,-593000,734000,91000,-322000,0.30894,0.10376,0.06204,0.0206,0.01834,-0.93333,8.9736,0.1235,0.00484,0.07892,0.07892,1.27204,3.83031,-0.07366,0.02041,-0.01905,-7.04496,-8.96187
"31","2018_Q4",11.6003174603175,"Up",5494000,-3518000,1976000,-1344000,-784000,-83000,-701000,-560000,632000,71000,71000,-2000,703000,703000,-223000,480000,480000,480000,480000,5099000,5099000,5973000,5973000,3382000,3374000,201000,1150000,17828000,216000,71000,1654000,19482000,1845000,873000,972000,1956000,82000,82000,97000,2053000,20034000,-2574000,17429000,17429000,19482000,480000,162000,268000,-424000,486000,-103000,-612000,-41000,-37000,-163000,-163000,-163000,794000,50000,490000,0.35967,0.11503,0.08737,0.02754,0.02464,1.02083,9.11452,0.11779,0.00257,0.11002,0.11002,1.25923,3.99473,0.11231,0.02733,0.0279,-6.35894,-7.98892
"32","2019_Q1",14.066393442623,"Up",6248000,-3859000,2389000,-1055000,-607000,-101000,-506000,-448000,1334000,58000,58000,-1000,1392000,593000,-425000,168000,168000,168000,168000,5188000,5188000,4753000,4753000,4393000,3155000,269000,1208000,17489000,208000,68000,2428000,19917000,2349000,1083000,1266000,2415000,220000,220000,226000,2641000,19835000,-2406000,17276000,17276000,19917000,168000,85000,1004000,71000.0000000001,1328000,-103000,-2508000,-8000.00000000023,1269000,88999.9999999998,88999.9999999998,88999.9999999998,1419000,41000.0000000001,1812000,0.38236,0.21351,0.02689,0.00972,0.00844,10.78571,7.24182,0.15287,0.00206,0.04062,0.03911,1.51085,4.17758,0.43817,0.00958,0.10332,-3.6272,-3.85832
"33","2019_Q2",13.9433333333333,"Down",6916000,-4189000,2727000,-1006000,-598000,-33000,-565000,-408000,1721000,54000,54000,-20000,1775000,1782000,-433000,1349000,1349000,1349000,1349000,8315000,8315000,5802000,5802000,4565000,2912000,421000,1271000,21594000,202000,68000,3600000,25194000,2252000,1197000,1055000,2905000,112000,112000,4562000,7467000,18639000,-1057000,17727000,17727000,25194000,1349000,88000,394000,-1195000,636000,-470000,-1293000,4990000,3784000,3127000,3127000,3127000,1809000,5033000,577000,0.3943,0.24884,0.19505,0.0761,0.05354,0.42772,7.43339,0.42122,0.19977,0.31745,0.31745,1.62747,4.1715,0.13578,0.05898,0.02523,-1.81426,-1.90703
"34","2019_Q3",14.1790625,"Up",6398000,-4150000,2248000,-1056000,-729000,-97000,-632000,-327000,1192000,25000,25000,-69000,1217000,1573000,-394000,1179000,1179000,1179000,1179000,10713000,8871000,3828000,3828000,4540000,1715000,343000,1372000,20796000,1115000,40000,3230000,24026000,2022000,970000,1052000,2675000,123000,123000,4369000,7044000,17209000,122000,16982000,16982000,24026000,1179000,107000,-9999.99999999994,-404000,872000,-77000.0000000001,1286000,-47999.9999999991,-1602000,556000,556000,556000,1299000,4869000,1212000,0.35136,0.18631,0.18428,0.06943,0.04907,1.02799,7.77421,0.41479,0.20266,0.29209,0.29209,1.58506,4.20716,0.30026,0.05365,0.05516,-4.49885,-4.90268
