"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2012_Q4",29.4416129032258,"Up",1.276e+09,-1.074e+09,2.02e+08,-1.43e+08,-1.15e+08,-2e+07,-8e+06,5.9e+07,-2.9e+07,-2.9e+07,3e+07,3e+07,1.4e+07,0,4.4e+07,4.4e+07,0,4.4e+07,4.4e+07,5.1e+07,5.1e+07,7.7e+08,7.7e+08,7.93e+08,1.55e+08,1.55e+08,1.769e+09,2.912e+09,3.011e+09,1.05e+09,1.144e+09,5.64e+08,2.53e+08,5.923e+09,7.692e+09,8.92e+08,2.191e+09,9.29e+08,4.3e+07,8.86e+08,3.12e+09,4.012e+09,3.918e+09,-4.75e+08,5.07e+08,-3.05e+08,3.645e+09,3.5e+07,3.68e+09,7.692e+09,2.216e+09,0.15831,0.04624,0.03448,0.01196,0.00572,1.98318,1.09022,0.28809,0.37415,0.36667,10.85034,30.9949,0.00645,36.69492
"12","2013_Q1",35.2166666666667,"Up",1.159e+09,-9.89e+08,1.7e+08,-1.39e+08,-1.29e+08,-1.9e+07,9e+06,3.1e+07,-2.9e+07,-2.9e+07,2e+06,-8.7e+07,3.6e+07,-4e+06,-5.5e+07,-5.5e+07,-1e+06,-5.6e+07,-5.6e+07,5.5e+07,5.5e+07,6e+08,6e+08,7.86e+08,1.76e+08,1.76e+08,1.617e+09,2.903e+09,3.048e+09,1.045e+09,1.143e+09,6.04e+08,2.56e+08,5.951e+09,7.568e+09,9.16e+08,2.076e+09,1.001e+09,3.8e+07,9.63e+08,3.077e+09,3.993e+09,3.925e+09,-4.75e+08,4.51e+08,-3.64e+08,3.537e+09,3.7e+07,3.574e+09,7.567e+09,2.085e+09,0.14668,0.02675,-0.04832,-0.01567,-0.0074,1.76528,1.11724,0.2755,-0.47377,-0.48359,9.80541,29.92386,-0.00841,65.48387
"13","2013_Q2",36.3753125,"Up",1.35e+09,-1.137e+09,2.13e+08,-1.55e+08,-1.33e+08,-1.8e+07,-4e+06,5.8e+07,-2.9e+07,-2.9e+07,2.9e+07,2.8e+07,-6e+06,0,2.2e+07,2.2e+07,0,2.2e+07,2.2e+07,6.2e+07,6.2e+07,8.84e+08,8.84e+08,7.76e+08,1.95e+08,1.95e+08,1.917e+09,2.865e+09,3.035e+09,1.038e+09,1.143e+09,6.03e+08,2.51e+08,5.9e+09,7.817e+09,9.34e+08,2.301e+09,9.88e+08,3.6e+07,9.52e+08,3.289e+09,4.223e+09,3.942e+09,-4.83e+08,4.73e+08,-3.75e+08,3.557e+09,3.7e+07,3.594e+09,7.817e+09,2.315e+09,0.15778,0.04296,0.0163,0.00612,0.00281,2.05246,1.17501,0.29615,0.18565,0.18395,11.39241,30.01688,0.00319,38.84483
"14","2013_Q3",34.02640625,"Down",1.347e+09,-1.08e+09,2.67e+08,-1.48e+08,-1.34e+08,-2e+07,6e+06,1.19e+08,-2.9e+07,-2.9e+07,9e+07,8.9e+07,-3.9e+07,0,5e+07,5e+07,-1e+06,4.9e+07,4.9e+07,7.2e+07,7.2e+07,7.89e+08,7.89e+08,8.2e+08,2.45e+08,2.45e+08,1.926e+09,2.881e+09,2.978e+09,1.051e+09,1.167e+09,5.61e+08,1.99e+08,5.859e+09,7.785e+09,9.42e+08,2.25e+09,9.64e+08,3.5e+07,9.29e+08,3.214e+09,4.156e+09,3.953e+09,-4.84e+08,5.22e+08,-3.99e+08,3.592e+09,3.6e+07,3.628e+09,7.784e+09,2.274e+09,0.19822,0.08834,0.03638,0.01351,0.00629,2.04459,1.14553,0.2921,0.41142,0.40765,11.30982,30.15953,0.00714,18.5042
"15","2013_Q4",33.0921875,"Down",1.32e+09,-1.067e+09,2.53e+08,-1.41e+08,-1.28e+08,-1.9e+07,6e+06,1.12e+08,-2.9e+07,-2.9e+07,8.3e+07,7.7e+07,-2.6e+07,0,5.1e+07,5.1e+07,0,5.1e+07,5.1e+07,5.1e+07,5.1e+07,7.58e+08,7.58e+08,8.34e+08,2.7e+08,2.7e+08,1.913e+09,2.905e+09,2.909e+09,1.046e+09,1.166e+09,4.82e+08,2.15e+08,5.814e+09,7.727e+09,9.49e+08,2.175e+09,9.52e+08,3.5e+07,9.17e+08,3.127e+09,4.076e+09,3.961e+09,-5.38e+08,5.73e+08,-3.82e+08,3.614e+09,3.6e+07,3.65e+09,7.726e+09,2.186e+09,0.19167,0.08485,0.03864,0.01397,0.0066,2.01581,1.11671,0.2829,0.43367,0.43184,11.22449,30.73129,0.00751,19.0625
"16","2014_Q1",36.7473770491803,"Up",1.278e+09,-1.045e+09,2.33e+08,-1.29e+08,-1.35e+08,-2e+07,2.6e+07,1.04e+08,-2.5e+07,-2.5e+07,7.9e+07,7.9e+07,3e+06,-8.73114913702011e-11,8.2e+07,8.2e+07,0,8.2e+07,8.2e+07,5.7e+07,5.7e+07,6.83e+08,6.83e+08,8.1e+08,2.98e+08,2.69e+08,1.848e+09,2.932e+09,2.867e+09,1.04e+09,1.166e+09,4.36e+08,2.25e+08,5.799e+09,7.647e+09,9.92e+08,2.024e+09,8.01e+08,2.3e+07,7.78e+08,2.825e+09,3.817e+09,3.939e+09,-5.04e+08,6.55e+08,-2.97e+08,3.793e+09,3.7e+07,3.83e+09,7.647e+09,2.028e+09,0.18232,0.08138,0.06416,0.02141,0.01072,1.8629,0.99661,0.2652,0.69728,0.69198,10.86735,32.2534,0.01231,18.95192
"17","2014_Q2",36.004126984127,"Down",1.278e+09,-1.044e+09,2.34e+08,-1.14e+08,-1.32e+08,-1.9e+07,3.7e+07,1.2e+08,-2.7e+07,-2.7e+07,9.3e+07,8.1e+07,3.9e+07,709925.233420672,1.2e+08,1.2e+08,0,1.2e+08,1.2e+08,6.5e+07,6.5e+07,9.42e+08,9.42e+08,9.1e+08,3.06e+08,2.98e+08,2.223e+09,2.898e+09,2.845e+09,1.039e+09,1.166e+09,4.2e+08,2.2e+08,5.743e+09,7.966e+09,9.86e+08,2.358e+09,7.23e+08,2.7e+07,6.96e+08,3.081e+09,4.067e+09,3.936e+09,-5.21e+08,7.56e+08,-3.1e+08,3.861e+09,3.7e+07,3.898e+09,7.965e+09,2.387e+09,0.1831,0.0939,0.0939,0.03079,0.01506,2.25456,1.04336,0.29965,1.01868,1.01095,10.8489,32.77589,0.01712,19.35
"18","2014_Q3",31.0275,"Down",1.355e+09,-1.107e+09,2.48e+08,-1.75e+08,-1.3e+08,-2e+07,-2.5e+07,7.3e+07,-3.1e+07,-3.1e+07,4.2e+07,4.2e+07,-2.1e+07,1e+06,2.2e+07,2.2e+07,-1e+06,2.1e+07,2.1e+07,8.1e+07,8.1e+07,8.48e+08,8.48e+08,8.86e+08,2.45e+08,2.31e+08,2.06e+09,2.913e+09,2.823e+09,1.026e+09,1.166e+09,4.06e+08,2.25e+08,5.736e+09,7.796e+09,9.01e+08,2.271e+09,7.13e+08,2.8e+07,6.85e+08,2.984e+09,3.885e+09,3.939e+09,-5.24e+08,7.58e+08,-3.01e+08,3.872e+09,3.8e+07,3.91e+09,7.795e+09,2.292e+09,0.18303,0.05387,0.0155,0.00537,0.00269,2.28635,0.99361,0.294,0.17888,0.17751,11.54174,32.98126,0.00578,30.28767
"19","2014_Q4",29.368125,"Down",1.382e+09,-1.131e+09,2.51e+08,-1.25e+08,-1.1e+08,-1.8e+07,3e+06,1.26e+08,-2.8e+07,-2.8e+07,9.8e+07,7.9e+07,-2.7e+07,0,5.2e+07,5.2e+07,0,5.2e+07,5.2e+07,5.1e+07,5.1e+07,9.04e+08,9.04e+08,8.23e+08,2.39e+08,2.23e+08,2.017e+09,2.892e+09,2.786e+09,1.025e+09,1.168e+09,3.72e+08,2.21e+08,5.678e+09,7.695e+09,9.59e+08,2.171e+09,6.68e+08,2e+07,6.48e+08,2.839e+09,3.798e+09,3.948e+09,-5.24e+08,7.91e+08,-3.56e+08,3.859e+09,3.8e+07,3.897e+09,7.695e+09,2.197e+09,0.18162,0.09117,0.03763,0.01334,0.00676,2.10323,0.9746,0.28551,0.44331,0.44105,11.78176,32.89855,0.01035,17.03175
"20","2015_Q1",35.2462295081967,"Up",1.245e+09,-1.002e+09,2.43e+08,-1.7e+08,-1.15e+08,-1.9e+07,-3.6e+07,7.3e+07,-2.8e+07,-2.8e+07,4.5e+07,3e+07,4e+06,0,3.4e+07,3.4e+07,-1e+06,3.3e+07,3.3e+07,6.7e+07,6.7e+07,6.74e+08,6.74e+08,8.17e+08,2.49e+08,2.33e+08,1.807e+09,2.899e+09,2.836e+09,1.017e+09,1.168e+09,4.44e+08,2.07e+08,5.735e+09,7.542e+09,9.83e+08,1.978e+09,8.51e+08,2.2e+07,8.29e+08,2.829e+09,3.812e+09,3.955e+09,-5.18e+08,8.05e+08,-5.5e+08,3.692e+09,3.8e+07,3.73e+09,7.542e+09,2.012e+09,0.19518,0.05863,0.02651,0.00885,0.00438,1.83825,1.02198,0.26677,0.28085,0.27895,10.59574,31.42128,0.00789,26.64384
"21","2015_Q2",36.56,"Up",1.203e+09,-9.94e+08,2.09e+08,-1.51e+08,-1.29e+08,-1.7e+07,-5e+06,5.8e+07,-2.6e+07,-2.6e+07,3.2e+07,3e+07,-1.3e+07,805983.769607365,1.7e+07,1.7e+07,-1e+06,1.6e+07,1.6e+07,7.7e+07,7.7e+07,8.44e+08,8.44e+08,8.25e+08,2.49e+08,2.35e+08,1.995e+09,2.851e+09,2.85e+09,1.013e+09,1.168e+09,4.34e+08,2.35e+08,5.701e+09,7.696e+09,9.12e+08,2.274e+09,8.27e+08,2.2e+07,8.05e+08,3.101e+09,4.013e+09,3.947e+09,-5.15e+08,8.03e+08,-5.91e+08,3.644e+09,3.9e+07,3.683e+09,7.696e+09,2.291e+09,0.17373,0.04821,0.0133,0.00434,0.00208,2.1875,1.0896,0.29769,0.13582,0.13502,10.21222,30.93379,0.00809,38.17241
"22","2015_Q3",39.43859375,"Up",1.403e+09,-1.095e+09,3.08e+08,-1.52e+08,-1.3e+08,-1.8e+07,-4e+06,1.56e+08,-2.6e+07,-2.6e+07,1.3e+08,1.35e+08,-4.4e+07,1e+06,9.2e+07,9.2e+07,-1e+06,9.1e+07,9.1e+07,8e+07,8e+07,8.53e+08,8.53e+08,7.86e+08,2.61e+08,2.48e+08,1.98e+09,2.891e+09,2.808e+09,1.01e+09,1.168e+09,4.03e+08,2.27e+08,5.699e+09,7.679e+09,9.37e+08,2.165e+09,8.29e+08,2.7e+07,8.02e+08,2.994e+09,3.931e+09,3.951e+09,-5.33e+08,8.74e+08,-5.84e+08,3.708e+09,4e+07,3.748e+09,7.679e+09,2.177e+09,0.21953,0.11119,0.06486,0.02428,0.01185,2.11313,1.04883,0.2835,0.77513,0.77053,11.9506,31.58433,0.01347,13.44231
"23","2015_Q4",41.25703125,"Up",1.447e+09,-1.107e+09,3.4e+08,-1.44e+08,-1.3e+08,-1.8e+07,4e+06,1.96e+08,-2.8e+07,-2.8e+07,1.68e+08,1.7e+08,-5.5e+07,0,1.15e+08,1.15e+08,-1e+06,1.14e+08,1.14e+08,6.2e+07,6.2e+07,8.61e+08,8.61e+08,7.01e+08,2.51e+08,2.37e+08,1.875e+09,2.885e+09,2.751e+09,1.004e+09,1.167e+09,3.52e+08,2.28e+08,5.636e+09,7.511e+09,9.84e+08,1.979e+09,7.74e+08,1.8e+07,7.56e+08,2.753e+09,3.737e+09,3.96e+09,-5.74e+08,9.66e+08,-6.17e+08,3.735e+09,3.9e+07,3.774e+09,7.511e+09,2e+09,0.23497,0.13545,0.07878,0.03021,0.01518,1.90549,0.9902,0.26628,0.97187,0.96121,12.33589,31.84143,0.02031,9.88776
"24","2016_Q1",40.1180327868852,"Down",1.297e+09,-1.001e+09,2.96e+08,-1.58e+08,-1.36e+08,-2e+07,-2e+06,1.38e+08,-2e+07,-2e+07,1.18e+08,1.18e+08,-8e+06,0,1.1e+08,1.1e+08,-1e+06,1.09e+08,1.09e+08,9.6e+07,9.6e+07,7.09e+08,7.09e+08,6.44e+08,5.9e+07,4.7e+07,1.508e+09,2.956e+09,2.862e+09,9.99e+08,1.167e+09,4.92e+08,2.04e+08,5.818e+09,7.326e+09,1.063e+09,1.702e+09,7.82e+08,8e+06,7.74e+08,2.484e+09,3.547e+09,3.966e+09,-6.12e+08,1.055e+09,-6.7e+08,3.739e+09,4e+07,3.779e+09,7.326e+09,1.871e+09,0.22822,0.1064,0.08404,0.02884,0.01488,1.41863,0.93861,0.25539,0.93723,0.92687,11.15219,32.14961,0.02006,12.86232
"25","2016_Q2",45.11203125,"Up",1.231e+09,-9.59e+08,2.72e+08,-1.56e+08,-1.34e+08,-1.9e+07,-3e+06,1.16e+08,-2.3e+07,-2.3e+07,9.3e+07,9.3e+07,-3.4e+07,543016.129352157,5.9e+07,5.9e+07,-2e+06,5.7e+07,5.7e+07,5.4e+07,5.4e+07,7.85e+08,7.85e+08,7.08e+08,6.3e+07,5e+07,1.61e+09,2.988e+09,2.857e+09,9.96e+08,1.167e+09,4.75e+08,2.19e+08,5.845e+09,7.455e+09,1.059e+09,1.785e+09,7.83e+08,9e+06,7.74e+08,2.568e+09,3.627e+09,3.957e+09,-6.36e+08,1.091e+09,-6.25e+08,3.787e+09,4.1e+07,3.828e+09,7.455e+09,1.951e+09,0.22096,0.09423,0.0463,0.01489,0.00765,1.5203,0.94749,0.2617,0.49351,0.48927,10.65801,32.78788,0.01478,16.35345
"26","2016_Q3",48.803125,"Up",1.545e+09,-1.129e+09,4.16e+08,-1.76e+08,-1.51e+08,-2.1e+07,-4e+06,2.4e+08,-2.9e+07,-2.9e+07,2.11e+08,2.11e+08,-7.3e+07,1e+06,1.39e+08,1.39e+08,-1e+06,1.38e+08,1.38e+08,6.7e+07,6.7e+07,8.79e+08,8.79e+08,7.53e+08,7.6e+07,6.3e+07,1.775e+09,3.059e+09,3.143e+09,1.152e+09,1.344e+09,4.11e+08,2.36e+08,6.202e+09,7.977e+09,1.156e+09,2.099e+09,8.17e+08,3.2e+07,7.85e+08,2.916e+09,4.072e+09,3.966e+09,-6.75e+08,1.208e+09,-6.35e+08,3.864e+09,4.1e+07,3.905e+09,7.977e+09,2.276e+09,0.26926,0.15534,0.08932,0.03534,0.0173,1.53547,1.04277,0.28532,1.19896,1.18455,13.42311,33.57081,0.01972,9.20417
"27","2016_Q4",47.2295238095238,"Down",1.518e+09,-1.144e+09,3.74e+08,-1.67e+08,-1.41e+08,-2e+07,-6e+06,2.07e+08,-2.8e+07,-2.8e+07,1.79e+08,1.78e+08,-6.5e+07,0,1.13e+08,1.13e+08,-1e+06,1.12e+08,1.12e+08,1.1e+08,1.1e+08,7.96e+08,7.96e+08,7.29e+08,6.7e+07,5.4e+07,1.702e+09,3.09e+09,3.084e+09,1.146e+09,1.338e+09,3.69e+08,2.31e+08,6.174e+09,7.876e+09,1.003e+09,2.16e+09,7.76e+08,3.6e+07,7.4e+08,2.936e+09,3.939e+09,3.974e+09,-7.48e+08,1.299e+09,-6.32e+08,3.893e+09,4.2e+07,3.935e+09,7.874e+09,2.164e+09,0.24638,0.13636,0.07378,0.02846,0.01422,1.69691,1.00102,0.27476,0.9816,0.97391,13.30412,34.11919,0.01934,9.92271
"28","2017_Q1",52.545,"Up",1.383e+09,-1.068e+09,3.15e+08,-1.81e+08,-1.58e+08,-2.2e+07,-999999.999999999,1.34e+08,-2.6e+07,-2.8e+07,1.08e+08,1.08e+08,-1.6e+07,-4e+06,8.8e+07,8.8e+07,-2e+06,8.6e+07,8.6e+07,1.12e+08,1.12e+08,6.78e+08,6.78e+08,7.1e+08,8.6e+07,7.4e+07,1.586e+09,3.112e+09,3.043e+09,1.138e+09,1.336e+09,3.75e+08,1.94e+08,6.155e+09,7.741e+09,9.64e+08,2.099e+09,7.88e+08,3.6e+07,7.52e+08,2.887e+09,3.851e+09,3.985e+09,-8.03e+08,1.377e+09,-7.1e+08,3.849e+09,4e+07,3.889e+09,7.74e+09,2.103e+09,0.22777,0.09689,0.06218,0.02211,0.01111,1.64523,0.99023,0.27167,0.76174,0.75704,12.24978,34.09212,0.01563,14.85821
