"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",37.8382258064516,"Up",473134000,-292030000,181104000,-73731000,-48200000,-7925000,-17606000,107373000,-202000,-624000,422000,107171000,107171000,-41261000,65910000,65910000,65910000,65910000,71889000,66124000,5765000,250507000,250507000,80410000,5149000,6898000,402806000,59207000,2030455000,1939782000,90673000,2130163000,2532969000,244789000,224910000,92000,92000,244881000,48257000,290722000,111173000,179549000,338979000,583860000,768424000,1180685000,1949109000,1949109000,2532969000,65910000,7925000,14005000,46862000,134702000,-3126000,6177000,-137493000,-134442000,47965000,5024000,5024000,729000,53718000,53978000,53978000,53978000,115298000,48257000,200295000,0.38278,0.22694,0.13931,0.03382,0.02602,3.03892,1.64491,0.29955,0.01905,0.6734,0.66163,4.83401,19.91406,2.04642,0.02881,0.08754,-0.20496,-0.22009
"12","2013_Q1",42.9786666666667,"Up",471332000,-290671000,180661000,-77638000,-50271000,-8091000,-19276000,103023000,-538000,-1219000,681000,102485000,102485000,-36382000,66103000,66103000,66103000,66103000,27864000,21280000,6584000,248066000,248066000,83114000,4852000,9228000,359044000,59738000,2283962000,2165672000,118290000,2391293000,2750337000,268237000,255661000,101000,101000,268338000,144233000,302398000,125877000,176521000,446631000,714969000,788580000,1246788000,2035368000,2035368000,2750337000,66103000,8091000,12055000,18922000,105171000,-4548000,-7911000,-238644000,-251103000,95985000,9983000,9983000,-4880000,101088000,-44844000,-44844000,-44844000,111114000,144233000,161870000,0.3833,0.21858,0.14025,0.03248,0.02403,2.44875,1.33803,0.35127,0.05244,0.67422,0.66088,4.80735,20.75974,1.65099,0.02663,0.06522,1.04729,1.12954
"13","2013_Q2",44.75625,"Up",502715000,-329201000,173514000,-81962000,-53318000,-9144000,-19500000,91552000,-787000,-1189000,402000,90765000,90765000,-35398000,55367000,55367000,55367000,55367000,39960000,34425000,5535000,263820000,263820000,90848000,3959000,9258000,394628000,60275000,2279108000,2165169000,113939000,2398028000,2792656000,190800000,150725000,95000,95000,190895000,184209000,311796000,130102000,181694000,496005000,686900000,803601000,1302155000,2105756000,2105756000,2792656000,55367000,9144000,3125000,-86052000,-18416000,-4337000,-10003000,-1295000,-15635000,39970000,5193000,5193000,2033000,47196000,13145000,13145000,13145000,100696000,184209000,45705000,0.34515,0.18212,0.11014,0.02629,0.01983,0.82549,2.06725,0.3262,0.06596,0.56143,0.54936,5.0976,21.35265,0.46345,0.02128,0.01757,1.43252,1.5756
"14","2013_Q3",48.79953125,"Up",529180000,-331922000,197258000,-83887000,-54601000,-9870000,-19416000,113371000,-1277000,-1673000,396000,112094000,112094000,-42876000,69218000,69218000,69218000,69218000,20172000,13163000,7009000,269774000,269774000,77745000,7055000,9776000,367691000,61408000,2400440000,2273288000,127152000,2521699000,2889390000,212676000,204154000,97000,97000,212773000,153984000,329488000,140612000,188876000,483472000,696245000,821772000,1371373000,2193145000,2193145000,2889390000,69218000,9870000,28267000,19293000,126648000,-5008000,-2680000,-115649000,-123337000,-30223000,4982000,4982000,668000,-24573000,-21262000,-21262000,-21262000,123241000,153984000,180402000,0.37276,0.21424,0.1308,0.03156,0.02396,2.60629,1.72809,0.31746,0.05329,0.69835,0.68466,5.339,22.12705,1.82011,0.02586,0.0674,1.08578,1.1803
"15","2013_Q4",53.6646875,"Up",554730000,-346879000,207851000,-84560000,-54654000,-10461000,-19445000,123291000,-1135000,-1507000,372000,122156000,122156000,-45198000,76958000,76958000,76958000,76958000,21162000,16242000,4920000,272814000,272814000,78987000,6076000,9415000,372963000,60931000,2484161000,2354189000,129972000,2606902000,2979865000,273895000,256596000,99000,99000,273994000,123659000,348118000,147883000,200235000,471777000,745771000,829045000,1405049000,2234094000,2234094000,2979865000,76958000,10461000,11823000,58675000,157917000,-3339000,130000,-76601000,-79810000,-30323000,-46681000,5182000,1976000,-75028000,3079000,3079000,3079000,133752000,123659000,234286000,0.37469,0.22225,0.13873,0.03445,0.02583,3.04434,1.36121,0.33381,0.0415,0.7734,0.76062,5.57484,22.45185,2.35449,0.02844,0.08658,0.76632,0.83134
"16","2014_Q1",58.1739344262295,"Up",567387000,-353316000,214071000,-90154000,-55636000,-10491000,-24027000,123917000,-520000,-1046000,526000,123397000,123397000,-44423000,78974000,78974000,78974000,78974000,37594000,31137000,6457000,285397000,285397000,45134000,6361000,8007000,368125000,59911000,2523169000,2393731000,129438000,2640591000,3008716000,326700000,308754000,92000,92000,326792000,27143000,311793000,111441000,200352000,338936000,665728000,858965000,1484023000,2342988000,2342988000,3008716000,78974000,10491000,6341000,43443000,139249000,-2970000,2762000,-44500000,-44708000,-96523000,13340000,13340000,3537000,-79646000,14895000,14895000,14895000,134408000,27143000,219304000,0.37729,0.2184,0.13919,0.03371,0.02625,2.77691,1.12648,0.28414,0.00902,0.79604,0.78335,5.71917,23.61693,2.21055,0.02945,0.08177,-0.07776,-0.08434
"17","2014_Q2",58.8401587301587,"Up",566338000,-372040000,194298000,-90201000,-58414000,-10370000,-21417000,104097000,264000,-1371000,1635000,104361000,104361000,-40701000,63660000,63660000,63660000,63660000,27500000,19775000,7725000,315689000,315689000,52807000,4576000,11272000,395996000,60700000,2585936000,2457574000,128362000,2703148000,3099144000,222093000,178088000,102000,102000,222195000,248108000,321761000,117543000,204218000,569869000,792064000,859451000,1447629000,2307080000,2307080000,3099144000,63660000,10370000,5251000,-129103000,-49822000,-4570000,-269000,-69375000,-74214000,220975000,-109591000,7398000,1290000,112674000,-11362000,-11362000,-11362000,114467000,248108000,21495000,0.34308,0.18381,0.11241,0.02759,0.02054,0.33765,1.7822,0.34332,0.08006,0.64254,0.6322,5.7162,23.28596,0.21695,0.02213,0.00746999999999999,1.92726,2.11925
"18","2014_Q3",56.735625,"Down",595545000,-372216000,223329000,-93656000,-60829000,-10362000,-22465000,129673000,-1703000,-2188000,335000,127970000,127970000,-48945000,79025000,79025000,79016000,79016000,25281000,17713000,7568000,327410000,327410000,55007000,7697000,10876000,407698000,60178000,2648548000,2516253000,132295000,2766802000,3174500000,262704000,241766000,103000,103000,262807000,178590000,328326000,125406000,202920000,506916000,769723000,885466000,1518277000,2403743000,2404777000,3174500000,79025000,10362000,14633000,30223000,134243000,-3183000,-1407000,-66122000,-70712000,-69517000,1283000.00000003,10990000,2641000,-65593000,-2062000,-2062000,-2062000,140035000,178590000,216020000,0.375,0.21774,0.13268,0.03286,0.02489,2.73388,1.55132,0.32008,0.05626,0.80292,0.79122,6.05161,24.42555,2.19508,0.02714,0.07419,1.09479,1.18227
"19","2014_Q4",61.03875,"Up",626506000,-394794000,231712000,-93569000,-60643000,-11356000,-21570000,138143000,-731000,-2019000,563000,137412000,137412000,-51174000,86238000,86238000,86207000,86207000,79103000,71822000,7281000,345169000,345169000,56789000,8778000,10818000,481061000,63596000,2871769000,2659331000,212438000,2997156000,3478217000,328931000,300321000,349000,349000,329280000,288151000,355674000,152225000,203449000,643825000,973105000,899563000,1604484000,2504047000,2505112000,3478217000,86238000,11356000,9208000,52611000,159413000,-3652000,-3428000,-210574000,-217654000,108958000,4689000,5752000,-1297000,112350000,54109000,54109000,54109000,149499000,288151000,249632000,0.36985,0.2205,0.1376,0.03441,0.02478,2.89573,1.46095,0.38845,0.08284,0.87,0.86082,6.32272,25.27094,2.5193,0.02738,0.07928,1.39832,1.51327
"20","2015_Q1",69.524262295082,"Up",650524000,-404345000,246179000,-105093000,-67641000,-13902000,-23550000,141086000,-2213000,-3313000,195000,138873000,138873000,-50593000,88280000,88280000,88398000,88398000,53963000,47928000,6035000,352191000,352191000,60898000,7036000,7901000,467052000,66048000,3011066000,2776188000,36742000,3141196000,3608248000,405808000,380658000,10465000,10465000,416273000,558308000,368101000,160487000,207614000,926409000,1342682000,887837000,1376782000,2264619000,2265566000,3608248000,88280000,13902000,148000,76477000,178807000,-6656000,-1045000,-133323000,-141024000,280425000,-341934000,18736000,-168000,-61677000,-23894000,-23894000,-23894000,154988000,558308000,275402000,0.37843,0.21688,0.13589,0.03902,0.0245,3.11548,1.12198,0.59265,0.15473,0.90408,0.89435,6.65314,23.16106,2.81663,0.02769,0.08628,3.25409,3.57473
"21","2015_Q2",71.9749206349206,"Up",639395000,-419595000,219800000,-104979000,-67936000,-13612000,-23431000,114821000,-2304000,-3267000,142000,112517000,112517000,-43928000,68589000,68589000,68707000,68707000,56988000,50219000,6769000,360874000,360874000,60095000,4474000,8464000,477957000,67274000,3037281000,2813673000,223608000,3168357000,3646314000,256992000,212290000,10435000,10435000,267427000,886726000,378099000,163036000,215063000,1264825000,1532252000,876345000,1236888000,2113233000,2114062000,3646314000,68589000,13612000,11736000,-147621000,-53684000,-5388000,-454000,-37724000,-43566000,327841000,-229005000,4596000,705000,99541000,2291000,2291000,2291000,128433000,886726000,19352000,0.34376,0.17958,0.10746,0.0325,0.01884,0.28166,1.78724,0.72479,0.24318,0.72913,0.72077,6.7854,22.42609,0.20537,0.02033,0.00573,6.46047,7.22636
"22","2015_Q3",80.69328125,"Up",676588000,-422803000,253785000,-112828000,-72401000,-15549000,-24878000,140957000,-4020000,-5149000,384000,136937000,136937000,-52889000,84048000,84048000,84130000,84130000,70426000,65322000,5104000,380545000,380545000,74533000,9256000,10715000,525504000,81362000,3606340000,3163866000,442474000,3749635000,4275139000,299766000,286719000,12044000,12044000,311810000,1284857000,458177000,209876000,248301000,1743034000,2054844000,898530000,1321018000,2219548000,2220295000,4275139000,84048000,15549000,21768000,24768000,146133000,-7281000,3534000,-531741000,-535488000,395704000,6360000,6360000,2394000,404458000,15103000,15103000,15103000,156506000,1284857000,226882000,0.3751,0.20834,0.12434,0.03789,0.01968,2.6968,1.68533,0.92548,0.30054,0.90951,0.89983,7.31446,23.99511,2.45278,0.02123,0.05725,7.75964,8.61561
"23","2015_Q4",73.96390625,"Down",722273000,-450033000,272240000,-121110000,-80185000,-16918000,-24007000,151130000,-4850000,-6201000,567000,146280000,146280000,-55640000,90640000,90640000,90781000,90781000,68936000,60915000,8021000,406761000,406761000,97481000,10039000,11982000,573178000,82873000,3831174000,3347823000,483351000,3973317000,4546495000,392780000,351644000,11792000,11792000,404572000,1350501000,457681000,219051000,238630000,1808182000,2212754000,918481000,1414654000,2333135000,2333741000,4546495000,90640000,16918000,-6787000,71345000,172116000,-7239000,-254000,-236839000,-244332000,65392000,4316000,5766000,-1899000,67809000,-4407000,-4407000,-4407000,168048000,1350501000,287794000,0.37692,0.20924,0.12569,0.0389,0.01997,3.1702,1.41675,0.94816,0.29704,0.97668,0.96941,7.77064,25.10124,3.09626,0.02192,0.06948,7.62618,8.47988
"24","2016_Q1",66.335737704918,"Down",741740000,-461074000,280666000,-129706000,-85393000,-18149000,-26164000,150960000,-6965000,-8493000,751000,143995000,143995000,-51581000,92414000,92414000,92702000,92702000,60425000,51572000,8853000,444737000,444737000,22607000,9639000,12968000,527769000,83634000,3872523000,3366150000,82154000,4019445000,4547214000,416888000,395807000,11883000,11883000,428771000,1262820000,417777000,188956000,228821000,1680597000,2109368000,927172000,1510356000,2437528000,2437846000,4547214000,92414000,18149000,18956000,-25383000,104136000,-7165000,-4850000,-12599000,-24614000,-75608000,3406000,3406000,-16663000,-88865000,-9343000,-9343000,-9343000,169109000,1262820000,188142000,0.37839,0.20352,0.12498,0.03803,0.02039,2.02954,1.23089,0.86526,0.27771,1.0008,0.9928,8.00773,26.31524,2.03116,0.02251,0.04568,7.11018,7.96499
"25","2016_Q2",68.74390625,"Up",752624000,-491811000,260813000,-136580000,-89950000,-19584000,-27046000,124233000,-13051000,-14463000,618000,111182000,111182000,-43411000,67771000,67771000,67899000,67899000,64279000,55491000,8788000,465826000,465826000,21334000,8297000,13037000,551439000,87742000,3927907000,3387473000,100741000,4084848000,4636287000,300880000,260370000,11864000,11864000,312744000,1430837000,432106000,197995000,234111000,1862943000,2175687000,931899000,1528512000,2460411000,2460600000,4636287000,67771000,19584000,12255000,-132649000,-33039000,-10443000,-6161000,-59540000,-76144000,167464000,-54249000,4397000,-113000,113102000,3919000,3919000,3919000,143817000,1430837000,44136000,0.34654,0.16507,0.09022,0.02759,0.01465,0.65002,1.76323,0.88421,0.30862,0.73588,0.72938,8.15685,26.66563,0.47834,0.0157,0.01021,9.50206,10.99996
"26","2016_Q3",68.39625,"Down",771759000,-484625000,287134000,-139349000,-92116000,-20241000,-26992000,147785000,-13859000,-15058000,410000,133926000,133926000,-51601000,82325000,82325000,82427000,82427000,62481000,51892000,10589000,461160000,461160000,24836000,11453000,13383000,548477000,89896000,4058561000,3510382000,101947000,4222937000,4771414000,315135000,300080000,16969000,16969000,332104000,1422478000,458779000,220472000,238307000,1881257000,2213361000,947026000,1610939000,2557965000,2558053000,4771414000,82325000,20241000,24169000,23008000,149743000,-8728000,-7498000,-136175000,-152401000,-3890999.99999994,3875999.99999999,7058000,-926000,-941000,-3599000,-3599000,-3599000,168026000,1422478000,233907000,0.37205,0.19149,0.1068,0.03222,0.01728,2.83775,1.65152,0.86525,0.29813,0.89418,0.88684,8.37212,27.74907,2.53745,0.01857,0.05269,8.09397,9.20254
"27","2016_Q4",65.0531746031746,"Down",828006000,-521832000,306174000,-149283000,-93457000,-24185000,-31641000,156891000,-16198000,-17215000,221000,140693000,140693000,-44272000,96421000,96421000,96509000,96509000,63294000,52805000,10489000,486957000,486957000,25206000,13248000,11958000,575457000,98495000,4590766000,3828807000,90217000,4768407000,5343864000,393412000,363291000,19621000,19621000,413033000,1769181000,494313000,267833000,226480000,2263494000,2676527000,959889000,1707448000,2667337000,2667337000,5343864000,96421000,24185000,9921000,65599000,196126000,-9249000,-4969000,-529146000,-543364000,347826000,4144000,4144000,-3819000,348151000,913000,913000,913000,181076000,1769181000,281698000,0.36977,0.18948,0.11656,0.03618,0.01806,2.91888,1.39325,1.00345,0.33107,1.04217,1.0361,8.94136,28.80369,3.04196,0.01957,0.05713,9.42083,10.87307
"28","2017_Q1",69.4553225806452,"Up",830770000,-532952000,297818000,-155040000,-97049000,-25254000,-32737000,142778000,-14780000,-16356000,770000,127998000,127998000,-49919000,78079000,78079000,78079000,78079000,66984000,55698000,11286000,495276000,495276000,24868000,11051000,13817000,587128000,103068000,4570229000,3845157000,56543000,4752272000,5339400000,426895000,407938000,22054000,22054000,448949000,1683628000,446056000,227802000,218254000,2129684000,2578633000,975241000,1785526000,2760767000,2760767000,5339400000,78079000,25254000,9795000,17820000,130948000,-10844000,-1023000,-37441000,-49308000,-83528999.9999999,6423000,6423000,-1641000,-78747000.0000001,2893000,2893000,2893000,168032000,1683628000,224927000,0.35848,0.17186,0.09398,0.02828,0.01462,2.88076,1.30778,0.93403,0.31532,0.84289,0.83727,8.9684,29.80328,2.42815,0.01597,0.04599,9.62105,11.32278
"29","2017_Q2",59.2753968253968,"Down",835597000,-572385000,263212000,-157175000,-103765000,-25614000,-27796000,106037000,-16379000,-17752000,576000,89658000,89658000,-34967000,54691000,54691000,54691000,54691000,52977000,41839000,11138000,487685000,487685000,21776000,9822000,11954000,562438000,108261000,4666961000,3946103000,60475000,4862447000,5424885000,304257000,256321000,24356000,24356000,328613000,1877996000,455806000,234461000,221345000,2333802000,2662415000,979961000,1782509000,2762470000,2762470000,5424885000,54691000,25614000,8303000,-110371000,-21763000,-11730000,-8535000,-110945000,-127460000,195923000,-61037000,7077000,478000,135364000,-13859000,-13859000,-13859000,131651000,1877996000,44517000,0.315,0.1269,0.06545,0.0198,0.01008,0.81397,1.71155,0.96378,0.34618,0.59215,0.58717,9.04717,29.90981,0.48199,0.01073,0.00874,13.86255,17.21115
