"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",9.71612903225807,"Up",72539400,-46356820,26182580,-18244196,7938384,-53492,138757,7884892,7884892,-2517455,5367437,5367437,5367437,5367437,3509973,3509973,60648404,60648404,73028601,4026084,2122697,811730,141213062,24396719,30878500,30485935,392565,55275219,196488281,18270010,13366846,3226574,2094553,2094553,20364563,11172285,10765962,406323,53034919,73399482,69694770,53394029,123088799,123088799,196488281,5367437,1515016,-163062,-15961293,-9241902,-1044150,-1051707,11952677,11952677,1659068,1659068,1659068,9453400,41862634,-5034588,0.36094,0.10944,0.07399,0.04361,0.02732,-0.93799,6.93425,0.59631,0.21305,0.71532,0.71532,9.66732,7.11582,-0.67096,4,0.03048,-0.02859,4.05702,4.83129
"12","2013_Q1",11.1361666666667,"Up",58263374,-37313685,20949689,-16799780,4149909,-414633,-230962,3735276,3735276,-1187199,2548077,2548077,2548077,2548077,4022579,4022579,44555057,44555057,67196245,3955740,2127726,575984,119729621,24252465,30862329,30498802,363527,55114794,174844415,12420351,9930518,2154623,1874109,1874109,14294460,11451739,11148333,303406,34913079,49207539,69694770,55942106,125636876,125636876,174844415,2548077,1559883,232564,15629566,19970090,-1030681,-1056190,-18401294,-18401294,512606,512606,512606,5709792,23461340,21495876,0.35957,0.07123,0.04373,0.02028,0.01457,8.43612,8.37595,0.39166,0.13418,0.33958,0.33958,7.76475,7.4554,2.86475,6,0.01587,0.13389,3.40446,4.68413999999999
"13","2013_Q2",11.44046875,"Up",53715476,-35044706,18670770,-17164182,1506588,-134492,-4934,1372096,1372096,-480000,892096,892096,892096,892096,1865887,1865887,42329436,42329436,68258101,5693829,2903410,461297,118147253,24465470,30819042,30490800,328242,55284512,173431765,13530096,11426322,2103774,1547939,1547939,15078035,11404239,11148333,255906,31656537,46734572,69862770,56834423,126697193,126697193,173431765,892096,1532135,157954,411176,2993361,-1936110,-1941011,-3209042,-3209042,-2156692,-2156692,-2156692,3038723,20252298,1993789,0.34759,0.02805,0.01661,0.00704,0.00514,2.23495,7.83572,0.36887,0.11677,0.11889,0.11889,7.15873,7.57439,0.26571,7,0.00563,0.01259,6.0507,12.20401
"14","2013_Q3",13.45859375,"Up",59419751,-39109264,20310487,-17441736,2868751,-142471,4722.99999999997,2726280,2726280,-954000,1772280,1772280,1772280,1772280,2855524,2855524,46429928,46429928,81159941,4881937,2862360,496669,135327330,24418143,30834402,30503659,330743,55252545,190579875,17856175,15252448,2603727,2162393,2162393,20018568,11404239,11148333,255906,42842412,62860980,69862770,57856125,127718895,127718895,190579875,1772280,1597805,20760,-11129586,-7738741,-1680979,-1707140,11185875,10435518,989637,989637,989637,4466556,31438173,-7390009,0.34181,0.04828,0.02983,0.01388,0.0093,-4.16978,6.76009,0.49218,0.16496,0.23579,0.23579,7.90545,7.69741,-0.9832,4,0.01479,-0.04333,6.39926,9.96345
"15","2013_Q4",13.105,"Down",70176216,-47436546,22739670,-18341247,4398423,-126645,73484,4271778,4271778,-1337582,2934196,2934196,2934196,2934196,4580425,4580425,60620981,60620981,78900140,3841615,2259419,358717,147943161,24978962,30803816,30511954,291862,55782778,203725939,17021314,13099826,2894312,3085886,3085886,20107200,11352166,11096260,255906,53718581,73825781,69862770,60037388,129900158,129900158,203725939,2934196,1548311,-5074,-10925117,-6447684,-1980932,-2002724,10928242,10175309,1724901,1724901,1724901,5946734,42366415,-5621733,0.32404,0.06268,0.04181,0.02259,0.0144,-1.91594,7.35772,0.56833,0.20796,0.39037,0.39037,9.33635,7.98747,-0.74792,3,0.02008,-0.03062,6.35407,8.5908
"16","2014_Q1",11.8159016393443,"Down",61559288,-39737764,21821524,-18404523,3417001,-401559,-189938,3015442,2445370,-671186,1774184,1774184,1774184,1774184,4215617,4215617,49069668,49069668,78171670,4201573,2529407,325888,135658528,26205080,37161150,36807099,354051,63366230,199024758,15634808,11486473,4148335,1781631,1781631,17416439,12006624,11750718,255906,50394822,67811261,70153570,61059927,131213497,131213497,199024758,1774184,1585995,485841,4893826,8739846,-2071456,-4316054,-3978217,-4788600,-364808,-364808,-364808,5002996,38388198,8496552,0.35448,0.05551,0.02882,0.01352,0.00891,4.78899,7.78911,0.5168,0.19288,0.23592,0.23592,8.18565,8.11925,1.1298,3,0.01391,0.04679,6.83042,10.00075
"17","2014_Q2",11.7877777777778,"Down",65783284,-43930135,21853149,-20515539,1337610,-224822,-6149,1112788,1112788,-389000,723788,723788,723788,723788,4203846,4203846,52735602,52735602,78308659,4929289,2708168,357133,140177396,27971316,37096214,36773351,322863,65067530,205244926,23783324,19583618,4199706,1632672,1632672,25415996,12006624,11750718,255906,48596624,74012620,70202570,61029736,131232306,131232306,205244926,723788,1645382,91772,3300325,5761267,-3220861,-3220861,-1798198,-2552177,-11771,-11771,-11771,2982992,36590000,3451456,0.3322,0.02033,0.011,0.00552,0.00353,4.7686,5.51532,0.56398,0.17827,0.096,0.09599,8.72488,8.09442,0.45777,4,0.00822,0.01919,10.85694,24.21196
"18","2014_Q3",11.97109375,"Up",68822520,-46236858,22585662,-20041283,2544379,-218918,6381.00000000003,2325461,2325461,-814000,1511461,1511461,1511461,1511461,3960134,3960134,54088664,54088664,86438290,4523597,2657619,754889,149010685,27641771,37090172,36741214,348958,64731943,213742628,24390225,18433803,5956422,1856364,1856364,26246589,12044541,11750718,293823,55404181,81650770,70304984,61786874,132091858,132091858,213742628,1511461,1735603,169707,-7708372,-4291601,-1965825,-1967428,6769640,6015317,-243712,-243712,-243712,4279982,43359640,-4580215,0.32817,0.03697,0.02196,0.01144,0.00707,-3.03032,5.67734,0.61814,0.20286,0.20047,0.20045,9.12798,8.19484,-0.60748,2,0.01208,-0.02443,9.20553,15.48492
"19","2014_Q4",11.6340625,"Down",72729678,-48455886,24273792,-19363984,4909808,-278827,-25855,4630981,4630981,-1492474,3138507,3138507,3138507,3138507,4327710,4327710,61650439,61650439,90115460,4217925,2577125,503371,160311534,27266880,36974514,36707473,267041,64241394,224552928,24897142,18829425,5184947,1712034,1712034,26609176,12704748,12448842,255906,63392344,90001520,70380692,64170716,134551408,134551408,224552928,3138507,1701198,733750,-10530838,-4957383,-1248331,-1248333,7327956,6573292,367576,367576,367576,6611006,50687596,-3675689,0.33375,0.06751,0.04315,0.02333,0.01398,-1.17116,6.02467,0.6689,0.22573,0.41607,0.41595,9.64176,8.5071,-0.48729,2,0.01967,-0.01857,7.01253,9.4423
"20","2015_Q1",14.4608196721311,"Up",78906687,-51258565,27648122,-20677128,6970994,-299042,-52832,6671952,6671952,-2200410,4471542,4471542,4471542,4471542,4616694,4616694,55807103,55807103,85237042,4321829,2553442,476480,149982668,26264641,36981134,36681644,299490,63245775,213228443,23485902,15116131,5682236,1723838,1723838,25209740,13400412,12928048,472364,49670785,74880525,70460672,67887246,138347918,138347918,213228443,4471542,1859722,439402,9697099,16467765,-944057,-951898,-14417223,-15226883,288984,288984,288984,8830716,36270373,19784168,0.35039,0.08834,0.05667,0.03232,0.02097,4.42446,5.94939,0.54125,0.1701,0.59225,0.59186,10.45101,8.99151,2.62037,6,0.0278,0.10522,3.5845,4.54077
"21","2015_Q2",16.9009523809524,"Up",65451303,-43479993,21971310,-19567947,2403363,-228416,-63340,2174947,2174947,-761000,1413947,1413947,1413947,1413947,4391765,4391765,54271919,54271919,83125271,5041055,3078008,618179,146830010,25331520,36926308,36649003,277305,62257828,209087838,18243641,13894921,4348720,1678770,1678770,19922411,13362673,12928048,434625,50054122,69976533,70566065,68545240,139111305,139111305,209087838,1413947,1801555,102479,-2436962,881019,-772809,-773985,421076,-331963,-224929,-224929,-224929,4204918,36691449,1756147,0.33569,0.03672,0.0216,0.01016,0.00676,1.24202,7.37009,0.50303,0.17548,0.18705,0.18686,8.65833,9.06762,0.23231,6,0.01147,0.00928,7.68141,13.43937
"22","2015_Q3",14.9428125,"Down",68583196,-45934563,22648633,-19395298,3253335,-171662,4524,3081673,3081673,-1079000,2002673,2002673,2002673,2002673,4526938,4526938,58073165,58073165,86478155,4626109,2672643,605019,153704367,25258833,36884822,36615202,269620,62143655,215848022,24651542,19436481,5215061,1902406,1902406,26553948,13317256,12928048,389208,48910616,75464564,70667372,69716086,140383458,140383458,215848022,2002673,1789751,95479,-292446,3595457,-1536196,-1536196,-1098089,-1924088,135173,135173,135173,5043086,35593360,4293444,0.33024,0.04744,0.0292,0.01427,0.00928,2.14386,5.78838,0.53756,0.1649,0.26493,0.26467,9.07264,9.22251,0.56797,7,0.01497,0.02268,6.1602,9.5491
"23","2015_Q4",10.3290625,"Down",70001496,-47884019,22117477,-19217222,2900255,-226298,-37885,2673957,2673957,-870290,1803667,1803667,1803667,1803667,3978553,3978553,62389224,62389224,87996325,4985054,2969005,509026,159349156,26808704,36843241,36581475,261766,63651945,223001101,21045607,15623738,5421869,2131750,2131750,23177357,13342215,12998424,343791,58373213,81550570,70762851,70687680,141450531,141450531,223001101,1803667,1781730,166475,-9744179,-5992307,-3161643,-3161643,9437638,8605565,-548385,-548385,-548385,4681985,45030998,-7353547,0.31596,0.04143,0.02577,0.01275,0.00809,-4.077,6.87521,0.57653,0.20193,0.23852,0.23813,9.2572,9.34794,-0.97245,3,0.01319,-0.0368,8.76817,14.15477
"24","2016_Q1",9.71868852459016,"Down",65266028,-43111609,22154419,-20221612,1932807,-175884,-8732,1756923,1756923,-374053,1382870,1382870,1382870,1382870,3407140,3407140,44549207,44549207,76991059,4274513,2530517,583479,129221919,27836527,36806685,36547873,258812,64643212,193865131,12822895,9118555,3704340,1925321,1925321,14748216,13296285,13000609,295676,36996374,51744590,70882392,71238149,142120541,142120541,193865131,1382870,1815087,400695,21159744,24758396,-3166499,-3166499,-21330909,-22163310,-571413,-571413,-571413,3747894,23700089,22115192,0.33945,0.02961,0.02119,0.00973,0.00713,15.99224,8.76187,0.36409,0.12225,0.18274,0.18258,8.62476,9.41396,2.92247,5,0.01237,0.12347,5.41449,10.49921
"25","2016_Q2",10.246875,"Up",57529945,-38619053,18910892,-19131894,-221002,-68448,67528,-289450,-289450,98000,-191450,-191450,-191450,-191450,3716716,3716716,38253999,38253999,84502529,4885912,3073814,597343,131359156,28103995,36768079,36514458,253621,64872074,196231230,19294708,15044942,4249766,1836181,1836181,21130889,12234053,11968791,265262,33883372,55014261,71004499,70212470,141216969,141216969,196231230,-191450,1905604,106054,3442517,5262725,-2068150,-2068150,-2050770,-2884999,309576,309576,309576,1684602,21649319,2960969,0.32871,-0.00384,-0.00333,-0.00136,-0.00098,-15.46602,6.21645,0.38957,0.11033,-0.02525,-0.02525,7.58653,9.25899,0.39047,3,0.00367,0.01691,10.64501,-81.14227
"26","2016_Q3",9.47875,"Down",62560094,-46296834,16263260,-18807595,-2544335,-122994,19221,-2667329,-2667329,908000,-1759329,-1759329,-1759329,-1759329,2470576,2470576,42188601,42188601,87555956,5654277,2886973,587779,137869410,27896273,36727348,36481414,245934,64623621,202493031,27125646,21892208,5233438,2147129,2147129,29272775,12196136,11968791,227345,35699362,64972137,69890665,67630229,137520894,137520894,202493031,-1759329,1907557,171772,52791,372791,-1413984,-1413984,1853907,-204947,-1246140,-1246140,-1246140,-636778,23503226,-2905971,0.25996,-0.04067,-0.02812,-0.01279,-0.00869,1.65175,4.70982,0.47245,0.11607,-0.23362,-0.23362,8.30748,8.98075,-0.38589,4,-0.00541,-0.01678,-33.0298,-8.26646
"27","2016_Q4",9.51111111111111,"Up",73218247,-53452487,19765760,-17745691,2020069,-184913,-3873,1835156,675629,-230000,445629,445629,445629,445629,3942209,3942209,51292323,51292323,79922305,4414780,2644102,579976,139571617,27450150,36686741,36448490,238251,64136891,203708508,21455662,15042805,6412857,2191754,2191754,23647416,12329080,12120693,208387,43301478,66948894,69507320,67252294,136759614,136759614,203708508,445629,1950056,1053470,-6547319,-3098164,-1665166,-1665166,7469172,6234963,1471633,1471633,1471633,3970125,30972398,-4012360,0.26996,0.02759,0.00609,0.00326,0.00219,-9.00381,5.90219,0.48954,0.15204,0.05957,0.05957,9.7883,8.99073,-0.5364,4,0.00705,-0.02228,6.8084,13.38082
"28","2017_Q1",10.1504838709677,"Up",66950298,-45160120,21790178,-19946310,1843868,-181192,-23856,1662676,-1337324,703078,-634246,-634246,-634246,-634246,4480505,4480505,40844583,40844583,69168442,4286036,2354107,688251,118779566,26511493,33648203,33415694,232509,60159696,178939262,15895927,11589040,4306887,1823984,1823984,17719911,11542019,11365800,176219,26126027,43845938,69291637,65801687,135093324,135093324,178939262,-634246,1957619,1959280,15478336,18760989,-714415,-714415,-16388390,-17508278,538296,538296,538296,3801487,14584008,17862330,0.32547,0.02754,-0.00947000000000001,-0.00469,-0.00354,-28.16309,6.70317,0.32456,0.0815,-0.0854,-0.0854,9.01451,8.85985,2.40507,5,0.00113,0.1108,2.65778,5.47952
"29","2017_Q2",11.9947619047619,"Up",63072954,-43324874,19748080,-17381909,2366171,-100230,-100230,2265941,2265941,-770000,1495941,1495941,1495941,1495941,2693078,2693078,39131277,39131277,68819390,3898850,2619898,768729,114542595,25633199,33608931,33383261,225670,59242130,173784725,19456117,14620330,4835787,1704221,1704221,21160338,11542019,11365800,176219,16782019,37942357,69362641,66479727,135842368,135842368,173784725,1495941,1857590,92556,5788466,9234553,-860071,-860071,-9344008,-10161909,-1787427,-1787427,-1787427,4223761,5240000,9922156,0.3131,0.03751,0.02372,0.01101,0.00861,6.63272,5.41308,0.27931,0.03015,0.2012,0.20115,8.48325,8.94146,1.33452,7,0.01516,0.06501,0.603,1.07639
"30","2017_Q3",12.0787301587302,"Up",58454953,-40291432,18163521,-15904935,2258586,-47403,-47403,2211183,2211183,-752000,1459183,1459183,1459183,1459183,2665148,2665148,39952038,39952038,76314721,2773690,2085839,687851,121705597,25610927,33578750,33351030,227720,59189677,180895274,23444393,17475226,5351918,1615789,1615789,25060182,10646172,10464435,181737,19264869,44325051,69449917,67120306,136570223,136570223,180895274,1459183,1632000,79198.0000000002,-4648893,-1478512,-1123747,-1123747,3378697,2574329,-27930.0000000002,-27930.0000000002,-27930.0000000002,3890586,8618697,-1130054,0.31073,0.03864,0.02496,0.01068,0.00807,-0.774440000000001,4.85653,0.32456,0.04764,0.1961,0.19596,7.85579,9.02033,-0.15187,7,0.01462,-0.00725000000000002,1.53024,2.63596
"31","2017_Q4",15.5295238095238,"Up",64675082,-45163539,19511543,-16026654,3484889,-98127,-98127,3386762,3386762,-1152000,2234762,2234762,2234762,2234762,2238862,2238862,45106205,45106205,76885153,3232318,2431996,800322,127462538,24742833,33544644,33319334,225310,58287477,185750015,23955606,16861274,5818439,2002852,2002852,25958458,10646172,10464435,181737,22276172,48234630,68979376,68536009,137515385,137515385,185750015,2234762,1534910,106304,-4782136,-906160,-1140790,-1140790,3011303,1620664,-426286,-426286,-426286,5019799,11630000,248873,0.30169,0.05388,0.03455,0.01625,0.01203,0.11136,4.91025,0.35076,0.06261,0.30044,0.30033,8.69501,9.21408,0.03346,5,0.01911,0.00156,1.87082,2.69482
"32","2018_Q1",17.4155737704918,"Up",66994011,-43648155,23345856,-19629502,3716354,-2219240,-2219240,1497114,1497114,2899000,4396114,4396114,4396114,4396114,3681000,3681000,45027000,45027000,65622000,4855000,2200000,806000,119185000,23781000,30513000,30315000,198000,54294000,173479000,18269000,12983000,5286000,1757000,1757000,20026000,10161000,7726000,2435000,12360000,32386000,68974000,72119000,141093000,141093000,173479000,4396114,1482500,-1352058,5730563,10257119,1545608,1545608,-9430992,-10361084,1441643,1441643,1441643,5198854,2199000,9576025,0.34848,0.05547,0.06562,0.03116,0.02534,2.17829,5.95151,0.22954,0.01268,0.59424,0.58804,9.05592,9.74869,1.29444,7,0.03395,0.0624,-0.28506,-0.39878
"33","2018_Q2",23.80859375,"Up",61387000,-40422000,20965000,-16737000,4228000,-139000,-139000,4089000,4089000,-838000,3251000,3251000,3251000,3251000,10116000,10116000,41231000,41231000,65151000,17368000,2442000,13929000,133866000,23738000,30494000,30304000,190000,54232000,188098000,18986000,14130000,4856000,15116000,15116000,34102000,10168000,7726000,2442000,10168000,44270000,69273000,74555000,143828000,143828000,188098000,3251000,1379000,299000,5935000,10864000,-1415000,-1415000,-2199000,-3014000,6435000,6435000,6435000,5607000,0,10965000,0.34152,0.06887,0.05296,0.0226,0.01728,3.37281,3.92546,0.3078,0,0.43891,0.43749,8.2877,10.06548,1.48036,7,0.0264,0.0712,-1.80417,-2.39262
"34","2018_Q3",26.8719047619048,"Up",58206000,-38673000,19533000,-16160000,3373000,-40000,-40000,3333000,3333000,-684000,2649000,2649000,2649000,2649000,8328000,8328000,42616000,42616000,72644000,11255000,2185000,8848000,134843000,23655000,30466000,30293000,173000,54121000,188964000,23376000,17642000,5734000,10179000,10179000,33555000,9656000,7726000,1930000,9656000,43211000,69437000,76316000,145753000,145753000,188964000,2649000,1350000,90000.0000000002,-3882000,207000,-1175000,-1175000,0,-819999.999999999,-1788000,-1788000,-1788000,4723000,5.82076609134674e-11,350000,0.33558,0.05795,0.04551,0.01817,0.01402,0.13213,4.01857,0.29647,1.0842021724855e-19,0.3575,0.35514,7.85519,10.29923,0.0472300000000001,6,0.02277,0.00225,-1.76329,-2.46902
