"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2019_Q4",1.279375,"Up",-18246000,-16666000,-1580000,-10750000,-3958000,-3905000,-53000,-14708000,4338000,-10370000,-10370000,-10370000,-10370000,-10370000,50058000,30173000,3900000,3584000,61743000,27126000,6271000,6271000,33397000,95140000,25962000,11664000,14298000,64287000,83466000,83466000,215559000,279846000,2792954000,-184706000,-184706000,95140000,-10370000,-332000,-39519000,-1830000,-52051000,-963000,3761000,-80467952.7143606,65495000,17205000,17205000,17205000,-11082000,134613000,0.05614,-0.109,0.96043,-1.51509,1.41489,-0.05188,-0.05188,-0.92413,-0.31073,-7.62994,-7.86558
"38","2020_Q1",1.35112903225806,"Up",-17742000,-15721000,-2021000,-6381000,-1660000,-818000,-842000,-8041000,-6222000,-14263000,-14263000,-14263000,-14263000,-14263000,49884000,29906000,3205000,2889000,60757000,26778000,6190000,6190000,32968000,93725000,20693000,4789000,15904000,65618000,20123000,11779000,218633000,284251000,2801396000,-190526000,-190526000,93725000,-14263000,565000,8428000,163000,-5107000,-109000,-202000,-70423000,5042000,-267000.000000004,-267000.000000004,-267000.000000004,-5816000,203538000,0.07486,-0.15218,0.92592,-1.49193,2.17165,-0.06891,-0.06891,-0.92051,-0.430449999999999,-26.41919,-24.07992
"39","2020_Q2",1.39746031746032,"Up",-16105000,-14350000,-1755000,-7396000,-2201000,-2197000,-4000,-9597000,275000,-9322000,-9322000,-9322000,-9322000,-9322000,38868000,38868000,2217000,1901000,49348000,26517000,4347000,4347000,30864000,80212000,25057000,6731000,18326000,68248000,83134000,81362000,210014000,278262000,2803175000,-198050000,-198050000,80212000,-9322000,538000,2907000,-5342000,-11219000,-150000,19850000,-337000,331000,8962000,8962000,8962000,-6858000,131981000,0.04707,-0.11622,0.72307,-1.40501,1.6454,-0.04388,-0.04388,-0.93214,-0.54626,-13.57728,-12.58964
"40","2020_Q3",1.72921875,"Up",-15134000,-13670000,-1464000,-5680000,-2337000,-2351000,13999.9999999999,-8017000,-2235000,-10252000,-10252000,-10252000,-10252000,-10252000,63222000,63222000,2172000,1856000,72583000,26187000,4011000,4011000,30198000,102781000,20527000,5821000,14706000,67939000,87191000,82331000,214552000,282491000,2831767000,-179710000,-179710000,102781000,-10252000,567000,5993000,7999.99999999907,-3684000,-150000,-150000,-195000,28188000,24354000,24354000,24354000,-5113000,132748000,0.05705,-0.09975,1.06836,-1.57193,1.29156,-0.04804,-0.04804,-0.84205,-0.25484,-13.59789,-12.24049
"41","2020_Q4",2.62203125,"Up",-15383000,-13899000,-1484000,-5203000,-2483000,1501000,14000,-7686000,-3787000,-11473000,-11255000,-11255000,-11255000,-11255000,52398000,52398000,4932000,4616000,66346000,25736000,3599000,3599000,29335000,95681000,21611000,5797000,15814000,106124000,85027000,83328000,175977000,282101000,2836312000,-186420000,-186420000,95681000,-11255000,534000,6840000,-9579000,-13460000,-4000.00000000003,-3999.99999999814,65000,2640000,-10824000,-10824000,-10824000,-4669000,136329000,0.06037,-0.11763,0.62517,-1.51326,1.42483,-0.04898,-0.04898,-0.81126,-0.32216,-17.97623,-16.13127
"42","2021_Q1",4.10393442622951,"Up",-18666000,-17121000,-1545000,-6506000,-10266000,-6257000,-1000,-16772000,-9639000,-26411000,-26411000,-26411000,-26411000,-26411000,67005000,67005000,3280000,3122000,79476000,25867000,3265000,3265000,29132000,108608000,25289000,5582000,19707000,73705000,12940000,10076000,215322000,289027000,2868724000,-180419000,-180419000,108608000,-26411000,510000,21003000,5133000,235000.000000002,-497000,-4480000,182000,18694000,14449000,14449000,14449000,-5996000,206443000,0.14639,-0.24318,1.0783,-1.60198,1.90081,-0.11255,-0.11255,-0.76884,-0.67783,-23.25517,-21.43222
"43","2021_Q2",4.33206349206349,"Up",-19855000,-17413000,-2442000,-10029000,-2887000,-6449000,-276000,-12916000,-24256888.7346108,-12916000,-12916000,-12916000,-12916000,-12916000,276795000,247833000,2924000,2766000,288342000,26507000,3053000,3053000,31040000,319382000,34292000,6706000,27586000,73116000,13174000,10679000,419888000,493004000,2888437000,-173622000,-173622000,319382000,-12916000,655000,-566000,96000,-12731000,-976000,-31418000,-6909000,224977000,180828000,180828000,180828000,-9374000,411384000,0.07439,-0.04044,3.94362,-2.83952,1.28806,-0.05237,-0.05237,-0.70397,-0.05147,-14.35769,-13.41998
"44","2021_Q3",4.50484375,"Up",-22385000,-20056000,-2329000,-9031000,-4023000,-3155000,34999.9999999999,-13054000,-22469000,-35523000,-35523000,-35523000,-35523000,-35523000,162492000,62522000,3624000,3624000,179903000,28139000,5799000,5799000,72888000,252791000,29892000,7486000,22406000,60429000,12478000,10325000,375913000,436342000,2914031000,-183551000,-183551000,252791000,-35523000,1016000,31351000,-18291000,-21447000,-1054000,-112532000,-544999.999999998,-51490000,-185469000,-185469000,-185469000,-8015000,368308000,0.19353,-0.14052,2.9771,-2.37722,1.45697,-0.14403,-0.14403,-0.74423,-0.1801,-25.67885,-22.78995
"45","2021_Q4",4.62640625,"Up",-20876000,-17221000,-3655000,-8552000,-2766000,-2767000,1000,-11318000,6892000,-4426000,-4426000,-4426000,-4426000,-4426000,139052000,51740000,3227000,3227000,159206000,30848000,6094000,6094000,79001000,238207000,30357000,9528000,20829000,50033000,12481000,10131000,372862000,422895000,2917320000,-184688000,-184688000,238207000,-4426000,1324000,-3794000,-8288000,-15184000,-4246000,4991999.99999997,-590000,-590000,-10782000,-10782000,-10782000,-7228000,360381000,0.02396,-0.01858,3.18202,-2.28978,1.51289,-0.01771,-0.01771,-0.73902,-0.02352,-30.62106,-25.88038
"46","2022_Q1",3.65370967741935,"Down",-26613000,-22727000,-3886000,-25532000,-461000,-4094000,1000,-25993000,-2068000,-28061000,-28061000,-28061000,-28061000,-28061000,204116000,124184000,3482000,3482000,219489000,36612000,8441000,8441000,101672000,321161000,34375000,6956000,27419000,48349000,124300000,104757000,482161000,530510000,2920720000,-209349000,-209349000,321161000,-28061000,1220000,5741000,8753000,-12347000,-5190000,-12579000,104638000,97370000,72444000,72444000,72444000,-24312000,357861000,0.13404,-0.08737,4.53968,-2.53409,1.11427,-0.11228,-0.11228,-0.8377,-0.10286,-6.32383,-6.02166
"47","2022_Q2",3.67322580645161,"Up",-24233000,-20697000,-3536000,-23239000,-2759000,-4742000,519236.001155547,-25998000,-104089481.059111,-25998000,-25998000,-25998000,-25998000,-25998000,162446000,67243000,3952000,3952000,184265000,41453000,12058000,12058000,124053000,308318000,35833000,8702000,27131000,60548000,125763000,98821000,479834000,540382000,2925079000,-232064000,-232064000,308318000,-25998000,1324000,3599000,2827000,-18248000,-5056000,-39506000,129000,813000,-56941000,-56941000,-56941000,-21915000,354071000,0.11203,-0.08432,3.04329,-2.32859,1.1484,-0.10321,-0.10321,-0.9213,-0.10493,-8.74401,-8.24584
"48","2022_Q3",3.7696875,"Up",-30936000,-26043000,-4893000,-24957000,-4066000,-8569000,1934708.00346664,-29023000,-345801193.177334,-29023000,-29023000,-29023000,-29023000,-29023000,154156000,35507000,3717000,3717000,193476000,37918000,21807000,17507000,92321000,285797000,41007000,7823000,33184000,59564000,134747000,99057000,473289000,532853000,2939240000,-247056000,-247056000,285797000,-29023000,1411000,8853000,-13223000,-31982000,2834000,623000,-377000.000000015,-377000,-31736000,-31736000,-31736000,-23546000,338542000,0.11748,-0.10155,3.2482,-2.15681,1.18455,-0.11522,-0.11522,-0.98082,-0.12829,-7.83088,-7.38815
