"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",40.9348387096774,"Down",1.865e+09,-1.692e+09,-4.63e+08,-5.13e+08,-7.16e+08,1.73e+08,-1.02e+08,8e+06,7.1e+07,-1.232e+09,-1.161e+09,4.42e+08,-7.19e+08,-7.19e+08,-7.19e+08,-7.19e+08,7.502e+09,5.338e+09,1.113e+09,1.113e+09,8.18e+08,8.18e+08,9.433e+09,2.7146e+10,6.969e+09,6.114e+09,8.55e+08,3.4115e+10,4.3548e+10,1.485e+09,1.485e+09,1.231e+09,1.231e+09,5.496e+09,8.455e+09,7.816e+09,2.872e+09,1.6271e+10,2.1767e+10,3.685e+09,1.6217e+10,1.879e+09,2.1781e+10,2.1781e+10,4.3548e+10,-7.19e+08,-7.19e+08,7.16e+08,1.288e+09,8e+07,1.365e+09,-1.428e+09,-2.648e+09,-8e+07,4e+06,5.27e+08,-7.56e+08,-7.56e+08,-7e+06,-7.63e+08,8.89e+08,1.1235e+10,-9.01e+08,0.09276,-0.38552,-0.03301,-0.01651,1.25313,1.71634,0.99936,0.25799,-1.7975,-1.79302,4.6625,54.4525,-2.2525,0.2,-0.01565,-0.02207,-0.11127,4.1991,21.57803
"12","2013_Q1",41.2588333333333,"Up",2.58e+09,-1.967e+09,-5.97e+08,-5.34e+08,-7.31e+08,6.13e+08,-4.9e+07,2.5e+07,5.64e+08,-1.065e+09,-5.01e+08,1.44e+08,-3.57e+08,-3.57e+08,-3.57e+08,-3.57e+08,6.98e+09,4.637e+09,1.245e+09,1.245e+09,7.46e+08,7.46e+08,8.971e+09,2.7316e+10,7.039e+09,6.079e+09,9.6e+08,3.4355e+10,4.3326e+10,1.451e+09,1.451e+09,1.363e+09,1.363e+09,6.003e+09,8.455e+09,7.59e+09,2.897e+09,1.6045e+10,2.2048e+10,3.729e+09,1.5778e+10,1.771e+09,2.1278e+10,2.1278e+10,4.3326e+10,-3.57e+08,-3.57e+08,7.31e+08,8.4e+08,-7.5e+07,1.139e+09,-1.926e+09,-2.105e+09,-8.2e+07,0,2.74e+08,-6.92e+08,-6.93e+08,-8e+06,-7.01e+08,1.344e+09,1.1644e+10,-8.01e+08,0.2376,-0.13837,-0.01678,-0.00824,2.2437,1.49442,1.03619,0.26875,-0.8925,-0.89924,6.45,53.195,-2.0025,0.205,-0.00679,-0.01977,-0.22969,3.47024,7.60848
"13","2013_Q2",41.1171875,"Down",1.971e+09,-1.764e+09,-5.13e+08,-5.25e+08,-7.04e+08,2.07e+08,-1.05e+08,-2e+06,1.02e+08,-2.064e+09,-1.962e+09,6.23e+08,-1.339e+09,-1.339e+09,-1.339e+09,-1.339e+09,6.501e+09,5.275e+09,1.369e+09,1.369e+09,5.33e+08,5.33e+08,8.403e+09,2.6382e+10,6.797e+09,6.017e+09,7.8e+08,3.3179e+10,4.1582e+10,1.409e+09,1.409e+09,1.194e+09,1.194e+09,6.8e+09,7.955e+09,7.119e+09,2.965e+09,1.5074e+10,2.1874e+10,3.758e+09,1.4358e+10,1.592e+09,1.9708e+10,1.9708e+10,4.1582e+10,-1.339e+09,-1.339e+09,7.04e+08,1.789e+09,-1.55e+08,9.99e+08,-1.897e+09,-7.79e+08,-8.1e+07,3e+06,4.3e+08,6.5e+08,6.5e+08,-1.2e+07,6.38e+08,9.11e+08,1.2152e+10,-1.764e+09,0.10502,-0.67935,-0.06794,-0.0322,1.3174,1.23574,1.1099,0.29224,-3.33085,-3.33085,4.90299,49.02488,-4.38806,0.20149,-0.03227,-0.04526,-0.06049,6.20307,27.29952
"14","2013_Q3",42.34109375,"Up",3.088e+09,-1.815e+09,-5.49e+08,-5.59e+08,-6.74e+08,1.273e+09,-1.03e+08,0,1.17e+09,-1.73e+08,9.97e+08,-3.14e+08,6.83e+08,6.83e+08,6.83e+08,6.83e+08,4.232e+09,3.363e+09,1.538e+09,1.538e+09,5.87e+08,5.87e+08,6.357e+09,2.6925e+10,6.738e+09,5.917e+09,8.21e+08,3.3663e+10,4.002e+10,1.197e+09,1.197e+09,1.474e+09,1.474e+09,4.865e+09,7.956e+09,7.133e+09,2.937e+09,1.5089e+10,1.9954e+10,3.788e+09,1.4952e+10,1.326e+09,2.0066e+10,2.0066e+10,4.002e+10,6.83e+08,6.83e+08,6.74e+08,2.7e+07,9.7e+07,1.481e+09,-1.638e+09,-1.282e+09,-8.9e+07,2e+06,-2.089e+09,-1.89e+09,-1.89e+09,-2.2e+07,-1.912e+09,1.947e+09,1.015e+10,7.2e+08,0.41224,0.22118,0.03404,0.01707,1.05417,1.30668,0.99442,0.25362,1.699,1.699,7.68159,49.91542,1.79104,0.22139,0.02067,0.01928,0.13031,3.03955,4.64886
"15","2013_Q4",45.60453125,"Up",2.714e+09,-1.844e+09,-5.26e+08,-6e+08,-6.91e+08,8.7e+08,-9.4e+07,6e+06,7.76e+08,-1.37e+08,6.39e+08,-2.1e+08,4.29e+08,4.29e+08,4.29e+08,4.29e+08,4.32e+09,4.32e+09,1.52e+09,1.52e+09,4.75e+08,4.75e+08,6.315e+09,2.7962e+10,6.569e+09,5.954e+09,6.15e+08,3.4531e+10,4.0846e+10,1.269e+09,1.269e+09,1.401e+09,1.401e+09,4.782e+09,7.956e+09,7.496e+09,2.991e+09,1.5452e+10,2.0234e+10,3.818e+09,1.5292e+10,1.502e+09,2.0612e+10,2.0612e+10,4.0846e+10,4.29e+08,4.29e+08,6.91e+08,4.64e+08,1.8e+07,1.602e+09,-1.368e+09,-4.99e+08,-8.9e+07,0,-1.71e+08,9.32e+08,9.32e+08,2.5e+07,9.57e+08,1.561e+09,1.0068e+10,4.21e+08,0.32056,0.15807,0.02081,0.0105,0.98135,1.32058,0.98166,0.24649,1.06716,1.06716,6.75124,51.27363,1.04726,0.22139,0.01357,0.01103,0.20746,3.68225,6.6069
"16","2014_Q1",46.3383606557377,"Up",2.624e+09,-1.907e+09,-5.82e+08,-5.84e+08,-7.11e+08,7.17e+08,-1.16e+08,-5e+06,6.01e+08,-1.26e+08,4.75e+08,-2.68e+08,2.07e+08,2.07e+08,2.07e+08,2.07e+08,6.066e+09,6.066e+09,1.52e+09,1.52e+09,4.19e+08,2.55e+08,8.005e+09,2.8447e+10,6.425e+09,5.858e+09,5.67e+08,3.4872e+10,4.2877e+10,1.229e+09,1.229e+09,1.36e+09,1.341e+09,6.655e+09,7.956e+09,7.767e+09,2.974e+09,1.5723e+10,2.2378e+10,3.821e+09,1.541e+10,1.268e+09,2.0499e+10,2.0499e+10,4.2877e+10,2.07e+08,2.07e+08,7.11e+08,5.2e+08,-8.7e+07,1.351e+09,-1.436e+09,-1.436e+09,-8.9e+07,-999999.999999996,1.85e+09,1.765e+09,1.765e+09,-1.9e+07,1.746e+09,1.428e+09,1.2022e+10,1.73e+08,0.27325,0.07889,0.0101,0.00483,0.835750000000001,1.20285,1.09166,0.28038,0.51493,0.51493,6.52736,50.99254,0.43035,0.22139,0.00735,0.00428999999999999,0.42995,4.17087,8.30683
"17","2014_Q2",54.4965079365079,"Up",3.725e+09,-2.876e+09,-1.516e+09,-5.98e+08,-7.39e+08,8.49e+08,-1.3e+08,-1.8e+07,7.19e+08,-1.59e+08,5.6e+08,-2.31e+08,3.29e+08,3.29e+08,3.24e+08,3.24e+08,2.027e+09,2.027e+09,2.58e+09,2.58e+09,4.13e+08,4.13e+08,5.02e+09,3.7429e+10,1.0316e+10,9.155e+09,1.161e+09,4.7745e+10,5.2765e+10,1.581e+09,1.581e+09,2.226e+09,2.226e+09,7.58e+09,1.1739e+10,8.4e+09,3.151e+09,2.0139e+10,2.7719e+10,3.877e+09,1.5644e+10,9.73e+08,2.0494e+10,2.5046e+10,5.2765e+10,3.29e+08,3.29e+08,7.39e+08,6.06e+08,-2.27e+08,1.447e+09,-7.376e+09,-7.319e+09,-9e+07,-1.03e+08,1.844e+09,-4.028e+09,-4.028e+09,-1.1e+07,-4.039e+09,1.588e+09,1.5512e+10,-5.784e+09,0.22792,0.08698,0.01294,0.00614,-17.85185,0.66227,1.10672,0.29398,0.80397,0.8,9.24318,50.8536,-14.35236,0.22333,0.00846,-0.11814,0.27778,8.49181,15.88339
"18","2014_Q3",55.88875,"Up",4.51e+09,-3.638e+09,-2.195e+09,-5.82e+08,-8.28e+08,8.72e+08,-2.2e+08,-8.9e+07,6.52e+08,9.02e+08,1.554e+09,-8.54e+08,7e+08,7e+08,6.75e+08,6.75e+08,1.706e+09,1.706e+09,2.301e+09,2.301e+09,3.85e+08,3.85e+08,4.392e+09,3.6999e+10,9.724e+09,8.408e+09,1.316e+09,4.6723e+10,5.1115e+10,1.529e+09,1.529e+09,2.675e+09,2.675e+09,4.679e+09,1.188e+10,8.497e+09,2.57e+09,2.0377e+10,2.5056e+10,3.984e+09,1.622e+10,1.27e+09,2.1474e+10,2.6059e+10,5.1115e+10,7e+08,7e+08,8.28e+08,-7.2e+07,6.4e+08,2.096e+09,752999999.999998,7.53e+08,-9.9e+07,-8999999.99999999,-3.194e+09,-345000000.000001,-3.45e+08,2.4e+07,-321000000.000001,1.7e+09,1.2355e+10,3.947e+09,0.19335,0.14967,0.0259,0.01321,5.84741,0.93866,0.96151,0.24171,1.66667,1.65848,11.1358,53.02222,9.74568,0.24444,0.0165,0.08414,0.14667,6.26412,12.21216
"19","2014_Q4",45.7146875,"Down",5.336e+09,-3.42e+09,-1.976e+09,-5.84e+08,-8.42e+08,1.916e+09,-1.2e+08,-4e+06,1.796e+09,-1.42e+08,1.654e+09,-6.13e+08,1.041e+09,1.041e+09,1.016e+09,1.016e+09,3.408e+09,3.408e+09,2.009e+09,2.009e+09,5.56e+08,5.56e+08,5.973e+09,3.5169e+10,9.697e+09,8.31e+09,1.387e+09,4.4866e+10,5.0839e+10,1.995e+09,1.344e+09,2.101e+09,2.101e+09,5.994e+09,1.0161e+10,7.916e+09,2.274e+09,1.8077e+10,2.4071e+10,4.045e+09,1.7138e+10,9.93e+08,2.2176e+10,2.6768e+10,5.0839e+10,1.041e+09,1.041e+09,8.42e+08,-6.06e+08,2.85e+08,1.562e+09,5.57e+08,5.57e+08,-9.8e+07,-7e+06,-3.89e+08,1.73e+09,1.73e+09,-2.8e+07,1.702e+09,2.758e+09,1.2059e+10,4.213e+09,0.35907,0.1904,0.03796,0.01998,4.14665,0.9965,0.89925,0.2372,2.51485,2.50246,13.20792,54.89109,10.42822,0.24257,0.02383,0.09013,0.09646,3.13669,4.51514
"20","2015_Q1",46.1965573770492,"Up",7.067e+09,-3.472e+09,-1.975e+09,-5.68e+08,-9.1e+08,3.595e+09,-1.69e+08,-2e+06,3.426e+09,-3.135e+09,2.91e+08,-6.7e+08,-3.79e+08,-3.79e+08,-4.08e+08,-4.08e+08,1.48e+09,1.48e+09,1.959e+09,1.959e+09,3.059e+09,5.44e+08,6.498e+09,3.6296e+10,7.843e+09,6.303e+09,1.54e+09,4.4139e+10,5.0637e+10,1.4e+09,1.4e+09,3.103e+09,2.373e+09,5.935e+09,9.83e+09,8.531e+09,2.287e+09,1.8361e+10,2.4296e+10,4.129e+09,1.6631e+10,7.79e+08,2.1539e+10,2.6341e+10,5.0637e+10,-3.79e+08,-3.79e+08,9.1e+08,1.464e+09,-9.9e+08,1.005e+09,-2.264e+09,-2.264e+09,-9.9e+07,3.34e+08,-6.55e+08,-1.914e+09,-1.914e+09,-1.4e+07,-1.928e+09,4.505e+09,1.1262e+10,1.921e+09,0.5087,-0.05773,-0.01549,-0.00806,-4.70833,1.09486,0.92236,0.22241,-1,-0.99512,17.32108,52.79167,4.70833,0.24265,-0.0067,0.04164,-0.24265,2.17137,2.72099999999999
"21","2015_Q2",49.168253968254,"Up",3.265e+09,-3.192e+09,-1.69e+09,-5.53e+08,-9.3e+08,7.3e+07,-1.29e+08,-1.2e+07,-5.6e+07,-5.568e+09,-5.624e+09,2.035e+09,-3.589e+09,-3.589e+09,-3.599e+09,-3.599e+09,1.858e+09,1.858e+09,1.663e+09,1.663e+09,2.285e+09,5.79e+08,5.806e+09,3.1455e+10,8.081e+09,6.328e+09,1.753e+09,3.9536e+10,4.5342e+10,1.335e+09,1.335e+09,2.777e+09,2.139e+09,5.56e+09,1.0301e+10,6.462e+09,2.295e+09,1.6763e+10,2.2323e+10,4.583e+09,1.2933e+10,4.81e+08,1.7997e+10,2.3019e+10,4.5342e+10,-3.589e+09,-3.589e+09,9.3e+08,3.93e+09,3.8e+08,1.651e+09,-2.119e+09,-2.119e+09,-9.9e+07,-6.3e+07,8.92e+08,4.24e+08,4.24e+08,-4.6e+07,3.78e+08,1.003e+09,1.1749e+10,-2.771e+09,0.02236,-1.1023,-0.15635,-0.07937,0.76994,1.04424,0.96976,0.25912,-8.86453,-8.86453,8.04187,44.32759,-6.82512,0.24384,-0.08489,-0.06721,-0.02751,9.86142,135.49315
