"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2014_Q3",15.54484375,"Up",5765000,4645000,5241000,-596000,1120000,111000,698000,311000,-2e+05,5565000,-3697000,-3697000,1868000,1868000,1790000,-574000,1216000,1216000,1216000,1216000,28866000,29508000,399747000,-4191000,403938000,2006000,1391000,7422000,468940000,373912000,328984000,44928000,374000,39899000,5128000,419313000,23194000,26239000,123000,49556000,71000,49627000,468940000,1216000,351000,2e+05,12836000,-13929000,674000,-63000,1130000,-9413000,-8346000,-126000,0,10565000,21924000,14252000,14252000,14252000,2219000,40273000,-11199000,0.32402,0.21093,0.0245,0.00259,-9.2097,8.44929,0.08588,0.48446,0.46751,2.29681,19.74343,-4.46175,0.0502,0.00286,-0.02388,0.10362,5.1406,6.10653
"12","2014_Q4",15.7259375,"Up",6214000,4783000,5395000,-612000,1431000,184000,806000,441000,-2e+05,6014000,-4206000,-4206000,1808000,1808000,1820000,-585000,1235000,1235000,1235000,1235000,22139000,29002000,413121000,-4230000,417351000,5621000,1446000,7376000,478705000,403174000,358955000,44219000,778000,20738000,3165000,427855000,23243000,27348000,187000,50778000,72000,50850000,478705000,1235000,348000,2e+05,14432000,-17094000,-879000,-104000,1374000,-12597000,5372000,-126000,4000,7659000,-11220000,-6727000,-6727000,-6727000,2156000,21516000,-14457000,0.29096,0.19874,0.02429,0.00258,-11.70607,8.41406,0.04495,0.49086,0.47319,2.46979,20.18203,-5.74603,0.05008,0.00284,-0.0302,0.10202,-0.28896,-0.34458
"13","2015_Q1",16.4132786885246,"Up",5949000,4913000,5518000,-605000,1036000,253000,531000,252000,-2e+05,5749000,-4167000,-4167000,1582000,1582000,1523000,-721000,802000,802000,802000,802000,29289000,25966000,425973000,-4387000,430360000,5555000,1497000,6907000,495187000,407809000,363456000,44353000,474000,30578000,4466000,443327000,23577000,28024000,183000,51784000,76000,51860000,495187000,802000,290000,2e+05,16108000,-13103000,4297000,-3754000,1419000,-14280000,-33314000,-126000,77000,26238000,36167000,7150000,7150000,7150000,1872000,31052000,-14264000,0.26593,0.13481,0.01546,0.00162,-17.78554,8.54853,0.06271,0.3183,0.30922,2.36109,20.55248,-5.66122,0.05001,0.00187,-0.02881,0.15711,0.94177,1.11441
"14","2015_Q2",17.5784126984127,"Up",5859000,4688000,5377000,-689000,1171000,396000,645000,161000,-1e+05,5759000,-3952000,-3952000,1807000,1807000,1735000,-527000,1208000,1208000,1208000,1208000,35223000,23835000,418664000,-4436000,423100000,5604000,1448000,6934000,491708000,416220000,368431000,47789000,940000,18417000,3131000,438708000,23643000,29107000,165000,52915000,85000,5.3e+07,491708000,1208000,322000,1e+05,21206000,-22988000,-152000.000000001,-194000,2938000,6788000,9531999.99999999,-125000,-37000,8411000,-3446000.00000001,5934000,5934000,5934000,2129000,19357000,-20526000,0.30841,0.20618,0.02279,0.00246,-16.99172,8.27751,0.03937,0.47844,0.46423,2.32051,20.95749,-8.12952,0.04951,0.00271,-0.04174,0.10348,-7.45233,-8.7803
"15","2015_Q3",17.68421875,"Up",6436000,4730000,5410000,-680000,1706000,390000,671000,645000,-2e+05,6236000,-4390000,-4390000,1846000,1846000,1836000,-589000,1247000,1247000,1247000,1247000,34087000,24183000,430025000,-4572000,434597000,5739000,1494000,7919000,503447000,418629000,367172000,51457000,481000,26256000,5074000,450440000,22540000,30202000,186000,52928000,79000,53007000,503447000,1247000,-27000,2e+05,22546000,-23183000,783000,-285000,978000,-11042000,-10349000,-152000,-1207000,2409000,8430000,-1136000,-1136000,-1136000,1819000,26737000,-21060000,0.28682,0.19375,0.02353,0.00248,-16.88853,8.49775,0.05311,0.49668,0.47925,2.56346,21.0812,-8.38819,0.06054,0.00278,-0.04183,0.12189,-4.04068,-3.98158
"16","2015_Q4",18.838125,"Up",6157000,4890000,5576000,-686000,1267000,360000,642000,265000,-1e+05,6057000,-4285000,-4285000,1772000,1772000,1676000,-561000,1115000,1115000,1115000,1115000,36669000,21131000,431147000,-4682000,435829000,5580000,1453000,6041000,502021000,419575000,369031000,50544000,895000,24096000,3391000,447957000,22668000,31168000,167000,54003000,61000,54064000,502021000,1115000,220000,1e+05,15475000,-13045000,3865000,-61000.0000000001,818000,-1104000.00000001,-347000,-149000,12999.9999999998,946000,-936000,2582000,2582000,2582000,1992000,24991000,-10553000,0.2878,0.18109,0.02062,0.00222,-9.46457,8.28568,0.04978,0.45243,0.43691,2.49832,21.91276,-4.28208,0.06046,0.00252,-0.02102,0.13363,-5.86245,-6.59029
"17","2016_Q1",19.8231147540984,"Up",6512000,5393000,6090000,-697000,1119000,155000,647000,317000,0,6512000,-4547000,-4547000,1965000,1965000,1832000,-612000,1220000,1220000,1220000,1220000,48264000,22745000,454833000,-4636000,459469000,5335000,1608000,7975000,540760000,440024000,389151000,50873000,569000,40435000,4229000,485257000,23027000,32240000,164000,55431000,72000,55503000,540760000,1220000,105000,0,13257000,-15327000,-745000,-572000,667000,-24561000,-24466000,-148000,35000,20449000,36806000,11595000,11595000,11595000,2070000,41004000,-13217000,0.30175,0.18735,0.02198,0.00226,-10.83361,8.7429,0.07583,0.49458,0.47616,2.63993,22.47143,-5.3581,0.06,0.00253,-0.02444,0.12131,-3.50725,-3.69466
"18","2016_Q2",20.854375,"Up",6301000,5351000,6068000,-717000,950000,210000,566000,174000,-150000,6151000,-4461000,-4461000,1690000,1690000,1690000,-584000,1106000,1106000,1106000,1106000,49679000,21205000,457723000,-4709000,462432000,5252000,1595000,8084000,543538000,448121000,393473000,54648000,1091000,31374000,6405000,486991000,23135000,33160000,170000,56465000,82000,56547000,543538000,1106000,195000,150000,13799000,-10716000,4534000,-824000,533000,-2206000,-2497000,-186000,6000,8097000,-622000,1415000,1415000,1415000,1885000,32465000,-9071000,0.26821,0.17553,0.01956,0.00203,-8.20163,8.61215,0.05973,0.44637,0.43008,2.54303,22.78881,-3.66098,0.07507,0.00238,-0.01669,0.16817,-9.1321,-10.1858
"19","2016_Q3",21.7428125,"Up",6644000,5407000,6116000,-709000,1237000,341000,679000,217000,-1e+05,6544000,-4651000,-4651000,1893000,1893000,1887000,-633000,1254000,1254000,1254000,1254000,45187000,22067000,459810000,-4838000,464648000,5088000,1592000,8015000,541759000,443867000,384323000,59544000,505000,35613000,3962000,483947000,23272000,34228000,222000,57722000,90000,57812000,541759000,1254000,199000,1e+05,22070000,-23924000,-301000,677000,-1027000,-3065000,-3415000,-186000,11000,-4254000,-776000,-4492000,-4492000,-4492000,2092000,36118000,-20522000,0.28492,0.18874,0.02169,0.00231,-16.36523,8.37105,0.06667,0.50542,0.48624,2.67785,23.26475,-8.27135,0.07497,0.00266,-0.03788,0.14833,-4.33509,-4.79081
"20","2016_Q4",23.3211111111111,"Up",6961000,5418000,6148000,-730000,1543000,477000,743000,323000,0,6961000,-4747000,-4747000,2214000,2214000,2211000,-757000,1454000,1454000,1454000,1454000,55275000,23564000,472207000,-4859000,477066000,5274000,1630000,8256000,566206000,463483000,395114000,68369000,1032000,37453000,4948000,506916000,23545000,35496000,187000,59228000,62000,59290000,566206000,1454000,199000,0,21914000,-22772000,794999.999999999,-385000,270000,-12536000,-12651000,-186000,147000,19616000,21944000,10088000,10088000,10088000,2413000,38485000,-19987000,0.31806,0.20888,0.02452,0.00257,-13.74622,8.54977,0.06797,0.58391,0.5661,2.79548,23.7855,-8.02662,0.0747,0.0029,-0.0353,0.12792,-6.95814,-7.58356
"21","2017_Q1",26.4591935483871,"Up",7342000,5955000,6718000,-763000,1387000,338000,520000,529000,-204000,7138000,-4856000,-4856000,2282000,2282000,2285000,-721000,1564000,1564000,1564000,1564000,54582000,22397000,495179000,-4822000,500001000,5549000,1816000,8860000,588383000,467731000,403990000,63741000,638000,54792000,4191000,527352000,24004000,36873000,81000,60958000,73000,61031000,588383000,1564000,2e+05,204000,29658000,-29506000,2120000,-475000,395000,-24255000,-24335000,-187000,1000,4248000,21522000,-693000,-693000,-693000,2482000,55430000,-26778000,0.31081,0.21302,0.02563,0.00266,-17.12148,8.64072,0.09421,0.6259,0.6136,2.9382,24.3948,-10.7163,0.07484,0.00298,-0.04551,0.11957,0.34166,0.3716
"22","2017_Q2",27.12,"Up",6793000,5797000,6592000,-795000,996000,171000,511000,314000,0,6793000,-4616000,-4616000,2177000,2177000,2174000,-760000,1414000,1414000,1414000,1414000,52807000,22223000,484452000,-4838000,489290000,6009000,1754000,8131000,575376000,480822000,409191000,71631000,1166000,25631000,5359000,512978000,24159000,38037000,115000,62311000,87000,62398000,575376000,1414000,203000,0,13954000,-12718000,2853000,-663000,508000,11836000,11681000,-250000,11000,13091000,-16309000,-1775000,-1775000,-1775000,2380000,26797000,-10241000,0.32048,0.20816,0.02266,0.00246,-7.24257,8.22106,0.04657,0.56571,0.54458,2.71774,24.92937,-4.09722,0.10002,0.00289,-0.0178,0.1768,-10.92857,-11.94763
"23","2017_Q3",28.6552380952381,"Up",6738000,5754000,6516000,-762000,984000,262000,492000,230000,0,6738000,-4787000,-4787000,1951000,1951000,1940000,-637000,1303000,1303000,1303000,1303000,59956000,21054000,489061000,-4835000,493896000,7467000,1677000,9036000,588251000,493744000,418724000,75020000,548000,2.5e+07,5328000,524620000,24325000,39089000,139000,63553000,78000,63631000,588251000,1303000,252000,0,8060000,-8050000,1565000,-1710000,-229000,-4583000,7193000,-251000,22000,-749000,-1609000,7149000,7149000,7149000,2203000,25548000,-6920000,0.28955,0.19338,0.02048,0.00222,-5.31082,8.24472,0.04343,0.52104,0.50177,2.69438,25.41347,-2.76716,0.10037,0.00264,-0.01176,0.19263,-15.6187,-17.63608
"24","2017_Q4",30.375873015873,"Up",7012000,6186000,7066000,-880000,826000,287000,439000,1e+05,-250000,6762000,-4827000,-4827000,1935000,1935000,1826000,-604000,1222000,1222000,1222000,1222000,60651000,20411000,523217000,-4991000,528208000,7338000,1943000,8976000,622536000,524817000,448291000,76526000,1066000,2.8e+07,4558000,558441000,24322000,39558000,147000,64027000,68000,64095000,622536000,1222000,251000,250000,13422000,-13587000,1558000,-122000,726000,-34743000,-34183000,-753000,0,31073000,33320000,695000,695000,695000,2186000,29066000,-10919000,0.27596,0.17427,0.01907,0.00196,-8.93535,8.71271,0.04669,0.48746,0.48988,2.79712,25.54069,-4.35564,0.30038,0.00317,-0.01754,0.6162,-14.44876,-16.323
"25","2018_Q1",31.8901639344262,"Up",7397000,6344000,7275000,-931000,1053000,351000,453000,249000,-250000,7147000,-4907000,-4907000,2240000,2240000,2253000,-1067000,1186000,1186000,1186000,1186000,60680000,23027000,543354000,-5241000,548595000,7392000,1977000,8814000,645244000,514400000,442277000,72123000,635000,5.9e+07,5519000,579554000,25011000,40493000,109000,65613000,77000,65690000,645244000,1186000,237000,250000,15981000,-16806000,848000,21000,336000,-21386000,-21029000,-251000,10000,-11220000,20210000,29000,29000,29000,2477000,59635000,-13241000,0.30283,0.16034,0.01805,0.00184,-11.16442,8.82256,0.09242,0.4724,0.45889,2.94631,26.13444,-5.27405,0.09998,0.00223,-0.02052,0.21164,-0.42188,-0.46652
"26","2018_Q2",34.52359375,"Up",7560000,6469000,7492000,-1023000,1091000,332000,460000,299000,-1e+05,7460000,-5408000,-5408000,2052000,2052000,2025000,-423000,1602000,1602000,1602000,1602000,64689000,22307000,554651000,-5328000,559979000,7545000,1962000,8377000,659531000,529193000,444918000,84275000,1106000,5.6e+07,6152000,592451000,25129000,41792000,78000,66999000,81000,67080000,659531000,1602000,237000,1e+05,15365000,-12947000,4357000,-390000,-87000.0000000001,-11434000,-11911000,-303000,73000,14793000,11563000,4009000,4009000,4009000,2289000,57106000,-10625000,0.27143,0.2119,0.02388,0.00243,-6.63233,8.83201,0.08659,0.64669,0.62617,3.05179,27.04588,-4.28906,0.12231,0.00289,-0.01611,0.18914,-3.3128,-3.69542
"27","2018_Q3",36.4547619047619,"Up",8031000,6941000,8163000,-1222000,1090000,343000,461000,286000,-150000,7881000,-5378000,-5378000,2503000,2503000,2478000,-512000,1966000,1966000,1966000,1966000,59434000,22608000,585253000,-5503000,590756000,7474000,2224000,9230000,686223000,539416000,454703000,84713000,476000,7.1e+07,6369000,617261000,25396000,43405000,79000,68880000,82000,68962000,686223000,1966000,252000,150000,13941000,-15180000,1129000,-181000,130000,-31276000,-31283000,-353000,29000,10223000,24899000,-5255000,-5255000,-5255000,2755000,71476000,-12094000,0.31167,0.2448,0.02851,0.00286,-6.15158,8.95074,0.10416,0.78978,0.76759,3.22622,27.6705,-4.85841,0.14181,0.00338,-0.01762,0.17955,4.37096,4.81103
"28","2018_Q4",33.1477777777778,"Down",8395000,6897000,8310000,-1413000,1498000,333000,505000,660000,-250000,8145000,-5861000,-5861000,2284000,2284000,2274000,-445000,1829000,1829000,1829000,1829000,62292000,23644000,611482000,-5748000,617230000,7255000,2204000,8446000,715323000,539832000,439923000,99909000,1132000,96500000,7267000,644731000,25548000,44879000,72000,70499000,93000,70592000,715323000,1829000,256000,250000,9798000,-7858000,4275000,-37000,97000,-27494000,-27478000,-355000,1.16415321826935e-10,415999.999999998,26061000,2858000,2858000,2858000,2540000,97632000,-4910000,0.27207,0.21787,0.02591,0.00256,-2.68453,9.1332,0.13649,0.73074,0.7118,3.35403,28.16626,-1.96168,0.14183,0.00305,-0.00686,0.1941,13.91339,15.47285
"29","2019_Q1",31.5491803278689,"Down",8107000,7280000,8982000,-1702000,827000,250000,450000,127000,-25000,8082000,-6090000,-6090000,1992000,1992000,1968000,-326000,1642000,1642000,1642000,1642000,61810000,23628000,613769000,-5774000,619543000,7044000,2287000,8197000,716735000,553601000,457535000,96066000,689000,8.4e+07,6341000,644631000,25688000,46165000,114000,71967000,137000,72104000,716735000,1642000,244000,25000,9555000,-10902000,564000,-33000,-3000,-791000,-827000,-356000,-1053000,13769000,-219000,-482000,-482000,-482000,2236000,84689000,-8373000,0.24571,0.20254,0.02277,0.00229,-5.09927,8.94029,0.11816,0.65077,0.63657,3.21304,28.52261,-3.31846,0.14109,0.00279,-0.01168,0.21681,10.23211,11.48544
"30","2019_Q2",32.2153968253968,"Up",7997000,6989000,8773000,-1784000,1008000,535000,447000,26000.0000000001,2e+05,8197000,-6392000,-6392000,1805000,1805000,1802000,-358000,1444000,1444000,1444000,1444000,72536000,20930000,578924000,-5577000,584501000,6833000,2228000,16178000,697629000,583681000,485033000,98648000,1327000,2.5e+07,14185000,624193000,25827000,47252000,156000,73235000,201000,73436000,697629000,1444000,235000,-2e+05,27326000,-25990000,2815000,-24000,-172000,34983000,34787000,-357000,2305000,30080000,-26876000,10726000,10726000,10726000,2040000,26327000,-23616000,0.22571,0.18057,0.01966,0.00207,-16.35457,8.49982,0.03774,0.5759,0.56276,3.18937,29.20767,-9.41856,0.14238,0.00258,-0.03385,0.24723,-22.65147,-25.60055
"31","2019_Q3",32.7496875,"Up",7316000,6358000,8236000,-1878000,958000,308000,478000,172000,2e+05,7516000,-5225000,-5225000,2291000,2291000,2285000,-468000,1817000,1817000,1817000,1817000,80422000,20962000,559981000,-5370000,565351000,6683000,2108000,15800000,685956000,579502000,483310000,96192000,669000,16250000,14492000,610913000,25951000,48710000,187000,74848000,195000,75043000,685956000,1817000,235000,-2e+05,10431000,-10756000,1527000,-85000,11000,19265000,19191000,-359000,357000,-4179000,-12832000,7886000,7886000,7886000,2526000,16919000,-7847000,0.31315,0.24836,0.02421,0.00265,-4.31866,8.14084,0.02466,0.71966,0.70424,2.89765,29.64511,-3.10797,0.14219,0.00317,-0.01144,0.19758,-25.13975,-27.71846
"32","2019_Q4",33.44859375,"Up",7713000,6795000,8724000,-1929000,918000,157000,512000,249000,-250000,7463000,-5518000,-5518000,1945000,1945000,1943000,-395000,1548000,1548000,1548000,1548000,58873000,24845000,607285000,-5618000,612903000,6570000,2206000,15540000,715319000,609621000,506469000,103152000,1203000,12450000,15562000,638836000,26187000,49899000,185000,76271000,212000,76483000,715319000,1548000,329000,250000,16535000,-15781000,2881000,-118000,-3062000,-47554000,-50734000,-359000,245000,30119000,26304000,-21549000,-21549000,-21549000,2274000,13653000,-13230000,0.25217,0.2007,0.02024,0.00216,-8.54651,8.35265,0.01909,0.61166,0.60198,3.04764,30.13699,-5.22758,0.14185,0.00267,-0.0185,0.23191,-19.88566,-23.24936
