"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",15.2346031746032,"Down",4.11e+08,-3.18e+08,9.3e+07,-5.9e+07,-5e+07,-1.5e+07,3.4e+07,-1.7e+07,-1.6e+07,-1e+06,1.7e+07,-2e+06,1.5e+07,-3e+06,1.2e+07,1.2e+07,1.6e+07,1.6e+07,4.89e+08,4.89e+08,3.03e+08,3.03e+08,2.8e+08,1.65e+08,2.2e+07,1.237e+09,3.61e+08,3.83e+08,8.8e+07,1.69e+08,7.44e+08,1.981e+09,1.75e+08,1.75e+08,8e+06,2.4e+08,2.4e+08,4.23e+08,6.64e+08,9.17e+08,6.62e+08,2.55e+08,1.581e+09,2.004e+09,6.41e+08,-7e+06,-2.78e+08,-4.06e+08,-5e+07,-2.3e+07,1.981e+09,1.2e+07,2.5e+07,-4.1e+07,2e+06,-2e+06,-1.4e+07,-1.4e+07,-1.4e+07,-1.4e+07,-1.4e+07,-1.2e+07,-2.8e+07,-2.8e+07,0,-2.8e+07,5.9e+07,6.72e+08,5e+07,0.22628,0.08273,0.03893,-0.69565,0.00808,3.125,2.92435,-87.13043,0.33922,0.37915,0.37471,9.73934,-1.18483,1.18483,0.01022,0.03193,3.10169,5.38235
"12","2017_Q1",13.6798387096774,"Down",4.32e+08,-3.17e+08,1.15e+08,-7.3e+07,-4.5e+07,-1.4e+07,4.2e+07,-1.3e+07,-1.2e+07,-1e+06,2.9e+07,-1e+06,2.8e+07,-1.7e+07,1.1e+07,1.1e+07,1e+07,1e+07,4.34e+08,4.34e+08,2.77e+08,2.77e+08,2.71e+08,5.7e+07,5.7e+07,1.039e+09,3.42e+08,3.95e+08,8.8e+07,1.51e+08,7.37e+08,1.776e+09,2e+08,2e+08,6e+06,2.11e+08,2.11e+08,4.17e+08,4.05e+08,8.71e+08,6.03e+08,2.68e+08,1.276e+09,1.693e+09,6.41e+08,-8e+06,-2.68e+08,-4.38e+08,8.3e+07,8.3e+07,1.776e+09,1.1e+07,2.3e+07,-2.3e+07,6e+06,1.7e+07,-1.5e+07,-1.5e+07,-1.5e+07,-1.3e+07,-2.66e+08,-5.2e+07,-4.8e+07,-4.8e+07,-8e+06,-5.6e+07,6.5e+07,4.11e+08,7.3e+07,0.2662,0.09722,0.02315,0.12048,0.00563,7.3,2.49161,20.39759,0.23142,0.23697,0.23529,10.23697,-1.72986,1.72986,0.00733,0.05348,-0.35385,-0.547620000000001
"13","2017_Q2",9.99603174603175,"Down",3.57e+08,-2.95e+08,6.2e+07,-9.5e+07,-6.5e+07,-2e+07,-3.3e+07,5e+07,-8e+06,5.8e+07,1.7e+07,-7e+06,1e+07,-3e+06,7e+06,7e+06,7e+06,7e+06,3.78e+08,3.78e+08,2.88e+08,2.88e+08,3.08e+08,2.3e+07,2.1e+07,9.97e+08,3.26e+08,3.94e+08,8.8e+07,1.56e+08,7.2e+08,1.717e+09,1.79e+08,1.79e+08,6e+06,2.08e+08,2.08e+08,3.93e+08,4.04e+08,8.2e+08,5.81e+08,2.39e+08,1.224e+09,1.617e+09,6.38e+08,-8e+06,-2.61e+08,-4.27e+08,1e+08,1e+08,1.717e+09,7e+06,1.9e+07,-3.3e+07,-4.6e+07,-5.3e+07,-7e+06,-7e+06,-7e+06,-4e+06,-1e+06,-3e+06,-6e+07,-6e+07,4e+06,-5.6e+07,-1.4e+07,4.1e+08,-6.4e+07,0.17367,-0.09244,0.01961,0.07,0.00408,-9.14286,2.5369,16.17,0.23879,0.16509,0.16393,8.41981,-1.36792,-1.50943,0.00526,-0.04812,-2.28571,-0.9697
"14","2017_Q3",8.31031746031746,"Down",3.81e+08,-3.11e+08,7e+07,-8.6e+07,-6.6e+07,-1.8e+07,-1.6e+07,3.8e+07,-8e+06,4.6e+07,2.2e+07,-1.1e+07,1.1e+07,-4e+06,7e+06,4e+06,4e+06,4e+06,3.7e+08,3.7e+08,2.98e+08,2.98e+08,3.13e+08,2.3e+07,2.3e+07,1.004e+09,3.2e+08,3.69e+08,8.8e+07,1.31e+08,6.89e+08,1.693e+09,1.77e+08,1.77e+08,7e+06,2.12e+08,2.12e+08,3.96e+08,4.04e+08,7.92e+08,5.68e+08,2.24e+08,1.196e+09,1.592e+09,6.36e+08,-8e+06,-2.57e+08,-4.3e+08,1.01e+08,1.01e+08,1.693e+09,4e+06,2.2e+07,-3.6e+07,-1.1e+07,-2.1e+07,-1e+07,-1e+07,-1e+07,-1e+07,-999999.99999997,-3999999.99999999,-3.5e+07,-3.5e+07,2e+06,-3.3e+07,5999999.99999999,4.11e+08,-1.1e+07,0.18373,-0.04199,0.0105,0.0396,0.00236,-2.75,2.53535,15.76238,0.24276,0.0939,0.09368,8.94366,-1.38498,-0.258220000000001,0.00307,-0.00843999999999998,6.83333,-2.5625
"15","2017_Q4",4.62222222222222,"Down",3.79e+08,-3.15e+08,6.4e+07,-9.7e+07,-6.1e+07,-1.6e+07,-3.3e+07,3.5e+07,-8e+06,4.3e+07,2e+06,-6e+07,-5.8e+07,1.3e+07,-4.6e+07,-4.6e+07,-4.6e+07,-4.6e+07,3.42e+08,3.42e+08,2.99e+08,2.99e+08,3.16e+08,3.1e+07,3.1e+07,9.88e+08,3.09e+08,3.21e+08,3.2e+07,1.32e+08,6.3e+08,1.618e+09,1.91e+08,1.91e+08,8e+06,2.12e+08,2.12e+08,4.11e+08,4.02e+08,7.6e+08,5.44e+08,2.16e+08,1.162e+09,1.573e+09,6.33e+08,-9e+06,-3.03e+08,-4.38e+08,4.5e+07,4.5e+07,1.618e+09,-4.6e+07,2.1e+07,2.2e+07,0,-3e+06,-1.1e+07,-1.1e+07,-1.1e+07,-1.1e+07,-2e+06,-1.2e+07,-2.6e+07,-2.6e+07,3e+06,-2.3e+07,-1.2e+07,4.1e+08,-3.6e+07,0.16887,-0.08707,-0.12137,-1.02222,-0.02843,0.78261,2.40389,34.95556,0.2534,-1.08235,-1.09264,8.91765,-2.75294,-0.84706,-0.03786,-0.02963,-5.66667,-2.06061
"16","2018_Q1",6.42213114754098,"Up",2.69e+08,-2.54e+08,1.5e+07,-5.3e+07,-4.7e+07,-1e+07,-3.8e+07,5.8e+07,1.6e+07,4.2e+07,2e+07,-9e+06,1.1e+07,1.14e+08,1.25e+08,1.29e+08,1.29e+08,1.29e+08,3.43e+08,3.43e+08,2.53e+08,2.53e+08,2.46e+08,1.16e+08,5.4e+07,9.58e+08,2.94e+08,4.55e+08,1.2e+07,1.72e+08,7.49e+08,1.707e+09,1.83e+08,1.83e+08,4e+06,2.32e+08,2.32e+08,4.19e+08,3.99e+08,6.68e+08,4.62e+08,2.06e+08,1.067e+09,1.486e+09,6.31e+08,-9e+06,-1.74e+08,-3.91e+08,2.21e+08,2.21e+08,1.707e+09,1.29e+08,1.8e+07,-1.46e+08,9e+06,1e+07,-1e+07,-1e+07,-1e+07,1e+06,-7e+06,-1e+07,1e+06,1e+06,2e+06,3e+06,-2e+07,4.03e+08,-1.35e+08,0.05576,-0.14126,0.47955,0.58371,0.07557,-1.04651,2.2864,6.72398,0.23609,3.03529,2.97921,6.32941,1.34118,-3.17647,0.09985,-0.10449,-3,-1.57895
"17","2018_Q2",5.06484375,"Down",3.18e+08,-2.8e+08,3.8e+07,-7.1e+07,-5.8e+07,-1.3e+07,-3.3e+07,1.4e+07,-2e+06,1.6e+07,-1.9e+07,-2e+06,-2.1e+07,-4e+06,-2.5e+07,-2.5e+07,-2.5e+07,-2.5e+07,3.13e+08,3.13e+08,2.56e+08,2.56e+08,3.05e+08,6.2e+07,6.2e+07,9.36e+08,3.11e+08,4.25e+08,3.2e+07,1.24e+08,7.36e+08,1.672e+09,1.91e+08,1.91e+08,4e+06,2.24e+08,2.24e+08,4.19e+08,3.99e+08,6.56e+08,4.49e+08,2.07e+08,1.055e+09,1.474e+09,6.28e+08,-9e+06,-2.09e+08,-3.78e+08,1.98e+08,1.98e+08,1.672e+09,-2.5e+07,1.9e+07,-1.1e+07,-1e+07,-2.7e+07,-1e+07,-1e+07,-1e+07,-1e+07,-1e+06,-4e+06,-4.1e+07,-4.1e+07,5e+06,-3.6e+07,-1.4e+07,4.03e+08,-3e+07,0.1195,-0.10377,-0.07862,-0.12626,-0.01495,1.2,2.23389,7.44444,0.24103,-0.58685,-0.58685,7.46479,0.75117,-0.70423,-0.01989,-0.02387,-6.42857,-2.72727
"18","2018_Q3",3.26587301587302,"Down",3.32e+08,-2.87e+08,4.5e+07,-6.9e+07,-5.9e+07,-1.2e+07,-2.4e+07,2.9e+07,-2e+06,3.1e+07,5000000.00000001,-2e+06,3e+06,1.49011611938477e-08,3e+06,4000000.00000003,4e+06,4e+06,2.75e+08,2.75e+08,2.42e+08,2.42e+08,3.01e+08,5.6e+07,5.6e+07,8.74e+08,2.9e+08,4.09e+08,3.2e+07,1.23e+08,6.99e+08,1.573e+09,1.81e+08,1.81e+08,2999999.99999999,2.08e+08,2.08e+08,3.92e+08,3.98e+08,6.03e+08,4.05e+08,1.98e+08,1.001e+09,1.393e+09,6.24e+08,-9e+06,-2.05e+08,-3.98e+08,1.8e+08,1.8e+08,1.573e+09,4e+06,2e+07,-3e+07,-1.6e+07,-2.2e+07,-7e+06,-7e+06,-7e+06,-6e+06,-1e+06,-4e+06,-3.2e+07,-3.2e+07,-8e+06,-4e+07,-4e+06,4.01e+08,-2.7e+07,0.13554,-0.07229,0.0120499999999999,0.02222,0.00254000000000001,-6.75,2.22959,7.73889,0.25493,0.0938999999999998,0.0938999999999998,7.79343,0.28169,-0.6338,0.00338,-0.0228,-31.5,-5.25
"19","2018_Q4",3.04619047619048,"Down",3.29e+08,-2.79e+08,5e+07,-5.5e+07,-5.3e+07,-1.2e+07,-5e+06,3.7e+07,-2e+06,3.9e+07,3.2e+07,-9e+06,2.3e+07,-3e+06,2e+07,1.9e+07,1.9e+07,1.9e+07,2.38e+08,2.38e+08,2.44e+08,2.44e+08,3.06e+08,5.6e+07,5.6e+07,8.44e+08,2.76e+08,4.2e+08,3.2e+07,1.37e+08,6.96e+08,1.54e+09,1.67e+08,1.67e+08,3.96e+08,2.16e+08,2.16e+08,7.79e+08,5e+06,5.67e+08,3.84e+08,1.83e+08,5.72e+08,1.351e+09,6.21e+08,-9e+06,-1.87e+08,-4.07e+08,1.89e+08,1.89e+08,1.54e+09,1.9e+07,1.9e+07,-4.4e+07,-2.4e+07,-3e+07,-7e+06,-7e+06,-7e+06,0,0,-2e+06,-3.2e+07,-3.2e+07,-5e+06,-3.7e+07,1.4e+07,4.01e+08,-1.4e+07,0.15198,-0.0152,0.05775,0.10053,0.01234,-0.73684,1.08344,7.14815,0.26039,0.44289,0.44289,7.669,0.41958,-0.32634,0.01642,-0.0121,11.64286,-32.6
"20","2019_Q1",3.04098360655738,"Down",3.41e+08,-2.94e+08,4.7e+07,-8.6e+07,-5.4e+07,-1.1e+07,-3.9e+07,2.5e+07,-3e+06,2.8e+07,-1.4e+07,-4e+06,-1.8e+07,1.1e+07,-7e+06,-1.4e+07,-1.4e+07,-1.4e+07,2.33e+08,2.33e+08,2.32e+08,2.32e+08,2.31e+08,2.14e+08,4.7e+07,9.1e+08,2.16e+08,3.84e+08,1.2e+07,1.54e+08,6e+08,1.51e+09,1.3e+08,1.3e+08,3.96e+08,2.52e+08,2.52e+08,7.78e+08,5e+06,5.57e+08,3.79e+08,1.78e+08,5.62e+08,1.34e+09,6.17e+08,-9e+06,-2e+08,-4.11e+08,1.7e+08,1.7e+08,1.51e+09,-1.4e+07,1.5e+07,-8e+06,2.4e+07,1.7e+07,-9e+06,-9e+06,-9e+06,-6e+06,-1e+06,-1e+06,1e+07,1e+07,1e+06,1.1e+07,-2.4e+07,4.01e+08,-2e+07,0.13783,-0.11437,-0.04106,-0.08235,-0.00927,1.42857,1.16967,7.88235,0.26556,-0.32787,-0.32787,7.98595,-0.07026,-0.46838,-0.01241,-0.01773,-7,-4.30768999999999
