"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",3.33225806451613,"Up",324246000,-234589000,89657000,-59211000,-59211000,30446000,-1339000,-2229000,29107000,28774000,-10237000,18537000,18537000,-322000,18215000,18215000,66389000,66389000,177065000,177065000,159316000,24516000,134800000,402770000,44018000,395077000,90749000,131149000,82088000,91091000,439095000,841865000,178068000,45911000,120277000,18474000,113534000,74807000,30986000,310076000,206883000,155045000,97077000,97077000,26715000,31253000,361928000,672004000,89473000,238911000,-163684000,164700000,5161000,169861000,841865000,18537000,8264000,10668000,-697000,36772000,-6345000,-6345000,-2222000,-4123000,-6345000,-1930000,-6546000,355000,-8483000,21944000,21944000,-1210000,20734000,38710000,225357000,41905000,0.27651,0.0939,0.05618,0.10723,0.02164,2.30058,1.29894,3.9562,0.26769,0.33495,0.33048,5.96249,3.02863,0.77058,0.03549,0.03661,0.07615,0.10596,4.10664,5.22131
"12","2013_Q1",3.94133333333333,"Up",335530000,-244186000,91344000,-54444000,-54444000,36900000,-1584000,-1822000,35316000,26778000,-12473000,14305000,14305000,-122000,14183000,14183000,71157000,71157000,164708000,164708000,150900000,26019000,124881000,386765000,46047000,414603000,89027000,131995000,99288000,94293000,460650000,847415000,200349000,54975000,141017000,14113000,103712000,73325000,14120000,318174000,152293000,235149000,168216000,168216000,26438000,40495000,387442000,705616000,89575000,246105000,-199481000,136199000,5600000,141799000,847415000,14305000,8286000,7877000,52058000,82526000,-10244000,-10244000,-4851000,-5393000,-10918000,-5187000,-60488000,-508000,-68456000,3152000,3152000,1616000,4768000,45186000,166406000,99473000,0.27224,0.10998,0.04227,0.10002,0.01674,7.01354,1.21558,4.97617,0.19637,0.26116,0.25652,6.17839,2.50795,1.83168,0.09551,0.03565,0.18307,0.36572,2.10793,2.58127
"13","2013_Q2",3.8884375,"Down",307126000,-234186000,72940000,-58950000,-58950000,13990000,681000,-1643000,14671000,14671000,-4990000,9681000,9681000,58000,9739000,9739000,59430000,59430000,172933000,172933000,158324000,27298000,131026000,390687000,43706000,409087000,87230000,131363000,98197000,92297000,452793000,843480000,160581000,43839000,108943000,53027000,117719000,68676000,34088000,331327000,152087000,209704000,140663000,140663000,29025000,40016000,361791000,693118000,89309000,253801000,-198248000,144862000,5500000,150362000,843480000,9681000,8143000,2696000,-61912000,-41392000,-6047000,-6047000,-1647000,-4400000,-6047000,-1925000,38278000,-824000,35381000,-12058000,-12058000,331000,-11727000,22133000,205114000,-40836000,0.23749,0.04555,0.03171,0.06477,0.01155,-4.19304,1.17916,4.60966,0.24318,0.1799,0.17658,5.67323,2.67589,-0.75432,0.03556,0.02064,-0.07225,0.19766,6.58221,10.41344
"14","2013_Q3",4.85625,"Up",326128000,-239514000,86614000,-58425000,-58425000,28189000,-1311000,-1600000,26878000,26878000,-10010000,16868000,16868000,140000,17008000,17008000,47178000,47178000,179087000,179087000,162640000,25059000,137581000,388905000,42532000,410515000,85391000,134820000,96930000,93374000,453047000,841952000,177946000,47724000,123605000,21967000,118822000,71026000,32972000,318735000,151936000,201361000,135001000,135001000,26430000,39930000,353297000,672032000,91512000,268349000,-197600000,162261000,7659000,169920000,841952000,16868000,8321000,84000.0000000005,1065000,26338000,-6787000,-6787000,-2805000,-3982000,-9065000,-1943000,-27692000,1079000,-29195000,-11922000,-11922000,-330000,-12252000,36510000,173903000,40798000,0.26558,0.08644,0.05215,0.10009,0.0202,2.39875,1.22015,3.95499,0.20655,0.31081,0.3068,5.95972,2.96519,0.74555,0.03551,0.03476,0.07483,0.11424,3.47097,4.49555
"15","2013_Q4",5.73265625,"Up",313456000,-232493000,80963000,-56702000,-56702000,24261000,-1332000,-1519000,22929000,22929000,-9221000,13708000,13708000,-303000,13405000,13405000,51141000,51141000,201880000,201880000,148454000,26114000,122340000,401475000,42223000,402408000,83489000,132400000,93643000,92876000,444631000,846106000,180013000,46462000,120068000,33601000,117070000,71456000,30611000,330684000,151931000,188531000,123833000,123833000,26933000,37765000,340462000,671146000,92547000,278310000,-203400000,167457000,7503000,174960000,846106000,13708000,8513000,9775000,-26434000,5562000,-7256000,-7256000,-3848000,-3408000,-7493000,-2490000,10767000,350000,7501000,5570000,5570000,-1607000,3963000,32774000,185532000,8305000,0.25829,0.0774,0.04277,0.07662,0.01584,0.61954,1.21407,3.836,0.21928,0.24495,0.24131,5.72773,3.05992,0.15176,0.0455,0.02895,0.01513,0.18575,4.10054,5.53938
"16","2014_Q1",6.01032786885246,"Up",306720000,-230234000,76486000,-58230000,-58230000,18256000,-1632000,-1661000,16624000,16624000,-5545000,11079000,11079000,-253000,10826000,10826000,75953000,75953000,160350000,160350000,133378000,22437000,105791000,369681000,45683000,374694000,82103000,132777000,61375000,98439000,420377000,790058000,187343000,50941000,132926000,35875000,94175000,66012000,13100000,317393000,101770000,163362000,102960000,102960000,26893000,33509000,265132000,582525000,93850000,285165000,-179210000,199805000,7728000,207533000,790058000,11079000,8926000,5018000,62313000,87336000,-10923000,-10923000,-5737000,-5186000,-10923000,-2482000,-48177000,-442000,-52819000,23594000,23594000,1218000,24812000,27182000,137645000,84117000,0.24937,0.05952,0.0353,0.05217,0.0137,7.76991,1.16474,2.8069,0.17422,0.19832,0.19318,5.61882,3.66024,1.54094,0.04547,0.02617,0.16541,0.22926,2.26959,3.37927
"17","2014_Q2",6.65984126984127,"Up",289358000,-217902000,71456000,-59730000,-59730000,11726000,-852000,-1301000,10874000,10874000,-4288000,6586000,6586000,66000,6652000,6652000,48511000,48511000,168374000,168374000,148019000,24088000,120202000,364904000,42920000,371936000,80326000,130716000,60712000,100182000,414856000,779760000,141669000,41957000,95734000,84672000,91194000,62753000,13917000,317535000,101567000,155631000,97855000,97855000,27105000,30671000,257198000,574733000,92117000,288110000,-181723000,198504000,6523000,205027000,779760000,6586000,9103000,1434000,-82386000,-65263000,-4654000,-5943000,-2571000,-3372000,-6208000,-2489000,50893000,-1470000,45543000,-25928000,-25928000,-1514000,-27442000,20829000,186239000,-61923000,0.24695,0.04052,0.02299,0.03244,0.00853,-9.30893,1.14918,2.80321,0.23884,0.12181,0.11949,5.29882,3.63507,-1.13395,0.04558,0.01671,-0.11323,0.37417,6.61232,11.74552
"18","2014_Q3",6.30484375,"Down",307053000,-227086000,79967000,-60902000,-60902000,19065000,-1509000,-1551000,17556000,17556000,-6962000,10594000,10594000,-130000,10464000,10464000,47734000,47734000,185856000,185856000,150233000,27634000,118870000,383823000,42668000,371846000,77381000,133026000,60777000,100662000,414514000,798337000,152466000,38070000,108592000,49950000,91321000,62849000,13861000,293737000,141374000,143382000,85348000,85348000,27092000,30942000,284756000,578493000,93625000,294837000,-175439000,213023000,6821000,219844000,798337000,10594000,9471000,2942000,-17363000,5644000.00000003,-7678000,-7678000,-3120000,-4558000,-7678000,-2502000,3385000,453000,-64000,-2098000.00000001,-2098000.00000001,1321000,-777000,28536000,191324000,10457000,0.26043,0.06209,0.03408,0.0476,0.01311,0.999330000000004,1.30669,2.63138,0.23965,0.19043,0.18817,5.58807,3.87681,0.19031,0.04553,0.02338,0.0188599999999999,0.23911,5.03189,7.5316
"19","2014_Q4",6.37140625,"Up",314910000,-234521000,80389000,-59348000,-59348000,21041000,-1597000,-1680000,19444000,19444000,-9244000,10200000,10200000,-8000,10192000,10192000,44742000,44742000,187460000,187460000,159757000,28040000,127988000,391959000,41906000,374463000,77313000,134122000,60887000,102141000,416369000,808328000,160100000,47659000,101435000,47178000,93728000,65637000,13753000,301006000,141198000,137364000,76740000,76740000,27544000,33080000,278562000,579568000,95623000,301345000,-174830000,222138000,6622000,228760000,808328000,10200000,9528000,7332000,-11689000,15371000,-7790000,-7790000,-3516000,-4274000,-11114000,-3362000,-3457000,514000,-6671000,-2414000,-2414000,-578000,-2992000,30569000,188376000,20334000,0.25528,0.06682,0.03236,0.04455,0.01261,1.99509,1.30216,2.53352,0.23304,0.18515,0.1831,5.72064,4.03535,0.36939,0.06107,0.02444,0.03667,0.32987,4.69868,6.82639
"20","2015_Q1",6.06245901639344,"Down",305642000,-235305000,70337000,-57900000,-57900000,12437000,-423000,-1499000,12014000,12014000,-8286000,3728000,3728000,-412000,3316000,3316000,52456000,52456000,180096000,180096000,135031000,29089000,103163000,367583000,40859000,380877000,75895000,131885000,66927000,106170000,421736000,789319000,169150000,48597000,117935000,2765000,87644000,58630000,14491000,259559000,154046000,196361000,142343000,142343000,26706000,27312000,350407000,609966000,93804000,301091000,-221958000,172937000,6416000,179353000,789319000,3728000,9542000,6694000,30890000,50854000,-7786000,-7786000,-3278000,-4508000,-6767000,-3364000,-29388000,-1291000,-34276000,9811000,9811000,-2097000,7714000,21979000,156811000,53369000,0.23013,0.04069,0.01085,0.01849,0.0042,16.09439,1.41618,3.40092,0.19867,0.06018,0.05948,5.54664,3.13837,0.96851,0.06105,0.01254,0.10022,1.01448,4.74794,8.39069
"21","2015_Q2",5.88428571428571,"Down",306616000,-238162000,68454000,-60387000,-60387000,8067000,-1482000,-1864000,6585000,5522000,-2241000,3281000,3281000,-295000,2986000,2986000,40842000,40842000,176405000,176405000,157255000,32676000,121800000,374502000,41842000,443290000,112093000,148572000,71056000,111569000,485132000,859634000,156439000,48598000,104085000,13858000,90160000,62398000,13645000,260457000,231771000,189811000,133282000,133282000,27190000,29339000,421582000,682039000,94200000,300584000,-229403000,165381000,12214000,177595000,859634000,3281000,10815000,429000,-30166000,-15641000,-7675000,-7675000,-2032000,-5643000,-73752000,-3373000,84719000,9000,81218000,-8175000,-8175000,-3439000,-11614000,18882000,245629000,-16718000,0.22326,0.02631,0.00974,0.01681,0.00347,-5.59879,1.43786,3.84042,0.28574,0.05408,0.05361,5.55353,2.99544,-0.3028,0.06109,0.01037,-0.02727,1.1296,10.84562,25.38577
"22","2015_Q3",5.21,"Down",324416000,-252126000,72290000,-57221000,-57221000,15069000,-1940000,-2042000,13129000,8887000,-4709000,4178000,4178000,-124000,4054000,4054000,62454000,62454000,181387000,181387000,149576000,29628000,117169000,393417000,41001000,436457000,110314000,142402000,70357000,113384000,477458000,870875000,166498000,49723000,112159000,5204999.99999999,85916000,58087000,13601000,257619000,249447000,182700000,126929000,126929000,26800000,28971000,432147000,689766000,95509000,301254000,-227686000,169077000,12032000,181109000,870875000,4178000,10592000,3255000,7835999.99999999,25861000,-8529000,-8529000,-3301000,-5228000,-8529000,-3384000,6929999.99999997,431000,3976999.99999997,21309000,21309000,303000,21612000,25661000,254652000,29677000,0.22283,0.04645,0.0125,0.02238,0.00466,7.32042,1.52713,3.80857,0.29241,0.07323,0.07261,5.8598,3.05397,0.53604,0.06112,0.01203,0.04799,0.83473,7.48989,12.75453
"23","2015_Q4",4.37515625,"Down",309984000,-227755000,82229000,-61738000,-61738000,20491000,-2115000,-2332000,18376000,7298000,-8385000,-1087000,-1087000,230000,-857000,-857000,58329000,58329000,178571000,178571000,140922000,26070000,112073000,377822000,41129000,435235000,108391000,142762000,68658000,115424000,476364000,854186000,162324000,45853000,104611000,8374000,87659000,58354000,15381000,258357000,250519000,168489000,115122000,115122000,27066000,26301000,419008000,677365000,96850000,294193000,-226048000,164995000,11826000,176821000,854186000,-1087000,10812000,8523000,-7329000,10919000,-10274000,-10274000,-4963000,-5311000,-12456000,-3394000,1152000,564000,-1678000,-3215000,-3215000,-910000,-4125000,31303000,258893000,22085000,0.26527,0.0661,-0.00276,-0.00485,-0.001,-25.77013,1.4624,3.83079,0.30309,-0.01544,-0.0153,5.5853,2.97288,0.39793,0.06115,0.0042,0.03655,-3.96033,6.40718,9.78791
"24","2016_Q1",3.88622950819672,"Down",300504000,-222309000,78195000,-62256000,-62256000,15939000,-2093000,-2145000,13846000,-53480000,1503000,-51977000,-51977000,306000,-51671000,-51671000,76066000,76066000,164596000,164596000,129515000,26601000,98659000,370177000,38052000,375177000,104861000,95616000,47371000,127329000,413229000,783406000,162454000,44615000,113420000,21917000,73977000,59855000,14122000,258348000,225365000,175342000,121732000,121732000,26592000,27018000,400707000,659055000,97163000,239161000,-222631000,113693000,10658000,124351000,783406000,-51977000,11279000,50404000,30810000,40516000,-6441000,-6441000,-1848000,-4593000,-6441000,-3360000,-9302000,-1863000,-15628000,18447000,18447000,-710000,17737000,27218000,247282000,50084000,0.26021,0.05304,-0.17195,-0.41553,-0.06596,-0.969290000000001,1.43286,5.29996,0.31565,-0.93828,-0.9639,5.45676,2.06452,0.90946,0.06101,-0.08832,0.09157,-0.0650299999999993,6.29054,10.74195
"25","2016_Q2",5.57328125,"Up",290908000,-215107000,75801000,-56797000,-56797000,19004000,-2651000,-2768000,16353000,13936000,-5307000,8629000,8629000,1000,8630000,8630000,53626000,53626000,159634000,159634000,139701000,27692000,107754000,352961000,35143000,367086000,98980000,94155000,46695000,127256000,402229000,755190000,148229000,39130000,103610000,24885000,71099000,57021000,14078000,244213000,214255000,170634000,118064000,118064000,26415000,26155000,384889000,629102000,98985000,244418000,-222293000,121110000,4978000,126088000,755190000,8629000,10294000,605000,-24680000,-5152000,-6048000,-6048000,-1535000,-4513000,-9720000,-3373000,-1304000,-1272000,-5949000,-20821000,-20821000,-1619000,-22440000,29298000,239140000,3877000,0.26057,0.06533,0.02967,0.06844,0.01143,0.44925,1.4453,4.98939,0.31666,0.15624,0.1555,5.26673,2.19263,0.07019,0.06107,0.0224,0.00724,0.39085,6.33197,9.76184
"26","2016_Q3",7.39390625,"Up",297669000,-215688000,81981000,-61060000,-61060000,20921000,-2118000,-2523000,18803000,15277000,-6116000,9161000.00000001,9161000.00000001,-534000,8626999.99999999,8626999.99999999,59365000,59365000,170178000,170178000,149313000,32031000,113027000,378856000,32313000,370690000,97666000,94681000,45728000,132615000,403003000,781859000,164234000,44993000,112800000,21128000,70609000,56365000,14244000,255971000,216944000,167443000,114510000,114510000,25936000,26997000,384387000,640358000,100644000,249656000,-213819000,136481000,5020000,141501000,781859000,9161000.00000001,10264000,4576000,-7390000.00000001,16611000,-7289000,-7289000,-3053000,-4236000,-7384000,-3389000,-985000,-711000,-5085000,4141999.99999999,4141999.99999999,1597000,5738999.99999999,31185000,238072000,22622000,0.27541,0.07028,0.02898,0.06097,0.01103,2.62223,1.48007,4.52547,0.30449,0.15568,0.15421,5.37163,2.46289,0.40823,0.06116,0.02197,0.04136,0.39284,5.73054,8.54199
"27","2016_Q4",8.04460317460317,"Up",295387000,-211554000,83833000,-60325000,-60325000,23508000,-2065000,-2262000,21443000,19955000,-8606000,11349000,11349000,-404000,10945000,10945000,71663000,71663000,166993000,166993000,142349000,25319000,112775000,381005000,29290000,355536000,91812000,92895000,43995000,126834000,384826000,765831000,170790000,47634000,110986000,9334000,68608000,54588000,14020000,248732000,205248000,162460000,110722000,110722000,26231000,25507000,367708000,616440000,102890000,257201000,-215842000,144249000,5142000,149391000,765831000,11349000,10085000,7132000,10058000,38624000,-6098000,-6098000,-1194000,-4904000,-6098000,-3400000,-15021000,577000,-17844000,14682000,14682000,-2384000,12298000,33593000,214582000,46159000,0.28381,0.07958,0.03705,0.07326,0.01429,4.21736,1.53179,4.12635,0.28019,0.19681,0.19465,5.31147,2.5938,0.83,0.06114,0.02725,0.08768,0.31064,4.25443,6.07959
