"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"22","2019_Q3",18.2078125,"Up",36383000,-31707000,4676000,-9213000,-3172000,-5872000,-169000,-4537000,-2320000,-2783000,-6857000,-6658000,-13515000,501000,-13014000,-13014000,-13014000,-13014000,14472000,9325000,32987000,17717000,65176000,436120000,121911000,2564000,558031000,623207000,28726000,31951000,51542000,44980000,103242000,135193000,1480006000,-994626000,488014000,488014000,623207000,-4834000,7654000,-6612000,309000,309000.000000007,2695000,2117000,-4186000,-4186000,-4232000,51700000,0.12852,-0.1247,-0.35769,-0.02667,-0.02088,2.03987,0.27703,0.08296,-0.19768,-0.19768,0.55265,7.41286,-0.02201,-8.20542
"23","2019_Q4",14.1328125,"Down",32691000,-31072000,1619000,-23211000,-2645000,-13695000,-96000,-21592000,4123000,-650000,-17469000,3812000,-13657000,2192000,-11465000,-11465000,-11465000,-11465000,7486000,4262000,34368000,15032000,56886000,424837000,125488000,881003.085703794,550325000,607211000,32110000,36155000,45073000,39237000,93348000,129503000,1483799000,-1006091000,477708000,477708000,607211000,-6564000,-8385000,-15026000,-281000,5948000,-1700000,-387000,-9465000,-9465000,-9411000,50275000,0.04952,-0.66049,-0.35071,-0.024,-0.01888,1.57339,0.27109,0.0828,-3.1656,-3.1656,9.0263,131.89977,-0.02001,-1.98171
"24","2020_Q1",10.3106451612903,"Down",32362000,-6347000,26015000,-49146000,-4707000,-14027000,-24902000,-23131000,-2014000,-2871000,-25145000,-1256000,-26401000,1269000,-25132000,-25132000,-25132000,-25132000,48337000,46452000,47979000,5265000,101581000,528974000,668000,668000,529642000,631223000,34070000,48795000,43433000,38519000,82949000,131744000,1530702000,-1031223000,499479000,499479000,631223000,31052000,-3562000,9745000,-30036000,-20788000,46690000,44548000,33505000,33505000,33426000,49516000,0.80387,-0.71476,-0.77659,-0.05032,-0.03981,2.08179,0.26376,0.07844,-0.34955,-0.34955,0.45011,6.94712,-0.04242,-0.05097
"25","2020_Q2",9.28761904761905,"Down",31400000,-35085000,-3685000,-5969000,-2064000,-3790000,-115000,-9654000,-940000,-1877000,-10594000,-89691000,-100285000,1094000,-99191000,-99191000,-99191000,-99191000,29649000,28774000,47012000,5138000,81799000,441158000,669000.000000015,669000,441827000,523626000,27805000,47827000,58562000,54757000,75361000,123188000,1530852000,-1130414000,400438000,400438000,523626000,80574000,-5551000,-17411000,-39126860.0679199,112000,62000,-493000,-17792000,-17792000,-17678000,24799000,-0.11736,-0.30745,-3.15895,-0.24771,-0.18943,1.71031,0.30763,0.04736,-2.47748,-2.47748,0.78427,10.0017,-0.20503,0.50238
"26","2020_Q3",12.12125,"Up",18291000,-15656000,2635000,-23101000,-2240000,-3548000,-11624000,-20466000,1290000,-1754000,-19176000,-668000.000000015,-19844000,30000,-19814000,-19814000,-19814000,-19814000,18410000,18410000,39269000,6417000,64096000,439944000,667000,667000,440611000,504707000,28121000,32679000,65412000,61649000,89316000,121995000,1532940000,-1150228000,382712000,382712000,504707000,-2056000,5807000,-11191000,-26159821.1665608,475000,-1000.00000000745,-503000.000000007,-11219000,-11219000,-10364000,23904000,0.14406,-1.11891,-1.08326,-0.05177,-0.03926,1.96138,0.31876,0.04736,-0.49472,-0.49472,0.45669,9.55555,-0.04198,-0.26845
"27","2020_Q4",10.21890625,"Down",27395000,-23526000,3869000,-15640000,-6559000,-4423000,-4658000,-11771000,2727000,-1945000,-9044000,-886000,-9930000,152000,-9778000,-9778000,-9778000,-9778000,7954000,7954000,39701000,15348000,63003000,438964000,4213000,4213000,443177000,506180000,28852000,35983000,41402000,37705000,89396000,125379000,1540807000,-1160006000,380801000,380801000,506180000,7866000,638000,3329000,-9304000.00000002,-8343000,9764000,9195000,4181000,4181000,3223000,47994000,0.14123,-0.42968,-0.35693,-0.02568,-0.01932,1.75091,0.32925,0.09482,-0.2421,-0.2421,0.67828,9.4284,-0.0208,-3.40158
"28","2021_Q1",10.9688524590164,"Up",27703000,-34560000,-6857000,-8940000,1662000,-4100000,-6918000,-15797000,-3618000,-1858000,-19415000,-4241000,-23656000,114000,-23542000,-23542000,-23542000,-23542000,20843000,20843000,31749000,5690000,58282000,437438000,4216000,4216000,441654000,499936000,36055000,76322000,10126000,6313000,58286000,134608000,1548876000,-1183548000,365328000,365328000,499936000,446999.999999996,13637000,-2600000,-4069000,-4011000,9957000,9379000,2768000,2768000,2757000,51987000,-0.24752,-0.57023,-0.8498,-0.06444,-0.04709,0.76363,0.36846,0.10399,-0.57552,-0.57552,0.67724,8.93096,-0.05508,-1.97151
"29","2021_Q2",13.2396825396825,"Up",23740000,-23589000,151000,-13736000,-2083000,-4956000,-5212000,-13585000,903000,-509000,-12682000,-1799000,-14481000,2015000,-12466000,-12466000,-12466000,-12466000,47402000,47402000,32909000,5700000,86011000,437634000,4535000,4535000,442169000,528180000,35542000,45733000,40372000,37131000,88698000,134431000,1589763000,-1196014000,393749000,393749000,528180000,-1062000,3707000,-5159000,-10085000,-10085000,41841000,41833000,26589000,26589000,26589000,48326000,0.00636,-0.57224,-0.52511,-0.03166,-0.0236,1.88072,0.34141,0.0915,-0.28217,-0.28217,0.53735,8.9125,-0.02584,-0.06802
"30","2021_Q3",11.471875,"Down",40706000,-31132000,9574000,-20320000,-5456000,-6916000,-5590000,-10746000,1936000,-1859000,-8810000,1799000,-7011000,1022000,-5989000,-5989000,-5989000,-5989000,44009000,42232000,28146000,5502000,77657000,438691000,4256000,4256000,442947000,520604000,34561000,44985000,39147000,35813000,87647000,132632000,1589975000,-1202003000,387972000,387972000,520604000,-1045000,-1224000,-2914000,-10287000,-2234000,0,-21999.9999999925,-5170000,-5170000.00000001,-5170000.00000001,48500000,0.2352,-0.26399,-0.14713,-0.01544,-0.0115,1.72629,0.34186,0.09316,-0.13556,-0.13556,0.92138,8.78174,-0.01259,-0.41792
"31","2021_Q4",10.41265625,"Down",37129000,-30760000,6369000,-21153000,-7480000,-6245000,-6119000,-14784000,-3458000,-2072000,-18242000,-4802329.35293782,-18242000,841000,-17401000,-17401000,-17401000,-17401000,64942000,63144000,24181000,7933000,97056000,342695000,4337000,4337000,442720000,539776000,29285000,36868000,45363000,42170000,92043000,128911000,1615355000,-1219404000,395951000,410865000,539776000,1740000,-738000,-11003000,-8111000,-8111000,0,42576000,23462000,23462000,23462000,48680000,0.17154,-0.39818,-0.46866,-0.04235,-0.03224,2.63253,0.31376,0.09019,-3.78952,-3.78952,8.08581,86.2287,-0.03446,1.09997
"32","2022_Q1",8.62774193548387,"Down",34966000,-33742000,1224000,-13950000,3584000,-4487000,-7216000,-12726000,700000.000000001,-1760000,-12026000,-12439000,-24465000,3437000,-21028000,-21028000,-20856000,-20856000,56093000,54287000,18335000,13141000,87569000,342303000,4508000,4508000,437772000,525341000,39615000,42516000,42446000,42446000,92884000,135400000,1615596000,-1240432000,375164000,389941000,525341000,6454000,3280000,-1147000,-5913000,38416000,9.31322574615479e-10,-45954000,-8685000.00000001,-8685000,-8684999.99999999,50438000,0.03501,-0.36395,-0.59647,-0.05349,-0.0397,2.05967,0.34723,0.09601,-0.45419,-0.45419,0.761479999999998,8.17018,-0.0432,0.44437
"33","2022_Q2",6.22370967741935,"Down",25542000,-27824000,-2282000,-10692000,-1981000,-3210000,-3854000,-12974000,2231000,-1640000,-10743000,-11135000,-21878000,814000,-21064000,-21064000,-19327000,-19327000,66207000,63783000,19479000,12795000,98481000,432875000,4417000,4417000,437292000,535773000,42435000,78526000,9510000,9510000,77867000,156393000,1626099000,-1259759000,366340000,379380000,535773000,66000,1772000,-15620000,-4045000,-4045000,14376000,29461000,9796000,9796000,9796000,68357000,-0.08934,-0.50795,-0.75668,-0.05094,-0.03607,1.25412,0.41223,0.12759,-0.4209,-0.4209,0.55624,7.97801,-0.04227,-0.16572
"34","2022_Q3",3.44765625,"Down",30647000,-22943000,7704000,-11571000,-4676000,-4293000,-3607000,-3867000,4162000,-1639000,295000,-12702000,-12407000,1000.00000000047,-12406000,-12406000,-13855000,-13855000,46416000,44021000,27100000,7136000,80652000,435207000,4780000,4780000,439987000,520639000,25822000,66261000,3738000,3738000,72397000,138658000,1633513000,-1273614000,359899000,381981000,520639000,-2886000,-17329000,-28735000,-4207000,-3921000,14500000,10044000,-22612000,-22612000,-22612000,68659000,0.25138,-0.12618,-0.45208,-0.03627,-0.02661,1.21719,0.363,0.13187,-0.29213,-0.29213,0.64618,7.58832,-0.03049,-5.752
