"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q4",24.75703125,"Up",112364000,-62150000,50214000,-42875000,-22065000,-20810000,7339000,-7053000,-5625000,-1428000,286000,286000,897000,1183000,1183000,1183000,1183000,173508000,173508000,75795000,75795000,69923000,46638000,16778000,365864000,48860000,264610000,162494000,13462000,18296000,313470000,679334000,71555000,29551000,41879000,95985000,25347000,25347000,369285000,465270000,376971000,-330000,-162048000,-529000,214064000,214064000,679334000,1183000,10471000,-6048000,8338000,13944000,6723000,1473000,674000,1482000,-808000,94882000,110299000,110299000,110369000,17810000,351970000,31974000,0.44689,0.06531,0.01053,0.00552999999999999,0.00174,27.0279,3.81168,2.17351,0.51811,0.02503,0.02503,2.37777,4.52988,0.67661,0.002,0.05407,10.02033,24.31694
"12","2015_Q1",33.4475409836066,"Up",34844000,-6703000,28141000,-34405000,-16641000,-17764000,-6264000,-2115000,-4529000,2414000,-8379000,-7477000,7918000,441000,14537000,14537000,14537000,173895000,173895000,62258000,62258000,71481000,65715000,14769000,373349000,50052000,258833000,142633000,10784000,20232000,308885000,682234000,56989000,22528000,33596000,85646000,24843000,24843000,368021000,453667000,377762000,-330000,-147511000,-1354000,228567000,228567000,682234000,14537000,8196000,1869000,-8790000,15812000,-19096000,-6145000,77000.0000000009,251000.000000002,-174000,-9028000.00000001,639000.000000015,639000.000000015,387000,1932000,346656000,-33872000,0.80763,-0.17977,0.4172,0.0636,0.02131,-2.33005,4.35921,1.98483,0.50812,0.30625,0.30625,0.73405,4.81518,-0.71358,0.02423,-0.05645,89.42081,-27.57998
"13","2015_Q2",36.9212698412698,"Up",96556000,-49137000,47419000,-44010000,-25228000,-18782000,3409000,-14956000,-4723000,-10233000,-11547000,-11547000,1584000,-9963000,-6306000,-6306000,-6306000,48335000,48335000,79452000,79452000,89208000,61807000,25851000,278802000,59393000,439096000,272325000,95764000,24626000,498489000,777291000,67598000,32636000,34544000,71898000,35996000,35996000,478371000,550269000,382316000,-330000,-153817000,-1147000,227022000,227022000,777291000,-6306000,10276000,16078000,-32568000,-12520000,-4012000,-212479000,1395000,1732000,-337000,99439000,-125560000,-125560000,-125560000,13685000,446456000,-24479000,0.4911,0.03531,-0.06531,-0.02778,-0.00811,3.88186,3.87774,2.42386,0.57437,-0.13246,-0.13246,2.02823,4.76877,-0.5142,-0.00889000000000001,-0.0345,29.09178,116.78527
"14","2015_Q3",31.5453125,"Down",102431000,-55717000,46714000,-48686000,-28247000,-20439000,-1972000,-11708000,-4723000,-6985000,-13680000,-14093000,2916000,-11177000,-7537000,-7537000,-7537000,73970000,73970000,89350000,89350000,84077000,61343000,25386000,308740000,65352000,426157000,261579000,96321000,19194000,491509000,800249000,63844000,29915000,33033000,68173000,40787000,40787000,382381000,450554000,512747000,-330000,-161354000,-1368000,349695000,349695000,800249000,-7537000,14596000,20997000,-14104000,13952000,-11611000,-11763000,124511000,129098000,-4587000,23446000,25635000,25635000,25635000,12624000,345656000,-16007000,0.45605,-0.0192499999999999,-0.07358,-0.02155,-0.00942,2.12379,4.52877,1.28842,0.43194,-0.14897,-0.14897,2.02457,6.91179,-0.31638,-0.01024,-0.02174,21.52139,-137.77181
"15","2015_Q4",34.8078125,"Up",109058000,-56562000,52496000,-47557000,-26592000,-20965000,4939000,-4185000,-4505000,320000,754000,196000,1559000,1755000,8026000,8026000,8026000,80687000,80687000,89714000,89714000,84373000,54380000,18423000,309154000,80167000,417393000,252496000,98799000,16247000,497560000,806714000,61264000,27594000,32498000,65654000,39445000,39445000,380258000,445912000,516650000,-330000,-153328000,-2190000,360802000,360802000,806714000,8026000,13790000,10471000,-5524000,26763000,-19348000,-17831000,-799000,2196000,-2995000,-1814000,7118000,7118000,6717000,18729000,344867000,-7702000,0.48136,0.04529,0.07359,0.02224,0.00995,-0.95963,4.70884,1.23589,0.4275,0.15115,0.14547,2.0539,6.79502,-0.14505,0.01077,-0.01034,14.1054,53.48856
"16","2016_Q1",39.1744262295082,"Up",112564000,-55603000,56961000,-51965000,-29963000,-22002000,4996000,5357000,-4425000,9782000,10353000,10044000,3799000,13843000,54406000,54406000,54406000,161869000,122312000,83950000,83950000,79943000,58457000,11172000,384219000,83759000,392856000,243666000,93346000,7605000,476615000,860834000,67418000,29311000,38107000,71476000,29738000,29738000,364825000,436301000,526064000,-330000,-98922000,-2279000,424533000,424533000,860834000,54406000,16046000,-56465000,-8504000,5483000,-6627000,34648000,-522000.000000015,185000.000000015,-707000,1336000,41467000,41467000,41625000,21042000,339145000,2112000,0.50603,0.04438,0.48333,0.12815,0.0632,0.0388200000000004,5.3755,1.02772,0.39397,1.02102,1.06241,2.11245,7.96706,0.03964,0.06857,0.00266,8.42486,35.48359
"17","2016_Q2",37.90390625,"Down",115774000,-55456000,60318000,-60008000,-34686000,-25322000,310000,-19124000,-4346000,-14778000,-18814000,-18971000,2201000,-16770000,-15571000,-15571000,-15571000,77562000,47808000,92524000,92524000,100999000,58321000,26890000,329406000,94439000,474604000,298026000,114557000,12402000,569043000,898449000,76283000,32779000,43479000,80769000,56877000,44097000,399028000,479797000,535924000,-330000,-114493000,-2449000,418652000,418652000,898449000,-15571000,15893000,23441000,-8249000,15514000,-6706000,-82680000,2478000,2817000,-339000,-7128000,-74294000,-74294000,-74504000,16203000,346637000,-953000,0.521,0.00268,-0.13449,-0.03719,-0.01733,0.0612,4.07837,1.14605,0.38582,-0.29371,-0.29371,2.1838,7.89686,-0.01798,-0.01894,-0.00116,16.60649,867.98387
"18","2016_Q3",39.19640625,"Up",133579000,-68054000,65525000,-60820000,-34617000,-26203000,4705000,-8690000,-4408000,-4282000,-3985000,-15841000,3796000,-12045000,-10649000,-10649000,-10649000,81819000,58187000,91604000,91604000,106972000,27630000,11553000,308025000,99637000,492736000,279535000,117835000,11457000,592373000,900398000,78335000,30037000,48298000,82834000,62160000,48240000,403556000,486390000,536209000,-330000,-125142000,3271000,414008000,414008000,900398000,-10649000,18185000,19933000,-7885000,19584000,-11033000,-1229000,-5559000,254000.000000001,-5813000,-8018000,10337000,10337000,10379000,22890000,345895000,176000.000000001,0.49053,0.03522,-0.07972,-0.02572,-0.01183,-0.01653,3.71858,1.17483,0.38416,-0.20006,-0.20006,2.50952,7.77787,0.00331,-0.01295,0.00021,11.53674,56.12667
"19","2016_Q4",43.6788888888889,"Up",142288000,-68326000,73962000,-61930000,-35866000,-26064000,12032000,10992000,-4363000,15355000,23024000,21172000,181000,21353000,22552000,22552000,22552000,90568000,66842000,91962000,91962000,117078000,28476000,12353000,328084000,100452000,484615000,270856000,117844000,12015000,585067000,913151000,73624000,30496000,43091000,78137000,47801000,33508000,388382000,466519000,540841000,-330000,-102590000,8711000,446632000,446632000,913151000,22552000,18534000,-4704000,-17133000,19249000,-7138000,-7322000,-1549000,2265000,-3814000,-2857000,9070000,9070000,8655000,30566000,345094000,6114000,0.5198,0.08456,0.1585,0.05049,0.0247,0.27111,4.19883,1.04453,0.37792,0.42141,0.4079,2.65879,8.34577,0.11425,0.02686,0.00728,8.3271,21.15409
"20","2017_Q1",46.7516129032258,"Up",152697000,-70893000,81804000,-70373000,-40264000,-30109000,11431000,-17997000,-5310000,-12687000,-6566000,-7931000.00000001,11805000,3874000,5102000,5102000,5102000,356753000,332977000,108331000,108331000,114935000,32925000,11318000,612944000,99167000,476440000,259602000,120024000,7208000,575607000,1188551000,84947000,30579000,54368000,92150000,59735000,47970000,633617000,725767000,551563000,-330000,-97488000,9039000,462784000,462784000,1188551000,5102000,17979000,9552000,-7748000,24885000,-7226000,-3632000,94999.9999999995,124000,-29000,245357000,266610000,266610000,266135000,29410000,581085000,2631000,0.53573,0.07486,0.03341,0.01102,0.00429,0.51568,6.65159,1.56826,0.4889,0.09502,0.09826,2.84373,8.61859,0.049,0.00462,0.00238,7.62775,19.62488
"21","2017_Q2",53.9504761904762,"Up",151752000,-73257000,78495000,-66670000,-36496000,-30174000,11825000,-12177000,-7350000,-4827000,-352000,-1639000,-532000,-2171000,-965000,-965000,-965000,377667000,353917000,112245000,112245000,115219000,36644000,15619000,641775000,101845000,453075000,240933000,118082000,5495000,554920000,1196695000,79965000,31686000,48279000,87063000,73710000,64146000,646673000,733736000,562346000,-330000,-98453000,-604000,462959000,462959000,1196695000,-965000,18475000,13236000,-10339000,20407000,-4942000,-4043000,2600000,2600000,0,5011000,21375000,21375000,20940000,30300000,580061000,15551000,0.51726,0.07792,-0.00636,-0.00208,-0.00081,-16.11503,7.37139,1.58488,0.48472,-0.01796,-0.01796,2.82398,8.61527,0.28939,-0.00086,0.01393,6.67967,17.11577
"22","2017_Q3",48.7819047619048,"Down",186084000,-117220000,68864000,-102011000,-62326000,-39685000,-33147000,-10845000,-7374000,-3471000,-43992000,-44462000,-89805000,-134267000,-130131000,-130131000,-130131000,144186000,112615000,127709000,127709000,139622000,68656000,17805000,480173000,118518000,957041000,638877000,309884000,6339000,1075559000,1555732000,92186000,34124000,58062000,106097000,77337000,67221000,649517000,755614000,1026017000,-330000,-228584000,3015000,800118000,800118000,1555732000,-130131000,21622000,114750000,-5809000,431999.999999996,-11353000,-227629000,-9939000,88000.0000000005,-10027000,-14261000,-241458000,-241458000,-241302000,-11525000,579222000,61118000,0.37007,-0.17813,-0.69931,-0.16264,-0.08365,-0.469670000000004,4.52579,0.94438,0.37231,-2.13985,-2.13985,3.05994,13.15702,1.00502,-0.08933,0.04196,-37.74716,-13.12445
"23","2017_Q4",36.161746031746,"Down",194555000,-101926000,92629000,-85395000,-46666000,-38729000,7234000,-17403000,-7178000,-10225000,-10169000,-10754000,-3222000,-13976000,-27676000,-27676000,-27676000,249247000,167606000,129838000,129838000,120345000,70420000,18284000,569850000,121413000,941616000,619370000,313726000,6450000,1063029000,1632879000,82935000,31316000,51619000,101613000,89625000,77894000,751885000,853498000,1033361000,-330000,-256260000,2610000,779381000,779381000,1632879000,-27676000,25726000,29453000,347000,27850000,-8201000,-58764000,-2591000,5474000,-8065000,85801000,54887000,54887000,54991000,32960000,670219000,28328000,0.47611,0.03718,-0.14225,-0.03551,-0.01695,-1.02356,5.60804,1.0951,0.41045,-0.43231,-0.43231,3.03902,12.17421,0.44249,-0.01798,0.0184,12.77221,58.19353
"24","2018_Q1",25.7750819672131,"Down",166381000,-79485000,86896000,-81796000,-42398000,-39398000,5100000,7004000,-6953000,13957000,12104000,7350000,-7352000.00000001,-2000,-10721000,-10721000,-10721000,214225000,130104000,136096000,136096000,136074000,76502000,22438000,562897000,131019000,943207000,621092000,313765000,7402000,1074226000,1637123000,105281000,47038000,58243000,117119000,81159000,65987000,742630000,859749000,1041708000,-330000,-266981000,2977000,777374000,777374000,1637123000,-10721000,27175000,2721999.99999999,-6815000,12361000,-8308000,-47134000,-323000.000000001,119000,-442000,-2898000,-37671000,-37671000,-37502000.0000001,32275000,669171000,24504000,0.52227,0.03065,-0.0644399999999999,-0.01379,-0.00655,-2.28561,4.8062,1.10597,0.40875,-0.16687,-0.16687,2.58971,12.09977,0.3814,-0.00702,0.01604,14.09593,89.2051
"25","2018_Q2",21.250625,"Down",130925000,-69971000,60954000,-79285000,-37634000,-41651000,-18331000,7376000,-7239000,14615000,-10955000,-15617000,-1353000,-16970000,-22569000,-22569000,-22569000,196670000,152085000,97123000,97123000,143136000,44296000,25363000,481225000,132010000,926525000,601920000,316239000,7418000,1100035000,1581260000,76788000,25807000,50981000,84469000,68294000,52739000,728990000,813459000,1055700000,-330000,-290568000,2999000,767801000,767801000,1581260000,-22569000,26874000,-1994000,-1777000,534000,-13823000,20309000,2982000,3241000,-259000,1045000,21888000,21888000,21981000,8543000,668377000,-5704000,0.46556,-0.14001,-0.17238,-0.02939,-0.01427,0.25274,5.69706,1.05947,0.42269,-0.35086,-0.34663,2.03537,11.93628,-0.08867,-0.015,-0.00379,55.21562,-25.73275
"26","2018_Q3",22.412380952381,"Up",150413000,-84813000,65600000,-80883000,-39288000,-41595000,-15283000,4906000,-7970000,12876000,-10377000,-18490000,3024000,-15466000,-15484000,-15484000,-15484000,190091000,162695000,107093000,107093000,143897000,34128000,15158000,475209000,138542000,910004000,584035000,317094000,7162000,1085961000,1561170000,80898000,29224000,51674000,88587000,54396000,38421000,714317000,802904000,1057475000,-330000,-306052000,7173000,758266000,758266000,1561170000,-15484000,27565000,1968000,-3427000,10622000,-12757000,4089000,-3576000,10999.9999999995,-3587000,-4405000,10306000,10306000,10610000,12282000,667610000,-6926000,0.43613,-0.10161,-0.10294,-0.02042,-0.00992,0.4473,5.36432,1.05887,0.42763,-0.23988,-0.23773,2.33021,11.74714,-0.1073,-0.01046,-0.00468,38.87958,-31.24511
"27","2018_Q4",16.125873015873,"Down",137872000,-89702000,48170000,-90712000,-42471000,-48241000,-42542000,-52049000,-8040000,-44009000,-94591000,-94693000,9482000,-85211000,-85431000,-85431000,-85431000,182991000,85268000,101285000,101285000,122866000,47251000,22335000,454393000,139415000,857648000,533876000,314401000,7709000,1031322000,1485715000,75816000,29370000,46446000,91479000,56053000,48262000,715199000,806678000,1067093000,-330000,-391483000,3757000,679037000,679037000,1485715000,-85431000,29256000,45886000,10349000,60000,-12863000,-78045000,865000,3692000,-2827000,914000,-77071000,-77071000,-77427000,-13286000,666530000,-25282000,0.34938,-0.30856,-0.61964,-0.12581,-0.0575,0.29593,4.96718,1.18797,0.44863,-1.31594,-1.31594,2.12372,10.4596,-0.38943,-0.06095,-0.01804,-36.39463,-11.36616
"28","2019_Q1",17.4265573770492,"Up",151188000,-80206000,70982000,-88506000,-42280000,-46226000,-17524000,-8947999.99999999,-8089000,-859000,-26472000,-26435000,10320000,-16115000,-16493000,-16493000,-16493000,192897000,94676000,97375000,97375000,122837000,45752000,23311000,458861000,149923000,842617000,512785000,314076000,13484000,1023634000,1482495000,91896000,41951000,49945000,107005000,48443000,48054000,706815000,813820000,1074793000,-330000,-407976000,2188000,668675000,668675000,1482495000,-16493000,28688000,2069000,10813000,25077000,-12327000,-13472000,-142000.000000001,13000,-155000,-2005000,9599999.99999999,9599999.99999999,9408000,11164000,665724000,-670000,0.46949,-0.11591,-0.10909,-0.02467,-0.01113,0.04062,4.28822,1.21706,0.44906,-0.25308,-0.24958,2.3199,10.26047,-0.01028,-0.01193,-0.00048,42.35283,-26.98168
"29","2019_Q2",15.0698412698413,"Down",150689000,-74064000,76625000,-86044000,-42519000,-43525000,-9419000,-7874000,-8773000,899000,-17293000,-22271000,-1125000,-23396000,-23396000,-23396000,-23396000,185759000,87089000,109683000,109683000,120858000,43128000,25308000,459428000,148884000,822993000,492317000,314340000,14051000,998415000,1457843000,77631000,32567000,45064000,93179000,48090000,47648000,707408000,800587000,1086117000,-330000,-431372000,2841000,657256000,657256000,1457843000,-23396000,28184000,12363000,-14242000,2909000,-11521000,-12346000,2051000,2392000,-341000,1866000,-7571000,-7571000,-7587000,18765000,667334000,-5873000,0.5085,-0.06251,-0.15526,-0.0356,-0.01605,0.25103,4.9306,1.21807,0.45775,-0.35841,-0.3575,2.30845,10.06872,-0.08997,-0.01704,-0.00428,25.66347,-51.12804
"30","2019_Q3",19.5340625,"Up",128465000,-71135000,57330000,-84359000,-41999000,-42360000,-27029000,-15449000,-9402000,-6047000,-42478000,-45660000,-544000,-46204000,-46204000,-46204000,-46204000,192385000,92677000,87386000,87386000,119940000,45548000,29783000,445259000,149952000,802612000,472570000,314361000,13383000,974687000,1419946000,80510000,35080000,45430000,88804000,57296000,56844000,714117000,802921000,1091133000,-330000,-477576000,3798000,617025000,617025000,1419946000,-46204000,27294000,17245000,25594000,23929000,-11079000,-11133000,-3061000,23999.9999999995,-3085000,-7413000,5382999.99999999,5382999.99999999,5588000.00000001,265000,664900000,15324000,0.44627,-0.2104,-0.35966,-0.07488,-0.03254,-0.33166,5.01395,1.30128,0.46826,-0.70507,-0.70244,1.96037,9.41577,0.23384,-0.0345,0.01144,1783.07547,-17.48178
"31","2019_Q4",23.881875,"Up",108306000,-74479000,33827000,-84627000,-41919000,-42708000,-50800000,-2264000,-8967000,6703000,-53064000,-326037000,1323000,-324714000,-324714000,-324714000,-324714000,185785000,85265000,68084000,68084000,110546000,48674000,26846000,413089000,139380000,524701000,193758000,314687000,13953000,691238000,1104327000,84152000,38849000,45303000,94611000,54675000,54220000,710721000,805332000,1096716000,-330000,-802290000,4899000,298995000,298995000,1104327000,-324714000,29134000,265077000,31942000,1439000,-9305000,-9581000,2769000,3215000,-446000,755000,-7387000,-7387000,-7412000,-21666000,664150000,-352000,0.31233,-0.46904,-2.99812,-1.08602,-0.29404,0.00108,4.36618,2.69346,0.60141,-4.93059,-4.92394,1.64456,4.54006,-0.00534,-0.31903,-0.00035,-22.07906,-9.41663
