"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",4.51828125,"Up",28379000,-17875000,10504000,-10171000,-4822000,-3660000,-1689000,333000,-71000,-39000,-32000,262000,262000,-32000,230000,230000,230000,230000,11662000,11662000,24241000,24241000,21158000,2411000,2411000,59472000,617000,195000,195000,812000,60284000,9707000,9707000,5025000,5025000,24732000,3339000,3339000,3339000,28071000,1072918000,-1040916000,211000,32213000,32213000,60284000,230000,82000,813000,-463000,662000,-116000,-116000,2000,2000,2000,548000,548000,-5000,543000,415000,1e+07,-132000,0.37013,0.01173,0.0081,0.00714,0.00382,-0.57391,2.40466,0.87142,0.16588,0.03696,0.03621,4.5599,5.17594,-0.02121,0.00505,-0.0029,-4.00482,-4.99099
"12","2013_Q3",12.51390625,"Up",30048000,-18436000,11612000,-10518000,-5073000,-3920000,-1525000,1094000,1999.99999999999,-10000,12000,1096000,1096000,-40000,1056000,1056000,1056000,1056000,12722000,12722000,27774000,27774000,20143000,1945000,1945000,62584000,623000,185000,185000,808000,63392000,9019000,9019000,7904000,7904000,26923000,3011000,3011000,3011000,29934000,1073185000,-1039860000,133000,33458000,33458000,63392000,1056000,92000,311000,-224000,1235000,-98000,-98000,1000,1000,1000.00000000001,1138000,1138000,-78000,1060000,1186000,1e+07,904000,0.38645,0.03641,0.03514,0.03156,0.01666,0.85606,2.32456,0.89467,0.15775,0.16911,0.16149,4.81199,5.35808,0.14477,0.02272,0.01945,-2.29511,-2.48812
"13","2013_Q4",21.40578125,"Up",31515000,-19608000,11907000,-10280000,-4644000,-3934000,-1702000,1627000,-25000,-25000,0,1602000,1602000,-6000,1596000,1596000,1596000,1596000,14301000,14301000,29356000,29356000,21179000,2411000,2411000,67247000,642000,251000,251000,893000,68140000,8650000,8650000,11545000,11545000,30195000,2688000,2688000,2688000,32883000,1073418000,-1038264000,103000,35257000,35257000,68140000,1596000,92000,446000,-592000,1542000,-111000,-111000,178000,178000,178000,1609000,1609000,-30000,1579000,1719000,1e+07,1022000,0.37782,0.05163,0.05064,0.04527,0.02342,0.64035,2.22709,0.93267,0.14676,0.25349,0.23932,5.00556,5.5999,0.16233,0.03329,0.02132,-2.50204,-2.64352
"14","2014_Q1",22.5901639344262,"Up",32306000,-20197000,12109000,-10715000,-5620000,-3812000,-1283000,1394000,2000,-11000,13000,1396000,1396000,36000,1432000,1432000,1432000,1432000,15686000,15686000,33328000,33328000,19562000,2269000,2269000,70845000,718000,254000,254000,972000,71817000,8865000,8865000,12689000,12689000,31554000,2704000,2704000,2704000,34258000,1074326000,-1036832000,65000,37559000,37559000,71817000,1432000,101000,-2572000,1788000,749000,-177000,-177000,851000,851000,851000,1423000,1423000,-38000,1385000,1495000,1e+07,3070000,0.37482,0.04315,0.04433,0.03813,0.01994,2.14385,2.2452,0.91211,0.13924,0.22448,0.20883,5.06427,5.88773,0.48125,0.02849,0.06108,-3.80334,-4.07891
"15","2014_Q2",16.1668253968254,"Down",28609000,-17744000,10865000,-10510000,-4678000,-4143000,-1689000,355000,-10000,-16000,6000,345000,345000,-43000,302000,302000,302000,302000,15605000,15605000,30604000,30604000,17889000,2191000,2191000,66289000,659000,255000,255000,914000,67203000,8103000,8103000,8340000,8340000,26443000,2750000,2750000,2750000,29193000,1074495000,-1036530000,45000,38010000,38010000,67203000,302000,90000,-151000,-381000,-140000,-31000,-31000,110000,110000,110000,-61000,-61000,-20000,-81000,445000,1e+07,76000,0.37978,0.01241,0.01056,0.00795,0.00449,0.25166,2.50686,0.76803,0.1488,0.04675,0.04336,4.42877,5.88408,0.01177,0.00595,0.0015,-12.59551,-15.78873
"16","2014_Q3",16.09015625,"Down",32422000,-21408000,11014000,-10615000,-4804000,-4167000,-1644000,399000,-20000,-5000,-15000,379000,379000,-10000,369000,369000,369000,369000,15648000,15648000,35357000,35357000,17353000,2447000,2447000,70805000,699000,255000,255000,954000,71759000,8352000,8352000,12512000,12512000,30864000,2396000,2396000,2396000,33260000,1074609000,-1036161000,51000,38499000,38499000,71759000,369000,93000,36000.0000000002,-334000,164000,-133000,-133000,6000,6000,6000,37000,37000,6000,43000,492000,1e+07,35000,0.33971,0.01231,0.01138,0.00958000000000001,0.00514,0.0948499999999999,2.2941,0.86392,0.13936,0.05703,0.05357,5.01051,5.94965,0.00540999999999997,0.00725,0.000690000000000009,-11.47967,-14.15539
"17","2014_Q4",10.76921875,"Down",29436000,-18682000,10754000,-13410000,-4775000,-4611000,-4024000,-2656000,-36000,-36000,0,-2692000,-2692000,-13000,-2705000,-2705000,-2705000,-2705000,13539000,13539000,34165000,34165000,17669000,3191000,3191000,68564000,802000,255000,255000,1057000,69621000,8021000,8021000,13382000,13382000,31403000,2064000,2064000,2064000,33467000,1074985000,-1038866000,35000,36154000,36154000,69621000,-2705000,102000,441000,262000,-1900000,-205000,-205000,12000,12000,12000,-2093000,-2093000,-16000,-2109000,-2554000,1e+07,-2484000,0.36533,-0.09023,-0.09189,-0.07482,-0.03885,0.9183,2.18336,0.92568,0.14363,-0.41764,-0.41764,4.54484,5.58208,-0.38352,-0.0561,-0.05152,1.38567,1.33245
"18","2015_Q1",7.0927868852459,"Down",48927000,-40718000,8209000,-3104000,-577000,-9884000,7357000,5105000,80000,-51000,131000,5185000,5185000,-1314000,3871000,3871000,3871000,3871000,11528000,11528000,29916000,29916000,19985000,2863000,2863000,64292000,1165000,255000,255000,1420000,65712000,7669000,7669000,11719000,11719000,29388000,1981000,1981000,1981000,31369000,1075341000,-1040963000,-35000,34343000,34343000,65712000,3871000,1651000,-2824000,-20332000,-17634000,1910000,498000,1672000,1672000,8662000,-8474000,-8474000,-226000,-8700000,6756000,1e+07,-10352000,0.16778,0.10434,0.07912,0.11272,0.05891,-2.67424,2.1877,0.9134,0.15218,0.22262,0.23509,2.81374,1.97503,-0.59533,0.08356,-0.22347,-0.22617,-0.29931
"19","2015_Q2",10.4757142857143,"Up",27122000,-16951000,10171000,-10709000,-4382000,-4050000,-2277000,-538000,-42000,-53000,11000,-580000,-580000,-22000,-602000,-602000,-602000,-602000,11343000,11343000,31892000,31892000,17250000,2705000,2705000,63190000,1459000,255000,255000,1714000,64904000,7586000,7586000,11490000,11490000,29076000,1908000,1908000,1908000,30984000,1075609000,-1041565000,-124000,33920000,33920000,64904000,-602000,210000,69000,494000,171000,-362000,-362000,95000,95000,95000,-96000,-96000,-89000,-185000,-328000,1e+07,-174000,0.37501,-0.01984,-0.0222,-0.01775,-0.00928,0.28904,2.17327,0.91344,0.15407,-0.06528,-0.06528,2.94101,3.67816,-0.01887,-0.01314,-0.0038,4.09451,2.49628
"20","2015_Q3",8.87375,"Down",27493000,-17269000,10224000,-10537000,-4387000,-3942000,-2208000,-313000,-31000,-16000,-15000.0000000001,-343999.999999998,-344000,-22000,-365999.999999999,-365999.999999999,-366000,-366000,11083000,11083000,31564000,31564000,15425000,2395000,2395000,60467000,1569000,255000,255000,1824000,62291000,7055000,7055000,9461000,9461000,26516000,1846000,1846000,1846000,28362000,1075966000,-1041931000,-106000,33929000,33929000,62291000,-365999.999999999,174000,455000,-314000,-51000.0000000019,-284000,-284000,57000,57000,57000,-277999.999999999,-277999.999999999,18000,-259999.999999999,-139000,1e+07,-715000,0.37188,-0.01138,-0.01331,-0.01079,-0.00588000000000001,1.95355,2.2804,0.83592,0.16054,-0.05602,-0.0396400000000001,4.20833,5.19348,-0.10944,-0.00799999999999997,-0.01562,7.79137,3.46006
"21","2015_Q4",6.04484375,"Down",38724000,-35067000,3657000,-7758000,-3685000,-8554000,4481000,-4101000,567000,-217000,784000,-3534000,-3534000,-436000,-3970000,-3970000,-3970000,-3970000,8963000,8963000,30921000,30921000,15356000,2421000,2421000,57661000,1447000,250000,250000,1697000,59358000,7014000,7014000,12249000,12249000,24338000,1783000,1783000,1783000,26121000,1076863000,-1043383000,-243000,33237000,33237000,59358000,-3970000,728000,-2386000,-1991000,-7619000,111000,2469000,1448000,1448000,4372000,-778000,-778000,-369000,-1147000,-3373000,5075000,-4817000,0.09444,-0.1059,-0.10252,-0.11945,-0.06688,1.21335,2.36918,0.7859,0.0855,-0.60331,-0.42546,5.88475,5.05091,-0.73202,-0.09901,-0.12014,1.15268,0.94806
"22","2016_Q1",6.6572131147541,"Up",45857000,-34023000,11834000,-9859000,-5074000,-4785000,0,1975000,-624000,-110000,-514000,1351000,1351000,248000,1599000,1599000,1599000,1599000,9095000,9095000,17712000,17712000,13976000,33627000,951000,74410000,2251000,6565000,4811000,8816000,83226000,17918000,17918000,1352000,1352000,41118000,643000,643000,643000,41761000,47689000.0000001,-4596999.99999988,-1765000,41327000,41465000,83226000,1599000,292000,640000,9219000,11750000,1971000,-1670000,2e+05,2e+05,-5330000,4750000,4750000,-69999.9999999999,4680000,2267000,21848000,13209000,0.25806,0.04307,0.03487,0.03856,0.01921,8.26079,1.80967,1.00714,0.26251,0.10717,0.16885,3.0734,2.76979,0.88529,0.025,0.20653,5.6255,6.45722
"23","2016_Q2",6.2271875,"Down",25340000,-20729000,4611000,-8952000,-4265000,-4679000,-8000,-4341000,-47000,-146000,99000,-4388000,-4388000,627000,-3761000,-3761000,-3767000,-3767000,9330000,9330000,24827000,24827000,14576000,3044000,3044000,51777000,2223000,249000,249000,2472000,54249000,6070000,6070000,10226000,10226000,18296000,2698000,2698000,2698000,20994000,1080058000,-1046412000,-391000,33255000,33255000,54249000,-3761000,268000,-328000,-3852000,-7673000,-56000,-2098000,0,0,2944000,-6827000,-6827000,-87000,-6914000,-4073000,2e+06,-8608000,0.18197,-0.17131,-0.14866,-0.11328,-0.06944,2.28511,2.82996,0.6313,0.03687,-0.39682,-0.39682,2.66934,3.50311,-0.90677,-0.09925,-0.22681,1.79966,1.68855
"24","2016_Q3",5.7325,"Down",34252000,-25250000,9002000,-9167000,-4148000,-5019000,-1.16415321826935e-10,-164999.999999998,-172000,-144000,-28000.0000000001,-337000,-336999.999999999,-196000,-533000,-533000,-566000,-566000,8335000,8335000,26536000,26536000,14449000,2530000,2530000,51850000,4383000,249000.000000001,249000,4632000,56482000,6272000,6272000,13487000,13487000,21759000,2992000,2992000,2992000,24751000,1080156000,-1048053000,-372000,31731000,31731000,56482000,-533000,269000,12000,8435000,8183000,-136000,-82000,0,0,-2228000,5873000,5873000,146000,6019000,104000,2e+06,8599000,0.26282,-0.00481999999999999,-0.01652,-0.01784,-0.01002,-15.19258,2.38292,0.78003,0.03541,-0.05962,-0.05962,3.60813,3.34257,0.90583,-0.01541,0.23416,-60.91346,38.39394
"25","2016_Q4",5.2768253968254,"Down",31240000,-21940000,9300000,-14414000,-8278000,-5885000,-251000,-5114000,-285000,-173000,-112000,-5399000,-5399000,610000,-4789000,-4789000,-4733000,-4733000,34384000,33563000,30247000,30247000,34596000,31426000,3959000,130653000,6258000,17641000,1778000,23899000,154552000,12165000,12165000,20859000,20859000,53165000,16777000,16777000,23810000,76975000,88982000,-12774000,905000,77113000,77577000,154552000,-4789000,627000,1030000,15864000,12732000,-172000,8387000,0,0,2765000,23884000,23884000,1479000,25363000,-4487000,27174000,10595000,0.2977,-0.1637,-0.1515,-0.06101,-0.03062,-2.23854,2.4575,0.99224,0.17582,-0.4249,-0.4249,2.80456,6.92279,0.95116,-0.03895,0.08718,1.60686,1.40986
"26","2017_Q1",5.25758064516129,"Down",59472000,-41438000,18034000,-21767000,-10657000,-9813000,-1297000,-3733000,-288000,-184000,-104000,-4021000,-3717000,-2528000,-6245000,-6245000,-6260000,-6260000,18886000,17893000,38324000,38324000,31032000,36331000,4131000,124573000,6288000,14586000,1842000,20874000,145447000,37424000,37424000,5624000,3723000,60647000,11132000,9458000,17932000,78579000,89189999.9999999,-19923000,-2815000,66452000,66868000,145447000,-6245000,2009000,1335000,-6845000,-9746000,-998000,-3416000,0,0,-748000,-13910000,-13910000,-1760000,-15670000,-1724000,24399000,-7039000,0.30324,-0.06277,-0.10526,-0.09362,-0.04304,1.12444,2.05407,1.17514,0.16775,-0.38117,-0.38117,3.62126,4.04628,-0.42861,-0.06113,-0.06874,-3.1978,-1.47682999999999
"27","2017_Q2",5.9447619047619,"Up",52112000,-33882000,18230000,-20759000,-10884000,-9382000,-493000,-2529000,-529000,-248000,-281000,-3058000,-3058000,-440000,-3498000,-3498000,-3747000,-3747000,17538000,17288000,39998000,39998000,35913000,38007000,3774000,131456000,6386000,14399000,2272000,20785000,152241000,40936000,40936000,3426000,1159000,70866000,9859000,7982000,14859000,85725000,89446000,-23670000,55000,65831000,66516000,152241000,-3498000,1181000,1437000,2e+05,-680000,-428000,360000,1000,1000,-1785000,-2105000,-2105000,1288000,-817000,-1348000,31504000,-1136000,0.34982,-0.04853,-0.0719,-0.05633,-0.02461,0.30318,1.85499,1.28879,0.20694,-0.22878,-0.22878,3.18183,4.01948,-0.06936,-0.03473,-0.01053,-10.36053,-5.52234
"28","2017_Q3",6.70619047619048,"Up",59941000,-40508000,19433000,-20236000,-10551000,-9141000,-544000,-803000,27999.9999999999,-236000,264000,-775000,-775000,-99000.0000000005,-874000,-874000,-809000,-809000,9902000,9902000,38051000,38051000,35149000,49657000,3817000,132759000,6079000,13221000,1797000,19300000,152059000,41880000,41880000,4725000,1880000,68601000,13420000,11473000,18420000,87021000,89666000,-24479000,-770000,64417000,65038000,152059000,-874000,1172000,-96000,-6334000,-6132000,-260000,-14999.9999999991,-9.09494701772928e-13,-9.09494701772928e-13,884000,-5263000,-5263000,-221000,-5484000,369000,26996000,-6126000,0.3242,-0.0134,-0.0135,-0.01244,-0.00532,7.57231,1.93523,1.338,0.17754,-0.04939,-0.04939,3.6594,3.93266,-0.37399,-0.00767,-0.05809,46.3252,-21.28767
"29","2017_Q4",7.74936507936508,"Up",66438000,-44023000,22415000,-20754000,-11661000,-8939000,-154000,1661000,-167000,-227000,60000,1494000,1494000,-107000,1387000,1387000,1399000,1399000,10145000,10145000,43478000,43478000,31966000,43070000,3198000,128659000,5812000,12687000,1536000,18499000,147158000,45332000,45332000,3870000,1797000,71128000,4666000,2791000,9666000,80794000,89889000,-23080000,-1052000,65757000,66364000,147158000,1387000,752000,147000,3903000,6189000,-218000,-218000,27000,27000,-920000,5051000,5051000,-90000,4961000,2413000,26926000,6205000,0.33738,0.025,0.02106,0.02108,0.00951,4.43531,1.80884,1.21744,0.18297,0.0854,0.0854,4.05555,4.01398,0.37877,0.01428,0.06334,6.95441,10.10295
"30","2018_Q1",10.1414754098361,"Up",68623000,-47332000,21291000,-18898000,-10792000,-7975000,-131000,2393000,-953000,-179000,-774000,1440000,1440000,2718000,4158000,4158000,4228000,4228000,17475000,17475000,48257000,48257000,25344000,42233000,3652000,133309000,5873000,19945000,6229000,25818000,159127000,42615000,42615000,6662000,3383000,71023000,4550000,2667000,14337000,85360000,90214000,-18852000,1871000,73233000,73767000,159127000,4158000,712000,-867000,-1478000,2525000,-250000,-4857000,93000,93000,3329000,997000.000000002,997000.000000002,-75000.0000000001,921999.999999998,3105000,31533000,-1341000,0.31026,0.03487,0.06161,0.05732,0.02657,-0.317170000000005,1.87698,1.15716,0.19816,0.25793,0.25712,4.18637,4.46761,-0.0818100000000001,0.03849,-0.01221,4.52753999999999,5.87463000000001
"31","2018_Q2",10.495,"Up",59504000,-37769000,21735000,-21502000,-12394000,-8977000,-131000,233000,-97000,-237000,140000,136000,136000,5000,141000,141000,107000,107000,23158000,23158000,54934000,54934000,32714000,48295000,6431000,159101000,5632000,20071000,6441000,25703000,184804000,49889000,49889000,6112000,3949000,89557000,7341000,5471000,20236000,109793000,90688000,-18403000,2128000,74413000,75011000,184804000,141000,699000,634000,-15002000,-13528000,-85000,-85000,111000,111000,16774000,3161000,3161000,110000,3271000,932000,46451000,-14160000,0.36527,0.00392,0.0018,0.00143,0.00058,-132.33645,1.77653,1.46369,0.25135,0.00652,0.00644,3.62476,4.53296,-0.86257,0.00083,-0.10994,24.99249,99.96996
