"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2013_Q4",67.99109375,"Up",172152000,-79339000,92813000,-31477000,-19976000,-11501000,61336000,-1282000,63000,-1563000,218000,60054000,60054000,-17716000,42338000,42338000,-166999.498606155,42338000,42338000,398355000,398355000,120640000,120640000,171268000,58945000,30072000,17326000,749208000,236507000,24081000,10131000,6100000,7395000,260588000,1009796000,100877000,14293000,27031000,59553000,1333000,105807000,11667000,16635000,16635000,28302000,134109000,526486000,354162000,-4961000,875687000,875687000,1009796000,42338000,8529000,7092000,-21272000,36687000,-14034000,35000,-13999000,-608000,1051000,1051000,1697000,24385000,24385000,4486000,28871000,69865000,1.3e+07,52275000,0.53913,0.35629,0.24593,0.04835,0.04193,1.23471,7.08089,0.15315,0.01287,0.82218,0.80915,3.34308,17.00528,1.01515,0.04677,0.05774,-5.51571,-6.28269
"14","2014_Q1",70.2575409836066,"Up",165859000,-84337000,81522000,-31105000,-20227000,-10878000,50417000,-1434000,24000,-1564000,106000,48983000,48983000,-12388000,36595000,36595000,0,36595000,36595000,448776000,448776000,103803000,103803000,172700000,61064000,30836000,15996000,786343000,252245000,22628000,9564000,4799000,7810000,274873000,1061216000,93341000,18787000,15218000,59336000,1333000,100079000,11333000,21835000,21835000,33168000,133247000,538913000,390757000,-1701000,927969000,927969000,1061216000,36595000,8110000,9533000,4168000,58406000,-22552000,-585000,-22642000,1414000,4047000,4047000,10725000,46489000,46489000,3932000,50421000,58527000,12666000,52531000,0.49151,0.30398,0.22064,0.03944,0.03448,1.43547,7.85722,0.14359,0.01194,0.70609,0.69755,3.20018,17.90478,1.01356,0.03802,0.05458,-7.45143,-8.65006
"15","2014_Q2",67.3960317460318,"Down",170575000,-81291000,89284000,-32865000,-20081000,-12784000,56419000,1565000,-139000,1370000,334000,57984000,57984000,-17453000,40531000,40531000,0,40531000,40531000,480609000,480609000,107598000,107598000,170556000,66370000,33118000,17977000,825133000,249361000,22519000,9018000,6014000,7032000,271880000,1097013000,96541000,18620000,14054000,63867000,1333000,103278000,1.1e+07,21419000,21419000,32419000,135697000,544356000,431288000,-14328000,961316000,961316000,1097013000,40531000,8102000,3443000,-8685000,43391000,-11337000,32000,-11305000,-1305000,611000,611000,871000,32957000,32957000,-1124000,31833000,64521000,12333000,61952000,0.52343,0.33076,0.23761,0.04216,0.03695,1.52851,7.98944,0.14116,0.01124,0.77989,0.76874,3.28218,18.49752,1.19207,0.04073,0.06226,-7.25773,-8.29997
"16","2014_Q3",67.37140625,"Down",192204000,-87977000,104227000,-34533000,-21171000,-13362000,69694000,-706000,0,-945000,239000,68988000,68988000,-20705000,48283000,48283000,0,48283000,48283000,483432000,483432000,124144000,124144000,178925000,67591000,32634000,19706000,854092000,268122000,36172000,8472000,8139000,19106000,304294000,1158386000,95261000,15059000,16823000,63379000,1.2e+07,113172000,0,21354000,21354000,21354000,134526000,551890000,479571000,-7601000,1023860000,1023860000,1158386000,48283000,8986000,6727000,-30512000,33484000,-34190000,10000.0000000001,-34180000,103000,2768000,2768000,3732000,3036000,3036000,-213000,2823000,78680000,1.2e+07,34683000,0.54227,0.3626,0.25121,0.04716,0.04168,0.71833,7.54685,0.13139,0.01036,0.92731,0.91499,3.6914,19.6639,0.66611,0.04567,0.03281,-5.99176,-6.76431
"17","2014_Q4",71.1378125,"Up",199651000,-90561000,109090000,-35115000,-21668000,-13447000,73975000,3772000,-4000,3614000,162000,77747000,77747000,-22547000,55200000,55200000,0,55200000,55200000,487518000,487518000,136629000,136629000,179476000,59631000,23464000,20940000,863254000,271286000,50848000,9847000,9674000,30872000,322134000,1185388000,110919000,18969000,25088000,66862000,11667000,128013000,0,20672000,20672000,20672000,148685000,556406000,534771000,-54474000,1036703000,1036703000,1185388000,55200000,9321000,8070000,-25379000,47212000,-28778000,24000,-28754000,-583000,351000,351000,38000,18496000,18496000,-14410000,4086000,83296000,11667000,51686000,0.5464,0.37052,0.27648,0.05325,0.04657,0.93634,6.74349,0.14342,0.00984,1.05975,1.04561,3.83296,19.90291,0.99228,0.05164,0.04835,-5.71277,-6.43259
"18","2015_Q1",86.3252459016393,"Up",207402000,-93485000,113917000,-36865000,-23055000,-13810000,77052000,2703000,66000,2579000,58000,79755000,79755000,-23324000,56431000,56431000,2.27373675443232e-13,56431000,56431000,522150000,522150000,143109000,143109000,171009000,57570000,21295000,20967000,893838000,275082000,41967000,9227000,5438000,26847000,317049000,1210887000,102870000,17141000,21672000,64057000,13333000,122075000,19667000,22584000,22584000,42251000,164326000,567622000,591202000,-112263000,1046561000,1046561000,1210887000,56431000,9203000,14465000,-24081000,56018000,-15862000,21000,-15841000,-223000,3828000,3828000,6888000,47065000,47065000,-12433000,34632000,86255000,3.3e+07,69636000,0.54926,0.37151,0.27209,0.05392,0.0466,1.234,7.32204,0.15702,0.02725,1.07919,1.06451,3.96638,20.01455,1.33173,0.0512,0.06318,-5.67098,-6.34831
"19","2015_Q2",94.0226984126984,"Up",198960000,-91133000,107827000,-34557000,-20327000,-14230000,73270000,8653000,-184000,8752000,85000,81923000,81923000,-24577000,57346000,57346000,13000,57359000,57359000,541474000,541474000,149781000,149781000,174140000,65633000,23785000,25712000,931028000,274145000,44087000,14913000,5868000,22787000,318232000,1249260000,103731000,15916000,25606000,62209000,1.3e+07,123130000,19167000,26444000,26444000,45611000,168741000,580931000,648561000,-150539000,1078953000,1080519000,1249260000,57346000,9743000,7714000,-22795000,52008000,-13896000,60000,-18794000,-2705000,4409000,4409000,6477000,39691000,39691000,-20367000,19324000,83013000,32167000,70899000,0.54195,0.36826,0.28829,0.05308,0.04591,1.23606,7.56134,0.15617,0.02575,1.09284,1.07682,3.79073,20.55697,1.35082,0.05035,0.06224,-6.13527,-6.9511
"20","2015_Q3",84.77203125,"Down",235138000,-106435000,128703000,-38093000,-22979000,-15114000,90610000,-3118000,-112000,-3167000,161000,87492000,87492000,-26248000,61244000,61244000,55000,61299000,61299000,571508000,571508000,169828000,169828000,190848000,70186000,24241000,27822000,1002370000,288553000,43618000,14013000,7495000,21594000,332171000,1334541000,118501000,21537000,28690000,68274000,2e+06,125771000,18667000,26348000,26348000,45015000,170786000,591723000,709860000,-139262000,1162321000,1163755000,1334541000,61244000,10433000,8852000,-31127000,49402000,-18571000,25999.9999999991,-18545000,-10405000,5165000,5165000,-4348000,26509000,26509000,3525000,30034000,101043000,20667000,77593000,0.54735,0.38535,0.26069,0.05267,0.04593,1.26581,7.9698,0.14675,0.01549,1.16412,1.14702,4.46547,22.07344,1.47356,0.05063,0.06409,-5.45155,-6.07925
"21","2015_Q4",85.7065625,"Up",243541000,-110237000,133304000,-38617000,-22396000,-16221000,94687000,-5032000,-39000,-5125000,132000,89655000,89655000,-26896000,62759000,62759000,33000,62792000,62792000,651220000,651220000,154814000,154814000,197635000,74403000,23221000,32571000,1078072000,286514000,43620000,12744000,9237000,21131000,330134000,1408206000,142859000,20862000,45084000,76913000,2e+06,148850000,18167000,25303000,25303000,43470000,192320000,597808000,772652000,-155802000,1214658000,1215886000,1408206000,62759000,10903000,10055000,9484000,93201000,-18061000,-23000,-18084000,-1997000,915000,915000,-925000,74192000,74192000,5520000,79712000,105590000,20167000,123909000,0.54736,0.38879,0.25783,0.05164,0.04459,1.97332,7.24267,0.15817,0.01432,1.19206,1.17606,4.62346,23.05948,2.35233,0.04978,0.09823,-5.97645,-6.66462
"22","2016_Q1",84.8272131147541,"Down",223626000,-101583000,122043000,-41127000,-23358000,-17769000,80916000,1631000,34000,2100000,-503000,82547000,82547000,-21869000,60678000,60678000,26000,60704000,60704000,689116000,582532000,150479000,150479000,203738000,59256000,25564000,33692000,1102589000,288604000,62236000,11904000,29732000,20095000,350840000,1453429000,139790000,26314000,37809000,75667000,2e+06,141790000,17667000,33307000,33307000,50974000,192764000,607654000,833356000,-181482000,1259528000,1260665000,1453429000,60678000,11336000,20219000,-23362000,68871000,-19427000,-106717000,-126144000,-566000,3643000,3643000,-2745000,-60018000,-60018000,-8670000,-68688000,92252000,19667000,71332000,0.54575,0.36184,0.27145,0.04815,0.04177,1.17508,7.77621,0.15291,0.01353,1.14783,1.13239,4.22845,23.81591,1.34879,0.04621,0.0543,-7.25674,-8.27338
"23","2016_Q2",87.939375,"Up",207248000,-92838000,114410000,-39424000,-21935000,-17489000,74986000,-4768000,192000,-4967000,7000,70218000,70218000,-20890000,49328000,49328000,-2000,49326000,49326000,739965000,613692000,146505000,146505000,226907000,84262000,24577000,37159000,1197639000,309206000,43255000,11066000,11889000,19798000,352461000,1550100000,144920000,20277000,53656000,70987000,2e+06,150671000,17167000,35264000,35264000,52431000,203102000,616161000,882682000,-152987000,1345856000,1346998000,1550100000,49328000,11394000,16122000,-11947000,64897000,-24831000,-19853000,-44684000,-509000,2644000,2644000,2135000,22348000,22348000,8812000,31160000,86380000,19167000,70492000,0.55204,0.36182,0.238,0.03662,0.03182,1.4291,7.9487,0.15078,0.01237,0.93247,0.9199,3.91788,25.44247,1.3326,0.0352,0.0503,-8.3445,-9.61243
"24","2016_Q3",83.5465625,"Down",252787000,-115083000,137704000,-44252000,-25840000,-18412000,93452000,1967000,270000,1556000,141000,95419000,95419000,-28387000,67032000,67032000,27000,67059000,67059000,714080000,587286000,151476000,151476000,241282000,90409000,33042000,32890000,1197247000,350432000,81628000,29396000,13438000,18333000,432060000,1629307000,127636000,20414000,26688000,80534000,3188000,134976000,39229000,31939000,31939000,71168000,206144000,629699000,949741000,-156451000,1422989000,1423163000,1629307000,67032000,12259000,8039000,-43923000,43407000,-45848000,-566000,-92941000,23259000,5935000,5935000,28244000,-21290000,-21290000,-5116000,-26406000,105711000,42417000,44327000,0.54474,0.36969,0.26528,0.04712,0.04116,0.66101,8.87007,0.14485,0.02603,1.26371,1.24673,4.76372,26.81596,0.83533,0.04478,0.0296,-6.35377,-7.18725
"25","2016_Q4",93.2671428571429,"Up",266017000,-121226000,144791000,-47800000,-27257000,-20543000,96991000,-2338000,373000,-2905000,194000,94653000,94653000,-25426000,69227000,69227000,8000,69235000,69235000,772528000,645558000,162725000,162725000,242370000,98875000,38913000,35342000,1276498000,367474000,83326000,28372000,15371000,19441000,450800000,1727298000,148392000,17899000,34117000,96376000,3188000,155627000,38432000,30223000,30223000,68655000,224282000,635783000,1018976000,-148430000,1502846000,1503016000,1727298000,69227000,13993000,19627000,-15306000,87541000,-29148000,-131000,-29279000,-797000,-2876000,606999.999999999,-3673000,54589000,54589000,3683000,58272000,110984000,41620000,91956000,0.54429,0.3646,0.26027,0.04606,0.04008,1.32817,8.20229,0.14922,0.0241,1.30457,1.28783,5.01247,28.31765,1.7327,0.04396,0.05839,-6.58571,-7.53583
"26","2017_Q1",113.149677419355,"Up",280121000,-124786000,155335000,-51955000,-29847000,-22108000,103380000,2895000,469000,1820000,606000,106275000,106275000,-31146000,75129000,75129000,3000,75132000,75132000,830634000,623855000,155901000,155901000,239010000,75417000,41289000,34128000,1300962000,379375000,109662000,28789000,42442000,18603000,489037000,1789999000,155087000,28048000,24554000,102485000,3188000,158275000,37635000,36365000,36365000,7.4e+07,232275000,650979000,1094108000,-178583000,1557558000,1557724000,1789999000,75129000,13829000,16529000,-3636000,101851000,-26557000,219826000,-107504000,-797000,1534000,6997000,737000.000000004,-4916000,-4916000,-16787000,-21703000,117209000,40823000,118162000,0.55453,0.36905,0.26821,0.04823,0.04197,1.57273,8.21963,0.14911,0.02281,1.41125,1.39087,5.26167,29.25651,2.2195,0.04595,0.07227,-6.73848,-7.63988
"27","2017_Q2",134.248571428571,"Up",285846000,-128579000,157267000,-51333000,-28553000,-22780000,105934000,-4674000,308000,-4453000,-529000,101260000,101260000,-26328000,74932000,74932000,13000,74945000,74945000,862803000,697778000,180226000,180226000,261893000,86092000,44133000,41959000,1391014000,395858000,115701000,27892000,47048000,20930000,511559000,1902573000,154548000,25388000,23423000,105737000,3188000,157736000,36839000,41726000,41726000,78565000,236301000,668008000,1171198000,-151626000,1666095000,1666272000,1902573000,74932000,14504000,22865000,-61481000,50820000,-21776000,42150000,20374000,-797000,-2939000,9600000,-3736000,67458000,67458000,6465000,73923000,120438000,40027000,63509000,0.55018,0.3706,0.26219,0.04498,0.03939,0.84741,8.81862,0.14181,0.02104,1.40431,1.37843,5.35613,31.21899,1.19002,0.04287,0.03633,-6.83153,-7.76687
"28","2017_Q3",166.1,"Up",369373000,-163077000,206296000,-57971000,-32011000,-25960000,148325000,-6692000,468000,-7183000,23000,141633000,141633000,-37530000,104103000,104103000,13000,104116000,104116000,930415000,808111000,237332000,237332000,260661000,82366000,44454000,37912000,1510774000,389853000,129915000,32294000,47843000,21050000,519768000,2030542000,155597000,28996000,10102000,116499000,1188000,156785000,21375000,48025000,48025000,69400000,226185000,681268000,1275314000,-119167000,1804357000,1804357000,2030542000,104103000,15210000,21707000,-58738000,82282000,-6572000,113453000,24330000,-17463000,-4021000,7552000,-21681000,84931000,84931000,25402000,110333000,163535000,22563000,135755000,0.5585,0.40156,0.28187,0.0577,0.05127,1.30388,9.63596,0.12535,0.01111,1.95047,1.9114,6.91969,33.80212,2.54318,0.05553,0.0724,-5.55142,-6.12069
