"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",7.8591935483871,"Down",1670400000,-1.539e+09,131400000,131400000,-23200000,-24900000,1700000,108200000,108200000,-41900000,1400000,67700000,67700000,3900000,71600000,68700000,1201600000,1187300000,3839900000,3839900000,419400000,419400000,6974500000,466700000,4287500000,3574300000,182700000,530500000,4754200000,11728700000,6496800000,5846800000,6.5e+08,417600000,6914400000,1263100000,904400000,430500000,473900000,2167500000,9081900000,2497300000,450900000,-157600000,2395800000,2.51e+08,2646800000,11728700000,67700000,37400000,25100000,-234900000,-104700000,-41100000,-6e+05,-131700000,-28700000,16500000,-82500000,-3900000,-98600000,-3.35e+08,-3.35e+08,20300000,-314700000,168800000,1680700000,-65300000,0.07866,0.07866,0.04113,0.02596,0.00586,-0.95051,1.00869,3.43128,0.1433,0.15929,0.15062,3.87294,5.04127,-0.1514,0.06654,0.01862,-0.01248,0.41776,2.83827,3.64612
"12","2013_Q1",9.18333333333333,"Up",2063300000,-1654600000,408700000,408700000,66900000,-28500000,95400000,475600000,476800000,-140500000,8e+05,337100000,337100000,-20900000,316200000,313300000,2590800000,2574800000,4496600000,4496600000,332100000,332100000,8738300000,504800000,4250800000,3580600000,160500000,509700000,4755600000,13493900000,7.313e+09,6584800000,728200000,388700000,7701700000,2060800000,1047600000,4.89e+08,558600000,3108400000,10810100000,2514200000,738300000,-2.88e+08,2420600000,263200000,2683800000,13493900000,337100000,38900000,56600000,369900000,802500000,-69900000,-799999.999999998,19100000,-28200000,764400000,-146800000,-18400000,5.71e+08,1392600000,1392600000,-5100000,1387500000,447600000,2449500000,888100000,0.19808,0.19808,0.15184,0.11674,0.02322,2.83466,1.13459,4.02791,0.18153,0.73944,0.56953,4.86972,5.19023,2.09606,0.06656,0.05525,0.14368,0.09001,-0.31568,-0.34573
"13","2013_Q2",10.48328125,"Up",1.543e+09,-1585400000,-42400000,-42400000,-28600000,-30400000,1800000,-7.1e+07,-7.1e+07,12400000,1e+05,-58500000,-58500000,2200000,-56300000,-59200000,1651100000,1645700000,3885700000,3885700000,4e+08,4e+08,7448200000,485600000,4284500000,3588900000,182400000,513200000,4770100000,12218300000,6246600000,5650200000,596400000,161600000,6408200000,2071600000,1020800000,465700000,555100000,3092400000,9500600000,2756500000,648700000,-325400000,2449300000,268400000,2717700000,12218300000,-58500000,38200000,-29200000,-725600000,-775100000,-17800000,1800000,-39800000,-33900000,-11400000,-57700000,-1100000,-104100000,-9.19e+08,-9.19e+08,-10100000,-929100000,-4200000,2233200000,-7.6e+08,-0.02748,-0.02748,-0.03837,-0.02178,-0.00485,12.83784,1.16229,3.49582,0.18278,-0.14293,-0.14293,3.72525,5.37856,-1.83486,0.08184,-0.00424,-0.12727,-0.57264,-138.59524,-13.72877
"14","2013_Q3",12.05796875,"Up",1756200000,-1581400000,174800000,174800000,-26900000,-31700000,4800000,147900000,147900000,-6.2e+07,2e+05,86100000,86100000,-3300000,82800000.0000001,79899999.9999999,1618500000,1613900000,4047800000,4047800000,391900000,391900000,7604100000,475900000,4256700000,3580700000,178400000,497600000,4732600000,12336700000,6439600000,5.891e+09,548600000,780800000,7220400000,1478600000,1030300000,471700000,558600000,2508900000,9729300000,2786800000,696500000,-395400000,2344300000,263100000,2607400000,12336700000,86100000,39200000,39700000,18699999.9999998,183700000,-2.9e+07,-3900000,-42600000,-34600000,29299999.9999999,-91400000,-25200000,-121900000,19199999.9999993,19199999.9999993,-5.1e+07,-31799999.9999998,2.14e+08,2259400000,265700000,0.09953,0.09953,0.0455,0.03064,0.00648,3.32541,1.05314,3.73142,0.18314,0.18796,0.18326,4.13126,4.99365,0.625030000000001,0.08139,0.01942,0.04506,0.43304,2.99486,3.66648
"15","2013_Q4",12.65359375,"Up",1700400000,-1558900000,141500000,141500000,-64500000,-17900000,-46600000,7.7e+07,7.7e+07,-28400000,6e+05,49200000,49200000,-9e+05,48300000,45400000,1004500000,999300000,3830200000,3830200000,377100000,377100000,6762800000,490500000,4278700000,3609300000,171300000,498100000,4769200000,1.1532e+10,6258900000,5705600000,553300000,188500000,6447400000,1.481e+09,1040500000,483300000,557200000,2521500000,8968900000,2805300000,710400000,-369300000,2302600000,260500000,2563100000,1.1532e+10,49200000,40500000,75500000,-4200000,1.61e+08,-44800000,-3e+05,-45700000,-34300000,-605800000,-88100000,-1400000,-729600000,-614300000,-614300000,-3e+05,-614600000,1.82e+08,1669500000,161400000,0.08322,0.08322,0.0267,0.01771,0.00394,3.55507,1.04892,3.49924,0.14477,0.10815,0.10702,4.0505,4.95736,0.38447,0.08171,0.01511,0.0306099999999999,0.75551,3.65385000000002,4.69965
"16","2014_Q1",12.904262295082,"Up",2122700000,-1737700000,3.85e+08,3.85e+08,-10300000,-1.8e+07,7700000,374700000,314100000,-103200000,1200000,212100000,212100000,-1.9e+07,193100000,193100000,1642100000,1636800000,4565400000,4565400000,340100000,340100000,8.084e+09,5.4e+08,4.281e+09,3.629e+09,1.44e+08,5.08e+08,4.821e+09,1.2905e+10,7632600000,6914200000,718400000,532700000,8165300000,1129800000,1.11e+09,514300000,595700000,2239800000,10405100000,3028200000,864500000,-411200000,2215200000,284700000,2499900000,1.2905e+10,212100000,39500000,66100000,705600000,1023300000,-81400000,-9e+05,-96400000,-34800000,-9100000.00000024,-197200000,-15600000,-256700000,670200000,670200000,-32700000,637500000,424500000,1662500000,1151900000,0.18137,0.18137,0.09097,0.07724,0.01496,5.9653,0.99004,4.16221,0.12883,0.45403,0.43491,4.99107,5.20856,2.70844,0.08182,0.04323,0.21848,0.18022,0.04806,0.05299
"17","2014_Q2",13.77,"Up",1637500000,-1649200000,-11700000,-11700000,-12300000,-1.4e+07,1700000,-2.4e+07,-2.4e+07,1700000,-1e+05,-22400000,-22400000,1500000,-20900000,-20900000,776600000,7.71e+08,4013400000,4013400000,399200000,399200000,6881900000,534300000,4.343e+09,3663100000,162200000,517700000,4877300000,11759200000,6635900000,6048500000,587400000,524300000,7160200000,1130700000,1047200000,484200000,5.63e+08,2177900000,9338100000,3055900000,8.05e+08,-410900000,2138800000,282300000,2421100000,11759200000,-22400000,40500000,1e+06,-744800000,-725700000,-26600000,1600000,-47100000,-40200000,-6700000,-38700000,-5100000,-90700000,-863500000,-863500000,-2300000,-865800000,28800000,1.655e+09,-744300000,-0.00715,-0.00715,-0.01276,-0.00863,-0.00178000000000001,35.61244,0.96113,3.85697,0.14074,-0.04943,-0.04943,3.87299,5.05866,-1.76041,0.09508,0.00377,-0.14528,-1.92344,30.5,-75.07692
"18","2014_Q3",14.78375,"Up",1851400000,-1655600000,195800000,195800000,-27200000,-1.6e+07,-11200000,168600000,168600000,-65300000,4e+05,103700000,103700000,-4299999.99999999,99400000,99400000,901400000,895100000,4272300000,4272300000,429300000,429300000,7401600000,537100000,4.401e+09,3714800000,1.71e+08,515200000,4938100000,12339700000,7009600000,6414800000,594800000,128600000,7138200000,1629900000,1103300000,486900000,616400000,2733200000,9871400000,3070500000,865500000,-383100000,2189300000,2.79e+08,2468300000,12339700000,103700000,40200000,55300000,-30700000,168500000,-32100000,-1700000,-5.2e+07,-39900000,102900000,-47900000,-13700000,1400000,117900000,117900000,6200000,124100000,2.36e+08,1758500000,238500000,0.10576,0.10576,0.05369,0.04027,0.00806,2.39940000000001,1.0369,3.99927,0.14251,0.23605,0.23219,4.39658,5.199,0.56637,0.09475,0.02613,0.04475,0.40141,3.63178,4.37743
"19","2014_Q4",14.73484375,"Down",1841100000,-1669800000,171300000,171300000,-13800000,-13200000,-6e+05,157500000,157500000,-6.5e+07,3e+05,92800000,92800000,-3100000,89700000,89700000,902400000,8.96e+08,3870900000,3870900000,4.02e+08,4.02e+08,6900900000,530200000,4347300000,3686400000,160600000,500300000,4877500000,11778400000,6513800000,5.875e+09,638800000,130500000,6644300000,1626800000,1136100000,475800000,660300000,2762900000,9407200000,3077700000,915200000,-495200000,2083300000,287900000,2371200000,11778400000,92800000,4.1e+07,6e+07,-17600000,176200000,-35700000,1e+05,-42800000,-39800000,8400000,-49600000,-4500000,-85500000,47900000,47900000,-4.7e+07,9e+05,212300000,1757300000,2.24e+08,0.09304,0.09304,0.04872,0.03783,0.00762,2.49721,1.03862,3.96727,0.1492,0.21398,0.21037,4.39194,4.9697,0.53435,0.09494,0.0246,0.04255,0.4437,4.02685,4.99066
"20","2015_Q1",16.3431147540984,"Up",2207100000,-1774100000,4.33e+08,4.33e+08,-14400000,-14300000,-1e+05,418600000,418600000,-87900000,6e+05,331300000,331300000,-22400000,308900000,308900000,1667200000,1660600000,4376600000,4376600000,342200000,342200000,7810200000,548200000,4378200000,3669200000,192900000,516100000,4926400000,12736600000,7.354e+09,6.558e+09,7.96e+08,109300000,7463300000,1612900000,1251800000,527900000,723900000,2864700000,1.0328e+10,1588700000,1183300000,-636700000,2116300000,292300000,2408600000,12736600000,331300000,41300000,58300000,646500000,1077400000,-54300000,17600000,-5.7e+07,-39100000,-2.3e+07,-118800000,-1.7e+07,-197900000,822500000,822500000,-57900000,764600000,474300000,1722200000,1154400000,0.19619,0.19619,0.13996,0.12825,0.02425,3.73713,1.04648,4.28797,0.13522,0.74668,0.72802,5.33503,5.11554,2.79043,0.09451,0.06465,0.21447,0.126579999999998,0.11596,0.12702
"21","2015_Q2",16.0668253968254,"Down",1.676e+09,-1668200000,7800000,7800000,-13400000,-13700000,3e+05,-5600000,-5600000,1400000,0,-4200000,-4200000,2400000,-1800000,-1800000,741200000,734300000,3781400000,3781400000,367100000,367100000,6387500000,523300000,4289400000,3.595e+09,1.93e+08,501400000,4812700000,11200200000,6087200000,5468500000,618700000,137700000,6224900000,1620600000,1167200000,473200000,6.94e+08,2787800000,9012700000,1621400000,1126200000,-764700000,1912700000,274800000,2187500000,11200200000,-4200000,38700000,0,-815200000,-780700000,-20200000,2e+05,-2e+07,-49300000,34300000,-42100000,-10200000,-67300000,-8.68e+08,-8.68e+08,-58300000,-926300000,46500000,1758300000,-790300000,0.00465,0.00465,-0.00107,-0.000820000000000015,-0.000159999999999997,439.05556,1.02612,4.12009,0.15699,-0.00438,-0.00438,4.07687,4.65264,-1.9224,0.11992,0.00929,-0.15457,-27.38889,21.87312,130.39744
"22","2015_Q3",15.5525,"Down",1876100000,-1660300000,215800000,215800000,-14800000,-15300000,5e+05,2.01e+08,2.01e+08,-77700000,5e+05,123800000,123800000,-2600000,121200000,121200000,855600000,848900000,3976700000,3976700000,352700000,352700000,6637400000,526400000,4335500000,3626300000,204200000,5.05e+08,4861900000,11499300000,6273600000,5669800000,603800000,1.6e+08,6433600000,1622800000,1199700000,480400000,719300000,2822500000,9256100000,1638900000,1201800000,-735800000,1983900000,259300000,2243200000,11499300000,123800000,39500000,54700000,42600000,260600000,-29600000,-3e+05,-29900000,-49200000,20600000,-49300000,-31800000,-109700000,1.21e+08,1.21e+08,-6400000,114600000,255300000,1782800000,3.46e+08,0.11503,0.11503,0.0646,0.05403,0.01054,2.85478999999998,1.03168,4.12629,0.15504,0.29525,0.29023,4.57028,4.83289,0.842870000000001,0.11985,0.03261,0.06621,0.405939999999994,3.63181,4.29657
"23","2015_Q4",17.6025,"Up",1865500000,-1673600000,191900000,191900000,-52900000,-15700000,-37200000,1.39e+08,1.39e+08,-61100000,1e+05,7.8e+07,7.8e+07,-3100000,74900000,74900000,881200000,874300000,3848300000,3848300000,349100000,349100000,6668800000,519200000,4286100000,3591300000,203900000,490900000,4805300000,11474100000,6442300000,5753400000,688900000,130300000,6572600000,1621300000,1162100000,462900000,699200000,2783400000,9.356e+09,1655100000,1226200000,-826200000,1863800000,254300000,2118100000,11474100000,7.8e+07,38100000,28800000,136900000,281800000,-30900000,-3800000,-40600000,-48700000,-25500000,-69100000,-8700000,-1.52e+08,89200000,89200000,-63800000,25400000,2.3e+08,1751600000,397100000,0.10287,0.10287,0.04015,0.03536,0.00653,5.30174,1.01464,4.41717,0.15266,0.18376,0.18026,4.57679,4.57262,0.97424,0.11948,0.02456,0.07892,0.6502,3.78435,4.5357
"24","2016_Q1",17.0354098360656,"Down",2196200000,-1736900000,459300000,459300000,-31500000,-18300000,-13200000,427800000,427800000,-145400000,5e+05,282900000,282900000,-22600000,260300000,260300000,1509700000,1502900000,4.361e+09,4.361e+09,2.28e+08,215900000,7693100000,567200000,4324800000,3608500000,228400000,487900000,4.892e+09,12585100000,7437600000,6689200000,748400000,134800000,7584300000,1610300000,1136800000,464200000,672600000,2747100000,10331400000,1444500000,1437600000,-845600000,1965500000,288200000,2253700000,12585100000,282900000,40700000,127800000,475400000,926800000,-80400000,-6100000,-109200000,-48300000,20400000,-111200000,-22800000,-161900000,655700000,655700000,-27700000,6.28e+08,5e+08,1745100000,1040400000,0.20913,0.20913,0.11852,0.1155,0.02068,3.99693000000001,1.01435,4.58419,0.13866,0.64559,0.62183,5.44692,4.87475,2.58036,0.11979,0.06009,0.20259,0.18556,0.4708,0.51252
"25","2016_Q2",18.6428125,"Up",1.742e+09,-1.719e+09,2.3e+07,2.3e+07,-3.6e+07,-16800000,-19200000,-1.3e+07,-1.3e+07,15600000,1e+05,2700000,2700000,2700000,5400000,5400000,680300000,673400000,3718900000,3718900000,312600000,312600000,6.486e+09,565100000,4465700000,3681800000,2.77e+08,506900000,5030800000,11516800000,6405700000,5785100000,620600000,133700000,6539400000,1609900000,1147300000,414100000,733200000,2757200000,9296600000,1474700000,1.379e+09,-787500000,1941500000,278700000,2220200000,11516800000,2700000,3.8e+07,41400000,-735700000,-653600000,-2.7e+07,-5500000,-59500000,-59900000,-19700000,-49800000,-24900000,-154300000,-867400000,-867400000,36700000,-830700000,6.1e+07,1743600000,-717300000,0.0132,0.0132,0.0031,0.00242999999999999,0.000470000000000005,-132.83333,0.99183,4.18728,0.1514,0.01348,0.01319,4.34848,4.84648,-1.79056,0.14953,0.01278,-0.14034,11.09259,17.43115,46.23043
"26","2016_Q3",18.35703125,"Down",1917900000,-1693600000,224300000,224300000,-18500000,-18900000,399999.999999996,205800000,205800000,-43700000,-1900000,160200000,160200000,-3300000,156900000,156900000,675400000,672600000,3.945e+09,3.945e+09,294600000,294600000,6625400000,569700000,4438800000,3662200000,274200000,502400000,5008500000,11633900000,6446100000,5857700000,588400000,236200000,6682300000,1583600000,1093600000,408600000,6.85e+08,2677200000,9359500000,1501100000,1475300000,-797300000,1995600000,278800000,2274400000,11633900000,160200000,39800000,53400000,-153600000,99800000,-3.6e+07,6e+05,-42700000,-60200000,73700000,-52900000,-33300000,-72700000,-15600000,-15600000,15900000,3e+05,264100000,1819800000,118200000,0.11695,0.11695,0.08181,0.06899,0.01349,0.753349999999983,0.99148,4.11515,0.15642,0.39215,0.38287,4.79355,4.98775,0.295430000000001,0.15046,0.04185,0.02278,0.383680000000002,4.33321,5.1021
