"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",32.1906451612903,"Up",334020000,-84676000,249344000,-140066000,-31607000,-108459000,109278000,-16644000,-19401000,1304000,1453000,92634000,96174000,-3910000,92264000,92264000,-195000,92069000,92069000,20234000,20234000,80154000,80154000,48540000,217067000,13007000,157985000,365995000,3506836000,5198925000,-1692089000,196313000,1138493000,1120323000,4841642000,5207637000,118252000,93414000,937000,23901000,97548000,97548000,268264000,1536573000,1628563000,877209000,412030000,3165136000,3433400000,835742000,943575000,-9319000,1769977000,4260000,1774237000,5207637000,92264000,32975000,13370000,-40164000,98445000,-63850000,1205000,-62645000,-16480000,-13300000,-160000,-29940000,5860000,5860000,5860000,142253000,1589037000,42149000,0.74649,0.32716,0.27564,0.05189,0.01768,0.4578,1.36431,1.93514,0.30514,1.84256,1.8384,6.68468,35.42221,0.84352,0.32981,0.02175,0.00844,0.179,11.02826,14.35607
"12","2013_Q1",34.648,"Up",250800000,-71292000,179508000,-142518000,-31913000,-110605000,36990000,-8773000,-19826000,10822000,231000,28217000,31661000,-10993000,20668000,20668000,47000,20715000,20715000,26527000,26527000,66111000,66111000,51037000,223578000,12823000,152470000,367253000,3536031000,5239190000,-1703159000,165231000,1222775000,1204866000,4924037000,5291290000,166527000,90165000,11708000,22311000,44012000,44012000,351303000,1466632000,1727376000,883377000,420590000,3194008000,3545311000,834922000,923981000,-17116000,1741766000,4213000,1745979000,5291290000,20668000,32707000,26251000,-11839000,67787000,-52004000,472000,-58532000,-18978000,18300000,-2327000,-2962000,6293000,6293000,6293000,69697000,1607396000,16847000,0.71574,0.14749,0.0826,0.01186,0.00391,0.81328,1.0454,2.03056,0.30378,0.41458,0.41372,5.01941,34.85902,0.33717,0.37982,0.00781,0.00332,0.91615,22.68202,42.73774
"13","2013_Q2",36.37984375,"Up",264928000,-77312000,187616000,-128183000,-31910000,-96273000,59433000,-15964000,-19490000,2700000,826000,43469000,47084000,-12043000,35041000,35041000,153000,35194000,35194000,24460000,24460000,78806000,78806000,52625000,228361000,11199000,183429000,384252000,3554519000,5278315000,-1723796000,185692000,1191381000,1174796000,4931592000,5315844000,116361000,65309000,154000.000000004,24157000,54233000,54233000,255408000,1535627000,1745408000,892356000,422427000,3281035000,3536443000,835418000,955409000,-15470000,1775341000,4060000,1779401000,5315844000,35041000,33195000,19496000,-33753000,53979000,-51976000,3285000,-48691000,-19303000,12986000,828000,-7355000,-2067000,-2067000,-2067000,92628000,1620441000,18942000,0.70818,0.22434,0.13284,0.01978,0.00662,0.53822,1.50446,1.98743,0.30483,0.70333,0.70298,5.29443,35.47915,0.37854,0.38576,0.01059,0.00368,0.54847,17.23001,26.85345
"14","2013_Q3",37.93859375,"Up",303949000,-77731000,226218000,-146811000,-32232000,-114579000,79407000,-18620000,-20649000,441000,1588000,60787000,64315000,-17676000,46639000,46639000,-137000,46502000,46502000,136155000,136155000,69130000,69130000,52347000,262938000,13792000,220757000,520570000,3587232000,5325059000,-1737827000,182742000,1198140000,1181816000,4968114000,5488684000,141331000,77011000,9802000,23534000,39324000,39324000,313619000,1615128000,1752117000,904306000,419865000,3367245000,3680864000,836560000,981822000,-14746000,1803623000,4197000,1807820000,5488684000,46639000,32830000,-565000,-18674000,60230000,-56603000,728000,-55875000,-19010000,128150000,-1797000,107340000,111695000,111695000,111695000,112237000,1748092000,54636000,0.74426,0.26125,0.15299,0.02572,0.00847,1.17492,1.65988,2.03608,0.31849,0.929,0.92804,6.07218,36.0321,1.0915,0.37977,0.01234,0.01029,0.4088,14.3619,20.29968
"15","2013_Q4",39.26546875,"Up",381107000,-131986000,249121000,-133562000,-32538000,-101024000,115559000,-12966000,-20795000,6261000,1568000,102593000,106326000,-33222000,73104000,73104000,15000,73119000,73119000,186870000,186870000,111214000,111214000,52857000,215909000,14041000,166812000,566850000,3621540000,5381325000,-1759785000,179186000,1223542000,1207478000,5024268000,5591118000,164929000,88835000,13802000,26409000,46271000,46271000,335264000,1615197000,1776880000,938162000,422446000,3392077000,3727341000,838575000,1034472000,-13439000,1859595000,4182000,1863777000,5591118000,73104000,33509000,13661000,13163000,133437000,-56473000,1050000,-55423000,-19010000,-8900000,611000,-27299000,50715000,50715000,50715000,149068000,1739261000,138980000,0.65368,0.30322,0.19186,0.03923,0.01308,1.90074,1.69076,1.99989,0.31108,1.46069,1.45786,7.61331,37.14881,2.77638,0.37976,0.01712,0.02583,0.25999,10.41398,13.43375
"16","2014_Q1",41.5262295081967,"Up",296230000,-108495000,187735000,-150392000,-33055000,-117337000,37343000,-4530000,-20098000,2537000,13031000,32813000,36795000,-9285000,27510000,27510000,92000,27602000,27602000,78162000,78162000,97873000,97873000,53643000,246933000,15338000,184565000,476611000,3665041000,5431721000,-1766680000,163883000,1059028000,1043225000,4887952000,5364563000,166095000,91519000,13302000,22764000,28463000,28463000,250372000,1615258000,1644193000,969593000,429973000,3259451000,3509823000,839750000,1027461000,-16553000,1850650000,4090000,1854740000,5364563000,27510000,34242000,27838000,-31687000,57903000,-81622000,12018000,-76604000,-21509000,-68250000,-248000,-90007000,-108708000,-108708000,-108708000,71585000,1671072000,-32439000,0.63375,0.12606,0.09318,0.01488,0.00515,-1.17524,1.90361,1.89235,0.3115,0.55143,0.55009,5.91809,36.97233,-0.648070000000001,0.42971,0.0095,-0.00627,0.77926,22.25201,42.65619
"17","2014_Q2",43.1477777777778,"Up",292719000,-114146000,178573000,-129995000,-32875000,-97120000,48578000,-16765000,-20036000,983000,2288000,31813000,35892000,-8707000,27185000,27185000,219000,27404000,27404000,88265000,88265000,98431000,98431000,55328000,251688000,14790000,204030000,493712000,3692861000,5476304000,-1783443000,163635000,1011184000,996705000,4867680000,5361392000,162876000,72085000,38051000,24944000,35605000,35605000,246845000,1614256000,1638865000,957777000,431551000,3253121000,3499966000,840472000,1033225000,-16121000,1857555000,3871000,1861426000,5361392000,27185000,33888000,-7976000,43841000,96938000,-57918000,2631000,-55287000,-21879000,-8514000,1149000,-31548000,10103000,10103000,10103000,82466000,1662620000,77096000,0.61005,0.16595,0.09362,0.01472,0.00511,2.81331,2.00009,1.88026,0.31011,0.54665,0.54617,5.83908,37.05402,1.53789,0.43644,0.00955,0.01493,0.79839,19.09096,32.40881
"18","2014_Q3",43.34875,"Up",317783000,-106022000,211761000,-139952000,-32952000,-1.07e+08,71809000,-17180000,-19942000,1510000,1252000,54629000,59088000,-14391000,44697000,44697000,-157000,44540000,44540000,50621000,50621000,9.8e+07,9.8e+07,55316000,243058000,17722000,195791000,446995000,3740067000,5544634000,-1804567000,169031000,1033776000,1019557000,4942874000,5389869000,165845000,82424000,27739000,22693000,32149000,32149000,236258000,1614316000,1653391000,980139000,425476000,3267707000,3503965000,841718000,1056133000,-15689000,1881876000,4028000,1885904000,5389869000,44697000,33969000,8148000,-20445000,66369000,-67793000,-2729000,-72161000,-21540000,-10100000,61000,-31852000,-37644000,-37644000,-37644000,105778000,1652580000,31931000,0.66637,0.22597,0.14016,0.02362,0.00826,0.71691,1.89198,1.85798,0.30661,0.88844,0.88803,6.3388,37.53767,0.63693,0.42966,0.01273,0.00615,0.48361,15.14454,22.30861
"19","2014_Q4",48.6675,"Up",382201000,-141478000,240723000,-1.35e+08,-33477000,-101523000,105723000,-12264000,-19872000,6415000,1193000,93459000,98103000,-10870000,87233000,87233000,-345000,86888000,86888000,111038000,111038000,93272000,93272000,56023000,214873000,12954000,169281000,475206000,3778754000,5602624000,-1823870000,161069000,1083248000,1069290000,5023071000,5498277000,174119000,82901000,26232000,24885000,32720000,32720000,239703000,1614377000,1690808000,1030076000,430347000,3305185000,3544888000,843163000,1121390000,-15257000,1949016000,4373000,1953389000,5498277000,87233000,34509000,1724000,29054000,152520000,-72294000,5481000,-65174000,-21539000,-5400000,10000,-26929000,60417000,60417000,60417000,140232000,1647241000,107862000,0.62983,0.27662,0.22734,0.04448,0.0158,1.24139,1.98248,1.81474,0.29959,1.73329,1.73015,7.62435,38.88001,2.15169,0.42967,0.02049,0.02038,0.24789,10.95473,14.53045
"20","2015_Q1",51.3709836065574,"Up",289821000,-106458000,183363000,-155777000,-33683000,-122094000,27586000,-14892000,-19951000,3464000,1595000,12694000,17443000,17196000,34639000,34639000,9000,34648000,34648000,56808000,56808000,79083000,79083000,55404000,250806000,18476000,178104000,442101000,3833477000,5674488000,-1841011000,171741000,1253718000,1240020000,5258936000,5701037000,166095000,89324000,10367000,22630000,43322000,43322000,241781000,1598622000,1903069000,1065290000,434445000,3501691000,3743472000,845402000,1132237000,-24158000,1953201000,4364000,1957565000,5701037000,34639000,34722000,8024000,-28869000,48516000,-76089000,4291000,-79798000,-23531000,-500000.000000015,1243000,-22948000,-54230000,-54230000,-54230000,62308000,1630986000,-59846000,0.63268,0.09518,0.11955,0.0177,0.00608,-1.72726,1.82852,1.91231,0.28609,0.69115,0.68958,5.78127,38.96194,-1.19379,0.46939,0.01059,-0.0109,0.67914,25.26446,57.06438
"21","2015_Q2",47.9393650793651,"Down",279395000,-102196000,177199000,-134295000,-34043000,-100252000,42904000,-18636000,-20437000,-160000,1961000,24268000,29455000,-6111000,23344000,23344000,86000,23430000,23430000,317240000,317240000,74060000,74060000,57325000,244066000,14822000,178161000,692691000,3864045000,5724324000,-1860279000,179127000,1235889000,1223515000,5279061000,5971752000,137875000,65160000,17696000,25473000,44919000,44919000,347258000,1741724000,1924307000,1066289000,447927000,3666031000,4013289000,845712000,1131969000,-23491000,1954185000,4278000,1958463000,5971752000,23344000,35057000,3929000,43115000,105445000,-77649000,1058000,-76591000,-24054000,261036000,-2182000,231578000,260432000,260432000,260432000,77961000,1906188000,49538000,0.63422,0.15356,0.08386,0.01196,0.00392,2.1143,1.99474,2.0492,0.3192,0.46655,0.46618,5.56342,38.91249,0.98642,0.47897,0.0082,0.00856,1.02663,20.38132,37.03496
"22","2015_Q3",48.91,"Up",336328000,-108267000,228061000,-142084000,-34314000,-107770000,85977000,-15523000,-20663000,3270000,1870000,70454000,75832000,-9642000,66190000,66190000,-110000,66080000,66080000,130979000,130979000,79215000,79215000,56389000,261461000,14700000,203068000,528044000,3934213000,5811086000,-1876873000,178457000,1256662000,1244549000,5369332000,5897376000,161809000,89035000,15920000,22160000,43897000,43897000,233770000,1741800000,1918999000,1064620000,447016000,3660799000,3894569000,846914000,1174366000,-22824000,1998419000,4388000,2002807000,5897376000,66190000,35454000,-9026000,-27088000,65530000,-73788000,-267000,-74055000,-23273000,-136400000,-18008000,-177736000,-186261000,-186261000,-186261000,121431000,1769864000,30197000,0.67809,0.25563,0.19647,0.03299,0.0112,0.45698,2.25882,1.94456,0.30011,1.31576,1.31482,6.69683,39.7917,0.60127,0.4634,0.0157,0.00531,0.35219,13.49643,19.0619
"23","2015_Q4",55.06078125,"Up",369166000,-126362000,242804000,-138139000,-34639000,-103500000,104665000,-13528000,-20277000,5526000,1223000,91137000,96791000,-23523000,73268000,73268000,69000,73337000,73337000,121260000,121260000,91936000,91936000,56164000,224959000,18870000,159158000,494319000,3978485000,5868859000,-1890374000,180681000,1284501000,1272648000,5443667000,5937986000,165150000,81047000,21567000,24073000,35518000,35518000,205332000,1741875000,1936646000,1092372000,458388000,3678521000,3883853000,848003000,1224025000,-22157000,2049814000,4319000,2054133000,5937986000,73268000,35793000,-2689000,13473000,119845000,-82598000,-1923000,-82266000,-23898000,-23400000,0,-47298000,-9719000,-9719000,-9719000,140458000,1746539000,94856000,0.65771,0.28352,0.19866,0.0357,0.01235,1.29343,2.40741,1.89075,0.29413,1.46034,1.4573,7.35112,40.8175,1.88885,0.47588,0.01695,0.01653,0.32587,11.57128,15.52839
"24","2016_Q1",58.165737704918,"Up",285400000,-92642000,192758000,-144207000,-35114000,-109093000,48551000,-15960000,-20557000,2492000,2105000,32591000,38157000,-6484000,31673000,31673000,159000,31832000,31832000,114802000,114802000,73505000,73505000,56924000,216805000,17979000,185768000,462036000,3992413000,5906340000,-1913927000,163281000,1405584000,1393992000,5561278000,6023314000,171541000,95526000,10762000,22292000,49701000,49701000,242306000,1725410000,1993554000,1137375000,462149000,3718964000,3961270000,849112000,1230105000,-21276000,2057884000,4160000,2062044000,6023314000,31673000,36277000,16031000,-21607000,62374000,-59986000,-16690000,-58794000,-25585000,16400000,-853000,-10038000,-6458000,-6458000,-6458000,84828000,1746474000,9719000,0.6754,0.17012,0.11153,0.01544,0.00528,0.30532,1.90683,1.92104,0.28995,0.63386,0.63252,5.68311,40.9782,0.19353,0.50947,0.0099,0.00168,0.80375,19.23506,33.60738
"25","2016_Q2",61.1525,"Up",280956000,-97233000,183723000,-139905000,-35617000,-104288000,43818000,-18906000,-21068000,-42000,2204000,24912000,29897000,-4367000,25530000,25530000,199000,25729000,25729000,219683000,219683000,69231000,69231000,59410000,238962000,14719000,209419000,587286000,4009708000,5946909000,-1937201000,161602000,1371854000,1361586000,5543164000,6130450000,134501000,60606000,17754000,24357000,52954000,52954000,311819000,1744433000,2012730000,1143651000,467918000,3757163000,4068982000,848361000,1229887000,-20712000,2057507000,3961000,2061468000,6130450000,25530000,36145000,11990000,-7489000,66176000,-54241000,-4000,-53221000,-26087000,122236000,-1139000,91926000,104881000,104881000,104881000,79963000,1868797000,22600000,0.65392,0.15596,0.09158,0.01248,0.0042,0.87839,1.88342,1.97383,0.30484,0.51152,0.51113,5.58572,40.90552,0.44931,0.51864,0.00872,0.0038,1.01391,20.62346,37.63554
"26","2016_Q3",65.8728125,"Up",315436000,-94981000,220455000,-143502000,-35794000,-107708000,76953000,-17084000,-20641000,1367000,2190000,59869000,65107000,-8721000,56386000,56386000,-140000,56246000,56246000,90558000,90558000,76962000,76962000,58412000,270652000,14942000,243383000,496584000,4045268000,6008208000,-1962940000,166840000,1372664000,1362656000,5584772000,6081356000,149543000,77621000,12651000,22254000,50041000,50041000,224548000,1745182000,2017885000,1149449000,470820000,3763067000,3987615000,849609000,1260369000,-20149000,2089640000,4101000,2093741000,6081356000,56386000,37038000,-7700000,-14011000,71713000,-62073000,5269000,-61242000,-25632000,-99400000,-14373000,-139596000,-129125000,-129125000,-129125000,113991000,1770146000,46628000,0.69889,0.24396,0.17831,0.02686,0.00925,0.829,2.21148,1.90454,0.29108,1.11817,1.11699,6.27084,41.54189,0.92696,0.50956,0.01392,0.00793,0.45571,14.73439,21.82615
