"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",15.0712698412698,"Down",11016000,-5658000,5358000,-3238000,-2866000,-372000,2120000,-9000,-9000,2111000,2111000,-836000,1275000,1275000,1275000,1275000,6016000,6016000,8067000,8067000,1359000,1359000,15442000,10644000,9e+05,9e+05,11544000,26986000,4721000,813000,3908000,5662000,1091000,2810000,8472000,31396000,-10082000,-1216000,18514000,18514000,26986000,1275000,774000,111000,-1753000,407000,-494000,-110000,-604000,-994000,-240000,-1234000,-1431000,-1431000,-1705000,2894000,2660000,1483000,0.48638,0.19245,0.11574,0.06887,0.04725,1.16314,2.7273,0.4576,0.09857,0.23152,0.22952,2.00036,3.3619,0.26929,0.1805,0.10191,0.06661,0.77961,-1.15964,-1.58302
"34","2019_Q1",15.1259016393443,"Up",9936000,-5203000,4733000,-3205000,-2743000,-462000,1528000,-4000,-4000,1524000,1524000,-643000,881000,881000,881000,881000,7974000,4069000,4829000,4829000,1067000,1067000,13870000,10177000,927000,927000,11104000,24974000,3644000,682000,2962000,4060000,955000,2167000,6227000,31554000,-10082000,-1326000,18747000,18747000,24974000,881000,761000,-13000,2293000,3922000,-416000,-3804000,-4220000,-991000,-939000,-2023000,-2321000,-2321000,-1947000,2289000,1628000,4809000,0.47635,0.15378,0.08867,0.04699,0.03528,5.45857,3.41626,0.33216,0.06519,0.15998,0.15951,1.80425,3.40421,0.87325,0.17995,0.08776,0.22546,1.12486,-2.77239,-4.15314
"35","2019_Q2",10.1809523809524,"Down",9822000,-5414000,4408000,-3464000,-3044000,-420000,944000,26000,26000,970000,970000,-343000,627000,627000,627000,627000,7138000,3226000,5131000,5131000,1204000,1204000,13473000,9556000,2500000,2500000,12056000,25529000,3005000,378000,2627000,4371000,1556000,2665000,7036000,31712000,-10082000,-1690000,18493000,18493000,25529000,627000,764000,55000,-1078000,368000,-21000,-91000,-112000,-991000,-104000,-1095000,-839000,-839000,-843000,1708000,1525000,952000,0.44879,0.09611,0.06384,0.0339,0.02456,1.51834,3.08236,0.38047,0.05974,0.11386,0.11322,1.78355,3.35809,0.17287,0.17995,0.075,0.04413,1.58054,-3.2863,-5.94597
"36","2019_Q3",7.78359375,"Down",9289000,-5120000,4169000,-2843000,-2443000,-4e+05,1326000,22000,22000,1348000,1348000,-580000,768000,768000,768000,768000,7097000,7097000,4526000,4526000,1700000,1700000,13323000,9503000,2309000,2309000,11812000,25135000,2924000,704000,2220000,4201000,1452000,2457000,6658000,31840000,-10082000,-1916000,18477000,18477000,25135000,768000,737000,242000,-425000,1322000,-144000,3724000,3580000,-994000,-136000,-1130000,3772000,3772000,3871000,2063000,1421000,2074000,0.44881,0.14275,0.08268,0.04157,0.03056,2.70052,3.17139,0.36034,0.05653,0.13931,0.13883,1.68493,3.35153,0.3762,0.1803,0.08253,0.09714,1.29427,-2.75133,-4.28054
"37","2019_Q4",8.63625,"Up",9852000,-5470000,4382000,-3048000,-2655000,-393000,1334000,6000,6000,1340000,1340000,-663000,677000,677000,677000,677000,6492000,6492000,5171000,5171000,1824000,1824000,13487000,9139000,4158000,4158000,13297000,26784000,3099000,372000,2727000,4686000,3178000,4078000,8764000,32030000,-10082000,-2232000,18020000,18020000,26784000,677000,718000,109000,167000,1671000,-731000,-95000,-826000,-993000,-105000,-1098000,-253000,-253000,-605000,2052000,1316000,2151000,0.44478,0.1354,0.06872,0.03757,0.02528,3.17725,2.87815,0.48635,0.04913,0.12267,0.12271,1.78511,3.26508,0.38974,0.17992,0.07418,0.09554,1.46677,-2.52242,-3.88006
"38","2020_Q1",7.9941935483871,"Down",8715000,-5230000,3485000,-4091000,-3737000,-354000,-606000,4000,4000,-602000,-602000,72000,-530000,-530000,-530000,-530000,7283000,7283000,3780000,3780000,1788000,1306000,12851000,10862000,3818000,3818000,14680000,27531000,4194000,617000,3577000,5835000,2925000,4876000,10711000,32280000,-10082000,-3754000,16820000,16820000,27531000,-530000,695000,-19000,802000,948000,-781000,215999.999999999,-565000,-992000,1346000,321000,703999.999999999,703999.999999999,790999.999999999,89000,2629000,38000,0.39989,-0.06954,-0.06081,-0.03151,-0.01925,-0.0716999999999999,2.2024,0.6368,0.09549,-0.09607,-0.09614,1.57966,3.04876,0.00689000000000001,0.17981,0.02065,0.00169999999999998,-1.8717,-52.29213,7.67987
"39","2020_Q2",5.36222222222222,"Down",7537000,-4809000,2728000,-2970000,-2639000,-331000,-242000,-73000,-73000,-315000,-315000,156000,-159000,-159000,-159000,-159000,5331000,5331000,3558000,3558000,1889000,1889000,10778000,10885000,3547000,3547000,14432000,25210000,3347000,1234000,2113000,4913000,2709000,4489000,9402000,32443000,-10082000,-4906000,15808000,15808000,25210000,-159000,610000,466000,-1330000,-413000,-261000,-72000,-333000,-993000,-169000,-1162000,-1908000,-1908000,-1952000,368000,2460000,-1379000,0.36195,-0.03211,-0.0211,-0.01006,-0.00631,8.67296,2.19377,0.59476,0.09758,-0.02882,-0.02882,1.36614,2.86533,-0.24995,0.17999,0.03976,-0.06574,-6.24528,-7.80163,11.86364
"40","2020_Q3",4.67625,"Down",3314000,-3566000,-252000,-3054000,-2709000,-345000,-3306000,-39000,-39000,-3345000,-3345000,1295000,-2050000,-2050000,-2050000,-2050000,3672000,3672000,2560000,2560000,3522000,1496000,9754000,10374000,5648000,5648000,16022000,25776000,1710000,60999.9999999998,1649000,3283000,4780000,8569000,11852000,32595000,-10082000,-6956000,13924000,13924000,25776000,-2050000,678000,370000,-2314000,-3316000,-274000,-69999.9999999999,-344000,-1.16415321826935e-10,-169000,2004000,-1656000,-1656000,-1659000,-2628000,4472000,-6511000,-0.0760399999999999,-0.99759,-0.61859,-0.14723,-0.07953,3.1761,2.97106,0.85119,0.17349,-0.37118,-0.37118,0.60004,2.52109,-1.17889,2.77555756156289e-17,-0.08845,-0.28094,-8.88178419700125e-16,-0.304410000000009,-0.241979999999998
"41","2020_Q4",4.16625,"Down",5174000,-4041000,1133000,-2542000,-2237000,-305000,-1409000,-17000,-17000,-1426000,-1426000,319000,-1107000,-1107000,-1107000,-1107000,1809000,1809000,3890000,3890000,3132000,1299000,8831000,9746000,5403000,5403000,15149000,23980000,1773000,416000,1357000,3342000,4079000,7696000,11038000,32721000,-10082000,-8063000,12942000,12942000,23980000,-1107000,707000,-140000,-954000,-1494000,-205000,-32000,-237000,0,-169000,-169000,-1900000,-1900000,-1863000,-702000,4302000,-2180000,0.21898,-0.27232,-0.21395,-0.08554,-0.04616,1.96929,2.64243,0.85288,0.1794,-0.20033,-0.20033,0.9363,2.34202,-0.3945,0,-0.05192,-0.10224,0,-3.55128,-1.76934
"42","2021_Q1",6.36147540983607,"Up",5335000,-4058000,1277000,-2386000,-2087000,-299000,-1109000,-11000,-11000,-1120000,-1120000,577000,-543000,-543000,-543000,-543000,2833000,2833000,3356000,3356000,3409000,914000,9598000,9231000,5174000,5174000,14405000,24003000,2378000,577000,1801000,3941000,4106000,7550000,11491000,32834000,-10082000,-8606000,12512000,12512000,24003000,-543000,696000,557000,430000,1140000,-111000,167000,56000.0000000001,2.91038304567337e-11,-171000,-172000,1024000,1024000,1024000,-413000,4132000,-671000,0.23936,-0.20787,-0.10178,-0.0434,-0.02262,1.23573,2.43542,0.9184,0.17215,-0.09819,-0.09819,0.96474,2.26257,-0.12134,-3.46944695195361e-18,-0.02617,-0.03234,0,-3.14528,-1.17133
