"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",17.7654838709677,"Up",237905000,-200663000,37242000,-35790000,-26659000,-9131000,1452000,-87000,-108000,21000,1365000,1365000,166000,1531000,1531000,1531000,1531000,62292000,62292000,88348000,88348000,62944000,28352000,8443000,241936000,165533000,171704000,79792000,67415000,14892000,337237000,579173000,122015000,75889000,46126000,353000,122368000,11271000,26796000,26796000,38067000,160435000,244308000,-12176000,193693000,-7087000,418738000,418738000,579173000,1531000,9096000,1095000,6055000,17777000,-9920000,15000,-9905000,-1474000,-208000,1074000,1074000,413000,-195000,7677000,7677000,470000,8147000,10548000,11624000,6517000,0.15654,0.0061,0.00644,0.00366,0.00264,4.25669,1.97712,0.38314,0.02007,0.04179,0.04179,6.49339,11.42906,0.17788,0.04023,0.00657,0.01426,0.96277,-4.80355999999999,-34.89532
"12","2013_Q1",17.2885,"Down",-115350000,154873000,39523000,-21542000,-19948000,-1594000,17981000,-57000,-83000,26000,17924000,17012000,-6071000,10941000,967999.999999998,967999.999999998,967999.999999998,71255000,71255000,85644000,85644000,65904000,28067000,7628000,250870000,168877000,169791000,78380000,68331000,14169000,338668000,589538000,127444000,80985000,46459000,368000,127812000,10860000,29039000,29039000,39899000,167711000,245522000,-11501000,193105000,-5299000,421827000,421827000,589538000,968000,9215000,-166000,10474000,20491000,-10517000,8000,-10509000,-1478000,75000.0000000002,514000,514000,83000,-806000,9176000,9176000,-213000,8963000,27196000,11228000,33224000,-0.34264,-0.15588,-0.00839,0.00229,0.00164,34.32231,1.9628,0.39758,0.01905,0.02635,0.02635,-3.13997,11.48266,0.9044,0.04023,0.00529,0.0719,1.52686,-2.2072,-3.33836
"13","2013_Q2",15.195,"Down",185713000,-162690000,23023000,-36708000,-27051000,-9657000,-13685000,-230000,-139000,-91000,-13915000,-13915000,5797000,-8118000,-8118000,-8118000,-8118000,4558000,4558000,7.8e+07,7.8e+07,84563000,35326000,8461000,202447000,178788000,181065000,85763000,71509000,15286000,359853000,562300000,104850000,72054000,32796000,379000,105229000,10568000,31403000,31403000,41971000,147200000,245947000,-9961000,183388000,-4274000,415100000,415100000,562300000,-8118000,9657000,-4477000,-27402000,-30340000,-11500000,16000,-33933000,-1482000,-1095000,508000,508000,169000,-1900000,-66173000,-66173000,-524000,-66697000,-4028000,10947000,-48727000,0.12397,-0.07369,-0.04371,-0.01956,-0.01444,6.00234,1.92387,0.35461,0.01947,-0.22054,-0.22054,5.04532,11.27713,-1.32378,0.04026,-0.01451,-0.10652,-0.18256,-1.58615,-0.466859999999996
"14","2013_Q3",15.61921875,"Up",45545999.9999999,-16334999.9999999,29211000,-33160000,-24975000,-8185000,-3949000,-146000,-155000,9000,-4095000,-4095000,180000.000000002,-3915000,-7348000,-7348000,-7348000,9628000,9628000,95584000,95584000,77208000,32739000,5576000,215159000,179041000,180458000,82970000,71003000,15677000,359499000,574658000,117608000,77628000,39980000,278000,117886000,20302000,29396000,29396000,49698000,167584000,247649000,-9781000,174558000,-5352000,407074000,407074000,574658000,-7348000,11539000,-247999.999999999,5614000.00000001,9557000.00000001,-13483000,6000,-13124000,-1482000,9790000,186000,186000,2000,8496000,4929000,4929000,141000,5070000,7590000,20580000,-458999.999999985,0.64135,-0.0867,-0.16133,-0.01805,-0.01279,0.0624700000000011,1.82514,0.41168,0.03581,-0.1994,-0.1994,1.23595,11.04648,-0.0124599999999999,0.04022,-0.01283,-0.001,-0.20169,1.44295,-2.77336
"15","2013_Q4",16.1125,"Up",156765000,-116026000,40739000,-33373000,-22999000,-10374000,7366000,-227000,-182000,-45000,7139000,7139000,-2013000,5126000,4969000,4969000,4969000,16073000,16073000,99051000,99051000,67839000,31089000,6592000,214052000,176033000,181476000,80757000,71302000,17036000,357509000,571561000,123836000,78479000,45357000,375000,124211000,9790000,24286000,24286000,34076000,158287000,247008000,-8511000,180147000,-5370000,413274000,413274000,571561000,4969000,12193000,2245000,7953000,27360000,-9534000,313000,-9221000,-1482000,-10222000,215000,215000,1000,-11488000,6651000,6651000,-206000,6445000,19559000,10165000,19991000,0.25987,0.04699,0.0317,0.01202,0.00869,4.02314,1.72329,0.38301,0.01778,0.13483,0.13483,4.25368,11.21382,0.54244,0.04021,0.01441,0.04465,0.29825,-0.30206,-0.80206
"16","2014_Q1",17.5575409836066,"Up",166843000,-124682000,42161000,-49249000,-23944000,-25305000,-7088000,152000,-145000,297000,-6936000,-8401000,2924000,-5477000,-1206000,-1206000,-1206000,49734000,49734000,59460000,59460000,41679000,85410000,4911000,236283000,106821000,228711000,78962000,71866000,5570000,335532000,571815000,72342000,37532000,34810000,162000,121868000,701000,33052000,23513000,33753000,155621000,248019000,-6881000,177456000,-2400000,416194000,416194000,571815000,-1206000,27115000,1561000,9472000,36942000,-3414000,5000.00000000006,-3409000,-1485000,-230000,1674000,1674000,64000,23000.0000000037,33556000,33556000,105000,33661000,20027000,863000,23161000,0.2527,-0.04248,-0.00723000000000002,-0.0029,-0.00211,-19.20481,1.93884,0.37391,0.00151,-0.03265,-0.03265,4.51635,11.26615,0.62696,0.0402,0.00062,0.05146,-1.23134,-2.44026,6.89489
"17","2014_Q2",16.7268253968254,"Down",126379000,-96189000,30190000,-31047000,-22503000,-8544000,-857000,-45000,-141000,96000,-902000,-907000,-304000,-1211000,-3900000,-3900000,-3900000,25807000,25807000,72459000,72459000,74498000,32121000,7352000,204885000,160531000,175627000,76969000,71838000,13543000,336158000,541043000,96957000,67278000,29679000,187000,97144000,9583000,22055000,22055000,31638000,128782000,247855000,-5444000,172059000,-2209000,412261000,412261000,541043000,-3900000,10294000,444000,-18320000,-11482000,-6348000,303000,-11206000,-1490000,-26000,331000,331000,1000,-1184000,-23872000,-23872000,-55000,-23927000,9437000,9770000,-14927000,0.23888,-0.00678,-0.03086,-0.00946,-0.00721,3.82744,2.10909,0.31238,0.01806,-0.1054,-0.1054,3.41537,11.14129,-0.4034,0.04027,-0.00543,-0.03361,-0.38205,-1.69937,18.71295
"18","2014_Q3",16.034375,"Down",135208000,-108649000,26559000,-28886000,-20392000,-8494000,-2327000,-165000,-143000,-22000,-2492000,-2992000,962000,-2030000,20131000,20131000,20131000,126984000,126984000,52335000,52335000,54986000,25570000,5068000,259875000,111906000,160159000,75106000,72411000,5638000,272065000,531940000,74394000,42134000,31262000,178000,74572000,593000,20767000,20767000,21360000,95932000,248071000,-1771000,190690000,-982000,436008000,436008000,531940000,20131000,9784000,-28222000,-1234000,459000.000000007,-10849000,999.999999999884,99152000,-1499000,-118000,2551000,2551000,673000,1607000,101218000,101218000,-41000,101177000,7457000,771000,-5588000,0.19643,-0.01721,0.14889,0.04617,0.03784,-0.27758,3.48489,0.22002,0.00145,0.54097,0.52358,3.63335,11.71655,-0.15016,0.04028,0.04727,-0.01221,0.0744600000000001,-16.92544,54.2385
"19","2014_Q4",17.18359375,"Up",169981000,-130706000,39275000,-26609000,-18097000,-8512000,12666000,-143000,-135000,-8000,12523000,12523000,-3956000,8567000,8047000,8047000,8047000,134230000,134230000,55973000,55973000,55283000,17307000,5975000,262793000,112088000,163369000,72437000,71823000,5072000,275457000,538250000,72486000,45482000,25462000,203000,72689000,615000,20586000,20586000,21201000,93890000,248867000,-1415000,198864000,-1956000,444360000,444360000,538250000,8047000,8512000,4614000,-396000,20777000,-10429000,503000,-12495000,-1502000,-16000,337000,337000,66999.9999999999,-1114000,7168000,7168000,78000,7246000,21178000,818000,14309000,0.23106,0.07451,0.04734,0.01811,0.01495,1.77818,3.61531,0.21129,0.00152,0.21575,0.21279,4.5575,11.91409,0.38365,0.04027,0.0205,0.03072,0.18665,-6.29956,-10.53308
"20","2015_Q1",17.3524590163934,"Up",163816000,-129040000,34776000,-29477000,-21158000,-8319000,5299000,-117000,-143000,26000,5182000,5182000,-2170000,3012000,4956000,4956000,4956000,120384000,120384000,55193000,55193000,57358000,27494000,6052000,260429000,109487000,147197000,70150000,70546000,4956000,256684000,517113000,74077000,41488000,32482000,199000,74276000,586000,21331000,21331000,21917000,96193000,249976000,-25667000,202319000,-5708000,420920000,420920000,517113000,4956000,8320000,2849000,-5101000,11024000,-1352000,24999.9999999999,-1327000,-1501000,-15000,-22251000,29999.9999999995,-1000,-23768000,-14071000,-14071000,225000,-13846000,13619000,785000,9336000,0.21229,0.03235,0.03025,0.01177,0.00958,1.88378,3.50623,0.22853,0.00152,0.13395,0.13234,4.42758,11.37652,0.25233,0.04057,0.01457,0.02107,0.30287,-8.78178,-22.57011
"21","2015_Q2",17.3739682539683,"Up",127893000,-105804000,22089000,-27704000,-19496000,-8208000,-5615000,-292000,-141000,-151000,-5907000,-5907000,2813000,-3094000,-3071000,-3071000,-3071000,63924000,63924000,39334000,39334000,59831000,30377000,5715000,193466000,110033000,149510000,67889000,68802000,5524000,259543000,453009000,53936000,31016000,22920000,190000,54126000,568000,17009000,17009000,17577000,71703000,249873000,-67799000,207760000,-8528000,381306000,381306000,453009000,-3071000,8208000,-2513000,-8371000,-5747000,-6808000,0,-6808000,-1448000,-23000,-42748000,0,60000,-44159000,-56714000,-56714000,254000,-56460000,2593000,758000,-15399000,0.17271,-0.0439,-0.02401,-0.00805,-0.00678,5.01433,3.57436,0.18805,0.00167,-0.08755,-0.08755,3.64586,10.86992,-0.43898,0.04128,-0.00407,-0.03859,-0.47151,-24.3602,11.24951
"22","2015_Q3",17.71421875,"Up",141970000,-110812000,31158000,-27469000,-19638000,-7831000,3689000,-260000,-145000,-115000,3429000,3429000,-1135000,2294000,2294000,2294000,2294000,60030000,60030000,50210000,50210000,62994000,29117000,5433000,202351000,111113000,147423000,65648000,68788000,5620000,258536000,460887000,62334000,36328000,26006000,179000,62513000,455000,17671000,17671000,18126000,80639000,250482000,-70044000,208020000,-8210000,380248000,380248000,460887000,2294000,7831000,1372000,-2442000,9055000,-6060000,202000,-5858000.00000001,-1355000,-124999.999999996,-5790000,4181000,0,-7269999.99999999,-4073000.00000001,-4073000.00000001,179000,-3894000,11520000,633999.999999996,4153000,0.21947,0.02598,0.01616,0.00603,0.00498,1.81037,3.23694,0.21207,0.00138,0.06818,0.06818,4.21965,11.30177,0.12344,0.04027,0.00916,0.01042,0.59067,-5.1559,-16.10084
"23","2015_Q4",17.4703125,"Down",180206000,-136853000,43353000,-33525000,-25023000,-8502000,9828000,228000,-338000,566000,10056000,10056000,-3585000,6471000,6927000,6927000,6927000,27011000,27011000,62523000,62523000,72948000,27084000,8576000,189566000,140549000,262665000,124502000,130861000,7302000,403214000,592780000,78112000,45712000,32250000,9468000,87580000,82575000,35585000,28980000,118160000,205740000,250605000,-68961000,213571000,-8175000,387040000,387040000,592780000,6927000,8502000,5440000,3372000,24241000,-7787000,5000,-139471000,-1355000,83737000,128000,128000,0,82510000,-32720000,-32720000,-299000,-33019000,18330000,92043000,17500000,0.24057,0.05454,0.03844,0.0179,0.01169,2.52635,2.16449,0.53157,0.15527,0.20611,0.19705,5.36184,11.51596,0.52069,0.04032,0.01609,0.034,0.19561,3.54785,6.61701
"24","2016_Q1",15.9991803278689,"Down",195459000,-145628000,49831000,-33058000,-22379000,-10679000,16773000,-1198000,-367000,-831000,15575000,15575000,-5632000,9943000,9943000,9943000,9943000,23125000,23125000,64080000,64080000,63029000,7992000,7992000,158226000,140672000,266618000,120810000,129770000,7255000,407290000,565516000,85889000,47778000,37364000,2359000,88248000,53767000,28206000,28206000,81973000,170221000,251313000,-68107000,222138000,-10049000,395295000,395295000,565516000,9943000,10679000,4324000,14592000,39538000,-8064000,57000,-8007000,-1357000,-35105000,8e+05,8e+05,0,-35662000,-4131000,-4131000,245000,-3886000,27452000,56126000,39612000,0.25494,0.08581,0.05087,0.02515,0.01758,3.98391,1.79297,0.43062,0.09925,0.29558,0.29133,5.81049,11.75109,1.17756,0.04034,0.02356,0.08259,0.13648,1.20213,1.96751
"25","2016_Q2",16.99671875,"Up",201468000,-159348000,42120000,-44258000,-31288000,-12970000,-2138000,-8852000,-6491000,-2361000,-10990000,-10990000,3741000,-7249000,-7249000,-7249000,-7249000,27748000,27748000,65762000,65762000,97144000,10953000,10953000,201607000,200494000,427761000,174888000,237229000,15644000,628255000,829862000,78570000,43298000,34776000,8752000,87322000,312125000,49627000,22286000,361752000,449074000,250854000,-63079000,213087000,-20074000,380788000,380788000,829862000,-7249000,12970000,-3618000,-1322000,781000,-8652000,561000,-254037000,-1362000,255405000,2920000,2920000,1000,256964000,3708000,3708000,917000,4625000,10832000,320877000,-2883000,0.20907,-0.01061,-0.03598,-0.01904,-0.00874,0.39771,2.30878,1.17933,0.38666,-0.2147,-0.2147,5.96712,11.27826,-0.08539,0.04034,-0.00784,-0.00383999999999998,-0.18789,27.06139,-137.1043
"26","2016_Q3",17.60296875,"Up",229460000,-176497000,52963000,-42407000,-28591000,-13816000,10556000,-4785000,-5633000,848000,5771000,5771000,-1836000,3935000,3935000,3935000,3935000,29001000,29001000,83734000,83734000,97338000,11829000,11829000,221902000,201657000,427858000,171866000,240592000,15400000,629515000,851417000,97263000,51822000,44245000,5260000,102523000,304090000,54791000,23062000,358881000,461404000,253088000,-62939000,215635000,-15771000,390013000,390013000,851417000,3935000,13816000,4699000,1359000,23809000,-8767000,374000,-8351000,-1369000,-12258000,122000,122000,0,-13505000,1953000,1953000,-7e+05,1253000,24372000,309350000,18800000,0.23082,0.046,0.01715,0.01009,0.00462,4.77764,2.16441,1.18305,0.36334,0.11617,0.11617,6.77413,11.51398,0.55501,0.04042,0.00703,0.02493,0.3479,11.50291,26.55826
"27","2016_Q4",16.8895238095238,"Down",248085000,-186631000,61454000,-41524000,-28551000,-12973000,19930000,-24723000,-22200000,-2523000,-4793000,-4793000,817000,-3976000,-3976000,-3976000,-3976000,32183000,32183000,83089000,83089000,92251000,11900000,11900000,219423000,198213000,403858000,162471000,234522000,6865000,602071000,821494000,102689000,48816000,52961000,24387000,127076000,277680000,43671000,13727000,321351000,448427000,253415000,-62409000,209993000,-27932000,373067000,373067000,821494000,-3976000,12973000,13428000,2043000,24468000,-8519000,49000,-8470000,-1370000,-12967000,326000,326000,133000,-13878000,2120000,2120000,1060000,3180000,32903000,302067000,25610000,0.24771,0.08034,-0.01603,-0.01066,-0.00484,-6.44115,1.72671,1.202,0.3677,-0.11724,-0.11724,7.31512,11.00038,0.75515,0.0404,-0.00363,0.03563,-0.34457,8.20241,13.5416
"28","2017_Q1",18.1933870967742,"Up",249171000,-188168000,61003000,-40396000,-26480000,-13387000,20607000,-3617000,-2174000,-1443000,16990000,4388000,1043000,5431000,5431000,5431000,5431000,25526000,25526000,83625000,83625000,84335000,10488000,10488000,203974000,198497000,377882000,154180000,217035000,6667000,576379000,780353000,103614000,47781000,55101000,10520000,114134000,259011000,39377000,21055000,298388000,412522000,254916000,-62367000,214047000,-38765000,367831000,367831000,780353000,5431000,13387000,12054000,7411000,38283000,-11305000,60000,-11245000,-1369000,-31875000,31999.9999999998,32000.0000000002,-921000,-34133000,-7095000,-7095000,438000,-6657000,33994000,269531000,29057000,0.24482,0.0827,0.0218,0.01476,0.00696,5.35021,1.78714,1.1215,0.3454,0.15995,0.15995,7.33849,10.83322,0.85578,0.04032,0.01005,0.04294,0.25207,7.17788,11.84088
