"","YQ","p","d","revenue","other_revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",4.17890625,"Down",58369000,58369000,-52459000,-6238000,-2981000,-43240000,-17956000,105000,-722000,827000,-17851000,-163751000,-181602000,-181602000,-181602000,-181602000,-181602000,4035000,4035000,31706000,31706000,5655000,2523000,41396000,817231000,1325000,1325000,818556000,859952000,79812000,79812000,15383000,15383000,95195000,51513000,51513000,113513000,208708000,1147459000,-496215000,651244000,651244000,859952000,-181602000,41852000,165298000,7508000,33056000,-46552000,-46552000,1e+07,-565000,9435000,-4061000,-4061000,-4061000,23896000,6.2e+07,-0.30763,-3.11127,-0.27885,-0.21118,0.43485,0.32048,0.0721,-5.1167,-5.1167,1.64457,18.34904,-0.23746,2.42572,-3.22817
"12","2020_Q1",2.33854838709677,"Down",59852000,59852000,-135296000,-5797000,-149648000,20149000,-3723000,-899000,-965000,65999.9999999999,-4622000,-244520000,-249142000,-249142000,-249142000,-249142000,-249142000,4275000,4275000,28644000,28644000,5687000,2231000,38606000,567943000,1140000,1140000,569083000,607689000,64937000,64937000,23486000,23486000,88423000,59314000,59314000,116814000,205237000,1147809000,-745357000,402452000,402452000,607689000,-249142000,34893000,245608000,-5564000,25795000,-20945000,-20709000,-4500000,-346000,-4846000,240000,240000,240000,31170000,57500000,-0.0622,-4.16263,-0.61906,-0.40998,0.43661,0.50997,0.09462,-7.01058,-7.01058,1.68417,11.32455,-0.4798,1.70757,-14.29627
"13","2020_Q2",1.50063492063492,"Down",40329000,40329000,-55344000,-5483000,-27489000,-22372000,-15015000,-561000,-637000,76000,-15576000,2256000,-13320000,-12670000,-12670000,-12670000,-12670000,6287000,6287000,21039000,21039000,11330000,1981000,38656000,533384000,953000,953000,534337000,572993000,55033000,55033000,22980000,22980000,78013000,59014000,59014000,105014000,183027000,1147993000,-758027000,389966000,389966000,572993000,-12670000,27489000,2598000,686000,18103000,-4463000,-4463000,-11866000,-1000,-11867000,1773000,1773000,1773000,12474000,4.6e+07,-0.37231,-0.31417,-0.03249,-0.02211,0.49551,0.46934,0.08028,-0.35639,-0.35639,1.1344,10.9692,-0.0256,3.18366,-2.64489
"14","2020_Q3",1.565,"Up",16655000,16655000,-31976000,-4314000,-15087000,-12575000,-15321000,-389000,-447000,58000,-15710000,-200065000,-215775000,-215779000,-215779000,-215779000,-215779000,13473000,13473000,16608000,16608000,41203000,1534000,71284000,283381000,766000,766000,284147000,355431000,41996000,41996000,23578000,23578000,124574000,56088000,56088000,56088000,180662000,1148575000,-973806000,174769000,174769000,355431000,-215779000,15087000,206762000,-10711000,-4641000,-845000.000000002,-845000,13366000,-694000,12672000,7186000,7186000,7186000,-234000.000000002,5.9e+07,-0.9199,-12.95581,-1.23465,-0.60709,0.57222,1.03372,0.166,-6.05934,-6.05934,0.46769,4.90773,-0.74443,-194.55983,-2.97154
"15","2020_Q4",2.45375,"Up",27676000,27676000,-25364000,-2493000,-9223000,-13648000,2312000,-698000,-569000,-129000,1614000,-50363000,-48749000,-48749000,-48749000,-48749000,-48749000,11187000,11187000,16292000,16292000,2639000,1534000,30118000,235439000,564000,564000,236003000,266121000,42449000,42449000,26057000,22969000,80506000,57653000,57653000,57653000,138159000,1150517000,-1022555000,127962000,127962000,266121000,-48749000,9223000,52179000,1241000,13894000,34441000,31165000,-4.7e+07,-345000,-47345000,-2286000,-2286000,-2286000,11535000,1.2e+07,0.08354,-1.76142,-0.38096,-0.18318,0.37411,1.07969,0.04509,-1.36227,-1.36227,0.7734,3.57586,-0.24669,0.07048,0.35164
"16","2021_Q1",4.55131147540984,"Up",30316000,30316000,-22532000,-3037000,-6286000,-13209000,7784000,-2844000,-345000,-2499000,4940000,-5094999.99999999,-155000.000000015,-155000.00000003,-155000.00000003,-155000.00000003,-155000.00000003,22130000,22130000,19576000,19576000,9106000,6216000,50812000,209340000,679999.999999996,680000,210020000,260832000,51426000,51426000,17451000,17451000,68877000,43889000,43889000,63889000,132766000,1150776000,-1022710000,128066000,128066000,260832000,-155000.00000003,6286000,2028999.99999999,646000,8806000,-339000,-764000.000000007,7999999.99999999,-417000,7582999.99999999,15625000,15625000,15625000,14070000,2e+07,0.25676,-0.00511000000000084,-0.00120999999999999,-0.000589999999999979,0.73772,1.0367,0.07668,-0.00432999999999995,-0.00432999999999995,0.8466,3.57636,-0.000810000000000061,-0.151389999999996,-0.27364
"17","2021_Q2",5.01952380952381,"Up",33623000,33623000,-16220000,-2090000,-3999000,-10131000,17403000,-19000,-47000,28000,17384000,17659000,35043000,35043000,35043000,35043000,35043000,73876000,73876000,18963000,18963000,5560000,2719000,98399000,80095000,101760000,101760000,181855000,280254000,42280000,42280000,16301000,16301000,58581000,38347000,38347000,58347000,116928000,1150993000,-987667000,163326000,163326000,280254000,35043000,3999000,-19406000,-5305000,14331000,34085000,34085000,-74000,-93000,-167000,48249000,48249000,48249000,21402000,2e+07,0.51759,1.04223,0.21456,0.12504,1.67971,0.71592,0.07136,0.96922,0.936,0.92994,4.51726,0.15808,-2.51733,-3.09579
"18","2021_Q3",8.2634375,"Up",34196000,34196000,-17891000,-2522000,-3668000,-11701000,16305000,203000,-84000,287000,16508000,-255999.999999993,16252000,16252000,16252000,16252000,16252000,88338000,88338000,20681000,20681000,4537000,2351000,113556000,182297000,594000,594000.000000015,182891000,296447000,42896000,42896000,16347000,16347000,59243000,37636000,37636000,57636000,116879000,1150983000,-971415000,179568000,179568000,296447000,16252000,3668000,620000.000000004,-1640000,18900000,-633000,-4178000,-48000,-601000,-628000.000000004,14094000,14094000,14094000,19973000,2e+07,0.47681,0.47526,0.09051,0.05482,1.91678,0.65089,0.06747,0.4495,0.43409,0.94579,4.96648,0.06851,-3.42152,-4.19123
"19","2021_Q4",11.87984375,"Up",46584000,38129636.0183304,-16931000,-2229000,-3605000,-11097000,29653000,2140000,-256000,2396000,31793000,-3194000,28599000,28599000,28599000,28599000,28599000,96738000,96738000,29365000,29365000,3623000,2344000,129726000,183705000,358000,358000,184063000,313789000,46778000,46778000,20828000,16699000,67606000,38066000,38066000,38066000,105672000,1150933000,-942816000,208117000,208117000,313789000,28599000,3605000,3008000,-2128000,33084000,-4040000,-4040000,-20371000,-280000,-20651000,8393000,8393000,8393000,33258000,0,0.63655,0.61392,0.13742,0.09114,1.91885,0.50775,0,0.78746,0.76879,1.28267,5.73041,0.11617,-2.90871,-3.26233
"20","2022_Q1",12.9070967741935,"Up",54479000,46441786.5571193,-19662000,-2834000,-4173000,-12655000,34817000,327000,-17000,344000,35144000,1700000,36844000,36844000,36844000,36844000,36844000,137260000,137260000,21505000,21505000,2970000,2344000,161735000,190845000,332000,332000.000000007,191177000,352912000,45779000,45779000,18254000,18233000,64033000,43557000,43557000,43557000,107590000,1151294000,-905972000,245322000,245322000,352912000,36844000,4173000,-3713000,6641000,43945000,-2894000,-2894000,493000,-1024000,-529000,40522000,40522000,40522000,38990000,0,0.63909,0.6763,0.15019,0.1044,2.52581,0.43857,0,0.98635,1.01264,1.45845,6.56749,0.12754,-3.52039,-3.94233
"21","2022_Q2",20.0279032258065,"Up",57487000,57487000,-21414000,-2530000,-3976000,-14908000,36073000,-76000,-152000,76000,35997000,-1273000,34724000,34724000,34724000,34724000,34724000,163514000,163514000,26711000,26711000,5485000,2344000,195710000,96282000,97718000,97718000,1.94e+08,389710000,47292000,47292000,18016000,18016000,65308000,44207000,44207000,44207000,109515000,1151443000,-871248000,280195000,280195000,389710000,34724000,3975000,373000,-6879000,32193000,-5619000,-5619000,-113000,-235000,-320000,26254000,26254000,26254000,40048000,0,0.6275,0.60403,0.12393,0.0891,2.99672,0.39085,0,0.94934,0.93859,1.57167,7.66042,0.10704,-4.08295,-4.53286
"22","2022_Q3",18.06328125,"Down",69760000,69760000,-20820000,-2171000,-4389000,-14260000,48940000,-15000,-27000,12000.0000000001,48925000,-433000,48492000,48492000,48492000,48492000,48492000,203442000,203442000,32187000,32187000,5021000,1823000,240650000,94851000,113307000,113307000,208158000,448808000,56635000,56635000,17958000,17958000,74593000,45088000,45088000,45088000,119681000,1151883000,-822756000,329127000,329127000,448808000,48492000,4390000,436000,-6355000,46963000,-6083000,-7514000,-84000,0,-42000,39407000,39407000,39407000,53330000,0,0.70155,0.69513,0.14734,0.10805,3.22617,0.36363,0,1.32134,1.30407,1.90087,8.96828,0.12958,-3.81478,-4.15697
