"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",47.5029032258064,"Up",2.052e+09,-6.55e+08,1.397e+09,-9.35e+08,-7.91e+08,-1.14e+08,-3e+07,4.62e+08,-6e+06,-6e+06,4.56e+08,4.44e+08,-9.1e+07,3.53e+08,3.53e+08,3.53e+08,3.53e+08,3.863e+09,1.423e+09,2.44e+09,1.356e+09,1.356e+09,1.315e+09,1.106e+09,2.46e+08,7.64e+09,9.29e+08,4.208e+09,2.06e+09,1.342e+09,4.96e+08,5.137e+09,1.2777e+10,8.1e+08,2.7e+08,5.9e+07,8.1e+07,4e+08,1.8e+07,1.576e+09,1.751e+09,1.089e+09,1.089e+09,2.84e+09,4.416e+09,1.121e+09,7.162e+09,7.8e+07,8.361e+09,8.361e+09,1.2777e+10,3.53e+08,3.53e+08,3.8e+07,6e+07,1.18e+08,5.69e+08,-5.8e+07,-3.33e+08,-3.7e+07,-4.28e+08,-8.1e+07,1e+06,-1.1e+07,-1.1e+08,3.1e+07,3.1e+07,-1e+06,3e+07,5e+08,1.769e+09,6.51e+08,0.6808,0.22515,0.17203,0.04222,0.02763,1.84419,4.84772,0.52817,0.13845,0.92846,0.92263,5.39716,21.99106,1.71226,0.21305,8,0.03868,0.05803,0.22946,-4.188,-4.53247
"12","2013_Q1",55.6836666666667,"Up",2.338e+09,-7.45e+08,1.593e+09,-1.094e+09,-9.34e+08,-1.29e+08,-3.1e+07,4.99e+08,-1.2e+07,-1.2e+07,4.87e+08,3.58e+08,-8.8e+07,2.7e+08,2.7e+08,2.7e+08,2.7e+08,4.285e+09,1.395e+09,2.89e+09,1.43e+09,1.43e+09,1.265e+09,1.168e+09,3.57e+08,8.148e+09,9.48e+08,4.11e+09,2.142e+09,1.424e+09,5.44e+08,5.058e+09,1.3206e+10,9.26e+08,2.88e+08,7e+07,1.01e+08,4.67e+08,1.6e+07,1.876e+09,1.746e+09,9.87e+08,9.87e+08,2.733e+09,4.609e+09,1.136e+09,7.332e+09,1.29e+08,8.597e+09,8.597e+09,1.3206e+10,2.7e+08,2.7e+08,3.9e+07,1.39e+08,1.48e+08,5.96e+08,-4.9e+07,-4.13e+08,-1.07e+08,-5.69e+08,-8.1e+07,-5999999.99999994,2.4e+07,-6.3e+07,-3.6e+07,-3.6e+07,8e+06,-2.8e+07,5.38e+08,1.762e+09,7.25e+08,0.68135,0.21343,0.11548,0.03141,0.02045,2.68519,4.34328,0.53612,0.13342,0.71015,0.70607,6.1494,22.61178,1.90689,0.21305,7,0.03094,0.0639,0.3,-4.68959,-5.05611
"13","2013_Q2",58.99875,"Up",2.19e+09,-7.13e+08,1.477e+09,-1.077e+09,-9.16e+08,-1.29e+08,-3.2e+07,4e+08,-1.1e+07,-1.1e+07,3.89e+08,3.75e+08,-7.1e+07,3.04e+08,3.04e+08,3.04e+08,3.04e+08,4.487e+09,1.913e+09,2.574e+09,1.408e+09,1.408e+09,1.323e+09,1.203e+09,4.12e+08,8.421e+09,1.002e+09,4.666e+09,2.592e+09,1.52e+09,5.54e+08,5.668e+09,1.4089e+10,7.92e+08,2.97e+08,1.05e+08,1.01e+08,2.89e+08,3.4e+07,1.808e+09,2.738e+09,1.087e+09,1.087e+09,3.825e+09,5.633e+09,1.143e+09,7.296e+09,1.7e+07,8.456e+09,8.456e+09,1.4089e+10,3.04e+08,3.04e+08,3.8e+07,6.6e+07,-1.72e+08,2.36e+08,-4.9e+07,2.89e+08,-6e+08,-3.6e+08,-1.01e+08,1.009e+09,-7e+06,6.51e+08,5.27e+08,5.27e+08,-9e+06,5.18e+08,4.38e+08,2.772e+09,2.88e+08,0.67443,0.18265,0.13881,0.03595,0.02158,0.94737,4.65763,0.66615,0.19675,0.80063,0.79373,5.76771,22.27021,0.75849,0.266,4,0.03289,0.02339,0.33224,-3.91553,-4.2875
"14","2013_Q3",61.62140625,"Up",2.212e+09,-7.3e+08,1.482e+09,-1.183e+09,-1.015e+09,-1.32e+08,-3.6e+07,2.99e+08,-2.1e+07,-2.1e+07,2.78e+08,2.69e+08,-5.6e+07,2.13e+08,2.13e+08,2.13e+08,2.13e+08,4.652e+09,9.71e+08,3.681e+09,1.413e+09,1.413e+09,1.345e+09,1.279e+09,4.98e+08,8.689e+09,1.021e+09,4.672e+09,2.573e+09,1.545e+09,5.54e+08,5.693e+09,1.4382e+10,7.86e+08,2.77e+08,5.3e+07,1e+08,3.56e+08,2.9e+07,1.971e+09,2.742e+09,1.066e+09,1.066e+09,3.808e+09,5.779e+09,1.162e+09,7.41e+09,3.1e+07,8.603e+09,8.603e+09,1.4382e+10,2.13e+08,2.13e+08,4.3e+07,2.99e+08,-1.99e+08,3.56e+08,-4.7e+07,-1.089e+09,-61999999.9999999,-1.198e+09,-1e+08,1999999.99999976,4999999.99999999,-9.3e+07,-9.35e+08,-9.35e+08,-7e+06,-9.42e+08,3.42e+08,2.771e+09,1.52e+08,0.66998,0.13517,0.09629,0.02476,0.01481,0.71362,4.40842,0.67174,0.19267,0.56349,0.55906,5.85185,22.75926,0.40212,0.26455,4,0.02516,0.01222,0.46948,-5.5,-6.29097
"15","2013_Q4",65.36625,"Up",2.151e+09,-6.82e+08,1.469e+09,-1.306e+09,-1.136e+09,-1.36e+08,-3.4e+07,1.63e+08,-1.3e+07,-1.3e+07,1.5e+08,1.37e+08,-3.4e+07,1.03e+08,1.03e+08,1.03e+08,1.03e+08,5.138e+09,1.11e+09,4.028e+09,1.37e+09,1.37e+09,1.404e+09,1.275e+09,5.18e+08,9.187e+09,1.036e+09,4.66e+09,2.603e+09,1.539e+09,5.18e+08,5.696e+09,1.4883e+10,8.37e+08,2.78e+08,2.5e+07,1e+08,4.34e+08,3.1e+07,2.324e+09,2.743e+09,1.079e+09,1.079e+09,3.822e+09,6.146e+09,1.18e+09,7.411e+09,1.46e+08,8.737e+09,8.737e+09,1.4883e+10,1.03e+08,1.03e+08,4.2e+07,3.71e+08,1.06e+08,6.22e+08,-4.3e+07,-3.01e+08,-2.4e+07,-3.68e+08,-1e+08,3e+06,-6e+06,-1.05e+08,1.49e+08,1.49e+08,-1e+07,1.39e+08,2.05e+08,2.774e+09,3.02e+08,0.68294,0.07578,0.04788,0.01179,0.00692,2.93204,3.9531,0.70345,0.18639,0.27227,0.26985,5.68596,23.09543,0.79831,0.26434,5,0.01612,0.02399,0.97087,-11.53171,-14.50307
"16","2014_Q1",71.5529508196721,"Up",2.468e+09,-8.77e+08,1.591e+09,-5.75e+08,-4e+08,-1.39e+08,-3.6e+07,1.016e+09,1e+06,1e+06,1.017e+09,4.31e+08,-4.5e+07,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.98e+09,1.339e+09,2.641e+09,1.518e+09,1.518e+09,1.422e+09,1.415e+09,5.35e+08,8.335e+09,1.081e+09,6.327e+09,3.844e+09,1.989e+09,4.94e+08,7.408e+09,1.5743e+10,1.867e+09,3.14e+08,1.31e+08,1.15e+08,1.307e+09,2.5e+07,2.657e+09,2.739e+09,1.3e+09,1.3e+09,4.039e+09,6.696e+09,1.198e+09,7.617e+09,2.32e+08,9.047e+09,9.047e+09,1.5743e+10,3.86e+08,3.86e+08,4.6e+07,1.45e+08,9.5e+07,6.72e+08,-5.6e+07,1.399e+09,-1.634e+09,-2.91e+08,-1e+08,-8999999.99999997,2.1e+07,-1.53e+08,2.28e+08,2.28e+08,1e+06,2.29e+08,1.062e+09,2.764e+09,1.146e+09,0.64465,0.41167,0.1564,0.04267,0.02452,2.96891,3.137,0.74013,0.17557,1.02008,1.00862,6.5222,23.90856,3.02854,0.26427,4,0.03707,0.08741,0.25907,-1.14501,-1.19685
"17","2014_Q2",73.7484126984127,"Up",2.305e+09,-7.76e+08,1.529e+09,-1.054e+09,-8.59e+08,-1.5e+08,-4.5e+07,4.75e+08,-2.4e+07,-2.4e+07,4.51e+08,1.07e+08,-3.7e+07,7e+07,7e+07,7e+07,7e+07,4.047e+09,1.381e+09,2.666e+09,1.43e+09,1.43e+09,1.498e+09,1.471e+09,5.53e+08,8.446e+09,1.117e+09,6.596e+09,3.997e+09,2.085e+09,5.14e+08,7.713e+09,1.6159e+10,9.17e+08,3.5e+08,1.18e+08,1.16e+08,3.33e+08,8.2e+08,3.558e+09,2.244e+09,1.294e+09,1.294e+09,3.538e+09,7.096e+09,1.224e+09,7.571e+09,2.68e+08,9.063e+09,9.063e+09,1.6159e+10,7e+07,7e+07,4.6e+07,3.91e+08,-2.98e+08,2.09e+08,-7e+07,-9e+06,-2.72e+08,-3.51e+08,-1.15e+08,2.89e+08,9e+06,1.83e+08,4.1e+07,4.1e+07,1e+06,4.2e+07,5.21e+08,3.064e+09,1.9e+08,0.66334,0.20607,0.03037,0.00772,0.00433,2.71429,2.37381,0.78296,0.18962,0.18509,0.18296,6.09466,23.96351,0.50238,0.30407,5,0.01378,0.01416,1.64286,-1.88676,-2.06947
"18","2014_Q3",74.56640625,"Up",2.363e+09,-8.15e+08,1.548e+09,-1.075e+09,-8.7e+08,-1.58e+08,-4.7e+07,4.73e+08,-3e+07,-3e+07,4.43e+08,1.67e+08,-3.9e+07,1.28e+08,1.28e+08,1.28e+08,1.28e+08,4.745e+09,1.319e+09,3.426e+09,1.503e+09,1.503e+09,1.587e+09,1.546e+09,6.05e+08,9.381e+09,1.127e+09,6.721e+09,4.101e+09,2.09e+09,5.3e+08,7.848e+09,1.7229e+10,2.303e+09,3.37e+08,9.7e+07,1.16e+08,1.753e+09,6.3e+08,3.713e+09,3.237e+09,1.277e+09,1.277e+09,4.514e+09,8.227e+09,1.246e+09,7.525e+09,2.31e+08,9.002e+09,9.002e+09,1.7229e+10,1.28e+08,1.28e+08,4.7e+07,3.4e+08,-1.45e+08,3.7e+08,-5.4e+07,-7.76e+08,-1.85e+08,-1.015e+09,-1.16e+08,8.04e+08,-4.4e+07,5.84e+08,-6.1e+07,-6.1e+07,-999999.999999999,-6.2e+07,5.2e+08,3.867e+09,3.6e+08,0.6551,0.20017,0.05417,0.01422,0.00743,2.8125,2.52653,0.91391,0.22445,0.33791,0.33447,6.23812,23.76452,0.95037,0.30623,4,0.01725,0.02545,0.90625,-1.68846,-1.85624
"19","2014_Q4",80.6965625,"Up",2.389e+09,-8.29e+08,1.56e+09,-1.081e+09,-8.78e+08,-1.53e+08,-5e+07,4.79e+08,-2.5e+07,-2.5e+07,4.54e+08,4.25e+08,-3.68e+08,5.7e+07,5.7e+07,5.7e+07,5.7e+07,4.677e+09,1.356e+09,3.321e+09,1.529e+09,1.529e+09,1.666e+09,1.454e+09,4.67e+08,9.326e+09,1.104e+09,7.085e+09,4.257e+09,2.108e+09,7.2e+08,8.189e+09,1.7515e+10,2.648e+09,3.35e+08,3.74e+08,1.15e+08,1.824e+09,7.31e+08,4.211e+09,3.231e+09,1.449e+09,1.449e+09,4.68e+09,8.891e+09,1.268e+09,7.43e+09,-7.4e+07,8.624e+09,8.624e+09,1.7515e+10,5.7e+07,5.7e+07,4.7e+07,8e+07,3.4e+08,5.24e+08,-4.8e+07,-8e+06,-3.68e+08,-4.24e+08,-1.15e+08,1.02e+08,-3e+06,-5.6e+07,4.4e+07,4.4e+07,-7e+06,3.7e+07,5.26e+08,3.962e+09,1.186e+09,0.65299,0.2005,0.02386,0.00661,0.00325,20.80702,2.21468,1.03096,0.22621,0.15063,0.14902,6.31342,22.7907,3.13425,0.30391,3,0.01226,0.0845,2.01754,-1.35932,-1.49269
"20","2015_Q1",84.982131147541,"Up",2.618e+09,-8.99e+08,1.719e+09,-1.139e+09,-9.4e+08,-1.53e+08,-4.6e+07,5.8e+08,-7e+06,-7e+06,5.73e+08,4.61e+08,-2.01e+08,2.6e+08,2.6e+08,2.6e+08,2.6e+08,5e+09,1.795e+09,3.205e+09,1.572e+09,1.572e+09,1.588e+09,5.24e+08,5.24e+08,8.684e+09,1.098e+09,7.497e+09,4.186e+09,2.018e+09,1.293e+09,8.595e+09,1.7279e+10,2.983e+09,3.29e+08,3.33e+08,1.31e+08,2.19e+09,7.27e+08,4.461e+09,3.246e+09,9.77e+08,9.77e+08,4.223e+09,8.684e+09,1.29e+09,7.559e+09,-2.54e+08,8.595e+09,8.595e+09,1.7279e+10,2.6e+08,2.6e+08,5e+07,3.62e+08,7e+06,6.79e+08,-6.1e+07,6.4e+07,-9.1e+07,-8.8e+07,-1.16e+08,-3.6e+07,7e+07,-82000000.0000001,5.09e+08,5.09e+08,-7e+07,4.39e+08,6.3e+08,3.973e+09,7.77e+08,0.65661,0.22154,0.09931,0.03025,0.01505,2.98846,1.94665,1.01035,0.22993,0.68674,0.67814,6.91495,22.70206,2.0523,0.30639,4,0.02776,0.05736,0.44615,-1.63016,-1.77069
