"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",5.5209375,"Up",44283000,-37171000,7112000,-5640000,-5640000,1472000,149000,149000,1621000,1621000,-172000,1449000,1449000,1449000,1449000,7800000,6345000,3138000,3138000,26517000,3316000,1052000,40771000,11356000,13900000,3308000,465000,3242000,6885000,61100000,101871000,17405000,7194000,10211000,17405000,6492000,6406000,6406000,86000,6492000,23897000,6094000,73428000,-1548000,77974000,77974000,101871000,1449000,186000,526000,4557000,6718000,-72000,-428000,-1675000,-1593000,4697000,4697000,4697000,1658000,0,6315000,0.1606,0.03324,0.03272,0.01858,0.01422,4.35818,2.34249,0.30647,0,0.03938,0.03916,1.20351,2.11915,0.17163,0.04552,0.03699,0.07476,1.15597,-4.70446,-5.29891
"12","2013_Q3",6.731875,"Up",42235000,-34920000,7315000,-4833000,-4833000,2482000,178000,178000,2660000,2660000,-725000,1935000,1935000,1935000,1935000,8440000,4627000,4389000,4389000,29310000,3285000,1508000,45424000,11288000,14088000,3308000,465000,3477000,6838000,57810000,103234000,17930000,8647000,9283000,17930000,6320000,6233000,6233000,87000,6320000,24250000,6494000,74221000,-1731000,78984000,78984000,103234000,1935000,185000,170000,-3483000,-1193000,-105000,646000,-1184000,-1171000,-1718000,-1718000,-1718000,2667000,0,-196000.000000002,0.1732,0.05877,0.04582,0.0245,0.01874,-0.10129,2.53341,0.30702,0,0.05265,0.05229,1.14916,2.14905,-0.00532999999999997,0.03222,0.03656,-0.0023,0.611889999999999,-3.1646,-3.40048
"13","2013_Q4",6.93453125,"Up",41989000,-34258000,7731000,-4935000,-4935000,2796000,83000,83000,2879000,2879000,-877000,2002000,2002000,2002000,2002000,11135000,5854000,3972000,3972000,27587000,2993000,1567000,45687000,11169000,14407000,3308000,465000,3630000,7004000,58302000,103989000,17104000,7286000,9818000,17104000,6508000,6421000,6421000,87000,6508000,23612000,6936000,75083000,-1642000,80377000,80377000,103989000,2002000,174000,186000,1686000,4048000,-55000,-1694000,-1140000,-1127000,1227000,1227000,1227000,2970000,0,5478000,0.18412,0.06659,0.04768,0.02491,0.01925,2.73626,2.67113,0.29377,0,0.05442,0.05386,1.14135,2.18481,0.1489,0.03099,0.03616,0.06305,0.56943,-3.74916,-3.98247
"14","2014_Q1",6.49131147540984,"Down",39786000,-32131000,7655000,-4899000,-4899000,2756000,114000,114000,2870000,2870000,-728000,2142000,2142000,2142000,2142000,10753000,5114000,2021000,2021000,28859000,3627000,1839000,45260000,11265000,15079000,3308000,465000,3177000,8129000,57293000,102553000,14562000,5569000,8993000,14562000,6508000,6420000,6420000,88000,6508000,21070000,7393000,74943000,-853000,81483000,81483000,102553000,2142000,181000,1804000,-2763000,1364000,-274000,150000,-2282000,-2254000,-740000,-740000,-740000,2937000,0,627999.999999999,0.1924,0.06927,0.05384,0.02629,0.02089,0.293179999999999,3.10809,0.25858,0,0.05798,0.05727,1.07696,2.20564,0.017,0.06177,0.05028,0.00713999999999999,1.06536,-3.66122,-3.90167
"15","2014_Q2",5.77968253968254,"Down",47702000,-38864000,8838000,-6070000,-6070000,2768000,122000,122000,2890000,2890000,-912000,1978000,1978000,1978000,1978000,17102000,8663000,3e+06,3e+06,26548000,2771000,1193000,49421000,11164000,15006000,3308000,465000,2882000,8351000,58334000,107755000,19171000,8409000,10762000,19171000,6375000,6288000,6288000,87000,6375000,25546000,7276000,75776000,-843000,82209000,82209000,107755000,1978000,181000,371000,6801000,9331000,-68000,-4076000,-1990000,-1706000,3549000,3549000,3549000,2949000,0,10594000,0.18528,0.05803,0.04147,0.02406,0.01836,5.35592,2.5779,0.31074,0,0.05352,0.05309,1.29071,2.22439,0.28665,0.05384,0.04479,0.11959,1.00607,-5.79925,-6.17847
"16","2014_Q3",6.3240625,"Up",47975000,-38543000,9432000,-5307000,-5307000,4125000,121000,121000,4246000,4246000,-1233000,3013000,3013000,3013000,3013000,10578000,2453000,4370000,4370000,25177000,2903000,1610000,43028000,11142000,15394000,3308000,465000,3122000,8499000,62841000,105869000,15482000,4476000,11006000,15482000,6571000,6488000,6488000,83000,6571000,22053000,6974000,77643000,-801000,83816000,83816000,105869000,3013000,178000,47999.9999999999,-3619000,-379999.999999998,-151000,-3922000,-1922000,-1908000,-6210000,-6210000,-6210000,4303000,0,1766000,0.1966,0.08598,0.0628,0.03595,0.02846,0.58613,2.77923,0.26311,0,0.08146,0.08094,1.29704,2.26603,0.04775,0.05196,0.0546,0.01954,0.6379,-2.45828,-2.56436
"17","2014_Q4",5.78953125,"Down",37932000,-30965000,6967000,-4391000,-4391000,2576000,116000,116000,2692000,2692000,-810000,1882000,1882000,1882000,1882000,17320000,5296000,3515000,3515000,24573000,3350000,1644000,48758000,11052000,15615000,3308000,465000,3347000,8495000,59159000,107917000,16308000,5939000,10369000,16308000,6601000,6518000,6518000,83000,6601000,22909000,7455000,78381000,-828000,85008000,85008000,107917000,1882000,177000,163000,1975000,4197000,-87000,-223000,-1144000,-1131000,2843000,2843000,2843000,2753000,0,5451000,0.18367,0.06791,0.04962,0.02214,0.01744,2.89639,2.98982,0.26949,0,0.051,0.05055,1.02786,2.30349,0.14771,0.031,0.03303,0.0595,0.60786,-6.29132,-6.7236
"18","2015_Q1",6.23672131147541,"Up",37441000,-30007000,7434000,-4897000,-4897000,2537000,162000,162000,2699000,2699000,-658000,2041000,2041000,2041000,2041000,7725000,4072000,2369000,2369000,28819000,4309000,1706000,43222000,9890000,16880000,3308000,465000,3214000,9893000,60601000,103823000,13208000,3577000,9631000,13208000,7121000,7039000,7039000,82000,7121000,20329000,7708000,77755000,-1969000,83494000,83494000,103823000,2041000,176000,1266000,-5975000,-2492000,938000,4064000,-2827000,-2796000,-1224000,-1224000,-1224000,2713000,0,-1666000,0.19855,0.06776,0.05451,0.02444,0.01966,-0.816270000000001,3.27241,0.24348,0,0.05531,0.05486,1.01472,2.26283,-0.04515,0.07662,0.05372,-0.01839,1.38511,-2.8474,-3.04493
"19","2015_Q2",5.60174603174603,"Down",50644000,-40439000,10205000,-5951000,-5951000,4254000,117000,117000,4371000,4371000,-1442000,2929000,2929000,2929000,2929000,15340000,9175000,5406000,5406000,30412000,3873000,1184000,55031000,10525000,16507000,3308000,465000,2761000,9973000,55726000,110757000,19291000,8503000,10788000,19291000,6754000,6675000,6675000,79000,6754000,26045000,7503000,79152000,-1943000,84712000,84712000,110757000,2929000,174000,1134000,1489000,5726000,-797000,1592000,-2400000,-2215000,5103000,5103000,5103000,4428000,0,6562000,0.2015,0.084,0.05784,0.03458,0.02645,2.24036,2.85268,0.30745,0,0.0791,0.0786,1.36772,2.28778,0.17722,0.06482,0.05826,0.07174,0.81939,-3.46432,-3.60602
"20","2015_Q3",5.19359375,"Down",59498000,-46894000,12604000,-6181000,-6181000,6423000,105000,105000,6528000,6528000,-2099000,4429000,4429000,4429000,4429000,17600000,9312000,4582000,4582000,30136000,4276000,1864000,56594000,12476000,16637000,3308000,465000,2855000,10009000,57266000,113860000,20092000,9209000,10883000,20092000,6802000,6724000,6724000,78000,6802000,26894000,6891000,82050000,-1975000,86966000,86966000,113860000,4429000,201000,576000,1636000,6842000,-2152000,-4065000,-2658000,-2640000,137000,137000,137000,6624000,0,8207000,0.21184,0.10795,0.07444,0.05093,0.0389,1.85301,2.81674,0.30925,0,0.11963,0.11911,1.6071,2.34904,0.22168,0.0718,0.07558,0.08752,0.60014,-2.657,-2.74015
"21","2015_Q4",5.38453125,"Up",47038000,-37164000,9874000,-5420000,-5420000,4454000,103000,103000,4557000,4557000,-1454000,3103000,3103000,3103000,3103000,18118000,9111000,3961000,3961000,32306000,4911000,1826000,59296000,12809000,16402000,3308000,465000,2831000,9798000,55317000,114613000,19069000,9083000,9986000,19069000,6542000,6465000,6465000,77000,6542000,25611000,7293000,83628000,-1919000,89002000,89002000,114613000,3103000,315000,778000,-3259000,937000,-648000,482000,-1638000,-1620000,-201000,-201000,-201000,4769000,0,2316000,0.20992,0.09469,0.06597,0.03486,0.02707,0.74637,3.10955,0.28776,0,0.0841,0.08377,1.27488,2.41224,0.06277,0.0444,0.04962,0.02424,0.52788,-3.79912,-4.0678
"22","2016_Q1",5.50672131147541,"Up",49881000,-38764000,11117000,-5697000,-5697000,5420000,95000,95000,5515000,5515000,-1670000,3845000,3845000,3845000,3845000,15811000,7986000,1256000,1256000,32638000,2939000,2119000,52644000,12761000,18143000,3308000,465000,4338000,10032000,58033000,110677000,13798000,3681000,10117000,13798000,6667000,6590000,6590000,77000,6667000,20465000,7690000,84423000,-1901000,90212000,90212000,110677000,3845000,323000,1605000,-3234000,2539000,-275000,-498000,-3201000,-3166000,-1125000,-1125000,-1125000,5743000,0,3904000,0.22287,0.10866,0.07708,0.04262,0.03474,1.01534,3.81534,0.22685,0,0.10427,0.10364,1.35274,2.44649,0.10587,0.08681,0.07273,0.0403,0.83251,-2.75309,-2.91716
"23","2016_Q2",6.629375,"Up",63665000,-50977000,12688000,-7043000,-7043000,5645000,92000,92000,5737000,5737000,-1816000,3921000,3921000,3921000,3921000,18244000,8240000,6215000,6215000,31657000,2276000,1349000,58392000,12754000,17552000,3308000,465000,3323000,10456000,61179000,119571000,21849000,10419000,11430000,21849000,5251000,5179000,5179000,72000,5251000,27100000,8265000,86043000,-1837000,92471000,92471000,119571000,3921000,331000,2140000,3068000,9460000,-276000,-6394000,-2963000,-2812000,254000,254000,254000,5976000,0,10584000,0.19929,0.08867,0.06159,0.0424,0.03279,2.69931,2.67253,0.29306,0,0.10595,0.10595,1.72035,2.49874,0.286,0.08007,0.07044,0.10831,0.75567,-3.05288,-3.23189
"24","2016_Q3",7.1953125,"Up",65066000,-51258000,13808000,-7096000,-7096000,6712000,151000,151000,6863000,6863000,-2045000,4818000,4818000,4818000,4818000,14639000,295999.999999999,4817000,4817000,34592000,1791000,1791000,55839000,12753000,17894000,3308000,465000,3575000,10546000,63749000,119588000,18791000,6345000,12446000,18791000,5377000,5307000,5307000,70000,5377000,24168000,8610000,88569000,-1759000,95420000,95420000,119588000,4818000,340000,544000,-4384000,1318000,-308000,-6822000,-2398000,-2440000,-7944000,-7944000,-7944000,7052000,0,4405000,0.21222,0.10316,0.07405,0.05049,0.04029,0.91428,2.97158,0.25328,0,0.13111,0.13111,1.77065,2.59667,0.11987,0.06526,0.07159,0.0437,0.49772,-2.07587,-2.18102
"25","2016_Q4",8.82174603174603,"Up",55361000,-43593000,11768000,-6307000,-6307000,5461000,121000,121000,5582000,5582000,-1298000,4284000,4284000,4284000,4284000,16698000,5182000,6040000,6040000,37698000,2254000,1734000,62690000,13229000,17471000,3308000,465000,4570000,9128000,60883000,123573000,20340000,9128000,11212000,20340000,5565000,5497000,5497000,68000,5565000,25905000,8943000,90546000,-1821000,97668000,97668000,123573000,4284000,351000,-175000,-1651000,2809000,-812000,4538000,-2486000,-2461000,4886000,4886000,4886000,5812000,0,4647000,0.21257,0.09864,0.07738,0.04386,0.03467,1.08473,3.0821,0.26524,0,0.11432,0.11432,1.47732,2.60629,0.12401,0.06634,0.06558,0.04501,0.5803,-2.87302,-3.05768
"26","2017_Q1",9.46338709677419,"Up",57238000,-45035000,12203000,-6969000,-6969000,5234000,-9000,-9000,5225000,5225000,-1503000,3722000,3722000,3722000,3722000,6728000,2619000,1087000,1087000,42488000,1852000,1823000,52155000,13334000,17817000,3308000,465000,5278000,8766000,36372000,88527000,17402000,5163000,12239000,17402000,5680000,5614000,5614000,66000,5680000,23082000,3486000,64141000,-2182000,65445000,65445000,88527000,3722000,360000,142000,-1974000,2250000,-456000,31253000,-36092000,-36066000,-2563000,-2563000,-2563000,5594000,0,4667000,0.2132,0.09144,0.06503,0.05687,0.04204,1.2539,2.99707,0.35269,0,0.10543,0.10543,1.62129,1.85376,0.13219,1.02232,0.55978,0.06562,9.69694,-1.20272,-1.28544
"27","2017_Q2",10.66,"Up",71040000,-56134000,14906000,-8008000,-8008000,6898000,51000,51000,6949000,6949000,-1688000,5261000,5261000,5261000,5261000,9935000,6827000,8516000,8516000,38568000,2086000,1134000,59105000,13293000,17631000,3308000,465000,4981000,8877000,38990000,98095000,24779000,10308000,14471000,24779000,5724000,5662000,5662000,62000,5724000,30503000,3496000,66241000,-2145000,67592000,67592000,98095000,5261000,359000,840000,3590000,10050000,-310000,-2183000,-3659000,-3659000,4208000,4208000,4208000,7257000,0,12225000,0.20983,0.0971,0.07406,0.07783,0.05363,2.3237,2.38529,0.45128,0,0.15572,0.15572,2.10265,2.00059,0.36184,0.1083,0.12167,0.16674,0.6955,-1.36902,-1.44027
"28","2017_Q3",12.5780952380952,"Up",71484000,-55197000,16287000,-7565000,-7565000,8722000,57000,57000,8779000,8779000,-2660000,6119000,6119000,6119000,6119000,8680000,3834000,5207000,5207000,41221000,2908000,1629000,58016000,13518000,18012000,3308000,465000,5169000,9070000,44471000,102487000,24710000,10352000,14358000,24710000,6664000,6605000,6605000,59000,6664000,31374000,3488000,69742000,-2117000,71113000,71113000,102487000,6119000,371000,775000,535000,7800000,-596000,-7314000,-3479000,-3479000,-2993000,-2993000,-2993000,9093000,0,11692000,0.22784,0.12201,0.0856,0.08605,0.05971,1.91077,2.34788,0.44119,0,0.18114,0.18114,2.11616,2.10518,0.34612,0.10299,0.1234,0.15033,0.568559999999999,-0.95458,-0.99518
"29","2017_Q4",12.4028571428571,"Down",59201000,-45740000,13461000,-6792000,-6792000,6669000,81000,81000,6750000,6750000,-2186000,4564000,4564000,4564000,4564000,7381000,4052000,7438000,7438000,41442000,2461000,1466000,58722000,13742000,18451000,3308000,465000,5481000,9197000,42370000,101092000,21903000,8278000,13625000,21903000,6523000,6466000,6466000,57000,6523000,28426000,3478000,71281000,-2093000,72666000,72666000,101092000,4564000,389000,676000,-5058000,571000,-613000,3556000,-3909000,-3909000,218000,218000,218000,7058000,0,3573000,0.22738,0.11265,0.07709,0.06281,0.04515,0.78287,2.681,0.39119,0,0.13493,0.13493,1.75021,2.14829,0.10563,0.11557,0.107,0.04512,0.85649,-1.04576,-1.10676
"30","2018_Q1",12.0162295081967,"Down",65591000,-51225000,14366000,-6896000,-6896000,7470000,40000,40000,7510000,7510000,-4154000,3356000,3356000,3356000,3356000,10320000,7684000,3051000,3051000,38006000,2810000,2096000,54187000,14218000,17100000,3308000,465000,3649000,9678000,41713000,95900000,19361000,5362000,13999000,19361000,6935000,6732000,6732000,203000,6935000,26296000,3457000,68127000,-1980000,69604000,69604000,95900000,3356000,407000,2327000,5128000,11218000,-883000,-608000,-6978000,-6978000,3632000,3632000,3632000,7877000,0,16276000,0.21902,0.11389,0.05117,0.04822,0.03499,4.84982,2.79877,0.37779,0,0.09983,0.09983,1.95113,2.0705,0.48416,0.20757,0.13502,0.21265,2.07926,-1.31014,-1.38153
"31","2018_Q2",13.325,"Up",77536000,-59885000,17651000,-8618000,-8618000,9033000,33000,33000,9066000,9066000,-1457000,7609000,7609000,7609000,7609000,13206000,9929000,7812000,7812000,44040000,2432000,1312000,67490000,14110000,16958000,3308000,465000,3505000,9680000,39303000,106793000,28559000,12998000,15561000,28559000,6879000,6616000,6616000,263000,6879000,35438000,3457000,69852000,-1954000,71355000,71355000,106793000,7609000,417000,732000,-1248000,7510000,-309000,1135000,-6400000,-6400000,2245000,2245000,2245000,9450000,0,9350000,0.22765,0.1165,0.09814,0.10664,0.07125,1.22881,2.36318,0.49664,0,0.22632,0.22632,2.30618,2.12233,0.2781,0.19036,0.17907,0.11951,0.84111,-1.39746,-1.46197
"32","2018_Q3",16.9296825396825,"Up",87006000,-67534000,19472000,-8321000,-8321000,11151000,85000,85000,11236000,11236000,-2246000,8990000,8990000,8990000,8990000,15501000,9505000,8522000,8522000,44931000,1710000,1493000,70664000,14090000,17823000,3308000,465000,3376000,10674000,44269000,114933000,30335000,14606000,15729000,30335000,7427000,7084000,7084000,343000,7427000,37762000,3455000,75646000,-1930000,77171000,77171000,114933000,8990000,432000,717000,466999.999999998,10606000,-412000,-7304000,-3726000,-3726000,-424000,-424000,-424000,11583000,0,13884000,0.2238,0.12816,0.10333,0.11649,0.07822,1.54438,2.32945,0.48933,0,0.2679,0.2679,2.59278,2.2997,0.41374,0.11103,0.15031,0.16412,0.41446,-1.33825,-1.3901
