"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"13","2013_Q2",9.9971875,"Up",80892000,-19423000,61469000,-43488000,-32167000,-11321000,17981000,572000,392000,63000,117000,18553000,18553000,-2970000,15583000,15583000,15583000,15583000,168168000,42757000,125411000,42780000,42780000,26057000,20094000,13769000,257099000,34647000,245484000,115298000,13809000,81689000,17268000,2532000,395429000,652528000,33293000,6815000,2220000,24258000,13819000,13819000,47112000,5955000,5955000,5955000,53067000,179279000,452049000,-31867000,599461000,599461000,652528000,15583000,2789000,2649000,-2231000,18790000,-1908000,-28446000,-30354000,-71998415.8837791,9168000,9168000,10544000,-1020000,-1020000,-1383000,-2403000,20770000,0,19601000,0.75989,0.22228,0.19264,0.026,0.02388,1.25785,5.45719,0.08852,0,0.09005,0.08828,0.46746,3.46421,0.11327,0.418563281122211,0.02574,0.03238,4.4389055472811,-8.09668,-9.35254
"14","2013_Q3",13.1621875,"Up",86510000,-21150000,65360000,-45187000,-33300000,-11887000,20173000,593000,774000,75999.9999999999,-257000,20766000,20766000,-3946000,16820000,16820000,16820000,16820000,183163000,47874000,135289000,45215000,45215000,26653000,22148000,15777000,277179000,35343000,243108000,114746000,12849000,81689000,17820000,2388000,393197000,670376000,35644000,7157000,208000,28279000,13479000,13479000,49123000,6255000,6255000,6255000,55378000,190531000,456978000,-32511000,614998000,614998000,670376000,16820000,2728000,2479000,-1842000,20185000,-2402000,-9877000.00000001,-12279000,-55811391.7334365,-4817000,7074000,-3419999.99999999,4485999.99999999,4485999.99999999,631000,5117000,22901000,0,22603000,0.75552,0.23319,0.19443,0.02735,0.02509,1.34382,5.64255,0.09005,0,0.09662,0.09477,0.49693,3.53268,0.12984,0.324454959968495,0.02707,0.03638,3.44268128211652,-7.99804,-9.07961
"15","2013_Q4",15.27796875,"Up",90788000,-21348000,69440000,-46061000,-33877000,-12184000,23379000,329000,937000,-442000,-166000,23708000,23708000,-2981000,20727000,20727000,20727000,20727000,217018000,30446000,186572000,48832000,48832000,27625000,25592000,19300000,319067000,35565000,226720000,111398000,11890000,81689000,15503000,2316000,373683000,692750000,38914000,7457000,90000,31367000,11722000,11722000,50636000,4390000,4390000,4390000,55026000,206327000,461538000,-30141000,637724000,637724000,692750000,20727000,2752000,-1253000,-1966000,20260000,-1842000,-34338000,-36180000,-24845421.7163757,-6420000,9748000,-2609000,-18529000,-18529000,1101000,-17428000,26131000,0,25304000,0.76486,0.25751,0.2283,0.0325,0.02992,1.22082,6.30119,0.08628,0,0.11866,0.11345,0.51974,3.65085,0.14486,0.144436658830531,0.03228,0.03941,1.53321387589369,-8.305,-9.2826
"16","2014_Q1",17.5575409836066,"Up",49461000,-968000,48493000,-33088000,-24165000,-8923000,15405000,24000,501000,-343000,-134000,15429000,15429000,-1376000,14053000,20443000,20443000,20443000,225466000,40644000,184822000,53015000,53015000,25694000,27876000,20265000,332051000,37136000,229655000,110857000,14723000,81689000,12307000,2138000,377648000,709699000,45081000,9487000,1263000,34331000,15941000,15941000,61022000,4765000,4765000,4765000,65787000,211614000,462131000,-29833000,643912000,643912000,709699000,20443000,2833000,2009000,10935000,36220000,-7228000,-2029000,-9257000,0,-18047000,1802000,-16973000,9990000,9990000,208000,10198000,18238000,0,23321000,0.98043,0.31146,0.41332,0.03175,0.02881,1.14078,5.4415,0.10217,0,0.11765,0.11715,0.28465,3.7058,0.13422,5.55111512312578e-17,0.03151,0.03595,1.33226762955019e-15,-12.36243,-14.6359
"17","2014_Q2",16.6198412698413,"Down",90929000,-21084000,69845000,-47402000,-34900000,-12502000,22443000,404000,787000,-110000,-273000,22847000,22847000,-4341000,18506000,18506000,18506000,18506000,84240000,42463000,41777000,51947000,51947000,28434000,25260000,17797000,189881000,37826000,379916000,109894000,13807000,81689000,12288000,2110000,527636000,717517000,36087000,9671000,276000,26140000,16443000,16443000,52530000,3939000,3939000,3939000,56469000,223734000,466350000,-29036000,661048000,661048000,717517000,18506000,2906000,2234000,-6185000,17461000,-2685000,-6981000,-9666000,4358976.51565179,-8336000,5951000,-6171000,1624000,1624000,195000,1819000,25349000,0,20820000,0.76813,0.24682,0.20352,0.02799,0.02579,1.12504,3.61472,0.08542,0,0.1065,0.10366,0.52331,3.80442,0.11982,-0.0253431565349125,0.02783,0.03131,-0.27000361477085,-3.32321,-3.75351
"18","2014_Q3",19.43984375,"Up",82663000,-13659000,69004000,-44021000,-32430000,-11591000,24983000,652000,801000,-74000,-75000,25635000,25635000,-3650000,21985000,25948000,25948000,25948000,123849000,40172000,83677000,69780000,69780000,30737000,43890000,15184000,268256000,38321000,343725000,110154000,12892000,81689000,13535000,2038000,492200000,760456000,48819000,15329000,569000,32921000,25327000,25327000,74146000,3803000,3803000,3803000,77949000,232081000,479581000,-29155000,682507000,682507000,760456000,25948000,2975000,2923000,-17599000,14247000,-2656000,-5485000,-8141000,3.72529029846191e-09,-9642000,3075000,-8326000,-2220000,-2220000,-71000,-2291000,27958000,0,11353000,0.83476,0.30223,0.3139,0.03802,0.03412,0.43753,3.61794,0.11421,0,0.1495,0.14583,0.47627,3.93231,0.06541,0,0.03781,0.01654,0,-4.42982,-4.95733
"19","2014_Q4",18.73359375,"Down",154356000,-37712000,116644000,-61305000,-43773000,-17532000,55339000,1772000,776000,794000,202000,57111000,57111000,-9431000,47680000,50400000,50400000,50400000,87937000,38179000,49758000,99949000,99949000,31210000,38653000,17032000,257749000,39318000,409283000,110052000,11789000,81689000,14846000,1728000,558653000,816402000,54255000,13302000,1450000,39503000,24253000,24253000,78508000,3942000,3942000,3942000,82450000,245861000,521845000,-33754000,733952000,733952000,816402000,50400000,3247000,-132000,-22236000,31279000,-3737000,-32120000,-35857000,0,-1511000,6625000,2186000,-2392000,-2392000,399000,-1993000,58586000,0,42044000,0.75568,0.35852,0.32652,0.06867,0.06173,0.83421,3.28309,0.11234,0,0.28978,0.28262,0.88748,4.21991,0.24173,0,0.0683,0.05698,0,-1.50099,-1.58906
"20","2015_Q1",20.0044262295082,"Up",98501000,-21612000,76889000,-51802000,-37596000,-14206000,25087000,1076000,792000,421000,-137000,26163000,26163000,-3493000,22670000,26631000,26631000,26631000,146150000,55694000,90456000,40053000,40053000,29223000,56485000,17686000,271911000,45963000,400845000,103015000,9670000,77388000,14452000,1505000,549823000,821734000,53885000,17223000,1048000,35614000,26789000,14598000,80674000,4623000,4623000,4623000,85297000,251890000,523946000,-39399000,736437000,736437000,821734000,26631000,3339000,11283000,59601000,100854000,-11856000,-38577000,-50433000,0,-23254000,1279000,-30432000,19989000,19989000,-2474000,17515000,28426000,0,79664000,0.78059,0.25469,0.27036,0.03616,0.03241,2.9914,3.37049,0.11582,0,0.15339,0.14979,0.56735,4.24176,0.45885,8.67361737988404e-19,0.03594,0.1075,0,-5.14142,-5.82573
"21","2015_Q2",23.1247619047619,"Up",101373000,-22344000,79029000,-56919000,-39933000,-16986000,22110000,1199000,850000,659000,-310000,23309000,23309000,-3837000,19472000,20502000,20502000,20502000,178390000,36047000,142343000,56264000,56264000,48458000,26847000,17857000,309959000,48692000,370433000,109261000,9606000,81689000,16349000,1617000,528386000,838345000,46463000,13295000,928000,32240000,20447000,20447000,66910000,4372000,4372000,4372000,71282000,272244000,544448000,-49629000,767063000,767063000,838345000,20502000,3439000,7120000,-27631000,3430000,-4264000,-26607000,-30871000,0,9666000,9666000,9666000,-17775000,-17775000,-1872000,-19647000,25549000,0,-2509000,0.77959,0.21811,0.20224,0.02673,0.02446,-0.12238,4.63248,0.09293,0,0.11815,0.11551,0.58419,4.4204,-0.01446,0,0.02658,-0.00324999999999999,0,-6.98227,-8.06829
"22","2015_Q3",18.725625,"Down",143829000,-30508000,113321000,-61543000,-43241000,-18302000,51778000,863000,957000,-39000.0000000001,-55000,52641000,52641000,-9125000,43516000,43714000,43714000,43714000,285155000,61691000,223464000,44728000,44728000,39400000,120820000,20997000,490103000,49905000,233752000,104446000,7653000,77388000,16649000,2756000,388103000,878206000,46875000,15202000,397000,31276000,33592000,18994000,80467000,4603000,4603000,4603000,85070000,294329000,546205000,-47398000,793136000,793136000,878206000,43714000,3560000,4613000,-37314000,14573000,-15736000,56541000,40805000,-6110000,-24057000,11791000,-30167000,25211000,25211000,433000,25644000,55338000,0,11413000,0.78789,0.36,0.30393,0.05512,0.04978,0.26108,6.09073,0.10726,0,0.25066,0.24507,0.82472,4.54785,0.06544,0.03503,0.06246,0.01431,0.13977,-5.15297,-5.50726
"23","2015_Q4",16.84875,"Down",107587000,-26319000,81268000,-52783000,-35806000,-16977000,28485000,778000,841000,-40000,-23000,29263000,29263000,-3441000,25822000,104112000,104112000,104112000,352147000,79563000,272584000,71012000,71012000,39841000,23135000,14469000,486135000,51105000,240504000,109656000,7361000,81448000,18069000,2778000,401265000,887400000,52009000,10026000,9112000,32871000,15311000,15311000,67320000,7287000,6785000,7287000,74607000,306514000,553792000,-47513000,812793000,812793000,887400000,104112000,3427000,-73763000,32216000,65992000,-3492000,-56023000,43958000,-6027000,-84520000,5983000,-90547000,19403000,19403000,-1531000,17872000,31912000,0,64077000,0.75537,0.26476,0.9677,0.12809,0.11732,0.61546,7.22126,0.09179,0,0.60318,0.59306,0.62331,4.70895,0.37123,0.03492,0.1343,0.07814,0.05789,-11.03494,-12.36254
"24","2016_Q1",16.5093442622951,"Down",97768000,-23400000,74368000,-55220000,-37694000,-17526000,19148000,2601000,1026000,542000,1033000,21749000,21749000,-2895000,18854000,18746000,18746000,18746000,348443000,51975000,296468000,42846000,42846000,37334000,15871000,15847000,444494000,53285000,273088000,116889000,6315000,81448000,26517000,2609000,443262000,887756000,42117000,7860000,985000,33272000,11571000,11571000,53688000,8401000,8082000,8401000,62089000,311178000,566613000,-52124000,825667000,825667000,887756000,18746000,3692000,3572000,18322000,44332000,-5211000,-59120000,-64439000,-5925000,142000,142000,-5783000,-25890000,-25890000,-1698000,-27588000,22840000,0,38846000,0.76066,0.19585,0.19174,0.0227,0.02112,2.07223,8.27921,0.0752,0,0.11038,0.10867,0.57566,4.86155,0.22873,0.03489,0.02958,0.04657,0.31607,-15.25582,-18.19736
"25","2016_Q2",19.1071875,"Up",96205000,-20968000,75237000,-58893000,-38338000,-20555000,16344000,1244000,1137000,-1e+05,207000,17588000,17588000,-2703000,14885000,14885000,14885000,14885000,399703000,79914000,319789000,45095000,45095000,35620000,12512000,12512000,492930000,53413000,249760000,117534000,5270000,81448000,28201000,2615000,420707000,913637000,42443000,10296000,1494000,30653000,11862000,11862000,54305000,8613000,8279000,8613000,62918000,321422000,575548000,-46251000,850719000,850719000,913637000,14885000,3802000,6679000,2214000,27580000,-2237000,3718000,1481000,-5950000,3440000,3440000,-2510000,26551000,26551000,1388000,27939000,20146000,0,22826000,0.78205,0.16989,0.15472,0.0175,0.01629,1.53349,9.07706,0.07396,0,0.08762,0.086,0.56629,5.00759,0.13436,0.03502,0.02425,0.02656,0.39973,-19.84032,-24.45564
"26","2016_Q3",22.7809375,"Up",147274000,-35213000,112061000,-62386000,-42715000,-19671000,49675000,1999000,1447000,330000,222000,51674000,51674000,-8660000,43014000,42759000,42759000,42759000,349522000,54929000,294593000,61219000,61219000,25882000,49101000,23601000,485724000,53406000,307703000,117607000,4453000,81448000,29083000,2623000,478716000,964440000,53456000,14157000,3238000,36061000,15733000,15733000,69189000,8607000,8281000,8607000,77796000,331139000,603204000,-47699000,886644000,886644000,964440000,42759000,3637000,4450000,-29115000,21731000,-3110000,-32437000,-35660000,-6385000,-3458000,5260000,-10180000,-24109000,-24109000,-876000,-24985000,53312000,0,29747000,0.7609,0.3373,0.29034,0.04823,0.04434,0.69569,7.02025,0.08774,0,0.25121,0.24629,0.86523,5.209,0.17476,0.03751,0.05489,0.03323,0.14933,-6.55616,-7.03618
"27","2016_Q4",27.2493650793651,"Up",147952000,-32749000,115203000,-60675000,-42072000,-18603000,54528000,1814000,2047000,-607000,374000,56342000,56342000,-2667000,53675000,53675000,53675000,53675000,389523000,61145000,328378000,82068000,82068000,27226000,32011000,21921000,530828000,55730000,315927000,117602000,4716000,82831000,27529000,2526000,489259000,1020087000,53169000,10106000,470000,42593000,15905000,15905000,69074000,7065000,6719000,7065000,76139000,350152000,640230000,-46434000,943948000,943948000,1020087000,53675000,3693000,4101000,-4122000,57347000,-5144000,-41029000,-48656000,-6426000,4168000,14391000,-2258000,6433000,6433000,-217000,6216000,58221000,0,51622000,0.77865,0.36855,0.36279,0.05686,0.05262,0.96175,7.68492,0.08066,0,0.31404,0.30726,0.86562,5.52275,0.30202,0.0376,0.0632,0.05428,0.11972,-6.69042,-7.14354
"28","2017_Q1",34.8214516129032,"Up",138084000,-42140000,95944000,-62425000,-42985000,-19440000,33519000,2954000,2408000,478000,68000,36473000,36473000,-4098000,32375000,32375000,32375000,32375000,420835000,79641000,341194000,55438000,55438000,26984000,23087000,20870000,526344000,53992000,324335000,133933000,8312000,95280000,28022000,2319000,512260000,1038604000,57562000,9830000,5193000,42539000,8211000,8211000,65773000,10232000,10232000,10232000,76005000,375191000,643836000,-56428000,962599000,962599000,1038604000,32375000,3937000,3997000,35114000,75423000,-2325000,-24870000,-38997000,-6452000,-7831000,20377000,-14283000,22143000,22143000,-3647000,18496000,37456000,0,74343000,0.69482,0.24274,0.23446,0.03363,0.03117,2.29631,8.00243,0.07896,0,0.18857,0.1848,0.80429,5.60681,0.43302,0.03758,0.03991,0.07642,0.19929,-11.23545,-12.55512
