"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q1",30.547868852459,"Up",242901000,-98400000,-22820000,-75580000,144501000,-53930000,-50155000,-3775000,90571000,90571000,-31724000,58847000,58847000,58847000,58847000,270173000,270173000,87308000,87308000,357481000,7613135000,8234315000,-621180000,1361988000,1361988000,8975123000,9332604000,131223000,131223000,61520000,61520000,192743000,5853317000,763110000,193263000,569847000,6616427000,6809170000,0,2210575000,312859000,2523434000,2523434000,9332604000,58847000,75580000,23662000,3338000,161427000,-527934000,-518323000,423178000,-15246000,405389000,48493000,48493000,48493000,220081000,5853317000,-272791000,0.5949,0.24227,0.02332,0.00631,-4.6356,1.8547,2.69837,0.62719,0.57809,0.53741,2.38617,24.78926,-2.6798,0.00672,-0.02985,25.36859,38.63741
"12","2014_Q2",34.5163492063492,"Up",246285000,-97328000,-19186000,-78142000,148957000,-54248000,-50848000,-3400000,94709000,94709000,-33312000,61397000,61397000,61397000,61397000,256078000,256078000,76741000,76741000,332819000,7746601000,8439676000,-693075000,1473885000,1473885000,9220486000,9553305000,146177000,146177000,60620000,60620000,206797000,5943096000,819904000,226575000,593329000,6.763e+09,6969797000,-5.29395592033938e-23,2212311000,371197000,2583508000,2583508000,9553305000,61397000,78142000,28772000,11929000,180240000,-251568000,-301339000,120076000,-10407000,107004000,-14095000,-14095000,-14095000,227099000,5943096000,20772000,0.60482,0.24929,0.02376,0.00643,0.33832,1.6094,2.6978,0.6221,0.60278,0.55796,2.41794,25.36403,0.20393,0.0069,0.00221999999999999,25.04202,38.17892
"13","2014_Q3",32.91796875,"Down",256325000,-101381000,-19906000,-81475000,154944000,-59264000,-54324000,-4940000,95680000,95680000,-33643000,62037000,62037000,62037000,62037000,244447000,244447000,14386000,14386000,258833000,8329341000,9083568000,-754227000,1463942000,1463942000,9793283000,10052116000,170758000,170758000,65645000,65645000,236403000,6284177000,899778000,260218000,639560000,7183955000,7420358000,0,2201582000,430176000,2631758000,2631758000,10052116000,62037000,81475000,32267000,21447000,197226000,-590917000,-648941000,383385000,59391000,440084000,-11631000,-11631000,-11631000,236419000,6284177000,-299408000,0.60448,0.24202,0.02357,0.00617,-4.82628,1.09488,2.81954,0.62516,0.60859,0.5645,2.51459,25.81794,-2.93724,0.00663,-0.0305,25.54672,38.98008
"14","2014_Q4",31.7496875,"Down",261939000,-105775000,-19656000,-86119000,156164000,-59887000,-56005000,-3882000,96277000,96277000,-33844000,62433000,62433000,62433000,62433000,210671000,210671000,8198000,8198000,218869000,8898611000,9727770000,-829159000,1428083000,1428083000,10326694000,10545563000,160755000,160755000,68580000,68580000,229335000,6646635000,974503000,294062000,680441000,7621138000,7850473000,8.470329472543e-22,2205553000,489537000,2695090000,2695090000,10545563000,62433000,86119000,35809000,9346000,193707000,-552013000,-612310000,405580000,-17784000,384827000,-33776000,-33776000,-33776000,242283000,6646635000,-266540000,0.59618,0.23835,0.02317,0.00592,-4.26922,0.95436,2.91288,0.63028,0.60976,0.56728,2.55828,26.32215,-2.60322,0.00635,-0.02584,26.56383,41.21285
"15","2015_Q1",33.2075409836066,"Up",285944000,-114595000,-23674000,-90921000,171349000,-63239000,-59413000,-3826000,108110000,108110000,-37979000,70131000,70131000,70131000,70131000,282819000,282819000,7469000,7469000,290288000,8953804000,9832421000,-878617000,1447088000,1447088000,10400892000,10691180000,190952000,190952000,75877000,75877000,266829000,6630758000,1021531000,323359000,698172000,7652289000,7919118000,0,2216489000,555573000,2772062000,2772062000,10691180000,70131000,90921000,20611000,16182000,197845000,-171708000,-243067000,123506000,-3163000,117370000,72148000,72148000,72148000,262270000,6630758000,144723000,0.59924,0.24526,0.0253,0.00656,2.06361,1.08792,2.85676,0.62021,0.68494,0.63307,2.79269,27.0735,1.41345,0.00702,0.01388,24.20383,37.04684
"16","2015_Q2",34.2525396825397,"Up",278315000,-110110000,-19098000,-91012000,168205000,-66231000,-63085000,-3146000,101974000,29974000,-10642000,19332000,19332000,19332000,19332000,210156000,210156000,16979000,16979000,227135000,9474116000,10443320000,-969204000,1443987000,1443987000,10918103000,11145238000,250068000,250068000,77065000,77065000,327133000,6954802000,1078119000,334001000,744118000,8032921000,8360054000,1.35525271560688e-20,2214380000,570804000,2785184000,2785184000,11145238000,19332000,91012000,85440000,13717000,209501000,-548412000,-613586000,354326000,-18810000,331422000,-72663000,-72663000,-72663000,259217000,6954802000,-264836000,0.60437,0.06946,0.00694,0.00173,-13.69936,0.69432,3.00162,0.62402,0.18869,0.17486,2.71646,27.18445,-2.5849,0.00217,-0.02448,26.0193,40.09777
"17","2015_Q3",30.1640625,"Down",304702000,-116131000,-17729000,-98402000,188571000,-70407000,-65829000,-4578000,118164000,118164000,-42046000,76118000,76118000,76118000,76118000,162989000,162989000,8533000,8533000,171522000,10069394000,11082068000,-1012674000,1425290000,1425290000,11494684000,11666206000,362250000,362250000,81815000,81815000,444065000,7220460000,1139820000,376055000,763765000,8360280000,8804345000,0,2219044000,642817000,2861861000,2861861000,11666206000,76118000,98402000,2356000,15676000,192552000,-482156000,-546454000,313932000,-3133000,306735000,-47167000,-47167000,-47167000,286973000,7220460000,-137461000,0.61887,0.24981,0.0266,0.00652,-1.80589,0.38625,3.07644,0.61892,0.74209,0.68741,2.97061,27.90093,-1.34014,0.00715,-0.01225,24.5928,37.42607
"18","2015_Q4",30.0909375,"Down",313126000,-121369000,-19323000,-102046000,191757000,-72170000,-67522000,-4648000,119587000,119587000,-42545000,77042000,77042000,77042000,77042000,119722000,119722000,10700000,10700000,130422000,10419202000,11533922000,-1114720000,1362070000,1362070000,11781272000,11911694000,168558000,168558000,84630000,84630000,253188000,7498240000,1220818000,418592000,802226000,8719058000,8972246000,2.16840434497101e-19,2223692000,715756000,2939448000,2939448000,11911694000,77042000,102046000,13530000,-8113000,184505000,-458514000,-518535000,330708000,-35841000,290763000,-43267000,-43267000,-43267000,293803000,7498240000,-130279000,0.6124,0.24604,0.02621,0.00647,-1.69101,0.51512,3.05236,0.62949,0.75103,0.69649,3.05245,28.6547,-1.27,0.00696,-0.01117,25.11383,38.47848
"19","2016_Q1",25.7991803278689,"Down",326697000,-127111000,-20811000,-106300000,199586000,-74358000,-69708000,-4650000,125228000,125228000,-44329000,80899000,80899000,80899000,80899000,156675000,156675000,16528000,16528000,173203000,10813475000,12026798000,-1213323000,1368420000,1368420000,12181895000,12355098000,215983000,215983000,91485000,91485000,307468000,7712421000,1315297000,461967000,853330000,9027718000,9335186000,0,2228386000,791526000,3019912000,3019912000,12355098000,80899000,106300000,50913000,15125000,253237000,-443987000,-474226000,274550000,-12525000,257942000,36953000,36953000,36953000,305886000,7712421000,-78647000,0.61092,0.24763,0.02679,0.00655,-0.97216,0.56332,3.09121,0.62423,0.78863,0.73139,3.18474,29.43897,-0.76667,0.00706,-0.00653,24.70118,37.85709
"20","2016_Q2",27.0978125,"Up",343328000,-127977000,-19402000,-108575000,215351000,-71360000,-68121000,-3239000,143991000,143991000,-51133000,92858000,92858000,92858000,92858000,162814000,162814000,16490000,16490000,179304000,11239621000,12550836000,-1311215000,1364485000,1364485000,12604106000,12783410000,192389000,192389000,90281000,90281000,282670000,8017501000,1378836000,513630000,865206000,9396337000,9679007000,-1.73472347597681e-18,2225161000,879242000,3104403000,3104403000,12783410000,92858000,108575000,40554000,-14241000,227746000,-467519000,-520364000,325035000,-21149000,298757000,6139000,6139000,6139000,323926000,8017501000,-106701000,0.62725,0.27046,0.02991,0.00726,-1.14908,0.63432,3.11783,0.62718,0.90435,0.83986,3.34369,30.23394,-1.03917,0.00784,-0.00854,24.2484,36.47388
"21","2016_Q3",25.8321875,"Down",350139000,-132789000,-20653000,-112136000,217350000,-75079000,-70578000,-4501000,142271000,142271000,-50468000,91803000,91803000,91803000,91803000,172734000,172734000,24390000,24390000,197124000,11697924000,13096222000,-1398298000,1445122000,1445122000,13143046000,13340170000,227216000,227216000,95041000,95041000,322257000,8390466000,1431918000,563817000,868101000,9822384000,10144641000,0,2229627000,965902000,3195529000,3195529000,13340170000,91803000,112136000,45623000,27462000,277024000,-601130000,-665417000,434577000,-31122000,398313000,9920000,9920000,9920000,329486000,8390466000,-193714000,0.62075,0.26219,0.02873,0.00688,-2.11011,0.6117,3.17464,0.62896,0.8927,0.82812,3.40478,31.07359,-1.88369,0.00745,-0.01488,24.94107,37.80875
"22","2016_Q4",30.0647619047619,"Up",355101000,-133125000,-19874000,-113251000,221976000,-77403000,-72801000,-4602000,144573000,144573000,-51297000,93276000,93276000,93276000,93276000,226822000,226822000,17062000,17062000,243884000,11875116000,13365123000,-1490007000,1561907000,1561907000,13437023000,13680907000,235227000,235227000,101418000,101418000,336645000,8554732000,1501241000,615012000,886229000,10055973000,10392618000,2.77555756156289e-17,2234252000,1054037000,3288289000,3288289000,13680907000,93276000,113251000,54006000,-3823999.99999999,256709000,-360557000,-408803000,216981000,-5657000,206182000,54088000,54088000,54088000,335227000,8554732000,22143000,0.62511,0.26267,0.02837,0.00682,0.23739,0.72445,3.16049,0.6253,0.90697,0.84189,3.45283,31.97368,0.21531,0.00738,0.00166,24.8426,37.51716
"23","2017_Q1",34.4279032258065,"Up",370487000,-141784000,-23064000,-118720000,228703000,-79300000,-74701000,-4599000,149403000,149403000,-52415000,96988000,96988000,96988000,96988000,274802000,274802000,1.6e+07,1.6e+07,290802000,12041925000,13597530000,-1555605000,1642889000,1642889000,13684814000,13975616000,256775000,256775000,99385000,99385000,356160000,8713874000,1523395000,667060000,856335000,10237269000,10593429000,0,2238876000,1143311000,3382187000,3382187000,13975616000,96988000,118720000,51519000,-8628000,258599000,-364938000,-410932000,216217000,-10782000,200313000,47980000,47980000,47980000,347423000,8713874000,26272000,0.6173,0.26179,0.02868,0.00694,0.27088,0.81649,3.13212,0.62351,0.94306,0.87391,3.60241,32.88652,0.25545,0.0075,0.00193,24.29048,36.8997
"24","2017_Q2",34.234126984127,"Down",360187000,-146481000,-22572000,-123909000,213706000,-79828000,-76055000,-3773000,133878000,133878000,-48941000,84937000,84937000,84937000,84937000,155758000,155758000,18330000,18330000,174088000,12623050000,14280318000,-1657268000,1679902000,1679902000,14302952000,14477040000,223374000,223374000,102632000,102632000,326006000,9102689000,1589113000,714907000,874206000,10691802000,11017808000,4.44089209850063e-16,2238262000,1220970000,3459232000,3459232000,14477040000,84937000,123909000,62168000,-51350000,219664000,-700963000,-752427000,437522000,-16953000,413719000,-119044000,-119044000,-119044000,337615000,9102689000,-365757000,0.59332,0.23581,0.02455,0.00587,-4.30622,0.534,3.18504,0.62877,0.82505,0.76225,3.49874,33.60187,-3.55285,0.00655,-0.02585,26.5004,41.86561
"25","2017_Q3",36.6474603174603,"Up",380957000,-150333000,-23843000,-126490000,230624000,-74755000,-69451000,-5304000,155869000,155869000,-54944000,100925000,100925000,100925000,100925000,239710000,239710000,22239000,22239000,261949000,12742665000,14386474000,-1643809000,1856783000,1856783000,14599448000,14861397000,274353000,274353000,105328000,105328000,379681000,9303312000,1620200000,768980000,851220000,10923512000,11303193000,0,2244050000,1314154000,3558204000,3558204000,14861397000,100925000,126490000,52648000,-1764000,278299000,-393748000,-427158000,251227000,-5241000,239050000,90191000,90191000,90191000,357114000,9303312000,16546000,0.60538,0.26492,0.02836,0.00679,0.16394,0.68992,3.17666,0.62601,0.97813,0.90474,3.69209,34.48472,0.16036,0.0075,0.00114,25.38014,39.30034
"26","2017_Q4",40.425873015873,"Up",376765000,-146815000,-19262000,-127553000,229950000,-75831000,-70473000,-5358000,154119000,154119000,-54931000,99188000,99188000,99188000,99188000,226019000,226019000,19411000,19411000,245430000,12672937000,14397998000,-1725061000,1983280000,1983280000,14656217000,14901647000,232399000,232399000,102442000,102442000,334841000,9237320000,1673903000,823540000,850363000,10911223000,11246064000,0,2249982000,1405601000,3655583000,3655583000,14901647000,99188000,127553000,57535000,-30603000,253673000,-179153000,-228988000,-9637000,-24376000,-41204000.0000001,-16519000,-16519000,-16519000,357503000,9237320000,202678000,0.61033,0.26326,0.02713,0.00666,2.04337,0.73297,3.07641,0.61989,0.96091,0.88804,3.65,35.41428,1.96349,0.00734,0.01391,25.20622,39.18809
"27","2018_Q1",42.3450819672131,"Up",398471000,-156046000,-25646000,-130400000,242425000,-76761000,-71392000,-5369000,165664000,165664000,305438000,471102000,471102000,471102000,471102000,292204000,292204000,16078000,16078000,308282000,13280250000,15100040000,-1819790000,2025632000,2025632000,15305882000,15614164000,309182000,309182000,104820000,104820000,414002000,9698785000,1373935000,517795000,856140000,11072720000,11486722000,0,2261100000,1866342000,4127442000,4127442000,15614164000,471102000,130400000,-324788000,31363000,308077000,-692637000,-735378000,508277000,-17510000,490075000,62774000,62774000,62774000,372825000,9698785000,-593887000,0.60839,1.18227,0.11414,0.03017,-1.26063,0.74464,2.78301,0.62115,4.55595,4.20793,3.85355,39.91584,-5.74339,0.0315,-0.03907,25.23055,38.80203
"28","2018_Q2",40.09421875,"Down",381209000,-159493000,-23359000,-136134000,221716000,-80397000,-76965000,-3432000,141319000,141319000,-30667999.9999999,110651000,110651000,110651000,110651000,252491000,252491000,19133000,19133000,271624000,13588944000,15544868000,-1955924000,2084278000,2084278000,15673222000,15944846000,281122000,281122000,106844000,106844000,387966000,9887499000,1442758000,548435000,894323000,11330257000,11718223000,1.13686837721616e-13,2260027000,1966596000,4226623000,4226623000,15944846000,110651000,136134000,48376999.9999999,-48495000,246667000,-426270000,-481240000,232075000,-26429000,197915000,-36658000,-36658000,-36658000,357850000,9887499000,-86247000,0.58161,0.29026,0.02618,0.00694,-0.77945,0.70012,2.77248,0.62011,1.06654,0.98593,3.67438,40.73935,-0.831310000000002,0.00778,-0.00554,26.92471,43.45653
"29","2018_Q3",41.3114285714286,"Up",397814000,-164058000,-21458000,-142600000,233756000,-86347000,-81462000,-4885000,147409000,147409000,-32198000,115211000,115211000,115211000,115211000,259530000,259530000,21528000,21528000,281058000,14864244000,16962768000,-2098524000,2110145000,2110145000,16974389000,17255447000,329426000,329426000,112151000,112151000,441577000,10962446000,1513582000,580273000,933309000,12476028000,12917605000,0,2266434000,2071408000,4337842000,4337842000,17255447000,115211000,142600000,51263000,32250000,341324000,-1336294000,-1422449000,1129891000,-30434000,1090559000,9434000,9434000,9434000,376356000,10962446000,-895490000,0.5876,0.28961,0.02656,0.00668,-7.77261,0.63649,2.97789,0.6353,1.10774,1.0248,3.82494,41.70786,-8.61004,0.00747,-0.05326,28.43828,45.7867
"30","2018_Q4",35.428253968254,"Down",450698000,-176080000,-26377000,-149703000,274618000,-95236000,-90388000,-4848000,179382000,179382000,-32808000,146574000,146574000,146574000,146574000,228502000,228502000,20417000,20417000,248919000,15148422000,17309576000,-2161154000,2169962000,2169962000,17318384000,17567303000,310240000,310240000,109156000,109156000,419396000,11094337000,1574652000,611748000,962904000,12668989000,13088385000,1.81898940354586e-12,2271343000,2207575000,4478918000,4478918000,17567303000,146574000,149703000,27674000,-41838000,282113000,-420688000,-484012000,192467000,-12369000,169760000,-32139000,-32139000,-32139000,424321000,11094337000,-5396999.99999976,0.60932,0.32522,0.03273,0.00834,-0.0368199999999996,0.59352,2.92222,0.63153,1.40843,1.3031,4.33077,43.03802,-0.0518599999999996,0.00915,-0.000310000000000012,25.60758,39.56709
"31","2019_Q1",33.6198360655738,"Down",449981000,-179723000,-26175000,-153548000,270258000,-98230000,-93917000,-4313000,172028000,172028000,-33629000,138399000,138399000,138399000,138399000,300127000,300127000,22871000,22871000,322998000,15707110000,17985324000,-2278214000,2451700000,2451700000,18158810000,18481808000,382132000,382132000,119526000,119526000,501658000,11538905000,1634345000,643767000,990578000,13173250000,13674908000,50000.071788094,2475348000,2331552000,4806900000,4806900000,18481808000,138399000,153548000,42310000,49740000,383997000,-1305431000,-997119000,463947000,233024000,687201000,74079000,74079000,74079000,423806000,11538905000,-798256000,0.6006,0.30757,0.02879,0.00749,-5.76779,0.64386,2.84485,0.62434,1.29293,1.23219,4.20374,44.90624,-7.45734,0.00828,-0.0444,26.51869,41.58537
"32","2019_Q2",35.6963492063492,"Up",466051000,-189173000,-29702000,-159471000,276878000,-101934000,-97760000,-4174000,174944000,174944000,-36850000,138094000,138094000,138094000,138094000,285715000,285715000,12527000,12527000,298242000,16285378000,18668410000,-2383032000,2595315000,2595315000,18880693000,19178935000,366826000,366826000,116657000,116657000,483483000,11869671000,1651964000,680567000,971397000,13521635000,14005118000,1e+05,2718516000,2455201000,5173817000,5173817000,19178935000,138094000,159471000,39552000,-75868000,261249000,-783320000,-894482000,397826000,224632000,608477000,-24756000,-24756000,-24756000,436349000,11869671000,-385989000,0.59409,0.29631,0.02669,0.0072,-2.79512,0.61686,2.70692,0.61889,1.24389,1.2288,4.19797,46.60239,-3.47681,0.00816,-0.02065,26.54746,41.83776
