"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_compensation","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",27.3738709677419,"Up",266353000,-187652000,78701000,-43877000,-43877000,34824000,1164000,1164000,35988000,34463000,-13987000,20476000,20485000,20485000,20485000,168900000,168900000,157795000,157795000,90755000,39266000,417450000,57227000,176909000,27050000,104697000,18233000,234136000,651586000,113942000,5418000,108524000,71512000,62619000,8893000,185625000,34724000,11128000,5021000,18185000,390000,36262000,221887000,395441000,444100000,15949000,429699000,429699000,651586000,20476000,6968000,4176000,-15597000,16023000,-5308000,-991000,-72299000,-3056000,-17412.2221165072,1496000,-140000,-392000,-1952000,-58228000,-58228000,-2409000,-60637000,41792000,1709000,34874000,0.29548,0.13074,0.07691,0.04767,0.03144,1.70242,2.24889,0.51638,0.00262,0.30149,0.29375,3.92007,6.32413,0.51326,0.04498,0.0505,0.07482,0.14918,-4.00055,-4.80103
"12","2013_Q1",32.9231666666667,"Up",300737000,-216108000,84629000,-46017000,-46017000,38612000,1080000,1080000,39692000,40812000,-17326000,23486000,23369000,23671000,23671000,189312000,189312000,172705000,172705000,81200000,33061000,443217000,58798000,193278000,25330000,112032000,27157000,252076000,695293000,132333000,3100000,129233000,52100000,45501000,6599000,184611000,58018000,11741000,34075000,11796000,406000,59576000,244187000,395967000,34899000,20240000,451106000,451106000,695293000,23486000,7947000,7543000,-8877000,30099000,-6485000,-1929000,-8416999.99999999,-3063000,-43999.9999999999,-3058000,-3088000,1965000,-4200000,17482000,17482000,2930000,20412000,46559000,1736000,48523000,0.28141,0.12839,0.07871,0.05247,0.03404,2.04989,2.40082,0.54131,0.0025,0.34765,0.33749,4.41689,6.62534,0.71265,0.04499,0.05233,0.09498,0.1294,-4.02878,-4.85797
"13","2013_Q2",35.1290625,"Up",286266000,-209736000,76530000,-42222000,-42222000,34308000,1106000,1106000,35414000,35124000,-13341000,21783000,21316000,21316000,21316000,167138000,167138000,198939000,198939000,88154000,38171000,454231000,58284000,193390000,24129000,112021000,27103000,251674000,705905000,126318000,1785000,124533000,69220000,62401000,6819000,195714000,46991000,13212000,23619000,9759000,401000,48485000,244199000,403706000,482645000,19637000,461706000,461706000,705905000,21783000,9975000,2019000,-23658000,9626000,-7087000,-3404000,-10491000,-3064000,-44000,-13651000,-15403000,-4312000,-21071000,-21936000,-21936000,-238000,-22174000,44283000,1670000,26879000,0.26734,0.11985,0.07446,0.04617,0.0302,1.26098,2.32089,0.52891,0.00237,0.31273,0.3056,4.19979,6.77366,0.39434,0.04495,0.04777,0.05267,0.14374,-3.7366,-4.82302
"14","2013_Q3",35.58234375,"Up",326351000,-228907000,97444000,-46693000,-46693000,50751000,637000,637000,51388000,51372000,-19658000,31714000,31689000,31689000,31689000,187343000,187343000,205397000,205397000,100822000,36690000,493562000,58845000,191953000,22874000,111670000,23786000,250798000,744360000,134579000,4434000,130145000,75090000,66072000,9018000,209841000,39908000,13573000,8943000,16999000,393000,41328000,251169000,407685000,511116000,18672000,493191000,493191000,744360000,31714000,7959000,3648000,-13946000,29314000,-6264000,-4664000,-7548000,-3067000,-43000,0,0,2315000,-794999.999999996,20971000,20971000,-766000.000000001,20205000,58710000,1592000,58158000,0.29859,0.15551,0.0971,0.06425,0.04257,1.83527,2.35208,0.50927,0.00214,0.46479,0.45329,4.78668,7.23377,0.85302,0.04498,0.065,0.10877,0.09678,-3.16387,-3.66005
"15","2013_Q4",42.41390625,"Up",334323000,-239763000,94560000,-49181000,-49181000,45379000,701000,701000,46080000,45088000,-17052000,28036000,28100000,28100000,28100000,187911000,187911000,221319000,221319000,93650000,36466000,502880000,63371000,192807000,21596000,109295000,24643000,256178000,759058000,151278000,8537000,142741000,74724000,66009000,8715000,226169000,40583000,14093000,7939000,18171000,380000,41916000,268085000,411444000,79311000,218000,490973000,490973000,759058000,28036000,7829000,2150000,11653000,49635000,-11518000,-5299000,-16817000,-3071000,-43000,-12323000,-12411000,-2191000,-17628000,15190000,15190000,-14622000,568000,53208000,1500000,70395000,0.28284,0.13573,0.08405,0.05723,0.03702,2.50516,2.22347,0.54603,0.00198,0.41225,0.40182,4.90476,7.20293,1.03275,0.04505,0.05848,0.13206,0.10929,-3.50344,-4.10787
"16","2014_Q1",41.6650819672131,"Down",384339000,-266840000,117499000,-60614000,-55731000,56885000,-2444000,-2444000,54441000,57438000,-21622000,35816000,36244000,35626000,35626000,125617000,125617000,264300000,264300000,99682000,44583000,489599000,77710000,290669000,42039000,171867000,36307000,368379000,857978000,200627000,8327000,192300000,61413000,53137000,8276000,262040000,66163000,13953000,32953000,16359000,2898000,66163000,328203000,415271000,106250000,7987000,529508000,529775000,857978000,35816000,10053000,-5864000,-8229000,32363000,-18711000,-4831000,-94977000,-3070000,-42000,-5145000,-5473000,5889000,-2368000,-64982000,-64982000,2688000,-62294000,66938000,0,61620000,0.30572,0.14801,0.09269,0.06725,0.04152,1.72964,1.86841,0.61951,0,0.52271,0.50909,5.63911,7.76906,0.9041,0.04504,0.06493,0.1034,0.08617,-1.87662,-2.20826
"17","2014_Q2",39.6625396825397,"Down",406592000,-300676000,105916000,-52619000,-52619000,53297000,332000,332000,53629000,53629000,-20274000,33355000,33355000,33859000,33859000,120584000,120584000,277603000,277603000,84672000,31775000,482859000,73333000,288008000,41017000,172216000,33218000,361341000,844200000,171835000,14001000,157834000,61717000,54081000,7636000,233716000,70143000,16562000,30593000,14436258.1772075,22988000,71372000,305088000,419803000,114407000,4902000,539112000,539112000,844200000,33355000,12022000,10445000,-13876000,41946000,-4440000,-3469000,-7909000,-3085000,-42000,-21203000,-21530000,-12804000,-37134000,-3097000,-3097000,-1936000,-5033000,65319000,1393000,67277000,0.2605,0.13108,0.08328,0.06281,0.04011,1.98698,2.06601,0.56591,0.00165,0.49504,0.48535,5.94459,7.8821,0.98363,0.0451,0.0605,0.11017,0.09111,-1.82475,-2.23635
"18","2014_Q3",38.2184375,"Down",439015000,-318343000,120672000,-55093000,-52270000,65579000,476000,476000,66055000,65455000,-23994000,41461000,41461000,41207000,41207000,131323000,131323000,309784000,309784000,94345000,31966000,535452000,70982000,290545000,42974000,173191000,32248000,361527000,896979000,192684000,18379000,174305000,63157000,53042000,10115000,255999000,68195000,16161000,27065000,14050791.2272141,24969000,69344000,325343000,425648000,139448000,6540000,571636000,571636000,896979000,41461000,11737000,-3321000,-15363000,34514000,-5076000,-3694000,-11440000,-3053000,-40000,-12975000,-13166000,2824000,-13244000,9830000,9830000,909000,10739000,77316000,1307000,80871000,0.27487,0.14938,0.09386,0.07209,0.04594,1.96255,2.09162,0.56914,0.00146,0.60698,0.5945,6.46666,8.42016,1.19122,0.04497,0.06903,0.12614,0.07409,-1.68162,-1.98259
"19","2014_Q4",44.9465625,"Up",419899000,-307296000,112603000,-57380000,-55838000,55223000,496000,496000,55719000,55719000,-21291000,34428000,34428000,34138000,34138000,182942000,182942000,274544000,274544000,96914000,36159000,554400000,71961000,295719000,42117000,175471000,35082000,367680000,922080000,192189000,17743000,174446000,69023000,57447000,11576000,261376000,71052000,17422000,30056000,16965000,6609000,72202000,333578000,430642000,144954000,12906000,588502000,588502000,922080000,34428000,12538000,8388000,33336000,88690000,-8873000,-1664000,-10537000,-3043000,-40000,-24031000,-24658000,-1776000,-28890000,49263000,49263000,2356000,51619000,67761000,1314000,113515000,0.26817,0.13151,0.0813,0.05801,0.03702,3.32518,2.12108,0.56683,0.00143,0.50455,0.49453,6.20602,8.69793,1.67773,0.04497,0.05626,0.17177,0.08914,-2.68042,-3.28899
"20","2015_Q1",54.9559016393443,"Up",435406000,-322474000,112932000,-61723000,-60198000,51209000,-1304000,-1304000,49905000,52566000,-16414000,36152000,36152000,36236000,36236000,158112000,158112000,263011000,263011000,111337000,56673000,532460000,80246000,288290000,39239000,170626000,38691000,368536000,900996000,202011000,4693000,197318000,63153000,55878000,7275000,265321000,78430000,18768000,32257000,21383000,6022000,79490000,344811000,429857000,125875000,230000,555962000,556185000,900996000,36152000,12371000,6720000,-6792999.99999999,48450000,-28759000,9256000,-19503000,-3006000,-40000.0000000005,-51570000,-51787000,6740000,-47876000,-18929000,-18929000,-5901000,-24830000,63580000,1217000,44442000,0.25937,0.11761,0.08322,0.06515,0.04022,1.22646,2.00685,0.61996,0.00135,0.54267,0.531,6.52059,8.32603,0.66556,0.04502,0.06172,0.0699,0.08296,-2.46768,-3.06382
"21","2015_Q2",60.5907936507936,"Up",467043000,-347776000,119267000,-53436000,-51962000,65831000,0,0,65831000,66132000,-23782000,42350000,42350000,41861000,41861000,149196000,149196000,265383000,265383000,108891000,52877000,523470000,83355000,285427000,36630000,166470000,44662000,368782000,892252000,190145000,19449000,170696000,63808000,56106000,7702000,253953000,79858000,21444000,33894000,17653000,6867000,79858000,333811000,433922000,134057000,-10250000,557729000,558441000,892252000,42350000,12441000,-1273000,3076000,56594000,-12754000,-1196000,-13950000,-2962000,-39000,-32616000,-32616000,-12337000,-47954000,-5310000,-5310000,-3606000,-8916000,78272000,0,92376000,0.25537,0.14095,0.08963,0.07496,0.04692,2.20673,2.06129,0.59776,-4.33680868994202e-19,0.63488,0.62574,7.08339,8.45877,1.40102,0.04492,0.07022,0.14472,0.07076,-1.90612,-2.26635
"22","2015_Q3",58.90765625,"Down",481794000,-357449000,124345000,-60824000,-59391000,63521000,0,0,63521000,62226000,-23198000,39028000,39028000,38808000,38808000,114535000,114535000,339527000,339527000,115947000,54530000,570009000,103234000,281718000,34031000,162214000,50162000,384952000,954961000,210774000,16887000,193887000,62047000,55096000,6951000,272821000,93911000,20973000,50682000,15930000,6326000,93911000,366732000,438373000,169802000,-20803000,587372000,588229000,954961000,39028000,14172000,-2736000,-44992000,5472000,-34719000,1478000,-33241000,-2966000,-1478999.99999999,3.72529029846191e-09,3.72529029846191e-09,-116000,-4561000,-32330000,-32330000,-2331000,-34661000,77693000,-7.45058059692383e-09,21180000,0.25809,0.13184,0.08055,0.06597,0.04064,0.54576,2.08931,0.62345,0,0.58923,0.57934,7.3152,8.91822,0.32158,0.04503,0.06124,0.03105,0.07643,-1.4742,-1.8031
"23","2015_Q4",55.89890625,"Down",572301000,-428503000,143798000,-70272000,-66997000,73526000,-689000,-689000,72837000,70386000,-28128000,42258000,42258000,41665000,41665000,81877000,81877000,377729000,377729000,123481000,64336000,583087000,118169000,574389000,106621000,379895000,53086000,692558000,1275645000,291539000,38640000,252899000,74429000,63586000,10843000,365968000,102435000,20906000,56734000,16543000,8252000,269279000,635247000,442135000,208404000,-12487000,638052000,640398000,1275645000,42258000,17186000,10082000,49388000,118914000,-25694000,124000,-315182000,-2963000,165955000,521000,0,-1281000,162232000,-34036000,-34036000,1378000,-32658000,90712000,166844000,142534000,0.25126,0.12847,0.0728,0.06506,0.03266,3.42095,1.59327,0.99196,0.13079,0.63222,0.62072,8.68399,9.68168,2.16278,0.04496,0.04906,0.15669,0.07111,0.93667,1.1556
"24","2016_Q1",47.3290163934426,"Down",578683000,-453376000,125307000,-63608000,-60442000,61699000,-709000,-709000,60990000,61075000,-24662000,36413000,36413000,35438000,35438000,74672000,74672000,396177000,396177000,91058000,52819000,561907000,137830000,571821000,102358000,376302000,49620000,709651000,1271558000,266820000,11709000,255111000,89204000,77642000,11562000,356380000,88861000,20635000,52954000,6546000,8726000,299479000,655859000,446132000,188611000,-22365000,612378000,615699000,1271558000,36413000,12398000,11060000,-34634000,25237000,-31982000,83000,-31499000,-2961000,43501000,-49824000,-50171000,10682000,1398000.00000003,-4864000,-4864000,-2341000,-7205000,74097000,210974000,32143000,0.21654,0.10662,0.06124,0.05756,0.02787,0.90702,1.57671,1.06523,0.16592,0.51339,0.52045,8.38331,8.87144,0.46565,0.0429,0.04194,0.03511,0.08355,1.83951,2.20914
"25","2016_Q2",50.09140625,"Up",556722000,-446507000,110215000,-67383000,-64234000,42832000,-989000,-989000,41843000,42928000,-16046000,26882000,26882000,26609000,26609000,50958000,50958000,425159000,425159000,8.2e+07,49201000,558117000,138131000,579287000,99600000,387118000,50752000,717418000,1275535000,231957000,3001000,228956000,86979000,76876000,10103000,319276000,98562000,22986000,50714000,15531000,9331000,343517000,662793000,450572000,183063000,-24487000,609148000,612742000,1275535000,26882000,16096000,1980000,-43592000,1366000,-10685000,84000,-13207000,-2941000,34349000,-31138000,-31138000,-11553000,-11283000,-23124000,-23124000,-590000,-23714000,58928000,245295000,20697000,0.19797,0.07694,0.0478,0.04343,0.02086,0.77782,1.74807,1.08168,0.19231,0.40345,0.40142,8.44106,9.23595,0.31381,0.04459,0.03089,0.02164,0.11053,3.29787,4.53719
"26","2016_Q3",54.10203125,"Up",606453000,-458786000,147667000,-69238000,-65976000,78429000,-1273000,-1273000,77156000,78836000,-29495000,49341000,49341000,48785000,48785000,60783000,60783000,433228000,433228000,106252000,49351000,600263000,137493000,605057000,117732000,401152000,49936000,742550000,1342813000,213256000,2577000,210679000,93772000,80429000,13343000,307357000,85998000,21575000,47873000,7347000,9203000,372015000,679372000,455441000,228834000,-24984000,659291000,663441000,1342813000,49341000,16174000,1993000,-47010000,20498000,-9151000,126000,-48231000,-2919000,40995000,0,0,-43999.9999999963,38032000,10299000,10299000,-474000,9825000,94603000,286346000,67937000,0.24349,0.12932,0.08044,0.07353,0.03633,1.39258,1.95298,1.02401,0.21324,0.74186,0.73828,9.22222,10.02571,1.03311,0.04439,0.04992,0.06559,0.05983,2.38431,2.87602
"27","2016_Q4",50.5433333333333,"Down",617094000,-465715000,151379000,-73223000,-69706000,78156000,-1029000,-1029000,77127000,83642000,-30892000,52750000,52750000,52225000,52225000,50609000,50609000,421132000,421132000,91476000,50073000,563217000,136295000,598581000,112966000,398929000,50656000,734876000,1298093000,219649000,8401000,211248000,80887000,70302000,10585000,300862000,81027000,22801000,43875000,5757000,8594000,291710000,592572000,460409000,275846000,-34349000,701906000,705521000,1298093000,52750000,16904000,-3911000,20525000,86268000,-14267000,171000,-13505000,-2920000,-75338000,-1992000,-2197000,-533000,-80783000,-8020000,-8020000,-2154000,-10174000,95060000,211009000,132210000,0.24531,0.12665,0.08463,0.07402,0.04023,2.53155,1.87201,0.83991,0.16255,0.7941,0.78897,9.38318,10.67278,2.01031,0.0444,0.05528,0.13253,0.05591,1.68736,2.05231
"28","2017_Q1",54.7356451612903,"Up",623091000,-470161000,152930000,-72624000,-69175000,80306000,-843000,-843000,79463000,80562000,-29375000,51187000,51187000,50743000,50743000,66199000,66199000,444357000,444357000,110424000,56718000,620980000,131569000,596270000,109027000,397558000,50902000,727839000,1348819000,255170000,7979000,247191000,85309000,73692000,11617000,340756000,89585000,24012000,40007000,16813000,8753000,254923000,595679000,461679000,323571000,-36169000,749081000,753140000,1348819000,51187000,22607000,11871000,-13771000,71894000,-12288000,43000,-12160000,-2921000,-45383000,341000,0,5155000,-42808000,16926000,16926000,-1336000,15590000,102913000,165615000,106229000,0.24544,0.12888,0.08144,0.06738,0.03762,2.09347,1.82236,0.79093,0.12279,0.77108,0.76472,9.46832,11.38283,1.61423,0.04439,0.05322,0.10535,0.05756,0.96602,1.23796
