"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",8.9315625,"Up",14035000,-7088000,-389000,-4901000,-1798000,6947000,-5643000,-5661000,18000,1304000,-871000,433000,433000,433000,433000,-1076000,-643000,7279000,7279000,3849000,3849000,11128000,469376000,538509000,-69133000,88694000,57156000,31538000,558070000,569198000,4165000,4165000,6443000,6443000,10608000,387435000,9007000,9007000,396442000,407050000,38502000,221589000,-97943000,162148000,162148000,569198000,433000,4901000,-914000,-1366000,3054000,-5650000,327000,-5323000,-5270000,2929000,6484000,6484000,-141000,4002000,1733000,1733000,1733000,11848000,387435000,0.49498,-0.04581,-0.00397,-0.00113,1.04902,2.51036,0.68067,-0.05725,-0.05725,1.24971,11.0097,0.46925,0.00828,-8.19596,32.08609,54.72233
"12","2013_Q3",8.51546875,"Down",14258000,-7095000,-477000,-5220000,-1398000,7163000,-5753000,-5764000,11000,1410000,-960000,450000,450000,450000,450000,-1093000,-643000,4023000,4023000,4037000,4037000,8060000,492240000,564952000,-72712000,93840000,60797000,33043000,586080000,594140000,3359000,3359000,6536000,6536000,9895000,370440000,8923000,8923000,379363000,389258000,38502000,269568000,-103188000,204882000,204882000,594140000,450000,5220000,-530000,-655000,4485000,-27838000,-5167000,-33005000,-5666000,-19737000,50735000,50735000,-68000.0000000001,25264000,-3256000,-3256000,-3256000,12383000,370440000,0.50238,-0.0451,-0.00314,-0.00108,0.81455,1.89991,0.62349,-0.05194,-0.05194,1.15166,13.43898,0.45766,0.0086,-8.81182,29.59033,51.15413
"13","2013_Q4",8.68125,"Up",16189000,-8475000,-377000,-6253000,-1845000,7714000,-6555000,-6573000,18000,1159000,-848000,311000,311000,311000,311000,-1105000,-794000,4531000,4531000,6406000,6406000,10937000,545558000,622481000,-76923000,109917000,75345000,34572000,655475000,666412000,3552000,3552000,10873000,10873000,14425000,438662000,9968000,9968000,448630000,463055000,38502000,274173000,-109318000,203357000,203357000,666412000,311000,6253000,-1153000,2622000,8033000,-71318000,-1342000,-72660000,-6407000,67915000,4920000,4920000,-1293000,65135000,508000,508000,508000,13967000,438662000,0.4765,-0.04905,-0.0039,-0.00119,0.7582,2.27705,0.65824,-0.05593,-0.05593,1.14036,11.61243,0.45131,0.00861,-8.06927,31.08262,56.27833
"14","2014_Q1",8.6483606557377,"Down",16861000,-9397000,-412000,-6453000,-2532000,7464000,-6299000,-6353000,54000,1165000,-832000,333000,333000,333000,333000,-1120000,-786999.999999999,8546000,8546000,5051000,5051000,13597000,561112000,642353000,-81241000,115816000,79632000,36184000,676928000,690525000,2359000,2359000,9619000,9619000,11978000,447002000,9899000,9899000,456901000,468879000,38502000,298767000,-115623000,221646000,221646000,690525000,332999.999999999,6453000,-739000,-1734000,4313000,-26382000,314000,-26068000,-6597000,6953000,25982000,25982000,-568000,25770000,4015000,4015000,4015000,13917000,447002000,0.44268,-0.04668,-0.00355,-0.00114,1.13516,2.11544,0.64734,-0.053,-0.053,1.13546,12.33334,0.44426,0.00856,-8.38247,31.50507,58.74277
"15","2014_Q2",8.68968253968254,"Up",17136000,-23626000,-466000,-6720000,-16440000,-6490000,-6228000,-6275000,47000,-12718000,-796000,-13514000,-13514000,-13514000,-13514000,-1123000,-14637000,5813000,5813000,13438000,13438000,19251000,543985000,627993000,-84008000,115646000,78284000,37362000,659631000,678882000,2186000,2186000,7833000,7833000,10019000,450947000,9566000,9566000,460513000,470532000,38502000,306010000,-136162000,208350000,208350000,678882000,-13514000,6720000,13068000,-115000,6159000,-3718000,-2560000,-6278000,-6986000,-2975000,7707000,7707000,-360000,-2614000,-2733000,-2733000,-2733000,230000,450947000,-0.37873,-0.85417,-0.07025,-0.02156,1.92145,2.25837,0.66425,-0.92953,-0.92953,1.08823,10.78625,0.44365,-0.01144,-0.47728,1935.36522,-68.58767
"16","2014_Q3",9.01046875,"Up",18390000,-10385000,-491000,-6871000,-3023000,8005000,-6482000,-6509000,27000,1523000,-306000,1217000,1217000,1217000,1217000,-1134000,83000,2367000,2367000,3116000,3116000,5483000,595481000,684001000,-88520000,134566000,92129000,42437000,730047000,735530000,6498000,6498000,8645000,8645000,15143000,481887000,9450000,9450000,491337000,506480000,38502000,332868000,-142320000,229050000,229050000,735530000,1217000,6871000,-2527000,-676000,4885000,-49884000,-4701000,-54585000,-7327000,25550000,28335000,28335000,-304000,46254000,-3446000,-3446000,-3446000,14876000,481887000,0.43529,0.00451000000000001,0.000359999999999999,0.000109999999999999,0.36208,2.21122,0.65516,0.00500999999999985,0.00500999999999974,1.11103,11.51193,0.44266,0.01029,88.27711,32.2344700000001,59.90256
"17","2014_Q4",9.05140625,"Up",19014000,-11224000,-538000,-7516000,-3170000,7790000,-6642000,-6679000,37000,1148000,-917000,231000,231000,231000,231000,-1160000,-929000,5237000,5237000,3541000,3541000,14378000,607173000,700574000,-93401000,137856000,94642000,43214000,745029000,759407000,7267000,7267000,8675000,8675000,15942000,505958000,9811000,9811000,515769000,531711000,38502000,339102000,-149908000,227696000,227696000,759407000,231000,7516000,-592000,480000,7635000,-24400000,-2777000,-27177000,-7764000,23732000,6594000,6594000,-150000,22412000,2870000,2870000,2870000,15306000,505958000,0.4097,-0.04886,-0.00408,-0.00122,0.90189,2.33518,0.66625,-0.05232,-0.05232,1.07082,10.65488,0.43725,0.00919,-8.35737,32.71403,64.27741
"18","2015_Q1",9.42213114754098,"Up",19216000,-10883000,-1194000,-7757000,-1932000,8333000,-6671000,-6734000,63000,1662000,4502000,6164000,6164000,6164000,6164000,-1219000,4945000,8599000,8599000,3547000,3547000,17746000,630432000,722565000,-92133000,139616000,98814000,40802000,770048000,787794000,8285000,8285000,8528000,8528000,16813000,502599000,12210000,12210000,514809000,531622000,38502000,369769000,-152099000,256172000,256172000,787794000,6164000,7757000,-5510000,1107000,9518000,-40751000,-1650000,-42401000,-8286000,13394000,31295000,31295000,-158000,36245000,3362000,3362000,3362000,16090000,502599000,0.43365,0.25734,0.0193,0.00628,1.05549,2.07525,0.63798,0.26083,0.26083,1.01358,11.48138,0.43706,0.01716,1.67562999999999,30.7023000000001,59.28237
"19","2015_Q2",9.5768253968254,"Up",19880000,-11561000,-690000,-8207000,-2664000,8319000,-6743000,-6771000,28000,1576000,-882000,694000,694000,694000,694000,-1247000,-553000,5760000,5760000,6840000,6840000,18200000,644082000,740842000,-96760000,1.45e+08,102808000,42192000,789082000,807282000,7362000,7362000,11866000,11866000,19228000,510348000,12049000,12049000,522397000,541625000,38502000,387413000,-160258000,265657000,265657000,807282000,694000,8207000,-670000,705000,8936000,-28348000,-2360000,-30708000,-8802000,9786000,18135000,18135000,-186000,18933000,-2839000,-2839000,-2839000,16526000,510348000,0.41846,-0.02782,-0.00208,-0.00069,0.94654,2.03881,0.63218,-0.02736,-0.02736,0.98362,11.23919,0.43551,0.01047,-15.91682,30.53298,60.65489
"20","2015_Q3",8.44484375,"Down",20687000,-12339000,-539000,-8947000,-2853000,8348000,-6976000,-6999000,23000,1372000,-941000,431000,431000,431000,431000,-1285000,-854000,3297000,3297000,6582000,6582000,15779000,661588000,763831000,-102243000,152973000,106893000,46080000,814561000,830340000,5925000,5925000,9475000,9475000,15400000,532539000,13027000,13027000,545566000,560966000,38502000,399442000,-168570000,269374000,269374000,830340000,431000,8947000,-934000,-905000,7539000,-30200000,-2265000,-32465000,-9117000,19941000,12228000,12228000,-589000,22463000,-2463000,-2463000,-2463000,17295000,532539000,0.40354,-0.04128,-0.00317,-0.00103,1.02461,2.08248,0.64135,-0.04099,-0.04099,0.99295,11.08161,0.43761,0.01014,-10.67564,30.60087,63.39746
"21","2015_Q4",8.46515625,"Up",21416000,-13506000,-446000,-9006000,-4054000,7910000,-7182000,-7142000,-40000,728000,-823000,-95000,-95000,-95000,-95000,-1286000,-1381000,3730000,3730000,21593000,21593000,31223000,656581000,761458000,-104877000,150679000,105963000,44716000,807260000,838483000,7820000,7820000,10768000,10768000,18588000,538412000,12556000,12556000,550968000,569556000,38502000,408424000,-177999000,268927000,268927000,838483000,-95000,9006000,-493000,-16000,8402000,-1.3e+07,-322000,-13322000,-9334000,5799000,9132000,9132000,-244000,5353000,433000,433000,433000,16916000,538412000,0.36935,-0.06448,-0.00514,-0.00165,1.67974,2.11788,0.64213,-0.06448,-0.06448,0.99996,10.75902,0.43582,0.0097,-6.75887,31.60806,67.5957
"22","2016_Q1",8.54508196721311,"Up",21783000,-13559000,-1041000,-9128000,-3390000,8224000,-7099000,-7102000,3000,1125000,1441000,2566000,2566000,2566000,2566000,-1283000,1283000,5152000,5152000,5282000,5282000,16334000,668134000,780377000,-112243000,142716000,104914000,37802000,810850000,827184000,6388000,6388000,10162000,10162000,16550000,525332000,13331000,13331000,538663000,555213000,38102000,418920000,-185051000,271971000,271971000,827184000,2566000,9128000,-3620000,-1464000,6610000,133000,1880000,2013000,-9618000,-7432000,10670000,10670000,-821000,-7201000,1422000,1422000,1422000,17352000,525332000,0.37754,0.0589,0.00472,0.00155,0.98695,2.04144,0.63508,0.05785,0.05785,0.98225,10.5457,0.4337,0.01345,7.49649,29.9781,63.25146
"23","2016_Q2",9.976875,"Up",21527000,-13257000,-588000,-9133000,-3536000,8270000,-6731000,-6731000,0,1539000,-686000,853000,853000,853000,853000,-1279000,-426000,5010000,5010000,8494000,8494000,13504000,659839000,777001000,-117162000,138118000,101571000,36547000,797957000,811461000,4569000,4569000,10308000,10308000,14877000,518012000,12822000,12822000,530834000,545711000,38194000,421490000,-193934000,265750000,265750000,811461000,853000,9133000,-1070000,-134000,8782000,0,5822000,5822000,-9736000,-7311000,2622000,2800000,-321000,-14746000,-142000,-142000,-142000,17403000,518012000,0.38417,-0.01979,-0.0016,-0.00052,0.90771,2.05348,0.63837,-0.0189,-0.0189,0.95483,10.09329,0.43184,0.01169,-22.85446,29.47779,62.03168
"24","2016_Q3",10.91078125,"Up",21247000,-13431000,-722000,-9205000,-3504000,7816000,-6245000,-6579000,334000,1571000,-686000,885000,885000,885000,885000,-1515000,-630000,3993000,3993000,7722000,7722000,11715000,667405000,790232000,-122827000,139165000,101683000,37482000,806570000,818285000,3681000,3681000,9764000,9764000,13445000,526720000,12609000,12609000,539329000,552774000,38958000,429632000,-203079000,265511000,265511000,818285000,885000,9205000,-313000,-727000,9050000,-16800000,-326000,-17126000,-10030000,-17508000,34869000,34869000,-272000,7059000,-1017000,-1017000,-1017000,17021000,526720000,0.36786,-0.02965,-0.00237,-0.00077,0.87133,2.08193,0.64369,-0.02777,-0.02777,0.93664,9.98718,0.44215,0.01168,-15.92063,30.71071,66.87909
"25","2016_Q4",11.4034920634921,"Up",21589000,-15173000,-572000,-9458000,-5143000,6416000,-6335000,-6338000,3000,81000,-154000,-73000,-73000,-73000,-73000,-2256000,-2329000,8747000,8747000,15750000,15750000,24497000,671865000,797115000,-125250000,142281000,102765000,39516000,814146000,838643000,4031000,4031000,10755000,10755000,14786000,516186000,14543000,14543000,530729000,545515000,67215000,440161000,-214248000,293128000,293128000,838643000,-73000,9458000,1158000,1440000,11983000,-21078000,-2865000,-23943000,-11096000,-25162000,53330000,53330000,-358000,16714000,4754000,4754000,4754000,15874000,516186000,0.29719,-0.10788,-0.00795,-0.00278,1.65677,1.86101,0.6155,-0.09907,-0.09907,0.91833,9.60962,0.47199,0.01064,-4.76428,31.96668,79.08962
"26","2017_Q1",12.6351612903226,"Up",22009000,-13734000,-506000,-9721000,-3507000,8275000,-6248000,-6254000,5999.99999999994,2027000,266000,2293000,2293000,2293000,2293000,-2606000,-313000,4658000,4658000,12592000,12592000,17250000,690088000,821749000,-131661000,144404000,105553000,38851000,834492000,851742000,5891000,5891000,9783000,9783000,15674000,509395000,16053000,16053000,525448000,541122000,70745000,463462000,-223587000,310620000,310620000,851742000,2293000,9721000,-1164000,496000,11346000,-22261000,-2341000,-24602000,-11632000,-7212000,27363000,27363000,-527000,7992000,-5264000,-5264000,-5264000,17996000,509395000,0.37598,-0.01422,-0.00101,-0.00037,1.10055,1.74207,0.59806,-0.01302,-0.01302,0.91563,9.97936,0.48392,0.01354,-37.16294,28.04718,60.99541
"27","2017_Q2",13.7334920634921,"Up",22314000,-17708000,-551000,-9921000,-7236000,4606000,-6156000,-6158000,2000,-1550000,5906000,4356000,4356000,4356000,4356000,-2621000,1735000,4105000,4105000,5475000,5475000,9580000,683851000,821921000,-138070000,139546000,102075000,37471000,823397000,832977000,3461000,3461000,9923000,9923000,13384000,496268000,15756000,15756000,512024000,525408000,72967000,465816000,-231214000,307569000,307569000,832977000,4356000,9921000,-2842000,-960000,10475000,12398000,-2275000,10123000,-11983000,-13644000,4657000,4657000,-95000,-21065000,-467000,-467000,-467000,14527000,496268000,0.20642,0.07775,0.00564,0.00208,0.71578,1.70826,0.59578,0.0695,0.0695,0.89385,9.39764,0.48001,0.01674,6.90663,33.87919,106.85258
"28","2017_Q3",13.9536507936508,"Up",22868000,-14354000,-576000,-9924000,-3854000,8514000,-5936000,-5945000,9000.00000000001,2578000,-1914000,663999.999999999,663999.999999999,663999.999999999,664000,-2686000,-2022000,5014000,5014000,6985000,6985000,11999000,679726000,819029000,-139303000,139848000,101035000,38813000,819574000,831573000,3781000,3781000,8909000,8909000,12690000,484781000,17686000,17686000,502467000,515157000,77614000,481349000,-242547000,316416000,316416000,831573000,664000,9924000,1457000,-1100000,10945000,8374000.00000001,-3876000,4498000,-12176000,-22551000,20521000,20521000,-667000,-14873000,570000.000000001,570000.000000001,570000.000000001,18438000,484781000,0.37231,-0.08842,-0.00639,-0.00243,0.94555,1.6281,0.58297,-0.07999,-0.07999,0.9047,9.44747,0.48171,0.0124,-6.02176,26.02056,56.35036
"29","2017_Q4",14.7388888888889,"Up",24365000,-15866000,-649000,-10828000,-4389000,8499000,-6117000,-6120000,3000,2382000,1000,2383000,2383000,2383000,2383000,-2767000,-384000,4287000,4287000,3533000,3533000,7820000,734385000,880614000,-146229000,162646000,115210000,47436000,897031000,904851000,8221000,8221000,10053000,10053000,18274000,518877000,18690000,18690000,537567000,555841000,81980000,520172000,-253142000,349010000,349010000,904851000,2383000,10828000,-729000,895000,13377000,-74515000,-2955000,-77470000,-12971000,32799000,44689000,44713000,-395000,64122000,29000,29000,29000,19327000,518877000,0.34882,-0.01576,-0.0011,-0.00042,0.42793,1.59262,0.57344,-0.0141,-0.0141,0.89464,9.80482,0.47627,0.0142,-33.77865,26.62545,60.54712
"30","2018_Q1",12.453606557377,"Down",25252000,-20409000,-590000,-12122000,-7697000,4843000,-6309000,-6347000,38000,-1466000,9.31322574615479e-10,-1466000,-1466000,-1466000,-1466000,-2802000,-4268000,6683000,6683000,11443000,11443000,18126000,744436000,893853000,-149417000,165892000,118927000,46965000,910328000,928454000,7339000,7339000,8957000,8957000,16296000,542627000,19301000,19301000,561928000,578224000,83434000,534819000,-268023000,350230000,350230000,928454000,-1466000,12122000,2093000,-704000,12045000,-37736000,720000,-37016000,-13278000,24034000,16369000,16369000,-894000,26231000,1260000,1260000,1260000,16965000,542627000,0.19179,-0.16902,-0.01219,-0.0046,1.1123,1.65098,0.58444,-0.15266,-0.15266,0.90322,9.54287,0.47493,0.00988,-3.11106,31.59116,110.66364
"31","2018_Q2",12.58234375,"Up",26353000,-17402000,-646000,-11586000,-5170000,8951000,-6190000,-6213000,23000,2761000,1844000,4605000,4605000,4605000,4605000,-2814000,1791000,4123000,4123000,4335000,4335000,8458000,748785000,904684000,-155899000,165863000,116301000,49562000,914648000,923106000,6419000,6419000,10398000,10398000,16817000,544328000,18562000,18562000,562890000,579707000,84368000,535428000,-276397000,343399000,343399000,923106000,4605000,11586000,-2832000,-733000,12626000,-3568000,-531000,-4099000,-13474000,1562000,1569000,1603000,-238000,-10581000,-2054000,-2054000,-2054000,20537000,544328000,0.33966,0.06796,0.00522,0.00194,0.50294,1.68814,0.58967,0.06302,0.06302,0.92724,9.11407,0.47409,0.01684,7.52317,26.30399,60.35136
"32","2018_Q3",13.8820634920635,"Up",26593000,-17542000,-599000,-11772000,-5171000,9051000,-6526000,-6531000,5000,2525000,2.3283064365387e-10,2525000,2525000,2525000,2525000,-2842000,-316999.999999999,4552000,4552000,4174000,4174000,8726000,7.42e+08,905349000,-163349000,161282000,111978000,49304000,903282000,912008000,5606000,5606000,9035000,9035000,14641000,542461000,18092000,18092000,560553000,575194000,85600000,538306000,-287092000,336814000,336814000,912008000,2525000,11772000,-486000.000000001,-442000,13369000,1.86264514923096e-09,-1460000,-1460000,-13506000,-2274000,4176000,4176000,-41000,-11645000,264000,264000,264000,20823000,542461000,0.34035,-0.01192,-0.000939999999999999,-0.000349999999999998,0.596,1.70775,0.5948,-0.01115,-0.01115,0.93513,8.83379,0.47493,0.0147,-42.60568,25.83244,59.43089
