"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"27","2017_Q2",21.1596825396825,"Up",80887000,-57498000,-34288000,-23210000,20186000,-3352000,-4420000,1068000,16834000,16834000,16700000,16700000,16700000,16700000,16700000,281000,7550000,44327000,68858000,-804000,35307000,34503000,9675000,9675000,-71868000,31493000,31493000,31493000,20467000,113349000,0.24956,0.20646,0.05741,0.05395,0.27809
"28","2017_Q3",26.6157142857143,"Up",99008000,-68881000,-40667000,-28214000,27113000,-8876000,-4259000,-4617000,18237000,18237000,17656000,17656000,17656000,17656000,17656000,282000,-2707000,-9696000,5535000.00000001,-1494000,48071000,47216000,6358000,6358000,-100218000,-47467000,-47467000,-47467000,27395000,0,0.27385,0.17833,0.06022,0.05673,0.33769
"29","2017_Q4",26.6003174603175,"Down",152510000,-66672000,-38129000,-28543000,81180000,3408000,0,3408000,84588000,84588000,81382000,81382000,81382000,81382000,81382000,279000,3332000,-47128000,37865000,-1137000,-65089000,-63885000,3552000,3552000,40165000,14145000,14145000,14145000,81459000,0,0.53229,0.53362,0.27656,0.26006,0.51827
"30","2018_Q1",27.6414754098361,"Up",120072000,-78482000,-46278000,-32204000,37399000,1487000,0,1487000,38886000,38918000,38489000,38489000,38489000,38489000,38489000,345000,8968000,5551000.00000001,53353000,-17544000,-789000,-18333000,2838000,2838000,-713000,34307000,34307000,34307000,37744000,14938000,0.31147,0.32055,0.13002,0.12245,0.40561
"31","2018_Q2",20.67859375,"Down",212346000,-90400000,-52643000,-37757000,116307000,2064000,0,2064000,118371000,118371000,115857000,115857000,115857000,115857000,115857000,371000,10818000,-55238000,71808000,-2947000,-22795000,-25533000,1875000,1875000,-254000,46021000,46021000,46021000,116678000,0,0.54772,0.5456,0.39085,0.36933,0.71637
"32","2018_Q3",19.4993650793651,"Down",187481000,-95714000,-53226000,-42488000,85770000,2625000,-1.16415321826935e-10,2625000,88395000,88395000,87494000,87494000,87494000,87494000,87494000,805000,9794000,-23324000,74769000,-12235000,-54032000,-66267000,8325000,8325000,7174000,15676000,15676000,15676000,86575000,20646000,0.45749,0.46668,0.29427,0.28011,0.63055
"33","2018_Q4",17.8285714285714,"Down",225397000,-92861000,-48120000,-44741000,125176000,3778000,-1000,3779000,128954000,128954000,126630000,126630000,126630000,126630000,126630000,1700000,9318000,26904000,164552000,-14913000,-60273000,-75186000,3840000,3840000,15850000,105216000,105216000,105216000,126876000,12619000,0.55536,0.56181,0.42434,0.40542,0.75531
"34","2019_Q1",22.8037704918033,"Up",228602000,-109648000,-52377000,-57271000,111602000,4770000,12841000,-8071000,116372000,116372000,360089000,360089000,360089000,360089000,360089000,2039000,-229432000,-28105000,104591000,-2894000,-127761000,-130864000,3238000,3238000,-13079000,-39352000,-39352000,-39352000,113641000,12178000,0.48819,1.57518,1.20269,1.15111,0.76352
"35","2019_Q2",20.957619047619,"Down",215487000,-123427000,-60138000,-63289000,84559000,6112000,23985490.006031,6112000,90671000,90671000,75775000,75775000,75775000,75775000,75775000,1962000,5853000,78003000,161593000,-2307000,-105350000,-107657000,6817000,6817000,5226000,59162000,59162000,59162000,86521000,22334000,0.39241,0.35165,0.25213,0.24083,0.71699
"36","2019_Q3",20.23921875,"Down",240275000,-140747000,-58815000,-81932000,91989000,7778000,27100025.5468872,7778000,99767000,99767000,79042000,79042000,79042000,79042000,79042000,2036000,47653000,2996999.99999999,131728000,-1209000,-142450000,-142929000,7918000,7918000,7053000,-4148000,-4148000,-4148000,94025000,22864000,0.38285,0.32896,0.26157,0.25098,0.79512
"37","2019_Q4",16.95046875,"Down",271703000,-148560000,-51265000,-97295000,115606000,7051000,20253000,-13202000,122657000,122657000,97452000,97452000,97452000,97452000,97452000,2090000,44762000,-68690000,75614000,-2059000,-203671000,-206460000,4221000,4221000,3274000,-127572000,-127572000,-127572000,117696000,0,0.42549,0.35867,0.32134,0.30882,0.89592
"38","2020_Q1",18.2914516129032,"Up",240310000,-152474000,-58026000,-94448000,77316000,7698000,7706000,-8000,85014000,85014000,68743000,68743000,68743000,68743000,68743000,2260000,32243000,54775000,158021000,-7259000,-122942000,-130243000,3543000,3543000,-2958000,24820000,24820000,24820000,79576000,6596000,0.32173,0.28606,0.22588,0.2183,0.78961
"39","2020_Q2",23.1746031746032,"Up",226915000,-164817000,-62940000,-101877000,52809000,7226000,7220000,6000,60035000,60035000,48612000,48612000,48612000,48612000,48612000,2175000,24396000,-19109000,56074000,-2961000,35581000,32620000,3938000,3938000,2145000,90839000,90839000,90839000,54984000,0,0.23273,0.21423,0.15918,0.15391,0.74304
"40","2020_Q3",23.345,"Up",259479000,-174724000,-59791000,-114933000,75534000,5162000,5162000,-4.65661287307739e-10,80696000,80696000,66821000,66821000,66821000,66821000,66821000,2201000,31642000,1013000,101677000,-6964000,80238000,73274000,1.4e+07,1.4e+07,-5148000,169803000,169803000,169803000,77735000,0,0.2911,0.25752,0.21709,0.21003,0.84299
"41","2020_Q4",20.933125,"Down",231092000,-264947000,-88185000,-176762000,-42580000,4559000,3994000,565000,-38021000,-38021000,-32040000,-32040000,-32040000,-32040000,-32040000,2355000,50772000,-3149000,17938000,-6130000,-201470000,-207600000,1744000,1744000,-3435000,-193097000,-193097000,-193097000,-40225000,9322000,-0.18426,-0.13865,-0.10365,-0.1006,0.74759
"42","2021_Q1",22.5837704918033,"Up",270052000,-236718000,-82439000,-154279000,24297000,3830000,3489000,341000,28127000,28127000,28388000,28388000,28388000,28388000,28388000,2410000,21390000,-18895000,33293000,-14290000,-15218999.9999999,-29509000,5204000,5204000,-18694000,-14909999.9999999,-14909999.9999999,-14909999.9999999,26707000,0,0.0899699999999999,0.10512,0.09135,0.0888500000000001,0.86897
"43","2021_Q2",23.3212698412698,"Up",270230000,-261639000,-102351000,-159288000,-4607000,2592000,2682000,-90000,-2015000,-2015000,1601000,1601000,1601000,1601000,1601000,3227000,39064000,-4348000,39544000,-13557000,75812000,62255000,2791000,2791000,-2650000,99149000,99149000,99149000,-1380000,0,-0.01705,0.00592,0.00512,0.00498,0.86481
"44","2021_Q3",18.5696875,"Down",385177000,-247285000,-98495000,-148790000,123008000,1880000,1891000,-11000,124888000,124888000,96092000,96092000,96092000,96092000,96092000,3668000,71841000,9900000,181501000,-20211000,-50634000,-70845000,12696000,12696000,8724000,119380000,119380000,119380000,126676000,8577000,0.31935,0.24947,0.30752,0.29908,1.23267
"45","2021_Q4",19.135,"Up",328423000,-264928000,-101558000,-163370000,51621000,1639000,1658000,-19000,53260000,53260000,38204000,38204000,38204000,38204000,38204000,4804000,57937000,-17638000,83307000,-14497000,-6742000,-21239000,2755000,2755000,-2881000,59187000,59187000,59187000,56425000,9444000,0.15718,0.11633,0.12167,0.11862,1.04597
"46","2022_Q1",19.531935483871,"Up",451140000,-321579000,-99311000,-222268000,116644000,1377000,1441000,-64000,118021000,118021000,95166000,95166000,95166000,95166000,95166000,1931000,26282000,-26927000,96452000,-5960000,2905000,-13055000,6065000,6065000,-17994000,65403000,65403000,65403000,118575000,0,0.25855,0.21095,0.29781,0.2957,1.4118
"47","2022_Q2",20.6075806451613,"Up",355980000,-259534000,-102863000,-156671000,83243000,1986000,1822000,164000,85229000,85229000,68573000,68573000,68573000,68573000,68573000,4490000,38042000,36614000,147719000,-5609000,-68930000,-74539000,4891000,4891000,205000,73385000,73385000,73385000,87733000,0,0.23384,0.19263,0.21593,0.21218,1.12096
"48","2022_Q3",19.32109375,"Down",419427000,-322240000,-122759000,-199481000,83706000,4802000,4757000,45000,88508000,88508000,70672000,70672000,70672000,70672000,70672000,4776000,17141000,-61459000,31130000,-12337000,-122805000,-135142000,10900000,10900000,4422000,-99590000,-99590000,-99590000,88482000,0,0.19957,0.1685,0.22254,0.21867,1.32075
