"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",47.913125,"Up",111551000,-103240000,8311000,-12271000,-11811000,-460000,-3960000,87000,173000,-6000,-3873000,-3873000,1324000,-2549000,-2549000,-2549000,-2549000,67002000,48015000,70292000,70292000,11223000,4036000,148517000,19228000,59262000,47820000,3292000,100349000,248866000,92443000,2482000,89961000,36372000,36372000,129035000,63514000,52907000,68733000,197768000,1650000,49429000,19000,51098000,51098000,248866000,-2549000,460000,-131000,15176000,12956000,-1199000,-3618000,-857000,-5674000,-912000,-4586000,204000,204000,280000,-5014000,2268000,2268000,2268000,-3500000,5439000,9153000,0.0745,-0.0355,-0.02285,-0.04988,-0.01024,-3.59082,1.15098,3.87037,0.02186,-0.363,-0.363,15.88593,7.27684,1.30347,0.12988,-0.01364,0.07624,-0.35779,17.58943,15.54621
"12","2013_Q3",55.42375,"Up",128798000,-105072000,23726000,-1.5e+07,-14494000,-506000,8726000,110000,172000,1000,8836000,8836000,-2950000,5886000,5886000,5886000,5886000,14196000,8847000,80852000,80852000,8343000,2985000,103391000,19933000,123111000,47820000,67114000,157938000,261329000,90281000,2810000,87471000,39054000,39054000,129555000,68505000,57898000,73668000,203223000,3737000,54393000,-24000,58106000,58106000,261329000,5886000,506000,-809000,-1109000,4474000,-1211000,20510000,-63866000,-44567000,-922000,-56000,996000,996000,907000,925000,-39168000,-39168000,-39168000,9232000,5383000,9862000,0.18421,0.06775,0.0457,0.1013,0.02252,1.6755,0.79805,3.49745,0.0206,0.83112,0.79821,18.18667,8.20474,1.39254,0.13019,0.05158,0.07472,0.15664,-0.954610000000006,-1.00997
"13","2013_Q4",69.33453125,"Up",147971000,-117785000,30186000,-17329000,-16808000,-521000,12857000,109000,154000,3000,12966000,12966000,-3972000,8994000,8994000,8994000,8994000,42086000,34978000,98717000,98717000,3751000,1444000,144554000,20383000,123068000,47820000,67076000,159799000,304353000,110734000,2721000,108013000,44015000,44015000,154969000,76308000,65701000,81416000,236385000,5528000,62456000,-16000,67968000,67968000,304353000,8994000,521000,-651000,20878000,29742000,-971000,-3243000,33000,-4181000,-931000,-55000.0000000009,660000,660000,896000,570000,26131000,26131000,26131000,13378000,5328000,37257000,0.204,0.08689,0.06078,0.13233,0.02955,4.14243,0.93279,3.47789,0.01751,1.2579,1.21131,20.69524,9.50601,5.21077,0.13021,0.06634,0.24904,0.10351,-2.74765,-2.85899
"14","2014_Q1",63.3595081967213,"Down",148646000,-128368000,20278000,-16876000,-16326000,-550000,3402000,-14000,40000,-7000,3388000,3388000,-45999.9999999995,3342000,3342000,3342000,3342000,113344000,93557000,85586000,85586000,3026000,3026000,201956000,20549000,73703000,47820000,16954000,111366000,313322000,97317000,3252000,92829000,48927000,48927000,146464000,89252000,78465000,94305000,240769000,5853000,66726000,-26000,72553000,72553000,313322000,3342000,550000,-406000,19538000,23024000,-716000,-12716000,50422000,36990000,-1291000,-55000,0,0,-89000.0000000001,-1435000,58579000,58579000,58579000,3952000,5273000,22820000,0.13642,0.02289,0.02248,0.04606,0.01067,6.82825,1.37888,3.31853,0.01683,0.46637,0.43028,20.74323,10.12462,3.18448,0.18016,0.02773,0.13658,0.3863,-27.3459,-31.7669
"15","2014_Q2",43.2519047619048,"Down",135140000,-125834000,9306000,-14953000,-14369000,-584000,-5647000,90000,144000,-10000,-5557000,-5557000,1974000,-3583000,-3583000,-3583000,-3583000,97281000,66268000,95956000,95956000,6217000,4621000,199454000,21779000,73573000,47820000,16817000,133165000,332619000,114793000,2382000,112411000,50498000,50498000,165511000,94020000,83628000,99018000,264529000,6275000,61852000,-37000,68090000,68090000,332619000,-3583000,584000,-92000,10801000,7710000,-1814000,-12002000,-19928000,-33744000,-1291000,-55000,76000,76000,15000,-1255000,-27289000,-27289000,-27289000,-5063000,5218000,1950000,0.06886,-0.04179,-0.02651,-0.05262,-0.01077,-0.54424,1.20508,3.88499,0.01569,-0.49972,-0.49972,18.84798,9.49651,0.27197,0.18006,-0.0137,0.01165,-0.36031,18.18349,16.30299
"16","2014_Q3",46.52140625,"Up",151069000,-121217000,29852000,-18571000,-17958000,-613000,11281000,106000,157000,-7000.00000000001,11387000,11387000,-4104000,7283000,7283000,7283000,7283000,79902000,47869000,104008000,104008000,5283000,5283000,189193000,21786000,81686000,47820000,24922000,148765000,337958000,111548000,2435000,106791000,51787000,51787000,163555000,95796000,85404000,100739000,264294000,5870000,67844000,-50000,73664000,73664000,337958000,7283000,613000,245000.000000001,-7140000,1001000,-620000,-4972000,-11717000,-17309000,-1291000,-55000,-854000,137000,109000,-2091000,-18399000,-18399000,-18399000,11894000,5163000,8238000,0.19761,0.0746700000000001,0.04821,0.09887,0.02155,1.13113,1.15675,3.58783,0.01528,1.01534,1.01534,21.06078,10.26962,1.14847,0.17998,0.0491,0.04718,0.17726,-6.28376,-6.62521
"17","2014_Q4",25.48703125,"Down",174959000,-217741000,-42782000,-21859000,-21213000,-646000,-64641000,290000,155000,178000,-64351000,-64351000,26533000,-37818000,-37818000,-37818000,-37818000,86745000,51985000,129761000,129761000,17519000,4966000,234025000,22576000,89828000,47820000,24779000,172209000,406234000,137467000,2839000,134628000,62190000,62190000,199877000,167077000,162104000,171965000,371842000,5677000,28733000,-18000,34392000,34392000,406234000,-37818000,646000,-13531000,75509000,24806000,-1436000,-8073000,-9125000,-18634000,-1293000,-54999.9999999981,-634000,25000,-74000,-2056000,4116000,4116000,4116000,-63995000,5108000,-16455000,-0.24453,-0.36946,-0.21615,-1.09962,-0.09309,0.43511,1.17085,10.81187,0.01257,-5.26933,-5.09128,24.37773,4.79197,-2.29274,0.18016,-0.17681,-0.07966,-0.03419,1.27568,1.26293
"18","2015_Q1",31.543606557377,"Up",175187000,-138158000,37029000,-21188000,-20525000,-663000,15841000,36000,87000,-9000,15877000,15877000,-7305000,8572000,8572000,8572000,8572000,41501000,11544000,102627000,102627000,19536000,3813000,163664000,22675000,186599000,47820000,119641000,288737000,452401000,124786000,2719000,122067000,75296000,75296000,225302000,174446000,165889000,194279000,419581000,4481000,28362000,-23000,32820000,32820000,452401000,8572000,663000,4710000,22134000,36079000,-762000,-145999.999999998,-111880000,-112788000,-1568000,39945000,-1830000,196000,-279000,36268000,-40441000,-40441000,-40441000,16504000,45053000,45181000,0.21137,0.09042,0.04893,0.26118,0.01895,5.27077,0.72642,12.78431,0.09959,1.20393,1.24793,24.60492,4.60955,6.34565,0.22022,0.0401900000000001,0.17906,0.18292,0.215220000000003,0.224229999999998
"19","2015_Q2",35.3046031746032,"Up",166400000,-157469000,8931000,-17653000,-16970000,-683000,-8722000,-447000,87000,-14000,-9169000,-9169000,3341000,-5828000,-5828000,-5828000,-5828000,36875000,15205000,130376000,130376000,32777000,6658000,200028000,22648000,182878000,47820000,119295000,290076000,490104000,159792000,3500000,156292000,77751000,77751000,262763000,175478000,167319000,195256000,458019000,5236000,26828000,21000,32085000,32085000,490104000,-5828000,683000,606000,10042000,5503000,-657000,23197000,-28740000,-6200000,-1569000,5717000,195000,195000,15000,4358000,3661000,3661000,3661000,-8039000,44998000,-1995000,0.05367,-0.05242,-0.03502,-0.18164,-0.01189,0.34231,0.76125,14.27518,0.09181,-0.81682,-0.81682,23.32165,4.49685,-0.27961,0.2199,-0.01686,-0.0079,-0.26922,-1.01045,-0.93132
"20","2015_Q3",33.17328125,"Down",181959000,-145481000,36478000,-22138000,-21429000,-709000,14340000,-398000,229000,-65000,13942000,13942000,-5040000,8902000,8902000,8902000,8902000,4439000,4439000,137862000,137862000,61784000,5689000,204085000,22648000,156754000,47820000,93160000,287278000,491363000,148542000,2419000,146123000,81827000,81827000,257589000,178800000,170641000,193523000,451112000,6245000,34002000,4000.00000000001,40251000,40251000,491363000,8902000,709000,465999.999999999,-3007000,7070000,-708000,21685000,-32122000,-11145000,-1572000,-5604000,495000,495000,-10000,-6691000,-10766000,-10766000,-10766000,15049000,41943000,16374000,0.20047,0.07881,0.04892,0.22116,0.01812,1.83936,0.79229,11.20747,0.08536,1.24486,1.21496,25.44525,5.62872,2.28975,0.21983,0.04013,0.06274,0.17659,2.49213,2.61534
"21","2015_Q4",39.073125,"Up",198725000,-155835000,42890000,-26161000,-25440000,-721000,16729000,-216000,254000,-3000,16513000,16513000,-5540000,10973000,10973000,10973000,10973000,-1314667.85730852,3558591.50524207,97099565.6576411,97099565.6576411,92334835.1728291,3304927.82097405,188119732.973162,22587380.4222515,244174304.323903,47820000,177826759.376335,287993094.876231,476112827.849392,117450507.277298,2356640.37997278,115163349.711301,84892853.3123654,84892853.3123654,226147667.53543,191065517.405505,180305423.858824,197755818.36063,423903485.89606,6697062.57050114,45540319.3347285,-28044.0137252241,52209341.953332,52209341.953332,476112827.849392,10973000,721000,606000,26417000,38717000,-538000,-28000,-13430000,-13996000,-1585000,-10279000,-1000,-1000,-414000,-12279000,12442000,12442000,12442000,17450000,0,48869000,0.21583,0.08418,0.05522,0.49073124812947,0.0436019275472913,4.45357,0.832127043492092,7.9127267971691,0.0636569234701606,1.52382,1.49049,27.59686,7.26961972027441,6.78642,0.22011,0.0871904981426726,0.220810183919909,0.14445,1.24075684000212,1.33594172665684
"22","2016_Q1",30.6755737704918,"Down",193757000,-152600000,41157000,-27076000,-26338000,-738000,14081000,-221000,201000,-6000,13860000,13860000,-2413000,11447000,11447000,11447000,11447000,25218000,25218000,90529000,90529000,90321000,3173000,206068000,22820000,261807000,47820000,193046000,290709000,496777000,130726000,3217000,127509000,86834000,86834000,237393000,204833000,191577000,204833000,442226000,7036000,47546000,-31000,54551000,54551000,496777000,11447000,738000,3502000,33654000,49341000,-1093000,-72000.0000000019,-23090000,-24255000,-1584000,-15054000,13000,12999.9999999999,-124000,-16749000,8337000,8337000,8337000,14819000,19833000,49793000,0.21242,0.07267,0.05908,0.20984,0.02304,4.34987,0.86805,8.10665,0.03992,1.58876,1.50857,26.89202,7.57127,6.9109,0.21985,0.04667,0.17833,0.13838,-0.363379999999998,-0.382430000000001
"23","2016_Q2",29.62203125,"Down",190968000,-180581000,10387000,-22653000,-21904000,-749000,-12266000,-8000,248000,4000,-12274000,-12274000,4271000,-8003000,-8003000,-8003000,-8003000,43464000,43464000,163831000,163831000,50089000,5768000,257384000,23439000,83480000,47820000,14742000,308261000,565645000,198608000,3940000,194668000,89931000,89931000,308317000,211676000,198420000,211676000,519993000,7692000,37957000,3000,45652000,45652000,565645000,-8003000,749000,93000,-656000,-7817000,-1368000,-29000,28804000,27407000,-1586000,-55000.0000000019,72000,72000,225000,-1344000,18246000,18246000,18246000,-11517000,19778000,-17812000,0.05439,-0.06423,-0.04191,-0.1753,-0.01415,2.22567,0.8348,11.39037,0.03497,-1.11029,-1.11029,26.4939,6.33352,-2.47114,0.22003,-0.02316,-0.06428,-0.19818,2.05661,1.93103
"24","2016_Q3",40.7375,"Up",203416000,-161163000,42253000,-29259000,-28490000,-769000,12994000,6000,259000,-5000,1.3e+07,1.3e+07,-4478000,8522000,8522000,8522000,8522000,422000,422000,177927000,177927000,53189000,4818000,231538000,23958000,83279000,47820000,14551000,345183000,576721000,195243000,4458000,190714000,96047000,96047000,299011000,219920000,206664000,224422000,523433000,8373000,44892000,23000,53288000,53288000,576721000,8522000,769000,685000,2312000,12288000,-1288000,3771000,-48671000,-46188000,-1587000,-7555000,0,0,0,-9142000,-43042000,-43042000,-43042000,13763000,12223000,19265000,0.20772,0.06388,0.04189,0.15992,0.01478,2.26062,0.77435,9.82272,0.02119,1.18197,1.16294,28.21304,7.39085,2.67198,0.22011,0.03542,0.06749,0.18622,0.85744,0.90819
"25","2016_Q4",48.7869841269841,"Up",225104000,-175545000,49559000,-31263000,-30440000,-823000,18296000,26000,195000,27000,18322000,15017000,-4784000,10233000,10233000,10233000,10233000,27799000,26786000,140074000,140074000,55596000,3637000,223469000,25790000,329683000,47820000,260957000,356336000,579805000,181130000,4520000,171813000,102680000,102680000,284031000,228947000,215691000,233394000,517425000,8821000,53532000,27000,62380000,62380000,579805000,10233000,823000,872000,40893000,52821000,-1177000,488000,-16227000,-16916000,-1593000,-7555000,0,0,-393000,-9541000,26364000,26364000,26364000,19119000,4668000,63619000,0.22016,0.08128,0.04546,0.16404,0.01765,6.21704,0.78678,8.29473,0.00805,1.41281,1.3819,31.07883,8.61245,8.78352,0.21994,0.03995,0.21493,0.15567,-1.20984,-1.26427
"26","2017_Q1",54.3467741935484,"Up",221098000,-177761000,43337000,-33420000,-32508000,-912000,9917000,165000,254000,14000,10082000,9843000,-1796000,8047000,8047000,8047000,8047000,56443000,50768000,126484000,126484000,52456000,3899000,235383000,26673000,319190000,47820000,2.62e+08,346505000,581888000,168769000,4944000,160784000,106174000,106174000,275164000,232639000,232639000,237031000,512195000,9710000,59986000,-3000,69693000,69693000,581888000,8047000,912000,-797000,14853000,23015000,-1814000,302000,4139000,2627000,-1593000,-55000,0,0,-12000,-1660000,23982000,23982000,23982000,10829000,4613000,25664000,0.19601,0.04485,0.0364,0.11546,0.01383,3.18926,0.85543,7.3493,0.00793,1.111,1.06287,30.52575,9.62212,3.54328,0.21994,0.03141,0.08361,0.19796,-4.78622,-5.22638
"27","2017_Q2",52.1230158730159,"Down",209997000,-199547000,10450000,-27552000,-26610000,-942000,-17102000,75000,158000,-7557.15567236848,-17027000,-17027000,5800000,-11227000,-11227000,-11227000,-11227000,19402000,18429000,139277000,139277000,60986000,6830000,219665000,26633000,350786000,47820000,293582000,377752000,597417000,183525000,3509000,180016000,109685000,109685000,297767000,242105000,242105000,242105000,539872000,10622000,46946000,-23000,57545000,57545000,597417000,-11227000,942000,882000,8545000,-858000,-902000,5011000,-97498000,-93389000,-1813000,-56000,97000,97000,-68000,-1840000,-96087000,-96087000,-96087000,-16160000,4557000,-14317000,0.04976,-0.08144,-0.05346,-0.1951,-0.01879,1.27523,0.73771,9.38174,0.00763,-1.54877,-1.54877,28.9691,7.93834,-1.97503,0.2501,-0.03095,-0.04706,-0.16149,0.91863,0.86803
"28","2017_Q3",49.6519047619048,"Down",225574000,-181360000,44214000,-29045000,-28060000,-985000,15169000,1326000,1392000,-4000,16495000,16495000,-5369000,11126000,11126000,11126000,11126000,18830000,17865000,147141000,147141000,96098000,8582000,262069000,27035000,320105000,47820000,262993000,347730000,609799000,179992000,4945000,174873000,114515000,114515000,294728000,242945000,242945000,247208000,541936000,11493000,56260000,110000,67863000,67863000,609799000,11126000,985000,814000,2083000,15008000,-1387000,-249000,-143666000,-145302000,-1812000,-73000,48000,48000,-65999.9999999999,-1903000,-132197000,-132197000,-132197000,16154000,4484000,22219000,0.19601,0.06725,0.04932,0.16395,0.01825,1.99703,0.88919,7.98574,0.00735,1.53377,1.47364,31.0965,9.35525,3.063,0.24979,0.04103,0.07047,0.16286,-0.88808,-0.945740000000001
"29","2017_Q4",57.5334920634921,"Up",240135000,-185218000,54917000,-34987000,-33925000,-1062000,19930000,1514000,1534000,32000,21444000,21444000,-6659000,14785000,14785000,14785000,14785000,36366000,35570000,156368000,156368000,97286000,6605000,290020000,26296000,341723000,47820000,284662000,369210000,659230000,200488000,4033000,189674000,117160000,117160000,317869000,256473000,256473000,260699000,578568000,11256000,69221000,185000,80662000,80662000,659230000,14785000,1062000,1292000,29238000,46377000,-323000,-432000,-69477000,-70232000,-1824000,-37000,3000,3000,-1532000,-3390000,-27245000,-27245000,-27245000,20992000,4447000,56566000,0.22869,0.08299,0.06157,0.1833,0.02243,3.8259,0.91239,7.17275,0.00675,2.02645,1.96426,32.91324,11.05565,7.75302,0.25,0.04862,0.1656,0.12337,-1.52053,-1.60156
