"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",24.11109375,"Down",359808000,-262494000,97314000,-89164000,-84101000,-5063000,8150000,-240000,-240000,7910000,7910000,-3288000,4622000,4622000,4622000,4622000,103436000,103436000,41691000,27904000,27904000,173031000,172261000,69641000,12057000,33229000,241902000,414933000,100747000,27568000,53889000,1.13686837721616e-13,100747000,42834000,37673000,37673000,80507000,181254000,40265000,207948000,-14534000,233679000,233679000,414933000,4622000,5063000,-3669000,-1741000,4275000,-4456000,-374000,-4830000,-3006000,-170000,464000,-2584000,-3139000,-3139000,-3139000,13213000,42834000,10304000,0.27046,0.02265,0.01285,0.01978,0.01114,2.22934,1.71748,0.77565,0.10323,0.34232,0.24844,26.6485,17.30699,0.76315,0.22263,0.02428,0.0328,0.65037,-4.58654,-7.43583
"12","2014_Q1",19.8854098360656,"Down",376323000,-274434000,101889000,-90782000,-85433000,-5349000,11107000,-170000,-170000,10937000,10937000,-4734000,6203000,6203000,6203000,6203000,109571000,109571000,41515000,54278000,54278000,205364000,176981000,45067000,12057000,8655000,222048000,427412000,111055000,16999000,74775000,10000,111065000,42738000,29049000,8987000,71787000,182852000,41918000,211109000,-8467000,244560000,244560000,427412000,6203000,5349000,-2253000,6943000,16242000,-7355000,-384000,-7739000,-3042000,-179000,680000,-2368000,6135000,6135000,6135000,16456000,42748000,20778000,0.27075,0.02951,0.01648,0.02536,0.01451,3.34967,1.84904,0.74768,0.10002,0.45846,0.33661,27.81397,18.07539,1.5357,0.22483,0.02922,0.06568,0.49041,-4.06071,-6.0163
"13","2014_Q2",17.1615873015873,"Down",357046000,-263340000,93706000,-87457000,-82352000,-5105000,6249000,-44000,-44000,6205000,6205000,-13036000,-6831000,-6831000,-6831000,-6831000,87460000,87460000,42329000,43401000,43401000,173190000,191020000,68282000,12057000,31213000,259302000,432492000,124398000,30930000,56508000,75000,124473000,42567000,29621000,29621000,72188000,196661000,42981000,201198000,-8348000,235831000,235831000,432492000,-6831000,5105000,-7929000,7440000,-2215000,-16520000,-396000,-16916000,-3080000,-163000,217000,-2980000,-22111000,-22111000,-22111000,11354000,42642000,15310000,0.26245,0.0175,-0.01913,-0.02897,-0.01579,-2.24125,1.39139,0.83391,0.0986,-0.50417,-0.50417,26.3522,17.40579,1.12997,0.22732,-0.01217,0.04969,-0.45089,-3.94733,-7.17203
"14","2014_Q3",16.5153125,"Down",392241000,-286883000,105358000,-99501000,-94085000,-5416000,5857000,-363000,-363000,5494000,5494000,-2675000,2819000,2819000,2819000,2819000,103743000,103743000,44948000,32928000,32928000,181619000,194332000,6.9e+07,12057000,31931000,263332000,444951000,133492000,30450000,64205000,122000,133614000,42350000,32490000,32490000,74840000,208454000,43794000,200933000,-8230000,236497000,236497000,444951000,2819000,5416000,10252000,14816000,33303000,-12718000,-402000,-13120000,-3084000,-816000,1.16415321826935e-10,-3900000,16283000,16283000,16283000,11273000,42472000,16046000,0.26861,0.01493,0.00719,0.01192,0.00634,5.69209,1.35928,0.88142,0.09545,0.20791,0.20791,28.92846,17.44207,1.18342,0.22745,0.01895,0.05152,1.094,-5.4352,-10.46116
"15","2014_Q4",18.24796875,"Up",372511000,-272074000,100437000,-94040000,-88523000,-5517000,6397000,-258000,-258000,6139000,6139000,-2952000,3187000,3187000,3187000,3187000,73394000,73394000,44879000,35044000,35044000,153317000,201517000,86024000,12057000,48955000,287541000,440858000,131225000,31868000,60109000,170000,131395000,42141000,32395000,32395000,74536000,205931000,42054000,200984000,-8111000,234927000,234927000,440858000,3187000,5517000,-3923000,-24000,4757000,-12197000,-16978000,-29175000,-3137000,-225000,-2569000,-5931000,-30349000,-30349000,-30349000,11914000,42311000,2645000,0.26962,0.01717,0.00856,0.01357,0.00723,0.82993,1.16684,0.87657,0.09597,0.23353,0.23353,27.29618,17.21455,0.19382,0.22987,0.02042,0.00854,0.98431,-2.60895,-4.859
"16","2015_Q1",20.9998360655738,"Up",396838000,-287841000,108997000,-97672000,-91436000,-6236000,11325000,-315000,-315000,11010000,11010000,-5140000,5870000,5870000,5870000,5870000,77352000,77352000,44694000,40740000,28663000,162786000,206720000,87906000,12057000,50837000,294626000,457412000,145773000,18154000,83232000,231000,146004000,45242000,33030000,9154000,78272000,224276000,47764000,203722000,-12465000,233136000,233136000,457412000,5870000,6236000,-4548000,9044000,16602000,-8887000,-400999.999999998,-9288000,-3131000,-225000,0,-3356000,3958000,3958000,3958000,17561000,45473000,22858000,0.27466,0.02854,0.01479,0.02518,0.01283,3.89404,1.11494,0.962,0.09941,0.4262,0.18625,28.81275,16.92703,1.65962,0.22733,0.02888,0.07335,0.53339,-1.81533,-2.81492
"17","2015_Q2",23.7319047619048,"Up",379744000,-276941000,102803000,-94891000,-88988000,-5903000,7912000,-518000,-518000,7394000,7394000,-3515000,3879000,3879000,3879000,3879000,69262000,69262000,45227000,43972000,31424000,158461000,204285000,88107000,12057000,50300000,292392000,450853000,136857000,13103000,77695000,358000,137215000,45106000,33649000,9073000,78755000,215970000,48563000,204468000,-12274000,234883000,234883000,450853000,3879000,5903000,-4212000,-5519000,51000,-4386000,-410000,-4796000,-3133000,-232000,13000,-3345000,-8090000,-8090000,-8090000,13815000,45464000,7425000,0.27072,0.02084,0.01021,0.01651,0.0086,1.91415,1.15484,0.91948,0.10084,0.2817,0.21372,27.57763,17.05759,0.53922,0.22752,0.02233,0.02365,0.80768,-1.72262,-3.00784
"18","2015_Q3",21.0490625,"Down",411191000,-300065000,111126000,-98465000,-92471000,-5994000,12661000,-528000,-528000,12133000,12133000,-5531000,6602000,6602000,6602000,6602000,94762000,94762000,46248000,34509000,21342000,175519000,205126000,87167000,12057000,49360000,292293000,467812000,149114000,18351000,82672000,448000,149562000,44881000,34032000,8755000,78913000,228475000,49356000,207937000,-12082000,239337000,239337000,467812000,6602000,5994000,13401000,9572000,35569000,-5537000,-413000,-5950000,-3133000,-986000,0,-4119000,25500000,25500000,25500000,18655000,45329000,28221000,0.27025,0.03079,0.01606,0.02758,0.01411,4.27461,1.17355,0.95462,0.0969,0.47945,0.36363,29.86137,17.38105,2.04946,0.22752,0.03055,0.08855,0.47455,-2.64985,-3.90435
"19","2015_Q4",19.1428125,"Down",387100000,-280002000,107098000,-96524000,-90848000,-5676000,10574000,-529000,-529000,10045000,10045000,3162000,13207000,13207000,13207000,13207000,58579000,58579000,45552000,28946000,21288000,133077000,206945000,87390000,12057000,49583000,294335000,427412000,94686000,19198000,75488000,458000,95144000,44651000,34588000,8565000,79239000,174383000,51365000,217998000,-11891000,253029000,253029000,427412000,13207000,5676000,13123000,-60102000,-28096000,-7341000,0,-7341000,-3146000,-246000,2379000,-746000,-36183000,-36183000,-36183000,16250000,45109000,-54355000,0.27667,0.02732,0.03412,0.0522,0.0309,-4.11562,1.39869,0.68918,0.10554,0.9562,0.72252,28.02635,18.3195,-3.93535,0.22777,0.04915,-0.16336,0.23821,-0.82892,-1.27388
"20","2016_Q1",18.7360655737705,"Down",405754000,-293666000,112088000,-99704000,-93947000,-5757000,12384000,-561000,-561000,11823000,11823000,-4891000,6932000,6932000,6932000,6932000,59040000,59040000,45772000,31099000,27182000,135911000,206594000,89384000,12057000,51577000,295978000,431889000,93682000,19033000,73884000,469000,94151000,44425000,40546000,8314000,84971000,179122000,52319000,221765000,-16874000,252767000,252767000,431889000,6932000,5757000,-4086000,1341000,9944000,-6253000,-7.27595761418343e-12,-6253000,-3165000,-227000,0,-3230000,461000.000000015,461000.000000015,461000.000000015,18141000,44894000,18120000,0.27625,0.03052,0.01708,0.02742,0.01605,2.61396,1.44354,0.70864,0.10395,0.49885,0.37948,29.19934,18.18991,1.30397,0.22776,0.02985,0.05358,0.45658,-0.77978,-1.14228
"21","2016_Q2",20.01,"Up",389529000,-284042000,105487000,-97296000,-91338000,-5958000,8191000,-565000,-565000,7626000,7626000,-3196000,4430000,4430000,4430000,4430000,56150000,56150000,46831000,34731000,34170000,137712000,203866000,92968000,12057000,54444000,296834000,434546000,93972000,19854000,72597000,480000,94452000,44197000,41330000,8107000,85527000,179979000,53059000,223031000,-16590000,254567000,254567000,434546000,4430000,5958000,-4730000,-243000,5415000,-4428000,0,-4428000,-3164000,-223000,-490000,-3877000,-2890000,-2890000,-2890000,14149000,44677000,12674000,0.27081,0.02103,0.01137,0.0174,0.01019,2.86095,1.45801,0.707,0.10281,0.3188,0.24314,28.03174,18.31944,0.91206,0.22769,0.0223,0.03721,0.71422,-0.81087,-1.40068
"22","2016_Q3",23.96671875,"Up",420170000,-307445000,112725000,-101303000,-95243000,-6060000,11422000,-559000,-559000,10863000,10863000,-4579000,6284000,6284000,6284000,6284000,79768000,79768000,43379000,24680000,22896000,147827000,203141000,92267000,12057000,53743000,295408000,443235000,97833000,19830000,77274000,491000,98324000,43977000,42115000,7901000,86092000,184416000,53881000,226151000,-16306000,258819000,258819000,443235000,6284000,6060000,13902000,7080000,33326000,-5230000,-422000,-5652000,-3164000,-943000,51000,-4056000,23618000,23618000,23618000,17482000,44468000,23911000,0.26828,0.02718,0.01496,0.02428,0.01418,3.80506,1.50347,0.71253,0.10033,0.45274,0.34539,30.27161,18.6469,1.72269,0.22795,0.02735,0.06923,0.5035,-2.01922,-3.09053
"23","2016_Q4",25.214126984127,"Up",387904000,-281166000,106738000,-96673000,-90851000,-5822000,10065000,-463000,-463000,9602000,9602000,-3720000,5882000,5882000,5882000,5882000,80178000,80178000,43168000,22872000,22872000,146218000,200836000,88747000,12057000,50223000,289583000,435801000,91537000,18709000,71625000,503000,92040000,43773000,31165000,7702000,74938000,166978000,54679000,228885000,-9346000,268823000,268823000,435801000,5882000,5822000,-3340000,-424000,7940000,-3226000,-444000,-3670000,-3148000,-224000,-488000,-3860000,410000,410000,410000,15887000,44276000,15957000,0.27517,0.02595,0.01516,0.02188,0.0135,2.71285,1.58864,0.62114,0.1016,0.42381,0.32322,27.94899,19.36905,1.14972,0.22682,0.02623,0.04635,0.53519,-2.25984,-3.56701
"24","2017_Q1",22.7698387096774,"Down",437301000,-317221000,120080000,-105430000,-99169000,-6261000,14650000,-402000,-402000,14248000,14248000,-5800000,8448000,8448000,8448000,8448000,88379000,88379000,42011000,29444000,29444000,159834000,201470000,88950000,12057000,50426000,290420000,450254000,98782000,17240000,75840000,514000,99296000,43561000,35662000,8922000,79223000,178519000,55897000,234175000,-13339000,271735000,271735000,450254000,8448000,6261000,-3232000,5943000,17420000,-6168000,-448000,-6616000,-3158000,-235000,762000,-2603000,8201000,8201000,8201000,20911000,44075000,26486000,0.27459,0.0335,0.01932,0.03109,0.01876,3.13518,1.60967,0.65696,0.09789,0.60825,0.46397,31.48542,19.56476,1.90698,0.22737,0.03302,0.07536,0.37382,-2.11869,-3.02416
"25","2017_Q2",20.4833333333333,"Down",389692000,-285044000,104648000,-97194000,-91131000,-6063000,7454000,-429000,-429000,7025000,7025000,-2916000,4109000,4109000,4109000,4109000,65858000,65858000,43235000,63041000,56834000,172134000,202332000,68781000,12057000,29631000,271113000,443247000,89690000,17458000,72110000,527000,90217000,43364000,35492000,8999000,78856000,169073000,56910000,235122000,-13072000,274174000,274174000,443247000,4109000,6063000,-3865000,-18624000,-12317000,-6795000,-459000,-7254000,-3162000,-216000,396000,-2950000,-22521000,-22521000,-22521000,13517000,43891000,-8986000,0.26854,0.01913,0.01054,0.01499,0.00927,-2.18691,1.908,0.61666,0.09902,0.29538,0.22479,28.01323,19.70915,-0.64596,0.2273,0.02057,-0.02542,0.76953,-1.62514,-2.94701
"26","2017_Q3",19.184126984127,"Down",412215000,-300977000,111238000,-100626000,-94393000,-6233000,10612000,-466000,-466000,10146000,10146000,-4154000,5992000,5992000,5992000,5992000,83107000,83107000,43431000,52435000,45730000,178973000,202104000,68905000,12057000,29755000,271009000,449982000,92666000,15633000,76128000,567000,93233000,43140000,34861000,9205000,78001000,171234000,57830000,237946000,-12476000,278748000,278748000,449982000,5992000,6233000,13166000,2072000,27463000,-6218000,-468000,-6686000,-3168000,-827000,416000,-3528000,17249000,17249000,17249000,16845000,43707000,16853000,0.26985,0.02574,0.01454,0.0215,0.01332,2.81258,1.91963,0.6143,0.09713,0.43006,0.32738,29.58552,20.00632,1.20957,0.22737,0.02564,0.04717,0.5287,-2.33897,-3.71278
"27","2017_Q4",19.4493650793651,"Up",391984000,-283647000,108337000,-97598000,-91536000,-6062000,10739000,-385000,-385000,10354000,10354000,-4338000,6016000,6016000,6016000,6016000,80552000,80552000,42805000,49508000,46082000,172865000,202998000,69158000,12057000,30008000,272156000,445021000,87058000,16513000,69652000,609000,87667000,42895000,35866000,10515000,78761000,166428000,57696000,240730000,-12276000,278593000,278593000,445021000,6016000,6062000,-1504000,542000,11116000,-6742000,-489000,-7231000,-3232000,-203000,-3005000,-6440000,-2555000,-2555000,-2555000,16801000,43504000,14939000,0.27638,0.0274,0.01535,0.02159,0.01352,2.48321,1.97184,0.59739,0.09776,0.42935,0.3281,27.97488,19.88246,1.06616,0.23066,0.02584,0.04173,0.53723,-2.20511,-3.44986
"28","2018_Q1",19.5586885245902,"Up",410683000,-298195000,112488000,-100559000,-94435000,-6124000,11929000,-331000,-331000,11598000,11598000,-4794000,6804000,6804000,6804000,6804000,87435000,87435000,41852000,52185000,50443000,181472000,204440000,69313000,12057000,30163000,273753000,455225000,95541000,17279000,77658000,652000,96193000,42646000,29566000,14372000,72212000,168405000,58551000,244308000,-7406000,286820000,286820000,455225000,6804000,6124000,-1966000,8929000,19891000,-7971000,-529000,-8500000,-3226000,-206000,-1076000,-4508000,6883000,6883000,6883000,18053000,43298000,23805000,0.2739,0.02905,0.01657,0.02372,0.01495,3.49868,1.88654,0.58715,0.09511,0.4842,0.37071,29.22595,20.41133,1.69406,0.22958,0.02789,0.06618,0.47413,-2.44486,-3.69997
"29","2018_Q2",23.136875,"Up",387340000,-282548000,104792000,-99440000,-93205000,-6235000,5352000,-205000,-205000,5147000,5147000,-2131000,3016000,3016000,3016000,3016000,74591000,74591000,42471000,35215000,35109000,152277000,204147000,92484000,12057000,53334000,296631000,448908000,89401000,15413000,72882000,696000,90097000,42393000,29005000,14447000,71398000,161495000,59416000,244106000,-7322000,287413000,287413000,448908000,3016000,6235000,-3639000,-7841000,-2229000,-6613000,-420000,-7033000,-3218000,-210000,-154000,-3582000,-12844000,-12844000,-12844000,11587000,43089000,-736000,0.27054,0.01382,0.00779,0.01049,0.00672,-0.24403,1.69015,0.56189,0.09599,0.21503,0.16454,27.61586,20.49144,-0.05247,0.22943,0.01734,-0.00205000000000001,1.06698,-2.71874,-5.88602
"30","2018_Q3",23.8393650793651,"Up",416516000,-305143000,111373000,-101539000,-95153000,-6386000,9834000,-238000,-238000,9596000,9596000,-84000,9512000,9512000,9512000,9512000,89738000,89738000,42346000,25947000,23274000,158031000,205401000,104455000,12057000,65305000,309856000,467887000,97429000,16401000,80206000,714000,98143000,48736000,26824000,12393000,75560000,173703000,60272000,250397000,-7220000,294184000,294184000,467887000,9512000,6386000,10944000,3811000,30653000,-6102000,-5466000,-11568000,-3221000,6621000,-478000,2625000,21710000,21710000,21710000,16220000,49450000,14013000,0.26739,0.02361,0.02284,0.03233,0.02033,1.47319,1.61021,0.59046,0.10569,0.67856,0.51916,29.71294,20.98616,0.99964,0.22978,0.03437,0.03783,0.33862,-2.48385,-4.09681
"31","2018_Q4",21.8366666666667,"Down",394608000,-285731000,108877000,-99863000,-93780000,-6083000,9014000,-121000,-121000,8893000,8893000,-2351000,6542000,6542000,6542000,6542000,79916000,79916000,41246000,51443000,48912000,172605000,210502000,81216000,12057000,42066000,291718000,464323000,94394000,18531000,74872000,731000,95125000,48457000,22339000,14033000,70796000,165921000,61066000,253722000,-7121000,298402000,298402000,464323000,6542000,6083000,-945000,-8381000,3299000,-9038000,-652000,-9690000,-3217000,-246000,0,-3463000,-9854000,-9854000,-9854000,15097000,49188000,29000,0.27591,0.02284,0.01658,0.02192,0.01409,0.00443,1.81451,0.55603,0.10593,0.46685,0.35715,28.16014,21.29465,0.00207,0.22957,0.02638,7.99999999999967e-05,0.49175,-2.03537,-3.40892
