"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","accounts_notes_receivable","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",13.4946875,"Up",280539000,67261000,74604000,-7343000,213278000,127596000,63673000,267534000,-214991000,-10803000,-204188000,52543000,52543000,52543000,-19170000,33373000,33373000,33073000,32370000,588838000,1207274000,212757000,111894000,75052000,251808000,271544000,7216910000,140747000,245118000,6038325000,1305606000,-250838000,8973000,1177809000,1178585000,7216910000,33373000,-9548000,-7067000,130217000,159980000,-1161000,-155748000,-192079000,-85086000,-117185000,-117185000,-117185000,42995000,1034769000,191221000,0.18729,0.11539,0.02747,0.00449,5.90735,5.12337,0.14338,0.38773,0.38654,3.36027,12.7414,2.29043,0.00449,0.0265,10.37169,8.48697
"12","2013_Q3",15.26328125,"Up",307658000,68425000,76168000,-7743000,239233000,142531000,70738000,296369000,-260400000,-11627000,-248773000,35969000,35969000,35969000,-13309000,22660000,22660000,22092000,20943000,596351000,1106379000,234998000,110937000,72345000,251808000,357322000,7402803000,139938000,277099000,6231003000,1303958000,-227784000,-19347000,1170895000,1171800000,7402803000,22660000,-8484000,-4461000,-166339000,-145335000,-5397000,28247000,-14226000,176339000,16778000,16778000,16778000,27485000,1457435000,-130942000,0.11691,0.06807,0.01787,0.00283,-6.2523,5.31746,0.19688,0.25084,0.23194,3.68497,12.65813,-1.56836,0.00292,-0.01769,31.32923,23.93961
"13","2013_Q4",18.485625,"Up",274426000,71916000,79702000,-7786000,202510000,106479000,73721000,263768000,-216592000,-11739000,-204853000,47176000,47176000,59761000,-20115000,39646000,39646000,39307000,38174000,976188000,1322635000,159642000,187857000,75942000,251808000,658999000,9093592000,140111000,296246000,7887239000,1303465000,-194820000,-17238000,1205475000,1206353000,9093592000,39646000,-6756000,-13622000,417686000,447612000,-6065000,84091000,464197000,-521588000,390221000,390221000,390221000,40420000,654831000,472156000,0.17191,0.1391,0.03164,0.0042,12.36852,6.53809,0.07201,0.45721,0.422,3.28681,13.07184,5.65504,0.00432,0.05192,-7.95045,-6.81187
"14","2014_Q1",21.5727868852459,"Up",271078000,88599000,98601000,-10002000,182479000,85862000,73807000,268872000,-219752000,-12120000,-207632000,49120000,49120000,49120000,-18090000,31030000,31030000,30870000,29528000,713099000,1261989000,144914000,200706000,70921000,251808000,652009000,8904122000,56327000,274178000,7592200000,1389543000,-157607000,-34863000,1311141000,1311922000,8904122000,31030000,-29006000,23457000,-93239000.0000001,-65552000,790000,52302000,-33975000,-170724000,-270251000,-270251000,-270251000,20114000,595104000,-54245000.0000001,0.1812,0.10893,0.02251,0.00332,-1.83707,5.78708,0.06683,0.33918,0.30496,3.11376,13.75029,-0.623089999999999,0.00344,-0.00609000000000003,-5.86631,-2.40218
"15","2014_Q2",19.8766666666667,"Down",255521000,85421000,91828000,-6407000,170100000,79111000,69654000,252279000,-212629000,-11687000,-200942000,39650000,39650000,39650000,-14354000,25296000,25296000,25186000,23760000,889950000,1329690000,200676000,202155000,68108000,251808000,654301000,9033432000,55465000,239272000,7678219000,1388904000,-132421000,-16054000,1354497000,1355213000,9033432000,25296000,-20615000,4878000,141528000,154329000,6003000,-45162000,-39415000,56473000,171387000,171387000,171387000,19035000,775771000,180920000,0.15517,0.09299,0.01753,0.00263,7.61448,5.66569,0.08588,0.26486,0.2623,2.8484,13.82756,2.01679,0.00278,0.02003,-5.99837,-2.87967
"16","2014_Q3",18.77296875,"Down",301727000,98446000,104408000,-5962000,203281000,106054000,74963000,296194000,-251212000,-11652000,-239560000,44982000,44982000,44982000,-16294000,28688000,28688000,28511000,27085000,673972000,1328716000,218721000,201545000,65305000,251808000,711391000,9396448000,55584000,306296000,7999286000,1388785000,-103910000,-2501000,1396442000,1397162000,9396448000,28688000,-27997000,-36000,-452264000,-446076000,12463000,30176000,80007000,137444000,-228625000,-228625000,-228625000,16985000,1537680000,-406522000,0.14908,0.08977,0.01939,0.00288,-15.00912,5.72538,0.16364,0.30192,0.29906,3.3634,14.29482,-4.53156,0.00303,-0.04326,50.85122,19.20119
"17","2014_Q4",18.650625,"Down",297895000,85760000,93217000,-7457000,212135000,108621000,79459000,293862000,-254744000,-11571000,-243173000,39118000,39118000,39118000,-14010000,25108000,25108000,24812000,23386000,635933000,1332342000,250834000,205734000,62509000,251808000,679444000,9180402000,55684000,307861000,7756658000,1391732000,-79098000,-3727000,1422975000,1423744000,9180402000,25108000,-14755000,1576000,225777000,241739000,4050000,-1407000,43483000,-326419000,-41197000,-41197000,-41197000,24363000,1212515000,268200000,0.13131,0.0785,0.01643,0.00255,11.4684,5.44807,0.13208,0.26068,0.25824,3.32061,14.59026,2.9896,0.0027,0.02921,23.6663,14.73956
"18","2015_Q1",17.257868852459,"Down",305309000,91514000,99316000,-7802000,213795000,96575000,8.3e+07,301184000,-246768000,-12032000,-234736000,54416000,54416000,54416000,-20950000,33466000,33466000,33141000,31716000,782473000,1109461000,167884000,206991000,59783000,251808000,802257000,9242416000,56684000,345803000,7781177000,1391690000,-45957000,651000,1460452000,1461239000,9242416000,33466000,-19912000,-35185000,-23906000.0000001,-41412000,3698000,164086000,175749000,31150000,165487000,165487000,165487000,34504000,1065482000,35246000,0.17823,0.10388,0.0217,0.00343,1.1113,5.32505,0.11528,0.35353,0.35014,3.40317,15.00768,0.392880000000001,0.00359,0.00381,8.20221,5.20084
"19","2015_Q2",19.5455555555556,"Up",364949000,93392000,107669000,-14277000,271557000,124948000,78769000,362262000,-314476000,-11674000,-302802000,47786000,47786000,129075000,-15420000,113655000,113655000,113302000,111876000,694108000,1363157000,2222517000,215684000,67952000,251808000,1104760000,12562894000,108682000,385607000,10780575000,1593588000,67445000,6342000,1781443000,1782319000,12562894000,113655000,-14486000,-88237000,-132263000,-118644000,26253000,453598000,522912000,-508810000,-104542000,-104542000,-104542000,33300000,3265691000,-57290000,0.13094,0.30655,0.06277,0.00891,-0.51208,6.04862,0.25995,1.12167,1.11179,3.65897,16.71705,-0.57439,0.00902,-0.00456,77.22471,53.81457
"20","2015_Q3",19.419375,"Down",402067000,100667000,115662000,-14995000,301400000,147175000,83347000,401909000,-353317000,-11740000,-341577000,48592000,48592000,48592000,-18137000,30455000,30455000,30050000,29622000,583043000,1341852000,2070770000,206411000,61778000,251808000,1052168000,12477198000,245420000,409904000,10802566000,1583650000,90376000,-513000.000000002,1673513000,1674632000,12477198000,30455000,-21820000,-782000,57295000,65306000,30120000,-44967000,-54976000,-113006000,-102676000,-102676000,-102676000,26772000,3596225000,132324000,0.12086,0.0736700000000001,0.01769,0.00237,4.46709,6.45071,0.28822,0.29775,0.29508,4.04148,16.82176,1.33009,0.00252,0.01061,112.54975,62.00984
"21","2015_Q4",18.92125,"Down",411680000,115211000,130545000,-15334000,296469000,137303000,92429000,406087000,-333502000,-11784000,-321718000,72585000,72585000,72585000,-25338000,47247000,47247000,46894000,46894000,526692000,1323866000,2111864000,204273000,58916000,251808000,1072093000,12389456000,243556000,428442000,10672628000,1575758000,134748000,5184000,1715690000,1716828000,12389456000,47247000,-31251000,14786000,15317000,51692000,14897000,52891000,113688000,-219684000,-54304000,-54304000,-54304000,41334000,3423437000,96886000,0.17631,0.11391,0.02731,0.00378,2.06606,6.21648,0.27632,0.47529,0.47102,4.1725,17.38904,0.98197,0.00378,0.00782,70.08141,39.90831
"22","2016_Q1",15.317868852459,"Down",376240000,99313000,115962000,-16649000,276927000,109677000,96113000,371963000,-338721000,-71909000,-266812000,33242000,33242000,33242000,-12020000,21222000,21222000,20727000,20727000,652036000,1219874000,1362499000,200618000,54868000,251808000,927587000,11867001000,238716000,454743000,10128876000,1578259000,155475000,3220000,1736954000,1738125000,11867001000,21222000,-15803000,5917000,21770000,37383000,8382000,21973000,-139335000,219844000,117892000,117892000,117892000,17439000,2721450000,59611000,0.08835,0.05509,0.01192,0.00175,2.87601,5.82747,0.22933,0.21063,0.20878,3.82338,17.65107,0.60577,0.00177,0.00502,118.66586,62.25299
"23","2016_Q2",18.1059375,"Up",371215000,93840000,108154000,-14314000,277375000,127343000,87896000,367808000,-325189000,-11252000,-313937000,42619000,42619000,42619000,-14423000,28196000,28196000,27567000,27567000,512103000,1345231000,1370622000,198414000,52274000,251808000,881307000,11731928000,232190000,405899000,9971917000,1568136000,183042000,7470000,1758648000,1760011000,11731928000,28196000,-11830000,448000,-10336000,9885000,12120000,34785000,-174093000,22272000,-141936000,-141936000,-141936000,30789000,2581843000,46996000,0.11481,0.07426,0.01566,0.00235,1.70479,5.66583,0.22007,0.28086,0.27939,3.782,17.91741,0.4788,0.00235,0.00401,67.22336,48.56379
"24","2016_Q3",20.06015625,"Up",446402000,100397000,114202000,-13805000,346005000,166966000,109243000,417526000,-367365000,-11316000,-356049000,50161000,50161000,50161000,-18439000,31722000,31722000,31074000,31074000,583984000,1177645000,2257480000,189511000,49690000,251808000,1094652000,13077902000,319636000,464904000,11281456000,1569038000,214116000,9373000,1792527000,1796446000,13077902000,31722000,-14856000,1973000,-432711000,-384996000,19975000,106608000,72434000,398714000,86152000.0000001,86152000.0000001,86152000.0000001,35305000,3689739000,-358992000,0.11237,0.06961,0.0173,0.00238,-11.55281,6.27987,0.28214,0.31561,0.31525,4.53398,18.20619,-3.64618,0.00238,-0.02745,87.96927,61.91573
"25","2016_Q4",24.1498412698413,"Up",453628000,99170000,115263000,-16093000,354458000,175412000,108195000,449638000,-364133000,-11064000,-353069000,85505000,85505000,85505000,-33017000,52488000,52488000,51932000,51932000,528519000,1331758000,1340617000,190645000,47112000,251808000,966984000,12423276000,313313000,481504000,10573908000,1571010000,266048000,8630000,1845688000,1849368000,12423276000,52488000,-10930000,2457000,86532000,134537000,-4724000,-59278000,-261204000,81944000,-44723000,-44723000,-44723000,74575000,3061819000,189400000,0.18849,0.11448,0.02808,0.00418,3.64708,5.71758,0.24646,0.52728,0.52733,4.60578,18.73966,1.92302,0.00418,0.01525,33.96983,29.62751
"26","2017_Q1",25.4411290322581,"Up",413251000,104124000,118335000,-14211000,309127000,137270000,100742000,408904000,-355784000,-94544000,-261240000,53120000,53120000,53120000,-17582000,35538000,35538000,35321000,35321000,669357000,1215372000,1497741000,190361000,44695000,251808000,917401000,12738062000,317912000,496501000,10863542000,1573862000,295568000,1079000,1870509000,1874520000,12738062000,35538000,-12149000,-14568000,66438000.0000001,79605999.9999999,3720000,-32706000,-130698000,195298000,144206000,144206000,144206000,40971000,3303230000,128711000,0.12854,0.08547,0.01884,0.00277,3.64404,5.79537,0.25932,0.35853,0.35751,4.1948,18.98705,1.30651,0.00323,0.0101,64.28628,49.58345
"27","2017_Q2",24.187619047619,"Down",363539000,92100000,108241000,-16141000,271439000,124150000,86030000,361834000,-320492000,-25045000,-295447000,41342000,41342000,41342000,-15035000,26307000,26307000,26434000,26434000,545928000,1466203000,1574031000,184091000,42601000,251808000,843263000,12338427000,324701000,392025000,10449118000,1571313000,313197000,1490000,1.886e+09,1889309000,12338427000,26307000,-1031000,1531000,320804000,349316000,6487000,-143388000,-44046000,-425702000,-120432000,-120432000,-120432000,40311000,2727231000,382637000,0.11372,0.07271,0.01399,0.00214,14.47518,5.53066,0.22104,0.26853,0.26767,3.69296,19.15868,3.88697,0.00261,0.03101,54.11186,52.7624
"28","2017_Q3",22.9734920634921,"Down",460668000,115976000,136306000,-20330000,344692000,153688000,127663000,454815000,-366251000,-26696000,-339555000,88564000,88564000,88564000,-25754000,62810000,62810000,62476000,62476000,405938000,1594538000,1552525000,183994000,40516000,251808000,868541000,13288573000,300283000,393351000,11395520000,1530866000,356564000,2709000,1890139000,1893053000,13288573000,62810000,-13405000,1070000,-867003000,-810675000,-2187000,-29139000,-311848000,958517000,-164006000,-164006000,-164006000,75159000,3427547000,-768277000,0.19225,0.13562,0.033,0.0047,-12.29715,6.01965,0.25793,0.63654,0.63495,4.69356,19.25785,-7.82766,0.00514,-0.05781,40.20289,34.1178
"29","2017_Q4",22.4868253968254,"Down",403457000,104980000,128944000,-23964000,298477000,138498000,95624000,402197000,-353842000,-25560000,-328282000,48355000,48355000,48355000,-18003000,30352000,30352000,30206000,30206000,354569000,1809984000,1672123000,176281000,38440000,251808000,876917000,13532800000,300196000,424381000,11623444000,1526128000,376873000,3184000,1906185000,1909356000,13532800000,30352000,3136000,3398000,-58819000,-20673000,2940000,-10823000,-12038000,7697000,-25014000,-25014000,-25014000,51491000,3535616000,13615000,0.11985,0.07487,0.01582,0.00223,0.45074,6.08763,0.26126,0.31441,0.31381,4.19953,19.84121,0.14172,0.00266,0.00101,61.7787,65.78528
"30","2018_Q1",23.305737704918,"Up",399148000,108692000,133665000,-24973000,290456000,122132000,90895000,393695000,-328670000,-24220000,-304450000,65025000,65025000,65025000,-51350000,13675000,13675000,13428000,13428000,486977000,1852094000,1464378000,177577000,36432000,251808000,802109000,13365786000,208809000,470231000,11450979000,1527329000,384545000,207000,1912081000,1914807000,13365786000,13675000,-2569000,34918000,109837000,161314000,-6095000,6460000,9971000,-59630000,111655000,111655000,111655000,62456000,3002629000,217548000,0.16291,0.03364,0.00701,0.001,16.20107,5.98023,0.22465,0.14004,0.13987,4.16273,19.94119,2.26882,0.00144,0.01628,40.27879,38.68746
"31","2018_Q2",21.47765625,"Down",338563000,103420000,133360000,-29940000,235143000,105767000,72368000,340370000,-308202000,-24704000,-283498000,32168000,32168000,32168000,-7488000,24680000,24680000,24441000,24441000,470127000,1940062000,1660720000,173637000,34569000,251808000,835972000,13346126000,202700000,367188000,11420670000,1527827000,404260000,-9095000,1922992000,1925456000,13346126000,24680000,1577000,-534000,149974000,173890000,216000,-72423000,-13632000,-177113000,-16855000,-16855000,-16855000,33745000,3093760000,191423000,0.09501,0.07219,0.01269,0.00183,7.83204,5.93141,0.23181,0.25463,0.25421,3.52725,20.0343,1.9943,0.00233,0.01434,77.74879,81.56034
"32","2018_Q3",19.5739682539683,"Down",384282000,104848000,140040000,-35192000,279434000,132478000,86608000,383942000,-338517000,-26020000,-312497000,45425000,45425000,45425000,-11034000,34391000,34391000,33080000,33080000,353432000,1819825000,1614951000,172911000,32716000,251808000,776734000,13689174000,227736000,392171000,11772761000,1503051000,419683000,-11241000,1911493000,1916413000,13689174000,34391000,1835000,1268000.00000001,-472941000,-435107000,-4296000,-5031000.00000001,-133531000,451946000,-116692000,-116692000,-116692000,47260000,3566968000,-418943000,0.11821,0.08608,0.01726,0.00242,-12.66454,6.14312,0.26057,0.34724,0.34709,4.03382,20.06501,-4.39766,0.00291,-0.0306,67.99695,70.74378
"33","2018_Q4",17.5898412698413,"Down",380038000,110341000,148326000,-37985000,269697000,116243000,92999000,380409000,-335711000,-28235000,-307476000,44698000,44698000,44698000,-7600000,37098000,37098000,35805000,35805000,405682000,1904528000,1491507000,236172000,40394000,291435000,824560000,13764536000,220192000,430309000,11800378000,1505413000,448923000,-14114000,1940222000,1964158000,13764536000,37098000,146000,-81000,543227000,580019000,-37953000,-2354000,-157288000,-336879000,85852000,85852000,85852000,44844000,3079836000,557718000,0.11761,0.09421,0.01823,0.0026,15.57654,6.00786,0.22375,0.37872,0.37844,4.01978,20.52233,5.89916,0.00308,0.04052,59.63237,59.82715
"34","2019_Q1",17.3190163934426,"Down",210546000,114690000,152897000,-38207000,95856000,90628000,-58016000,203620000,-170898000,9160000,-180058000,32722000,32722000,32722000,-8105000,24617000,29558000,28115000,28115000,644073000,1991815000,1440287000,237373000,38005000,291435000,714355000,13683572000,228872000,435240000,11709679000,1490752000,466737000,-8019000,1949470000,1973893000,13683572000,29558000,-8830000,-423457000,473005000,70737999.9999998,154000,-6389000,14784000,66679000,152201000,152201000,152201000,23892000,2738283000,505156000,0.15541,0.13353,0.01424,0.00205,17.96749,5.93228,0.20011,0.29883,0.29845,2.23785,20.72053,5.3692,0.00254,0.03692,87.65319,64.00006
"35","2019_Q2",18.8739682539683,"Up",361399000,108931000,150040000,-41109000,252468000,96139000,100200000,360448000,-309085000,-22942000,-286143000,51363000,51363000,51363000,-11586000,39777000,39777000,38786000,38786000,313192000,2112354000,1651199000,210333000,35965000,291435000,857099000,13549370000,225372000,469630000,11534239000,1492523000,499452000,-448000,1991527000,2015131000,13549370000,39777000,-1563000,-95612000,382549000,326102000,-2562000,-152218000,-306810000,-327277000,-307985000,-307985000,-307985000,49800000,2766490000,441373000,0.14212,0.10732,0.01925,0.00286,11.3797,5.72382,0.20418,0.41408,0.41408,3.85826,21.26132,4.71205,0.00341,0.03258,49.26301,47.76392
"36","2019_Q3",21.5459375,"Up",420747000,107876000,150056000,-42180000,312871000,131173000,124697000,421419000,-343677000,-23753000,-319924000,77742000,77742000,77742000,-17951000,59791000,59791000,57811000,57811000,342001000,1996945000,1707249000,208975000,33934000,291435000,877246000,14265870000,231923000,535820000,12214065000,1474527000,544275000,8479000,2027281000,2051805000,14265870000,59791000,1307000,-130172000,-386990000,-456736000,-2596000,24746000,-104127000,584175000,23312000,23312000,23312000,79049000,3215166000,-292586000,0.18477,0.1374,0.02818,0.00405,-5.06108,5.95284,0.22537,0.61898,0.61897,4.50493,21.70606,-3.13271,0.00458,-0.02051,36.34663,36.95769
"37","2019_Q4",23.01546875,"Up",345244000,111412000,158782000,-47370000,233832000,157050000,13671000,345197000,-251259000,3341000,-254600000,93938000,93938000,93938000,-20598000,73340000,81707000,79418000,79418000,326129000,2101973000,1731979000,213757000,31990000,291435000,839510000,14837029000,245341000,602210000,12753602000,1442510000,602835000,12924000,2058269000,2083427000,14837029000,81707000,-2209000,-157076000,-275945000,-353897000,-9472000,-13722000,-136332000,406866000,-83363000,-83363000,-83363000,91729000,3420520000,-173090000,0.27209,0.23003,0.03812,0.00535,-2.17948,6.12145,0.23054,0.86581,0.86504,3.76382,22.43907,-1.88701,0.00585,-0.01167,33.73405,32.94078
"38","2020_Q1",20.0332258064516,"Down",374406000,110760000,151818000,-41058000,263646000,120573000,77785000,367526000,-307868000,-17211000,-290657000,59658000,59658000,59658000,-13579000,46079000,51702000,49276000,49276000,433626000,1987561000,1780280000,210375000,28474842.7081193,267447000,2838375000,15172448000,256269000,614812000,13043652000,1446139000,644860000,12040000,2103039000,2128796000,15172448000,51702000,982000,16302954000,-16310955000,51508000,-13348000,-13455000,-57023000,237874000,232359000,232359000,232359000,60640000,3396626000,-16250084000,0.15934,0.13161,0.02315,0.00325,-329.77685,6.12724,0.22387,0.54396,0.54329,4.13311,23.21568,-179.38649,0.00373,-1.07103,48.86214,49.66643
