"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebit"
"11","2012_Q4",22.7338709677419,"Up",496810000,-436279000,60531000,-50262000,-48156000,-2106000,10269000,-7278000,-7294000,16000,2991000,2991000,77000,3068000,3068000,3068000,3068000,7874000,7874000,191740000,220252000,45138000,45138000,465004000,111466000,213879000,-102413000,18951000,18569000,130417000,595421000,87375000,81576000,5799000,12226000,11844000,200998000,350615000,45378000,45378000,395993000,596991000,209751000,-189632000,-21689000,-1570000,-1570000,595421000,23432000,16646000,-350000,16296000,-21209000,-15796000,-37005000,2723000,2723000,2723000,452012000,0.12184,0.02067,0.00618,-1.95414,0.00515,2.31348,-380.24904,0.75915,0.46859,0.46859,75.8805,-0.23979,6,0.00619,43.25037
"12","2013_Q1",30.2016666666667,"Up",440298000,-388179000,52119000,-56650000,-54638000,-2012000,-4531000,-6778000,-6756000,-22000,-11309000,-11309000,-61000,-11370000,-11370000,-11370000,-11370000,5188000,5188000,157465000,230059000,19427000,19427000,412139000,115353000,217037000,-101684000,17244000,16799000,132597000,544736000,84020000,77850000,6170000,11386000,10937000,139736000,368446000,57146000,57146000,425592000,565328000,210452000,-201002000,-30042000,-20592000,-20592000,544736000,12424000,634000,-336000,297999.999999996,-40924000,25516000,-15408000,-2686000,-2686000,-2686000,412776000,0.11837,-0.01029,-0.02582,0.55216,-0.02087,2.94941,-27.4537700000001,0.75775,-1.73599,-1.73599,67.22558,-3.14403,5,-0.0253,-89.95542
"13","2013_Q2",25.3484375,"Down",503153000,-446695000,56458000,-61592000,-59419000,-2173000,-5134000,-7302000,-7192000,-110000,-12436000,-12436000,-213000,-12649000,-12649000,-12649000,-12649000,5285000,5285000,218861000,319654000,23304000,23304000,567104000,113838000,217403000,-103565000,18642000,18197000,132480000,699584000,147707000,143197000,4510000,12249000,11800000,256741000,380039000,57168000,57168000,437207000,693948000,248720000,-213651000,-29433000,5636000,5636000,699584000,-95839000,195000,-955000,-760000,62458000,34238000,96696000,97000,97000,97000,476824000,0.11221,-0.0102,-0.02514,-2.24432,-0.01808,2.20886,123.12775,0.68158,-1.896,-1.896,75.4194,0.8448,2,-0.02344,-91.84632
"14","2013_Q3",18.965625,"Down",604592000,-549407000,55185000,-70739000,-68510000,-2229000,-15554000,-7044000,-6916000,-128000,-22598000,-22598000,292000,-22306000,-22306000,-22306000,-22306000,8386000,8386000,232994000,318437000,27343000,27343000,587160000,108843000,211829000,-102986000,18297000,17852000,127140000,714300000,133008000,127767000,5241000,16316000,15867000,290432000,381579000,57134000,57134000,438713000,729145000,250549000,-235957000,-29437000,-14845000,-14845000,714300000,-37818000,248000,-2010000,-1762000,43818000,-1137000,42681000,3101000,3101000,3101000,522687000,0.09128,-0.02573,-0.03689,1.50259,-0.03123,2.02168,-49.11721,0.73175,-2.65021,-2.65021,71.83243,-1.76376,2,-0.03948,-33.06551
"15","2013_Q4",17.84375,"Down",557952000,-495461000,62491000,-59400000,-57255000,-2145000,3091000,-6932000,-6918000,-14000,-3841000,-3841000,635000,-3206000,-3206000,-3206000,-3206000,6869000,6869000,207927000,259722000,29696000,29696000,504214000,107651000,211999000,-104348000,17395000,16950000,125046000,629260000,114198000,109520000,4678000,15861000,15412000,211379000,377014000,57142000,57142000,434156000,645535000,251796000,-239163000,-28908000,-16275000,-16275000,629260000,62863000,7630000,-1040000,6590000,-64737000,-6233000,-70970000,-1517000,-1517000,-1517000,458334000,0.112,0.00554,-0.00575,0.19699,-0.00509,2.38536,-39.66421,0.72837,-0.37898,-0.37898,65.95489,-1.92385,4,-0.00642,146.05791
"16","2014_Q1",15.6393442622951,"Down",486275000,-431926000,54349000,-63273000,-60703000,-2570000,-8924000,-7052000,-6998000,-54000,-15976000,-10756000,8299000,-2457000,-2457000,-2457000,-2457000,5034000,5034000,150297000,223580000,22814000,22814000,401725000,111119000,207290000,-96171000,15645000,14821000,126764000,528489000,64536000,60363000,4173000,13772000,12949000,106826000,387238000,40323000,40323000,427561000,534387000,252016000,-241621000,-16293000,-5898000,-5898000,528489000,30913000,2292000,-907000,1385000,-43136000,9003000,-34133000,-1835000,-1835000,-1835000,415756000,0.11177,-0.01835,-0.00505,0.41658,-0.00465,3.76055,-90.60478,0.78669,-0.28846,-0.28846,57.09128,-0.69246,5,-0.00546,-46.02443
"17","2014_Q2",12.9555555555556,"Down",443944000,-391268000,52676000,-54339000,-51987000,-2352000,-1663000,-6614000,-6454000,-160000,-8277000,-8277000,-331000,-8608000,-8608000,-8608000,-8608000,7579000,7579000,190766000,261006000,25756000,25756000,485107000,110442000,208786000,-98344000,16267000,15443000,126709000,611816000,103518000,98008000,5510000,13237000,12414000,176349000,409294000,40559000,40559000,449853000,626202000,252251000,-250228000,-16409000,-14386000,-14386000,611816000,-46115000,283000,-775000,-492000,50274000,-1122000,49152000,2545000,2545000,2545000,468888000,0.11865,-0.00375,-0.01939,0.59836,-0.01407,2.75083,-43.52857,0.76639,-1.01048,-1.01048,52.11405,-1.68876,3,-0.01739,-277.39567
"18","2014_Q3",12.64375,"Down",531494000,-469461000,62033000,-57556000,-55135000,-2421000,4477000,-6819000,-6859000,40000,-2342000,2909000,327000,3236000,3236000,3236000,3236000,7695000,7695000,205506000,267644000,29748000,29748000,510593000,108358000,208667000,-100309000,14769000,13945000,123127000,633720000,105535000,99885000,5650000,14793000,13970000,224102000,380659000,38986000,38986000,419645000,643747000,253037000,-247039000,-16025000,-10027000,-10027000,633720000,-22214000,6930000,-478000,6452000,15873000,5000,15878000,115999.999999999,115999.999999999,115999.999999999,484433000,0.11671,0.00842,0.00609,-0.32273,0.00511,2.2784,-64.20136,0.76443,0.37683,0.37423,61.89231,-1.16764,4,0.0063,106.48604
"19","2014_Q4",11.8640625,"Down",549845000,-485265000,64580000,-58538000,-56135000,-2403000,6042000,-6970000,-6777000,-193000,-928000,-928000,69000,-859000,-859000,-859000,-859000,7839000,7839000,205845000,264920000,25087000,25087000,503691000,106350000,208919000,-102569000,17384000,16560000,123734000,627425000,112179000,105307000,6872000,14508000,13685000,217977000,382514000,37608000,37608000,420122000,638099000,253417000,-247899000,-16192000,-10674000,-10674000,627425000,14901000,27000,-563000,-536000,-10239000,-3982000,-14221000,144000,144000,144000,473804000,0.11745,0.01099,-0.00156,0.08048,-0.00137,2.31075,-59.78068,0.75516,-0.09942,-0.09942,63.6402,-1.23543,4,-0.00172,77.12099
"20","2015_Q1",10.7362295081967,"Down",454110000,-404295000,49815000,-50386000,-48089000,-2297000,-571000,-6693000,-6681000,-12000.0000000001,-7264000,-7264000,-377000,-7641000,-7641000,-7641000,-7641000,4522000,4522000,144537000,242546000,23289000,23289000,414894000,105267000,209723000,-104456000,15804000,15804000,121071000,535965000,72934000,67291000,5643000,14349000,14349000,117242000,400257000,54492000,12729000,454749000,571991000,253939000,-255540000,-34425000,-36026000,-36026000,535965000,41127000,128000,-1200000,-1072000,-42090000,-1282000,-43372000,-3317000,-3317000,-3317000,430216000,0.1097,-0.00126,-0.01683,0.2121,-0.01426,3.53878,-15.87717,0.80269,-0.88294,-0.88909,52.474,-4.16293,2,-0.01703,-745.52364
"21","2015_Q2",11.0173015873016,"Up",454949000,-404753000,50196000,-52314000,-50036000,-2278000,-2118000,-6911000,-6553000,-358000,-9029000,-9029000,84000,-8945000,-8945000,-8945000,-8945000,6033000,6033000,177635000,275095000,20773000,20773000,479536000,105679000,210643000,-104964000,13574000,13073000,119253000,598789000,106643000,100946000,5697000,13550000,13032000,150513000,438826000,53856000,13333000,492682000,643195000,254574000,-264484000,-34496000,-44406000,-44406000,598789000,-37545000,888303.552725937,-1316420.66143804,-337000,37153000,2240000,39393000,1511000,1511000,1511000,469146000,0.11033,-0.00466,-0.01966,0.20144,-0.01494,3.18601,-14.48442,0.78349,-1.02621,-1.02621,52.194,-5.09448,2,-0.01869,-218.65581
"22","2015_Q3",8.89140625,"Down",515656000,-455673000,59983000,-53113000,-50675000,-2438000,6870000,-6719000,-6690000,-29000.0000000001,151000,150999.999999998,2719000,2870000,2870000,2870000,2870000,2844000,2844000,197345000,276362000,31680000,31680000,508231000,104399000,211854000,-107455000,10936000,10435000,115335000,623566000,119374000,115058000,4316000,14290000,13772000,348658000,264113000,45350000,13394000,309463000,658121000,255276000,-261614000,-28217000,-34555000,-34555000,623566000,-8702000,28148.2972732605,-917911.019737421,-362000,8138000,-2263000,5875000,-3189000,-3189000,-3189000,479107000,0.11632,0.01332,0.00557,-0.08306,0.0046,1.45768,-19.04561,0.76833,0.32838,0.32665,59.00022,-3.95371,3,0.00586,69.3250400000001
"23","2015_Q4",6.5746875,"Down",517830000,-457007000,60823000,-52345000,-49906000,-2439000,8478000,-7378000,-7115000,-263000,1100000,1100000,-539000,561000,561000,561000,561000,6904000,6904000,187344000,255035000,33348000,33348000,482631000,105183000,213442000,-108259000,11015000,10514000,116198000,598829000,106006000,101540000,4466000,15474000,14956000,342623000,247855000,44147000,14308000,292002000,634625000,255457000,-261054000,-30199000,-35796000,-35796000,598829000,17994000,-779331.106816047,-380195.868168095,-162000,-10494000,-3278000,-13772000,4060000,4060000,4060000,468998000,0.11746,0.01637,0.00108,-0.01567,0.00094,1.40864,-17.72894,0.78319,0.06378,0.0637,58.87108,-4.06958,6,0.00118,54.50507
"24","2016_Q1",4.26852459016393,"Down",428150000,-376680000,51470000,-48284000,-45698000,-2586000,3186000,-6831000,-6984000,153000,-3645000,-3645000,-2417000,-6062000,-6062000,-6062000,-6062000,4808000,4808000,138545000,226660000,32011000,32011000,402024000,101576000,208542000,-106966000,9542000,9542000,111118000,513142000,92252000,88087000,4165000,14023000,14023000,130173000,377773000,51092000,14301000,428865000,559038000,255994000,-267116000,-34774000,-45896000,-45896000,513142000,68180000,139000,-79000,60000.0000000001,-70551000,215000,-70336000,-2096000,-2096000,-2096000,401671000,0.12021,0.00744,-0.01416,0.13208,-0.01181,3.08838,-12.18054,0.78277,-0.69299,-0.69758,48.94485,-5.2467,5,-0.0149,124.56466
"25","2016_Q2",7.061875,"Up",474326000,-416730000,57596000,-57652000,-55176000,-2476000,-56000,-6835000,-7207000,372000,-6891000,-6514000,369000,-6145000,-6145000,-6145000,-6145000,7126000,7126000,181507000,246469000,25184000,25184000,460286000,98288000,207054000,-108766000,9631000,9631000,107919000,568205000,112041000,104687000,7354000,12353000,12353000,147854000,423625000,47929000,13122000,471554000,619408000,256337000,-273261000,-34279000,-51203000,-51203000,568205000,-51640000,1402000,-172000,1230000,44386000,8342000,52728000,2318000,2318000,2318000,447085000,0.12143,-0.00012,-0.01296,0.12001,-0.01081,3.11311,-12.0971,0.78684,-0.69229,-0.69229,53.43675,-5.76844,3,-0.01385,-7856.41071
"26","2016_Q3",8.2415625,"Up",509011000,-451624000,57387000,-55074000,-52679000,-2395000,2313000,-6385000,-6250000,-135000,-4072000,-3688000,544000,-3144000,-3144000,-3144000,-3144000,5240000,5240000,181623000,214802000,28562000,28562000,430227000,89923000,195551000,-105628000,9784000,9784000,99707000,529934000,103659000,96830000,6829000,12942000,12942000,196584000,340222000,58689000,12934000,398911000,595495000,257049000,-276404000,-46206000,-65561000,-65561000,529934000,25697000,795000,-172000,623000,-27515000,-690999.999999998,-28206000,-1886000,-1886000,-1886000,420205000,0.11274,0.00454,-0.00618,0.04796,-0.00593,2.18851,-9.08307,0.79294,-0.35346,-0.35346,57.2244,-7.37055,4,-0.00761,179.405530000002
"27","2016_Q4",7.93888888888889,"Down",476049000,-4.16e+08,60049000,-51371000,-49151000,-2220000,8678000,-6087000,-6105000,18000,2591000,16531000,-1522000,15009000,15009000,15009000,15009000,4704000,4704000,163388000,207909000,25176000,25176000,401177000,89439000,193491000,-104052000,9822000,9822000,99261000,500438000,101358000,93777000,7581000,12728000,12728000,174549000,318245000,57377000,12769000,375622000,550171000,257558000,-261396000,-45895000,-49733000,-49733000,500438000,25773000,16703000,-167000,16536000,-41965000,-880000,-42845000,-536000,-536000,-536000,378708000,0.12614,0.01823,0.03153,-0.30179,0.02999,2.29836,-11.06249,0.75675,1.6864,1.68074,53.48865,-5.58798,7,0.03885,43.09795
"28","2017_Q1",7.19306451612903,"Down",421657000,-369283000,52374000,-49754000,-47503000,-2251000,2620000,-5139000,-5336000,197000,-2519000,10877000,-512000,10365000,10365000,10365000,10365000,5540000,5540000,125857000,191287000,23126000,23126000,345810000,88322000,189966000,-101644000,10005000,10005000,98327000,444137000,91084000,82735000,8349000,12092000,12092000,154341000,270792000,48845000,14496000,319637000,473978000,258062000,-251252000,-36651000,-29841000,-29841000,444137000,41567000,18576000,-120000,18456000,-59721000,534000,-59187000,836000,836000,836000,321957000,0.12421,0.00621,0.02458,-0.34734,0.02334,2.24056,-15.88345,0.7249,1.15415,1.08255,46.95199,-3.32283,7,0.0304,120.76985
"29","2017_Q2",9.94349206349206,"Up",428608000,-374174000,54434000,-55414000,-53051000,-2363000,-980000,-5103000,-5242000,139000,-6083000,617000,-33000,584000,584000,584000,584000,5185000,5185000,160068000,214658000,18271000,18271000,398182000,88745000,190848000,-102103000,10765000,10765000,99510000,497692000,105260000,100189000,5071000,13273000,13273000,139133000,315624000,71501000,37963000,387125000,526258000,258384000,-250579000,-36371000,-28566000,-28566000,497692000,-39860000,27427000,-160000,27267000,13738000,-1500000,12238000,-355000,-355000,-355000,336224000,0.127,-0.00229,0.00136,-0.02044,0.00117,2.86188,-18.42253,0.67557,0.06513,0.06419,47.8037,-3.18604,4,0.00154,-337.7949
"30","2017_Q3",10.3704761904762,"Up",474001000,-413455000,60546000,-51404000,-49151000,-2253000,9142000,-5228000,-5367000,139000,3914000,3914000,-676000,3238000,3238000,3238000,3238000,4777000,4777000,167570000,220677000,20228000,20228000,413252000,86943000,190869000,-103926000,12089000,12089000,99032000,512284000,102410000,96363000,6047000,13892000,13892000,195183000,270185000,72311000,39432000,342496000,537679000,258639000,-247341000,-36693000,-25395000,-25395000,512284000,-14032000,171000,-29000,142000,10492000,2990000,13482000,-408000,-408000,-408000,349066000,0.12773,0.01929,0.00683,-0.12751,0.00632,2.11725,-21.17263,0.68139,0.35759,0.35234,52.34688,-2.80453,5,0.00818,37.6601399999999
"31","2017_Q4",9.36253968253968,"Down",479318000,-418773000,60545000,-49337000,-47088000,-2249000,11208000,-5399000,-5670000,271000,5809000,5809000,-123000,5686000,5686000,5686000,5686000,5590000,5590000,173748000,206788000,21063000,21063000,407189000,85202000,191048000,-105846000,13969000,13969000,99171000,506360000,106097000,97606000,8491000,15081000,15081000,197340000,258789000,69374000,37922000,328163000,525503000,258945000,-241655000,-36433000,-19143000,-19143000,506360000,15614000,-137000,-52000,-189000,-14612000,0,-14612000,813000,813000,813000,334951000,0.12631,0.02338,0.01186,-0.29703,0.01123,2.06339,-27.45144,0.66149,0.62628,0.61517,52.79414,-2.10849,6,0.01476,29.38624
"32","2018_Q1",18.5780327868852,"Up",433608000,-378104000,55504000,-51586000,-49419000,-2167000,3918000,-4673000,-4946000,273000,-755000,-755000.000000001,54241000,53486000,53486000,53486000,53486000,4696000,4696000,134072000,187512000,17124000,17124000,343404000,83772000,186749000,-102977000,66919000,13066000,150691000,494095000,79852000,70623000,9229000,16160000,16160000,117605000,276677000,64811000,34451000,341488000,459093000,259679000,-188170000,-36507000,35002000,35002000,494095000,35775000,173999.999999993,-556000,-381999.999999993,-36281000,-5999.99999999953,-36287000,-894000,-894000,-894000,298270000,0.12801,0.00904,0.12335,1.52808,0.10825,2.91998,13.11619,0.60367,5.89053,5.6581,47.75419,3.85485,8,0.13436,74.92956
"33","2018_Q2",39.05015625,"Up",437487000,-382162000,55325000,-61905000,-59240000,-2665000,-6580000,-8386000,-8480000,94000,-14966000,-14966000,1539000,-13427000,-13427000,-13427000,-13427000,7069000,7069000,162904000,228849000,18911000,18911000,417733000,153274000,246833000,-93559000,73488000,14796000,226762000,644495000,111912000,107097000,4815000,25580000,25580000,158814000,220384000,243201000,214101000,463585000,622399000,259998000,-201604000,-36298000,22096000,22096000,644495000,-45003000,107879000,-332000,107547000,-59225000,-946000,-60171000,2373000,2373000,2373000,241706000,0.12646,-0.01504,-0.03069,-0.60767,-0.02083,2.63033,28.16795,0.37503,-1.46952,-1.46952,47.88081,2.4183,1,-0.02648,-35.65912
"34","2018_Q3",36.0360317460317,"Down",892952000,-789301000,103651000,-99167000,-91723000,-7444000,4484000,-12100000,-12194000,94000,-7616000,-7616000,-942000,-8558000.00000001,-8558000.00000001,-8558000.00000001,-8558000.00000001,5210000,5210000,329980000,409713000,43734000,43734000,788637000,218628000,317448000,-98820000,137852000,17818000,356480000,1145117000,167570000,156068000,11502000,35474000,35474000,237292000,615055000,280414000,252793000,895469000,1132761000,258617000,-210155000,-36106000,12356000,12356000,1145117000,-53467000,81000.0000000298,-245000,-353258000,406038000,-1172000,404866000,-1859000,-1859000,-1859000,649303000,0.11608,0.00502,-0.00958000000000001,-0.69262,-0.00747,3.32349,91.677,0.56702,-0.9287,-0.928700000000001,96.90201,1.34086,2,-0.00908,143.64251
"35","2018_Q4",24.5261904761905,"Down",859776000,-768021000,91755000,-95760000,-87692000,-8068000,-4005000,-13179000,-13273000,94000,-17184000,-17184000,7288000,-9896000,-9896000,-9896000,-9896000,7630000,7630000,285489000,401222000,44947000,44947000,739288000,212928000,315793000,-102865000,139336000,19200000,352264000,1091552000,161425000,153814000,7611000,34916000,34916000,234341000,579380000,275607000,249991000,854987000,1089328000,258180000,-220051000,-35905000,2224000,2224000,1091552000,39177000,12000,-1295000,-1283000,-35903000,429000,-35474000,2420000,2420000,2420000,617380000,0.10672,-0.00466,-0.01151,-4.44964,-0.00907,3.15475,489.80576,0.5656,-1.06707,-1.06707,92.70822,0.23981,4,-0.01105,-152.24719
