"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",17.3174193548387,"Down",16759000,-34906000,-12812000,-22094000,-18147000,258000,261000,261000,-3000,-17889000,-19502000,-19502000,-19502000,-19502000,-19502000,228336000,75838000,152498000,1918000,1918000,5679000,5679000,235933000,18792000,86419000,322352000,20007000,5093000,14914000,34751000,31156000,3595000,54758000,90434000,85029000,5405000,90434000,145192000,621874000,-444822000,108000,177160000,177160000,322352000,-19502000,2285000,6311000,16118000,5212000,-5729000,23582000,17853000,4499000,4499000,4499000,27564000,27564000,27564000,-15862000,0,-1.08282,-1.16367,-0.11008,-0.0605,4.30865,0.81955,2.58493941422821e-26,-0.37837,-0.37837,0.32515,3.4372,-0.07288,14.39516,12.58258
"12","2013_Q1",23.3435,"Up",8495000,-31844000,-10166000,-21678000,-23349000,386000,222000,222000,164000,-22963000,-72760000,-62188000,-62188000,-62188000,-62188000,161560000,51405000,110155000,104000,104000,2641000,2641000,164305000,19799000,123215000,287520000,15978000,4420000,11558000,32367000,31417000,950000,48345000,105122000,100874000,4248000,105122000,153467000,625401000,-507010000,15662000,134053000,134053000,287520000,-62188000,2024000,-22509000,13761000,-68912000,-686000.000000001,44199000,43513000,997000,997000,966000,-24433000,-24433000,-24433000,-21325000,2.22044604925031e-16,-2.74856,-7.32054,-0.46391,-0.21629,3.39859,1.14482,0,-1.19335,-1.19335,0.16301,2.5724,-0.26001,7.57608,6.91935
"13","2013_Q2",26.609375,"Up",18642000,-28446000,-6267000,-22179000,-9804000,229000,224000,224000,5000,-9575000,-9575000,-9013000,-9013000,-9013000,-9013000,236011000,97804000,138207000,558000,558000,3542000,3542000,240111000,18983000,231467000,471578000,15214000,3105000,12109000,34536000,33548000,988000,49750000,110272000,105980000,4292000,110272000,160022000,806758000,-516023000,20821000,311556000,311556000,471578000,-9013000,2127000,2825000,3090000,-971000,-1799000,-129041000,-130840000,178210000,178210000,178210000,46399000,46399000,46399000,-7677000,0,-0.52591,-0.48348,-0.02893,-0.01911,4.82635,0.51362,-4.13590306276514e-25,-0.15232,-0.15232,0.31504,5.26517,-0.02137,30.74261,24.07293
"14","2013_Q3",49.84515625,"Up",8687000,-29999000,-5784000,-24215000,-21312000,259000,270000,270000,-11000,-21053000,-21053000,-18169000,-18169000,-18169000,-18169000,270030000,24975000,245055000,460000,460000,4205000,4205000,274695000,18045000,187863000,462558000,18254000,4534000,13720000,34812000,33560000,1252000,53066000,101317000,97636000,3681000,101317000,154383000,814237000,-534192000,28130000,308175000,308175000,462558000,-18169000,2711000,620000,-8764000,-23602000,-379000,-52830000,-53209000,3982000,3982000,3982000,-72829000,-72829000,-72829000,-18601000,0,-2.45332,-2.09152,-0.05896,-0.03928,5.17648,0.50096,0,-0.29466,-0.29466,0.14088,4.99789,-0.04437,14.51696,12.67033
"15","2013_Q4",59.6546875,"Up",8991000,-41225000,-6768000,-34457000,-32234000,278000,290000,290000,-12000,-31956000,-31956000,-29686000,-29686000,-29686000,-29686000,251778000,11840000,239938000,609000,609000,4776000,4776000,257163000,16974000,190340000,447503000,20137000,2728000,17409000,34758000,33558000,1200000,54895000,95026000,91779000,3247000,95026000,149921000,834292000,-563878000,27168000,297582000,297582000,447503000,-29686000,2764000,6679000,-1472000,-21715000,-950000,-1554000,-2504000,11199000,11199000,11084000,-13135000,-13135000,-13135000,-29470000,0,-3.58514,-3.30175,-0.09976,-0.06634,4.68463,0.5038,1.32348898008484e-23,-0.47562,-0.47562,0.14405,4.76772,-0.07561,8.54354,7.81094
"16","2014_Q1",77.4208196721311,"Up",10847000,-40439000,-8333000,-32106000,-29592000,256000,285000,285000,-29000,-29336000,-29336000,-32357000,-32357000,-32357000,-32357000,291322000,53169000,238153000,4248000,4248000,3910000,3910000,299480000,16448000,121050000,420530000,20056000,5896000,14160000,33808000,32696000,1112000,53864000,96319000,93394000,2925000,96319000,150183000,846865000,-596235000,19717000,270347000,270347000,420530000,-32357000,2627000,8537000.00000001,-1176000,-22369000,-878000.000000001,56926000,56048000,8923999.99999999,8923999.99999999,7649999.99999997,41329000,41329000,41329000,-26965000,0,-2.72813,-2.98304,-0.11969,-0.07694,5.55993,0.55552,0,-0.51398,-0.51398,0.1723,4.29436,-0.08825,10.80371,9.84462
"17","2014_Q2",59.4374603174603,"Down",8275000,-52683000,-8925000,-43758000,-44408000,251000,333000,333000,-82000,-44157000,-268813000,-250943000,-250943000,-250943000,-250943000,720968000,350589000,370379000,164000,164000,8409000,8409000,729541000,15731000,350756000,1080297000,28462000,5037000,23425000,55369000,29121000,26248000,83831000,41493000,37674000,3819000,41493000,125324000,1777121000,-847178000,25030000,954973000,954973000,1080297000,-250943000,2600000,212534000,-5866000,-41675000,-25388000,-354392000,-379780000,11541000,11541000,718875000,297420000,297420000,297420000,-41808000,0,-5.36653,-30.32544,-0.26277,-0.23229,8.70252,0.13123,-1.05879118406788e-22,-3.70199,-3.70199,0.12208,14.08806,-0.25183,17.24474,16.23509
"18","2014_Q3",64.50515625,"Up",7295000,-56190000,-11518000,-44672000,-48895000,616000,693000,693000,-77000,-48279000,-44389000.0000001,-44074000,-44074000,-44074000,-44074000,654762000,80727000,574035000,89000,89000,10270000,10270000,665121000,16953000,367538000,1032659000,26032000,6168000,19864000,27713000,27002000,711000,53745000,36645000,32548000,4097000,36645000,90390000,1811538000,-891252000,21983000,942269000,942269000,1032659000,-44074000,2868000,3650000,-9069000,-46625000,-1852000,-226523000,-228375000,5138000,5138000,5138000,-269862000,-269862000,-269862000,-46027000,4.54747350886464e-13,-6.70254,-6.04167,-0.04677,-0.04268,12.3755,0.09593,0,-0.581180000000001,-0.581180000000001,0.0962,12.42525,-0.04502,14.22561,13.39119
"19","2014_Q4",92.64578125,"Up",10972000,-56171000,-9898000,-46273000,-45199000,1277000,753000,753000,524000,-43922000,-43922000,-43989000,-43989000,-43989000,-43989000,631934000,82721000.0000001,549213000,383999.999999998,383999.999999998,10699000,10699000,643017000,18806000,343340000,986357000,25856000,5201000,20655000,30993000,30270000,722999.999999996,56849000,25030000,20028000,5002000,25030000,81879000,1824533000,-935241000,15186000,904478000,904478000,986357000,-43989000,3117000,6033000,-5867000,-40706000,-3195000,41101000,37906000,5056000,5056000,4794000,1994000,1994000,1994000,-42082000,0,-4.11949,-4.00921,-0.04863,-0.0446,11.31096,0.09053,0,-0.57571,-0.57571,0.1436,11.83748,-0.04733,15.01673,13.98115
"20","2015_Q1",101.334918032787,"Up",24019000,-69731000,-14185000,-55546000,-45712000,2232000,780000,780000,1452000,-43480000,-43480000,-21389000,-21389000,-21389000,-21389000,696691000,75179000,621512000,39937000,39937000,9739000,9739000,746367000,21740000,333228000,1079595000,38791000,15111000,23680000,56543000,23871000,1005000,95334000,47994000,42983000,5011000,47994000,143328000,1844134000,-956630000,48763000,936267000,936267000,1079595000,-21389000,3341000,-8046999.99999999,-10540000,-36635000,-3526000,24961000,21435000,7685000.00000001,7685000.00000001,7658000,-7542000,-7542000,-7542000,-42371000,0,-1.90316,-0.890500000000001,-0.02284,-0.01981,7.82897,0.15308,0,-0.27748,-0.27748,0.3116,12.14622,-0.02173,16.44264,15.24088
"21","2015_Q2",119.504603174603,"Up",18537000,-70759000,-12724000,-58035000,-52222000,1014000,1014000,1014000,815741.376387515,-51208000,-51208000,-50777000,-50777000,-50777000,-50777000,1066873000,306580000,760293000,10107000,10107000,13206000,13206000,1090186000,21166000,538604000,1628790000,31917000,15486000,16431000,48776000,14099000,1010000,80693000,51587000,46566000,5021000,51587000,132280000,2451532000,-1007407000,52385000,1496510000,1496510000,1628790000,-50777000,3690000,8052000,12780000,-26255000,-2110000,-338930000,-341328000,509966000,509966000,598984000,231401000,231401000,231401000,-48532000,0,-2.81718,-2.73922,-0.03393,-0.03117,13.51029,0.08839,0,-0.61867,-0.61867,0.22586,18.23367,-0.0328,21.98288,20.42957
"22","2015_Q3",111.1046875,"Down",8685000,-81629000,-14622000,-67007000,-72944000,1592000,1619000,1619000,-27000,-71352000,-71352000,-71783000,-71783000,-71783000,-71783000,1004630000,151262000,853368000,9403000,9403000,15117000,15117000,1029150000,25169000,501621000,1530771000,33473000,15715000,17758000,33125000,12460000,1011000,66598000,55569000,50256000,5313000,55569000,122167000,2469032000,-1079190000,18762000,1408604000,1408604000,1530771000,-71783000,5021000,10884000,422000,-55456000,-1264000,-105672000,-106936000,7196999.99999994,7196999.99999994,7074000,-155318000,-155318000,-155318000,-67923000,-1.16415321826935e-10,-8.39885,-8.26517,-0.05096,-0.04689,15.45317,0.08673,0,-0.85098,-0.85098,0.10296,16.69892,-0.04903,14.79072,13.77262
"23","2015_Q4",92.71703125,"Down",6324000,-84654000,-16036000,-68618000,-78330000,1538000,1610000,1610000,-72000,-76792000,-76792000,-76792000,-76792000,-76792000,-76792000,1016210000,149218000,866992000,8130000,8130000,17453000,17453000,1041793000,26316000,394351000,1436144000,32716000,14272000,18444000,24396000,13973000,1017000,57112000,57428000,52117000,5311000,57428000,114540000,2484805000,-1155982000,-7219000,1321604000,1321604000,1436144000,-76792000,5270000,12102000,5055000,-54365000,-6477000,55147000,48670000,3831000,3831000,3651000,-2044000,-2044000,-2044000,-73060000,0,-12.38615,-12.14295,-0.05811,-0.05347,18.24123,0.08667,2.16840434497101e-19,-0.90735,-0.90735,0.07472,15.61571,-0.05569,13.90925,12.97345
"24","2016_Q1",66.4868852459016,"Down",7551000,-100063000,-17228000,-82835000,-92512000,1791000,1616000,1616000,175000,-90721000,-90721000,-90721000,-90721000,-90721000,-90721000,1080531000,180895000,899636000,8298000,8298000,16559000,16559000,1105388000,27812000,281122000,1386510000,45585000,16787000,28798000,16514000,15352000,1162000,62099000,59697000,52965000,6732000,59697000,121796000,2507048000,-1246703000,4369000,1264714000,1264714000,1386510000,-90721000,5069000,16103000,16485000,-53064000,-3099000,82555000,78273000,6543000.00000001,6543000.00000001,6468000.00000001,31677000,31677000,31677000,-87443000,-1.86264514923096e-09,-12.25162,-12.01444,-0.07173,-0.06543,17.80042,0.0963,0,-1.06846,-1.06846,0.08893,14.89511,-0.0685,12.35698,11.6799
"25","2016_Q2",63.00390625,"Down",7345000,-117373000,-21100000,-96273000,-110028000,7054000,1813000,1813000,5241000,-102974000,-102974000,-102974000,-102974000,-102974000,-102974000,1013634000,231278000,782356000,8814000,8814000,27626000,27626000,1050074000,36814000,266875000,1316949000,48247000,17442000,30805000,18122000,16944000,1178000,66369000,61529000,53952000,7577000,61529000,127898000,2547739000,-1349677000,-9011000,1189051000,1189051000,1316949000,-102974000,4601000,18655000,-3905000,-83623000,-2759000,129756000,117940000,1824000,1824000,16066000,50383000,50383000,50383000,-105427000,0,-14.97999,-14.01961,-0.0866,-0.07819,15.82175,0.10756,-3.46944695195361e-18,-1.20752,-1.20752,0.08613,13.9434,-0.08234,9.61456,9.21251
"26","2016_Q3",70.5521875,"Up",8709000,-101159000,-17987000,-83172000,-92450000,2321000,2092000,2092000,228999.999999999,-90129000,-90129000,-90129000,-90129000,-90129000,-90129000,856402000,271076000,585326000,9514000,9514000,22152000,22152000,888068000,55394000,494094000,1382162000,50375000,12824000,37551000,20200000,18885000,1315000,70575000,63105000,54810000,8295000,213105000,283680000,2566584000,-1439806000,-28296000,1098482000,1098482000,1382162000,-90129000,4011000,15312000,601000,-70205000,-21621000,118229000,-44335000,4442000,4442000,154338000,39798000,39798000,39798000,-88439000,1.5e+08,-10.61546,-10.34895,-0.08205,-0.06521,12.58332,0.25825,0.10853,-1.05359,-1.05359,0.10181,12.84098,-0.06872,7.98745,7.64091
"27","2016_Q4",41.8688888888889,"Down",13651000,-120327000,-22391000,-97936000,-106676000,2605000,2204000,2204000,401000,-104071000,-104071000,-104071000,-104071000,-104071000,-104071000,713136000,168481000,544655000,15146000,15146000,19282000,19282000,747564000,74219000,565346000,1312910000,59348000,23137000,36211000,22413000,21087000,1326000,81761000,66181000,55894000,10287000,216181000,297942000,2586623000,-1543877000,-27778000,1014968000,1014968000,1312910000,-104071000,3500000,17441000,7594000,-75536000,-20298000,-11107000,-31405000,4424000,4424000,4346000,-102595000,-102595000,-102595000,-103176000,1.5e+08,-7.81452,-7.62369,-0.10254,-0.07927,9.14328,0.29355,0.11425,-1.21414,-1.21414,0.15926,11.84106,-0.08453,5.45801,5.27894
"28","2017_Q1",46.2172580645161,"Up",17454000,-132887000,-27876000,-105011000,-115433000,2499000,2199000,2199000,3e+05,-112934000,-112934000,-112934000,-112934000,-112934000,-112934000,626799000,193617000,433182000,23334000,23334000,21744000,21744000,671877000,114572000,590933000,1262810000,96583000,54465000,42118000,35116000,33540000,1576000,131699000,60890000,49392000,11498000,210890000,342589000,2610473000,-1656811000,-33441000,920221000,920221000,1262810000,-112934000,3018000,20795000,10784000,-78337000,-19879000,120270000,100391000,3437000,3437000,3082000.00000001,25136000,25136000,25136000,-112415000,1.5e+08,-6.61356,-6.47038,-0.12272,-0.08943,5.10161,0.37229,0.11878,-1.31554,-1.31554,0.20332,10.71944,-0.09984,4.24142,4.13053
"29","2017_Q2",63.9074603174603,"Up",18960000,-125471000,-38487000,-86984000,-106511000,-779000,2128000,2128000,-2907000,-107290000,-107290000,-107290000,-107290000,-107290000,-107290000,559604000,171079000,388525000,19457000,19457000,18127000,18127000,597188000,129962000,536738000,1133926000,57213000,25371000,31842000,38573000,36755000,1818000,95786000,57239000,46049000,11190000,207239000,303025000,2628830000,-1764101000,-33828000,830901000,830901000,1133926000,-107290000,3e+06,17817000,-13857000,-100330000,-36152000,111228000,75076000,2769000,2769000,2716000,-22538000,-22538000,-22538000,-103511000,1.5e+08,-5.61767,-5.65876,-0.12912,-0.09462,6.23461,0.36469,0.13228,-1.24717,-1.24717,0.2204,9.65861,-0.10335,3.95711,3.84565
"30","2017_Q3",85.3561904761905,"Up",15932000,-136406000,-45779000,-90627000,-120474000,2054000,2577000,2577000,-523000,-118420000,-118420000,-118420000,-118420000,-118420000,-118420000,923271000,408671000,514600000,15405000,15405000,22033000,22033000,960709000,147533000,473574000,1434283000,66990000,23170000,43820000,41736000,39794000,1942000,108726000,52591000,42079000,10512000,202591000,311317000,3039446000,-1882521000,-33959000,1122966000,1122966000,1434283000,-118420000,3066000,24898000,9407000,-81049000,-21651000,-46020000,-67671000,365025000,365025000,386312000,237592000,237592000,237592000,-117408000,1.5e+08,-7.56176,-7.43284,-0.10545,-0.08256,8.83606,0.27723,0.10458,-1.34418,-1.34418,0.18084,12.74678,-0.08934,6.58619,6.41857
"31","2017_Q4",125.652857142857,"Up",17096000,-142896000,-47644000,-95252000,-125800000,2863000,3296000,3296000,-433000,-122937000,-122937000,-122937000,-122937000,-122937000,-122937000,948294000,202045000,746249000,14644000,14644000,30430000,30430000,993368000,161899000,364913000,1358281000,60499000,9239000,51260000,40546000,38532000,2014000,101045000,48401000,38356000,10045000,198401000,299446000,3098034000,-2005458000,-33741000,1058835000,1058835000,1358281000,-122937000,3587000,26616000,-5629000,-98363000,-25678000,-111500000,-137178000,28956000,28956000,28915000,-206626000,-206626000,-206626000,-122213000,1.5e+08,-7.35845,-7.19098,-0.11611,-0.09051,9.83095,0.28281,0.11043,-1.33877,-1.33877,0.18617,11.53063,-0.09778,6.53199,6.34574
"32","2018_Q1",128.919344262295,"Up",37924000,-185227000,-67455000,-117772000,-147303000,5076000,4235000,4235000,841000,-142227000,-142227000,-142227000,-142227000,-142227000,-142227000,1690618000,645361000,1045257000,34002000,34002000,40120000,40120000,1764740000,181900000,229990000,1994730000,100558000,28355000,72203000,43693000,41705000,1988000,144251000,54048000,43075000,10973000,84048000,228299000,3948549000,-2147685000,-34433000,1766431000,1766431000,1994730000,-142227000,3714000,27684000,7785000,-103044000,-20728000,-259860000,-160588000,827017000,827017000,706948000,443316000,443316000,443316000,-143589000,3e+07,-3.88416,-3.75032,-0.08052,-0.0713,12.23381,0.12924,0.01504,-1.47748,-1.47748,0.39396,18.35005,-0.07686,11.56508,11.27348
"33","2018_Q2",99.18734375,"Down",21899000,-169304000,-72447000,-96857000,-147405000,6129000,5794000,5794000,335000,-141276000,-141276000,-141214000,-141214000,-141214000,-141214000,1567864000,396149000,1171715000,50768000,50768000,66665000,66665000,1685297000,201979000,237842000,1923139000,77030000,13206000,63824000,38353000,35855000,2498000,115383000,22951000,7676000,15275000,52951000,168334000,4010347000,-2220689000,-34853000,1754805000,1754805000,1923139000,-141214000,3178000,20526000,-38154000,-155664000,-21257000,-113557000,-134814000,42094000,42094000,41522000,-248956000,-248956000,-248956000,-144227000,3e+07,-6.73113,-6.44842,-0.08047,-0.07343,14.60611,0.09593,0.0156,-1.41244,-1.41244,0.21904,17.55174,-0.07812,10.6628,10.43292
"34","2018_Q3",100.587619047619,"Up",29907000,-222261000,-84679000,-137582000,-192354000,8309000,6101000,6101000,2208000,-184045000,-163481000,-163560000,-163560000,-163560000,-163560000,1435622000,361457000,1074165000,2961000,2961000,51932000,51932000,1490515000,227839000,298874000,1789389000,101855000,11988000,89867000,11804000,9161000,2643000,113659000,24928000,4522000,20406000,54928000,168587000,4038858000,-2384249000,-33807000,1620802000,1620802000,1789389000,-163560000,2239000,16061000,42573000,-102687000,-22708000,100154000,62621000,5641000,5641000,5581000,-34484999.9999999,-34484999.9999999,-34485000,-190115000,3e+07,-6.43174,-5.46895,-0.10091,-0.09141,13.11392,0.10401,0.01677,-1.62716,-1.62716,0.29753,16.12433,-0.09761,7.39354,7.30747
