"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",10.7275,"Down",43438000,-30447000,12991000,-6556000,-6556000,6435000,-103000,6332000,6132000,-1203000,4929000,4929000,4929000,4929000,279318000,189083000,90235000,26652000,26652000,14297000,6797000,6797000,327064000,31756000,16851000,9854000,6997000,48607000,375671000,19230000,7419000,5426000,6385000,19230000,1007000,761000,246000,53007000,72237000,161177000,-94000,141360000,991000,303434000,303434000,375671000,4929000,968000,680000,-208000,6369000,-464000,-1413000,-1877000,-2083000,48000,-2035000,2457000,2457000,2966000,7403000,5.2e+07,7934000,0.29907,0.14814,0.11347,0.01624,0.01312,1.60966,17.00801,0.23806,0.13842,0.23665,0.23647,2.08556,14.56856,0.38093,0.10001,0.01967,0.02226,0.4226,-30.7062,-35.32525
"12","2013_Q3",12.30234375,"Up",44497000,-30876000,13621000,-6041000,-6041000,7580000,-108000,7472000,7353000,691999.999999999,8045000,8045000,8045000,8045000,284124000,109935000,174189000,25532000,25532000,14299000,8879000,8879000,332834000,30821000,16849000,9854000,6995000,47670000,380504000,17763000,6395000,4790000,6578000,17763000,1007000,761000,246000,53007000,70770000,161717000,-94000,147321000,790000,309734000,309734000,380504000,8045000,995000,547000,-2991000,6596000,-149000,-83753000,-83902000,-2084000,249000,-1835000,-79141000,-79141000,-79148000,8575000,5.2e+07,4743000,0.30611,0.17035,0.1808,0.02597,0.02114,0.58956,18.73749,0.22849,0.13666,0.38611,0.38581,2.13558,14.86533,0.22763,0.10002,0.02792,0.01308,0.25904,-27.06985,-30.62322
"13","2013_Q4",12.7553125,"Up",39678000,-28640000,11038000,-6106000,-6106000,4932000,-48000,4884000,4884000,-163000,4721000,4721000,4721000,4721000,291260000,128679000,162581000,22852000,22852000,14633000,6421000,6421000,335166000,30154000,16823000,9854000,6969000,46977000,382143000,15594000,6224000,2691000,6679000,15594000,1007000,761000,246000,53007000,68601000,162645000,-94000,149957000,1034000,313542000,313542000,382143000,4721000,1012000,446000,3531000,9710000,-160000,11098000,10938000,-2085000,690000,-1395000,19253000,19253000,18744000,5944000,5.2e+07,9478000,0.27819,0.1243,0.11898,0.01506,0.01235,2.00763,21.49327,0.21879,0.13607,0.22635,0.2257,1.90238,15.03294,0.45443,0.09997,0.01857,0.02586,0.44164,-40.25236,-48.51176
"14","2014_Q1",13.6472131147541,"Up",38151000,-27701000,10450000,-6465000,-6465000,3985000,-45000,3940000,3713000,-63737000,-60024000,-60024000,-60024000,-60024000,270356000,133150000,137206000,22881000,22881000,13871000,4132000,4132000,311240000,29674000,36179000,9847000,26332000,65853000,377093000,14243000,6109000,2995000,5139000,24243000,58307000,58124000,183000,152307000,176550000,163765000,-94000,35651000,1221000,200543000,200543000,377093000,-60024000,782000,65479000,1470000,7707000,-244000,24410000,-834000.000000015,-54282000,175000,-2271000,4602000.00000001,4602000.00000001,4471000,4767000,1.04e+08,69730000,0.27391,0.10445,-1.57333,-0.29931,-0.15918,-1.1617,12.83835,0.88036,0.27579,-2.8754,-2.88813,1.82759,9.60685,3.34036,2.60034,-0.01582,0.19217,-0.90434,-34.89742,-41.74555
"15","2014_Q2",13.5287301587302,"Down",48817000,-31888000,16929000,-6596000,-6596000,10333000,-206000,10127000,9860000,-1644000,8216000,8216000,8216000,8216000,277241000,135096000,142145000,28451000,28451000,15077000,3698000,3698000,324467000,28796000,36223000,9847000,26376000,65019000,389486000,20197000,9300000,4599000,6298000,32697000,58306000,58123000,183000,149806000,182503000,164142000,-94000,41779000,1156000,206983000,206983000,389486000,8216000,898000,617000,-392000,9339000,-53000,-5210000,-5263000,-2088000,76000,-2012000,2064000,2064000,1946000,11231000,1.04e+08,12430000,0.34678,0.21167,0.1683,0.03969,0.02109,1.5129,9.92345,0.88173,0.26702,0.39349,0.39146,2.33798,9.91298,0.59531,0.1,0.0279,0.03366,0.25414,-15.42525,-16.7658
"16","2014_Q3",13.965625,"Up",42349000,-30178000,12171000,-6252000,-6252000,5919000,-134000,5785000,5702000,-746999.999999993,4955000,4955000,4955000,4955000,285185000,114439000,170746000,22869000,22869000,15157000,4147000,4147000,327358000,28129000,36163000,9847000,26316000,64292000,391650000,17681000,7924000,3360000,6397000,32681000,58307000,58124000,183000,147307000,179988000,165951000,-94000,44643000,1162000,211662000,211662000,391650000,4955000,865000,517999.999999993,2473000,8811000,-179000,-28832000,-29011000,-2091000.00000001,1504000,-587000,-20787000,-20787000,-20657000,6784000,1.04e+08,9824999.99999999,0.2874,0.13977,0.117,0.02341,0.01265,1.98285,10.01677,0.85036,0.26554,0.2368,0.23563,2.02385,10.11527,0.46953,0.09993,0.01884,0.02627,0.422,-26.70769,-30.61075
"17","2014_Q4",12.1665625,"Down",34679000,-26081000,8598000,-5754000,-5754000,2844000,-139000,2705000,2069000,-38000,2031000,2031000,2031000,2031000,285307000,150256000,135051000,20975000,20975000,14197000,3105000,3105000,323584000,27362000,37866000,9847000,28019000,65228000,388812000,14629000,4622000,4321000,5686000,32129000,58385000,58124000,261000,144885000,177014000,166324000,-266000,44579000,1161000,211798000,211798000,388812000,2031000,890000,-1465000,1355000,2811000,-149000,35682000,35533000,-2095000,-143000,-2200000,36144000,36144000,35817000,3734000,1.04e+08,4978000,0.24793,0.08201,0.05857,0.00959,0.00522,2.45101,10.0714,0.83577,0.26748,0.09696,0.09676,1.65556,10.11114,0.23765,0.10001,0.01103,0.0133,1.03151,-48.5557,-63.7507
"18","2015_Q1",11.3465573770492,"Down",36241000,-24986000,11255000,-5771000,-5771000,5484000,-132000,5352000,5159000,-318000,4841000,4841000,4841000,4841000,272133000,141538000,130595000,21431000,21431000,14439000,5256000,5256000,313259000,26537000,10886000,9840000,1046000,37423000,350682000,15790000,6882000,4141000,4767000,29724000,55359000,54155000,1204000,139359000,169083000,166915000,-2832000,16048000,1468000,181599000,181599000,350682000,4841000,906000,-271000.000000001,2574000,8050000,-48999.9999999999,4271000,29222000,-33372000,-2443000,-46149000,-8877000,-8877000,-8718000,6390000,9.4e+07,9233000,0.31056,0.15132,0.13358,0.02666,0.0138,1.90725,10.53892,0.93108,0.26805,0.23167,0.23121,1.73435,8.69061,0.44185,1.59705,0.11546,0.0279,6.89362,-27.87684,-32.48231
"19","2015_Q2",11.4688888888889,"Up",37829000,-26462000,11367000,-5801000,-5801000,5566000,-104000,5462000,5338000,-561000,4777000,4777000,4777000,4777000,229018000,61559000,167459000,21523000,21523000,14533000,6126000,6126000,271200000,23821000,35786000,9840000,25946000,59607000,330807000,15454000,5904000,4220000,5330000,26769000,48368000,47164000,1204000,128618000,155387000,167384000,-12316000,18760000,1592000,175420000,175420000,330807000,4777000,837000,-10236000,-1196000,-5818000,1850000,-37358000,-60508000,-2065000,-9434000,-13999000,-80325000,-80325000,-79979000,6403000,91500000,7618000,0.30048,0.14714,0.12628,0.02723,0.01444,1.59472,10.13112,0.8858,0.2766,0.2325,0.23229,1.84119,8.53791,0.37078,0.10051,0.0217,0.02416,0.43228,-21.47712,-24.70679
"20","2015_Q3",9.558125,"Down",37947000,-27586000,10361000,-5009000,-5009000,5352000,-39000,5313000,5222000,-653000,4569000,4569000,4569000,4569000,229463000,89379000,140084000,21921000,21921000,14050000,5472000,5472000,270906000,23030000,36210000,9840000,26370000,59240000,330146000,16888000,8315000,3289000,5284000,29453000,48368000,47164000,1204000,124868000,154321000,167806000,-14757000,21290000,1486000,175825000,175825000,330146000,4569000,840000,671000,1719000,7799000,-50000,26975000,26925000,-2039000,-2441000,-6980000,27744000,27744000,27820000,6192000,8.9e+07,8514000,0.27304,0.14104,0.1204,0.02599,0.01384,1.86343,9.19791,0.8777,0.26958,0.22466,0.22463,1.86591,8.64557,0.41865,0.10026,0.0211,0.02718,0.44627,-22.68459,-26.24496
"21","2015_Q4",9.10328125,"Down",34323000,-24026000,10297000,-5264000,-5264000,5033000,-128000,4905000,4747000,-638000,4109000,4109000,4109000,4109000,229643000,76735000,152908000,20093000,20093000,12641000,5177000,5177000,267554000,22257000,36113000,9840000,26273000,58370000,325924000,12798000,5598000,2316000,4884000,26910000,48148000,47053000,1095000,120898000,147808000,168157000,-14757000,23374000,1342000,178116000,178116000,325924000,4109000,847000,821000,-972000,4805000,-94000,-13260000,-13354000,-2025000,0,-4525000,-13074000,-13074000,-12644000,5880000,86500000,5452000,0.3,0.14664,0.11972,0.02307,0.01261,1.32684,9.94255,0.82984,0.2654,0.20288,0.20288,1.69471,8.79455,0.26919,0.09999,0.01961,0.01743,0.49282,-24.34405,-28.44089
"22","2016_Q1",8.15393442622951,"Down",35756000,-25029000,10727000,-5137000,-5137000,5590000,-237000,5353000,5191000,-617000,4574000,4574000,4574000,4574000,237425000,97757000,139668000,22583000,22583000,10214000,1963000,1963000,272185000,21512000,21080000,9833000,11247000,42592000,314777000,13678000,6155000,2943000,4580000,16678000,45232000,43937000,1295000,117232000,133910000,168494000,-15020000,25922000,1471000,180867000,180867000,314777000,4574000,845000,-278000,2021000,7162000,-46999.9999999999,13967000,28920000,-2026000,-269000,-13991000,22091000,22091000,21022000,6435000,7.5e+07,9026000,0.30001,0.15634,0.12792,0.02529,0.01453,1.97333,16.32,0.74038,0.23826,0.22585,0.22588,1.76555,8.93082,0.44568,0.10004,0.02192,0.02998,0.44294,-25.24087,-29.05635
"23","2016_Q2",8.71125,"Up",31490000,-22703000,8787000,-5337000,-5337000,3450000,45000,3495000,3425000,-475000,2950000,2950000,2950000,2950000,242404000,106860000,135544000,18420000,18420000,1.2e+07,2322000,2322000,275146000,20743000,21114000,9833000,11281000,41857000,317003000,15513000,6838000,3464000,5211000,18513000,45179000,43937000,1242000,116429000,134942000,168846000,-15020000,26849000,1386000,182061000,182061000,317003000,2950000,827000,470000,4168000,8415000,-26000,3507000,3481000,-2023000,0,-2773000,9123000,9123000,9103000,4277000,74250000,8894000,0.27904,0.10956,0.09368,0.0162,0.00931,3.01492,14.86231,0.74119,0.23422,0.14579,0.14579,1.55621,8.99733,0.43954,0.09998,0.01649,0.0295,0.68576,-39.31588,-48.74029
"24","2016_Q3",9.0359375,"Up",29058000,-21824000,7234000,-5110000,-5110000,2124000,35000,2159000,2136000,-155000,1981000,1981000,1981000,1981000,239706000,103438000,136268000,18369000,18369000,11749000,2292000,2292000,272116000,19969000,21161000,9833000,11328000,41130000,313246000,12404000,4936000,2164000,5304000,15404000,44961000,43937000,1024000,115461000,130865000,169198000,-15020000,26806000,1397000,182381000,182381000,313246000,1981000,825000,512000,-2916000,402000,-68000,-1131000,-1199000,-2024000,-2.91038304567337e-11,-2774000,-3571000,-3571000,-3422000,2949000,73500000,120000,0.24895,0.0731,0.06817,0.01086,0.00632,0.0605800000000007,17.66528,0.71754,0.23464,0.0979,0.0979,1.43603,9.01315,0.00592999999999999,0.10002,0.01331,0.000400000000000005,1.02171,-56.36012,-78.25141
"25","2016_Q4",9.51222222222222,"Up",26462000,-19828000,6634000,-4604000,-4604000,2030000,87000,2117000,2004000,-129000,1875000,1875000,1875000,1875000,238824000,106474000,132350000,16013000,16013000,12587000,2329000,2329000,269753000,19333000,20958000,9833000,11125000,40291000,310044000,10613000,4692000,1276000,4645000,13613000,44524000,43938000,586000,114274000,127887000,169462000,-15020000,26658000,1057000,182157000,182157000,310044000,1875000,720000,448000,-1194000,1849000,-1e+05,3947000,3847000,-2023000,0,-2773000,2923000,2923000,3036000,2750000,72750000,1585000,0.2507,0.07671,0.07086,0.01029,0.00605,0.84533,19.81584,0.70207,0.23464,0.09266,0.09266,1.30773,9.00208,0.07833,0.09998,0.01302,0.00529,1.07893,-60.39055,-81.80985
"26","2017_Q1",10.4448387096774,"Up",27599000,-20213000,7386000,-4688000,-4688000,2698000,105000,2803000,2696000,-219000,2477000,2477000,2477000,2477000,238590000,102438000,136152000,17238000,17238000,11105000,2197000,2197000,269130000,18638000,20810000,9825000,10985000,39448000,308578000,10623000,4183000,3023000,3417000,14123000,43129000,42088000,1041000,111629000,125752000,169708000,-15020000,27112000,1026000,182826000,182826000,308578000,2477000,734000,-1315000,605000,2501000,-48000,-3603000,-3651000,-2023000,-3.63797880709171e-12,-2773000,-3923000,-3923000,-4036000,3432000,7.2e+07,4208000,0.26762,0.09776,0.08975,0.01355,0.00803,1.69883,19.05615,0.68782,0.23333,0.12241,0.12231,1.36392,9.03514,0.20796,0.09998,0.0151,0.01412,0.81671,-48.54021,-61.74574
"27","2017_Q2",9.7968253968254,"Down",27417000,-21095000,6322000,-4727000,-4727000,1595000,239000,1834000,473000,921000,1394000,1394000,1394000,1394000,237800000,47313000,190487000,17705000,17705000,10908000,2532000,2532000,268945000,17947000,20814000,9825000,10989000,38761000,307706000,11763000,3619000,2894000,5250000,15263000,42441000,42088000,353000,110191000,125454000,169947000,-15014000,26483000,836000,182252000,182252000,307706000,1394000,807000,284000,65000,2550000,-105000,-54804000,-54909000,-2023000,6000,-2767000,-55126000,-55126000,-55125000,2402000,71250000,1441000,0.23059,0.05818,0.05084,0.00765,0.00453,1.03372,17.62072,0.68835,0.23155,0.06889,0.06886,1.35493,9.00677,0.07121,0.09998,0.01155,0.00487,1.45122,-69.33805,-104.42006
"28","2017_Q3",10.3050793650794,"Up",-7336000,6519000,-817000.000000001,47000,47000,-770000,148000,-622000,739000,-1202000,-463000,520000,520000,520000,233064000,30191000,202873000,21182000,21182000,11919000,2582000,2582000,268747000,17616000,21781000,9825000,11956000,39397000,308144000,14397000,5444000,1891000,7062000,17647000,42390000,42088000,302000,109390000,127037000,170167000,-14963000,24979000,924000,181107000,181107000,308144000,-463000,98000,12000,-1178000,-1048000,-260000,-12872000,-13267000,-2024000,33000,-2991000,-17306000,-17306000,-17122000,-672000,70250000,-908000,0.11137,0.10496,-0.07088,0.00287,0.00169,-1.74615,15.22905,0.70145,0.22798,0.0257,0.02568,-0.36252,8.94974,-0.04487,0.10002,0.00866,-0.00309,3.89231,242.28274,211.44675
"29","2017_Q4",10.8606349206349,"Up",10229000,-7264000,2965000,-2509000,-2509000,456000,45000,501000,501000,-157000,344000,716000,716000,716000,231825000,30592000,201233000,16461000,16461000,11449000,2751000,2751000,262486000,17117000,21744000,9825000,11919000,38861000,301347000,10654000,3424000,591000,6639000,13654000,42257000,42088000,169000,108507000,122161000,170401000,-14963000,23671000,77000,179186000,179186000,301347000,344000,461000,1323000,285000,3477000,-63000,235000,32000,-2024000,0,-3024000,485000,485000,401000,917000,69250000,1296000,0.28986,0.04458,0.07,0.004,0.00238,1.81006,19.22411,0.68176,0.2298,0.03538,0.03534,0.50546,8.85438,0.06404,0.10001,0.00943,0.00446,2.82682,-177.29008,-356.52412
"30","2018_Q1",11.7708196721311,"Up",80886000,-62897000,17989000,-12182000,-12182000,5807000,-26000,5781000,-583000,19903000,19320000,17965000,17965000,17965000,108231000,18254000,89977000,6961000,6961000,3955000,22121000,1473000,141268000,9805000,21987000,9818000,370000,31792000,173060000,4303000,1825000,1456000,1022000,12227000,25572000,24411000,314000,25572000,37799000,169011000,-14878000,-21099000,131000,135261000,135261000,173060000,19320000,1655000,-38365000,17299000,-1638000,-458000,110376000,120193000,-62735000,57000,-131928000,-13373000,-13373000,-12338000,7462000,0,4400000,0.2224,0.07179,0.2221,0.13282,0.10381,0.24492,11.55377,0.27945,-2.77555756156289e-17,0.8876,0.88441,3.99634,6.5793,0.21739,3.09956,0.50176,0.02736,3.49207,-14.5042900000001,-18.6380200000001
"31","2018_Q2",12.96,"Up",31102000,-22594000,8508000,-4819000,-4819000,3689000,340000,4029000,3846000,-678000,3168000,3168000,3168000,3168000,106051000,16637000,89414000,21296000,21296000,12639000,2417000,2417000,142403000,15830000,11223000,9818000,1405000,27053000,169456000,13072000,4486000,2821000,5765000,13072000,19765000,19222000,543000,19765000,32837000,169198000,-14817000,-19954000,96000,136619000,136619000,169456000,3168000,704000,223000,-4354000,-259000,-13000,607000,594000,-2023000,47000,-1976000,-1641000,-1641000,-1617000,4393000,0,704000,0.27355,0.11861,0.10186,0.02319,0.0187,0.22222,10.89374,0.24035,0,0.15651,0.15609,1.53651,6.64574,0.03478,0.09994,0.03319,0.0045,0.63857,-24.14091,-28.7479
