"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",5.78109375,"Up",114490000,-69322000,45168000,-31717000,-15159000,-5224000,-11334000,13451000,-2801000,-2800000,-1000,10650000,10650000,-3569000,7081000,7081000,7081000,7081000,10263000,10263000,16762000,2925000,26422000,6184000,56372000,105426000,105426000,149495000,48369000,31430000,27391000,254921000,311293000,19336000,19336000,46529000,46529000,79250000,172762000,57462000,57462000,230224000,309474000,564527000,-488437000,-24745000,1819000,1819000,311293000,7081000,5224000,4668000,-9618000,7355000,-3006000,852000,-2154000,-5072000,-1584000,688000,-2272000,-1847000,-8503000,-3302000,-3302000,-3302000,18675000,186147000,9620000,0.39451,0.11749,0.06185,3.8928,0.02275,1.35857,0.71132,170.13414,0.59798,0.07668,0.07496,1.23974,0.0197,0.10417,0.02885,0.0392,9.41815,13.07591
"12","2013_Q3",5.825625,"Up",116571000,-71720000,44851000,-32237000,-14085000,-5352000,-12800000,12614000,-3879000,-2548000,-1331000,8735000,8735000,-2537000,6198000,6198000,6198000,6198000,2011000,2011000,16389000,2839000,26419000,4683000,47658000,104277000,104277000,149463000,48471000,31451000,30921000,253740000,301398000,18484000,18484000,48055000,48055000,73760000,169414000,55764000,55764000,225178000,298938000,565822000,-482239000,-22150000,2460000,2460000,301398000,6198000,5352000,6114000,-696999.999999998,16967000,-2381000,-2337000,-4718000,-10364000,-7942000,537000,-8479000,-2195000,-20501000,-8252000,-8252000,-8252000,17966000,176635000,17425000,0.38475,0.10821,0.05317,2.51951,0.02056,2.81139,0.64612,121.51951,0.58605,0.06762,0.06615,1.2718,0.02684,0.19011,0.02639,0.07419,9.71969,13.84367
"13","2013_Q4",6.79609375,"Up",117275000,-72665000,44610000,-31085000,-13704000,-5198000,-12183000,13525000,-2176000,-2452000,276000,11349000,11349000,-4318000,7031000,7031000,7031000,7031000,6330000,6330000,14167000,2890000,27073000,6111000,50460000,105174000,105174000,144275000,48479000,31451000,29516000,249449000,299909000,17009000,17009000,50228000,50228000,74407000,168166000,56951000,56951000,225117000,299524000,567416000,-475208000,-22607000,385000,385000,299909000,7031000,5198000,4874000,3291000,20394000,-4074000,1517000,-2557000,-2384000,-10349000,852000,-11201000,-785000,-13518000,4319000,4319000,4319000,18723000,175336000,22258000,0.38039,0.11533,0.05995,18.26234,0.02344,3.16569,0.67816,777.98442,0.58463,0.07809,0.07645,1.30253,0.00428,0.24721,0.03022,0.09566,9.02665,12.49582
"14","2014_Q1",6.72622950819672,"Down",114257000,-70766000,43491000,-35560000,-13887000,-5727000,-15946000,7931000,-2565000,-2482000,-82999.9999999998,5366000,5366000,-1104000,4262000,4262000,4262000,4262000,2943000,2943000,17321000,2881000,30681000,7417000,53826000,105620000,105620000,136331000,47925000,31451000,28665000,241951000,295777000,14237000,14237000,52698000,52698000,74085000,165923000,47338000,47338000,213261000,287346000,568555000,-470946000,-16842000,8431000,8431000,295777000,4262000,5727000,7712000,-5375000,12326000,-7357000,316000,-7041000,-3659000,-2209000,878000,-3087000,-2804000,-8672000,-3387000,-3387000,-3387000,13658000,173073000,2030000,0.38064,0.06941,0.0373,0.505520000000001,0.01441,0.4763,0.72654,34.0820799999995,0.58515,0.04774,0.04659,1.27987,0.09444,0.02274,0.01862,0.00887,12.45644,21.45127
"15","2014_Q2",6.52285714285714,"Down",111920000,-69507000,42413000,-31141000,-14116000,-5238000,-11787000,11272000,-2222000,-2322000,1e+05,9050000,9050000,-2619000,6431000,6431000,6431000,6431000,1414000,1414000,14216000,2916000,28276000,5940000,46822000,106480000,106480000,134429000,47516000,31451000,28269000,240909000,287731000,15817000,15817000,46708000,46708000,69759000,167498000,44732000,44732000,212230000,281989000,568740000,-464515000,-17050000,5742000,5742000,287731000,6431000,5238000,3875000,-2213000,13331000,-6857000,426000,-6431000,1254000,-8552000,44000,-8596000,-1131000,-8429000,-1529000,-1529000,-1529000,16510000,174732000,10059000,0.37896,0.10071,0.05746,1.11999,0.02235,1.56414,0.6712,49.10989,0.60728,0.07242,0.07081,1.26032,0.06466,0.11327,0.02856,0.04467,10.49776,15.37598
"16","2014_Q3",6.7665625,"Up",114614000,-68837000,45777000,-30832000,-14068000,-5281000,-11483000,14945000,-1942000,-2274000,332000,13003000,13003000,-4730000,8273000,8273000,8273000,8273000,1221000,1221000,13998000,2772000,27453000,5068000,45444000,108280000,108280000,130470000,47093000,31451000,27855000,238750000,284194000,14332000,14332000,45179000,45179000,66933000,172431000,44844000,44844000,217275000,284208000,569992000,-456242000,-17438000,-14000,-14000,284194000,8273000,5281000,4663000,-1616000,16601000,-6669000,137000,-6532000,4947000,-15058000,161000,-15219000,-151000,-10262000,-193000,-193000,-193000,20226000,179853000,16671000,0.3994,0.13039,0.07218,-590.92857,0.02911,2.01511,0.67895,-20300.57143,0.63285,0.09533,0.09354,1.32073,-0.000159999999999993,0.1921,0.03682,0.0742,8.8318,11.95263
"17","2014_Q4",8.86609375,"Up",117032000,-70598000,46434000,-31725000,-13439000,-5185000,-13101000,14709000,-2251000,-2284000,33000,12458000,12458000,-4115000,8343000,8343000,8343000,8343000,1450000,1450000,14759000,2743000,28350000,6329000,47302000,109268000,109268000,127709000,46683000,31451000,27971000,236977000,284279000,16408000,16408000,50220000,50220000,74180000,164172000,43500000,43500000,207672000,281852000,571760000,-447899000,-17138000,2427000,2427000,284279000,8343000,5185000,3941000,840000,18309000,-4354000,119000,-4235000,-9791000,-7493000,765000,-8258000,3439000,-13845000,229000,229000,229000,19894000,171724000,20495000,0.39676,0.12568,0.07129,3.43758,0.02935,2.45655,0.63767,116.13185,0.60407,0.09808,0.0956,1.37584,0.02853,0.24094,0.03833,0.09416,8.55906,11.57618
"18","2015_Q1",11.1644262295082,"Up",128729000,-76769000,51960000,-35555000,-17284000,-5514000,-12757000,16405000,-2155000,-2302000,147000,14250000,14250000,-4572000,9678000,9678000,9678000,9678000,3074000,3074000,18059000,2952000,31986000,7676000,56071000,109777000,109777000,124010000,46278000,31451000,27029000,233787000,289858000,13250000,13250000,59432000,59432000,80416000,151079000,56780000,56780000,207859000,288275000,572732000,-438221000,-24602000,1583000,1583000,289858000,9678000,5514000,8021000,3120000,26333000,-4196000,105000,-4091000,-13647000,-2786000,1199000,-3985000,-4185000,-20618000,1624000,1624000,1624000,21919000,158813000,25415000,0.40364,0.12744,0.07518,6.11371,0.03339,2.62606,0.69726,182.106760000001,0.5479,0.11433,0.11138,1.52079,0.0187,0.30025,0.04456,0.11702,7.10521,9.49339
"19","2015_Q2",11.1674603174603,"Up",120171000,-70521000,49650000,-34333000,-16936000,-5024000,-12373000,15317000,-2116000,-2087000,-29000,13201000,13201000,-4668000,8533000,8533000,8533000,8533000,1718000,1718000,14140000,2680000,30963000,6855000,49501000,108412000,108412000,123151000,45992000,31451000,28088000,231563000,281064000,16307000,16307000,49564000,49564000,69142000,150189000,57830000,57830000,208019000,277161000,573172000,-429688000,-26152000,3903000,3903000,281064000,8533000,5024000,5537000,-8471000,10623000,-3446000,46000,-3400000,-5589000,-4544000,368000,-4912000,1554000,-8579000,-1356000,-1356000,-1356000,20341000,153460000,13092000,0.41316,0.12746,0.07101,2.18627,0.03036,1.53428,0.71593,71.0123,0.546,0.10054,0.09756,1.41586,0.04599,0.15425,0.03965,0.06084,7.45991,9.90677
"20","2015_Q3",11.666875,"Up",123319000,-71670000,51649000,-34235000,-16827000,-5314000,-12094000,17414000,-2181000,-2264000,83000,15233000,15233000,-5499000,9734000,9734000,9734000,9734000,5125000,5125000,13749000,2820000,29746000,6665000,51440000,113467000,113467000,120207000,45728000,31451000,30149000,233674000,285114000,12277000,12277000,54440000,54440000,69976000,157345000,55079000,55079000,212424000,282400000,574775000,-419954000,-22569000,2714000,2714000,285114000,9734000,5314000,5672000,5545000,26265000,-7335000,-1692000,-9027000,5658000,-16245000,33000.0000000001,-16278000,-3244000,-13831000,3407000,3407000,3407000,22728000,160604000,26437000,0.41882,0.14121,0.07893,3.58659,0.03414,2.71594,0.73511,104.05306,0.5633,0.1158,0.11368,1.46705,0.03229,0.31451,0.04457,0.12105,6.84086,8.92839
"21","2015_Q4",10.261875,"Down",123778000,-73351000,50427000,-34704000,-16008000,-5422000,-13274000,15723000,-2919000,-2327000,-592000,12804000,12804000,-3854000,8950000,8950000,8950000,8950000,8601000,8601000,13187000,2908000,31207000,8035000,55903000,117402000,117402000,116402000,46211000,31898000,26046000,233804000,289707000,13749000,13749000,57121000,57121000,74183000,166392000,56680000,56680000,223072000,297255000,576570000,-411004000,-25846000,-7548000,-7548000,289707000,8950000,5422000,5657000,10000,20039000,-7651000,-476000,-8127000,7195000,-16050000,70000,-16120000,419000,-8436000,3476000,3476000,3476000,21145000,169705000,17358000,0.4074,0.12703,0.07231,-1.18574,0.03089,1.93944,0.75358,-39.38196,0.58578,0.10793,0.10516,1.4927,-0.09103,0.20933,0.0409,0.07932,7.61901,10.24639
"22","2016_Q1",9.73426229508197,"Down",124025000,-74532000,49493000,-34796000,-16831000,-5712000,-12253000,14697000,-2206000,-2605000,399000,12491000,12491000,-3732000,8759000,8759000,8759000,8759000,1671000,1671000,16552000,3117000,15074000,14143000,36414000,124816000,124816000,135807000,46074000,33454000,27120000,260623000,297037000,20759000,20759000,77548000,77548000,101553000,212499000,43580000,43580000,256079000,357632000,566429000,-402245000,-23777000,-60595000,-60595000,297037000,8759000,5712000,6743000,5144000,26358000,-8545000,-3636000,-12181000,44142000,-55073000,261000,-55334000,-10176000,-21107000,-6930000,-6930000,-6930000,20409000,215745000,20740000,0.39906,0.1185,0.07062,-0.14455,0.02949,2.36785,0.35857,-5.90201,0.72632,0.11136,0.10852,1.57688,-0.77042,0.26369,0.04407,0.10436,10.4892,14.56583
"23","2016_Q2",10.55265625,"Up",124642000,-71917000,52725000,-34492000,-16927000,-5493000,-12072000,18233000,-2801000,-2774000,-27000,15432000,15432000,-5478000,9954000,9954000,9954000,9954000,4137000,4137000,13819000,2861000,9817000,9566000,30634000,122444000,122444000,135759000,46311000,33667000,27355000,258203000,288837000,15982000,15982000,60258000,60258000,79528000,218192000,48544000,48544000,266736000,346264000,568226000,-392291000,-28457000,-57427000,-57427000,288837000,9954000,5493000,5685000,-12463000,8669000,-3831000,287000,-3544000,5244000,-3542000,290000,-3832000,-4361000,-2659000,2466000,2466000,2466000,23726000,221480000,12910000,0.42301,0.14628,0.07986,-0.17333,0.03446,1.29697,0.3852,-6.02964,0.7668,0.12917,0.1262,1.61747,-0.74522,0.16753,0.04682,0.06073,9.16054,11.92031
"24","2016_Q3",10.8453125,"Up",124315000,-71621000,52694000,-57527000,-16206000,-5105000,-36216000,-4833000,-2895000,-3014000,119000,-7728000,-7728000,-3824000,-11552000,-11552000,-11552000,-11552000,6693000,6693000,14109000,2796000,6894000,6894000,30492000,126075000,126075000,136673000,48779000,33668000,27562000,262748000,293240000,14289000,14289000,57441000,57441000,75006000,218457000,52434000,52434000,270891000,345897000,569767000,-403843000,-9853000,-52657000,-52657000,293240000,-11552000,5105000,27915000,-7285000,14183000,-4142000,213000,-3929000,-3799000,-3899000,33000,-3932000.00000001,0,-7698000,2556000,2556000,2556000,272000,221733000,-7331000,0.42387,-0.03888,-0.09293,0.21938,-0.03939,0.63461,0.40653,-6.56887,0.75615,-0.15055,-0.15421,1.62016,-0.68626,-0.09554,-0.05215,-0.0331,790.58824,-44.4941
"25","2016_Q4",11.6557142857143,"Up",128386000,-74021000,54365000,-36788000,-17558000,-5609000,-13621000,17577000,-2574000,-3117000,543000,15003000,15003000,-5277000,9726000,9726000,9726000,9726000,1526000,1526000,14175000,3009000,7170000,7170000,25880000,131537000,131537000,140315000,53897000,35270000,28065000,271852000,297732000,14877000,14877000,55745000,55745000,73933000,225227000,52324000,52324000,277551000,351484000,583934000,-394117000,-9808000,-53752000,-53752000,297732000,9726000,5609000,5774000,-829000,20280000,-6642000,-11778000,-18420000,4177000,-11204000,169000,-11373000,0,-7027000,-5167000,-5167000,-5167000,23186000,228538000,20992000,0.42345,0.13691,0.07576,-0.18094,0.03267,2.15834,0.35005,-6.53899,0.7676,0.12994,0.12102,1.7152,-0.71811,0.28045,0.04283,0.09243,9.79091,12.91529
"26","2017_Q1",12.4270967741935,"Up",129605000,-76113000,53492000,-37470000,-17269000,-5971000,-14230000,16022000,-2853000,-3327000,474000,13169000,13169000,-1895000,11274000,11274000,11274000,11274000,2592000,2592000,19841000,3046000,10428000,9408000,35907000,133102000,133102000,137142000,54493000,35233000,29733000,270244000,306151000,25289000,25289000,64796000,64796000,93370000,242306000,41587000,41587000,283893000,377263000,579022000,-382843000,-1407000,-71112000,-71112000,306151000,11274000,5971000,4710000,6075000,28030000,-5134000,-1629000,-6763000,14678000,-32109000,397000,-32506000,-2770000,-20201000,1066000,1066000,1066000,21993000,245591000,24829000,0.41273,0.12362,0.08699,-0.15854,0.03682,2.20232,0.38457,-5.30519,0.80219,0.15517,0.15099,1.78377,-0.97872,0.34172,0.05218,0.11491,11.0489199999999,15.16658
"27","2017_Q2",11.9706349206349,"Down",127910000,-75010000,52900000,-36599000,-17509000,-5736000,-13354000,16301000,-3184000,-3541000,357000,13117000,13117000,-4744000,8373000,8373000,8373000,8373000,1740000,1740000,18738000,3088000,8031000,6277000,31597000,133141000,133141000,143421000,54703000,35607000,29266000,276562000,308159000,21030000,21030000,52719000,52719000,77068000,254481000,41292000,41292000,295773000,372841000,588444000,-366050000,-2016000,-64682000,-64682000,308159000,8373000,5736000,6202000,-12290000,8021000,-3017000,-3946000,-6963000,10674000,-11612000,130000,-11742000,-972000,-1910000,-852000,-852000,-852000,22037000,257800000,11474000,0.41357,0.12744,0.06546,-0.12945,0.02717,1.37036,0.40999,-5.76422,0.83658,0.11792,0.11432,1.80145,-0.91096,0.1616,0.03572,0.04895,11.61955,15.70824
"28","2017_Q3",11.8496825396825,"Down",133376000,-79008000,54368000,-37359000,-16581000,-5799000,-14979000,17009000,-3330000,-3740000,410000,13679000,13679000,-4930000,8749000,8749000,8749000,8749000,1668000,1668000,16742000,3047000,6553000,5821000,28010000,135653000,135653000,143241000,56391000,36308000,28788000,278894000,306904000,21428000,21428000,56521000,56521000,81273000,261362000,44168000,44168000,305530000,386803000,590426000,-357301000,-3546000,-79899000,-79899000,306904000,8749000,5799000,7336000,2913000,24797000,-5191000,-532000,-5723000,4193000,-23882000,5000.00000000003,-23887000,543000,-19146000,-72000.0000000009,-72000.0000000009,-72000.0000000009,22808000,264686000,25460000,0.40763,0.12753,0.0656,-0.1095,0.02851,2.91005,0.34464,-4.84115,0.86244,0.12606,0.12206,1.92168,-1.15118,0.36683,0.03821,0.1112,11.53183,15.46346
"29","2017_Q4",13.0193650793651,"Up",132384000,-76775000,55609000,-37074000,-16446000,-5958000,-14670000,18535000,-3781000,-4067000,286000,14754000,14754000,-5429000,9325000,9325000,9325000,9325000,1663000,1663000,17423000,2998000,8573000,8573000,30657000,138049000,138049000,140520000,56075000,37821000,28658000,278569000,309226000,19002000,19002000,53748000,53748000,76039000,288096000,42688000,42688000,330784000,406823000,592849000,-347976000,-3323000,-97597000,-97597000,309226000,9325000,5958000,6917000,-11493000,10707000,-5350000,-1752000,-7102000,25966000,-30284000,38000,-30322000,708000,-3610000,-5000,-5000,-5000,24493000,291385000,13079000,0.42006,0.14001,0.07044,-0.09555,0.03016,1.40257,0.40317,-4.1684,0.9423,0.13944,0.13473,1.97957,-1.45939,0.19557,0.03943,0.05531,11.82877,15.63108
