"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2018_Q4",61.7233333333333,"Down",-114360000,-31104000,-82561000,-99162000,4498000,4498000,-94664000,-94664000,-94664000,-94664000,-94664000,-94664000,669892000,156478000,513414000,24787000,16458000,695542000,24613000,208508000,416000,416000,233537000,929079000,41919000,16616000,25303000,42827000,84746000,84120000,17826000,84120000,168866000,1775171000,-1012839000,-2119000,760213000,760213000,929079000,-94664000,-94664000,1797000,22944000,6084000,-63839000,-3140000,5911000,2771000,7223000,7223000,7223000,-53845000,-53845000,-53845000,-97365000,0,-0.12452,-0.10189,8.20737,0.22213,0,-1.6312,-1.6312,13.09958,-0.11212,6.88021,6.75553
"22","2019_Q1",58.2459016393443,"Down",-124972000,-31858000,-93809000,-96356000,4562000,4562000,-91794000,-91794000,-91794000,-91794000,-91794000,-91794000,585302000,70502000,514800000,27609000,17167000,613780000,24320000,220119000,238000.000000002,238000.000000002,244677000,858457000,60027000,17880000,42147000,33476000,93503000,77417000,17608000,77417000,170920000,1794341000,-1104633000,-2171000,687537000,687537000,858457000,-91794000,-91794000,1911000,16930000,-1234000,-74187000,-1053000,-11752000,-12805000,1015999.99999997,1016000.00000001,1016000.00000001,-85976000,-85976000,-85976000,-94445000,0,-0.13351,-0.10693,6.56428,0.2486,0,-1.57658,-1.57658,11.8086,-0.12,6.19728,6.07437
"23","2019_Q2",53.4457142857143,"Down",-127710000,-31791000,-95585000,-97483000,4405000,4405000,-93078000,-93078000,-93078000,-93078000,-93078000,-93078000,524557000,103443000,421114000,30210000,19696000,557095000,23974000,183234000,57828000,57828000,265036000,822131000,49612000,12413000,37199000,31295000,80907000,120967000,66006000,120967000,201874000,1818452000,-1197711000,-484000,620257000,620257000,822131000,-93078000,-93078000,2005000,19062000,-31260000,-103271000,-2038000,133390000,131352000,4860000,4860000,4860000,32941000,32941000,32941000,-95478000,0,-0.15006,-0.11322,6.88562,0.32547,0,-1.59233,-1.59233,10.61104,-0.12557,5.49401,5.38101
"24","2019_Q3",41.39640625,"Down",-140082000,-32390000,-107389000,-113861000,3990000,3990000,-109871000,-109871000,-109871000,-109871000,-109871000,-109871000,495390000,83580000,411810000,33656000,19063000,533705000,23016000,128649000,98500000,98500000,250165000,783870000,64653000,15435000,49218000,24851000,89504000,161689000,110073000,161689000,251193000,1839769000,-1307582000,490000,532677000,532677000,783870000,-109871000,-109871000,2037000,19782000,-98999.9999999925,-88151000,-1271000,65751000,64480000,3808000,3808000,3808000,-19863000,-19863000,-19863000,-111824000,0,-0.20626,-0.14016,5.96292,0.47157,0,-1.87096,-1.87096,9.07079,-0.15823,4.43009,4.35083
"25","2019_Q4",37.79421875,"Down",-135084000,-33019000,-101672000,-109060000,2887000,2887000,-106173000,-106173000,-106173000,-106173000,-106173000,-106173000,451897000,81709000,370188000,32398000,19985000,490144000,24060000,88579000,95833000,95833000,208472000,698616000,68261000,21511000,46750000,24171000,92432000,157893000,108096000,157893000,250325000,1861582000,-1413755000,464000,448291000,448291000,698616000,-106173000,-106173000,2082000,20434000,-1932000,-85589000,-2038000,82419000,80381000,3337000,3337000,3337000,-1871000,-1871000,-1871000,-106978000,0,-0.23684,-0.15198,5.30275,0.5584,0,-1.80546,-1.80546,7.62316,-0.17515,4.2242,4.14356
"26","2020_Q1",46.2093548387097,"Up",86607000,-4807000,90384000,4134999.99999999,3579000,3579000,7713999.99999999,7714000.00000001,7714000,-102350000,-102350000,-102350000,564877000,80931000,483946000,30544000,24177000,611704000,31472000,152929000,94636000,94636000,279037000,890741000,75038000,21896000,53142000,17848000,92886000,157327000,106747000,157327000,250213000,2156431000,-1516105000,202000,640528000,640528000,890741000,7714000,-102350000,1964000,5161000,26016000,-93611000,-6681000,-177949000,-184773000,277719000,277719000,277606000,-778000,-778000,-778000,6099000.00000001,0,-0.15979,-0.1149,6.58553,0.39064,0,-1.59939,-1.59939,10.00929,-0.12828,-92.61797,-136.60871
"27","2020_Q2",46.3036507936508,"Up",-87030000,-31672000,-55358000,-87030000,2936000,2936000,-84094000,-84094000,-84094000,-40256000,-40256000,-40256000,528621000,89093000,439528000,48875000,29152000,587274000,33840000,84503000,94121000,94121000,212464000,799738000,58338000,18707000,39631000,11520000,69858000,104581000,104581000,104581000,174439000,2181586000,-1556361000,74000,625299000,625299000,799738000,-84094000,-40256000,2474000,17999000,-15160000,-105358000,-4196000,112590000,108135000,5465000,5465000,5385000,8162000,8162000,8162000,-84556000,0,-0.06438,-0.05034,8.40668,0.27897,0,-0.58675,-0.58675,9.11405,-0.05515,6.25173,6.07401
"28","2020_Q3",43.83109375,"Down",-83264000,-29177000,-54087000,-83264000,1769000,1769000,-81495000,-81495000,-81495000,-90478000,-90478000,-90478000,790128000,295858000,494270000,44996000,26959000,846355000,33925000,4285000.00000001,91576000,91576000,129786000,976141000,57372000,15461000,41911000,6981000,64353000,353323000,353323000,353323000,417676000,2203668000,-1646839000,1636000,558465000,558465000,976141000,-81495000,-90478000,2413000,20193000,1479000,-67797000,-4144000,26692000,22459000,1652000,1652000,252103000,206765000,206765000,206765000,-80851000,0,-0.16201,-0.09269,13.15176,0.7479,0,-1.31204,-1.31204,8.0984,-0.09923,9.77264,9.48943
"29","2020_Q4",39.53875,"Down",-80290000,-28347000,-51943000,-80290000,1115000,1115000,-79175000,-79175000,-79175000,-98979000,-98979000,-98979000,605539000,104855000,500684000,52176000,28861000,669086000,33495000,116889000,88979000,88979000,239363000,908449000,62577000,12853000,49724000,7194000,69771000,358226000,358226000,358226000,427997000,2225607000,-1745818000,663000,480452000,480452000,908449000,-79175000,-98979000,2315000,18281000,1965000,-68207000,-5204000,-121040000,-126244000,3532000,3532000,3448000,-191003000,-191003000,-191003000,-77975000,0,-0.20601,-0.10895,9.58974,0.89082,0,-1.43138,-1.43138,6.94803,-0.11802,7.76581,7.5419
"30","2021_Q1",49.5232786885246,"Up",-85332000,-25909000,-59423000,-85332000,791000,791000,-84541000,-84541000,-84541000,-97656999.9999999,-97656999.9999999,-97656999.9999999,572929000,127436000,445493000,63748000,15889000,636677000,30815000,97608000,87852000,85251000,216275000,852952000,48525000,17724000,30801000,45869000,94394000,359058000,359058000,359058000,453452000,2242870000,-1843475000,105000,399500000,399500000,852952000,-84541000,-97656999.9999999,2588000,17133000,13681000,-49397000,-562000,72413000,71396000.0000001,667999.999999993,667999.999999998,582000.00000003,22581000,22581000,22581000,-82744000,0,-0.24445,-0.11449,6.74489,1.13505,0,-1.40972,-1.40972,5.76696,-0.12874,6.92412,6.71412
"31","2021_Q2",55.92,"Up",-91217000,-33550000,-57667000,-91217000,340000,340000,-90877000,-90877000,-90877000,1874325000,1874325000,1874325000,2335603000,1888025000,447578000,19511000,19511000,2355114000,28976000,21598000,82746000,82746000,133320000,2488434000,88195000,51224000,36971000,8309000,96504000,95300000,95300000,95300000,191804000,2265783000,30850000,-3000,2296630000,2296630000,2488434000,-90877000,1874325000,2479000,18935000,-20763000,-120749000,-1012000,72153000,1874077000,7347000,7347000,7261000,1760589000,1760589000,1760589000,-88738000,0,0.81612,0.75321,24.40431,0.08352,0,26.95183,26.95183,33.02436,0.7836,26.32021,25.60491
"32","2021_Q3",48.3103125,"Down",-91222000,-29215000,-62007000,-91222000,6432000,-91999.9999999999,-84790000,-82790000,-82790000,-86217000.0000005,-86217000.0000005,-86217000.0000005,1672988000,969124000,703864000,29574000,21443000,1702562000,27056000,61313000,83672000,83672000,172041000,1874603000,50878000,7654000.00000001,43224000,9771000,60649000,92138000,92138000,92138000,152787000,2306374000,-55367000,-144000,1721816000,1721816000,1874603000,-82790000,-86217000.0000005,2350000,18998000,-7561000,-117294000,-249000,-297900000,-298149000,-503374000,25673000,-503458000,-918901000,-918901000,-918901000,-88872000,0,-0.0500699999999998,-0.04599,28.07238,0.08874,0,-1.23976,-1.23976,24.75883,-0.04753,18.82469,18.33974
"33","2021_Q4",40.2515625,"Down",-91152000,-27152000,-6.4e+07,-91152000,4897000,256000,-86255000,-84259000,-84259000,-88766000,-88766000,-88766000,1266057000,400224000,865833000,39228000,32238000,1305285000,25342000,130139000,80732000,80732000,236213000,1541498000,47601000,10308000,37293000,10295000,57896000,88840000,88840000,88840000,146736000,2322531000,-144133000,-198000,1394762000,1394762000,1541498000,-84259000,-88766000,2209000,16418000,-9234000,-85184000,22000,-232753000,-232731000,-250382000,4009000,-250985000,-568900000,-568900000,-568900000,-88943000,0,-0.06364,-0.05758,22.54534,0.10521,0,-1.42019,-1.42019,22.31509,-0.05983,14.23448,13.88951
"34","2022_Q1",30.555,"Down",-104827000,-31528000,-73299000,-104827000,3600000,332000,-101227000,-98584000,-98584000,-94627000,-94627000,-94627000,1020018000,203126000,816892000,44213000,39835000,1064231000,28923000,266375000,78207000,78207000,373505000,1437736000,48667000,16700000,31967000,11159000,59826000,85935000,85935000,85935000,145761000,2334419000,-238760000,-1198000,1291975000,1291975000,1437736000,-98584000,-94627000,2202000,15655000,736000,-84093000,-4502000,-89917000,-94418999.9999999,-18781000,267000,-18586000,-197098000,-197098000,-197098000,-102625000,0,-0.07324,-0.06582,17.78877,0.11282,0,-2.32593,-2.32593,31.75678,-0.06867,9.93927,9.73049
"35","2022_Q2",22.5866129032258,"Down",-101638000,-31515000,-70123000,-101145000,3667000,694000,-97478000,-94774000,-94774000,-94774000,-94774000,-94774000,923529000,80026000,843503000,48591000,43226000,975145000,29195000,255836000,75683000,75683000,360714000,1335859000,31298000,11551000,19747000,14494000,45792000,82614000,82614000,82614000,128406000,2351218000,-333534000,-7745000,1207453000,1207453000,1335859000,-94774000,-94774000,2478000,19096000,-24535000,-97735000,-2804000,-23769000,-26573000,1289000,1289000,1208000,-123100000,-123100000,-123100000,-98667000,0,-0.07849,-0.07095,21.2951,0.10634,0,-1.74425,-1.74425,22.22229,-0.07346,9.36006,9.13074
"36","2022_Q3",26.82359375,"Up",-102787000,-28264000,-74523000,-97640000,3130000,1793000,-94510000,-91806000,-91806000,-91806000,-91806000,-91806000,819309000,88543000,730766000,45040000,42336000,870007000,27382000,280845000,74233000,74233000,382460000,1252467000,36173000,7790000,28383000,12223000,48396000,80001000,80001000,80001000,128397000,2362398000,-425340000,-10502000,1124070000,1124070000,1252467000,-91806000,-91806000,2291000,13890000,1396000,-74229000,-1926000,84739000,82813000,16000,16000,-67000.0000000037,8517000,8517000,8517000,-95349000,0,-0.08167,-0.0733,17.97684,0.11423,0,-1.6753,-1.6753,20.51235,-0.07625,8.59274,8.39112
