"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2015_Q3",30.66890625,"Down",465993000,-147216000,318777000,-166186000,-10183000,-68554000,-87449000,152591000,-4358000,-23379000,18941000,80000,148233000,146613000,-12246000,134367000,134367000,-46716000,87651000,87651000,89262000,89262000,172427000,12023000,12023000,273712000,4521347000,890851000,1270549000,393035000,31172000,6682747000,6956459000,212742000,45376000,167366000,212742000,2677023000,305259000,5332000,299927000,2982282000,3195024000,1149840000,1149840000,2611595000,3761435000,6956459000,134367000,68554000,9703000,-35653000,176971000,-149531000,-150231000,-150231000,-157654000,-74977000,138954000,-80156000,10122000,29439000,29439000,29439000,221145000,2677023000,48207000,0.68408,0.32745,0.1881,0.0233,0.0126,0.54999,1.28659,0.84942,0.38483,0.39607,0.39607,2.10571,5.19584,0.21784,0.3388,0.02412,0.00715,0.8554,11.70165,16.9588
"12","2015_Q4",23.04171875,"Down",432515000,-127704000,304811000,-176027000,-10884000,-67367000,-97776000,128784000,-5476000,-27548000,21976000,95999.9999999999,123308000,198227000,-12644000,185583000,185583000,-76364000,109219000,109219000,74842000,74842000,150427000,11540000,11540000,236809000,4531919000,889627000,1257646000,387633000,30779000,6679192000,6916001000,222766000,57598000,165168000,222766000,2587189000,310158000,6540000,303618000,2897347000,3120113000,1170275000,1170275000,2625613000,3795888000,6916001000,185583000,67367000,-65253000,36376000,224073000,2951000,-144050000,-144050000,3227000,-79630000,-89585000,-72482000,-241720000,-14420000,-14420000,-14420000,196151000,2587189000,248122000,0.70474,0.29776,0.25252,0.02877,0.01579,2.27178,1.06304,0.82197,0.37409,0.49894,0.49894,1.97586,5.34616,1.13349,0.36377,0.02821,0.03707,0.72909,12.80823,19.50822
"13","2016_Q1",16.9395081967213,"Down",416558000,-114041000,302517000,-173769000,-11445000,-67715000,-94609000,128748000,-16030000,-27310000,12114000,-834000,112718000,-146385000,-8372000,-154757000,-154757000,139766000,-14991000,-14991000,99694000,99694000,193113000,8557000,8557000,301364000,4858779000,878887000,1264314000,419186000,13001000,7001980000,7303344000,235565000,98661000,136904000,235565000,2690651000,457030000,139704000,317326000,3147681000,3383246000,1060842000,1491440000,2428658000,3920098000,7303344000,-154757000,67715000,276585000,-2030000,187513000,-132998000,-132116000,-132116000,-131626000,-83461000,119769000,-67343000,-31035000,24852000,24852000,24852000,196463000,2690651000,69807000,0.72623,0.30908,-0.03599,-0.00382,-0.00205,-4.65659,1.27932,0.86305,0.36841,-0.06923,-0.06923,1.92359,6.88721,0.32236,0.38541,0.00969,0.00988,-5.56741,13.18802,20.12425
"14","2016_Q2",23.39171875,"Up",383141000,-76467000,306674000,-164173000,-12515000,-65095000,-86563000,142501000,-10959000,-27914000,16814000,141000,131542000,124392000,-6633000,117759000,117759000,-35943000,81816000,81816000,111456000,111456000,179601000,4064000,4064000,295121000,4940219000,870588000,1259755000,419186000,15549000,7070562000,7365683000,260010000,103754000,156256000,260010000,3049325000,331243000,5906000,325337000,3380568000,3640578000,876876000,876876000,2848229000,3725105000,7365683000,117759000,65095000,18830000,34199000,235883000,-136849000,-136987000,-136987000,-842818000,-88389000,355168000,351918000,618697000,11762000,11762000,11762000,207596000,3049325000,111579000,0.80042,0.37193,0.21354,0.02196,0.01111,1.36378,1.13504,0.97731,0.41399,0.37376,0.37376,1.7503,4.00583,0.50973,0.40379,0.02395,0.0157,1.08034,14.15186,20.61648
"15","2016_Q3",22.59,"Down",428664000,-104849000,323815000,-166458000,-11887000,-67305000,-87266000,157357000,10453000,-9204000,19693000,-36000,167810000,166103000,-326000,165777000,165777000,-76914000,88863000,88863000,159671000,159671000,221485000,6011000,6011000,387167000,5002144000,866125000,1252377000,419186000,15278000,7120646000,7507813000,241706000,90914000,150792000,241706000,2960004000,172309000,6020000,166289000,3132313000,3374019000,1052619000,1052619000,3081175000,4133794000,7507813000,165777000,67305000,-9730000,-67420000,155932000,-118324000,-118936000,-118936000,-110006000,-92767000,-90465000,185521000,2289000,48215000,48215000,48215000,224662000,2960004000,39244000,0.75541,0.36709,0.2073,0.0215,0.01184,0.44162,1.60181,0.8162,0.39426,0.40595,0.40595,1.95826,4.80868,0.17928,0.42379,0.025,0.0054,1.04393,12.46465,17.79605
"16","2016_Q4",26.0044444444444,"Up",481645000,-145643000,336002000,-164783000,-12112000,-67246000,-85425000,171219000,-6617000,-27076000,20294000,165000,164602000,169647000,-472000,169175000,169175000,-77778000,91397000,91397000,146348000,146348000,214058000,9344000,9344000,369750000,5030894000,859286000,1244769000,419186000,14778000,7134949000,7504699000,254585000,101101000,153484000,254585000,2935395000,162389000,6360000,156029000,3097784000,3352369000,1071185000,1071185000,3081145000,4152330000,7504699000,169175000,67246000,11153000,15311000,262885000,-109110000,-116802000,-116802000,-87868000,-94958000,-25192999.9999999,-68189000,-188340000,-13323000,-13323000,-13323000,238465000,2935395000,145138000,0.69761,0.35549,0.18976,0.02201,0.01218,1.588,1.45236,0.80735,0.39114,0.41753,0.41753,2.2003,4.89349,0.66303,0.4338,0.0257,0.02002,1.03896,11.69583,16.28935
"17","2017_Q1",27.71,"Up",510820000,-167235000,343585000,-174938000,-12734000,-73287000,-88917000,168647000,-13343000,-35534000,21916000,275000,155304000,145210000,-941000,144269000,144269000,-60573000,83696000,83696000,359072000,359072000,223021000,13498000,13498000,595591000,5049932000,854208000,1236366000,417610000,15058000,7140506000,7736097000,315387000,247076000,68311000,315387000,3119461000,190483000,6402000,184081000,3309944000,3625331000,1048143000,1048143000,3062623000,4110766000,7736097000,144269000,73287000,17838000,22982000,258376000,-69597000,-107268000,-107268000,-64842000,-97968000,185767000,-68609000,19190000,212724000,212724000,212724000,241934000,3119461000,196260000,0.67261,0.33015,0.16385,0.02036,0.01082,2.34491,1.88844,0.88191,0.40323,0.38219,0.38219,2.33264,4.7863,0.89621,0.44737,0.02448,0.02645,1.17052,11.40968,16.36785
"18","2017_Q2",27.2204761904762,"Down",516193000,-189359000,326834000,-169232000,-13476000,-69702000,-86054000,157602000,-11901000,-31808000,19461000,446000,145701000,106213000,-3552000,102661000,102661000,-26721000,75940000,75940000,122653000,122653000,152544000,11038000,11038000,286235000,5266813000,851102000,1230632000,417610000,16431000,7348547000,7634782000,280150000,186882000,93268000,280150000,3120257000,192217000,9529000,182688000,3312474000,3592624000,1042403000,1042403000,2999755000,4042158000,7634782000,102661000,69702000,50618000,-31308000,191673000,-125910000,-125944000,-125944000,-252434000,-101254000,1012999.99999997,-75259000,-175658000,-236419000,-236419000,-236419000,227304000,3120257000,73638000,0.63316,0.30532,0.14712,0.01879,0.00995,0.96969,1.02172,0.88879,0.40869,0.34692,0.34692,2.35812,4.76201,0.3364,0.46256,0.02409,0.01001,1.33334,13.18764,19.02009
"19","2017_Q3",25.6625396825397,"Down",525450000,-203277000,322173000,-173300000,-11197000,-74031000,-88072000,148873000,-10072000,-32072000,21728000,272000,138801000,175196000,-843000,174353000,174353000,-69409000,104944000,104944000,188829000,188829000,136406000,10448000,10448000,335683000,5347794000,841151000,1223124000,417610000,16031000,7412069000,7747752000,277536000,198496000,79040000,277536000,3281065000,152695000,10169000,142526000,3433760000,3711296000,1070254000,1070254000,2966202000,4036456000,7747752000,174353000,74031000,-7745000,-954000,239685000,-111278000,-134536000,-134536000,-110697000,-107549000,156213000,-111451000,-62812000,66176000,66176000,66176000,222904000,3281065000,111515000,0.61314,0.28332,0.19972,0.026,0.01355,1.06261,1.20951,0.91944,0.42349,0.47942,0.47942,2.40041,4.88924,0.50943,0.49132,0.02845,0.01493,1.02482,13.8725,20.77097
"20","2017_Q4",23.9573015873016,"Down",574695000,-239223000,335472000,-176212000,-12922000,-72539000,-90751000,159260000,-10062000,-31892000,21519000,311000,149198000,147111000,-510000,146601000,146601000,-50399000,96202000,96202000,153036000,153036000,192437000,13497000,13497000,358970000,5507714000,833622000,1215613000,417610000,15627000,7556949000,7915919000,393567000,302848000,90719000,393567000,3371886000,156532000,10284000,146248000,3528418000,3921985000,1067269000,1067269000,2926665000,3993934000,7915919000,146601000,72539000,5268000,-13297000,211111000,-158635000,-158713000,-158713000,-151666000,-115487000,96073000,-75824000,-95238000,-35793000,-35793000,-35793000,231799000,3371886000,60377000,0.58374,0.27712,0.1674,0.02409,0.01215,0.62761,0.91209,0.98199,0.42596,0.43948,0.43948,2.62538,4.8756,0.27582,0.52758,0.02814,0.00803,1.20046,13.88638,20.21129
"21","2018_Q1",24.4947540983607,"Up",632018000,-276834000,355184000,-185610000,-13073000,-74602000,-97935000,169574000,-9102000,-31943000,22486000,355000,160472000,149548000,39000,149587000,149587000,-50066000,99521000,99521000,79588000,79588000,160239000,15383000,15383000,255210000,5730891000,826211000,1203999000,416160000,12570000,7761101000,8016311000,424426000,349801000,74625000,424426000,3492712000,154294000,7409000,146885000,3647006000,4071432000,1061125000,1061125000,2883754000,3944879000,8016311000,313770000,102499000,-41418000,25395000,400246000,-608932000,-609126000,-609126000,-618527000,-117677000,221097000,41413000,144833000,-73448000,-73448000,-73448000,272073000,3492712000,-311503000,0.56198,0.26831,0.15747,0.02523,0.01241,-3.13002,0.60131,1.03208,0.4357,0.45438,0.45438,2.88561,4.84479,-1.42223,0.53728,0.02861,-0.04103,1.18243,12.54488,20.12764
"22","2018_Q2",22.936875,"Down",437168000,-77799000,359369000,-192467000,-14964000,-76842000,-100661000,166902000,-14880000,-36121000,20424000,817000,152022000,151990000,-1502000,150488000,150488000,-49483000,101005000,101005000,523686000,523686000,188876000,23256000,23256000,735818000,6063547000,817681000,1198847000,416160000,14525000,8080075000,8815893000,478021000,360028000,117993000,506021000,4176346000,284431000,8592000,275839000,4460777000,4966798000,1041066000,1041066000,2808029000,3849095000,8815893000,181010000,84790000,29526000,4825000,300151000,-533069000,-533185000,-533185000,-524219000,-120140000,807398000,-19092000,668166000,444098000,444098000,444098000,251692000,4204346000,-275050000,0.82204,0.38178,0.23104,0.02624,0.01146,-2.72313,1.45413,1.29038,0.47691,0.46142,0.46142,1.99711,4.7559,-1.25651,0.54884,0.02652,-0.03299,1.18945,14.62367,22.05282
"23","2018_Q3",23.2838095238095,"Up",435949000,-68149000,367800000,-205905000,-14731000,-78792000,-112382000,161895000,23000,-40472000,39218000,1277000,161918000,34845000,-282000,34563000,34563000,33017000,67580000,67580000,55317000,55317000,166983000,27057000,27057000,249357000,6213574000,1014300000,1191598000,416160000,14384000,8419472000,8668829000,489163000,331447000,157716000,517163000,4177353000,298658000,8753000,289905000,4476011000,4993174000,994418000,994418000,2681237000,3675655000,8668829000,67167000,88488000,138988000,34532000,329175000,-579119000,-579289000,-579289000,-763685000,-124518000,82684000,7975000,-33859000,-468369000,-468369000,-468369000,250383000,4205353000,-293922000,0.84368,0.37136,0.15502,0.01839,0.0078,-4.34925,0.48216,1.35844,0.48511,0.30873,0.30873,1.99154,4.5428,-1.34272,0.56884,0.02348,-0.03593,1.84253,16.57475,25.63412
"24","2018_Q4",20.3085714285714,"Down",559366000,-157570000,401796000,-220024000,-15158000,-82553000,-122313000,181772000,-326000.000000007,-44091000,43110000,655000,181446000,156194000,-1517000,154677000,154677000,-47203000,107474000,107474000,132877000,132877000,224887000,26119000,26119000,383883000,6418634000,1046876000,1184164000,416160000,14057000,8649674000,9033557000,512278000,360651000,151627000,540278000,4566464000,310175000,10285000,299890000,4876639000,5416917000,981408000,981408000,2635232000,3616640000,9033557000,198560000,97479000,71353000,-31523000,335869000,-477133000,-477179000,-477179000,-510798000,-127531000,468328000,-88308000,252489000,77560000,77560000,77560000,279251000,4594464000,-227888000,0.71831,0.32496,0.19214,0.02972,0.0119,-2.1204,0.71053,1.49778,0.5086,0.49089,0.49089,2.55491,4.48258,-1.04088,0.5825,0.02758,-0.02674,1.18662,15.97698,24.54496
"25","2019_Q1",21.9195081967213,"Up",867175000,-111987000,755188000,-370672000,-22342000,-150977000,-197353000,384516000,38958000,-46247000,92717000,-7512000,423474000,346559000,-55633000,290926000,290926000,-15414000,275512000,275512000,92142000,92142000,216892000,26790000,26790000,335824000,6612073000,1105279000,1185467000,416160000,22503000,8902819000,9238643000,508857000,350325000,158532000,536857000,4787381000,409740000,9697000,400043000,5197121000,5733978000,951888000,951888000,2552777000,3504665000,9238643000,183917000,118407000,141474000,-60818000,382980000,-355336000,-358942000,-358942000,-412111000,-130268000,269721000,-151057000,-11604000,-40735000,-40735000,-40735000,502923000,4815381000,142402000,0.87086,0.44341,0.31771,0.07861,0.02982,0.51686,0.62554,1.6361,0.52122,1.25801,1.25801,3.95959,4.3464,0.65022,0.59481,0.04648,0.01631,0.47282,9.39157,12.2836
"26","2019_Q2",21.6806349206349,"Down",671883000,-114063000,557820000,-295904000,-22844000,-113946000,-159114000,261916000,-38865000,-61651000,57992000,-35206000,223051000,222071000,-10092000,211979000,211979000,-93319000,118660000,118660000,100047000,100047000,212423000,23472000,23472000,335942000,8629999000,1477156000,1353898000,445800000,74694000,11461053000,11796995000,518854000,328867000,189987000,2518854000,5208411000,478189000,15355000,462834000,5686600000,8205454000,3437922000,3437922000,153619000,3591541000,11796995000,211979000,113946000,40798000,-23650000,343073000,-386177000,-386144000,-386144000,-2515732000,-131910000,1957265000,356064000,2180564000,7905000,7905000,7905000,375862000,7208411000,-23873000.0000001,0.83023,0.38982,0.17661,0.03304,0.01006,-0.20119,0.13337,2.28466,0.61104,0.39612,0.39612,2.24293,11.47673,-0.0796900000000003,0.44035,0.02222,-0.00212,1.11166,18.91216,27.13986
"27","2019_Q3",19.0665625,"Down",685054000,-122877000,562177000,-313857000,-30027000,-121117000,-162713000,248320000,-70126000,-75247000,63598000,-58477000,178194000,176336000,-1278000,175058000,175058000,-5464000,169594000,169594000,95795000,95795000,219924000,20466000,20466000,336185000,8793646000,1509509000,1341191000,445800000,69992000,11644346000,11980531000,490935000,240568000,250367000,499316000,7489448000,500557000,16175000,484382000,7990005000,8489321000,3338646000,3338646000,152564000,3491210000,11980531000,175058000,121117000,63913000,-16630000,343458000,-317906000,-318281000,-318281000,-349436000,-276324000,280228000,-2178000,1726000,-4252000,-4252000,-4252000,369437000,7497829000,36179000,0.82063,0.36248,0.24756,0.04858,0.01416,0.21333,0.67329,2.43163,0.62583,0.37438,0.37438,1.51226,7.37008,0.07987,0.60999,0.03881,0.00315,1.62933,20.03598,29.80845
"28","2019_Q4",15.235625,"Down",666027000,-97800000,568227000,-350536000,-30769000,-127914000,-191853000,217691000,-88300000,-74299000,53893000,-67894000,129391000,126532000,-1309000,125223000,125223000,-4006000,121217000,121217000,117430000,117430000,232818000,42990000,42990000,393238000,8933834000,1524695000,1326458000,445800000,63263000,11784987000,12178225000,588744000,273579000,315165000,596872000,7730502000,515776000,17890000,497886000,8246278000,8843150000,3182917000,3182917000,152158000,3335075000,12178225000,125223000,127914000,93639000,-6622000,340154000,-242841000,-242841000,-242841000,-269475000,-279959000,236458000,-5542999.99999994,-49044000,21635000,21635000,21635000,345605000,7738630000,97451000,0.85316,0.32685,0.182,0.03635,0.00995,0.80394,0.65883,2.65156,0.63545,0.26757,0.26757,1.47019,7.02598,0.21511,0.61798,0.03462,0.00841,2.30957,22.05176,35.00926
"29","2020_Q1",10.4354838709677,"Down",723210000,-109507000,613703000,-340120000,-672170000,-120278000,452328000,273583000,24638000,-75189000,62035000,37792000,298221000,296233000,-793000,295440000,295440000,-7670000,287770000,287770000,99962000,99962000,260512000,41938000,41938000,402412000,9064931000,1545717000,1333393000,445800000,78202000,11944041000,12346453000,478081000,293128000,184953000,485954000,7951565000,563641000,18899000,544742000,8515206000,9001160000,3209947000,3195723000,149570000,3345293000,12346453000,295440000,120278000,-144182000,25879000,297415000,-241988000,-241988000,-241988000,-253210000,-280880000,229720000,-10513000,-61673000,-17468000,-17468000,-17468000,393861000,7959438000,178545000,0.84858,0.37829,0.39791,0.08602,0.02331,0.62044,0.82809,2.69069,0.64467,0.62887,0.62887,1.58044,6.98368,0.39018,0.61381,0.04791,0.01504,0.97606,19.95495,28.72794
