"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",8.3741935483871,"Up",1223089000,-702891000,520198000,-129425000,-139172000,9747000,390773000,-155034000,-19074000,-135960000,235739000,235739000,-39237000,196502000,196502000,-67678000,128824000,128824000,833515000,833515000,498543000,498543000,1785127000,1785127000,3117185000,20766700000,3916554000,622280000,1703602000,1215254000,375418000,24683254000,27800439000,14996437000,825153000,14171284000,1962272000,1962272000,16958709000,16958709000,4628105000,738482000,5366587000,5475143000,10841730000,27800439000,196502000,30597000,-55926000,-161155000,10018000,-6025000,-6025000,-6025000,-3508000,267165000,147193000,414358000,420868000,420868000,102000,420970000,421370000,0,293427000,0.42531,0.3195,0.10533,0.01188,0.00463,2.27774,0.18381,1.56421,0,0.23641,0.22908,2.24456,9.84853,0.53848,0.01188,0.02706,-1.97811,-2.13299
"12","2013_Q1",10.6511666666667,"Up",1217113000,-723525000,493588000,-136649000,-131063000,-5586000,356939000,-169772000,-25505000,-144267000,187167000,187167000,-65696000,121471000,121471000,-15058000,106413000,106413000,709502000,709502000,638164000,638164000,2772496000,2772496000,4120162000,20847270000,3964120000,598535000,1703602000,1285611000,376372000,24811390000,28931552000,15345270000,1038888000,14306382000,2371335000,2371335000,17716605000,17716605000,4955649000,511198000,5466847000,5748100000,11214947000,28931552000,121471000,23742000,-728814000,810406000,226805000,-10047000,-10047000,-10047000,-41377000,-289233000,-20216000,-309449000,-124021000,-124021000,8000,-124013000,380681000,0,1246736000,0.40554,0.29327,0.08743,0.00949,0.00368,11.71601,0.23256,1.57973,0,0.19203,0.1912,2.19641,9.8655,2.24987,0.00949,0.11117,-1.86377,-1.98774
"13","2013_Q2",12.4109375,"Up",1246473000,-691325000,555148000,-116714000,-109306000,-7408000,438434000,40148000,-27062000,67210000,478582000,478582000,-50993000,427589000,427589000,-259954000,167635000,167635000,815266000,815266000,706624000,706624000,2558106000,2558106000,4079996000,19954586000,3943417000,575622000,1703602000,1321108000,343085000,23898003000,27977999000,14413696000,1386791000,13026905000,2198069000,2198069000,16611765000,16611765000,5068041000,408218000,5476259000,5889975000,11366234000,27977999000,427589000,22913000,-491452000,1145252000,1104302000,-7344000,-7344000,-7344000,-1492000,-414353000,-582683000,-997036000,105774000,105774000,-10000,105764000,461347000,0,1650248000,0.44538,0.35174,0.13449,0.01475,0.00599,9.84429,0.24561,1.4615,0,0.28787,0.28621,2.14052,9.40417,2.83391,0.01475,0.14519,-1.76714,-1.8595
"14","2013_Q3",13.42203125,"Up",1440470000,-765813000,674657000,-121993000,-117365000,-4628000,552664000,14010000,-26956000,40966000,566674000,566674000,-56082000,510592000,510592000,-299444000,211148000,211148000,660977000,660977000,936240000,936240000,2350203000,2350203000,3947420000,19897566000,3897892000,554043000,1703602000,1292326000,347921000,23795458000,27742878000,13840605000,1096167000,12744438000,1901562000,1901562000,15742167000,15742167000,5202090000,336810000,5538900000,6461811000,12000711000,27742878000,510592000,21579000,-88423000,-207494000,236254000,-7301000,-7301000,-7301000,-7349000,-337458000,-45141000,-382599000,-153694000,-153694000,-595000,-154289000,574243000,0,415530000,0.46836,0.38367,0.14658,0.01759,0.00761,1.96796,0.25075,1.31177,0,0.36165,0.35985,2.46719,9.48683,0.7117,0.01759,0.03463,-1.15104,-1.19598
"15","2013_Q4",16.5875,"Up",1216845000,-634024000,582821000,-126113000,-119435000,-6678000,456708000,61684000,-26268000,87952000,518392000,518392000,-57477000,460915000,460915000,-289751000,171164000,171164000,888938000,888938000,854607000,854607000,2174240000,2174240000,3917785000,20151386000,3965711000,587144000,1787392000,1278780000,312395000,24117097000,28034882000,13550104000,1115206000,12434898000,1980254000,1980254000,15530358000,15530358000,5373626000,297938000,5671564000,6832960000,12504524000,28034882000,460915000,24783000,8207000,898244000,1392149000,-3929000,-3929000,-3929000,-150085000,-787521000,-226897000,-1014418000,227646000,227646000,315000,227961000,481491000,0,1433283000,0.47896,0.37532,0.14066,0.01369,0.00611,8.37374,0.25227,1.24198,0,0.29025,0.28864,2.06344,9.61745,2.43046,0.01369,0.11462,-1.84622,-1.9464
"16","2014_Q1",19.6726229508197,"Up",2709380000,-1166505000,1542875000,-136280000,-128336000,-7944000,1406595000,178318000,-27687000,206005000,1584913000,1584913000,-91090000,1493823000,1493823000,-872568000,621255000,621255000,831998000,831998000,888356000,888356000,2386910000,2386910000,4107264000,21729523000,3841819000,560748000,1787392000,1209207000,284472000,25571342000,29678606000,13471529000,872086000,12599443000,1829406000,1829406000,15300935000,15300935000,6002592000,304174000,6306766000,8070905000,14377671000,29678606000,1493823000,26396000,-1392021000,687038000,815236000,-7063000,-7063000,-7063000,-6978000,-502835000,-362726000,-865561000,-57303000,-57303000,363000,-56939999.9999999,1432991000,0,2204056000,0.56946,0.51916,0.2293,0.04321,0.02093,3.54775,0.26843,1.06422,0,1.04909,1.04111,4.57522,10.64998,3.7219,0.04321,0.1533,-0.5806,-0.5915
"17","2014_Q2",19.3157142857143,"Down",1526668000,-722645000,804023000,-140539000,-135554000,-4985000,663484000,45488000,-24667000,70155000,708972000,708972000,-54097000,654875000,654875000,-389258000,265617000,265617000,787521000,787521000,1108848000,1108848000,2329743000,2329743000,4226112000,21905850000,3896583000,534490000,1787392000,1226326000,348375000,25802433000,30028545000,13377437000,1418699000,11958738000,1879347000,1879347000,15256784000,15256784000,6108525000,236927000,6345452000,8426309000,14771761000,30028545000,654875000,26258000,-609322000,908447000,980258000,-6123000,-6123000,-6123000,-282000,-393379000,-631078000,-1024457000,-44481000,-44481000,4000,-44477000,689742000,0,1646163000,0.52665,0.4346,0.17398,0.01798,0.00885,6.19751,0.277,1.03283,0,0.44157,0.43855,2.53799,10.5489,2.73664,0.01798,0.11144,-1.14176,-1.18695
"18","2014_Q3",20.67046875,"Up",2257860000,-918439000,1339421000,-141495000,-136492000,-5003000,1197926000,108738000,-29847000,138585000,1306664000,1306664000,-83282000,1223382000,1223382000,-706366000,517016000,517016000,1223073000,1223073000,1082495000,1082495000,2340854000,2340854000,4646422000,21627145000,3785742000,508924000,1787392000,1186207000,303219000,25412887000,30059309000,12729175000,1390617000,11338558000,1519429000,1519429000,14248604000,14248604000,6520288000,224028000,6744316000,9066389000,15810705000,30059309000,1223382000,25566000,-1269833000,884071000,863186000,-7495000,-7495000,-7495000,-7495000,-8.1e+07,-339127000,-420127000,435564000,435564000,-12000,435552000,1223492000,0,2183350000,0.59323,0.53056,0.22898,0.0327,0.0172,4.22298,0.3261,0.9012,0,0.85215,0.84767,3.72142,11.11604,3.59862,0.0327,0.13809,-0.99966,-1.02099
"19","2014_Q4",20.18125,"Down",1679426000,-885255000,794171000,-138268000,-128015000,-10253000,655903000,-22933000,-31615000,8682000,632970000,632970000,-79108000,553862000,553862000,-303357000,250505000,250505000,943519000,943519000,936548000,936548000,2658962000,2658962000,4539029000,22121153000,3853674000,483839000,1787392000,1221507000,360936000,25974827000,30513856000,12484726000,2048754000,10435972000,1637943000,1637943000,14122669000,14122669000,6588059000,114671000,6702730000,9688457000,16391187000,30513856000,553862000,25085000,-702633000,347895000,224209000,-7768000,-7768000,-7768000,-7764000,-45132000,-450803000,-495935000,-279490000,-279490000,-64000,-279554000,680988000,0,1100223000,0.47288,0.39055,0.14916,0.01528,0.00821,4.39202,0.3214,0.8616,0,0.40948,0.40728,2.7452,10.95634,1.79843,0.01528,0.06712,-1.38551,-1.4385
"20","2015_Q1",23.7162295081967,"Up",2020774000,-628032000,1392742000,-159659000,-149402000,-10257000,1233083000,105037000,-35395000,140432000,1338120000,1338120000,-74686000,1263434000,1263434000,-711983000,551451000,551451000,1412472000,1412472000,559321000,559321000,2936500000,2936500000,4908293000,22765589000,3823215000,458833000,1787392000,1252230000,324760000,26588804000,31497097000,12557677000,1194579000,11363098000,1605873000,1605873000,14163550000,14163550000,6999830000,60437000,7060267000,10273280000,17333547000,31497097000,1263434000,25006000,-1635410000,-65694000,-412664000,-8885000,-8885000,-8885000,-8884000,1337767000,-447155000,890612000,469064000,469064000,-111000,468953000,1258089000,0,1258196000,0.68921,0.6102,0.27289,0.03181,0.01751,2.28161,0.34654,0.81712,0,0.89638,0.88652,3.28475,11.4764,2.04519,0.03181,0.07259,-1.12271,-1.14548
"21","2015_Q2",27.6168253968254,"Up",2512358000,-963375000,1548983000,-147823000,-130973000,-16850000,1401160000,62185000,-31370000,93555000,1463345000,1463345000,-99344000,1364001000,1364001000,-734553000,629448000,629448000,1135472000,1135472000,1259037000,1259037000,3195257000,3195257000,5589766000,22896254000,3920581000,434033000,1787392000,1241112000,458044000,26816835000,32406601000,12743059000,1246739000,11496320000,1709558000,1709558000,14452617000,14452617000,7396962000,61824000,7458786000,10495198000,17953984000,32406601000,1364001000,24800000,-1793281000,883766000,479286000,-3275000,-3275000,-3275000,2568000,472640000,-1231554000,-758914000,-277060000,-277060000,60000,-2.77e+08,1425960000,0,2405795000,0.61655,0.55771,0.25054,0.03506,0.01942,3.82207,0.38676,0.80498,0,1.00667,0.99717,4.01799,11.92877,3.84757,0.03506,0.134,-0.79629,-0.81038
"22","2015_Q3",24.76640625,"Down",1225202000,-688460000,536742000,-188558000,-146859000,-41699000,348184000,44601000,-37414000,82015000,392785000,392785000,-43251000,349534000,349534000,-215366000,134168000,134168000,2164640000,2164640000,661580000,661580000,2093427000,2093427000,4919647000,15919810000,3844044000,409828000,1787392000,1308547000,338277000,19763854000,24683501000,9214830000,936976000,8277854000,1556903000,1556903000,10771733000,10771733000,7176451000,-36122000,7140329000,6771439000,13911768000,24683501000,349534000,23622000,240788000,507152000,1121096000,-13264000,-13264000,-13264000,-13264000,995716000,-1074504000,-78788000,1029044000,1029044000,124000,1029168000,371806000,0,908945000,0.438080000000001,0.28418,0.109510000000001,0.00964,0.00544,6.77468,0.45672,0.77429,0,0.21232,0.21154,1.93886,11.29946,1.43839,0.00964,0.06534,-5.82196,-6.21694
"23","2015_Q4",22.165,"Down",11573000,-263177000,-251604000,-176960000,-158664000,-18296000,-428564000,-53727000,-36860000,-16867000,-482291000,-482291000,-1573000,-483864000,-483864000,229167000,-254697000,-254697000,1380404000,1380404000,879262000,879262000,2150357000,2150357000,4410023000,15298755000,3909925000,380303000,1787392000,1373149000,369081000,19208680000,23618703000,9345453000,821871000,8523582000,1602979000,1602979000,10948432000,10948432000,6566990000,-49890000,6517100000,6153171000,12670271000,23618703000,-483864000,29525000,692269000,-454833000,-216903000,-42340000,-42340000,-42340000,-42340000,353421000,-877514000,-524093000,-783336000,-783336000,-9e+05,-784236000,-399039000,0,-894639000,-21.7406,-37.03137,-22.00786,-0.0201,-0.01078,3.51256,0.4028,0.8641,0,-0.39862,-0.39743,0.01811,10.19978,-1.40018,-0.0201,-0.07061,3.45932,3.221
"24","2016_Q1",18.7118032786885,"Down",897419000,-375739000,521680000,-142261000,-139607000,-2654000,379419000,61490000,-38878000,100368000,440909000,440909000,-46230000,394679000,394679000,-193809000,200870000,200870000,1837324000,1837324000,613153000,613153000,2032822000,2032822000,4483299000,14324097000,3718684000,345547000,1718519000,1277429000,377189000,18042781000,22526080000,8795327000,648662000,8146665000,1500296000,1500296000,10295623000,10295623000,6322307000,-52519000,6269788000,5960669000,12230457000,22526080000,394679000,23490000,-319447000,914842000,1013564000,-368000,-368000,-368000,-368000,84208000,-641815000,-557607000,455589000,455589000,1331000,456920000,402909000,0,1363613000,0.581309999999998,0.422789999999999,0.223829999999996,0.01642,0.00892,6.78853,0.43546,0.8418,0,0.31327,0.07058,1.39957,9.77808,2.12663,0.01642,0.11149,-4.56015,-4.84247
"25","2016_Q2",19.1234375,"Up",932354000,-452080000,480274000,-128274000,-123045000,-5229000,3.52e+08,-18214000,-37356000,19142000,333786000,333786000,-9146000,324640000,324640000,-164887000,159753000,159753000,1372552000,1372552000,660853000,660853000,1733418000,1733418000,3766823000,14625032000,3659049000,322719000,1718519000,1301615000,316196000,18284081000,22050904000,8765243000,561402000,8203841000,1374581000,1374581000,10139824000,10139824000,6136475000,-46064000,6090411000,5820669000,11911080000,22050904000,324640000,22828000,-47974000,-79273000,220221000,-9934000,-9934000,-9934000,-4091000,137129000,-818004000,-680875000,-464745000,-464745000,-27000,-464772000,374828000,0,294767000,0.51512,0.37754,0.17134,0.01341,0.00724,1.84514,0.37149,0.85129,0,0.24772,0.13377,1.44574,9.44399,0.45708,0.01341,0.02475,-3.66182,-3.8993
"26","2016_Q3",19.21703125,"Up",1192426000,-536145000,656281000,-139580000,-130988000,-8592000,516701000,-6174999.99999999,-36878000,30703000,510526000,510526000,-47415000,463111000,463111000,-264485000,198626000,198626000,1495466000,1495466000,690006000,690006000,2072452000,2072452000,4257924000,15136500000,3647234000,299892000,1718519000,1285262000,343561000,18783734000,23041658000,9488226000,654799000,8833427000,1438012000,1438012000,10926238000,10926238000,6208387000,-45887000,6162500000,5952920000,12115420000,23041658000,463111000,22827000,-524238000,65022000,26721999.9999999,-6231000,-6231000,-6231000,-6231000,435267000,-333034000,102233000,122724000,122724000,190000,122914000,539528000,0,645734000,0.55037,0.43332,0.166569999999999,0.01639,0.00862,3.251,0.3897,0.90185,0,0.30703,0.16629,1.8432,9.52571,0.99815,0.01639,0.0533,-2.7718,-2.89426
"27","2016_Q4",19.1801587301587,"Down",1431685000,-597049000,834636000,-139450000,-124322000,-15128000,695186000,24117000,-37278000,61395000,719303000,719303000,-27714000,691589000,691589000,-378684000,312905000,312905000,1781882000,1781882000,506892000,506892000,2508705000,2508705000,4797479000,15957934000,3658107000,278219000,1718519000,1287890000,373479000,19616041000,24413520000,10511271000,973919000,9537352000,1548214000,1548214000,12059485000,12059485000,6344792000,-47470000,6297322000,6056713000,12354035000,24413520000,691589000,21673000,-924644000,626733000,415351000,-2293000,-2293000,-2293000,-2293000,414224000,-540690000,-126466000,286592000,286592000,-176000,286416000,716859000,0,1369013000,0.58297,0.48557,0.21856,0.02533,0.01282,4.37517,0.39782,0.97616,0,0.48069,0.26166,2.19936,9.67399,2.10309,0.02533,0.11082,-2.48568,-2.56317
"28","2017_Q1",22.5848387096774,"Up",1569369000,-618156000,951213000,-165186000,-141954000,-23232000,786027000,32368000,-41142000,73510000,818395000,818395000,-48087000,770308000,770308000,-402357000,367951000,367951000,1837253000,1837253000,772695000,772695000,2566034000,2566034000,5175982000,17694975000,3532380000,262604000,1718519000,1286469000,264788000,21227355000,26403337000,12275910000,1081782000,11194128000,1612494000,1612494000,13888404000,13888404000,6523929000,-62887000,6461042000,6053891000,12514933000,26403337000,769902000,15615000,-408697000,-1127705000,-750885000,-3368000,-3368000,-3368000,-9211000,1913747000,-638469000,1275278000,515182000,515182000,-34046000,481136000,801642000,0,-281344000,0.60611,0.50086,0.23446,0.0294,0.01394,-0.76462,0.37268,1.10975,0,0.56166,0.30768,2.39556,9.86245,-0.42946,0.0294,-0.02248,-2.29186,-2.33739
"29","2017_Q2",24.1687301587302,"Up",1914718000,-748065000,1166653000,-133462000,-109386000,-24076000,1033191000,25886000,-40246000,66132000,1059077000,1059077000,-57437000,1001640000,1001640000,-549731000,451909000,451909000,2303680000,2303680000,1274154000,1274154000,3130663000,3130663000,6708497000,18138258000,3490409000,251640000,1718519000,1263148000,257102000,21628667000,28337164000,13725144000,1707050000,12018094000,1509161000,1509161000,15234305000,15234305000,6713622000,-55201000,6658421000,6444438000,13102859000,28337164000,1001640000,10964000,-1326537000,866414000,552481000,-10007000,-10007000,-10007000,-10007000,871467000,-558743000,312724000,855198000,855198000,15954000,871152000,1044155000,0,1957999000,0.60931,0.5396,0.23602,0.03449,0.01595,4.33273,0.44035,1.16267,0,0.68374,0.37675,2.89696,10.07417,2.96245,0.03449,0.14943,-2.20626,-2.22967
