"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",7.95967741935484,"Down",572781000,-439227000,133554000,-89095000,-89095000,44459000,-3283000,-6009000,2726000,41176000,41176000,-18687000,22489000,22489000,-209000,22280000,22280000,941134000,637262000,303872000,278092000,278092000,428438000,146856000,121851000,1794520000,886391000,2818024000,-1931633000,307263000,136726000,135671000,1193654000,2988174000,428527000,135397000,31007000,262123000,428532000,389040000,538327000,298502000,298502000,128728000,111097000,927367000,1355899000,2014233000,-401653000,14149000,1626729000,5546000,1632275000,2988174000,22489000,41311000,8520000,18810000,91130000,-38041000,-60173000,531000,-97683000,-74119000,-240000,-74359000,-80912000,-80912000,9402000,-71510000,85770000,389045000,85226000,0.23317,0.07762,0.0389,0.01365,0.00746,3.82522,4.1876,0.83068,0.13019,0.14951,0.14296,3.84365,10.91618,0.57191,6,0.0087,0.0333,-6.43685,-12.41794
"12","2013_Q1",10.4106666666667,"Up",530570000,-421779000,108791000,-87277000,-87277000,21514000,-4839000,-6339000,1500000,16675000,16675000,4462000,21137000,21137000,-162000,20975000,20975000,992538000,697595000,294943000,247035000,247035000,407649000,144041000,119656000,1791263000,914552000,2880191000,-1965639000,310462000,133717000,141879000,1225014000,3016277000,412164000,147936000,7215000,257013000,412170000,392931000,582940000,344961000,344961000,129379000,108600000,975871000,1388041000,2014228000,-380678000,-10222000,1623328000,4908000,1628236000,3016277000,21137000,43406000,-14363000,51775000,101955000,-61066000,12486000,-1719000,-50299000,2995000,-8e+05,2195000,53851000,53851000,6482000,60333000,64920000,392937000,51167000,0.20505,0.04055,0.03953,0.01288,0.00695,2.43943,4.34593,0.85248,0.13027,0.14075,0.13459,3.56039,10.89336,0.34336,6,0.00805,0.01965,-9.236,-27.87027
"13","2013_Q2",11.57796875,"Up",554254000,-417520000,136734000,-91129000,-91129000,45605000,-5371000,-5486000,115000,40234000,40234000,-11093000,29141000,29141000,-210000,28931000,28931000,984979000,632780000,352199000,267349000,267349000,419383000,131508000,113586000,1803219000,887295000,2864798000,-1977503000,307362000,136518000,135978000,1194657000,2997876000,396540000,133748000,11193000,251599000,396560000,394509000,571490000,331529000,331529000,126859000,113102000,965999000,1362559000,2013628000,-351747000,-31682000,1630199000,5118000,1635317000,2997876000,29141000,41346000,7573000,-54669000,23391000,-19412000,-60870000,627000,-79655000,1006000,436000,1442000,-54822000,-54822000,-9993000,-64815000,86951000,394529000,23963000,0.2467,0.08228,0.0522,0.01769,0.00965,0.82828,4.54715,0.83321,0.1316,0.19414,0.18564,3.71933,10.93946,0.1608,5,0.01112,0.00921,-6.79061,-12.94705
"14","2013_Q3",11.5509375,"Down",597665000,-454808000,142857000,-92745000,-92745000,50112000,-5040000,-5824000,784000,45072000,46850000,-15365000,31485000,31485000,-176000,31309000,31309000,1027700000,561199000,466501000,294253000,294253000,445106000,119842000,101871000,1886901000,888869000,2903481000,-2014612000,314136000,138104000,132649000,1203005000,3089906000,433695000,155733000,7114000,270848000,434534000,405392000,573117000,329411000,329411000,137264000,106442000,978509000,1413043000,2010942000,-320438000,-18935000,1671569000,5294000,1676863000,3089906000,31485000,42110000,-150000.000000004,-2768000,70677000,-24509000,-110468000,307000,-157704000,10678000,20000,10698000,-76329000,-76329000,4748000,-71581000,92222000,406231000,80310000,0.23903,0.08385,0.05239,0.01867,0.01013,2.56508,4.34236,0.84267,0.13147,0.2101,0.2009,4.01064,11.21708,0.53892,6,0.01179,0.03023,-6.73884,-12.4016
"15","2013_Q4",10.73453125,"Down",602890000,-459670000,143220000,-90067000,-90067000,53153000,-5241000,-5797000,556000,47912000,47912000,-15043000,32869000,32869000,-150000,32719000,32719000,1090565000,644951000,445614000,280192000,280192000,448858000,127525000,109081000,1947140000,903042000,3015054000,-2112012000,318382000,133969000,141452000,1221424000,3168564000,442752000,152551000,14151000,276050000,442758000,359874000,571545000,329494000,329494000,135802000,106249000,931419000,1374177000,2067724000,-287719000,9178000,1789183000,5204000,1794387000,3168564000,32869000,42155000,-2106000,12575000,85493000,-43804000,31212000,312000,-12280000,9153000,-4798000,4355000,77568000,77568000,6184000,83752000,95308000,359880000,79122000,0.23756,0.08816,0.05427,0.01823,0.01033,2.41823,4.39775,0.76582,0.11358,0.22587,0.21609,4.162,12.35146,0.54621,9,0.012,0.02903,-7.66657,-13.74683
"16","2014_Q1",11.912131147541,"Up",616170000,-471721000,144449000,-94601000,-94601000,49848000,-5625000,-6023000,398000,44223000,41409000,-11135000,30274000,30274000,-253000,30021000,30021000,1151579000,640348000,511231000,274083000,274083000,432708000,122310000,100594000,1980680000,926619000,3090159000,-2163540000,329840000,129951000,156757000,1256459000,3237139000,449063000,163894000,17502000,267667000,449065000,364911000,544967000,287901000,287901000,157640000,99426000,909878000,1358943000,2068820000,-257698000,61634000,1872756000,5440000,1878196000,3237139000,30274000,44521000,2861000,34853000,112509000,-60671000,-59073000,-1422000,-121166000,3989000,-3915000,74000,-8582999.99999999,-8583000.00000001,3980000,-4603000,94369000,364913000,79686000,0.23443,0.0809,0.04872,0.01598,0.00927,2.65434,4.41068,0.72354,0.11273,0.20725,0.19827,4.25367,12.9284,0.5501,9,0.01077,0.02858,-8.33606,-15.7813
"17","2014_Q2",12.6209523809524,"Up",602378000,-457095000,145283000,-96307000,-96307000,48976000,-4668000,-5980000,1312000,44308000,37904000,-11940000,25964000,25964000,-154000,25810000,25810000,1150116000,661457000,488659000,294544000,294544000,452030000,127528000,106040000,2024218000,905178000,3097975000,-2192797000,323732000,126341000,154274000,1228910000,3253128000,449665000,155709000,20047000,273909000,449687000,361948000,544948000,286730000,286730000,157213000,101005000,906896000,1356583000,2069288000,-240742000,62705000,1891251000,5294000,1896545000,3253128000,25964000,43355000,7218000,-46583000,29954000,-18150000,21977000,459000,4286000,-3987000,-3e+05,-13134000,21106000,21106000,3000,21109000,92331000,361970000,39538000,0.24118,0.0813,0.04285,0.01361,0.00793,1.53189,4.50139,0.71529,0.11127,0.17492,0.16918,4.08234,12.81709,0.26795,6,0.01236,0.0141,-8.53609,-16.09249
"18","2014_Q3",13.10171875,"Up",641929000,-477836000,164093000,-97156000,-97156000,66937000,-5613000,-5821000,208000,61324000,52310000,-16478000,35832000,35832000,-190000,35642000,35642000,1173990000,659593000,514397000,305395000,305395000,458887000,131768000,109667000,2070040000,899902000,3116926000,-2217024000,339560000,126720000,160259000,1239462000,3309502000,457720000,161377000,17926000,278417000,457739000,386806000,546332000,283416000,283416000,159110000,103806000,933138000,1390877000,2070099000,-213954000,57243000,1913388000,5237000,1918625000,3309502000,35832000,43576000,5917000,-16206000,69119000,-33445000,-29328000,468000,-83081000,23992000,-247000,14898000,936000,936000,-2800000,-1864000,110513000,386825000,77340000,0.25562,0.10427,0.05552,0.01858,0.01077,2.16991,4.52232,0.72493,0.11688,0.24153,0.23096,4.35014,12.96641,0.52411,9,0.0156,0.02712,-7.12283,-11.75979
"19","2014_Q4",11.77203125,"Down",638211000,-479819000,158392000,-93837000,-93837000,64555000,-6641000,-6167000,-474000,57914000,38818000,-11841000,26977000,26977000,-6000,26971000,26971000,1113411000,575302000,538109000,303923000,303923000,450385000,128389000,107267000,1996108000,886112000,3093213000,-2207101000,494302000,193913000,152953000,1380414000,3376522000,469964000,158021000,16536000,295407000,469981000,531972000,552182000,269325000,269325000,181710000,101147000,1084154000,1554135000,1979022000,-195837000,12064000,1795249000,27138000,1822387000,3376522000,26977000,45413000,24634000,914000,97938000,-36567000,2744000,807000,-210426000,52998000,-1323000,42878000,-69610000,-69610000,-14681000,-84291000,109968000,531989000,86156000,0.24818,0.10115,0.04226,0.0148,0.00799,3.19439,4.24721,0.8528,0.15756,0.18277,0.17546,4.32489,12.16565,0.58384,4,0.01232,0.02964,-5.28719,-9.00661
"20","2015_Q1",11.8755737704918,"Up",610764000,-467240000,143524000,-98396000,-98396000,45128000,-5046000,-6489000,1443000,40082000,38111000,-9041000,29070000,29070000,136000,29206000,29206000,1106948000,592172000,514776000,271554000,271554000,424594000,105539000,105539000,1908635000,898095000,3103500000,-2205405000,467421000,186613000,136449000,1365516000,3274151000,446931000,174451000,14881000,257599000,446949000,444055000,552270000,300524000,300524000,174935000,76811000,996325000,1443274000,2069991000,-175485000,-69140000,1825366000,5511000,1830877000,3274151000,29070000,47111000,210000,23635000,100026000,-65923000,7808999.99999999,-1117000,-59031000,13002000,-21068000,-16913000,24082000,24082000,-7212000,16870000,92239000,444073000,58992000,0.23499,0.07389,0.04782,0.01595,0.00892,2.01986,4.27036,0.7883,0.13563,0.19792,0.19,4.13889,12.36974,0.39976,4,0.01346,0.02087,-7.18649,-14.68877
"21","2015_Q2",11.1409523809524,"Down",593436000,-448398000,145038000,-96070000,-96070000,48968000,-2901000,-6361000,3460000,46067000,44657000,-13732000,30925000,30925000,-226000,30699000,30699000,1056048000,517002000,539046000,288273000,288273000,427104000,123564000,103149000,1894989000,852158000,3033084000,-2180926000,464619000,177979000,143023000,1316777000,3211766000,441208000,156114000,29927000,255167000,441220000,470905000,520615000,276626000,276626000,177903000,66086000,991520000,1432740000,2070436000,-153648000,-143499000,1773289000,5737000,1779026000,3211766000,30925000,45410000,-1273000,-61564000,13498000,-19063000,-60588000,977000,-78674000,14994000,21000,6161000,-59015000,-59015000,-16155000,-75170000,94378000,470917000,27483000,0.2444,0.08252,0.05173,0.01726,0.00956,0.89524,4.29488,0.80535,0.14662,0.20785,0.20109,4.0179,12.00618,0.18608,4,0.01428,0.00992,-6.19987,-11.94925
"22","2015_Q3",9.23203125,"Down",590470000,-448988000,141482000,-91652000,-91652000,49830000,-5576000,-6736000,1160000,44254000,38594000,-12076000,26518000,26518000,-250000,26268000,26268000,1061995000,483020000,578975000,294062000,294062000,440548000,118352000,90997000,1914957000,848337000,3070139000,-2221802000,455653000,170919000,141138000,1303990000,3218947000,448296000,159086000,20269000,268941000,448313000,427294000,529852000,278733000,278733000,183600000,67519000,957146000,1405459000,2071368000,-136242000,-126900000,1808226000,5262000,1813488000,3218947000,26518000,44775000,1653000,5918000.00000001,78864000,-28812000,-32642000,297000,-61157000,-44995000,-724999.999999998,-54574000,-36867000,-36867000,2885000,-33982000,94605000,427311000,83787000,0.23961,0.08439,0.04449,0.01448,0.00816,3.1897,4.27147,0.775,0.13275,0.17785,0.17316,3.99777,12.24256,0.56728,4,0.01268,0.03024,-6.70878,-12.73699
"23","2015_Q4",9.88578125,"Up",560654000,-430510000,130144000,-88995000,-88995000,41149000,-3437000,-6677000,3240000,37712000,-32942000,5392000,-27550000,-27550000,-116000,-27666000,-27666000,1079292000,390305000,688987000,282228000,282228000,446791000,125439000,96279000,1933750000,848575000,3102536000,-2253961000,389226000,107778000,143045000,1237801000,3171551000,451044000,148889000,25646000,276509000,451055000,431766000,504999000,277943000,277943000,161546000,65510000,936765000,1387820000,2072309000,-172770000,-121186000,1778353000,5378000,1783731000,3171551000,-27550000,44096000,46537000,-1876000,61207000,-36903000,-106851000,-5241000,-148995000,2994000,0,-5860000,-93648000,-93648000,933000,-92715000,85245000,431777000,41074000,0.23213,0.07339,-0.04935,-0.01551,-0.00872,-1.48464,4.28717,0.77804,0.13614,-0.18731,-0.18731,3.7959,12.0403,0.27809,5,-0.00691,0.0151,-7.59593,-15.73586
"24","2016_Q1",10.1062295081967,"Up",555928000,-430372000,125556000,-85509000,-85509000,40047000,-5795000,-5911000,116000,34252000,24431000,-162057000,-137626000,-137626000,-189000,-137815000,-137815000,1094547000,475507000,619040000,272559000,272559000,420571000,99815000,99815000,1887492000,865296000,3111973000,-2246677000,400198000,103258000,158696000,1265494000,3152986000,457720000,157210000,22198000,278312000,457724000,436738000,630481000,264618000,264618000,305413000,60450000,1067219000,1524943000,2073251000,-319448000,-131327000,1622476000,5567000,1628043000,3152986000,-137626000,41888000,157887000,30273000,92422000,-60315000,59432000,-917000,-8550000,16993000,-4353000,3784999.99999999,87657000,87657000,-2455000,85202000,81935000,436742000,213950000,0.22585,0.07204,-0.2479,-0.08465,-0.04371,-1.55244,4.12365,0.93667,0.13852,-0.93307,-0.93307,3.7639,10.98494,1.44854,3,-0.04785,0.07938,-8.02838,-16.42582
"25","2016_Q2",11.0059375,"Up",570606000,-433297000,137309000,-90286000,-90286000,47023000,-5687000,-6466000,779000,41336000,38472000,-10320000,28152000,28152000,-138000,28014000,28014000,1075624000,531296000,544328000,286996000,286996000,426245000,99753000,99753000,1888618000,860452000,3159624000,-2299172000,397554000,100541000,154830000,1258006000,3146624000,438024000,143375000,21633000,273016000,438027000,400124000,625744000,255447000,255447000,306333000,63964000,1025868000,1463895000,2073997000,-300673000,-96300000,1677024000,5705000,1682729000,3146624000,28152000,40017000,-10205000,-37264000,20700000,-19692000,93088000,2975000,76371000,-35314000,-442000,-44987000,52084000,52084000,3705000,55789000,87040000,400127000,40404000,0.24064,0.08241,0.0491,0.01665,0.0089,1.44228,4.31165,0.86995,0.12716,0.1895,0.18598,3.8598,11.34404,0.27331,5,0.01375,0.01492,-7.76077,-14.36525
"26","2016_Q3",11.945625,"Up",590051000,-443923000,146128000,-92253000,-92253000,53875000,-4014000,-6270000,2256000,49861000,46380000,-13151000,33229000,33229000,-143000,33086000,33086000,1021277000,475167000,546110000,295427000,295427000,415102000,97123000,97123000,1828929000,850410000,3151494000,-2301084000,388083000,95725000,150435000,1238493000,3067422000,437552000,149713000,16094000,271745000,437559000,335144000,613823000,251375000,251375000,298325000,64123000,948967000,1386526000,2068967000,-276804000,-116408000,1675755000,5141000,1680896000,3067422000,33229000,39100000,7323000.00000003,-4939000,74713000,-31188000,-16286000,0,-47474000,-65455000,-707000,-81494000,-54255000,-54255000,-1874000,-56129000,92975000,335151000,69999000,0.24765,0.09131,0.05607,0.01968,0.01079,2.11567,4.17985,0.82487,0.10926,0.22409,0.2208,3.99642,11.34989,0.4741,8,0.01608,0.02662,-7.37968,-12.73552
"27","2016_Q4",13.2804761904762,"Up",591955000,-438054000,153901000,-93916000,-93916000,59985000,-6545000,-6165000,-380000,53440000,50684000,-14088000,36596000,36596000,-156000,36440000,36440000,1119901000,511587000,608314000,295341000,295341000,408503000,94309000,94309000,1918054000,848762000,3149658000,-2300896000,382010000,89784000,150194000,1230772000,3148826000,462339000,160221000,16624000,285494000,462444000,361467000,615533000,252653000,252653000,298623000,64257000,9.77e+08,1439444000,2059202000,-249535000,-105582000,1704085000,5297000,1709382000,3148826000,36596000,40026000,12287000,28748000,117657000,-29225000,-57873000,-89000,-87187000,25099000,0,5078000,35548000,35548000,872000,36420000,100011000,361572000,113622000,0.25999,0.10133,0.06156,0.02132,0.01157,3.11806,4.14765,0.84208,0.11483,0.24764,0.24181,4.02275,11.58044,0.77214,7,0.01697,0.04229,-7.58246,-12.64198
