"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",37.1371875,"Down",129201000,-109117000,20084000,-10266000,-9414000,-852000,9818000,8000,8000,9826000,9826000,-3390000,6436000,6436000,6436000,6436000,48011000,48011000,86454000,86454000,262715000,15384000,2306000,412564000,141743000,74794000,5809000,67165000,1820000,216537000,629101000,73446000,38103000,35343000,2500000,2500000,75946000,246310000,213412000,31579000,980000,246310000,322256000,238567000,170274000,-101491000,306845000,306845000,629101000,6436000,3409000,5174000,-15489000,-470000,-13749000,-13749000,-2713000,-505000,-2919000,-17138000,-17138000,-314000,-17452000,13227000,0,-12621000,0.15545,0.07599,0.04981,0.02097,0.01023,-1.961,5.43233,1.05022,0,0.5261,0.52434,10.56141,25.08275,-1.03169,0.22177,0.01654,-0.02282,0.42154,-3.62977,-4.8901
"12","2013_Q4",41.50140625,"Up",123587000,-104982000,18605000,-10614000,-9761000,-853000,7991000,11000,11000,8002000,8002000,-2705000,5297000,5297000,5297000,5297000,43566000,43566000,90243000,90243000,255788000,13675000,1996000,403272000,147982000,71241000,5705000,63658000,1878000,219223000,622495000,67819000,30740000,37079000,2500000,2500000,70319000,237718000,205784000,30954000,980000,237718000,308037000,239052000,172858000,-96947000,314458000,314458000,622495000,5297000,3642000,6154000,-5960000,9133000,-10919000,-10919000,-2713000,0,-2713000,-4499000,-4499000,54000.0000000001,-4444999.99999999,11633000,-2.77555756156289e-17,-2541000,0.15054,0.06466,0.04286,0.01684,0.00851,-0.47971,5.73489,0.97958,1.03397576569128e-25,0.43293,0.43151,10.10079,25.70073,-0.20768,0.22173,0.01451,-0.00460000000000001,0.51218,-3.74504,-5.45188
"13","2014_Q1",41.0829508196721,"Down",115658000,-99495000,16163000,-10121000,-9179000,-942000,6042000,11000,11000,6053000,6053000,-2044000,4009000,4009000,4009000,4009000,68326000,68326000,82562000,82562000,232157000,12859000,2408000,395904000,152764000,49184000,5601000,41301000,2282000,201948000,597852000,46194000,27600000,18594000,2500000,2500000,48694000,193355000,162259000,30329000,767000,193355000,242049000,238953000,174154000,-56799000,355803000,355803000,597852000,4009000,3873000,8139000,19192000,35213000,-7900000,-7900000,-2713000,0,-2813000,24500000,24500000,260000,24760000,9915000,0,23251000,0.13975,0.05224,0.03466,0.01127,0.00671,5.7997,8.13045,0.68029,0,0.32764,0.32659,9.45229,29.07844,1.90022,0.22172,0.01224,0.04234,0.67673,-6.89117,-11.30851
"14","2014_Q2",43.2698412698413,"Up",93700000,-88450000,5250000,-10834000,-9956000,-878000,-5584000,28000,28000,-5556000,-5556000,2064000,-3492000,-3492000,-3492000,-3492000,81023000,81023000,62749000,62749000,229473000,13223000,3737000,386468000,159612000,52124000,5497000,44641000,1986000,211736000,598204000,51563000,33656000,17907000,2500000,2500000,54063000,191605000,161134000,29704000,767000,191605000,245668000,240232000,167942000,-54798000,352536000,352536000,598204000,-3492000,3710000,-1856000,25703000,24065000,-9313000,-9313000,-2720000,254000,-2213000,12539000,12539000,158000,12697000,-1874000,-3.46944695195361e-18,12452000,0.05603,-0.05959,-0.03727,-0.00991,-0.00584,-3.56586,7.14847,0.69686,0,-0.28512,-0.28512,7.65056,28.78441,1.0167,0.22209,-0.00142,0.02288,-0.77892,43.23533,14.50985
"15","2014_Q3",41.20796875,"Down",115350000,-106286000,9064000,-10367000,-9482000,-885000,-1303000,20000,20000,-1283000,-1283000,60000,-1223000,-1223000,-1223000,-1223000,62083000,62083000,79063000,79063000,237459000,11246000,3926000,389851000,168006000,53877000,5393000,46696000,1788000,221883000,611734000,67461000,50115000,17346000,2500000,2500000,69961000,191251000,161405000,29079000,767000,191251000,261212000,241063000,163994000,-53695000,350522000,350522000,611734000,-1223000,3937000,-104000,-4071000,-1461000,-14972000,-14972000,-2725000,224000,-2501000,-18934000,-18934000,-6000,-18940000,2634000,0,-16469000,0.07858,-0.0113,-0.0106,-0.00349,-0.002,13.46607,5.5724,0.74521,0,-0.09953,-0.09953,9.38762,28.5268,-1.34031,0.22177,0.00277,-0.0304,-2.22813,-23.56986,47.6462
"16","2014_Q4",36.8640625,"Down",126293000,-112232000,14061000,-10952000,-10085000,-867000,3109000,13000,13000,3122000,3122000,-1026000,2096000,2096000,2096000,2096000,52398000,52398000,77717000,77717000,247590000,13810000,3131000,391515000,173541000,49931000,5289000,42475000,2167000,223472000,614987000,69053000,51232000,17821000,2500000,2500000,71553000,190856000,161635000,28454000,767000,190856000,262409000,241937000,163361000,-51880000,352578000,352578000,614987000,2096000,4090000,7106000,-11784000,1508000,-9032000,-9032000,-2729000,250000,-2300000,-9824000,-9824000,139000,-9685000,7199000,0,-12591000,0.11134,0.02462,0.0166,0.00594,0.00341,-6.00716,5.47168,0.74426,0,0.17025,0.17025,10.25859,28.63937,-1.02275,0.22167,0.00888,-0.02317,1.302,-7.27851,-16.85365
"17","2015_Q1",33.9622950819672,"Down",120067000,-101144000,18923000,-10096000,-9170000,-926000,8827000,10000,10000,8837000,8837000,-2467000,6370000,6370000,6370000,6370000,45871000,45871000,72439000,72439000,254027000,12496000,2964000,384833000,174083000,51855000,5185000,44639000,2031000,225938000,610771000,59742000,41957000,17785000,2500000,2500000,62242000,201799000,173225000,27829000,745000,201799000,264041000,242399000,166999000,-61828000,346730000,346730000,610771000,6370000,4540000,4826000,-12902000,2834000,-6377000,-6377000,-2732000,0,-2550000,-6093000,-6093000,-434000,-6527000,13367000,0,-3445000,0.1576,0.07352,0.05305,0.01837,0.01043,-0.54082,6.18285,0.76152,0,0.51698,0.51202,9.7444,28.13991,-0.27959,0.22172,0.01659,-0.00628,0.42889,-3.43166,-5.19667
"18","2015_Q2",38.181746031746,"Up",110676000,-90405000,20271000,-10623000,-9736000,-887000,9648000,7000,7000,9655000,9655000,-3274000,6381000,6381000,6381000,6381000,38374000,38374000,68921000,68921000,266042000,15335000,3649000,388672000,172373000,45775000,5081000,39061000,1633000,218148000,606820000,53807000,35157000,18650000,2500000,2500000,56307000,201139000,173190000,27204000,745000,201139000,257446000,242856000,170642000,-63033000,349374000,349374000,606820000,6381000,4382000,3596000,-15185000,-825999.999999999,-3214000,-3214000,-2738000,-251000,-2989000,-7029000,-7029000,-468000,-7497000,14030000,0,-1095000,0.18316,0.08717,0.05765,0.01826,0.01052,-0.1716,6.90273,0.73688,0,0.51737,0.51683,8.97357,28.32712,-0.08878,0.222,0.01656,-0.00199,0.42909,-2.73514,-3.9774
"19","2015_Q3",33.5628125,"Down",138688000,-110851000,27837000,-10545000,-9619000,-926000,17292000,4000,4000,17296000,17296000,-5577000,11719000,11719000,11719000,11719000,32229000,32229000,87509000,87509000,254390000,13296000,3935000,387424000,179881000,54494000,7044000,40950000,1711000,234375000,621799000,61521000,40868000,19519000,2500000,2500000,64021000,200381000,173057000,26579000,745000,200381000,264402000,243430000,179624000,-64566000,357397000,357397000,621799000,11719000,4705000,3097000,-3199000,16322000,-4851000,-19451000,-2737000,2.91038304567337e-11,-2737000,-5866000,-5866000,-279000,-6145000,21997000,0,19524000,0.20072,0.12468,0.0845,0.03279,0.01885,1.66601,6.05151,0.7398,0,0.95076,0.94985,11.25177,28.99565,1.58398,0.22205,0.02592,0.035,0.23355,-1.46515,-1.86381
"20","2015_Q4",32.06921875,"Down",121270000,-97119000,24151000,-13290000,-12412000,-878000,10861000,-15000,-15000,10846000,10846000,-4244000,6602000,6602000,6602000,6602000,47235000,47235000,73563000,73563000,261062000,17787000,2864000,399647000,186005000,49456000,6900000,36030000,1737000,235461000,635108000,63036000,41487000,21549000,2500000,2500000,65536000,203150000,172729000,25954000,4467000,203150000,268686000,243956000,183487000,-59930000,366422000,366422000,635108000,6602000,5196000,4585000,7e+06,23383000,-5984000,-5984000,-2739000,0,-2791000,14608000,14608000,398000,15006000,16057000,1.6940658945086e-21,21317000,0.19915,0.08956,0.05444,0.01802,0.0104,3.22887,6.09813,0.73327,-3.15544362088405e-30,0.53529,0.53471,9.83253,29.70937,1.72838,0.22208,0.0164,0.03743,0.41487,-2.94171,-4.34905
"21","2016_Q1",27.2865573770492,"Down",117001000,-95596000,21405000,-11712000,-10805000,-907000,9693000,-314000,-314000,9379000,9379000,-3595000,5784000,5784000,5784000,5784000,49045000,49045000,75593000,75593000,247836000,12968000,2974000,385442000,185351000,67398000,6774000,53958000,1877000,252749000,638191000,50927000,29386000,21541000,2500000,2500000,53427000,242775000,212872000,25329000,4574000,242775000,296202000,244500000,186533000,-87953000,341989000,341989000,638191000,5784000,5225000,6264000,-7757000,9516000,-4497000,-4497000,-2738000,0,-2914000,2105000,2105000,-295000,1810000,14918000,0,6259000,0.18295,0.08285,0.04944,0.01691,0.00906,1.08212,7.21437,0.86612,0,0.46894,0.4685,9.48587,27.7268,0.50745,0.22198,0.01457,0.0107,0.47337,-3.28764,-5.05984
"22","2016_Q2",27.2609375,"Down",95070000,-82982000,12088000,-11191000,-10276000,-915000,897000,-112000,-112000,785000,785000,-557000,228000,228000,228000,228000,48258000,48258000,64496000,64496000,257372000,20102000,13245000,390228000,187676000,69643000,6648000,56180000,2026000,257319000,647547000,47078000,30876000,16202000,18569000,18569000,65647000,241960000,210973000,24704000,4576000,241960000,307607000,244970000,184015000,-87665000,339940000,339940000,647547000,228000,5240000,384000,4293000,10145000,-7051000,-7051000,-2746000,-289000,-3161000,-67000.0000000019,-67000.0000000019,-720000,-787000,6137000,1.35525271560688e-20,3936000,0.12715,0.00944,0.0024,0.00067,0.00035,17.26316,5.94434,0.90489,2.52435489670724e-29,0.01847,0.01846,7.70074,27.5354,0.31882,0.22243,0.00511,0.00676,12.04386,-7.86345,-53.79933
"23","2016_Q3",31.511875,"Up",102511000,-93606000,8905000,-10437000,-9524000,-913000,-1532000,-120000,-120000,-1652000,-1652000,490000,-1162000,-1162000,-1162000,-1162000,47791000,47791000,68063000,68063000,249402000,20436000,12892000,385692000,189773000,68676000,6523000,55180000,2184000,258449000,644141000,47859000,30865000,16994000,18569000,18569000,66428000,239598000,209237000,24079000,4575000,239598000,306026000,245555000,180107000,-86167000,338115000,338115000,644141000,-1162000,5202000,5097000,-886000,8251000,-6637000,-6637000,-2746000,5.82076609134674e-11,-2793000,-1179000,-1179000,712000,-467000,3670000,0,-4343000,0.08687,-0.01494,-0.01134,-0.00344,-0.0018,3.73752,5.80617,0.90509,0,-0.09401,-0.09407,8.29358,27.35495,-0.35137,0.22216,0.00274,-0.00752,-2.36317,-13.02207,31.19517
"24","2016_Q4",33.624126984127,"Up",101255000,-87990000,13265000,-10127000,-9211000,-916000,3138000,-109000,-109000,3029000,3029000,-237000,2792000,2792000,2792000,2792000,44418000,44418000,67261000,67261000,245626000,20201000,12252000,377506000,192129000,67027000,6399000,53906000,1933000,259156000,636662000,48152000,30884000,17268000,13751000,13751000,61903000,237831000,208095000,23454000,4575000,237831000,299734000,246093000,180151000,-87936000,336928000,336928000,636662000,2792000,5249000,5552000,-5643000,7950000,-8414000,-8414000,-2748000,310000,-2451000,-2915000,-2915000,-458000,-3373000,8387000,0,-5433000,0.13101,0.03099,0.02757,0.00829,0.00439,-1.94592,6.09835,0.88961,4.03896783473158e-28,0.22571,0.22545,8.18555,27.23757,-0.43921,0.22215,0.00964,-0.00945,0.98424,-5.29605,-14.15488
"25","2017_Q1",34.1662903225806,"Up",107523000,-94201000,13322000,-11627000,-10673000,-954000,1695000,-106000,-106000,1589000,1589000,1573000,3162000,3162000,3162000,3162000,59297000,59297000,61612000,61612000,236558000,8793000,8255000,366260000,199182000,84159000,6562000,71010000,1798000,283341000,649601000,47900000,29925000,17975000,7488000,7488000,55388000,282914000,250251000,22829000,8256000,282914000,338302000,246637000,180565000,-114523000,311299000,311299000,649601000,3162000,5345000,6641000,12493000,27641000,-9531000,-9531000,-2748000,0,-3097000,15013000,15013000,-134000,14879000,7040000,0,8429000,0.1239,0.01576,0.02941,0.01016,0.00487,2.66572,6.61262,1.08674,0,0.25562,0.25552,8.69217,25.16543,0.6814,0.22215,0.00995,0.01419,0.86907,-8.42287,-34.98348
"26","2017_Q2",32.2220634920635,"Down",93355000,-82868000,10487000,-11255000,-10312000,-943000,-768000,-112000,-112000,-880000,-880000,208000,-672000,-672000,-672000,-672000,62961000,62961000,52875000,52875000,241590000,9115000,5829000,366541000,198751000,81777000,6439000,68828000,1721000,280528000,647069000,55437000,37164000,18273000,2908000,2908000,58345000,281003000,249200000,22204000,8022000,281003000,339348000,247195000,177141000,-114969000,307721000,307721000,647069000,-672000,5385000,10923000,-2167000,13469000,-5893000,-5893000,-2752000,-266000,-3073000,4503000,4503000,-839000,3664000,4617000,-3.46944695195361e-18,-3651000,0.11233,-0.00823,-0.0072,-0.00218,-0.00104,5.43304,6.2823,1.10278,-3.23117426778526e-27,-0.05427,-0.05427,7.53945,24.85187,-0.29486,0.22225,0.00353,-0.0062,-4.09524,-13.63678,81.98047
"27","2017_Q3",27.8126984126984,"Down",103112000,-93324000,9788000,-11532000,-10541000,-991000,-1744000,-192000,-192000,-1936000,-1936000,46000,-1890000,-1890000,-1890000,-1890000,54365000,54365000,65225000,65225000,242753000,10648000,4107000,372991000,197262000,77584000,6317000,64779000,1699000,274846000,647837000,59055000,39541000,19514000,2500000,2500000,61555000,279123000,247973000,21579000,7994000,279123000,340678000,247862000,172498000,-111555000,307159000,307159000,647837000,-1890000,5457000,10729000,-16536000,-2240000,-3887000,-3887000,-2753000,0,-2781000,-8908000,-8908000,312000,-8596000,3713000,0,-16756000,0.09493,-0.01691,-0.01833,-0.00615,-0.00292,8.86561,6.05948,1.10913,0,-0.15242,-0.15242,8.31527,24.77025,-1.35126,0.22201,0.00147,-0.02858,-1.45661,-14.6418,31.17259
"28","2017_Q4",29.5712698412698,"Up",97977000,-94315000,3662000,-11505000,-10564000,-941000,-7843000,-180000,-180000,-8023000,-8023000,4056000,-3967000,-3967000,-3967000,-3967000,48477000,48477000,61076000,61076000,247396000,6434000,2714000,363383000,196177000,83199000,6193000,70591000,1626000,279376000,642759000,56547000,37084000,19463000,2500000,2500000,59047000,277714000,247217000,20954000,7966000,277714000,336761000,248198000,165779000,-106333000,305998000,305998000,642759000,-3967000,5507000,-734000,-187000,619000,-4279000,-4279000,-2752000,0,-2780000,-6440000,-6440000,552000,-5888000,-2336000,-5.55111512312578e-17,-10858000,0.03738,-0.08005,-0.04049,-0.01296,-0.00617,2.73708,6.15413,1.10053,5.16987882845642e-26,-0.31991,-0.31991,7.90104,24.67622,-0.87561,0.22193,-0.00208,-0.0186,-0.69372,20.75214,6.18093
"29","2018_Q1",34.202131147541,"Up",100765000,-94992000,5773000,-11956000,-10976000,-980000,-6183000,-195000,-195000,-6378000,-6378000,2717000,-3661000,-3661000,-3661000,-3661000,46328000,46328000,61602000,61602000,244457000,2781000,2781000,355168000,192556000,74095000,6066000,58133000,5107000,266651000,621819000,52200000,32802000,19203000,2500000,2500000,54700000,233347000,203381000,20329000,7896000,233347000,288047000,248746000,159366000,-72694000,333772000,333772000,621819000,-3661000,5748000,597000,-1405000,1279000,-947000,-947000,-2752000,1.45519152283669e-11,-2807000,-2475000,-2475000,326000,-2149000,-435000,0,-5504000,0.05729,-0.06136,-0.03633,-0.01097,-0.00589,1.50341,6.49302,0.86301,0,-0.29511,-0.29511,8.12271,26.9055,-0.44368,0.22184,-0.0016,-0.00971,-0.75171,106.50115,7.4928
