"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",54.6993650793651,"Up",19639000,-11364000,8275000,-5785000,-4947000,-838000,2490000,1412000,1412000,-8643000,-7231000,-7231000,522000,-6709000,-6709000,36972000,36972000,14361000,14901000,14901000,66234000,11752000,13231000,79465000,7834000,7834000,15765000,15765000,23936000,22757000,12295000,22833000,46769000,20000,-209029000,241102000,32093000,603000,32696000,79465000,-6709000,593000,1327000,6272000,1483000,-315000,-186000,-3597000,-3597000,-2300000,-2300000,-2300000,3083000,413000,17683000,0.42136,0.12679,-0.34162,-0.20519,-0.08443,-2.63571,2.76713,1.43042,0.0052,-3.32293,-2.96203,9.72709,15.89549,8.7583,-0.12009,0.31653,-11.85825,-14.68233
"12","2017_Q4",80.9373015873016,"Up",19255000,-16750000,2505000,-4845000,-3897000,-948000,-2340000,-2283000,-2283000,25000,-2258000,-2258000,402000,-1856000,-1856000,44561000,44561000,13288000,12310000,12310000,70159000,11753000,13853000,84012000,12059000,12059000,13382000,13382000,25781000,25889000,14401000,25909000,51690000,20000,-210988000,242830000,31862000,459999.999999998,32322000,84012000,-1856000,589000,5172000,2080000,5985000,-1344000,-1344000,115000,57000,4698000,4698000,4698000,-1751000,360000,-1040000.00000001,0.1301,-0.12153,-0.0963900000000001,-0.05742,-0.02209,0.56034,2.72135,1.59922,0.00429,-0.9179,-0.9036,9.52275,15.75767,-0.514339999999999,-0.03169,-0.01776,25.24329,18.88932
"13","2018_Q1",94.2268852459016,"Up",29666000,-29834000,-168000,-7296000,-4870000,-2426000,-7464000,-7507000,-7507000,-475000,-7982000,-7982000,580000,-7402000,-7402000,36480000,36480000,20211000,11989000,11989000,69746000,21154000,45064000,114810000,20451000,20451000,14118000,13659000,36320000,37577000,24137000,47533000,83853000,21000,-219396000,249560000,30185000,772000,30957000,114810000,-7402000,1288000,18433000,-10952000,1367000,-1762000,-21484000,11146000,10013000,-10104000,-10104000,-10114000,-6176000,11707000,-18415000,-0.00566,-0.2516,-0.24951,-0.23911,-0.06447,2.48784,1.92032,2.70869,0.10197,-3.57757,-3.49481,14.33833,14.58917,-8.90043,-0.09225,-0.2295,4.01117,3.319
"14","2018_Q2",82.22796875,"Down",48168000,-43104000,5064000,-8181000,-6295000,-1886000,-3117000,-5129000,-5129000,-706000,-5835000,-5835000,112000,-5723000,-5723000,34910000,34910000,18613000,18016000,18016000,72676000,23259000,46921000,119597000,18648000,18648000,18640000,18298000,39024000,36934000,24082000,48468000,87492000,21000,-224281000,254805000,30545000,1560000,32105000,119597000,-5723000,1671000,8255000,225999.999999998,4429000,-2663000,-3883000,9365000,4056000,4602000,4602000,4399000,-1446000,13270000,-3177000,0.10513,-0.06471,-0.11881,-0.17826,-0.04785,0.55513,1.86234,2.72518,0.11096,-2.73305,-2.70591,23.00287,14.58691,-1.51719,-0.06953,-0.0386,14.96542,6.94257
"15","2018_Q3",82.7022222222222,"Up",54811000,-32731000,22080000,-11210000,-9125000,-2085000,10870000,10537000,10537000,-1605000,8932000,8932000,28000,8960000,8960000,40868000,40868000,19753000,15371000,15371000,77221000,26333000,60924000,138145000,21596000,21596000,29833000,29539000,53099000,30763000,17946000,42084000,95183000,21000,-215435000,256955000,41541000,1421000,42962000,138145000,8960000,1943000,6462000,-9530000,7835000,-1872000,-4322000,5345000,-349000,3164000,3164000,3302000,12813000,12991000,3016000,0.40284,0.19832,0.16347,0.20856,0.06486,0.33661,1.45428,2.21552,0.09404,4.27685,3.60273,26.16277,19.82864,1.43962,0.10333,0.03478,-2.17568,-2.56458
"16","2018_Q4",62.9890476190476,"Down",41565000,-37432000,4133000,-15637000,-12231000,-3406000,-11504000,-11898000,-11898000,13904000,2006000,2006000,1381000,3387000,3387000,64937000,64937000,10564000,13725000,13725000,90447000,31856000,299371000,389818000,24462000,24462000,21962000,21840000,48150000,60823000,19046000,77391000,125541000,24000,-214174000,277200000,263628000,649000,264277000,389818000,3387000,4650000,-22921000,18175000,3291000,-2996000,-1095000,25167000,20211000,22407000,22407000,22402000,-6854000,18294000,-5579000,0.09943,-0.27677,0.08149,0.01282,0.00868999999999999,-1.64718,1.87844,0.47504,0.04693,1.60597,1.44929,19.70839,29.89569,-2.64533,0.00986000000000001,-0.01625,6.80522,4.0545
"17","2019_Q1",57.4983606557377,"Down",50976000,-33785000,17191000,-12360000,-7145000,-5215000,4831000,3946000,3946000,-1229000,2717000,2717000,841000,3558000,3558000,51529000,51529000,12262000,11816000,11816000,76809000,47947000,302196000,379005000,24880000,24880000,10771000,10623000,38246000,58834000,13932000,74011000,112257000,24000,-214242000,279661000,266290000,458000,266748000,379005000,3558000,5044000,1096000,-3734000,5964000,-17511000,-18799000,5454000,-3404000,-16239000,-16239000,-16216000,9875000,17772000,-10141000,0.33724,0.09477,0.0698,0.01334,0.00939,-2.8502,2.00829,0.42084,0.04689,1.49433,1.34163,21.40949,27.48551,-4.25913,0.01849,-0.02954,-3.41843,-6.98758
"18","2019_Q2",47.8492063492063,"Down",63320000,-46930000,16390000,-13848000,-7982000,-5866000,2542000,1868000,1868000,-1300000,568000,568000,142000,710000,710000,39953000,39953000,19026000,16317000,16317000,76833000,80798000,343273000,420106000,21696000,21696000,13980000,13912000,41005000,85496000,40587000,107168000,148173000,25000,-216703000,286646000,271306000,627000,271933000,420106000,710000,5563000,-1269000,-2735000,2269000,-6736000,-13743000,14853000,4591000,-6883000,-6883000,-6886000,8105000,27001000,-65999.9999999981,0.25884,0.04015,0.01121,0.00261,0.00169,-0.0929600000000077,1.87375,0.54489,0.06427,0.29351,0.28991,26.17611,28.92435,-0.0272800000000002,0.00911,-0.000169999999999997,-1.59803,-5.0952
"19","2019_Q3",27.4509375,"Down",63466000,-43083000,20383000,-19440000,-11368000,-8072000,943000,97000,97000,-426000,-329000,-329000,441000,112000,112000,40039000,40039000,16027000,17151000,17151000,74721000,84143000,343457000,418178000,26154000,26154000,18264000,18126000,49417000,75016000,32178000,96941000,146358000,25000,-219965000,289528000,271410000,410000,271820000,418178000,112000,6272000,16364000,-10524000,12224000,-11438000,-11804000,10432000,350000,770000,770000,758000,7215000,26924000,-14321000,0.32116,0.01486,0.00176,0.00041,0.00027,-127.86607,1.51205,0.53844,0.06438,0.04549,0.04122,25.77823,28.26483,-5.81682,3e-04,-0.03832,-1.81774,-13.90774
"20","2019_Q4",23.82234375,"Down",56889000,-41527000,15362000,-22163000,-8940000,-13223000,-6801000,-6888000,-6888000,297000,-6591000,-6591000,435000,-6156000,-6156000,36400000,36400000,13351000,16214000,16214000,67321000,93565000,354516000,421837000,27314000,27314000,23348000,23137000,56417000,70877000,27812000,96003000,152420000,26000,-229379000,295820000,268652000,765000,269417000,421837000,-6156000,9626000,19185000,-14400000,8255000,-10358000,-13193000,13407000,-22000,-4960000,-4960000,-4937000,2825000,30881000,-22230000,0.27003,-0.11955,-0.10821,-0.02285,-0.01459,3.61111000000001,1.19328,0.56574,0.07321,-2.38605,-2.2128,22.05,25.7624,-8.61628,-0.00907,-0.05989,-1.95363,0.811500000000002
"21","2020_Q1",18.9845161290323,"Down",107575000,-16209000,91366000,-99280000,-5194000,-94086000,-7914000,-8911000,-8911000,-111000,-9022000,-9022000,501000,-8521000,-8521000,36544000,35349000,13994000,25112000,25112000,77292000,147889000,705208000,782500000,39160000,39160000,25070000,24837000,71559000,161824000,79256000,194857000,266416000,2000,-244084000,285478000,515456000,628000,516084000,782500000,-8521000,9681000,5962000,-5171000,1951000,-1511000,9909000,18865000,-6986000,4874000,4874000,4871000,1767000,40362000,-4804000,0.84932,-0.07357,-0.07921,-0.01651,-0.01089,0.56378,1.08012,0.51623,0.05158,-3.86966,-3.86265,48.85332,18.79927,-2.18165,-0.00612,-0.00669,2.16072,-0.48244
"22","2020_Q2",8.28380952380952,"Down",133842000,-38191000,95651000,-95889000,-6183000,-89706000,-238000,-180325000,-180325000,2085000,-178240000,-178240000,6e+05,-177640000,-177640000,55246000,54906000,17241000,27634000,27634000,101698000,142692000,508976000,610674000,29550000,29550000,39199000,32427000,130683000,143158000,75775000,147665000,278348000,2000.00000000001,-430731000,287656000,331797000,529000,332326000,610674000,-177640000,11364000,205294000,-34718000,4300000,-1990000,-3373000,38257000,21213000,22140000,22140000,22328000,11126000,66441000,-27667000,0.71466,-0.00178,-1.32724,-0.53454,-0.29089,0.155749999999996,0.7782,0.83758,0.1088,-80.78217,-80.78217,60.86494,-65.06276,-12.58163,-0.31908,-0.05105,1.0062,-47.03782
"23","2020_Q3",7.346875,"Down",45598000,-16871000,28727000,-39866000,-4341000,-35525000,-11139000,-12402000,-12402000,3484000,-8918000,-8918000,922000,-7996000,-7996000,65892000,65518000,5484000,43333000,43333000,116273000,140389000,499734000,616007000,35987000,35987000,58651000,48348000,156259000,138687000,77193000,143246000,299505000,3000,-447649000,288232000,316251000,251000,316502000,616007000,-7996000,11505000,40978000,-11001000,33486000,-156000,-610000,13937000,-6114000,26762000,26762000,27116000,366000,66180000,-14275000,0.63001,-0.24429,-0.17536,-0.02526,-0.01298,1.78527,0.7441,0.9463,0.10743,-3.52402,-3.52402,20.09608,-70.25738,-6.29132,-0.00778,-0.02738,0.78689,-0.02586
"24","2020_Q4",5.885,"Down",55868000,-17649000,38219000,-52853000,-5540000,-47313000,-14634000,-15975000,-15975000,1835000,-14140000,-14140000,923000,-13217000,-13217000,68779000,68623000,6650000,44270000,44270000,121249000,128073000,480592000,601841000,42093000,42093000,66516000,50633000,170584000,130698000,74621000,135272000,305856000,3000.00000000023,-469651000,288875000,295673000,312000,295985000,601841000,-13217000,11569000,17911000,-9349000.00000001,6914000,-237000,-859000,1877000,-3577000,2478000,2478000,2507000,-3065000,66549000,-14486000,0.68409,-0.26194,-0.23658,-0.0446500000000001,-0.02196,1.09601,0.71079,1.03335,0.11058,-5.73157,-5.73157,24.22723,-78.39245,-6.28187,-0.01868,-0.02937,0.72757,0.152379999999995
"25","2021_Q1",8.43803278688525,"Up",62120000,-18237000,43883000,-52965000,-4287000,-48678000,-9082000,-21341000,-21341000,6851000,-14490000,-14490000,978000,-13512000,-13512000,45270000,45270000,3458000,61008000,53379000,111282000,88760000,454157000,565439000,56658000,40378000,48675000,35937000,110680000,118227000,70024000,175576000,286256000,3000,-491483000,292441000,277470000,1713000,279183000,565439000,-13512000,11236000,-60151000,49937000,-12490000,-463000,-1188000,3500000,-8792000,-22470000,-22470000,-22534000,2154000,62696000,44777000,0.70642,-0.1462,-0.21751,-0.0484,-0.0239,-3.31387,1.00544,1.02533,0.11088,-5.8595,-5.8595,26.93842,-86.50347,19.41761,-0.01225,0.09732,8.09006,-1.91874
"26","2021_Q2",14.76,"Up",62368000,-20920000,41448000,-49133000,-5268000,-35726000,-7685000,-9116000,-9396000,950999.999999999,-8445000,-8445000,271000,-8174000,-17096000,34020000,34020000,7905000,42969000,42969000,86640000,116743000,446548000,533188000,26145000,26145000,61999000,52029000,117747000,49617000,1772000,153641000,271388000,2999.99999999814,-506044000,290603000,261825000,-25000.0000000037,261800000,533188000,-8445000,9615000,2629000,-9205999.99999999,-5407000,1362000,725000,184000,-8805000,-13487000,-13487000,-13658000,1930000,133627000,-6865000,0.66457,-0.12322,-0.27411,-0.0653,-0.03206,0.40156,0.73581,1.03662,0.25062,-6.36485,-6.36485,23.21966,-80.20774,-2.55585,-0.03841,-0.01543,51.60984,-12.96122
"27","2021_Q3",16.64578125,"Up",85412000,-25286000,60126000,-65126000,-6591000,-50276000,-5e+06,-6446000,-6670000,697000,-5973000,-5973000,253000,-5720000,-14664000,33329000,32089000,6959000,42164000,42164000,84163000,114711000,437962000,522125000,28027000,28027000,60635000,53053000,118062000,52318000,4538000,155499000,273561000,3000,-520787000,291523000,248313000,251000,248564000,522125000,-5973000,9760000,2875000,2888000,9550000,-2166000,-3065000,-226000,-9107000,-2622000,-2622000,-2573000,4760000,132581000,4785000,0.70395,-0.05854,-0.17169,-0.05899,-0.02809,-0.32631,0.71287,1.10057,0.25393,-5.30535,-5.30535,30.90159,-82.94537,1.73119,-0.01456,0.01104,20.85126,-19.8504
"28","2021_Q4",18.42921875,"Up",108186000,-26178000,82008000,-80221000,-7585000,-64580000,1787000,610000,-258000,-97999.9999999998,-356000,-356000,193000,-163000,-163000,40846000,40210000,7369000,44818000,44818000,94759000,111386000,419121000,513880000,54333565.9668825,38454621.877233,76712000,71497000,110392000,171279000,138544000,171279000,281671000,2999.9999999702,-529992000,291939000,239830000,-426742000,-186912000,94759000,-356000,9567000,-2117000,1125000,8219000,-385000,-3780000,228000,3731000,8170000,8170000,8329000,11354000,-1.49011611938477e-08,12192000,0.75803,0.01652,-0.00151000000000001,-0.0599677927552489,-0.0276994155463031,-74.79755,0.793004237156771,1.15369058160268,0.17900523684034,-0.0589700000000004,-0.0589700000000004,39.1411,36.7010844229535,4.411,-0.00321896210400095,0.0437433184744512,0.592140947987016,-10.8670966577853
"29","2022_Q1",18.0224193548387,"Down",128601000,-35215000,93386000,-86561000,-6844000,-71573000,6825000,5457000,5344000,-1388000,3956000,3956000,176000,4132000,-14055000,37571000,37571000,10502000,48828000,39338000,98456000,83566000,416340000,514796000,74471000,39897000,41497000,30592000,122693000,103130000,66956000,155799000,278492000,772398000,-534999000,-1206000,235597000,707000,236304000,514796000,3956000,9555000,2553000,-7410000,8654000,-751000,-3202000,-90000,-7763000,-2311000,-2311000,-2315000,16380000,59394000,9607000,0.72617,0.05307,-0.10929,-0.05948,-0.0273,-0.68353,0.80246,1.17853,0.11537,-4.94546,-4.94546,45.25018,82.89831,3.38037,-0.01614,0.02409,1.3323,3.19751
"30","2022_Q2",15.631935483871,"Down",133959000,-36634000,97325000,-94363000,-7363000,-79375000,2962000,2101000,1957000,-1278000,679000,679000,269000,948000,-8425000,29827000,29827000,13660000,48037000,41045000,93270000,81042000,407361000,500631000,71190000,27243000,43802000,33425000,121935000,100762000,65816000,151081000,273016000,294847000,-544076000,-798000.00000003,227157000,457999.99999994,227615000,500631000,679000,9127000,131000,-15639000,-5702000,-876000,-1731000,-515000,-1462000,-8895000,-8895000,-8898000,12089000,57262000,-3148000,0.72653,0.02211,-0.06289,-0.03701,-0.01683,0.373649999999995,0.76492,1.19946,0.11438,-3.02513,-3.02513,48.10018,-90.0693,-1.13034,-0.02185,-0.00816,2.26942,9.26232
"31","2022_Q3",15.7578125,"Up",167453000,-42088000,125365000,-113042000,-10173000,-94850000,12323000,9633000,9401000,-4076000,5325000,5325000,157000,5482000,-3538000,48422000,48422000,16535000,53078000,47812000,119847000,81154000,409363000,529210000,64760000,38167000,44242000,35562000,113690000,99140000,65659000,188814000,302504000,295464000,-547602000,-257000,224738000,1968000,226706000,529210000,5325000,9517000,-137000,6965000,21670000,-1732000,-8647000,-2819000,10087000,23110000,23110000,23109000,21840000,94362000,31149000,0.74866,0.07359,-0.02113,-0.01561,-0.00669,-8.80413,1.05416,1.33434,0.17831,-1.21456,-1.13799,57.48472,-86.94198,10.6931,0.05469,0.07413,2.10348,3.72799
