"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","discontinued_operations_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",19.18046875,"Up",28080000,-1356000,26724000,-25944000,-23811000,-1205000,-928000,780000,-7000,-7000,773000,-1026000,-253000,-20000,-273000,-2444000,-2444000,-2717000,-2717000,-2717000,73326000,73326000,13545000,13545000,33468000,4008000,29027000,120339000,5833000,14675000,10788000,3632000,129000,126000,20508000,140847000,19994000,2137000,17857000,33568000,32925000,53562000,5699000,751000,5699000,59261000,905195000,-9412000,-814197000,81586000,81586000,140847000,-273000,928000,1504000,-7575000,-5416000,-587000,-201000,-671000,-671000,-671000,-6288000,-576000,-6864000,-6864000,1708000,0,-6434000,0.95171,0.02778,-0.09676,-0.0333,-0.01929,2.36805,2.24672,0.72636,0,-0.24774,-0.24774,2.56041,7.43923,-0.58667,-0.03113,-0.07371,-42.93091,-94.00769
"12","2013_Q3",21.91328125,"Up",37406000,-1950000,35456000,-34444000,-32037000,-1492000,-915000,1012000,-7000,-6999.99999999997,1005000,-3057000,-2052000,19000.0000000002,-2033000,9112000,9112000,7079000,7079000,7079000,85283000,85283000,17778000,17778000,31669000,1580000,30066000,134730000,5591000,14617000,10745000,3632000,129000,111000,20208000,154938000,29859000,1821000,28038000,32085000,32068000,61944000,5484000,616000,5484000,67428000,905533000,-10905000,-807118000,87510000,87510000,154938000,-2033000,915000,1459000,6145000,6486000,-630000,-1668000,-2254000,-802000,-1970000,2848000,9109000,11957000,11957000,1927000,0,7423000,0.94787,0.02705,0.18925,0.08089,0.04569,1.04859,2.17503,0.77052,2.58493941422821e-26,0.63586,0.63586,3.35992,7.86041,0.66676,0.07307,0.07982,-44.25688,-84.27174
"13","2013_Q4",29.9378125,"Up",37343000,-1733000,35610000,-32583000,-30442000,-1217000,-924000,3027000,-4000,-4000,3023000,-2805000,218000,98000,316000,-529000,-529000,-213000,-213000,-213000,87752000,87752000,15446000,15446000,28092000,2043000,26018000,131290000,5537000,14583000,10712000,3632000,129000,110000,20120000,151410000,27596000,3034000,24562000,31954000,31946000,59550000,5227000,481000,5227000,64777000,906697000,-12733000,-807331000,86633000,86633000,151410000,316000,924000,1239000,-154000,2325000,-837000,3211000,-2285000,-416000,-2384000,3152000,-683000,2469000,2469000,3951000,0,2862000,0.95359,0.08106,-0.0057,-0.00246,-0.00141,-13.43662,2.2047,0.74772,0,-0.01933,-0.01933,3.38958,7.86357,0.25978,-0.00124,0.03116,-22.21007,-28.98976
"14","2014_Q1",32.5924590163934,"Up",36411000,-1503000,34908000,-31720000,-29489000,-1350000,-881000,3188000,-1000,-1000,3187000,-2226000,961000,356000,1317000,-1519000,-1519000,-202000.000000002,-202000.000000002,-202000.000000002,91667000,91667000,12850000,12850000,28227000,1689000,26017000,132744000,5344000,14556000,10684000,3632000,129000,111000,19900000,152644000,28195000,4881000,23314000,32004000,32004000,60199000,5437000,334000,5437000,65636000,907274000,-12733000,-807533000,87008000,87008000,152644000,1317000,881000,1902000,2743000,6843000,-696000,-695000,-917000,-917000,-958000,5190000,-1275000,3915000,3915000,4069000,2.22044604925031e-16,5760000,0.95872,0.08756,-0.00554999999999999,-0.00232,-0.00132000000000001,-28.51485,2.20509,0.75437,4.13590306276514e-25,-0.0183300000000001,-0.0183299999999999,3.30318,7.89331,0.52254,-0.00174000000000001,0.06231,-22.52814,-28.75376
"15","2014_Q2",27.2561904761905,"Down",40036000,-1665000,38371000,-36297000,-33582000,-1932000,-783000,2074000,0,0,2074000,-7909000,-5835000,1000,-5834000,-574000,-574000,-6408000,-6408000,-6408000,89499000,89499000,13373000,13373000,26200000,1611000,24062000,129072000,5652000,14491000,10656000,3632000,1e+05,103000,20143000,149215000,32587000,1387000,31200000,31930000,31905000,64517000,5365000,210000,5365000,69882000,906007000,-12733000,-813941000,79333000,79333000,149215000,-5834000,783000,1801000,3494000,244000,-1069000,885000,-2877000,-2877000,-2958000,-1829000,-339000,-2168000,-2168000,2857000,0,5281000,0.95841,0.0518,-0.16006,-0.08077,-0.04294,-0.82413,2.00059,0.88087,0,-0.57512,-0.57512,3.59325,7.12018,0.47397,-0.0747,0.06235,-31.32622,-43.15284
"16","2014_Q3",29.05859375,"Up",42144000,-1895000,40249000,-37241000,-34442000,-1826000,-973000,3008000,1.13686837721616e-13,0,3008000,-408000.000000001,2600000,83000,2683000,-2931000,-2931000,-247999.999999999,-247999.999999999,-247999.999999999,87618000,87618000,13260000,13260000,24277000,1518000,22044000,125155000,5602000,15053000,11219000,3632000,1e+05,102000,20655000,145810000,29454000,5949000,23505000,32620000,32620000,62074000,5177000,67000,5177000,67251000,906994000,-14246000,-814189000,78559000,78559000,145810000,2683000,973000,1466000,-3184000,1938000,-1500000,519000,-1830000,-360000,-1889000,567999.999999999,-2449000,-1881000,-1881000,3981000,7.105427357601e-15,-786000,0.95504,0.07137,-0.00588,-0.00315999999999998,-0.00169999999999999,3.16935,2.01622,0.85606,6.61744490042422e-24,-0.02212,-0.0209299999999999,3.75816,7.00544,-0.07009,-0.00226,-0.00939,-22.00904,-29.12832
"17","2014_Q4",41.39078125,"Up",41306000,-2110000,39196000,-36297000,-33758000,-1658000,-881000,2899000,-1000,-1000,2898000,-2345000,553000,2000,555000,-174000,-174000,381000,381000,381000,83631000,83631000,13816000,13816000,23619000,1620000,21874000,121066000,5561000,15422000,11588000,3632000,1e+05,102000,20983000,142049000,25877000,2263000,23614000,31782000,31782000,57659000,5062000,0,5062000,62721000,908416000,-15280000,-813808000,79328000,79328000,142049000,555000,881000,1956000,-4602000,-1210000,-968000,-798000,-1456000,-379000,-1512000,-3520000,-467000,-3987000,-3987000,3780000,0,-1792000,0.94892,0.07018,0.00922,0.0048,0.00268,-4.70341,2.09969,0.79065,0,0.03407,0.03219,3.69397,7.09426,-0.16026,0.00518,-0.02123,-22.1246,-28.84822
"18","2015_Q1",47.704262295082,"Up",43864000,-2233000,41631000,-39590000,-36805000,-2041000,-744000,2041000,-999.999999999999,-999.999999999999,2040000,-329000,1711000,398000,2109000,13528000,13528000,15637000,15637000,15637000,86212000,86212000,13611000,13611000,19836000,931000,18716000,119659000,5257000,14975000,11141000,3632000,1e+05,102000,20232000,139891000,26581000,1060000,25521000,12055000,12055000,38636000,4889000,3.63797880709171e-12,4889000,43525000,909880000,-15343000,-798171000,96366000,96366000,139891000,2109000,744000,3622000,1628000,8103000,-319000,2098000,-1259000,-1196000,-1292000,8909000,-6328000,2581000,2581000,2785000,0,3696000,0.94909,0.04653,0.35649,0.16227,0.11178,0.236360000000002,3.09709,0.45166,0,1.39442,1.57552,3.91154,8.59337,0.32959,0.15476,0.0365,-30.95583,-42.24008
"19","2015_Q2",61.5507936507937,"Up",50935000,-1975000,48960000,-42954000,-40065000,-2173000,-716000,6006000,2000,2000,6008000,-288000,5720000,-307000,5413000,-226000,-226000,5187000,5187000,5187000,88536000,88536000,19596000,19596000,19916000,1138000,18617000,128048000,5743000,14813000,11079000,3632000,0,102000,20556000,148604000,29542000,2674000,26868000,12134000,12134000,41676000,4768000,0,4768000,46444000,910705000,-15561000,-792984000,102160000,102160000,148604000,5413000,716000,2426000,-3215000,5340000,-1191000,-1091000,-1830000,-1612000,-1785000,2464000,-140000,2324000,2324000,6722000,0,2623000,0.96123,0.11791,0.10184,0.05077,0.0349,0.50569,3.07246,0.45462,0,0.45886,0.42639,4.50593,9.03751,0.23204,0.04918,0.02453,-13.17108,-14.74126
"20","2015_Q3",101.17921875,"Up",55136000,-1991000,53145000,-47060000,-43916000,-2390000,-754000,6085000,-64000,-64000,6021000,690000,6711000,-272000,6439000,-1717000,-1717000,4722000,4722000,4722000,92967000,92967000,20516000,20516000,19978000,1097000,18622000,133461000,6683000,14775000,11042000,3632000,-5.82076609134674e-11,101000,21458000,154919000,31042000,2648000,28394000,13670000,13670000,44712000,4888000,119000,4888000,49600000,909142000,-15561000,-788262000,105319000,105319000,154919000,6439000,754000,1973000,696000.000000001,9862000,-1553000,-1559000,-3682000,-3682000,-3595000,4708000,-277000,4431000,4431000,6839000,9.09494701772928e-13,6254000,0.96389,0.11036,0.08564,0.04484,0.03048,1.32444,2.9849,0.47095,-8.470329472543e-22,0.41487,0.38284,4.84414,9.25312,0.54946,0.04288,0.05675,-13.59365,-15.27806
"21","2015_Q4",102.88109375,"Up",69804000,-2436000,67368000,-59434000,-55970000,-2675000,-789000,7934000,-1000,-1000,7933000,-161000,7772000,-389000,7383000,-1295000,-1295000,6088000,6088000,6088000,106251000,106251000,25181000,25181000,20618000,1708000,18621000,152050000,7959000,14775000,11017000,3632000,0,126000,22734000,174784000,42419000,6245000,36174000,14529000,14529000,56948000,5042000,273000,5042000,61990000,910529000,-15561000,-782174000,112794000,112794000,174784000,7383000,789000,1825000,5897000,15894000,-1558000,-1557000,-833000,-833000,-585000,13752000,-468000,13284000,13284000,8723000,0,13451000,0.9651,0.11366,0.08722,0.05397,0.03483,2.20943,2.66998,0.54959,0,0.53194,0.48747,6.09908,9.85531,1.17527,0.05191,0.11415,-12.18056,-13.39186
"22","2016_Q1",78.1162295081967,"Down",78341000,-2968000,75373000,-67073000,-62928000,-3247000,-898000,8300000,-108000,-108000,8192000,-52000.0000000001,8140000,23941000,32081000,-31000,-31000,32050000,32050000,32050000,206975000,206975000,29873000,29873000,8736000,2085000,6541000,245584000,9415000,40782000,10992000,3632000,4142000,1039000,50197000,295781000,40626000,5741000,34885000,13401000,13401000,54027000,612000,586000,612000,54639000,1006827000,-15561000,-750124000,241142000,241142000,295781000,32081000,898000,-26553000,-337000.000000001,6089000,-2935000,9108000,-1485000,-1485000,88273000,103470000,-2746000,100724000,100724000,9198000,1.45519152283669e-11,-18015000,0.96211,0.10595,0.40911,0.13291,0.10836,-0.56209,4.54558,0.22658,-1.35525271560688e-20,2.68583,2.43245,6.56507,20.20799,-1.50968,0.13268,-0.07452,-22.50217,-24.93675
"23","2016_Q2",84.69796875,"Up",94713000,-3473000,91240000,-79226000,-74318000,-3885000,-1023000,12014000,-142000,-142000,11872000,-169000,11703000,-4798000,6905000,-1203000,-1203000,5702000,5702000,5702000,174226000,174226000,36767000,36767000,7385000,3237000,4084000,218378000,10172000,39736000,10967000,3632000,4142000,978000,49908000,268286000,44017000,3163000,40854000,14896000,14896000,58913000,784000,758000,784000,59697000,1009172000,-56161000,-744422000,208589000,208589000,268286000,6905000,1023000,3076000,-633000,10371000,-2154000,303000,-43084000,-2585000,-43115000,-32441000,-308000,-32749000,-32749000,13037000,0,15048000,0.96333,0.12685,0.0602,0.02734,0.02125,2.63907,3.70679,0.28619,0,0.47791,0.44294,7.9384,17.48294,1.26125,0.02723,0.07187,-13.36396,-14.50191
"24","2016_Q3",99.54203125,"Up",94290000,-3464000,90826000,-78118000,-73091000,-3781000,-1246000,12708000,-141000,-141000,12567000,7000,12574000,-3572000,9002000,-1150000,-1150000,7852000,7852000,7852000,159611000,159611000,41733000,41733000,9282000,5195000,4087000,210626000,12939000,43551000,15395000,4007000,4142000,917000,56490000,267116000,38573000,1345000,37228000,14057000,14057000,52630000,1645000,1618000,1645000,54275000,1013160000,-63749000,-736570000,212841000,212841000,267116000,9002000,1246000,1981000,-7685000,4544000,-8798000,-8801000,-7814000,-223000,-7814000.00000003,-12071000,-2544000,-14615000,-14615000,13954000,0,1043000,0.96326,0.13478,0.08328,0.03689,0.0294,0.132830000000001,4.00201,0.255,2.16840434497101e-19,0.66571,0.61681,7.99407,18.04502,0.0884299999999991,0.03661,0.00486,-11.43837,-12.55988
"25","2016_Q4",95.3363492063492,"Down",94558000,-3392000,91166000,-76997000,-71827000,-3718000,-1452000,14169000,-141000,-141000,14028000,-19000,14009000,-6729000,7280000,-664000,-664000,6616000,6616000,6616000,176925000,176925000,38185000,38185000,8016000,3925000,4091000,223126000,13399000,40574000,15229000,4007000,4142000,855000,53973000,277099000,40534000,2815000,37719000,11978000,11978000,52512000,1780000,1753000,1780000,54292000,1016846000,-64085000,-729954000,222807000,222807000,277099000,7280000,1452000,3635000,11603000,23970000,-1565000,-1569000,-719000,-285000,-719000,21682000,-4368000,17314000,17314000,15621000,0,32388000,0.96413,0.14984,0.06997,0.02969,0.02388,4.89541,4.24905,0.24367,0,0.56287,0.51923,8.04475,18.95584,2.75549,0.02946,0.14421,-11.3261,-12.48677
"26","2017_Q1",114.01935483871,"Up",100841000,-3435000,97406000,-83934000,-79091000,-2377000,-2466000,13472000,-114000,-137000,13358000,-69999.9999999998,13288000,-5267000,8021000,-697000,-697000,7324000,7324000,7324000,91131000,91131000,41382000,41382000,8110000,4021000,4089000,140623000,35462000,147342000,71684000,56457000,3781000,810000,182804000,323427000,54996000,5593000,49403000,11711000,11711000,66707000,25285000,25285000,25285000,91992000,1018150000,-64085000,-722630000,231435000,231435000,323427000,8021000,2466000,8722000,6120000,25329000,-21468000,-109600000,-992000,-992000,-992000,-85263000,-2983000,-88246000,-88246000,15938000,0,5857000.00000001,0.96594,0.1336,0.07263,0.03165,0.02264,0.7997,2.10807,0.39749,3.46944695195361e-18,0.62237,0.57457,8.56909,19.66647,0.49771,0.02853,0.02281,-5.71784,-6.76447
"27","2017_Q2",150.508095238095,"Up",132515000,-3591000,128924000,-112733000,-104798000,-3623000,-4312000,16191000,-165000,-165000,16026000,-9307000,6719000,1079000,7798000,-932000,-932000,6866000,6866000,6866000,105442000,105442000,52414000,52414000,8257000,4177000,4080000,166113000,35205000,148893000,68889000,56457000,3781000,865000,184098000,350211000,62571000,4307000,58264000,31654000,31654000,94225000,14564000,14564000,14564000,108789000,1022573000,-64085000,-717066000,241422000,241422000,350211000,7798000,4574000,8160000,-3348000,17184000,-1896000,-1896000,-95000,-95000,-95000,15193000,-891000,14302000,14302000,20765000,0,14442000,0.9729,0.12218,0.05181,0.02844,0.01961,2.10341,1.76294,0.45062,0,0.58054,0.50946,11.20445,20.41278,1.2211,0.02682,0.05642,-5.07787,-6.51238
"28","2017_Q3",215.83380952381,"Up",152773000,-4164000,148609000,-129715000,-121235000,-4064000,-4416000,18894000,-1066000,-1079000,17828000,-9925000,7903000,104000,8007000,-689000,-689000,7318000,7318000,7318000,355636000,355636000,52217000,52217000,8481000,4392000,4089000,416334000,35487000,208234000,85393000,99694000,3781000,849000,243721000,660055000,70845000,1885000,68960000,36841000,36841000,107686000,24344000,24344000,256439000,364125000,1069112000,-64085000,-709748000,295279000,295930000,660055000,8007000,4679000,10335000,8019000,31040000,-1715000,-55130000,1369000,1369000,274707000,250617000,-414000,250203000,250203000,23573000,232095000,29773000,0.97274,0.12367,0.0479,0.02473,0.01109,4.06846,3.86619,1.23044,0.35163,0.61162,0.53793,12.76832,24.67856,2.48834,0.01325,0.0539,-5.24078,-6.53864
"29","2017_Q4",284.018253968254,"Up",171494000,-4388000,167106000,-146878000,-136458000,-4805000,-5615000,20228000,-3032000,-2804000,17196000,-2773000,14423000,-4292000,10131000,-1011000,-1011000,9120000,9120000,9120000,345239000,345239000,64128000,64128000,13777000,9690000,4087000,423144000,35345000,221167000,85265000,113558000,3781000,826000,256512000,679656000,72296000,3552000,68744000,37410000,37410000,109706000,32017000,32017000,267137000,376843000,1076890000,-74086000,-700628000,302176000,302813000,679656000,10131000,6101000,14973000,-14346000,16859000,-2314000,-15296000,-10210000,-209000,-10902000,-9339000,-1060000,-10399000,-10399000,26329000,235120000,13961000,0.97441,0.11795,0.05318,0.03012,0.01342,1.53081,3.85707,1.24447,0.34594,0.76006,0.66212,14.29236,25.18343,1.16351,0.016,0.0245,-4.18242,-5.44389
