"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q2",13.5028571428571,"Down",268505000,206725000,224114000,-17389000,61780000,-2000,1754000,14729000,45299000,-11672000,256833000,-181694000,-181694000,75139000,75139000,72564000,-26561000,46003000,46003000,46003000,46003000,684646000,3560547000,17693346000,-136292000,17829638000,293133000,35197000,798474000,24861458000,19167293000,13145708000,567885000,953159000,241971000,20930308000,3516537000,433417000,-18804000,3931150000,3931150000,24861458000,46003000,14862000,11672000,789819000,-802474000,59882000,-6937000,-543903000,-334977000,7000,-885810000,-35243000,0,-1566000,146619000,-48668000,61142000,-764786000,-764786000,-764786000,90001000,1521044000,-692849000,0.27984,0.17133,0.0117,0.00185,-15.06095,5.32422,0.06118,0.20883,0.20837,1.21889,17.84558,-3.14521,0.15999,0.00327,-0.02787,0.7661,9.29321,11.13134
"12","2017_Q3",13.9904761904762,"Up",284769000,212078000,231139000,-19061000,72691000,35000,3310000,15478000,53868000,-10657000,274112000,-182381000,-182381000,91731000,91731000,88519000,-31707000,56812000,56812000,56812000,56812000,615964000,3451944000,18184275000,-136867000,18321142000,288853000,33508000,895589000,25257784000,19459950000,13347470000,595612000,952989000,290388000,21298939000,3514094000,454802000,-10051000,3958845000,3958845000,25257784000,56812000,14495000,10657000,855656000,-913719000,23901000,-4207000,-115548000,-489090000,236581000,-372264000,-35264000,-7.45058059692383e-09,-3914000,292950000,25909000,279681000,-68681999.9999999,-68681999.9999999,-68681999.9999999,106226000,1548601000,-779993000,0.32212,0.1995,0.01435,0.00225,-13.72937,5.38009,0.06131,0.25787,0.2573,1.29259,17.96951,-3.54045,0.16007,0.00365,-0.03088,0.62071,8.77974,10.16709
"13","2017_Q4",16.0144444444444,"Up",297456000,220464000,240716000,-20252000,76992000,-6000,7969000,15849000,53180000,-11997000,285459000,-181690000,-181690000,103769000,103769000,95515000,-34182000,61333000,61333000,61333000,61333000,845566000,3368754000,18538259000,-139503000,18677762000,276316000,31819000,847298000,25695663000,19851910000,13280439000,588417000,952996000,317080000,21710403000,3516558000,476226000,-7524000,3985260000,3985260000,25695663000,61333000,14271000,11997000,935996000,-860328000,163269000,-2987000,76074000,-362134000,6975000,-282072000,-35241000,0,51000,392242000,-8647000,348405000,229602000,229602000,229602000,118040000,1541413000,-711093000,0.34885,0.20619,0.01539,0.00239,-11.59397,5.44768,0.05999,0.27852,0.27778,1.35076,18.09721,-3.2291,0.16003,0.00376,-0.02767,0.57458,5.89501,6.70573
"14","2018_Q1",17.0675409836066,"Up",308169000,226418000,247932000,-21514000,81751000,0,4979000,15413000,61359000,-12928000,295241000,-193343000,-193343000,101898000,101898000,92445000,-14280000,78165000,78165000,78165000,78165000,634280000,3388691000,18939576000,-140608000,19080184000,269182000,30130000,691929000,25741439000,19948300000,13442672000,571454000,902966000,303933000,21726653000,3517258000,522520000,-24992000,4014786000,4014786000,25741439000,78165000,14340000,12928000,1085724000,-922702000,268455000,9853000,-46392000,-424599000,3861000,-457277000,-39650000,-49998000,-2224000,96651000.0000001,-27243000,-22464000,-211286000,-211286000,-211286000,116238000,1474420000,-782331000,0.33066,0.25364,0.01947,0.00304,-10.00871,5.41166,0.05728,0.35498,0.35374,1.39953,18.23295,-3.55292,0.18007,0.00458,-0.03039,0.50726,7.22776,8.24491
"15","2018_Q2",18.42578125,"Up",303548000,224981000,248947000,-23966000,78567000,6389877.63755397,1230000,14995000,62342000,-13656000,289892000,-186113000,-186113000,103779000,103779000,103779000,-24807000,78972000,78972000,78972000,78972000,504436532.691164,3396251011.89763,19723033567.7015,-143578063.053463,19866611630.755,249320296.834746,26998500.9502071,584305921.866305,26264365460.3005,20545230821.5404,13948688819.0821,584097194.837884,827157165.77813,282889802.074874,22239374984.2313,3515220989.37358,560104541.556078,-50335054.8604797,4024990476.06917,4024990476.06917,26264365460.3005,78972000,13943000,13656000,643798000,-681379000,68990000,-462000,19096000,-254852000,7000,-236211000,-39634000,-11111000,-3581000,158771000,-2315000,102130000,-65091000,-65091000,-65091000,117722000,0,-539312000,0.34189,0.26016,0.0170086548710607,0.00286237380740341,-6.82915,5.5317873847622,0.0537917764118997,0.35855,0.3576,1.37819,18.2791657411371,-2.44862,0.17995,0.00454056074824306,-0.0269944683195377,0.50187,7.53205755913107,8.49534653036905
"16","2019_Q1",14.3426229508197,"Down",304201000,247390000,286768000,-39378000,56811000,410000,2484000,16035000,37882000,-17219000,286982000,-178230000,-178230000,108752000,108752000,108494000,-28183000,80311000,80311000,80311000,80311000,622637000,3356181000,20277795000,-144871000,20422666000,227423000,23964000,644130000,26939781000,21137486000,14470019000,598021000,840512000,307320000,22883339000,3512874000,602482000,-58914000,4056442000,4056442000,26939781000,80311000,12330000,17219000,731561000,-654778000,186643000,-3303000,-70040000,-582353000,3717000.00000001,-651979000,-46252000,0,-69000,244859000,10176000,208714000,-256622000,-256622000,-256622000,121082000,1438533000,-508816000,0.3575,0.26401,0.0198,0.00298,-6.33557,5.64123,0.0534,0.36465,0.3639,1.3812,18.41795,-2.31024,0.21,0.0047,-0.01889,0.57591,6.73838,7.50235
"17","2019_Q2",13.9463492063492,"Down",283425000,237685000,282259000,-44574000,45740000,695000,769000,15278000,28998000,-13684000,269741000,-171592000,-171592000,98149000,98149000,98149000,-24116000,74033000,74033000,74033000,74033000,902808000,3275886000,20261125000,-144872000,20405997000,217595000,22560000,8.88e+08,27355625000,21243894000,14748332000,583065000,1021087000,395253000,23243299000,3511731000,629877000,-29282000,4112326000,4112326000,27355625000,74033000,11554000,13684000,423988000,-576876000,-53617000,-2365000,-91798000,-7404000,155106000,53539000,-46254000,180670000,-1897000,155937000,-8207000,280249000,280171000,280171000,280171000,109703000,1604152000,-445422000,0.3463,0.26121,0.018,0.00271,-6.01653,5.65211,0.05864,0.33595,0.33551,1.28616,18.66135,-2.02128,0.2099,0.0044,-0.01628,0.62478,6.39312,7.14571
"18","2019_Q3",13.7315625,"Down",348985000,227162000,281600000,-54438000,121823000,75421000,3333000,15953000,27116000,-19352000,329633000,-180415000,-180415000,149218000,149218000,149218000,-37408000,111810000,111810000,111810000,111810000,1073421952.5225,3243363371.53825,20835453587.6886,-157842559.477438,20993296147.1661,209296413.457527,21241198.9960697,1055241242.91436,28107391449.3032,21801585151.4453,15002010758.4852,560097161.30313,1219943698.68896,438498929.843121,24020124941.2805,3510378077.05262,548242037.00382,28646393.9662811,4087266508.02272,4087266508.02272,28107391449.3032,111810000,11046000,19352000,536041000,-742400000,-64151000,-3022000,308619000,-552519000,4722000,-242200000,-46297000,-110670000,-61999.9999999995,575255000,19108000,437334000,130983000,130983000,130983000,160264000,2.38418579101562e-07,-547750000,0.42758,0.32039,-0.0450228997690033,-0.00309267149133821,-4.89894,5.98002802052032,0.0633164198116282,0.50738,0.50672,1.58366,18.5409542860392,-2.48564,0.21009,-0.00145251909250419,-0.028989019279004,0.41407,6.08063896171301,6.74552060217719
"19","2019_Q4",14.003125,"Up",317485000,228973000,285187000,-56214000,88512000,257000,1762000,16627000,69866000,-23227000,294258000,-183590000,-183590000,110668000,110668000,110668000,-26166000,84502000,84502000,84502000,84502000,1191444000,3228693000,21364506000,-156288000,21520794000,203391000,19750000,1135420000,28930855000,22434734000,15311554000,564515000,1195227000,446863000,24641339000,3511493000,733059000,44964000,4289516000,4289516000,28930855000,84502000,10526000,23227000,848312000,-926674000,39893000,-2843000,-140083000,-580680000,3400000,-720206000,-46305000,2.85e+08,-5248000,615854000,-11335000,837966000,157653000,157653000,157653000,121194000,1759742000,-782157000,0.34858,0.26616,0.0197,0.00292,-9.25608,5.74455,0.06083,0.38344,0.38298,1.44063,19.46427,-3.54914,0.21012,0.00452,-0.02704,0.54798,4.68916,5.13516
"20","2020_Q1",13.3183870967742,"Down",310563000,226814000,282030000,-55216000,83749000,-81999.9999999925,4603000,30809000,48419000,-16252000,294311000,-183443000,-183443000,110868000,110868000,110868000,-27118000,83749999.9999999,83749999.9999999,83749999.9999999,83749999.9999999,1362756000,3218718000,21038055000,-157629000,21195684000,201460000,18346000,1219823000,28846809000,22481504000,15568129000,586120000,995131000,470139000,24532894000,3.514e+09,770366000,29549000,4313915000,4313915000,28846809000,83749999.9999999,10160000,16252000,869330000,-982096000,-2604000,-4446000,40005000,307113000,16044000,358716000,-46245000,-2e+08,-40000.0000000009,46894000,14591000,-184800000,171312000,171312000,171312000,121028000,1581251000,-838396000,0.35699,0.26967,0.01941,0.0029,-10.0107,5.68692,0.05482,0.3803,0.37952,1.41025,19.5892,-3.8071,0.21,0.00451,-0.02906,0.55218,1.80533,1.97077
"21","2020_Q2",9.7631746031746,"Down",259180000,218535000,268169000,-49634000,40645000,681000,1167000,18890000,19907000,-118085000,141095000,-1962658000,-1962658000,-1821563000,-1821563000,-1821563000,-30384000,-1851947000,-1851947000,-1851947000,-1851947000,1657716000,3297189000,20960058000,-291420000,21251478000,195390000,17099000,1410215000,27540382000,22699375000,15529468000,541766000,1285036000,506594000,25032771000,3507680000,-1168340000,168271000,2507611000,2507611000,27540382000,-1851947000,10273000,118085000,3007413000,-1402891000,-119067000,-3943000,8445000,-87485000,8921000,-74062000,-46248000,2.9e+08,-8573000,217973000,34937000,488089000,294960000,294960000,294960000,-1811290000,1826802000,-3187740000,-7.02818,-7.14541,-0.73853,-0.06724,1.72129,9.98272,0.06633,-8.40968,-8.40968,1.17694,11.38705,-14.47551,0.21001,-0.06557,-0.11575,-0.02497,-0.09335,-0.0928200000000001
"22","2020_Q3",9.71515625,"Down",327983000,212503000,246680000,-34177000,115480000,563000,1074000,14658000,99185000,-87085000,240898000,1603026000,1603026000,1843924000,1843924000,58988000,-6062000,52926000,52926000,52926000,52926000,2264274000,3275664000,22314710000,-356745000,22671455000,192041000,15853000,1579991000,29645248000,24844378000,15672168000,631350000,1184941000,446240000,27106909000,3510145000,-1115414000,143608000,2538339000,2538339000,29645248000,52926000,9742000,87085000,1720664000,-1896244000,-25827000,-5228000,19419000,-1437246000,4474000,-1418581000,-46237000,-99999999.9999999,-38000,2145072000,52169000,2050966000,606558000,606558000,606558000,1853666000,1816291000,-41744000,5.62201,0.161369999999998,0.02085,0.00179,-0.788719999999999,10.67899,0.06127,0.240340000000002,0.240340000000002,1.48937,11.52659,-0.189559999999998,0.20996,0.00334,-0.00141,0.87362,-0.24167,-0.24295
"23","2020_Q4",12.2625,"Up",348498000,216574000,242299000,-25725000,131924000,-112000,1092000,17523000,113421000,338000,348836000,-190207000,-190207000,158629000,158629000,158629000,-33758000,124871000,124871000,124871000,124871000,2219727000,3310677000,22081424000,-345049000,22426473000,185104000,14606000,1623188000,29437441000,24669783000,15194539000,635073000,1084845000,437496000,26827197000,3512153000,-1036931000,135022000,2610244000,2610244000,29437441000,124871000,8479000,-338000,1857649000,-1927435000,63226000,-2355000,-38708000,241793000,-77071000,123659000,-46246000,-1e+08,-17000,-74783000,-10386000,-231432000,-44547000,-44547000,-44547000,167108000,1719918000,-1728924000,0.45518,0.35831,0.0478400000000001,0.00423999999999999,-13.84568,10.27766,0.05843,0.56704,0.56704,1.58253,11.85311,-7.85104,0.21,0.00581,-0.05873,0.37035,-2.99093,-3.1508
"24","2021_Q1",15.3573770491803,"Up",358867000,234907000,255479000,-20572000,123960000,-173000,3374000,17957000,102802000,-29000.0000000075,358838000,-211312000,-211312000,147526000,147526000,147526000,3204000,150730000,150730000,150730000,150730000,2573181000,3342139000,21450966000,-328401000,21779367000,178050000,13360000,1674764000,29235175000,24622201000,14989428000,375384000,1114967000,418046000,26530598000,3514599000,-932767000,122745000,2704577000,2704577000,29235175000,150730000,8980000,29000.0000000075,1656302000,-1640599000,175442000,-460000,-48100000,532668000,-75235000,408873000,-46247000,-2.25e+08,-27000.0000000005,53056999.9999998,-12644000,-230861000,353454000,353454000,353454000,156506000,1490351000,-1487757000,0.411090000000001,0.42002,0.05573,0.00516,-9.87034,9.80952,0.05098,0.68446,0.68446,1.62961,12.28147,-6.7559,0.21001,0.00674,-0.05089,0.30682,-6.91878,-7.33993
"25","2021_Q2",17.0892063492063,"Up",330231000,221431000,237009000,-15578000,108800000,-702000,1373000,17021000,91108000,6542408.6861933,330231000,-187592000,-187592000,142639000,142639000,142639000,-34902000,107737000,107737000,107737000,107737000,3241181000,3576417000,21849577000,-311283000,22160860000,176571000,12230000,1167084000,30036680000,25886833000,15386351000,701982000,369656000,396340000,27354811000,3515248000,-871511000,38132000,2681869000,2681869000,30036680000,107737000,7759000,-6542408.6861933,1809511000,-1532994000,392013000,-4007000,-328147000,-185411000,22452000,-495113000,-46248000,-4.9e+08,-2315000,1264645000,45018000,771100000,6.68e+08,6.68e+08,6.68e+08,150398000,1071638000,-1351701000,0.43194,0.32625,0.04017,0.00359,-12.5463,10.19991,0.03568,0.48923,0.48923,1.49958,12.17836,-6.13807,0.21001,0.00513,-0.045,0.42927,-14.42534,-15.21003
"26","2021_Q3",17.79,"Up",320838000,229763000,240755000,-10992000,91075000,3999.99999999977,5318000,20584000,65169000,22996000,343834000,-189400000,-189400000,154434000,154434000,154434000,-38291000,116143000,116143000,116143000,116143000,3085811000,3883923000,21863852000,-279887000,22143739000,172546000,11100000,1267733000,30284965000,26153553000,15434632000,768025000,199560000,397511000,27518649000,3517641000,-801954000,50629000,2766316000,2766316000,30284965000,116143000,8010000,-22996000,1094700000,-1301473000,-105616000,-4815000,-286795000,112352000,19190000,-160068000,-46331000,-1.7e+08,16000,266729000,59900000,110314000,-155370000,-155370000,-155370000,162444000,967585000,-1105553000,0.48135,0.362,0.04198,0.00384,-9.51889,9.94776,0.03195,0.52842,0.52726,1.45974,12.58612,-5.03002,0.2108,0.00536,-0.03651,0.39891,-13.03973,-13.71606
"27","2021_Q4",18.94078125,"Up",308779000,235074000,243425000,-8351000,73705000,-343000,4208000,20052000,49788000,18919000,327698000,-183753000,-183753000,143945000,143945000,143945000,-35879000,108066000,108066000,108066000,108066000,3744589000,4133187000,21712380000,-257560000,21969940000,172624000,9970000,1110327000,30891479000,26908397000,15787270000,467760000,393973000,398970000,28169100000,3442085000,-739915000,20209000,2722379000,2722379000,30891479000,108066000,7723000,-18919000,1060343000,-902066000,255147000,-4299000,-280692000,170125000,5173000,-109693000,-45664000,-1.05e+08,-78321000,754851000,-12542000,513324000,658778000,658778000,658778000,151668000,861733000,-718818000,0.46617,0.34998,0.0397,0.0035,-6.65166,10.34724,0.0279,0.49168,0.49059,1.40488,12.38622,-3.27046,0.20776,0.00498,-0.02327,0.42256,-19.00767,-20.02748
"28","2022_Q1",19.4216129032258,"Up",316117000,233379000,240854000,-7475000,82738000,-462000,4816000,20543000,57841000,736000,316853000,-184528000,-184528000,132325000,132325000,117142000,-28788000,88354000,88354000,88354000,88354000,222015000,6821744000,22304768000,-248412000,22553180000,171125000,8840000,1112444000,30640936000,26594685000,15570961000,492247000,387451000,417283000,27891666000,3444849000,-697338000,1759000,2749270000,2749270000,30640936000,88354000,8006000,-736000,892354000,-866799000,121179000,-2357000,-182093000,-585821000,870000,-769401000,-45491000,-1.49011611938477e-08,-36000,-313706000,24487000,-334746000,-982968000,-982968000,-982968000,140331000,879698000,-700037000,0.4186,0.2795,0.03214,0.00288,-7.92309,10.14512,0.02871,0.42658,0.42358,1.52623,13.27361,-3.37981,0.21963,0.00437,-0.02285,0.51487,4.68666,4.97021
"29","2022_Q2",16.6277419354839,"Down",308732000,228763000,235940000,-7177000,79969000,-2659000,2337000,20291000,6e+07,-4804000,303928000,-180152000,-180152000,123776000,123776000,121498000,-30341000,91157000,91157000,91157000,91157000,2665436000,4047786000,22727197000,-248564000,22975761000,167369000,7815000,982472000,30637126000,26699587000,15641336000,499539000,399993000,430409000,28029528000,3443266000,-651912000,-183756000,2607598000,2607598000,30637126000,91157000,7613000,4804000,650865000,-479114000,275325000,-3736000,-5858000,-425788000,1243000,-434139000,-45532000,529609906.003485,-4037000,104906000,7292000,62629000,-96185000,-96185000,-96185000,131389000,899532000,-321120000,0.40092,0.29526,0.03496,0.00298,-3.52271,10.74918,0.02936,0.4205,0.41932,1.42416,12.02866,-1.4813,0.21004,0.00446,-0.01048,0.49949,-13.44027,-14.26693
