"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q4",64.4703174603175,"Down",160794000,-91160000,69634000,-46298000,-29147000,-13204000,-3947000,23336000,-2374000,-2396000,66000,-44000,20962000,-2341000,18621000,-3632000,14989000,14989000,14554000,14554000,111814000,111814000,88921000,88921000,98917000,13522000,9527000,313174000,66204000,380058000,150648000,219772000,8059000,1579000,446262000,759436000,99371000,48306000,2400000,48665000,108502000,247293000,43965000,24920000,19045000,291258000,399760000,469796000,-90736000,-19384000,359676000,359676000,759436000,14989000,14989000,9199000,439000,2728000,27355000,-5611000,-7625000,17618000,-30768000,-14986000,4744000,4744000,-191000,4553000,32535000,256424000,33284000,0.43306,0.14513,0.09051,0.04046,0.01916,2.28693,2.88634,1.11144,0.33765,0.41703,0.41015,4.60741,10.3062,0.95372,0.02205,0.05043,4.44475,6.19686
"12","2019_Q1",75.0870491803279,"Up",156178000,-91672000,64506000,-45594000,-28302000,-13280000,-4012000,18912000,-2101000,-2499000,311000,87000,16811000,-3236000,13575000,-1931000,11644000,11644000,11644000,11644000,82043000,82043000,83955000,83955000,104764000,11007000,9155000,281769000,65464000,372343000,142920000,217662000,9492000,2269000,437807000,719576000,99661000,50733000,2633000,46295000,104196000,202843000,44282000,22632000,21650000,247125000,351321000,469874000,-79092000,-22527000,368255000,368255000,719576000,11644000,11644000,9666000,-9000.00000000023,626000.000000001,21927000,-1521000,-3333000,-45169000,-635999.999999993,-47890000,-29296000,-29296000,-475000,-29771000,28578000,207378000,29614000,0.41303,0.12109,0.07456,0.03162,0.01618,2.54328,2.70422,0.95402,0.28819,0.33348,0.32795,4.47284,10.54658,0.84813,0.01878,0.04777,4.38572,6.62727
"13","2019_Q2",85.3488888888889,"Up",157186000,-90897000,66289000,-49842000,-31847000,-13997000,-3998000,16447000,-2071000,-2044000,41000,-68000,14376000,-2054000,12322000,-69000,12253000,12253000,12253000,12253000,74074000,74074000,89437000,89437000,106784000,16265000,11996000,286560000,64754000,401346000,136629000,217625000,9544000,37548000,466100000,752660000,93651000,50554000,1923000,41174000,101089000,198203000,73667000,22534000,51133000,271870000,372959000,466711000,-66839000,-20171000,379701000,379701000,752660000,12253000,12253000,9074000,3223000,-19093000,5457000,-2429000,-2405000,-4740000,-5890000,-10630000,-7578000,-7578000,-391000,-7969000,25521000,200443000,4068000,0.42172,0.10463,0.07795,0.03227,0.01628,0.332,2.83473,0.98224,0.26631,0.35051,0.34541,4.49642,10.86163,0.11637,0.01874,0.00622,4.95157,7.68341
"14","2019_Q3",81.27125,"Down",155145000,-89363000,65782000,-46364000,-29204000,-13388000,-3772000,19418000,-2203000,-2160000,27000,-70000,17215000,-4313000,12902000,-2522000,10380000,10380000,10380000,10380000,66093000,66093000,88831000,88831000,113297000,16690000,11701000,284911000,64630000,433832000,152775000,230371000,9862000,40824000,498462000,783373000,93320000,50015000,2121000,41184000,98545000,214562000,84084000,23429000,60655000,298646000,397191000,464921000,-56459000,-22280000,386182000,386182000,783373000,10380000,10380000,9040000,2740000,-6764000,15396000,-3172000,-32039000,12283000,-1112000,7832000,-8811000,-8811000,830000,-7981000,28458000,214562000,21044000,0.424,0.12516,0.06691,0.02688,0.01325,2.02736,2.89118,1.02851,0.2739,0.29654,0.29233,4.43221,11.03251,0.60119,0.01516,0.03073,5.21713,7.64595
"15","2019_Q4",86.2675,"Up",154066000,-90012000,64054000,-45707000,-27926000,-13811000,-3970000,18347000,-1814000,-2153000,387000,-48000,16533000,-5546000,10987000,-2064000,8923000,8923000,8923000,8923000,61405000,61405000,98666000,98666000,118573000,18216000,11860000,296860000,76122000,484978000,168078000,268741000,9938000,38221000,561100000,857960000,119848000,47009000,1661000,71178000,124913000,227507000,102663000,28980000,73683000,330170000,455083000,475024000,-47536000,-24611000,402877000,402877000,857960000,8923000,8923000,9840000,2257000,-14030000,6990000,-2350000,-26608000,18481000,41000,15177000,-4441000,-4441000,-247000,-4688000,28187000,227507000,13871000,0.41576,0.11909,0.05792,0.02215,0.0104,1.55452,2.37653,1.12958,0.26517,0.2544,0.25074,4.3926,11.48649,0.39548,0.01217,0.01892,5.89286,9.05336
"16","2020_Q1",89.335,"Up",159702000,-93742000,65960000,-48316000,-29430000,-14769000,-4117000,17644000,-3428000,-2136000,-1235000,-57000,14216000,-4661000,9555000,-338000,9217000,9217000,9217000,9217000,78944000,78944000,91078000,91078000,116618000,17872000,11967000,304512000,77556000,487668000,166175000,274710000,8890000,37893000,565224000,869736000,124772000,52585000,1861000,70326000,134846000,215334000,102384000,26676000,75708000,317718000,452564000,473604000,-38319000,-18113000,417172000,417172000,869736000,9217000,9217000,10326000,3416000,12446000,35405000,-2750000,-2792000,-12581000,-417000,-16314000,16299000,16299000,1240000,17539000,27970000,220365000,38004000,0.41302,0.11048,0.05771,0.02209,0.0106,4.12325,2.25822,1.08484,0.25337,0.26271,0.2588,4.55199,11.89066,1.08323,0.01246,0.05136,5.05617,8.01525
"17","2020_Q2",92.9204761904762,"Up",155468000,-91023000,64445000,-49534000,-30755000,-15334000,-3445000,14911000,-1341000,-1678000,254000,83000,13570000,-1661000,11909000,38000,11947000,11947000,11947000,11947000,73701000,73701000,89556000,89556000,112003000,21625000,12910000,296885000,74780000,470303000,155498000,268719000,8649000,37437000,545083000,841968000,125899000,48419000,4490000,72990000,135416000,206752000,86697000,24855000,61842000,293449000,428865000,463657000,-26372000,-24182000,413103000,413103000,841968000,11947000,11947000,9330000,3935000,-7457000,17755000,-2319000,-5101000,-1250000,-9295000,-16045000,-3391000,-3391000,-1852000,-5243000,24241000,211623000,14427000,0.41452,0.09591,0.07685,0.02892,0.01419,1.20758,2.19239,1.03816,0.25134,0.33987,0.33596,4.42274,11.75191,0.41042,0.01679,0.02028,5.68962,9.24968
"18","2020_Q3",105.71546875,"Up",144728000,-86026000,58702000,-42758000,-24908000,-14440000,-3410000,15944000,-2005000,-1701000,-282000,-22000,13939000,-2243000,11696000,-36000,11660000,11660000,11660000,11660000,97494000,97494000,88360000,88360000,107380000,17143000,10423000,310377000,75276000,475374000,152170000,273817000,12092000,37295000,550650000,861027000,119348000,46427000,4790000,68131000,129277000,211946000,87906000,26028000,61878000,299852000,429129000,469194000,-14712000,-22584000,431898000,431898000,861027000,11660000,11660000,9437000,4909000,7811000,33817000,-2321000,-2171000,-8656000,-277000,-8933000,22713000,22713000,1080000,23793000,25381000,2.17e+08,30907000,0.4056,0.11017,0.08056,0.027,0.01354,2.65069,2.40087,0.99359,0.25202,0.33183,0.32772,4.11885,12.29148,0.87959,0.01583,0.04195,4.70848,7.49536
"19","2020_Q4",116.64875,"Up",142929000,-83824000,59105000,-45552000,-26788000,-15231000,-3533000,13553000,-1848000,-1698000,-136000,-14000,11705000,-1687000,10018000,-1760000,8258000,8258000,8258000,8258000,106630000,106630000,82050000,82050000,101737000,12415000,7492000,302832000,76115000,478587000,149613000,279523000,12689000,36762000,554702000,857534000,122736000,40906000,5594000,76236000,133553000,188089000,84643000,27424000,57219000,272732000,406285000,476053000,-6454000,-18350000,451249000,451249000,857534000,8258000,8258000,9596000,7938000,16322000,42114000,-2524000,-2524000,-24111000,-8106000,-32217000,7373000,7373000,1763000,9136000,23149000,193353000,38707000,0.41353,0.09482,0.05778,0.0183,0.00963,4.68721,2.2675,0.90036,0.22548,0.23499,0.2314,4.06718,12.84073,1.10145,0.01132,0.05308,3.7463,6.3988
"20","2021_Q1",131.40262295082,"Up",147498000,-85233000,62265000,-46975000,-27402000,-15991000,-3582000,15290000,-2291000,-1487000,-778000,-26000,12999000,1781000,14780000,-2124000,12656000,12656000,12656000,12656000,125054000,125054000,75054000,75054000,92737000,11328000,8125000,304173000,78676000,482330000,148521000,285980000,10491000,37338000,561006000,865179000,102533000,42966000,5787000,53780000,114229000,194927000,79214000,24134000,55080000,274141000,388370000,482848000,6202000,-12241000,476809000,476809000,865179000,12656000,12656000,9930000,1104000,22863000,46553000,-3360000,-3360000,-34009000,6847000,-27162000,16031000,16031000,2393000,18424000,25220000,200435000,46847000,0.42214,0.10366,0.0858,0.02654,0.01463,3.70156,2.66284,0.81452,0.23167,0.36012,0.35363,4.19696,13.56729,1.333,0.01673,0.06193,2.98894,4.93009
"21","2021_Q2",134.562222222222,"Up",162584000,-93844000,68740000,-53910000,-31653000,-18682000,-3575000,14830000,-1735000,-1408000,-257000,-70000,13095000,-3731000,9364000,1946000,11310000,11310000,11310000,11310000,113562000,113562000,90060000,90060000,89944000,15551000,9274000,309117000,77535000,465602000,139354000,281614000,10179000,34455000,543137000,852254000,106209000,51952000,5596000,48661000,117377000,186145000,72609000,22167000,50442000,258754000,376131000,471220000,17512000,-12609000,476123000,476123000,852254000,11310000,11310000,9849000,7225000,-5116000,23268000,-3268000,-5468000,-1345000,-27590000,-28935000,-11135000,-11135000,-357000,-11492000,24679000,191418000,14349000,0.4228,0.09121,0.06956,0.02375,0.01327,1.2687,2.63354,0.78999,0.2246,0.32059,0.31602,4.60852,13.49593,0.40673,0.01528,0.01939,3.15475,5.2499
"22","2021_Q3",145.4125,"Up",167523000,-95117000,72406000,-51780000,-31240000,-16954000,-3586000,20626000,-1551000,-1378000,-76000,-97000,19075000,-4634000,14441000,-2777000,11664000,11664000,11664000,11664000,133853000,133853000,90078000,90078000,94974000,16842000,11013000,335747000,80164000,462034000,133450000,282659000,9941000,35984000,542198000,877945000,114794000,54053000,4752000,55989000,126554000,186866000,71461000,22350000,49111000,258327000,384881000,476099000,29176000,-12211000,493064000,493064000,877945000,11664000,11664000,9875000,6942000,265000,28746000,-5375000,-5374999.99999999,-1361000.00000001,-1698000,-3059000.00000001,20312000,20312000,-21000,20291000,30501000,192196000,28168000,0.43222,0.12312,0.06963,0.02366,0.01329,2.41495,2.65299,0.78059,0.21892,0.33062,0.32591,4.74852,13.97613,0.79844,0.01541,0.03722,1.91282,2.82861
"23","2021_Q4",167.06859375,"Up",177726000,-101428000,76298000,-52903000,-31296000,-17468000,-4139000,23395000,-1747000,-1710000,34000,-71000,21648000,-8120000,13528000,75000,13603000,13603000,13603000,13603000,102395000,102395000,112080000,112080000,119422000,19415000,12163000,353312000,86279000,770646000,231027000,492940000,411000,46268000,856925000,1210237000,175192000,65012000,5674000,104506000,187974000,441831000,80319000,21936000,58383000,522150000,710124000,472345000,42779000,-15011000,500113000,500113000,1210237000,13603000,14288040.4591204,10889000,7339000,-17933000,13898000,-6116000,-291297000,258670000,-12386000,246284000,-31115000,-31115000,-343000,-31458000,34284000,447038000,10160000,0.4293,0.13164,0.07654,0.0272,0.01124,0.74689,1.87958,1.41993,0.36938,0.38376,0.38035,5.01385,14.10875,0.28663,0.01324,0.00989,10.05259,14.73148
"24","2022_Q1",141.894193548387,"Down",198960000,-116076000,82884000,-59661000,-34966000,-19418000,-5277000,23223000,-2849000,-2891000,172000,-130000,20374000,-1535000,18839000,-5085000,13754000,13754000,13754000,13754000,117393000,117393000,115617000,115617000,125657000,15158000,13161000,373825000,87439000,766619000,220989000,479500000,12206000,53924000,854058000,1227883000,171507000,68514000,4514000,98479000,183938000,429361000,93293000,33738000,59555000,522654000,706592000,477624000,56533000,-12866000,521291000,521291000,1227883000,13754000,17211743.9285311,12781000,6403000,-4225000,28713000,-5017000,-4564000,-9235000.00000003,-301999.999999996,-9537000,14612000,14612000,386000,14998000,36004000,434458000,31847000,0.41659,0.11672,0.06913,0.02638,0.0112,2.31547,2.03234,1.35547,0.35383,0.38802,0.38458,5.61289,14.70621,0.89844,0.01311,0.03036,8.80638,13.65306
"25","2022_Q2",125.762419354839,"Down",204216000,-113940000,90276000,-67623000,-39352000,-20929000,-7342000,22653000,-3585000,-3109000,69000,-545000,19068000,1630000,20698000,-1878000,18820000,18820000,18820000,18820000,98805000,98805000,123759000,123759000,139166000,13649000,12649000,375379000,89652000,741133000,208455000,475795000,4498000,52385000,830785000,1206164000,170532000,72035000,7702000,90795000,182975000,412521000,75975000,19836000,56139000,488496000,671471000,476665000,75353000,-17325000,534693000,534693000,1206164000,18820000,18820000,14044000,620000,-22137000,11347000,-5488000,-6821000,-11640000,-10389000,-22029000,-17503000,-17503000,-1085000,-18588000,36697000,417496000,10950000,0.44206,0.11093,0.09216,0.0352,0.0156,0.58183,2.05153,1.25581,0.34614,0.53036,0.52554,5.755,15.06814,0.30858,0.0183,0.01065,8.68439,14.06838
"26","2022_Q3",136.25359375,"Up",215356000,-120111000,95245000,-69299000,-40538000,-21588000,-7173000,25946000,-2537000,-2757000,152000,68000.0000000001,23409000,-2655000,20754000,-3275000,17479000,17479000,17479000,17479000,100489000,100489000,129808000,129808000,153887000,15183000,14102000,399367000,87924000,718552000,193499000,466411000,7379000,51263000,806476000,1205843000,186161000,77351000,6825000,101985000,198400000,402679000,72595000,17688000,54907000,475274000,673674000,470002000,92832000,-30665000,532169000,532169000,1205843000,17479000,17479000,13811000,3734000,-10143000,24881000,-6615000,-6615000,-1193000,-2251000,-13444000,4822000.00000001,4822000.00000001,-3138000,1684000,39757000,407357000,26274000,0.44227,0.12048,0.08116,0.03284,0.0145,1.50318,2.01294,1.2659,0.33782,0.49257,0.48809,6.06893,14.99701,0.74043,0.01727,0.02596,7.71859,11.82718
