"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",16.213125,"Up",311656000,-145807000,165849000,-128199000,-128199000,37650000,-2475000,97000,-2600000,28000,35175000,35175000,-6214000,28961000,28961000,28961000,28961000,232673000,232673000,177360000,177360000,177814000,58856000,27047000,8320000,17621000,646703000,85746000,144389000,61532000,33722000,49135000,230135000,876838000,182343000,85145000,11535000,85663000,187033000,48879000,48879000,55991000,243024000,312008000,-56837000,362973000,15670000,633814000,633814000,876838000,28961000,10264000,7638000,-81469000,-34606000,-15119000,-1279000,-16398000,2669000,-12058000,-9389000,-60393000,-60393000,-1282000,-61675000,47914000,9362000,-42460000,0.53215,0.12081,0.09293,0.04569,0.03303,-1.46611,3.45769,0.38343,0.01068,0.32661,0.32661,3.51471,7.14785,-0.47884,0.04185,-0.06135,-4.66066,-5.93124
"12","2013_Q3",14.510625,"Down",363827000,-162960000,200867000,-150246000,-150246000,50621000,-758000,251000,-814000,-195000,49863000,49661000,-14305000,35356000,35356000,35356000,35356000,289354000,289354000,162263000,162263000,160763000,66279000,31051000,12307000,17293000,678659000,88770000,151532000,64082000,33283000,54167000,240302000,918961000,192992000,76666000,25363000,90963000,198411000,46042000,46042000,52941000,251352000,316203000,-56343000,398329000,9420000,667609000,667609000,918961000,35356000,10258000,3569000,23164000,72347000,-15845000,-16000,-15861000,569000.000000001,964000.000000002,1277000,57763000,57763000,-1082000,56681000,60879000,9930000,82503000,0.55209,0.13913,0.09718,0.05296,0.03847,2.33349,3.42047,0.3765,0.01081,0.39787,0.39787,4.0942,7.5127,0.92842,0.04886,0.11402,-4.58983,-5.51991999999998
"13","2013_Q4",13.31546875,"Down",288524000,-134943000,153581000,-135674000,-135674000,17907000,-247000,809000,-1043000,-13000,17660000,17660000,-4624000,13036000,13036000,13036000,13036000,332491000,332491000,120079000,120079000,176118000,70383000,30869000,16666000,17201000,699071000,94233000,153282000,69081000,33529000,50672000,247515000,946586000,193343000,66198000,27868000,99277000,199988000,47028000,47028000,56373000,256361000,319608000,-56198000,411365000,15450000,690225000,690225000,946586000,13036000,10645000,2028000,30859000,56568000,-21903000,108000,-21795000,3676000,578000,4254000,39027000,39027000,4110000,43137000,28552000,13607000,42132000,0.5323,0.06206,0.04518,0.01889,0.01377,3.23197,3.49556,0.37142,0.01437,0.14625,0.14625,3.23697,7.74368,0.47268,0.01736,0.05611,-11.16853,-17.80778
"14","2014_Q1",15.3073770491803,"Up",228673000,-125772000,102901000,-135035000,-135035000,-32134000,344000,259000,-221000,306000,-31790000,-42537000,-24396000,-66933000,-66933000,-66933000,-66933000,317144000,317144000,104405000,104405000,162341000,56187000,29175000,10630000,11942000,640077000,86971000,148111000,72314000,19628000,53661000,235082000,875159000,170553000,57450000,15992000,97111000,186928000,51817000,51817000,63487000,250415000,321624000,-55964000,344432000,14652000,624744000,624744000,875159000,-66933000,10339000,33243000,12506000,-10845000,-15711000,7000,-15704000,3300999.99999999,263000,2697000,-23852000,-23852000,8505000,-15347000,-21795000,16846000,-603999.999999993,0.44999,-0.14052,-0.2927,-0.10714,-0.07648,0.00901999999999958,3.42419,0.40083,0.01925,-0.7463,-0.7463,2.54971,6.9659,-0.00673000000000001,-0.09653,-0.000870000000000003,13.7783,9.34518
"15","2014_Q2",14.8963492063492,"Down",312429000,-156202000,156227000,-137155000,-137155000,19072000,-2341000,286000,-2768000,141000,16731000,14481000,-5357000,9124000,9124000,9124000,6373000,411806000,411806000,206213000,206213000,192376000,70109000,34559000,14004000,17025000,880504000,86413000,142033000,81415000,19688000,40930000,228446000,1108950000,225181000,89130000,16924000,119127000,241566000,52442000,52442000,62801000,304367000,325533000,-68265000,350805000,13672000,804583000,804583000,1108950000,9124000,9373000,-270000,-80965000,-62738000,-15336000,-583000,-15919000,180925000,-12513000,167743000,89086000,89086000,5576000,94662000,28445000,15551000,-62499000,0.50004,0.06104,0.0204,0.00792,0.00575,-9.80684,3.64498,0.37829,0.01402,0.07118,0.07118,3.48931,6.94385,-0.69801,0.0073,-0.07163,-13.93057,-20.77679
"16","2014_Q3",14.99515625,"Up",376920000,-172320000,204600000,-153370000,-153370000,51230000,85000.0000000009,275000,-220000,30000,51315000,41996000,-18719000,23277000,23277000,23277000,19523000,408953000,408953000,195902000,195902000,191648000,74231000,37923000,14426000,17295000,870734000,83316000,147823000,85747000,18614000,40983000,231139000,1101873000,234690000,92014000,32576000,110100000,255160000,42489000,42489000,51529000,306689000,341951000,-102270000,370328000,13893000,795184000,795184000,1101873000,23277000,11378000,7567000,3536999.99999999,45759000,-14941000,-205000,-15146000,-1077000,-33283000,-36612000,-5998999.99999999,-5998999.99999999,3146000,-2853000,62608000,14474000,69923000,0.54282,0.13592,0.0518,0.02455,0.01772,3.58157,3.4125,0.38568,0.01314,0.22133,0.22133,4.27313,7.07316,0.79271,0.02541,0.08206,-6.30078,-7.70016
"17","2014_Q4",12.37046875,"Down",302401000,-146801000,155600000,-143719000,-143719000,11881000,-1015000,58000,-1290000,217000,10866000,98000,15669000,15767000,15767000,15767000,12009000,350371000,350371000,158664000,158664000,202819000,77868000,36717000,19677000,17196000,789722000,73575000,143635000,89599000,17581000,34220000,217210000,1006932000,200493000,66133000,29218000,105142000,220316000,30627000,30627000,38341000,258657000,343861000,-144898000,382337000,-4998000,748275000,748275000,1006932000,15767000,10593000,13906000,-28582000,11684000,-12897000,-867000,-13764000,-1500000,-42997000,-47604000,-49684000,-49684000,-8898000,-58582000,22474000,12973000,-34674000,0.51455,0.03929,0.03971,0.01605,0.01193,-2.88733,3.5845,0.34567,0.01288,0.1406,0.1406,3.54054,6.7474,-0.40597,0.01899,-0.04379,-15.01281,-28.39811
"18","2015_Q1",11.2037704918033,"Down",206473000,-128570000,77903000,-131468000,-131468000,-53565000,-552000,239000,-607000,-184000,-54117000,-65124000,12030000,-53094000,-53094000,-53094000,-56867000,267512000,267512000,101217000,101217000,171012000,55667000,30156000,9332000,11989000,595408000,68288000,143235000,97337000,17886000,25968000,211523000,806931000,132217000,42923000,9078000,80216000,153885000,21468000,21468000,27849000,181734000,345824000,-200424000,325470000,-18352000,625197000,625197000,806931000,-53094000,6069000,16380000,24289000,-6356000,-13616000,453000,-13163000,-1305000,-55723000,-60096000,-79615000,-79615000,-3244000,-82859000,-47496000,11669000,-48853000,0.3773,-0.25943,-0.27542,-0.09096,-0.07047,0.859070000000001,3.86918,0.29068,0.01446,-0.73469,-0.73469,2.66751,5.84626,-0.63115,-0.08172,-0.07421,5.38662,4.77631
"19","2015_Q2",14.1393650793651,"Up",262193000,-134823000,127370000,-126069000,-126069000,1301000,232000,69000,494000,-331000,1533000,-2130000,-295000,-2425000,-2425000,-2425000,-5979000,180698000,180698000,174099000,174099000,184720000,54635000,27056000,11833000,11775000,594152000,68277000,132787000,89384000,17536000,23640000,201064000,795216000,171528000,81455000,6186000,83887000,193373000,17829000,17829000,22903000,216276000,348900000,-220635000,319491000,-42216000,578940000,578940000,795216000,-2425000,9719000,2689000,-56695000,-46712000,-6485000,272000,-6213000,-1309000,-19823000,-24460000,-77385000,-77385000,-9429000,-86814000,11020000,10358000,-51865000,0.48579,0.00496,-0.0228,-0.01033,-0.00752,8.67453,3.07257,0.37357,0.01303,-0.07683,-0.07683,3.36901,5.21092,-0.66643,-0.0048,-0.08543,-15.45735,-130.93005
"20","2015_Q3",14.49796875,"Up",345671000,-155801000,189870000,-168636000,-168636000,21234000,-361000,-64000,-217000,-80000,20873000,15988000,-2562000,13426000,13426000,13426000,9690000,197279000,197279000,172762000,172762000,182626000,64771000,33308000,15443000,12069000,617438000,59501000,133509000,90336000,17687000,23259000,193010000,810448000,193105000,84510000,10389000,98206000,213900000,15597000,15597000,19288000,233188000,351187000,-241324000,329180000,-35919000,577260000,577260000,810448000,13426000,9389000,12081000,8764999.99999999,43661000,-3187000,259000,-2928000,-1321000,-21945000,-26156000,14577000,14577000,2004000,16581000,30623000,9041000,38763000,0.54928,0.06143,0.02803,0.01679,0.01196,4.00031,2.88657,0.40396,0.01116,0.12391,0.12391,4.42023,5.15491,0.49568,0.02081,0.0644,-6.14695,-8.86493000000003
"21","2015_Q4",10.76328125,"Down",274088000,-153267000,120821000,-135110000,-135110000,-14289000,-2406000,97000,-2908000,405000,-16695000,-23136000,-888000,-24024000,-24024000,-24024000,-27776000,168466000,168466000,117767000,117767000,190819000,62078000,29782000,16933000,11508000,539130000,50188000,132607000,87420000,19570000,23587000,182795000,721925000,175112000,79160000,10558000,85394000,194590000,17002000,17002000,19352000,213942000,353267000,-273915000,301401000,-47658000,507983000,507983000,721925000,-24024000,8911000,27226000,-2122000,9991000,-2135000,-520000,-2655000,-1327000,-32905000,-37269000,-29933000,-29933000,1120000,-28813000,-5378000,7733000,-8747000,0.44081,-0.05213,-0.10134,-0.05468,-0.03847,0.31491,2.77059,0.42116,0.01071,-0.38087,-0.38087,3.75839,4.56751,-0.11994,-0.04651,-0.01642,29.88713,11.24872
"22","2016_Q1",9.30639344262295,"Down",208678000,-135934000,72744000,-138008000,-138008000,-65264000,115000,-104000,-701000,920000,-65149000,-65466000,-4707000,-70173000,-70173000,-70173000,-73942000,143341000,143341000,83616000,83616000,168192000,50800000,23780000,10233000,16787000,445949000,49490000,112581000,82297000,6608000,21703000,162071000,608020000,162325000,63336000,6416000,92573000,167097000,17667000,17667000,19294000,186391000,353335000,-283913000,227463000,-50913000,421629000,421629000,608020000,-70173000,7974000,17155000,47802000,2757999.99999999,-6681000,1706000,-4975000,-1333000,-11253000,-15231000,-17448000,-17448000,-7677000,-25125000,-57290000,6399000,-11462000,0.34859,-0.31275,-0.35434,-0.17537,-0.12161,0.15501,2.6688,0.44207,0.01052,-1.00653,-1.00653,2.84063,3.34829,-0.15603,-0.15917,-0.02572,2.39033,2.09828
"23","2016_Q2",9.694375,"Up",279140000,-149774000,129366000,-115123000,-115123000,14243000,-1192000,-27000,-1247000,82000,13051000,13051000,-2905000,10146000,10146000,10146000,6361000,89080000,89080000,157159000,157159000,186113000,62403000,35477000,10001000,16925000,494755000,50047000,110684000,79651000,6746000,21676000,160731000,655486000,187278000,83331000,7682000,96265000,199936000,18307000,18307000,19208000,219144000,356365000,-284176000,233824000,-46113000,436342000,436342000,655486000,10146000,8595000,-1979000,-73700000,-56938000,-5930000,-1760000,-7690000,7158000,156895.154374406,4e+06,-60628000,-60628000,6367000,-54261000,22838000,13559000,-53887000,0.46344,0.05102,0.02279,0.01458,0.0097,-8.47147,2.47457,0.50223,0.02069,0.08592,0.08592,3.77048,3.5106,-0.72788,0.01999,-0.11509,-3.30681,-5.30232
"24","2016_Q3",9.5803125,"Down",323828000,-154188000,169640000,-149035000,-149035000,20605000,-1959000,-70000,-1700000,-189000,18646000,18646000,-3109000,15537000,15537000,15537000,11735000,146662000,146662000,134155000,134155000,169853000,62720000,31270000,10184000,21266000,513390000,46409000,106597000,77393000,6612000,20031000,153006000,666396000,187626000,73429000,8793000,105404000,192619000,18416000,18416000,18745000,211364000,359649000,-284176000,246557000,-44242000,455032000,455032000,666396000,15537000,8436000,4678000,48105000,76756000,-4483000,915000,-3568000,-8238000,7.45058059692383e-09,-11443000,61745000,61745000,-4163000,57582000,29041000,5322000,75772000,0.52386,0.0636300000000001,0.03624,0.02579,0.01761,6.45692,2.66531,0.4645,0.00799,0.1599,0.15806,4.41249,3.78514,1.03247,0.03078,0.15826,-4.86691,-6.8595
"25","2016_Q4",7.75666666666667,"Down",245888000,-123454000,122434000,-123649000,-123649000,-1215000,1372000,-6000,1379000,-1000,157000,157000,-1690000,-1533000,-1533000,-1533000,-5352000,150216000,150216000,101651000,101651000,169376000,54697000,29925000,6979000,17793000,475940000,45820000,103413000,75740000,6699000,18388000,149233000,625173000,150248000,50881000,9173000,90194000,153841000,18813000,18813000,18840000,172681000,361782000,-284176000,241205000,-44382000,452492000,452492000,625173000,-1533000,8442000,1113000,1514000,9536000,-5411000,1460000,-3951000,-1716000,0,-4353000,1232000,1232000,2322000,3554000,7227000,3620000,5020000,0.49793,-0.00494,-0.02177,-0.01183,-0.00856,-0.93797,3.09371,0.38162,0.00579,-0.07282,-0.07282,3.34573,3.73408,0.06831,-0.00495,0.01057,-20.28449,120.65514
"26","2017_Q1",6.94306451612903,"Down",187417000,-108693000,78724000,-115367000,-115367000,-36643000,720000,-41000,-886000,1647000,-35923000,-39067000,-1577000,-40644000,-40644000,-40644000,-44482000,147565000,147565000,78297000,78297000,147029000,52584000,32413000,2995000,17176000,425475000,44090000,96825000,72700000,6825000,15820000,140915000,566390000,146802000,61927000,6593000,78282000,149140000,17966000,17966000,17966000,167106000,364491000,-284237000,195725000,-55596000,399284000,399284000,566390000,-40644000,8570000,4386000,38088000,10400000,-3932000,199000,-3733000,-1262000,0,-4362000,2305000.00000002,2305000.00000002,-4956000,-2651000.00000001,-28073000,2338000,7660000.00000001,0.42005,-0.19552,-0.23734,-0.1114,-0.07854,-0.1722,2.85286,0.41851,0.00413,-0.62026,-0.62026,2.61336,3.07304,0.10681,-0.09886,0.01826,5.17319,3.96328999999997
"27","2017_Q2",6.70777777777778,"Down",267907000,-134323000,133584000,-118002000,-118002000,15582000,366000,-34000,276000,124000,15948000,15948000,-4938000,11010000,11010000,11010000,7155000,88884000,88884000,148624000,148624000,178467000,46547000,21955000,5062000,19530000,462522000,43801000,94833000,69671000,6930000,16726000,138634000,601156000,164006000,81387000,9103000,73516000,168465000,18469000,18469000,18512000,186977000,367102000,-284477000,202880000,-51082000,414179000,414179000,601156000,11010000,8446000,2778000,-72124000,-49890000,-5398000,-240000,-5638000,2124000,0,-876000,-56404000,-56404000,-1389000,-57793000,24028000,4502000,-48556000,0.49862,0.05816,0.02671,0.01728,0.0119,-6.7863,2.74551,0.45144,0.00749,0.09596,0.09596,3.59313,3.14404,-0.65123,0.02323,-0.11107,-3.51182,-5.41535
"28","2017_Q3",8.55412698412698,"Up",313221000,-143414000,169807000,-140361000,-140361000,29446000,140000,-31000,162000,9000,29586000,29586000,-7626000,21960000,21960000,21960000,18086000,114875691.402664,114875691.402664,147316447.165448,147316447.165448,172561857.568475,48602660.056555,20802045.6821386,8138567.06563952,19660747.237225,483356656.193143,41762292.7585146,94779949.149062,69844295.1938571,6246119.97232032,17025818.494858,136542241.907577,619898898.10072,164001721.251728,70701394.8054599,15061840.357617,78238486.088651,167487752.991377,18975461.4198951,18975461.4063691,18911560.0150302,186399313.006407,368854899.950702,-293609248.355643,222853979.511455,-45465591.6334602,433499585.094313,433499585.094313,619898898.10072,21960000,8369000,-3449000,62390000,89270000,-5327000,-2.91038304567337e-11,-5327000,-4189000,-1e+07,-17189000,66754000,66754000,672000,67426000,37815000,0,102504000,0.54213,0.09401,0.05774,0.0687863625527181,0.0470377416558542,5.66759,2.89868343113969,0.42921181804099,0.00545894049265537,0.24456,0.24253,4.23541,3.37186058943721,1.38607,0.0712789740318137,-0.0526730360382184,-21.7613821856685,-46.714018998142
"29","2017_Q4",10.7185714285714,"Up",243273000,-119810000,123463000,-120778000,-120778000,2685000,-101000,102000,-257000,54000,2584000,2584000,-955000,1629000,1629000,1629000,-2263000,178189000,178189000,92708000,92708000,140282000,48559000,24416000,7421000,16722000,459738000,38412000,91503000,66505000,7098000,16237000,129915000,589653000,154113000,55181000,14096000,84836000,155183000,18857000,18857000,18892000,174075000,370662000,-311302000,218703000,-44007000,415578000,415578000,589653000,1629000,7886000,7331000,24189000,41035000,-1976000,7000,-1969000,-657000,-15645000,-19302000,19764000,19764000,1216000,20980000,10571000,1105000,33739000,0.50751,0.01104,-0.0093,-0.00545000000000003,-0.00384000000000003,-14.90897,2.96255,0.41887,0.00187,-0.03148,-0.03148,3.38373,3.25553,0.46928,0.00169,0.07746,-16.75187,-65.95307
