"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","deferred_tax_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_investments","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",17.33,"Up",1.507e+09,-6.79e+08,8.28e+08,-4.86e+08,-1.38e+08,-3.48e+08,3.42e+08,-9.8e+07,-9.5e+07,-9.6e+07,1e+06,5e+06,-8e+06,2.44e+08,3e+06,2.47e+08,-9.8e+07,1.49e+08,1.49e+08,1.48e+08,1.48e+08,1.28e+08,1.28e+08,6.95e+08,6.67e+08,9.9e+07,1.438e+09,6.2e+07,1.19e+08,1.257e+09,2.36e+09,1.119e+10,1.6237e+10,-5.047e+09,5.6e+07,5.6e+07,3.002e+09,3.002e+09,1.4248e+10,1.6608e+10,7.03e+08,4.91e+08,2.12e+08,5.1e+08,2.72e+08,1.35e+08,1.37e+08,1.485e+09,6.866e+09,6.711e+09,5.017e+09,1.2e+09,3.817e+09,1.1883e+10,1.3368e+10,4.665e+09,3e+06,4.662e+09,-1.426e+09,-4.3e+07,3.196e+09,4.4e+07,3.24e+09,1.6608e+10,1.49e+08,1.38e+08,1.37e+08,-4.33e+08,-9e+06,-2.86e+08,-4.2e+07,-3.28e+08,-6.3e+07,3.45e+08,4e+06,4e+06,-8e+06,2.78e+08,-5.9e+07,-5.9e+07,-5.9e+07,4.8e+08,7.376e+09,-1.41e+08,0.54944,0.22694,0.09821,0.04568,0.00891,-0.9527,1.58923,4.12593,0.44412,0.55039,0.55039,5.60431,11.88546,-0.52436,0.23429,0.0135,-0.00902,0.42568,15.1,21.19298
"12","2013_Q1",19.0215,"Up",1.67e+09,-8.88e+08,7.82e+08,-5.69e+08,-1.58e+08,-4.11e+08,2.13e+08,-1.05e+08,-9.4e+07,-9.6e+07,2e+06,4e+06,-1.5e+07,1.08e+08,1e+06,1.09e+08,-4.2e+07,6.7e+07,6.7e+07,6.7e+07,6.7e+07,9.3e+07,9.3e+07,8.96e+08,8.55e+08,9.6e+07,1.337e+09,5.3e+07,1.9e+08,1.094e+09,2.422e+09,1.1551e+10,1.6672e+10,-5.121e+09,5.7e+07,5.7e+07,3.101e+09,3.101e+09,1.4709e+10,1.7131e+10,6.47e+08,5.12e+08,1.35e+08,5.41e+08,6.09e+08,3.47e+08,2.62e+08,1.797e+09,6.863e+09,6.71e+09,5.233e+09,1.058e+09,4.175e+09,1.2096e+10,1.3893e+10,4.672e+09,3e+06,4.669e+09,-1.423e+09,-5.5e+07,3.194e+09,4.4e+07,3.238e+09,1.7131e+10,6.7e+07,1.58e+08,8.4e+07,-2e+06,3.07e+08,-3.66e+08,-4.6e+07,-4.12e+08,-6.4e+07,1.39e+08,3e+06,3e+06,-8e+06,7e+07,-3.5e+07,-3.5e+07,-3.5e+07,3.71e+08,7.404e+09,4.5e+07,0.46826,0.12754,0.04012,0.02069,0.00391,0.67164,1.3478,4.29061,0.4322,0.24806,0.24806,6.1829,11.82525,0.1666,0.23695,0.00825,0.00283,0.95522,19.7062,34.32394
"13","2013_Q2",20.68234375,"Up",1.979e+09,-1.117e+09,8.62e+08,-5.33e+08,-1.81e+08,-3.52e+08,3.29e+08,-9.3e+07,-9.8e+07,-9.8e+07,2416444.35904003,5e+06,0,2.36e+08,3e+06,2.39e+08,-9.5e+07,1.44e+08,1.44e+08,1.44e+08,1.44e+08,5.86e+08,5.86e+08,9.87e+08,9.14e+08,9.9e+07,8.56e+08,5.6e+07,1.57e+08,6.43e+08,2.528e+09,1.1667e+10,1.6867e+10,-5.2e+09,6e+07,6e+07,3.014e+09,3.014e+09,1.4741e+10,1.7269e+10,5.19e+08,4.26e+08,9.3e+07,7.32e+08,3.94e+08,2.6e+08,1.34e+08,1.645e+09,6.89e+09,6.741e+09,5.384e+09,1.14e+09,4.244e+09,1.2274e+10,1.3919e+10,4.706e+09,3e+06,4.703e+09,-1.346e+09,-5.4e+07,3.306e+09,4.4e+07,3.35e+09,1.7269e+10,1.44e+08,1.81e+08,1.54e+08,2.46e+08,7.25e+08,-2.74e+08,-1.9e+07,-2.93e+08,-6.7e+07,1.14e+08,2.4e+07,2.4e+07,-1e+07,6.1e+07,4.93e+08,4.93e+08,4.93e+08,5.1e+08,7.622e+09,5.77e+08,0.43557,0.16625,0.07276,0.04299,0.00834,4.00694,1.53678,4.15493,0.44137,0.53156,0.53156,7.30528,12.20377,2.12994,0.24732,0.0129,0.03528,0.46528,13.79608,21.38602
"14","2013_Q3",20.19953125,"Down",1.406e+09,-6.83e+08,7.23e+08,-4.91e+08,-1.37e+08,-3.54e+08,2.32e+08,-9.8e+07,-1e+08,-1.02e+08,2e+06,3e+06,-999999.999999998,1.34e+08,1e+06,1.35e+08,-5.4e+07,8.1e+07,8.1e+07,8e+07,8e+07,5.37e+08,5.37e+08,8.04e+08,7.28e+08,1.03e+08,1.041e+09,7.9e+07,1.4e+08,8.22e+08,2.485e+09,1.1916e+10,1.7194e+10,-5.278e+09,6.3e+07,6.3e+07,2.965e+09,2.965e+09,1.4944e+10,1.7429e+10,6.22e+08,5.12e+08,1.1e+08,7.58e+08,4.22e+08,2.83e+08,1.39e+08,1.802e+09,6.839e+09,6.695e+09,5.428e+09,1.157e+09,4.271e+09,1.2267e+10,1.4069e+10,4.713e+09,3e+06,4.71e+09,-1.334e+09,-5.6e+07,3.323e+09,3.7e+07,3.36e+09,1.7429e+10,8.1e+07,1.37e+08,8.9e+07,6.3e+07,3.7e+08,-3.06e+08,-1.7e+07,-3.23e+08,-6.8e+07,-2.2e+07,4e+06,4e+06,-1e+07,-9.6e+07,-4.9e+07,-4.9e+07,-4.9e+07,3.69e+08,7.597e+09,1.8e+08,0.51422,0.16501,0.0569,0.02381,0.00459,2.25,1.37902,4.1872,0.43588,0.29401,0.29401,5.16722,12.21242,0.66152,0.24991,0.00903,0.01099,0.85,19.13279,30.43103
"15","2013_Q4",20.20515625,"Up",1.445e+09,-6.45e+08,8e+08,-4.83e+08,-1.45e+08,-3.38e+08,3.17e+08,-1e+08,-9.8e+07,-9.9e+07,1e+06,3e+06,-5e+06,2.17e+08,1e+06,2.18e+08,-9.1e+07,1.27e+08,1.27e+08,1.26e+08,1.26e+08,2.6e+08,2.6e+08,7.62e+08,6.78e+08,1.07e+08,1.272e+09,6.8e+07,1.22e+08,1.082e+09,2.401e+09,1.2154e+10,1.7509e+10,-5.355e+09,6.3e+07,6.3e+07,2.368e+09,2.368e+09,1.4585e+10,1.6986e+10,6.42e+08,5.19e+08,1.23e+08,5.32e+08,2.9e+08,1.54e+08,1.36e+08,1.464e+09,7.229e+09,7.089e+09,4.86e+09,1.396e+09,3.464e+09,1.2089e+10,1.3553e+10,4.711e+09,3e+06,4.708e+09,-1.276e+09,-3.9e+07,3.396e+09,3.7e+07,3.433e+09,1.6986e+10,1.27e+08,1.45e+08,1.09e+08,-3.58e+08,2.3e+07,-3.2e+08,-6.8e+07,-3.88e+08,-7e+07,1.66e+08,4e+06,4e+06,-1.2e+07,8.8e+07,-2.77e+08,-2.77e+08,-2.77e+08,4.62e+08,7.761e+09,-1.25e+08,0.55363,0.21938,0.0872,0.0367,0.00742,-0.99206,1.64003,3.94786,0.45691,0.46358,0.46358,5.31641,12.49448,-0.4599,0.25754,0.01221,-0.00779,0.55556,16.23593,23.66246
"16","2014_Q1",20.9932786885246,"Up",1.736e+09,-8.81e+08,8.55e+08,-5.91e+08,-1.65e+08,-4.26e+08,2.64e+08,-1.01e+08,-9.9e+07,-9.9e+07,0,2e+06,-4e+06,1.63e+08,1e+06,1.64e+08,-6.2e+07,1.02e+08,1.02e+08,1.02e+08,1.02e+08,1.72e+08,1.72e+08,9.77e+08,9.14e+08,1.07e+08,1.27e+09,8.6e+07,2.02e+08,8.56e+08,2.526e+09,1.2246e+10,1.7333e+10,-5.087e+09,5.9e+07,5.9e+07,2.585e+09,2.585e+09,1.489e+10,1.7416e+10,7.7e+08,5.85e+08,1.85e+08,5.62e+08,6.13e+08,2.97e+08,3.16e+08,1.945e+09,7.239e+09,7.101e+09,4.741e+09,1.656e+09,3.085e+09,1.198e+10,1.3925e+10,4.718e+09,3e+06,4.715e+09,-1.242e+09,-2.2e+07,3.454e+09,3.7e+07,3.491e+09,1.7416e+10,1.02e+08,1.65e+08,-1.1e+07,46999999.9999999,3.03e+08,-4.25e+08,-1.03e+08,-5.28e+08,-6.8e+07,2.11e+08,4e+06,4e+06,-1e+07,1.37e+08,-8.8e+07,-8.8e+07,-8.8e+07,4.29e+08,7.801e+09,1.13e+08,0.49251,0.15207,0.05876,0.02922,0.00586,1.10784,1.29871,3.98883,0.44792,0.3739,0.3739,6.36364,12.66129,0.41422,0.24927,0.0106,0.00705,0.66667,17.78322,28.89773
"17","2014_Q2",22.7660317460317,"Up",2.523e+09,-1.575e+09,9.48e+08,-5.4e+08,-1.99e+08,-3.41e+08,4.08e+08,-1.01e+08,-1.01e+08,-1.01e+08,482468.696101238,4e+06,-4e+06,3.07e+08,2e+06,3.09e+08,-1.05e+08,2.04e+08,2.04e+08,2.04e+08,2.04e+08,7.58e+08,7.58e+08,1.101e+09,1.032e+09,1.12e+08,9.98e+08,1.19e+08,1.67e+08,6.7e+08,2.969e+09,1.236e+10,1.7528e+10,-5.168e+09,6.1e+07,6.1e+07,2.534e+09,2.534e+09,1.4955e+10,1.7924e+10,7.79e+08,6.32e+08,1.47e+08,6.66e+08,3.56e+08,2.25e+08,1.31e+08,1.801e+09,7.671e+09,7.536e+09,4.797e+09,1.686e+09,3.111e+09,1.2468e+10,1.4269e+10,4.749e+09,3e+06,4.746e+09,-1.11e+09,-2.1e+07,3.618e+09,3.7e+07,3.655e+09,1.7924e+10,2.04e+08,1.99e+08,1.25e+08,8.3e+07,6.11e+08,-3.04e+08,-4.2e+07,-3.46e+08,-7.2e+07,3.7e+08,3.3e+07,3.3e+07,-1e+07,3.21e+08,5.86e+08,5.86e+08,5.86e+08,6.07e+08,8.337e+09,4.91e+08,0.37574,0.16171,0.08086,0.05581,0.01138,2.40686,1.64853,3.90397,0.46513,0.74725,0.74725,9.24176,13.25275,1.79853,0.26374,0.01644,0.02925,0.35294,12.486,18.57598
"18","2014_Q3",23.0434375,"Up",1.468e+09,-7.22e+08,7.46e+08,-5.11e+08,-1.51e+08,-3.6e+08,2.35e+08,-1.1e+08,-1e+08,-1.01e+08,1e+06,3e+06,-1.3e+07,1.25e+08,2e+06,1.27e+08,-4.3e+07,8.4e+07,8.4e+07,8.3e+07,8.3e+07,3.58e+08,3.58e+08,8.42e+08,7.54e+08,1.09e+08,1.156e+09,1.08e+08,1.48e+08,8.71e+08,2.465e+09,1.268e+10,1.7922e+10,-5.242e+09,6.2e+07,6.2e+07,2.512e+09,2.512e+09,1.5254e+10,1.7719e+10,7.7e+08,5.87e+08,1.83e+08,4.39e+08,3.54e+08,2.25e+08,1.29e+08,1.563e+09,7.666e+09,7.535e+09,4.808e+09,1.715e+09,3.093e+09,1.2474e+10,1.4037e+10,4.764e+09,3e+06,4.761e+09,-1.099e+09,-2e+07,3.645e+09,3.7e+07,3.682e+09,1.7719e+10,8.4e+07,1.51e+08,5.7e+07,3.4e+07,3.26e+08,-3.59e+08,-7.8e+07,-4.37e+08,-7.4e+07,-2.13e+08,4e+06,4e+06,-6e+06,-2.89e+08,-4e+08,-4e+08,-4e+08,3.86e+08,8.105e+09,1.04e+08,0.50817,0.16008,0.05654,0.02254,0.00468,1.25301,1.5771,3.81233,0.45742,0.30204,0.30204,5.34207,13.26419,0.37846,0.26929,0.00946,0.00627,0.89157,20.06995,32.96596
"19","2014_Q4",25.420625,"Up",1.43e+09,-6.55e+08,7.75e+08,-5.39e+08,-1.53e+08,-3.86e+08,2.36e+08,-9.7e+07,-1e+08,-1.01e+08,1e+06,4e+06,-1e+06,1.39e+08,2e+06,1.41e+08,-4.7e+07,9.4e+07,9.4e+07,9.4e+07,9.4e+07,4.93e+08,4.93e+08,7.79e+08,6.83e+08,1.14e+08,1.348e+09,7.9e+07,1.28e+08,1.093e+09,2.734e+09,1.3045e+10,1.8366e+10,-5.321e+09,6.1e+07,6.1e+07,2.541e+09,2.541e+09,1.5647e+10,1.8381e+10,7.45e+08,6.04e+08,1.41e+08,6.9e+08,2.13e+08,8.9e+07,1.24e+08,1.648e+09,8.171e+09,8.042e+09,4.855e+09,1.787e+09,3.068e+09,1.3026e+10,1.4674e+10,4.77e+09,3e+06,4.767e+09,-1.08e+09,-2e+07,3.67e+09,3.7e+07,3.707e+09,1.8381e+10,9.4e+07,1.53e+08,7.2e+07,-2.94e+08,2.5e+07,-4.62e+08,-1.02e+08,-5.64e+08,-7.4e+07,7.6e+08,3e+06,3e+06,-1.5e+07,6.74e+08,1.35e+08,1.35e+08,1.35e+08,3.89e+08,8.861e+09,-3.2e+08,0.54196,0.16503,0.06573,0.02536,0.00511,-3.40426,1.65898,3.95846,0.48207,0.34207,0.34207,5.20378,13.35517,-1.16448,0.26929,0.00964,-0.01837,0.78723,21.51157,35.45763
"20","2015_Q1",27.8462295081967,"Up",1.758e+09,-9.06e+08,8.52e+08,-5.79e+08,-1.82e+08,-3.97e+08,2.73e+08,-1.23e+08,-1.01e+08,-1.04e+08,3e+06,4e+06,-2.6e+07,1.5e+08,2e+06,1.52e+08,-5.5e+07,9.7e+07,9.7e+07,9.6e+07,9.6e+07,2.07e+08,2.07e+08,9.79e+08,8.81e+08,1.17e+08,1.294e+09,7.2e+07,2.16e+08,9.65e+08,2.597e+09,1.3412e+10,1.8827e+10,-5.415e+09,6.1e+07,6.1e+07,3.115e+09,3.115e+09,1.6588e+10,1.9185e+10,8.69e+08,6.78e+08,1.91e+08,5.4e+08,5.39e+08,3.16e+08,2.23e+08,1.948e+09,8.139e+09,8.016e+09,5.391e+09,1.785e+09,3.606e+09,1.353e+10,1.5478e+10,4.777e+09,3e+06,4.774e+09,-1.058e+09,-4.9e+07,3.67e+09,3.7e+07,3.707e+09,1.9185e+10,9.7e+07,1.82e+08,7.9e+07,1.61e+08,5.19e+08,-4.52e+08,-9.9e+07,-5.51e+08,-7.5e+07,-1.16e+08,3e+06,3e+06,-5.6e+07,-2.44e+08,-2.76e+08,-2.76e+08,-2.76e+08,4.55e+08,8.679e+09,2.19e+08,0.48464,0.15529,0.05461,0.0259,0.005,2.28125,1.33316,4.17534,0.45238,0.34808,0.34808,6.37418,13.30674,0.79405,0.27194,0.00962,0.01232,0.78125,18.61978,31.03297
"21","2015_Q2",26.5714285714286,"Down",2.111e+09,-1.128e+09,9.83e+08,-5.86e+08,-2.22e+08,-3.64e+08,3.97e+08,-9.7e+07,-1e+08,-1.01e+08,1e+06,4e+06,-1e+06,3e+08,2e+06,3.02e+08,-1e+08,2.02e+08,2.02e+08,2.02e+08,2.02e+08,5.22e+08,5.22e+08,1.011e+09,9.08e+08,1.15e+08,8.53e+08,8.4e+07,1.78e+08,5.42e+08,2.501e+09,1.3526e+10,1.9071e+10,-5.545e+09,6.2e+07,6.2e+07,3.109e+09,3.109e+09,1.6697e+10,1.9198e+10,6.79e+08,5.12e+08,1.67e+08,5.43e+08,3.77e+08,2.6e+08,1.17e+08,1.599e+09,8.26e+09,8.143e+09,5.5e+09,1.869e+09,3.631e+09,1.376e+10,1.5359e+10,4.786e+09,3e+06,4.783e+09,-9.36e+08,-4.8e+07,3.802e+09,3.7e+07,3.839e+09,1.9198e+10,2.02e+08,2.22e+08,1.41e+08,1.95e+08,7.6e+08,-3.48e+08,-7.4e+07,-4.22e+08,-8e+07,6.9e+07,4e+06,4e+06,-1.6e+07,-2.3e+07,3.15e+08,3.15e+08,3.15e+08,6.19e+08,8.803e+09,5.66e+08,0.46566,0.18806,0.09569,0.05262,0.01052,2.80198,1.5641,4.00078,0.45854,0.73268,0.73268,7.65687,13.79035,2.05296,0.29017,0.01554,0.0312,0.39604,13.37803,20.85894
"22","2015_Q3",26.91015625,"Up",1.35e+09,-6.05e+08,7.45e+08,-5.41e+08,-1.69e+08,-3.72e+08,2.04e+08,-1.02e+08,-1.02e+08,-1.03e+08,1e+06,1e+06,-1e+06,1.02e+08,2e+06,1.04e+08,-3.6e+07,6.8e+07,6.8e+07,6.7e+07,6.7e+07,4.77e+08,4.77e+08,7.83e+08,6.69e+08,1.18e+08,9.13e+08,8.9e+07,1.59e+08,6.48e+08,2.291e+09,1.3775e+10,1.9408e+10,-5.633e+09,6.1e+07,6.1e+07,3.111e+09,3.111e+09,1.6947e+10,1.9238e+10,7.63e+08,5.58e+08,2.05e+08,5.19e+08,3.58e+08,2.35e+08,1.23e+08,1.64e+09,8.153e+09,8.04e+09,5.59e+09,1.956e+09,3.634e+09,1.3743e+10,1.5383e+10,4.815e+09,3e+06,4.812e+09,-9.49e+08,-4.8e+07,3.818e+09,3.7e+07,3.855e+09,1.9238e+10,6.8e+07,1.69e+08,7.8e+07,1.87e+08,5.02e+08,-3.27e+08,-3.3e+07,-3.6e+08,-8.1e+07,-1.27e+08,2.3e+07,2.3e+07,-2e+06,-1.87e+08,-4.5e+07,-44999999.9999999,-44999999.9999999,3.73e+08,8.672e+09,2.69e+08,0.55185,0.15111,0.04963,0.01738,0.00348,4.01493,1.39695,3.9904,0.45077,0.24267,0.24267,4.88953,13.82832,0.97428,0.29337,0.00817,0.01485,1.20896,21.97051,40.17157
"23","2015_Q4",28.6721875,"Up",1.486e+09,-6.26e+08,8.6e+08,-5.43e+08,-1.73e+08,-3.7e+08,3.17e+08,-9.7e+07,-1e+08,-1.01e+08,1e+06,4e+06,-1e+06,2.2e+08,3e+06,2.23e+08,-7.5e+07,1.48e+08,1.48e+08,1.48e+08,1.48e+08,1.5e+08,1.5e+08,7.59e+08,6.4e+08,1.19e+08,1.095e+09,8.7e+07,1.41e+08,8.38e+08,2.123e+09,1.416e+10,1.9857e+10,-5.697e+09,6.1e+07,6.1e+07,3.108e+09,3.108e+09,1.7329e+10,1.9452e+10,7.59e+08,5.86e+08,1.73e+08,7.41e+08,2.88e+08,9e+07,1.98e+08,1.788e+09,8.014e+09,7.903e+09,5.711e+09,2.036e+09,3.675e+09,1.3725e+10,1.5513e+10,4.832e+09,3e+06,4.829e+09,-8.81e+08,-4.9e+07,3.902e+09,3.7e+07,3.939e+09,1.9452e+10,1.48e+08,1.73e+08,1.15e+08,-2.78e+08,1.58e+08,-4.27e+08,-1.31e+08,-5.58e+08,-8e+07,1.53e+08,1.3e+07,1.3e+07,-1.3e+07,7.3e+07,-3.27e+08,-3.27e+08,-3.27e+08,4.9e+08,8.755e+09,-1.4e+08,0.57873,0.21332,0.0996,0.03757,0.00761,-0.94595,1.18736,3.93831,0.45008,0.5341,0.5341,5.36268,14.08156,-0.50523,0.2887,0.01239,-0.00761,0.54054,17.56122,27.14511
"24","2016_Q1",31.767868852459,"Up",1.509e+09,-6.84e+08,8.25e+08,-5.65e+08,-1.86e+08,-3.79e+08,2.6e+08,-9.6e+07,-8.2e+07,-9.1e+07,9e+06,5e+06,-1.9e+07,1.64e+08,3e+06,1.67e+08,-6e+07,1.07e+08,1.07e+08,1.06e+08,1.06e+08,2.66e+08,2.66e+08,9.02e+08,7.74e+08,1.26e+08,1.026e+09,7.7e+07,2.35e+08,6.98e+08,2.32e+09,1.4705e+10,2.0452e+10,-5.747e+09,6.4e+07,6.4e+07,3.21e+09,3.21e+09,1.7979e+10,2.0299e+10,8.56e+08,6.33e+08,2.23e+08,7.06e+08,7.4e+08,3.49e+08,3.91e+08,2.302e+09,8.518e+09,8.4e+09,5.504e+09,2.073e+09,3.431e+09,1.4022e+10,1.6324e+10,4.84e+09,3e+06,4.837e+09,-8.55e+08,-4.7e+07,3.938e+09,3.7e+07,3.975e+09,2.0299e+10,1.07e+08,1.86e+08,-1.91e+08,1.18e+08,2.2e+08,-4.62e+08,-1.08e+08,-7.24e+08,-8.1e+07,6.83e+08,3e+06,3e+06,-5e+06,6e+08,9.6e+07,9.6e+07,9.6e+07,4.46e+08,9.224e+09,1.62e+08,0.54672,0.1723,0.07025,0.02667,0.00522,1.5283,1.00782,4.10667,0.45441,0.38253,0.38253,5.44569,14.21148,0.58463,0.29231,0.01,0.00866,0.76415,20.0852,34.45385
"25","2016_Q2",34.32828125,"Up",1.801e+09,-8.47e+08,9.54e+08,-6.28e+08,-2.38e+08,-3.9e+08,3.26e+08,-9.1e+07,-1.05e+08,-1.06e+08,1e+06,4e+06,1e+07,2.35e+08,3e+06,2.38e+08,-7.4e+07,1.64e+08,1.64e+08,1.64e+08,1.64e+08,1.77e+08,1.77e+08,8.65e+08,7.3e+08,1.2e+08,7.28e+08,9.1e+07,1.93e+08,4.28e+08,1.89e+09,1.4907e+10,2.0785e+10,-5.878e+09,6.4e+07,6.4e+07,3.176e+09,3.176e+09,1.8147e+10,2.0037e+10,7.25e+08,5.34e+08,1.91e+08,9.5e+08,3.72e+08,2.54e+08,1.18e+08,2.047e+09,8.284e+09,8.17e+09,5.56e+09,2.133e+09,3.427e+09,1.3844e+10,1.5891e+10,4.9e+09,3e+06,4.897e+09,-7.44e+08,-4.7e+07,4.109e+09,3.7e+07,4.146e+09,2.0037e+10,1.64e+08,2.38e+08,8.9e+07,1.41e+08,6.32e+08,-4.07e+08,-3.7e+07,-4.44e+08,-8.6e+07,-2.35e+08,6.3e+07,6.3e+07,-1.2e+07,-2.7e+08,-8.2e+07,-8.2e+07,-8.2e+07,5.64e+08,9.234e+09,3.72e+08,0.52971,0.18101,0.09106,0.03956,0.00818,2.26829,0.9233,3.83285,0.46085,0.59014,0.59014,6.48075,14.78589,1.33861,0.30946,0.0132,0.01964,0.52439,16.05851,27.78221
"26","2016_Q3",35.93203125,"Up",1.371e+09,-5.74e+08,7.97e+08,-5.22e+08,-1.76e+08,-3.46e+08,2.75e+08,-9.5e+07,-1.06e+08,-1.08e+08,2e+06,3e+06,8e+06,1.8e+08,3e+06,1.83e+08,-5.8e+07,1.25e+08,1.25e+08,1.24e+08,1.24e+08,3.85e+08,3.85e+08,7.45e+08,6.03e+08,1.19e+08,7.82e+08,1.02e+08,1.74e+08,4.91e+08,2.031e+09,1.5187e+10,2.1109e+10,-5.922e+09,6.6e+07,6.6e+07,3.179e+09,3.179e+09,1.8432e+10,2.0463e+10,7.94e+08,5.59e+08,2.35e+08,9.18e+08,3.79e+08,2.52e+08,1.27e+08,2.091e+09,8.596e+09,8.486e+09,5.583e+09,2.2e+09,3.383e+09,1.4179e+10,1.627e+10,4.909e+09,3e+06,4.906e+09,-7.06e+08,-4.7e+07,4.156e+09,3.7e+07,4.193e+09,2.0463e+10,1.25e+08,1.76e+08,7.1e+07,9.7e+07,4.69e+08,-4.1e+08,-5.7e+07,-4.67e+08,-8.7e+07,2.85e+08,3000000.00000001,3000000.00000001,-3e+06,1.98e+08,2e+08,2e+08,2e+08,4.51e+08,9.514e+09,1.96e+08,0.58133,0.20058,0.09044,0.02957,0.00606,1.58065,0.97131,3.88028,0.46494,0.44397,0.44397,4.9087,14.88006,0.70175,0.31149,0.01094,0.01016,0.70161,20.24169,33.19636
"27","2016_Q4",33.8939682539683,"Down",1.587e+09,-6.66e+08,9.21e+08,-5.46e+08,-1.83e+08,-3.63e+08,3.75e+08,-9.7e+07,-1.09e+08,-1.1e+08,1e+06,5e+06,7e+06,2.78e+08,3e+06,2.81e+08,-9.5e+07,1.86e+08,1.86e+08,1.86e+08,1.86e+08,3.39e+08,3.39e+08,7.8e+08,6.34e+08,1.19e+08,9.6e+08,9.4e+07,1.52e+08,6.73e+08,2.198e+09,1.5443e+10,2.1396e+10,-5.953e+09,6.8e+07,6.8e+07,3.133e+09,3.133e+09,1.8644e+10,2.0842e+10,7.37e+08,5.39e+08,1.98e+08,1.005e+09,3.27e+08,9.3e+07,2.34e+08,2.069e+09,8.832e+09,8.722e+09,5.645e+09,2.304e+09,3.341e+09,1.4477e+10,1.6546e+10,4.911e+09,3e+06,4.908e+09,-6.07e+08,-4.5e+07,4.259e+09,3.7e+07,4.296e+09,2.0842e+10,1.86e+08,1.83e+08,1.13e+08,-3.42e+08,1.4e+08,-4.07e+08,-8e+07,-4.87e+08,-8.7e+07,4e+08,3e+06,3e+06,-7e+06,3.09e+08,-3.8e+07,-3.8e+07,-3.8e+07,5.58e+08,9.837e+09,-9.6e+07,0.58034,0.23629,0.1172,0.0433,0.00892,-0.51613,1.06235,3.85149,0.47198,0.66619,0.66619,5.6841,15.2543,-0.34384,0.3116,0.0138,-0.00485,0.46774,17.02151,25.328
"28","2017_Q1",36.2043548387097,"Up",1.64e+09,-7.16e+08,9.24e+08,-6.44e+08,-2.14e+08,-4.3e+08,2.8e+08,-1.59e+08,-1.09e+08,-1.11e+08,2e+06,1e+06,-5.1e+07,1.21e+08,3e+06,1.24e+08,-4.6e+07,7.8e+07,7.8e+07,7.7e+07,7.7e+07,2.35e+08,2.35e+08,1.001e+09,8.21e+08,1.19e+08,9.25e+08,8.1e+07,2.5e+08,5.55e+08,2.28e+09,1.5715e+10,2.1771e+10,-6.056e+09,6.5e+07,6.5e+07,3.562e+09,3.562e+09,1.9342e+10,2.1622e+10,8.24e+08,5.98e+08,2.26e+08,8.86e+08,9.45e+08,3.48e+08,5.97e+08,2.655e+09,8.75e+09,8.64e+09,5.927e+09,2.36e+09,3.567e+09,1.4677e+10,1.7332e+10,4.919e+09,3e+06,4.916e+09,-6.16e+08,-5e+07,4.253e+09,3.7e+07,4.29e+09,2.1622e+10,7.8e+07,2.14e+08,-1.5e+07,1.11e+08,3.88e+08,-4.48e+08,-6.9e+07,-5.17e+08,-8.7e+07,1.2e+08,3e+06,3e+06,-1.8e+07,1.8e+07,-1.11e+08,-1.11e+08,-1.11e+08,4.94e+08,9.636e+09,2.03e+08,0.56341,0.17073,0.04695,0.01795,0.00356,2.63636,0.85876,4.04009,0.44566,0.27579,0.27579,5.87393,15.23281,0.72708,0.3116,0.00826,0.01023,1.12987,19.03036,33.575
