"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",150.988870967742,"Up",480823000,-252901000,227922000,-136030000,-136030000,91892000,-48646000,-49153000,507000,43246000,-9746000,33500000,-10097000,23403000,24082000,23720000,23720000,404474000,239687000,181973000,181973000,138739000,69748000,725186000,3791063000,1359359000,200648000,1043284000,115427000,5265784000,5990970000,385737000,244712000,141025000,64185000,162537000,92233000,612459000,2892344000,174327000,174327000,3066671000,3679130000,2539284000,-155287000,-113642000,2233649000,2311840000,5990970000,24082000,106732000,-16928000,-31394000,14466000,-6327000,-12359000,17222000,-11190000,107559000,-212118000,-200116000,-602266000,8104000,13666000,51927000,73697000,-421010000,-421010000,6601000,-414409000,198624000,2956529000,-9724000,0.47402,0.19111,0.04933,0.01026,0.00396,-0.40995,1.18406,1.59143,0.4935,0.49042,0.45698,9.94114,46.18126,-0.20105,0.00436,-0.00179,12.84867,27.77233
"12","2013_Q1",171.727166666667,"Up",506059000,-249329000,256730000,-142226000,-142226000,114504000,-50475000,-49758000,-717000,64029000,-11800000,52229000,-17476000,34753000,46611000,45338000,45338000,418705000,252213000,163840000,163840000,57547000,57547000,640092000,3915738000,1452148000,201562000,1042564000,208022000,5495705000,6135797000,332362000,268853000,63509000,67366000,149344000,149344000,549072000,2943381000,245725000,245725000,3189106000,3738178000,2582287000,-131128000,-101042000,2313441000,2397619000,6135797000,46611000,103481000,6085000,2136000.00000001,3949000,47515000,20299000,26203000,1013000,203692000,-133950000,-76936000,-203920000,-12754000,5998000,19004000,12248000,12020000,12020000.0000001,505999.999999998,12526000,217985000,3010747000,149026000,0.50731,0.22627,0.08959,0.01891,0.00739,3.287,1.16577,1.55912,0.49069,0.93137,0.87034,10.39584,47.52442,3.0614,0.00802,0.02636,11.89092,22.63713
"13","2013_Q2",165.3203125,"Down",516134000,-258591000,257543000,-149094000,-149094000,108449000,-60043000,-59584000,-459000,48406000,-3662000,44744000,-11460000,33284000,33284000,32843000,32843000,918308000,685019000,185163000,185163000,902386000,902386000,2005857000,3890190000,1423135000,191935000,1018777000,212423000,5607076000,7612933000,313038000,248395000,64643000,813654000,139018000,139018000,1265710000,3710105000,197966000,197966000,3908071000,5173781000,2627384000,-74547000,-174267000,2342261000,2439152000,7612933000,33284000,107140000,15147000,4846000,10301000,-71390000,-24663000,-27996000,-18731000,84181000,-75667000,-296513000,-1142540000,1482432000,14368000,-40000,1496760000,438401000,438401000,-5595000,432806000,215589000,4523759000,79992000,0.49898,0.21012,0.06363,0.01346,0.00431,2.43559,1.58477,2.12114,0.59422,0.66987,0.61412,10.52712,47.77297,1.63152,0.00459,0.01117,16.72372,33.24559
"14","2013_Q3",144.07609375,"Down",528871000,-267109000,261762000,-148110000,-148110000,113652000,-57316000,-60084000,2768000,56336000,-91291000,-34955000,9668000,-25287000,-25287000,-25816000,-25816000,840956000,517496000,201336000,201336000,55317000,55317000,1097609000,4103344000,1500925000,184740000,1012102000,304083000,5980240000,7077849000,359042000,258027000,101015000,125622000,122871000,122871000,607535000,3816057000,245768000,245768000,4061825000,4669360000,2651446000,-103205000,-200082000,2311875000,2408489000,7077849000,-25287000,109120000,120430000,20763000,99667000,-57104000,-19098000,28392000,-66398000,147159000,-122863000,-327291000,537547000,-772296000,1512000,-79250000,-850034000,-165328000,-165328000,-2195000,-167523000,222772000,3941679000,33137000,0.49494,0.2149,-0.04881,-0.01072,-0.00365,-1.28358,1.80666,1.93871,0.5569,-0.52279,-0.55552,10.71001,46.8171,0.67105,-0.00391,0.00502,13.91882,27.28261
"15","2013_Q4",132.2115625,"Down",543084000,-268960000,274124000,-158493000,-158493000,115631000,-60043000,-61028000,985000,55588000,-438000,55150000,-12397000,42753000,42753000,42471000,42471000,745780000,399742000,199644000,199644000,59350000,59350000,1004774000,4381020000,1561055000,182345000,1036179000,342531000,6384270000,7389044000,390603000,299135000,91468000,57164000,134458000,134458000,582225000,3989412000,263352000,263352000,4252764000,4834989000,2692260000,-81630000,-121731000,2452996000,2554055000,7389044000,42753000,109836000,28587000,22329000,6258000,25386000,3469000,17003000,4914000,206562000,-171035000,-190618000,-330958000,-12932000,12202000,-448000,-1178000,-125574000,-125574000,7820000,-117754000,225467000,4046576000,92215000,0.50475,0.21292,0.0782,0.01663,0.00575,2.17125,1.72575,1.89306,0.54765,0.85687,0.84607,10.95701,49.49049,1.86049,0.00619,0.01343,14.63982,28.54594
"16","2014_Q1",146.71606557377,"Up",564677000,-269743000,294934000,-165716000,-165716000,129218000,-62750000,-64709000,1959000,66468000,-19128000,47340000,-1967000,45373000,45373000,45187000,45187000,631702000,261894000,184840000,184840000,72118000,72118000,888660000,4591650000,1613659000,184182000,1042153000,387324000,6603699000,7492359000,327824000,263223000,64601000,70722000,147958000,147958000,546504000,4087934000,274955000,274955000,4362889000,4909393000,2693937000,-36443000,-113767000,2459064000,2582966000,7492359000,45373000,106375000,56340000,27672000,28668000,-41382000,12336000,-10157000,-43561000,166706000,-202841000,-154549000,-233362000,-11799000,-44989000,-13853000,-70640999.9999999,-137297000,-137297000,-551000,-137848000,235593000,4158656000,-6663000.00000001,0.52231,0.22884,0.08002,0.01749,0.00603,-0.147449999999999,1.62608,1.90068,0.55505,0.90779,0.8981,11.34413,49.40161,-0.133860000000001,0.00644,-0.00095,14.97054,27.2946
"17","2014_Q2",153.24619047619,"Up",580053000,-287525000,292528000,-170731000,-170731000,121797000,-66708000,-67386000,678000,55089000,-185000,54904000,-13567000,41337000,41337000,41387000,41387000,817548000,495174000,213560000,213560000,54910000,54910000,1086018000,4766297000,1654107000,176914000,1047578000,429615000,6644580000,7730598000,373811000,293295000,80516000,72002000,149343000,149343000,595156000,4207369000,284108000,284108000,4491477000,5086633000,2743295000,4944000,-99825000,2517006000,2643965000,7730598000,41337000,113928000,26346000,14963000,11383000,-9893000,-28995000,8830000,10272000,171718000,-105907000,-93423000,98885000,-14567000,-32733000,10018000,-37282000,233321000,233321000,-41000,233280000,235725000,4279371000,133492000,0.50431,0.20998,0.07135,0.01565,0.00535,3.22546,1.82476,1.92387,0.55356,0.83445,0.77524,11.69509,50.74814,2.69148,0.00574,0.01852,14.68585,28.42289
"18","2014_Q3",170.761875,"Up",605161000,-292859000,312302000,-186929000,-186929000,125373000,-65449000,-66130000,681000,59924000,-51859000,8065000.00000001,2014000,10079000,10079000,11328000,11328000,615659000,408334000,237831000,237831000,101044000,101044000,954534000,4924162000,1672225000,170130000,1058363000,443732000,6685077000,7639611000,343917000,260121000,83796000,72847000,146551000,146551000,563315000,3863328000,302753000,302753000,4166081000,4729396000,2797239000,16272000,-77514000,2683059000,2910215000,7639611000,10079000,115647000,95998000,32216000,63782000,-122760000,-24510000,-23002000,-75248000,98964000,-159816000,-21799000,91503000,-51161000,-206829000,-20938000,-278928000,-88461000,-88460999.9999999,1621000,-86840000.0000001,241020000,3936175000,-43570000,0.51606,0.20717,0.01872,0.00389,0.00148,-3.84622,1.69449,1.6251,0.51523,0.22064,0.23414,11.78686,52.25856,-0.84862,0.00158,-0.00609,13.77693,26.4851
"19","2014_Q4",177.013125,"Up",620441000,-304052000,316389000,-181539000,-181539000,134850000,-61589000,-63400000,1811000,73261000,281000,73542000,-30581000,42961000,42961000,42841000,42841000,485040000,354181000,275264000,275264000,97407000,97407000,857711000,4983376000,1604838000,157475000,1024555000,422808000,6604289000,7.462e+09,442625000,303669000,138956000,77899000,147676000,147676000,668200000,3905756000,290364000,290364000,4196120000,4864320000,2870806000,59113000,-237480000,2597680000,2597680000,7.462e+09,42961000,120152000,32705000,21837000,10868000,20623000,-50889000,41282000,30230000,216441000,-156003000,-21294000,-6316000,-5575000,-30213000,-220451000,-256239000,-46114000,-46114000,-8039000,-54153000,255002000,3983655000,150203000,0.50994,0.21735,0.06905,0.01649,0.00574,3.50606,1.28361,1.87256,0.53386,0.80578,0.69392,11.66966,48.85888,2.82512,0.00623,0.02186,13.71995,25.94449
"20","2015_Q1",187.362950819672,"Up",638121000,-313449000,324672000,-194920000,-194920000,129752000,-73797000,-70746000,-3051000,55955000,-107733000,-51778000,-303325000,-355103000,-355103000,-355103000,-355103000,1140312000,610917000,262570000,262570000,88061000,88061000,1490943000,4998270000,1292326000,147527000,1002129000,142670000,6291035000,7781978000,400265000,285796000,114469000,80828000,162664000,162664000,643757000,4563126000,304964000,304964000,4868090000,5511847000,3334362000,-295990000,-756830000,2270131000,2270131000,7781978000,-355103000,131964000,146021000,29392000,116629000,279415000,2428000.00000001,-16429000,293416000,202297000,-238477000,-409481000,-619911000,879113000,1137000.00000001,-117134000,679850000,262236000,262236000,-5500000,256736000,261716000,4643954000,605979000,0.50879,0.20333,-0.55648,-0.15642,-0.04563,-1.70649,2.316,2.42799,0.59676,-6.41803,-7.7314,11.53321,41.02968,10.95229,-0.03766,0.08394,13.38719,27.0026
"21","2015_Q2",212.705396825397,"Up",643174000,-298313000,344861000,-192256000,-192256000,152605000,-68785000,-68271000,-514000,83820000,-1156000,82664000,-6212000,76452000,76452000,76452000,76452000,1059052000,536709000,277900000,277900000,102592000,102592000,1439544000,4990883000,1286576000,136010000,984436000,166130000,6288150000,7727694000,445601000,321942000,123659000,78758000,141996000,141996000,666355000,4587892000,311718000,311718000,4899610000,5565965000,3383136000,-219538000,-991182000,2161729000,2161729000,7727694000,76452000,121636000,39443000,30613000,8830000,-4720000,-30791000,29693000,-3622000,232811000,-150120000,-18446000,-199834000,-18657000,16384000,98000,-98794000,-65817000,-65817000,-8391000,-74208000,274241000,4666650000,125613000,0.53619,0.23727,0.11887,0.03537,0.00989,1.64303,2.16033,2.57477,0.60389,1.34929,1.33594,11.35126,38.15197,2.21692,0.02424,0.01759,13.15485,23.6401
"22","2015_Q3",230.09625,"Up",665582000,-315757000,349825000,-200826000,-200826000,148999000,-72189000,-73575000,1386000,76810000,-9866000.00000001,66944000,-7485000,59459000,59459000,59459000.0000001,59459000.0000001,431530000,336133000,293855000,293855000,604733000,604733000,1330118000,5184800000,1307061000,131383000,1007739000,167939000,6495900000,7826018000,443747000,315554000,128193000,235653000,138332000,138332000,817732000,4474377000,331319000,331319000,4805696000,5623428000,3418280000,-160079000,-1044965000,2202590000,2202590000,7826018000,59459000,127376000,43644000,33993000,9650999.99999999,-18016000,-10991000,19600000,-26625000,212463000,-221342000,-305846000,-298542000,-23610000.0000001,181000.000000007,216000.000000007,-119562000,-205641000,-205641000,5065000,-200576000,276375000,4710030000,44502000.0000001,0.52559,0.22386,0.0893300000000001,0.027,0.0076,0.74845,1.62659,2.5531,0.60184,1.04433,1.03409,11.69021,38.68605,0.78163,0.02151,0.00614,15.48078,28.71496
"23","2015_Q4",255.9946875,"Up",686649000,-325468000,361181000,-206946000,-206946000,154235000,-88171000,-75335000,-12836000,66064000,-13352000,52712000,-11580000,41132000,41132000,41132000,41132000,335469000,335469000,293125000,293125000,613429000,613429000,1242023000,5218595000,1240971000,123454000,983530000,133987000,6463643000,7705666000,1112036000,340366000,131607000,233334000,118744000,118744000,1464114000,4403078000,349821000,349821000,4752899000,6217013000,3467200000,-118947000,-1849687000,1488653000,1488653000,7705666000,41132000,132403000,42394000,33969000,8425000,-1528000,-220000,25926000,-27234000,214401000,-216046000,-14148000,-107555000,-17393000,13290000,732000,-101412000,5434000,5434000,-6098000,-664000,286638000,4636412000,80644000,0.52601,0.22462,0.0599,0.02763,0.00534,1.96061,0.84831,4.17627,0.60169,0.72058,0.71276,12.02917,26.0792,1.41277,0.02149,0.01245,15.00479,27.88565
"24","2016_Q1",268.607540983607,"Up",730462000,-351968000,378494000,-225268000,-225268000,153226000,-126910000,-78293000,-48617000,26316000,-17638000,8678000,2053000,10731000,10731000,10731000,10731000,2241713000,2228838000,291964000,291964000,725603000,692346000,3259280000,5606436000,1486395000,224565000,1063200000,198630000,7097415000,10356695000,504055000,400948000,103107000,956478000,195821000,195821000,1656354000,5564542000,390413000,390413000,5954955000,7611309000,4838506000,-108216000,-1977531000,2745386000,2745386000,10356695000,10731000,144165000,44828000,33868000,10960000,35424000,-2581000,33906000,4098999.99999999,235148000,-280612000,-20591000,-31866000.0000001,1612835000,829681000,-19144000,2192920000,2396202000,2396202000,-30360000,2365842000,297391000,6521020000,50150000,0.51816,0.20977,0.01469,0.00391,0.00104,4.67338,1.96774,2.7724,0.62964,0.17742,0.17449,12.07735,45.39179,0.82917,0.02498,0.00519,14.3895,27.92807
"25","2016_Q2",310.180625,"Up",844156000,-427680000,416476000,-272494000,-272494000,143982000,-160648000,-99938000,-60710000,-16666000,-31294000,-47960000,10633000,-37327000,-31111000,-31111000,-31111000,646111000,633758000,326440000,326440000,1195790000,239886000,2168341000,6888232000,4435293000,867536000,3336968000,230789000,11327494000,13495835000,600027000,475343000,124684000,683672000,296496000,296496000,1580195000,6498119000,598416000,598416000,7096535000,8676730000,6973529000,-139327000,-2008462000,4819105000,4819105000,13495835000,-31111000,200534000,41381000,34061000,7320000,-105970000,-11312000,-40217000,-54441000,104834000,-174875000,-10875000,-1789190000,-268335000,16304000,-65000,-376932000,-2061288000,-2061288000,-9501000,-2070789000,344516000,7181791000,53038000,0.49336,0.17056,-0.03685,-0.00646,-0.00231,-1.7048,1.3722,1.80049,0.53215,-0.45663,-0.45663,12.39001,70.73189,0.77846,0.00744,0.00421,18.97061,45.39234
"26","2016_Q3",331.13359375,"Up",900510000,-456967000,443543000,-276294000,-276294000,167249000,-97936000,-99491000,1555000.00000001,69313000,-16199000,53114000,-13812000,39302000,44711000,44711000,44711000,486488000,483160000,346994000,346994000,1261947000,237281000,2095429000,6958794000,4207128000,788955000,3190197000,227976000,11173616000,13269045000,661600000,498212000,163388000,603942000,294237000,294237000,1559779000,6397283000,606518000,606518000,7003801000,8563580000,7307646000,-94616000,-2359319000,4705465000,4705465000,13269045000,44711000,212051000,53573000,39323000,14250000,-32071000,-31055000,29592000,-30608000,278264000,-249867000,-5606999.99999999,-252813000,-48861000,1335000,23000.0000000037,-169361000,-143910000,-169021000,18140000,-150881000,379300000,7001225000,111174000,0.49255,0.18573,0.04965,0.0095,0.00337,2.4865,1.34341,1.81992,0.52764,0.64121,0.63542,12.91443,67.48218,1.59437,0.01353,0.00903,17.17568,38.95232
"27","2016_Q4",313.784444444444,"Down",924676000,-470302000,454374000,-292175000,-292175000,162199000,-88500000,-91438000,2938000,73699000,-2152000,71547000,-22778000,48769000,51450000,51450000,51450000,988358000,987915000,377528000,377528000,294598000,197675000,1660484000,7251399000,4170638000,803260000,3118686000,248692000,11437073000,13097557000,720285000,534602000,185683000,611105000,164176000,164176000,1495566000,6314205000,664076000,664076000,6978281000,8473847000,7371096000,-43166000,-2556603000,4623710000,4623710000,13097557000,51450000,214825000,36637000,42346000,-5709000,32725000,-30440000,-901000,64066000,335637000,525895000,-15254000,357871000,-59728000,16504000,-21890000,-192571000,500937000,522293000,4491000,526784000,377024000,6925310000,958422000,0.49139,0.17541,0.05564,0.01113,0.00393,18.62822,1.11027,1.83269,0.52875,0.72271,0.7155,12.98885,64.94887,13.46287,0.01465,0.07847,15.74688,36.60289
