"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",4.41671875,"Up",25143000,-17620000,7523000,-6066000,-4235000,-1747000,-84000,1457000,-45000,-9000,-36000,1412000,1412000,-452000,960000,960000,960000,960000,8420000,8420000,12696000,12696000,13938000,1989000,1989000,37043000,8548000,14920000,2278000,5608000,4693000,23468000,60511000,10025000,5577000,4448000,10424000,7007000,3747000,894000,0,7007000,17431000,23188000,21275000,-1383000,43080000,43080000,60511000,960000,413000,305000,-2809000,-1131000,-298000,-298000,403000,193000,-1236000,-1236000,-72000,-1308000,1870000,399000,-785000,0.29921,0.05795,0.03818,0.02228,0.01586,-0.81771,3.55363,0.40462,0.00659,0.07329,0.07329,1.91939,3.28868,-0.05993,0.02317,-0.01555,-4.2893,-5.50515
"12","2013_Q3",4.854375,"Up",25352000,-17817000,7535000,-5599000,-3856000,-1658000,-85000,1936000,124000,-8000,132000,2060000,1188000,-369000,819000,819000,819000,819000,11256000,11256000,11803000,11803000,13974000,897000,897000,37930000,9065000,15251000,2228000,5692000,4759000,24316000,62246000,10606000,6046000,4560000,11173000,7200000,3755000,875000,0,7200000,18373000,23365000,21885000,-1377000,43873000,43873000,62246000,819000,417000,-45000,2681000,3872000,-872000,-872000,11000.0000000001,-41000,2959000,2959000,-123000,2836000,2353000,567000,4531000,0.29722,0.07636,0.03231,0.01867,0.01316,5.53236,3.39479,0.41878,0.00911,0.06205,0.06205,1.92082,3.32409,0.3433,0.01997,0.08774,-4.54271,-5.52118
"13","2013_Q4",6.59546875,"Up",24876000,-17638000,7238000,-5448000,-3647000,-1718000,-83000,1790000,-51000,-13000,-38000,1739000,1142000,-309000,833000,833000,833000,833000,11654000,11654000,13429000,13429000,15167000,1431000,1431000,41681000,9649000,15661000,2227000,5916000,4846000,25310000,66991000,13113000,7628000,5485000,14254000,7271000,3694000,885000,0,7271000,21525000,23543000,22494000,-571000,45466000,45466000,66991000,833000,481000,-33000,-578000,703000,-885000,-885000,0,340000,158000,158000,240000,398000,2271000,1141000,1117000,0.29096,0.07196,0.03349,0.01832,0.01243,1.34094,2.92416,0.47343,0.01703,0.06309,0.06309,1.88412,3.44361,0.0846,0.01962,0.02073,-4.62924,-5.87318
"14","2014_Q1",7.60737704918033,"Up",50131000,-35905000,14226000,-10438000,-7057000,-2808000,-573000,3788000,-1305000,-1415000,110000,2483000,2039000,-698000,1341000,1341000,1341000,1341000,8371000,8371000,27123000,27123000,24430000,4402000,2602000,64326000,40111000,66540000,35222000,20233000,6207000,106651000,170977000,28105000,15478000,9898000,42250000,7224000,2298000,2327000,0,80724000,122974000,23771000,23608000,624000,48003000,48003000,170977000,1341000,1602000,843000,3565000,7351000,-1032000,-92639000,-4157000,82101000,-3187000,-3187000,-96000,-3283000,5390000,87645000,8621000,0.28378,0.07556,0.02675,0.02794,0.00784,6.42878,1.52251,2.5618,0.51261,0.09936,0.09905,3.71423,3.55657,0.63873,0.01109,0.06034,14.70761,20.92767
"15","2014_Q2",8.49825396825397,"Up",60435000,-43343000,17092000,-12521000,-8326000,-3517000,-678000,4571000,-1286000,-1638000,352000,3285000,3285000,-1137000,2148000,2148000,2148000,2148000,9718000,9718000,33267000,33267000,24283000,2842000,2842000,70110000,37870000,63812000,34542000,19434000,5684000,101682000,171792000,28672000,16907000,9619000,43219000,6002000,2224000,1716000,0,78002000,121221000,24464000,25485000,622000,50571000,50571000,171792000,2148000,1688000,2383000,-6451000,-232000,-584000,850000,304000,-1013000,-395000,-395000,-58000,-453000,6259000,86547000,361000,0.28282,0.07563,0.03554,0.04247,0.0125,0.16806,1.6222,2.39705,0.50379,0.15685,0.15685,4.41292,3.69266,0.02636,0.01662,0.00252,12.27496,16.80792
"16","2014_Q3",9.27328125,"Up",62069000,-43501000,18568000,-13083000,-8941000,-3472000,-670000,5485000,-1702000,-1649000,-52999.9999999999,3783000,3783000,-1090000,2693000,2693000,2693000,2693000,10988000,10988000,30997000,30997000,25473000,2310000,2310000,69768000,37558000,64075000,33856000,20543000,5405000,101633000,171401000,29916000,16590000,10515000,41959000,6168000,2175000,1475000,-1.13686837721616e-13,76668000,118627000,24623000,27950000,201000,52774000,52774000,171401000,2693000,1793000,425000,1679000,6590000,-987000,-1022000.00000001,0,-4273000.00000001,1295000,1295000,-25000,1270000,7278000,82543000,9060000,0.29915,0.08837,0.04339,0.05103,0.01571,3.36428,1.66277,2.24783,0.48158,0.19638,0.19638,4.52629,3.84846,0.66069,0.02093,0.06404,9.83168,13.04558
"17","2014_Q4",11.66484375,"Up",65280000,-45668000,19612000,-12350000,-8449000,-3204000,-697000,7262000,-1239000,-1608000,369000,6023000,6023000,-1908000,4115000,4115000,4115000,4115000,7267000,7267000,36302000,36302000,26073000,4622000,2822000,74264000,36953000,62098000,33532000,19611000,4866000,99051000,173315000,32455000,18820000,12325000,44749000,5599000,2122000,1331000,0,74599000,119348000,25035000,31832000,-2900000,53967000,53967000,173315000,4115000,1901000,1493000,-6015000,1494000,-1582000,-1582000,30000,-1350000,-1438000,-1438000,-483000,-1921000,9163000,81294000,3474000,0.30043,0.11124,0.06304,0.07625,0.02374,0.84423,1.65957,2.2115,0.46905,0.29959,0.29959,4.75265,3.92902,0.25292,0.03014,0.02466,8.0789,10.19375
"18","2015_Q1",16.4850819672131,"Up",61898000,-43744000,18154000,-11322000,-6965000,-3688000,-669000,6832000,-1300000,-1540000,240000,5532000,5532000,-628000,4904000,4904000,4904000,4904000,13113000,13113000,27745000,27745000,25371000,2667000,2667000,68896000,37041000,61144000,32791000,18303000,6052000,98185000,167081000,28233000,15510000,12723000,35956000,8049000,3142000,2740000,0,75174000,111130000,25129000,36505000,-5683000,55951000,55951000,167081000,4904000,1885000,337000,5208000,12334000,-893000,-895000,1810000,-4864000,6575000,6575000,-729000,5846000,8717000,74848000,13660000,0.29329,0.11038,0.07923,0.08765,0.02935,2.78548,1.91612,1.9862,0.44797,0.35727,0.35417,4.50938,4.07613,0.99516,0.03693,0.09838,7.08214,9.03615
"19","2015_Q2",19.5352380952381,"Up",59580000,-42080000,17500000,-11869000,-7761000,-3446000,-662000,5631000,-1249000,-1515000,266000,4382000,4382000,-1406000,2976000,2976000,2976000,2976000,11043000,11043000,29961000,29961000,25117000,2547000,2547000,68668000,35973000,58472000,31957000,17733000,4414000,94445000,163113000,26862000,16763000,9085000,35282000,6859000,3079000,1131000,0,72109000,107391000,26736000,39248000,-10262000,55722000,55722000,163113000,2976000,1807000,285000,-4399000,669000,-1436000,-1436000,1171000,-239000,-1006000,-1006000,-1064000,-2070000,7438000,73670000,3009000,0.29372,0.09451,0.04995,0.05341,0.01825,1.01109,1.94626,1.92726,0.45165,0.21546,0.21546,4.31364,4.03432,0.21785,0.02349,0.02208,8.41987,11.12183
"20","2015_Q3",12.65578125,"Down",60479000,-42492000,17987000,-12252000,-7885000,-3707000,-660000,5735000,-1492000,-1511000,19000,4243000,4243000,-1118000,3125000,3125000,3125000,3125000,11336000,11336000,32571000,32571000,25998000,3277000,3277000,73182000,36173000,57465000,31327000,17840000,3903000,93638000,166820000,27400000,16754000,9861000,37284000,6995000,3078000,1129000,-2.91038304567337e-11,70370000,107654000,26329000,42141000,-9304000,59166000,59166000,166820000,3125000,1858000,1468000,-3518000,2933000,-1272000,-1272000,-948000,-1608000,52999.9999999991,52999.9999999991,240000,293000,7593000,73259000,3921000,0.29741,0.09483,0.05167,0.05282,0.01873,1.25472,1.96283,1.81952,0.43915,0.22542,0.22542,4.36262,4.26791,0.28284,0.02416,0.02812,8.15527,10.79738
"21","2015_Q4",13.82640625,"Up",61534000,-42595000,18939000,-11908000,-7902000,-3345000,-661000,7031000,-1389000,-1504000,115000,5642000,5642000,-1364000,4278000,4278000,4278000,4278000,17896000,17896000,31315000,31315000,24513000,3674000,3674000,77398000,35863000,55779000,30683000,17905000,3085000,91642000,169040000,27611000,15324000,11519000,36822000,6790000,3078000,1101000,0,68290000,105112000,26731000,46188000,-8991000,63928000,63928000,169040000,4278000,1887000,1620000,2340000,10125000,-985000,-985000,0,-2698000,6442000,6442000,118000,6560000,8918000,70711000,11637000,0.30778,0.11426,0.06952,0.06692,0.02531,2.7202,2.10195,1.64422,0.41831,0.30776,0.30776,4.42675,4.59897,0.83716,0.03182,0.08228,5.92229,7.51173
"22","2016_Q1",12.2704918032787,"Down",50841000,-36495000,14346000,-11244000,-6852000,-3731000,-661000,3102000,-1379000,-1493000,114000,1723000,1154000,-459000,695000,695000,695000,695000,21278000,21278000,22710000,22710000,26175000,3749000,3749000,73912000,35315000,52920000,29984000,17757000,2548000,88235000,162147000,24121000,1.3e+07,11121000,33981000,6051000,2785000,630000,2636000,63569000,97550000,27824000,46650000,-9877000,64597000,64597000,162147000,695000,1914000,-550000,4287000,6346000,-1037000,-1037000,597000,-1550000,3759000,3759000,-377000,3382000,5016000,67378000,8725000,0.28217,0.06101,0.01367,0.01076,0.00429000000000001,12.55396,2.1751,1.51013,0.41554,0.05039,0.05017,3.68613,4.68349,0.63259,0.00672,0.06321,9.19059,14.86138
"23","2016_Q2",13.88703125,"Up",63675000,-45170000,18505000,-13662000,-8833000,-4050000,-779000,4843000,-1547000,-1532000,-15000,3296000,3213000,-858000,2355000,2355000,2355000,2355000,6316000,6316000,29729000,29729000,31279000,4980000,4980000,72304000,37603000,76511000,36407000,31293000,5160000,114114000,186418000,27214000,14201000,13013000,49161000,12484000,4192000,5141000,0,67521000,116682000,29151000,48537000,-7952000,69736000,69736000,186418000,2355000,2270000,392000,-11932000,-6915000,-984000,-17984000,811000,9571000,-15328000,-15328000,366000,-14962000,7113000,76984000,-4945000,0.29062,0.07606,0.03698,0.03377,0.01263,-2.09979,1.47076,1.6732,0.41296,0.16931,0.16931,4.57781,5.01355,-0.35551,0.0162,-0.03106,9.93505,14.59178
"24","2016_Q3",13.96640625,"Up",65835000,-45971000,19864000,-13515000,-8513000,-4174000,-828000,6349000,-1460000,-1590000,130000,4889000,4754000,-1561000,3193000,3193000,3193000,3193000,10362000,10362000,31965000,31965000,30079000,2904000,2904000,75310000,38626000,69818000,36288000,28095000,1533000,108444000,183754000,28393000,14492000,13901000,49448000,10465000,4177000,2875000,0,63020000,112468000,29078000,51244000,-9036000,71286000,71286000,183754000,3193000,2580000,1127000,1690000,8590000,-1398000,-447000,-543000,-3992000,4151000,4151000,-105000,4046000,8929000,73610000,10782000,0.30172,0.09644,0.0485,0.04479,0.01738,3.37676,1.52301,1.5777,0.40059,0.22764,0.22764,4.69362,5.08224,0.76869,0.02215,0.0694,7.08344,9.96188
"25","2016_Q4",13.6669841269841,"Down",61040000,-43133000,17907000,-12458000,-7695000,-3961000,-802000,5449000,-1429000,-1504000,75000,4020000,3897000,-1076000,2821000,2821000,2821000,2821000,12542000,12542000,28810000,28810000,30295000,3053000,3053000,74700000,38497000,68789000,35569000,28241000,966000,107286000,181986000,26518000,14065000,12453000,45623000,11888000,4218000,2819000,4851000,61948000,107571000,29469000,53533000,-8587000,74415000,74415000,181986000,2821000,2459000,741000,2269000,8290000,-1312000,-1312000,0,-4834000,2144000,2144000,36000,2180000,7908000,69165000,9941000,0.29337,0.08927,0.04622,0.03791,0.0155,3.52393,1.63733,1.44556,0.38006,0.20112,0.20112,4.35176,5.30531,0.70873,0.01961,0.06394,7.16022,10.39145
"26","2017_Q1",14.4579032258065,"Up",55343000,-38615000,16728000,-14058000,-9278000,-3985000,-795000,2670000,-1644000,-1823000,179000,1026000,939000,-230000,709000,709000,709000,709000,15483000,15483000,26104000,26104000,31098000,3120000,3120000,75805000,37474000,66640000,34252000,27522000,923000,104114000,179919000,23882000,13204000,10678000,24818000,12332000,4381000,3266000,4685000,82815000,107633000,29503000,54786000,-12003000,72286000,72286000,179919000,709000,2440000,2563000,-1374000,4338000,-1494000,-1650000,-1233000,834999.999999999,3523000,3523000,-582000,2941000,5110000,71419000,2472000,0.30226,0.04824,0.01281,0.00981,0.00394,3.4866,3.05444,1.48899,0.39695,0.05858,0.05597,4.57248,5.97232,0.20424,0.00609,0.01584,10.94638,20.94981
"27","2017_Q2",16.2220634920635,"Up",61354000,-43653000,17701000,-13336000,-8352000,-4191000,-793000,4365000,-513000,-523000,10000,3852000,3852000,-1195000,2657000,2657000,2657000,2657000,14048000,14048000,31035000,31035000,30862000,3044000,3044000,78989000,37370000,66067000,33576000,27740000,845000,103437000,182426000,25125000,14605000,10520000,26068000,12349000,4220000,3295000,4834000,79941000,106009000,30621000,57211000,-11415000,76417000,76417000,182426000,2657000,2450000,703000,-3478000,2332000,-1288000,-1288000,628000,-2600000,-1556000,-1556000,121000,-1435000,6815000,68535000,3244000,0.28851,0.07114,0.04331,0.03477,0.01456,1.22093,3.03011,1.38724,0.37569,0.19534,0.19193,4.51066,5.61807,0.23849,0.01834,0.02062,7.99516,12.4827
"28","2017_Q3",17.177619047619,"Up",60335000,-42454000,17881000,-13894000,-8691000,-4404000,-799000,3987000,-721000,-641000,-80000,3266000,3266000,-1039000,2227000,2227000,2227000,2227000,14733000,14733000,31558000,31558000,31408000,2984000,2984000,80683000,37947000,66768000,33311000,28763000,485000,104715000,185398000,25233000,13393000,11840000,26192000,12729000,4348000,3135000,5246000,77692000,103884000,30748000,59213000,-8447000,81514000,81514000,185398000,2227000,2510000,324000,-10000.0000000005,5051000,-1389000,-1389000,-273000,-3518000,144000,144000,541000,685000,6497000,65922000,6137000,0.29636,0.06608,0.03691,0.02732,0.01201,2.75573,3.08044,1.27443,0.35557,0.16187,0.16014,4.38545,5.92484,0.44607,0.01543,0.03832,7.87887,12.83898
"29","2017_Q4",19.9974603174603,"Up",64968000,-45422000,19546000,-14279000,-9077000,-4389000,-813000,5267000,-698000,-633000,-65000,4569000,4569000,-1512000,3057000,3057000,3057000,3057000,17600000,17600000,34493000,34493000,32779000,3096000,3096000,87968000,38157000,66916000,32776000,29305000,492000,105073000,193041000,30898000,17156000,13742000,31424000,12918000,4403000,3129000,5386000,74913000,106337000,31244000,62033000,-6573000,86704000,86704000,193041000,3057000,2630000,434000,1809000,7930000,-1543000,-1543000,0,-3791000,2596000,2596000,271000,2867000,7897000,62521000,9675000,0.30086,0.08107,0.04705,0.03526,0.01584,3.16487,2.79939,1.22644,0.32387,0.22222,0.21926,4.72271,6.30277,0.7033,0.02031,0.05967,5.68836,8.52876
"30","2018_Q1",22.4229508196721,"Up",65355000,-44804000,20551000,-15157000,-9785000,-4558000,-814000,5394000,-732000,-677000,-55000,4662000,4449000,-4354000,95000.0000000005,95000.0000000005,95000.0000000005,95000.0000000005,15590000,15590000,31822000,31822000,32568000,3460000,3460000,83440000,38403000,66079000,32073000,29531000,14000,104482000,187922000,29621000,15351000,14270000,30082000,17799000,4667000,3609000,9523000,70493000,100575000,31051000,61882000,-5586000,87347000,87347000,187922000,95000.0000000005,2684000,4440000,2875000,10094000,-1981000,-1981000,-655000,-10257000,-2144000,-2144000,134000,-2010000,8078000,53155000,13326000,0.31445,0.08253,0.00145,0.00109000000000001,0.000510000000000002,140.27368,2.77375,1.15144,0.28286,0.00688,0.00681000000000004,4.73535,6.3288,0.96555,0.00218,0.08418,4.65028,6.96422
"31","2018_Q2",29.4534375,"Up",76576000,-54022000,22554000,-15992000,-10153000,-4955000,-884000,6562000,-720000,-614000,-106000,5842000,5691000,-1493000,4198000,4198000,4198000,4198000,13003000,13003000,42822000,42822000,39619000,4685000,4685000,100129000,39375000,75269000,35123000,35679000,23000,114644000,214773000,38545000,22675000,15870000,39023000,17711000,4743000,3636000,9332000,80639000,119662000,32327000,66079000,-3295000,95111000,95111000,214773000,4198000,2791000,3964000,-9258000,1695000,-2222000,-15534000,849000,10999000,-2840000,-2840000,253000,-2587000,9353000,63406000,-634000,0.29453,0.08569,0.05482,0.04414,0.01955,-0.15102,2.5659,1.25813,0.29522,0.30253,0.30013,5.51839,6.85411,-0.04569,0.02382,-0.0036,5.38897,7.68104
