"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2019_Q1",22.634262295082,"Down",6119000,-32372000,-13178000,-19194000,-26253000,1198000,1202000,1202000,-4000,-25055000,-25055000,-25055000,-25055000,-25055000,-25055000,368955000,134776000,30000,30000,5791000,5791000,374776000,40232000,5378000,5378000,45610000,420386000,18140000,5327000,12813000,17760000,2048000,35900000,115907000,293000,148324000,184224000,652469000,-416278000,236162000,236162000,420386000,-25055000,880000,-9234000,34736000,1327000,-1396000,-1415000,-8604000,30588000,30588000,30352000,23075000,23075000,23075000,-25373000,32417000,-4.29041,-4.09462,-0.10609,-0.0596,10.43944,0.78007,0.07711,-0.52179,-0.52179,0.12743,4.9183,-0.06516,13.26363,12.81903
"13","2019_Q2",23.8701587301587,"Up",2069000,-33331000,-17489000,-15842000,-31262000,2013000,2057000,2057000,-44000,-29249000,-29249000,-29249000,-29249000,-29249000,-29249000,342065000,157932000,-60537.0785113186,-60537.0785113186,5002000,5002000,347067000,7991000,23858000,23858000,31849000,378916000,12199000,6557000,5642000,28830000,5430000,41029000,120725000,14860000,120725000,161754000,661857000,-444724000,217162000,217162000,378916000,-29249000,628000,6674000,-7056000,-29003000,-682000,-718000,50626000,1533000,1533000,1533000,23156000,23156000,23156000,-30634000,0,-15.10971,-14.13678,-0.13469,-0.07719,8.45907,0.74485,0,-0.5989,-0.5989,0.04236,4.44656,-0.08656,11.16619,10.94188
"14","2019_Q3",24.769375,"Up",2330000,-37980000,-14414000,-23566000,-35650000,1864000,1931000,1931000,-67000,-33786000,-33786000,-33786000,-33786000,-33786000,-33786000,317930000,210605000,12000,12000,6298000,6298000,324240000,8530000,22855000,22855000,31385000,355625000,12150000,3981000,8169000,60717000,4681000,72867000,89696000,13785000,89696000,162563000,671527000,-478510000,193062000,193062000,355625000,-33786000,693000,5715000,1572000,-25806000,-1513000,-1513000,76110000,2369000,2369000,2369000,52673000,52673000,52673000,-34957000,-3.72529029846191e-09,-15.30043,-14.50043,-0.175,-0.095,4.44975,0.84202,0,-0.6885,-0.6885,0.04748,3.93427,-0.11949,9.09489,8.91809
"15","2019_Q4",24.97484375,"Up",3848000,-38436000,-15735000,-22701000,-34588000,1647000,1680000,1680000,-33000,-32941000,-32941000,-32941000,-32941000,-32941000,-32941000,332616000,104772000,311000,311000,6284000,6284000,339211000,10075000,23073000,23073000,33148000,372359000,14762000,6624000,8138000,52025000,6006000,66787000,95582000,13203000,95582000,162369000,721402000,-511451000,209990000,209990000,372359000,-32941000,727000,6091000,-761000,-26884000,-2245000,-2245000,-122302000,43353000,43353000,43353000,-105833000,-105833000,-105833000,-33861000,0,-8.98857,-8.56055,-0.15687,-0.08847,5.079,0.77322,0,-0.66107,-0.66107,0.07722,4.21413,-0.1078,9.82298,9.61651
"16","2020_Q1",25.2208064516129,"Up",12284000,-51706000,-16917000,-34789000,-39422000,1652000,1645000,1645000,7000.00000000023,-37770000,-37770000,-37770000,-37770000,-37770000,-37770000,457140000,238183000,418000,418000,6286000,6286000,463844000,10887000,34154000,34154000,45041000,508885000,27963000,5843000,22120000,3.2e+07,8486000,59963000,186485000,23278000,186485000,246448000,811551000,-549221000,262437000,262437000,508885000,-37770000,782000,5835000,72177000,41024000,-1625000,-1691000,7817999.99999997,84569000,84569000,84569000,133411000,133411000,133411000,-38640000,-2.3283064365387e-10,-3.20922,-3.07473,-0.14392,-0.07422,7.7355,0.93907,0,-0.72366,-0.72366,0.23536,5.02818,-0.08413,11.83075,11.59606
"17","2020_Q2",26.1311111111111,"Up",5723000,-52339000,-17769000,-34570000,-46616000,8892000,1559000,1559000,7333000,-37724000,-37724000,-37724000,-37724000,-37724000,-37724000,414993000,232850000,1832000,1832000,8281000,8281000,425106000,12218000,29413000,29413000,41631000,466737000,19063000,10394000,8669000,49806000,9164000,68869000,163301000,21531000,163301000,232170000,820818000,-586945000,234567000,234567000,466737000,-37724000,798000,-1328000,-15832000,-54086000,-2152000,-2152000,46464000,3047000,3047000,3047000,-4575000,-4575000,-4575000,-45818000,0,-8.14538,-6.59165,-0.16082,-0.08082,6.17268,0.98978,0,-0.69104,-0.69104,0.10484,4.29687,-0.09482,9.05742,8.90237
"18","2020_Q3",32.5690625,"Up",10749000,-42089000,-14083000,-28006000,-31340000,7768000,592000,592000,7176000,-23572000,-23572000,-23572000,-23572000,-23572000,-23572000,598720000,485819000,1865000,1865000,9541000,9541000,610126000,12895000,32460000,32460000,45355000,655481000,16533000,6339000,10194000,51617000,10677000,68150000,160559000,22153000,160559000,228709000,1037106000,-610517000,426772000,426772000,655481000,-23572000,871000,-1849000,-6306000.00000001,-30856000,-1827000,-1841000,74173000,211153000,211153000,211153000,254470000,254470000,254470000,-30469000,0,-2.91562,-2.19295,-0.05523,-0.03596,8.95269,0.5359,0,-0.4259,-0.4259,0.19421,7.71097,-0.04013,19.65014,19.10402
"19","2020_Q4",41.08,"Up",62841000,-53853000,-19937000,-33916000,8988000,-1169000,226000,226000,-1395000,7819000,7819000,7819000,7819000,7819000,7819000,495305000,279576000,1055000,1055000,10467000,10467000,506827000,14069000,30275000,30275000,90330000,597157000,25465000,5158000,20307000,29351000,9477000,54816000,101189000,20368000,101189000,156005000,1043898000,-602698000,441152000,441152000,597157000,7819000,1107000,7266000,-70993000,-54801000,-1786000,-1793000,-152265000,822000,822000,822000,-206244000,-206244000,-206244000,10095000,0,0.14303,0.12443,0.01772,0.01309,9.24597,0.35363,0,0.12571,0.12571,1.01036,7.09288,0.01442,-49.06439,-55.10737
"20","2021_Q1",56.9691803278689,"Up",11419000,-77291000,-15787000,-61504000,-65872000,3373000,228000,228000,3145000,-62499000,-62499000,-62499000,-62499000,-62499000,-62499000,402110000,139682000,6048000,6048000,10929000,10929000,419087000,14020000,29831000,29831000,153515000,572602000,30454000,6408000,24046000,27754000,6811000,58208000,120808000,46824000,120808000,179016000,1058829000,-665197000,393586000,393586000,572602000,-62499000,1183000,30305000,-9088999.99999999,-40100000,-1385000,-1376000,-108894000,9100000.00000003,9100000.00000003,9099999.99999997,-139894000,-139894000,-139894000,-64689000,-9.09494701772928e-13,-5.76863,-5.47325,-0.15879,-0.10915,7.19982,0.45483,0,-1.00312,-1.00312,0.18328,6.3171,-0.1215,6.21605,6.10441
"21","2021_Q2",36.9371428571429,"Down",6499000,-63382000,-21445000,-41937000,-56883000,155000,134000,134000,21000,-56728000,-56728000,-56728000,-56728000,-56728000,-56728000,625333000,354918000,672000,672000,6311000,6311000,632316000,14095000,35993000,35993000,147978000,780294000,24042000,8910000,15132000,39968000,7264000,64010000,78288000,21621000,78288000,142298000,1359994000,-721925000,637996000,637996000,780294000,-56728000,1163000,12605000,-6519000,-49479000,-84000,-84000,3244000,261471000,261471000,261471000,215236000,215236000,215236000,-55720000,0,-8.75258,-8.72873,-0.08892,-0.0727,9.87839,0.22304,0,-0.9679,-0.9679,0.11089,10.88556,-0.0792,11.22277,10.99332
"22","2021_Q3",54.7928125,"Up",379000,-55779000,-22026000,-33753000,-55400000,144000,146000,146000,-2000,-55256000,-55256000,-55256000,-55256000,-55256000,-55256000,610553000,337834000,331000,331000,5408000,5408000,616292000,14910000,37094000,37094000,139588000,755880000,23042000,4415000,18627000,42974000,8974000,66016000,76503000,21282000,76503000,142519000,1390613000,-777181000,613361000,613361000,755880000,-55256000,1189000,14035000,1075000,-38957000,-2704000,-2704000,4791000,17081999.9999999,17081999.9999999,17082000,-17084000,-17084000,-17084000,-54211000,0,-146.17414,-145.7942,-0.09009,-0.0731,9.33549,0.23236,0,-0.94278,-0.94278,0.00646999999999998,10.46523,-0.0801,11.26253,11.02081
"23","2021_Q4",34.41875,"Down",6197000,-45450000,-16185000,-29265000,-39253000,171000,152000,237029.722231752,19000,-39082000,-39082000,-39082000,-39082000,-39082000,-39082000,557841000,259884000,251000,251000,9516000,9516000,567608000,15631000,34582000,34582000,149411000,717019000,17977000,3402000,14575000,32930000,10263000,50907000,79318000,18430000,79318000,130225000,1403121000,-816263000,586794000,586794000,717019000,-39082000,1190000,10434000,-13327000,-40785000,-2344000,-4226362.9509052,-39661000,2496000,2496000,2496000,-77950000,-77950000,-77950000,-38063000,0,-6.33419,-6.3066,-0.0666,-0.05451,11.1499,0.22193,0,-0.57288,-0.57288,0.09084,8.60153,-0.05867,14.65573,14.21142
"24","2022_Q1",18.588064516129,"Down",12469000,-54079000,-16527000,-37552000,-41610000,174000,1910000,355173.459602024,-1736000,-41436000,-41436000,-41436000,-41436000,-41436000,-41436000,499845000,203519000,267000,267000,7198000,7198000,507310000,17118000,32984000,32984000,170173000,677483000,25242000,5050000,20192000,21642000,10309000,46884000,76957000,16069000,76957000,123841000,1411834000,-857699000,553642000,553642000,677483000,-41436000,1511000,7982000,-2639000,-34582000,-2845000,-3743576.42330331,-22840000,1057000,1057000,1056999.99999999,-56365000,-56365000,-56365000,-40099000,7.105427357601e-15,-3.33708000000001,-3.32312,-0.07484,-0.06116,10.82054,0.22368,0,-0.60739,-0.60739,0.18278,8.11557,-0.06571,12.46527,12.01262
"25","2022_Q2",13.3991935483871,"Down",6771000,-57521000,-19545000,-37976000,-50750000,235000,469000,469000,-234000,-50515000,-50515000,-50515000,-50515000,-50515000,-50515000,488362000,210881000,1371000,1371000,7298000,7298000,497031000,17258000,30773000,30773000,126077000,623108000,20480000,4693000,15787000,16023000,10206000,36503000,73845000,12957000,73845000,110348000,1423483000,-908214000,512760000,512760000,623108000,-50515000,1558000,11665000,-11935000,-49227000,-2248000,-2248000,56371000,218000,218000,218000,7362000,7362000,7362000,-49192000,0,-7.4952,-7.46049,-0.09852,-0.08107,13.61617,0.2152,0,-0.739,-0.739,0.09906,7.50135,-0.08611,9.92767,9.6229
"26","2022_Q3",15.58140625,"Up",6363000,-60597000,-16938000,-43659000,-54234000,781000,546000,546000,235000,-53453000,-53453000,-53453000,-53453000,-53453000,-53453000,452558000,169401000,713000,713000,8106000,8106000,461377000,16198000,28196000,28196000,119456000,580833000,26274000,6169000,20105000,10147000,10147000,36421000,78998000,10110000,78998000,115419000,1430468000,-961667000,465414000,465414000,580833000,-53453000,1598000,6441000,7569000,-37845000,-614000,-632000,-4001999.99999999,367000,367000,367000,-41480000,-41480000,-41480000,-52636000,4.44089209850063e-16,-8.52334,-8.4006,-0.11485,-0.09203,12.66788,0.24799,1.65436122510606e-24,-0.78198,-0.78198,0.09309,6.80871,-0.09818,8.59788,8.34454
