"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",14.4303174603175,"Up",81872000,-61695000,20177000,-16361000,-10726000,-4196000,3816000,-463000,-463000,3353000,3353000,-943000,2410000,2410000,2335000,2335000,29767000,29767000,47370000,47370000,20723000,6563000,6563000,104423000,154677000,52296000,20786000,206973000,311396000,43696000,31612000,12084000,54320000,3699000,3699000,63616000,117936000,192795000,193460000,311396000,2410000,4196000,1400000,1602000,9608000,-3619000,-3619000,-1667000,119000,119000,1000,-1547000,4442000,4442000,4442000,8012000,59917000,6938000,0.24645,0.04661,0.02852,0.01207,0.0075,2.97131,1.92237,0.60961,0.19241,0.10486,0.10355,3.67683,8.65833,0.31158,0.00908,0.02699,3.76311,7.90093999999999
"28","2017_Q1",14.5564516129032,"Up",106750000,-79849000,26901000,-21095000,-15368000,-5549000,5806000,-637000,-637000,5169000,5169000,-1671000,3498000,3498000,3443000,3443000,36610000,36610000,47533000,47533000,18558000,6094000,6094000,108795000,154208000,51304000,19821000,205512000,314307000,44025000,30984000,13041000,54206000,5314000,5314000,61832000,116038000,197549000,198269000,314307000,3498000,5549000,3011000,2042000,14100000,-3218000,-4211000,-3328000,282000,282000,5.82076609134674e-11,-3046000,6843000,6843000,6843000,11355000,56518000,11850000,0.252,0.05439,0.03225,0.01737,0.01095,3.44177,2.00707,0.58526,0.17982,0.15444,0.15055,4.78828,8.86108,0.53153,0.01324,0.04556,1.75324,3.42887
"29","2017_Q2",15.2293650793651,"Up",80453000,-61290000,19163000,-11467000,-12341000,-4132000,7696000,-87000,-87000,7609000,7609000,-2792000,4817000,4817000,4764000,4764000,10888000,10888000,43174000,43174000,19724000,4683000,4683000,78469000,153543000,50669000,19096000,204212000,282681000,39419000,27979000,11440000,41628000,7016000,7016000,35528000,77156000,204752000,205525000,282681000,4817000,4132000,3784000,-679000,12054000,-3293000,-3293000,-34195000,1119000,1119000,-1407000,-34483000,-25722000,-25722000,-25722000,11828000,28512000,10648000,0.23819,0.09566,0.05921,0.02318,0.01685,2.2351,1.88501,0.37541,0.10086,0.21313,0.20811,3.5992,9.15993,0.47636,0.01976,0.04417,1.49002,2.29002
"30","2017_Q3",18.6396825396825,"Up",86382000,-63270000,23112000,-11732000,-10575000,-4184000,11380000,-412000,-412000,10968000,10968000,-3982000,6986000,6986000,6934000,6934000,25242000,25242000,44343000,44343000,18862000,6448000,6448000,94895000,152657000,49917000,18344000,202574000,297469000,41512000,28861000,12651000,43749000,10821000,10821000,39403000,83152000,213802000,214317000,297469000,6986000,4184000,5055000,-10999.9999999995,16214000,-2986000,-2986000,0,1435000,1435000,-309000,1126000,14354000,14354000,14354000,15564000,28582000,16549000,0.26756,0.13174,0.08027,0.03235,0.02331,2.38665,2.16908,0.38799,0.09608,0.3081,0.3037,3.83818,9.49978,0.73532,0.02733,0.06523,0.2146,0.2935
"31","2017_Q4",20.1512698412698,"Up",83331000,-63650000,19681000,-12061000,-10955000,-4185000,7620000,-276000,-276000,7344000,7344000,-2587000,4757000,4757000,4704000,4704000,33452000,33452000,45881000,45881000,20934000,6832000,6832000,107099000,151175000,49187000,17607000,200362000,307461000,40024000,26730000,13294000,42749000,13210000,13210000,41861000,84610000,222283000,222851000,307461000,4757000,4185000,139000,-4976000,4105000,943000,943000,3.72529029846191e-09,3161000,3161000,1000,3162000,8210000,8210000,8210000,11805000,28651000,10359000,0.23618,0.09144,0.05645,0.02111,0.0153,2.20217,2.5053,0.37967,0.09319,0.20735,0.20479,3.67323,9.79825,0.45663,0.01777,0.03913,-0.40669,-0.630050000000001
"32","2018_Q1",22.2303278688525,"Up",115791000,-87892000,27899000,-19168000,-13530000,-5466000,8731000,-319000,-319000,8412000,8412000,3438000,11850000,11850000,11721000,11721000,41889000,41889000,45491000,45491000,21639000,5895000,5895000,114914000,151431000,48312000,16732000,199743000,314657000,37741000,25568000,12173000,40431000,9556000,9556000,38300000,78731000,235228000,235926000,314657000,11850000,5466000,-2345000,-2013000,12958000,-4672000,-4672000,0,151000,151000,0,151000.000000001,8437000,8437000,8437000,14197000,28744000,4074000,0.24094,0.0754,0.10123,0.04968,0.03725,0.34758,2.84223,0.33371,0.09135,0.50734,0.50974,5.01195,10.18171,0.17634,0.04274,0.01486,-0.9259,-1.50555
"33","2018_Q2",20.92703125,"Down",83147000,-68386000,14761000,-15054000,-11022000,-3643000,-293000,-245000,-245000,-538000,-538000,436000,-102000,-102000,-120000,-120000,37557000,37557000,46883000,46883000,25394000,5122000,5122000,114956000,151977000,47585000,16005000,199562000,314518000,38282000,27849000,10433000,41081000,9170000,9170000,37984000,79065000,234737000,235453000,314518000,-102000,3643000,802000,-4880000,-537000,-3513000,-3513000,0,1e+05,1e+05,-382000,-282000,-4332000,-4332000,-4332000,3350000,28814000,-5479000,0.17753,-0.00352,-0.00144,-0.000509999999999997,-0.000379999999999998,45.65833,2.79828,0.3358,0.09161,-0.00523,-0.00523,3.62107,10.22285,-0.23861,-0.000440000000000003,-0.02004,-2.60985,29.83959
"34","2018_Q3",21.897619047619,"Up",100303000,-76272000,24031000,-15521000,-11522000,-3659000,8510000,-241000,-241000,8269000,8269000,-2149000,6120000,6120000,5999000,5999000,41831000,41831000,53907000,53907000,26931000,5040000,5040000,127709000,155406000,50030000,15905000,205436000,333145000,45822000,35166000,10656000,50551000,11260000,11260000,40144000,90695000,241974000,242450000,333145000,6120000,3659000,3217000,383000.000000002,13379000,-3787000,-8292000,0,195000,195000,-1008000,-813000,4274000,4274000,4274000,12169000,28884000,10914000,0.23958,0.08484,0.05981,0.02474,0.01801,1.81930000000001,2.52634,0.37408,0.0867,0.2605,0.2568,4.35551,10.50736,0.47392,0.02123,0.03862,-1.06393,-1.52139
"35","2018_Q4",23.5280952380952,"Up",99673000,-76044000,23629000,-14671000,-10641000,-3776000,8958000,-256000,-256000,8702000,8702000,-2283000,6419000,6419000,6345000,6345000,46315000,46315000,51051000,51051000,29745000,6745000,6745000,133856000,157520000,49336000,15211000,206856000,340712000,43013000,31411000,11602000,48027000,13554000,13554000,42507000,90534000,249628000,250178000,340712000,6419000,3776000,3431000,-3466000,10160000,-5494000,-5794000,0,119000,119000,-1000,118000,4484000,4484000,4484000,12734000,28953000,6057000,0.23707,0.08987,0.06366,0.02536,0.01862,0.95461,2.7871,0.36188,0.08498,0.2753,0.27111,4.32458,10.83079,0.2628,0.02168,0.02069,-1.36344,-1.93816
"36","2019_Q1",25.4339344262295,"Up",127060000,-102463000,24597000,-20231000,-14529000,-5079000,4366000,-310000,-310000,4056000,4056000,-1455000,2601000,2601000,2504000,2504000,43579000,43579000,51744000,51744000,33059000,6835000,6835000,135217000,163801000,48804000,14681000,212605000,347822000,44774000,32630000,12144000,50029000,14516000,14516000,43562000,93591000,253583000,254231000,347822000,2601000,5079000,2840000,-3450000,7070000,-9937000,-9937000,0,130000,130000,1000,131000,-2736000,-2736000,-2736000,9445000,29046000,-2487000,0.19359,0.03436,0.01971,0.00985,0.0072,-0.99321,2.70277,0.36813,0.08351,0.10856,0.10606,5.50878,10.99428,-0.10783,0.00841,-0.00835,-1.5387,-3.32868
"37","2019_Q2",26.7196825396825,"Up",95772000,-82483000,13289000,-16474000,-12396000,-4136000,-3185000,-230000,-230000,-3415000,-3415000,986000,-2429000,-2429000,-2512000,-2512000,42692000,42692000,53326000,53326000,29661000,4914000,4914000,130593000,168635000,112357000,17070000,280992000,411585000,45631000,34858000,10773000,72449000,57842000,13544000,86958000,159407000,251447000,252178000,411585000,-2429000,4136000,-5000,7476000,9178000,-7579000,-9552000,-32438.1266434786,131000,131000,-644000,-513000,-887000,-887000,-887000,951000,29116000,-138000,0.13876,-0.03326,-0.02623,-0.00996,-0.0061,0.05494,1.80255,0.63212,0.07074,-0.10866,-0.10866,4.14293,10.87715,-0.00597,-0.00741,-0.000410000000000001,-14.2755,4.26248
"38","2019_Q3",26.025625,"Down",105001000,-78849000,26152000,-16617000,-11042000,-4060000,9535000,-219000,-219000,9316000,9316000,-2151000,7165000,7165000,7056000,7056000,52168000,52168000,54976000,54976000,29052000,7422000,7422000,143618000,169465000,119658000,16756000,289123000,432741000,50137000,38323000,11814000,78886000,65560000,15666000,94746000,173632000,258669000,259109000,432741000,7165000,4060000,3201000,1734000,16160000,-5018000,-5618000,-64823.608810836,117000,117000,-1183000,-1066000,9476000,9476000,9476000,13595000,29186000,12462000,0.24906,0.09081,0.0672,0.02723,0.01631,1.76616,1.82058,0.67011,0.06744,0.30497,0.29879,4.53823,11.17989,0.53862,0.01994,0.03522,-1.69047,-2.41028
"39","2019_Q4",28.60546875,"Up",104840000,-80117000,24723000,-16241000,-11241000,-3980000,8482000,-180000,-180000,8302000,8302000,-2246000,6056000,6056000,5970000,5970000,59155773.0981875,59155773.0981875,55587372.4001476,55587372.4001476,29287921.3642907,8261558.46050591,8299025.98691066,152292625.323132,173609878.156439,127674789.438789,16771657.485686,301284659.082533,453577284.405664,53730224.3027576,40511089.5983342,13219134.7044235,86110405.6723649,74624854.1607318,16681670.2529035,103764920.367755,189875326.04012,263097812.032292,263701958.365545,453577284.405664,6056000,3980000,4324000,-3360000,1.1e+07,-4324000,-4324000,-13000,120000,120000,0,107000,6783000,6783000,6783000,12462000,0,7024000,0.23582,0.0809,0.05694,0.0134389591647191,0.00848329562104896,1.17655,1.7968155420037,0.719673106320693,0.0644884017621982,0.25814,0.2555,4.53323,11.3729811188972,0.30371,0.0102953688107306,0.00568275319598605,-1.91535138834114,8.99302011392009
"40","2020_Q1",25.3538709677419,"Down",138814000,-108154000,30660000,-32631000,-15545000,-6073000,-1971000,-240000,-240000,-2211000,-2211000,168000,-2043000,-2043000,-2151000,-2151000,60694000,60694000,55586000,55586000,29373000,7104000,7104000,152757000,179143000,139414000,16892000,318557000,471314000,51367000,38058000,13309000,90444000,85891000,17157000,115239000,205683000,264997000,265631000,471314000,-2043000,6073000,12261000,625000.000000001,16916000,-14372000,-15320000,13000,135000,135000,-1000,147000,1743000,1743000,1743000,4102000,29348000,-9813000,0.22087,-0.0142,-0.0155,-0.0081,-0.00456,4.56206,1.68897,0.77432,0.06227,-0.09288,-0.09193,5.9937,11.44201,-0.4237,-0.00564999999999999,-0.02576,-7.64164,15.9036
"41","2020_Q2",16.8365079365079,"Down",107264000,-83250000,24014000,-17062000,-11522000,-5268000,6952000,-214000,-214000,6738000,6738000,-1447000,5291000,5291000,5291000,5291000,56938000,56938000,55122000,55122000,29112000,6062000,6062000,147234000,182305000,137119000,16123000,319424000,466658000,42765000,30607000,12158000,83401000,85829000,18617000,115247000,198648000,268010000,268010000,466658000,5291000,5268000,2293000,-2376000,10476000,-9842000,-9842000,-210000,122000,122000,-4302000,-4390000,-3756000,-3756000,-3756000,12220000,29418000,1449000,0.22388,0.06481,0.04933,0.01974,0.01134,0.27386,1.76537,0.7412,0.06304,0.22768,0.2259,4.61569,11.53277,0.06235,0.01381,0.00378,-2.25205,-3.95857
"42","2020_Q3",15.17984375,"Down",79518000,-72293000,7225000,-9792000,-11134000,-5455000,-2567000,-344000,-344000,-2911000,-2911000,253000,-2658000,-2658000,-2658000,-2658000,48500293.5209624,48500293.5209624,52143786.6815359,52143786.6815359,26906036.5007688,6496853.56699591,7078320.91120298,134046970.270263,183433194.122885,137086133.445495,16403177.6320722,320519195.457833,454566165.728096,39508603.041225,26513748.1515457,12994854.8896794,75519667.905354,82826525.6157176,19185239.5287565,110337484.75607,185857152.661424,268862571.102524,268709013.066672,454566165.728096,-2658000,5455000,-4828000,9293000,7262000,-3295000,-13302000,-252000,135000,135000,1000,-116000.000000001,-6156000,-6156000,-6156000,2888000,0,8633000,0.09086,-0.03228,-0.03343,0.0244249581047772,0.0142747953932474,-3.24793,1.77303108841483,0.691864032005555,0.0603756350786415,-0.11438,-0.11348,3.42175,11.5459733488688,0.37149,0.017304366422415,0.00684765983452284,-0.533831632652638,-9.0730346983698
"43","2020_Q4",18.5215625,"Up",87134000,-67126000,20008000,-14603000,-9410000,-5635000,5405000,-284000,-284000,5121000,5121000,-1163000,3958000,3958000,3958000,3958000,52650000,52650000,48877000,48877000,24835000,8475000,8475000,134837000,180933000,137837000,18002000,318770000,453607000,42369000,26928000,15441000,71982000,81227000,19645000,110784000,182766000,270841000,270841000,453607000,3958000,5635000,1312000,-5826000,5079000,-2906000,-3028000,-3e+05,117000,117000,0,-183000,1868000,1868000,1868000,11040000,29557000,3471000,0.22962,0.06203,0.04542,0.01461,0.00873,0.87696,1.8732,0.67481,0.06516,0.16997,0.16876,3.74191,11.63107,0.14906,0.01037,0.00909999999999998,-2.09176,-4.27252999999999
"44","2021_Q1",25.0619672131148,"Up",132035000,-98979000,33056000,-24832000,-15025000,-8205000,8224000,-410000,-410000,7814000,7814000,-2468000,5346000,5346000,5346000,5346000,67575000,67575000,48479000,48479000,24978000,10451000,8005000,151483000,176127000,134059000,19576000,310186000,461669000,46902000,29663000,17239000,73001000,81512000,21218000,111168000,184169000,277500000,277500000,461669000,5346000,8205000,5542000,2859000,21952000,-6429000,-6305000,-581000,123000,123000,-264000,-721999.999999998,14925000,14925000,14925000,16429000,29656000,15327000,0.25036,0.06229,0.04049,0.01926,0.01158,2.867,2.07508,0.66367,0.06424,0.22958,0.22795,5.67015,11.91703,0.65821,0.01375,0.03943,-2.30805,-4.61077
"45","2021_Q2",29.6180952380952,"Up",105382000,-76771000,28611000,-15862000,-12188000,-3782000,12749000,-324000,-324000,12425000,12425000,-3219000,9206000,9206000,9206000,9206000,46669000,46669000,52614000,52614000,25530000,8020000,5574000,132833000,178677000,130791000,18484000,309468000,442301000,46354000,31017000,15337000,72883000,82101000,24517000,82101000,154984000,287317000,287317000,442301000,9206000,3782000,5367000,-2152000,16203000,-5262000,-5262000,-30436000,122000,122000,-1533000,-31847000,-20906000,-20906000,-20906000,16531000,0,12336000,0.2715,0.12098,0.08736,0.03204,0.02081,1.34,1.82255,0.53942,0,0.39387,0.39159,4.50871,12.29269,0.52779,0.02492,0.03339,-2.82312,-3.6606
"46","2021_Q3",28.613125,"Down",117278000,-78328000,38950000,-18767000,-13040000,-5619000,20183000,262000,-177000,20445000,20445000,-5334000,15111000,15111000,15111000,15111000,67272000,67272000,59393000,59393000,25956000,6178000,5053000,158799000,179989000,131053000,17824000,311042000,469841000,48460000,32186000,16274000,77885000,87930000,29830000,87930000,165815000,304026000,304026000,469841000,15111000,5619000,6668000,-2258000,25140000,-4131000,-4131000,-513000,125000,125000,-18000,-405999.999999993,20603000,20603000,20603000,25802000,0,24747000,0.33212,0.1721,0.12885,0.0497,0.03216,1.63768,2.03889,0.5454,0,0.64652,0.64278,5.01767,13.00757,1.05879,0.03855,0.06314,-2.60724,-3.3331
"47","2021_Q4",32.47546875,"Up",123175000,-79486000,43689000,-19061000,-13294000,-5767000,24628000,23999.9999999999,-206000,24652000,24652000,-6144000,18508000,18508000,18508000,18508000,75273000,75273000,60293000,60293000,27854000,10157000,9032000,173577000,181984000,149273000,20491000,331257000,504834000,57062000,32253000,24809000,90205000,92065000,27287000,92065000,182270000,322564000,322564000,504834000,18508000,5767000,-1141000,-1350000,21784000,-1034000,-12407000,-632999.999999996,124000,124000,-867000,-1376000,8001000,8001000,8001000,30395000,0,34155000,0.35469,0.19994,0.15026,0.05738,0.03666,1.84542,1.92425,0.56507,0,0.78989,0.78524,5.25692,13.76655,1.45768,0.04464,0.08237,-2.47649,-3.0564
"48","2022_Q1",29.0633870967742,"Down",169499000,-118211000,51288000,-25851000,-18465000,-8374000,25437000,-895000,-226000,24542000,24542000,-6419000,18123000,18123000,18123000,18123000,56269000,56269000,62513000,62513000,29536000,7898000,6773000,156216000,190447000,180201000,45949000,370648000,526864000,53633000,36179000,17454000,85349000,99459000,31126000,99459000,184808000,342056000,342056000,526864000,18123000,8374000,6347000,-4924000,27920000,-11894000,-46054000,-640000,116000,116000,-346000,-870000,-19004000,-19004000,-19004000,33811000,0,23412000,0.30259,0.15007,0.10692,0.05298,0.0344,1.29184,1.83032,0.54029,0,0.77346,0.7689,7.23396,14.59844,0.99919,0.04105,0.05303,-1.66422,-2.21209
"49","2022_Q2",27.1662903225806,"Down",139366000,-101783000,37583000,-20032000,-13735000,-6507000,17551000,-223000,-223000,17328000,17328000,-4450000,12878000,12878000,12878000,12878000,71066000,71066000,70047000,70047000,30195000,7079000,5954000,178387000,196475000,186553000,44676000,383028000,561415000,63135000,43055000,20080000,99247000,105718000,31525000,105718000,204965000,356450000,356450000,561415000,12878000,6507000,2123000,3082000,24590000,-9145000,-9145000,-765000,117000,117000,139482.511987258,-648000,14797000,14797000,14797000,24058000,0,22445000,0.26967,0.12593,0.0924,0.03613,0.02294,1.74289,1.7974,0.57502,0,0.54907,0.54619,5.9421,15.19783,0.95698,0.02786,0.04856,-2.95394,-4.04911
"50","2022_Q3",31.27234375,"Up",156647000,-104755000,51892000,-22012000,-15024000,-6778000,29880000,-1041000,-250000,28839000,28839000,-7732000,21107000,21107000,21107000,21107000,73760000,73760000,80266000,80266000,36221000,5552000,4427000,195799000,196276000,184462000,44610000,383738000,579537000,61215000,45043000,16172000,97614000,104581000,32070000,104581000,202195000,377342000,377342000,579537000,21107000,6778000,3908000,-17215000,14578000,-6695000,-9695000,-921000,134000,134000,-1402000,-2189000,2693999.99999999,2693999.99999999,2693999.99999999,36658000,1.45519152283669e-11,20480000,0.33127,0.19075,0.13474,0.05594,0.03642,0.97029,2.00585,0.53584,0,0.89993,0.8952,6.6789,16.0886,0.8732,0.0438,0.0425,-2.01211,-2.46854
