"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",31.9501612903226,"Down",18058000,-18918000,-860000,-21617000,-15402000,-5928000,-22477000,382000,-11000,393000,-22095000,-4092000,-26187000,-85000,-26272000,-26272000,-26272000,-26272000,63866000,58605000,14764000,14764000,34021000,39322000,29789000,9049000,151973000,94073000,29317000,8662000,5840000,14815000,123390000,275363000,39075000,39075000,49849000,15246000,88924000,3374000,1921000,969000,3374000,92298000,894644000,-712833000,1525000,183065000,183065000,275363000,-26272000,4205000,5564000,-9875000,-26378000,-5154000,-2350000,-7907000,0,-34285000,-34285000,-621000,-34906000,-18272000,0,-33216000,-0.04762,-1.24471,-1.45487,-0.14351,-0.09541,1.26431,1.70902,0.50418,0,-4.97651,-4.97651,3.42059,34.67666,-6.29186,-0.14091,-0.17816,3.49529,2.84139
"12","2013_Q1",28.3508333333333,"Down",28627000,-25072000,3555000,-23179000,-17166000,-5932000,-19624000,-564000,10999.9999999999,-575000,-20188000,-795000,-20983000,-184000,-21167000,-21167000,-21167000,-21167000,51583000,46279000,18999000,18999000,29256000,43733000,31444000,12086000,143571000,90828000,20657000,3772000,3129000,13756000,111485000,255056000,37582000,37582000,48741000,19718000,86323000,3854000,1558000,2093000,3854000,90177000,897123000,-7.34e+08,2027000,164879000,164879000,255056000,-21167000,4580000,7833000,986000,-7768000,-1897000,-2537000,-4984000,178000,-12574000,-12574000,248000,-12326000,-15044000,0,-15771000,0.12418,-0.68551,-0.73941,-0.12838,-0.08299,0.74507,1.66318,0.54693,0,-3.75368,-3.75368,5.07661,29.23905,-2.79677,-0.12545,-0.09347,3.42881,2.62857
"13","2013_Q2",25.18203125,"Down",28716000,-16926000,11790000,-17790000,-13799000,-3910000,-6e+06,-2595000,-2718000,123000,-8595000,-2516000,-11111000,836000,-10275000,-10275000,-10275000,-10275000,65696000,60487000,13558000,13558000,28699000,47148000,30261000,16684000,155101000,87676000,21401000,3455000,3129000,14817000,109077000,264178000,30850000,30850000,49600000,15390000,84098000,3749000,1681000,1865000,23665000,107763000,900134000,-744275000,863000,156415000,156415000,264178000,-10275000,3344000,586000,-5246000,-11591000,-88000,-6858000,-6846000,32925000,14488000,14488000,-280000,14208000,-2656000,23564000,-8826000,0.41057,-0.20894,-0.35781,-0.06569,-0.03889,0.85898,1.84429,0.68896,0.0892,-1.76244,-1.76244,4.92556,26.82933,-1.51389,-0.05593,-0.04804,15.86295,7.022
"14","2013_Q3",25.31546875,"Up",20867000,-20384000,483000,-15438000,-11736000,-3622000,-14955000,-4185000,-2919000,-1266000,-19140000,3270000,-15870000,-78999.9999999997,-15949000,-15949000,-15949000,-15949000,54356000,49136000,15224000,15224000,29674000,36387000,22564000,13620000,135641000,85462000,21210000,3251000,3129000,14830000,106672000,242313000,26595000,26595000,42817000,17328000,78974000,3382000,1521000,1658000,18556000,97530000,904016000,-760224000,1298000,144783000,144783000,242313000,-15949000,3284000,902000,-1611000,-13374000,-815000,2742000,1911000,112000,-11351000,-11351000,0,-11351000,-11671000,24736000,-14018000,0.02315,-0.71668,-0.76432,-0.11016,-0.06582,0.87893,1.71754,0.67363,0.10208,-2.60963,-2.60963,3.41433,23.68987,-2.29367,-0.09224,-0.08108,2.53791,1.98061
"15","2013_Q4",18.6203125,"Down",17417000,-16533000,884000,-14798000,-10769000,-3948000,-13914000,-4663000,-4554000,-109000,-18577000,-1485000,-20062000,-74000,-20136000,-20136000,-20136000,-20136000,42457000,42457000,12328000,12328000,36455000,36092000,26735000,9154000,127332000,78010000,19977000,2999000,3129000,13849000,97987000,225319000,30320000,30320000,34327000,23794000,75872000,3145000,1445000,1497000,14634000,90506000,913674000,-780360000,1812000,134813000,134813000,225319000,-20136000,3515000,7771000,-6876000,-15726000,-356000,4769000,9626000,-775000,-6875000,-6875000,196000,-6679000,-10399000,22714000,-17557000,0.05076,-0.79887,-1.15611,-0.14936,-0.08937,0.87192,1.67825,0.67134,0.10081,-3.23164,-3.23164,2.79526,21.6362,-2.81773,-0.12532,-0.10927,1.89855,1.41893
"16","2014_Q1",17.8475409836066,"Down",20419000,-18094000,2325000,-17275000,-13348000,-3845000,-14950000,-4767000,-4757000,-10000,-19717000,365000,-19352000,-419000,-19771000,-19771000,-19771000,-19771000,39243000,39243000,18864000,18864000,33473000,28605000,22469000,6136000,120185000,74626000,21943000,2749000,5354000,13840000,96569000,216754000,31578000,31578000,39411000,29805000,79757000,2631000,1340000,1291000,11879000,91636000,924450000,-800131000,1112000,125118000,125118000,216754000,-19771000,2911000,8755000,3525000,-4580000,-35000,2718000,2662000,-1041000,-2959000,-2959000,-255000,-3214000,-12039000,18016000,-8130000,0.11386,-0.73216,-0.96826,-0.15802,-0.09121,0.41121,1.50689,0.7324,0.08312,-2.87557,-2.87557,2.96982,18.19766,-1.18246,-0.13564,-0.05577,1.76319,1.41987
"17","2014_Q2",14.2920634920635,"Down",23086000,-17987000,5099000,-13936000,-10827000,-3027000,-8837000,-2042000,-2111000,69000,-10879000,456000,-10423000,-90000,-10513000,-10513000,-10513000,-10513000,32608000,32608000,11088000,11088000,30752000,24692000,23868000,824000,99140000,71931000,23122000,2536000,5421000,15165000,95053000,194193000,25481000,25481000,30355000,20031000,67514000,2399000,1234000,1165000,8199000,75713000,928417000,-810644000,1077000,118480000,118480000,194193000,-10513000,2655000,4405000,-5854000,-9307000,-72000,3846000,3774000,-1211000,-6744000,-6744000,109000,-6635000,-6182000,17478000,-12018000,0.22087,-0.38279,-0.45538,-0.08873,-0.05414,1.14316,1.46844,0.63904,0.09,-1.3532,-1.3532,2.97155,15.25035,-1.54692,-0.07598,-0.08686,2.44743,1.71212
"18","2014_Q3",17.1015625,"Up",24181000,-22611000,1570000,-11846000,-8681000,-3083000,-10276000,-4141000,-3506000,-635000,-14417000,135000,-14282000,-340000,-14622000,-14622000,-14622000,-14622000,25867000,25867000,9289000,9289000,24474000,21358000,19337000,2021000,80988000,69584000,21953000,2348000,5421000,14184000,91537000,172525000,22724000,22724000,20711000,11490000,55045000,2558000,1374000,1184000,4622000,59667000,936726000,-825266000,1768000,112858000,112858000,172525000,-14622000,2688000,4875000,1587000,-5472000,-43000,-288000,-331000.000000001,-1055000,-6858000,-6858000,117000,-6741000,-7588000,13674000,-5704000,0.06493,-0.42496,-0.60469,-0.12956,-0.08475,0.3901,1.47131,0.52869,0.07926,-1.79477,-1.79477,2.96809,13.85271,-0.70014,-0.11327,-0.04419,1.60688,1.18655
"19","2014_Q4",10.5503125,"Down",20563000,-15863000,4700000,-11267000,-8233000,-2951000,-6567000,-1975000,-1633000,-342000,-8542000,427000,-8115000,-303000,-8418000,-8418000,-8418000,-8418000,35394000,35394000,8525000,8525000,25167000,20943000,19538000,1405000,90029000,67163000,21179000,2147000,5421000,13611000,88342000,178371000,23503000,23503000,18479000,10023000,57379000,2497000,1318000,1179000,9780000,67159000,943139000,-833684000,2127000,111212000,111212000,178371000,-8418000,2709000,4317000,-2195000,-3587000,-48000,1003000,955000,12016000,9384000,9384000,143000,9527000,-3858000,22680000,-5798000,0.22857,-0.31936,-0.40938,-0.07569,-0.04719,0.68876,1.56902,0.60388,0.12715,-0.96052,-0.96052,2.3463,12.68964,-0.66157,-0.06172,-0.04251,3.29549,1.93604
"20","2015_Q1",7.49081967213115,"Down",2700000,-10981000,-8281000,-4203000,-1476000,-2817000,-12484000,7872000,5368000,2504000,-4612000,-11408000,-16020000,917000,-15103000,-15103000,-15103000,-15103000,43114000,43114000,7556000,7556000,20694000,11917000,9004000,2913000,83281000,64574000,20654000,1995000,7724000,10935000,85228000,168509000,21764000,21764000,19818000,9456000,47822000,2048000,990000,1058000,8428000,56250000,967179000,-856389000,1839000,112259000,112259000,168509000,-15103000,1502000,-10121000,9412000,-14310000,-556000,-2033000,-2589000,-967000,-17866000,-17866000,-909000,-18775000,-10982000,12620000,-3043000,-3.06704,-4.6237,-5.5937,-0.13454,-0.08963,0.20148,1.74148,0.50107,0.07489,-1.63665,-1.63665,0.29259,12.16504,-0.32976,-0.11899,-0.02397,2.77673,2.44265
"21","2015_Q2",6.60396825396825,"Down",23723000,-20503000,3220000,-10736000,-7535000,-3162000,-7516000,-1090000,-318000,-772000,-8606000,59000,-8547000,-574000,-9121000,-9121000,-9121000,-9121000,36624000,36624000,10290000,10290000,19408000,14643000,8544000,6099000,80965000,62516000,17077000,1851000,7724000,7502000,79593000,160558000,19037000,19037000,24914000,14519000,49857000,2778000,1755000,1023000,8239000,58096000,971369000,-869906000,1738000,102462000,102462000,160558000,-9121000,2028000,3516000,542000,-3035000,-190000,126000,-64000,21183000,18084000,18084000,-13000,18071000,-5488000,11367000,-4562000,0.13573,-0.31682,-0.38448,-0.08902,-0.05681,0.50016,1.62394,0.567,0.0708,-0.75312,-0.75312,1.9588,8.46024,-0.37668,-0.07822,-0.03912,4.60222,3.36043
"22","2015_Q3",4.69984375,"Down",19004000,-15992000,3012000,-9815000,-6773000,-3003000,-6803000,-682000,-285000.000000001,-397000,-7485000,663000,-6822000,-876000,-7698000,-7698000,-7698000,-7698000,34679000,34679000,9673000,9673000,24460000,13705000,10280000,3425000,82517000,60388000,12942000,1708000,7724000,3510000,73330000,155847000,34168000,23537000,27156000,17591000,66117000,3860000,2895000,965000,8389000,74506000,976691000,-895328000,749000,81341000,81341000,155847000,-7698000,1981000,387000,598000.000000001,-4732000,-113000,-50999.9999999993,-163999.999999999,-981000,-5877000,-5877000,-112000,-5989000,-4822000,9322000,-3461000,0.15849,-0.35798,-0.405069999999999,-0.09464,-0.04939,0.4496,1.24805,0.91597,0.05982,-0.56624,-0.56624,1.39787,5.98316,-0.25458,-0.08144,-0.03662,5.25861,3.72733
"23","2015_Q4",4.8821875,"Up",25772000,-19263000,6509000,-9822000,-7023000,-2759000,-3313000,-258000,-238000,-20000,-3571000,1419000,-2152000,-806000,-2958000,-2958000,-2958000,-2958000,35983000,35983000,10778000,10778000,26536000,13213000,11705000,1508000,86510000,58257000,12222000,1565000,7724000,2933000,70479000,156989000,35128000,24805000,27023000,15385000,65845000,3801000,2906000,895000,8669000,74514000,984367000,-901681000,560000,82475000,82475000,156989000,-2958000,2041000,-71000,956000,-32000,-455000,3028000,5084000,-1e+06,4052000,4052000,-187000,3865000,-1272000,8562000,35000,0.25256,-0.12855,-0.11478,-0.03587,-0.01884,-0.01183,1.31384,0.90347,0.05454,-0.21848,-0.21848,1.90354,6.09166,0.00259,-0.03119,0.000370000000000002,21.55739,8.27679
"24","2016_Q1",6.6955737704918,"Up",27524000,-18283000,9241000,-10948000,-7530000,-3379000,-1707000,-1464000,-196000,-1268000,-3171000,-56000.0000000002,-3227000,-135000,-3362000,-3362000,-3362000,-3362000,39330000,39330000,19264000,19264000,18512000,6235000,5778000,457000,83341000,49778000,2199000,854000,96000,1249000,51977000,135318000,23156000,23156000,15227000,1.2e+07,41007000,9395000,9269000,63000,10762000,51769000,1011954000,-928184000,660000,83549000,83549000,135318000,-3362000,1922000,2477000,2203000,3240000,-396000,-168000,17000,-1e+06,2257000,2257000,636000,2893000,215000,3991000,2157000,0.33574,-0.06202,-0.12215,-0.04024,-0.02485,-0.64158,2.03236,0.61962,0.02949,-0.24965,-0.24965,2.04381,6.20398,0.16017,-0.03468,0.02225,-164.36744,20.7024
"25","2016_Q2",9.32265625,"Up",13345000,-12482000,863000,-10207000,-7216000,-2952000,-9344000,-9000,-135000,126000,-9353000,-678000,-10031000,-324000,-10355000,-10355000,-10355000,-10355000,35211000,35211000,7039000,7039000,28887000,4527000,4086000,441000,75664000,48318000,2069000,712000,93999.9999999991,1263000,50387000,126051000,24694000,24694000,16657000,12752000,44398000,8464000,8344000,57000,8464000,52862000,1013061000,-938539000,8000,73189000,73189000,126051000,-10355000,1871000,1698000,4726000,-2060000,-266000,-5000,-271000,-1461000,-3792000,-3792000,-327000,-4119000,-7473000,3047000,-2689000,0.06467,-0.70019,-0.77595,-0.14148,-0.08215,0.25968,1.70422,0.72227,0.02417,-0.75717,-0.75717,0.9758,5.35164,-0.19662,-0.12226,-0.03175,4.30403000000001,3.44221
"26","2016_Q3",7.755,"Down",18507000,-16404000,2103000,-9253000,-6347000,-2867000,-7150000,-627000,-108000,-519000,-7777000,1245000,-6532000,-793000,-7325000,-7325000,-7325000,-7325000,25262000,25262000,12130000,12130000,26448000,3299000,2847000,452000,67139000,46677000,1937000,571000,96000,1270000,48614000,115753000,18581000,18581000,20001000,17341000,40671000,8379000,8262000,54000,8379000,49050000,1013819000,-945864000,119000,66703000,66703000,115753000,-7325000,1864000,54000,-3445000,-8852000,-78000,-19000.0000000001,-97000,-1029000,-9978000,-9978000,29000,-9949000,-5286000,2089000,-8016000,0.11363,-0.38634,-0.3958,-0.10982,-0.06328,1.09433,1.65078,0.73535,0.01805,-0.53199,-0.53199,1.34411,4.84443,-0.58218,-0.09492,-0.10387,4.38384,3.24098
"27","2016_Q4",7.48936507936508,"Down",27148000,-22106000,5042000,-9102000,-6077000,-2985000,-4060000,786000,-88000,874000,-3274000,425000,-2849000,81000,-2768000,-2768000,-2768000,-2768000,25063000,25063000,15863000,15863000,19442000,3892000,3097000,795000,64260000,45114000,867000,436000,115000,316000,45981000,110241000,18354000,18354000,18557000,15997000,38364000,8084000,7974000,47000,8084000,46448000,1014508000,-948632000,-712000,63793000,63793000,110241000,-2768000,1871000,-214000,1488000,377000,-198000,598000,725000,-1167000,-65000,-65000,-134000,-199000,-2189000,1453000,-980000,0.18572,-0.14955,-0.10196,-0.04339,-0.02511,0.35405,1.67501,0.7281,0.01318,-0.2007,-0.2007,1.96839,4.62536,-0.07106,-0.03775,-0.01336,10.78575,5.81527
"28","2017_Q1",6.72935483870968,"Down",16195000,-13360000,2835000,-9823000,-6048000,-3736000,-6988000,-468000,-52000,-416000,-7456000,637000,-6819000,-106000,-6925000,-6925000,-6925000,-6925000,26784000,26784000,7956000,7956000,17462000,3498000,2703000,795000,55700000,43438000,1106000,301000,407000,398000,44544000,100244000,14490000,14490000,16246000,14323000,32217000,7801000,7631000,45000,7801000,40018000,1017657000,-955557000,-503000,60226000,60226000,100244000,-6925000,1913000,556000,3776000,-680000,-85000,-80000,-165000,2527000,1682000,1682000,39000,1721000,-5075000,1481000,-1278000,0.17505,-0.43149,-0.4276,-0.11498,-0.06908,0.18455,1.7289,0.66446,0.01477,-0.49539,-0.49539,1.15852,4.30832,-0.09142,-0.09963,-0.01839,4.98581,3.62092
"29","2017_Q2",5.08,"Down",8923000,-13409000,-4486000,-8868000,-6138000,-2717000,-13354000,-1384000,-10000,-1374000,-14738000,-414000,-15152000,-1e+05,-15252000,-15252000,-15252000,-15252000,37477000,37477000,7752000,7752000,15639000,3403000,3303000,1e+05,64271000,39282000,1050000,192000,426000,432000,40332000,104603000,14020000,14020000,18683000,17685000,32703000,8583000,8249000,209000,8583000,41286000,1035454000,-970809000,317000,63317000,63317000,104603000,-15252000,4345000,816000,4661000,-5430000,-66000,-23000,-89000,15105000,9586000,9586000,412000,9998000,-9009000,0,-4314000,-0.50275,-1.49658,-1.70929,-0.24088,-0.14581,0.28285,1.96529,0.65205,0,-0.90905,-0.90905,0.53183,3.77381,-0.25712,-0.21213,-0.06,4.15995,2.80643
