"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",23.7687096774194,"Up",195900000,-129600000,66300000,-18900000,-16500000,-2400000,47400000,-3e+05,-7e+05,4e+05,47100000,2e+06,49100000,-16700000,1300000,33700000,27700000,27700000,27700000,117800000,117800000,106200000,106200000,119100000,19500000,3800000,362600000,402700000,48200000,6200000,28400000,509800000,872400000,123600000,48200000,75400000,7400000,1.31e+08,1.59e+08,96700000,41200000,2.9e+07,26500000,255700000,386700000,37700000,471600000,-23300000,485700000,485700000,872400000,33700000,27700000,9400000,5300000,2500000,50400000,-6400000,-6400000,2800000,-3700000,-4600000,-8700000,-4300000,-4300000,-17600000,29100000,29100000,5e+05,29600000,56800000,166400000,69600000,0.33844,0.24196,0.1414,0.05703,0.03175,2.51264,2.76794,0.79617,0.19074,0.9036,0.89203,6.39047,15.84407,2.27043,0.15006,0.04314,0.09295,0.16606,0.85563,1.02532
"12","2013_Q1",25.9843333333333,"Up",194700000,-129400000,65300000,-26400000,-23700000,-2700000,38900000,4e+05,-8e+05,1200000,39300000,6e+05,39900000,-11900000,1800000,29800000,16500000,16500000,16500000,151200000,151200000,95400000,95400000,111600000,23800000,10300000,3.82e+08,401400000,42100000,4e+05,25500000,504700000,886700000,122700000,45600000,75800000,4200000,126900000,151800000,96200000,41500000,28400000,26300000,2.48e+08,374900000,44100000,483400000,-15400000,511800000,511800000,886700000,29800000,16500000,9800000,4500000,5800000,49200000,-6800000,-6800000,1100000,-5700000,-4700000,-11500000,2700000,0,-12200000,31300000,31300000,2100000,33400000,48700000,1.56e+08,59600000,0.33539,0.19979,0.08475,0.03224,0.01861,3.61212,3.01024,0.73251,0.17593,0.53829,0.53206,6.35183,16.69679,1.94437,0.15333,0.02775,0.07801,0.28485,0.09856,0.12339
"13","2013_Q2",29.73890625,"Up",194500000,-131800000,62700000,-19400000,-15600000,-3800000,43300000,6e+05,-7e+05,1300000,43900000,-1600000,42300000,-12400000,8e+05,30700000,30100000,30100000,30100000,181100000,181100000,101700000,101700000,112200000,2.8e+07,16800000,4.23e+08,381100000,39100000,5800000,24900000,482100000,905100000,125700000,43300000,75400000,4600000,130300000,157300000,94800000,4e+07,29500000,25300000,252100000,382400000,4.3e+07,504100000,-24400000,522700000,522700000,905100000,30700000,30100000,8500000,4200000,-3400000,41300000,-5600000,-5600000,-3e+06,-8600000,-9400000,7500000,-1400000,-1700000,-2800000,29900000,29900000,0,29900000,51800000,161900000,55200000,0.32237,0.22262,0.15476,0.05759,0.03326,1.83389,3.24635,0.73159,0.17888,0.97267,0.96757,6.28522,16.89093,1.78378,0.30376,0.05068,0.07082,0.31229,-0.37066,-0.44342
"14","2013_Q3",38.14125,"Up",196500000,-131600000,64900000,-22100000,-18400000,-3700000,42800000,5e+05,-7e+05,1200000,43300000,-7e+05,42600000,-13800000,6e+05,29400000,26600000,26600000,26600000,212700000,212700000,96700000,96700000,112300000,24400000,1e+07,446100000,374500000,39500000,5900000,25800000,472900000,9.19e+08,122400000,47600000,74800000,3300000,125700000,161200000,102600000,40200000,33300000,29100000,263800000,389500000,43800000,521300000,-35600000,529500000,529500000,9.19e+08,29400000,26600000,9600000,9500000,-7800000,40500000,-3600000,-3600000,2300000,-1300000,-9400000,1900000,0,-4.65661287307739e-10,-7500000,31700000,31700000,-1e+05,31600000,52400000,164500000,54800000,0.33028,0.21781,0.13537,0.05024,0.02894,2.06015,3.54893,0.7356,0.179,0.85538,0.85094,6.31888,17.0272,1.76221,0.30228,0.04519,0.06879,0.35338,-0.91985,-1.12617
"15","2013_Q4",37.5734375,"Down",185300000,-122100000,63200000,-20800000,-17200000,-3600000,42400000,-1e+05,-6e+05,5e+05,42300000,-6e+05,41700000,-13800000,1700000,29600000,29100000,29100000,29100000,222500000,222500000,100700000,100700000,1.11e+08,21900000,8100000,456100000,384600000,38400000,6e+06,25400000,484700000,940800000,117500000,35800000,81700000,4600000,122100000,146600000,105100000,38400000,37100000,29600000,251700000,373800000,4.5e+07,540900000,-18900000,5.67e+08,5.67e+08,940800000,29600000,29100000,8900000,6800000,-4800000,41300000,-1.1e+07,-1.1e+07,8e+05,-10200000,-9500000,-15100000,0,0,-24600000,6500000,6500000,3300000,9800000,51300000,151200000,49300000,0.34107,0.22882,0.15704,0.05132,0.03093,1.69416,3.73546,0.65926,0.16071,0.93618,0.9303,5.96132,18.24107,1.58604,0.30563,0.04688,0.05988,0.32646,-1.38986,-1.6816
"16","2014_Q1",31.2444262295082,"Down",196500000,-134600000,61900000,-24200000,-2e+07,-4200000,37700000,1800000,-9e+05,2700000,39500000,-38400000,1100000,-1.3e+07,7e+05,-11200000,-9699999.99999999,-9699999.99999999,-9699999.99999999,2.72e+08,2.72e+08,107600000,107600000,132800000,24700000,4700000,537100000,393200000,233400000,80700000,31600000,689700000,1226800000,142100000,49400000,92700000,4200000,146300000,381200000,137900000,28700000,80900000,28300000,519100000,665400000,46400000,5.2e+08,-5e+06,561400000,561400000,1226800000,-11200000,-9699999.99999999,10300000,38700000,16800000,5.5e+07,-8900000,-8900000,5e+06,-233600000,-11200000,233200000,199999.999999996,1.86264514923096e-09,222200000,43600000,43600000,5900000,49500000,4.8e+07,385400000,68900000,0.31501,0.19186,-0.04936,-0.01728,-0.00791,-7.10309,3.67122,1.18525,0.31415,-0.3119,-0.30986,6.31829,18.05133,2.21542,0.36013,0.00138,0.06352,-1.15464,2.3625,3.00796
"17","2014_Q2",29.0220634920635,"Down",204700000,-147100000,57600000,-24400000,-20300000,-4100000,33200000,-7e+05,-1500000,8e+05,32500000,-1e+05,32400000,-9800000,6e+05,23200000,23200000,23200000,23200000,277900000,277900000,126900000,126900000,131200000,2.4e+07,6200000,5.6e+08,391800000,230700000,8e+07,29400000,687700000,1247700000,134900000,48600000,86300000,8200000,143100000,439400000,138900000,28900000,82700000,27300000,578300000,721400000,4.8e+07,479900000,-1600000,526300000,526300000,1247700000,23200000,23200000,13100000,2e+06,-19700000,18300000,-8100000,-8100000,2200000,-11600000,-11100000,62400000,-52300000,-52300000,-4e+05,6300000,6300000,-4e+05,5900000,46300000,447600000,28300000,0.28139,0.16219,0.11334,0.04408,0.01859,1.21983,3.91335,1.3707,0.35874,0.75654,0.75378,6.67517,17.16239,0.92285,0.36197,0.03082,0.02543,0.47845,3.66523,5.11145
"18","2014_Q3",29.67796875,"Up",203600000,-144400000,59200000,-25500000,-21300000,-4200000,33700000,7e+05,-2100000,2800000,34400000,-3200000,31200000,-6500000,3e+05,2.5e+07,2.5e+07,2.5e+07,2.5e+07,291400000,291400000,124200000,124200000,130400000,29200000,5700000,575200000,389700000,232200000,79200000,3.2e+07,688700000,1263900000,131400000,5e+07,81400000,4200000,135600000,444900000,138300000,28900000,83100000,26300000,583200000,718800000,49900000,493700000,1500000,545100000,545100000,1263900000,2.5e+07,2.5e+07,10500000,6800000,-4400000,39100000,-7e+06,-7e+06,-3900000,-16400000,-10900000,1599999.99999999,-299999.999999985,-3e+05,-9599999.99999997,13100000,13100000,4e+05,13500000,44200000,449100000,39300000,0.29077,0.16552,0.12279,0.04586,0.01978,1.572,4.24189,1.31866,0.35533,0.83066,0.82752,6.76491,18.11174,1.3058,0.36217,0.0317,0.0347,0.436,3.56787,4.67953
"19","2014_Q4",29.17625,"Down",204300000,-151400000,52900000,-24400000,-20800000,-3600000,28500000,9e+05,-1800000,2700000,29400000,-3300000,26100000,-2300000,-7e+05,23100000,2.3e+07,2.3e+07,2.3e+07,2.86e+08,2.86e+08,130800000,130800000,112300000,33200000,5800000,562300000,369600000,229800000,78400000,30700000,666300000,1228600000,127500000,46800000,80700000,8900000,136400000,437900000,133400000,27200000,80700000,25500000,571300000,707700000,51300000,505700000,-36100000,520900000,520900000,1228600000,23100000,2.3e+07,11300000,3700000,-3500000,34400000,-11100000,-11100000,4700000,-6300000,-1.1e+07,-6e+05,1e+05,1e+05,-11500000,16600000,16600000,-2.2e+07,-5400000,39800000,446800000,27500000,0.25893,0.1395,0.11258,0.04415,0.01872,1.19565,4.12243,1.35861,0.36367,0.76416,0.76095,6.78776,17.30663,0.91367,0.36547,0.03088,0.02498,0.47826,4.0402,5.64211
"20","2015_Q1",30.6909836065574,"Up",181700000,-132600000,49100000,-25300000,-21500000,-3800000,23800000,1200000,-1800000,3e+06,2.5e+07,-6500000,18500000,-1900000,1800000,18400000,18500000,18500000,18500000,290300000,290300000,93900000,93900000,108400000,26800000,6100000,519400000,3.62e+08,235800000,89300000,20400000,665600000,1.185e+09,121200000,44800000,76400000,2300000,123500000,435600000,136900000,34100000,71400000,31400000,572500000,6.96e+08,52800000,512700000,-76500000,4.89e+08,4.89e+08,1.185e+09,18400000,18500000,10200000,5e+05,46200000,74100000,-8900000,-8900000,-1e+06,-40200000,-11500000,-6100000,-1.86264514923096e-09,0,-17600000,16300000,16300000,-1.2e+07,4300000,3.4e+07,437900000,73200000,0.27023,0.13099,0.10182,0.03783,0.01561,3.95676,4.20567,1.42331,0.36954,0.6148,0.61235,6.03829,16.25054,2.4326,0.38217,0.0282,0.06881,0.62162,4.34118,6.20168
"21","2015_Q2",30.3174603174603,"Down",1.88e+08,-136600000,51400000,-24900000,-21600000,-3300000,26500000,4e+05,-1700000,2100000,26900000,-4e+06,22900000,-5500000,1400000,18800000,18800000,18800000,18800000,267300000,267300000,114800000,114800000,100200000,24400000,9100000,506700000,3.25e+08,233400000,87700000,21200000,627400000,1134100000,121200000,42900000,78300000,3200000,124400000,439600000,135400000,3.3e+07,66400000,3.6e+07,5.75e+08,699400000,53600000,5.17e+08,-135900000,434700000,434700000,1134100000,18800000,18800000,9700000,2600000,-19900000,11200000,-5200000,-5200000,1300000,-3900000,-11600000,12500000,-2900000,-2900000,-1600000,5700000,5700000,-28700000,-2.3e+07,36200000,442800000,16600000,0.2734,0.14096,0.1,0.04325,0.01658,0.88298,4.07315,1.60893,0.39044,0.62296,0.6206,6.22964,14.40439,0.55006,0.38438,0.03001,0.01639,0.61702,4.84807,6.62264
"22","2015_Q3",26.32328125,"Down",181900000,-127100000,54800000,-25600000,-21900000,-3700000,29200000,4200000,-1900000,6100000,33400000,-5200000,28200000,-6500000,2800000,24500000,23400000,23400000,23400000,257700000,257700000,106700000,106700000,106100000,23700000,6500000,494200000,318700000,233700000,87100000,21300000,620600000,1114800000,116400000,37200000,76500000,3200000,119600000,394900000,136200000,36100000,67300000,32800000,531100000,650700000,54900000,528900000,-119700000,464100000,464100000,1114800000,24500000,23400000,9800000,1100000,8800000,44500000,-3900000,-3900000,6e+05,-3700000.00000001,-11500000,-46800000,-9.31322574615479e-10,4.65661287307739e-10,-58200000,-17400000,-17400000,7800000,-9600000.00000001,3.9e+07,398100000,50400000,0.30126,0.16053,0.12864,0.05042,0.02099,2.15385,4.13211,1.40207,0.3571,0.77293,0.76981,6.0084,15.32983,1.66478,0.37986,0.03496,0.05048,0.49145,3.6,4.80822
"23","2015_Q4",29.1646875,"Up",184400000,-1.32e+08,52400000,-19300000,-15800000,-3500000,33100000,-4e+05,-1700000,1300000,32700000,-1300000,31400000,-5900000,1e+05,25600000,25800000,25800000,25800000,268500000,268500000,119100000,119100000,102400000,20900000,5600000,510900000,313400000,229300000,85600000,19200000,6.09e+08,1119900000,118900000,39900000,77800000,3100000,1.22e+08,3.97e+08,140900000,38100000,68300000,34500000,537900000,659900000,55100000,543100000,-138200000,4.6e+08,4.6e+08,1119900000,25600000,25800000,9500000,6e+05,-11400000,24500000,-4900000,-4900000,3e+05,-4600000,-11600000,1900000,0,0,-9700000,10200000,10200000,6e+05,10800000,42600000,400100000,32200000,0.28416,0.1795,0.13991,0.05609,0.02304,1.24806,4.1877,1.43457,0.35726,0.85218,0.84844,6.09075,15.19385,1.06357,0.38315,0.03736,0.03217,0.44961,3.0892,3.97583
"24","2016_Q1",26.3691803278689,"Down",209800000,-1.44e+08,65800000,-3.7e+07,-33500000,-3500000,28800000,-1700000,-4400000,2700000,27100000,-4100000,2.3e+07,-3700000,2300000,21600000,21700000,21700000,21700000,186500000,186500000,119400000,119400000,112400000,26500000,4600000,444800000,308100000,469600000,213900000,22300000,845200000,1.29e+09,139800000,4.9e+07,85500000,3300000,143100000,568200000,110800000,33500000,45300000,3.2e+07,6.79e+08,822100000,56700000,552600000,-141400000,467900000,467900000,1.29e+09,21600000,21700000,1.2e+07,-4e+06,35300000,64500000,-10200000,-10200000,-11100000,-301500000,-12200000,181500000,1.16415321826935e-10,-1.16415321826935e-10,161900000,-75100000,-75100000,-6900000,-8.2e+07,40800000,571500000,69600000,0.31363,0.13727,0.10343,0.04638,0.01682,3.20737,3.10832,1.757,0.44302,0.7167,0.71385,6.92921,15.45367,2.29873,0.40294,0.02947,0.06051,0.56221,9.43627,13.36806
"25","2016_Q2",25.190625,"Down",214600000,-151100000,63500000,-30100000,-25800000,-4300000,33400000,-2300000,-4600000,2300000,31100000,-1800000,29300000,-8100000,-1e+05,21100000,21100000,21100000,21100000,200200000,200200000,137400000,137400000,1.11e+08,28500000,6200000,477100000,312700000,473100000,210600000,24800000,852900000,1.33e+09,1.33e+08,45200000,76100000,3500000,136500000,578800000,111900000,36200000,46900000,28800000,690700000,827200000,57900000,560900000,-1.16e+08,502800000,502800000,1.33e+09,21100000,21100000,10800000,-3e+05,-13900000,17600000,-4500000,-4500000,-1e+06,-5500000,-12200000,7400000,-6e+05,-6e+05,-5600000,6500000,6500000,7200000,13700000,44200000,582300000,33900000,0.2959,0.15564,0.09832,0.04196,0.01586,1.60664,3.49524,1.64519,0.43782,0.69649,0.69356,7.0837,16.59685,1.119,0.40271,0.02782,0.02832,0.5782,8.6448,11.44012
