"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2014_Q3",11.83171875,"Up",51087000,-13161000,37926000,-39406000,-29864000,-9336000,-206000,-1480000,45000,45000,-1435000,-1435000,223000,-1212000,-1212000,-1212000,-1212000,71234000,71234000,33877000,33877000,14159000,10055000,119270000,17329000,60746000,12533000,35783000,7397000,5033000,78075000,197345000,34395000,8143000,26252000,7317000,7317000,41712000,891000,891000,891000,42603000,241932000,-87285000,95000,154742000,154742000,197345000,-1212000,2234000,4408000,-5577000,-147000,-2866000,-5193000,-3378000,944000,-3378000,-8718000,-8718000,579000,-8139000,754000,0,-7912000,0.74238,-0.02897,-0.02372,-0.00783,-0.00614,6.52805,2.85937,0.27532,4.03896783473158e-28,-0.02209,-0.02209,0.9311,2.82031,-0.1442,-0.00779,-0.05084,-94.4747999999999,48.13108
"17","2014_Q4",13.69046875,"Up",52787000,-13304000,39483000,-39884000,-29765000,-9712000,-407000,-401000,222000,222000,-179000,-179000,-961000,-1140000,-1140000,-1140000,-1140000,87111000,87111000,32386000,32386000,12248000,9620000,131745000,18763000,61209000,14020000,35783000,9064000,2342000,79972000,211717000,38684000,8932000,29752000,14022000,14022000,52706000,768000,768000,768000,53474000,246961000,-88425000,-292000,158243000,158243000,211717000,-1140000,2344000,4690000,12183000,18077000,-2322000,-2599000,1370000,2187000,870000,16348000,16348000,-471000,15877000,1943000,0,12765000,0.74797,-0.0076,-0.0216,-0.0072,-0.00538,-11.19737,2.49962,0.33792,0,-0.02144,-0.02144,0.99257,2.9755,0.24002,-0.00717,0.08028,-44.83325,217.23441
"18","2015_Q1",11.2603278688525,"Down",58229000,-14503000,43726000,-46070000,-35922000,-9330000,-818000,-2344000,-506000,-506000,-2850000,-2850000,-1352000,-4202000,-4202000,-4202000,-4202000,49372000,49372000,31382000,31382000,12949000,10374000,93703000,19583000,126531000,32620000,80848000,10762000,2301000,146114000,239817000,46757000,8985000,37772000,11992000,11992000,58749000,731000,731000,731000,59480000,274103000,-92627000,-1138000,180337000,180337000,239817000,-4202000,2512000,4455000,-2023000,742000,-3945000,-42364000,3205000,3205000,4369000,-37253000,-37253000,-486000,-37739000,168000,0,-4448000,0.75093,-0.04025,-0.07216,-0.0233,-0.01752,1.05854,1.59497,0.32983,-6.46234853557053e-27,-0.07612,-0.07612,1.05488,3.26701,-0.0805799999999999,-0.02321,-0.02457,-293.88095,21.06314
"19","2015_Q2",9.69698412698413,"Down",59770000,-16254000,43516000,-45571000,-34458000,-9800000,-1313000,-2055000,-231000,-231000,-2286000,-2286000,228000,-2058000,-2058000,-2058000,-2058000,40836000,40836000,35588000,35588000,14155000,12919000,90579000,20973000,124536000,30629000,80310000,11281000,2316000,145509000,236088000,44099000,12568000,31531000,10216000,10216000,54315000,724000,724000,724000,55039000,277859000,-94682000,-2127000,181049000,181049000,236088000,-2058000,2578000,6169000,-14269000,-7580000,-1783000,-1783000,226000,2284000,977000,-8386000,-8386000,-150000,-8536000,523000,0,-15757000,0.72806,-0.03438,-0.03443,-0.01137,-0.00872,7.65646,1.66766,0.304,0,-0.03656,-0.03656,1.0618,3.21628,-0.27992,-0.01132,-0.08669,-78.08031,19.87153
"20","2015_Q3",9.02359375,"Down",59334000,-18053000,41281000,-45974000,-34688000,-10109000,-1177000,-4693000,229000,229000,-4464000,-7452000,2098000,-5354000,-5354000,-5354000,-5354000,37039000,37039000,32257000,32257000,21901000,14632000,91197000,22921000,124084000,28762000,80358000,12647000,2317000,147005000,238202000,43894000,11385000,32509000,12345000,12345000,56239000,739000,739000,739000,56978000,281331000,-100039000,-67000.0000000002,181224000,181224000,238202000,-5354000,3082000,3829000,6353000,7910000,-6659000,-12273000,345000,821000,351000,-4012000,-4012000,215000,-3797000,-1611000,-5.55111512312578e-17,-4015000,0.69574,-0.07909,-0.09023,-0.02954,-0.02248,0.749909999999999,1.6216,0.31441,0,-0.09477,-0.09477,1.05029,3.2079,-0.07107,-0.02942,-0.02206,22.99131,7.89239
"21","2015_Q4",7.58953125,"Down",60757000,-18224000,42533000,-40634000,-29874000,-9567000,-1193000,1899000,-369000,-369000,1530000,1530000,395000,1925000,1925000,1925000,1925000,40844000,40844000,32443000,32443000,19408000,11333000,92695000,22305000,122236000,26809000,80387000,12824000,2216000,144541000,237236000,43671000,6769000,36902000,10296000,10296000,53967000,589000,589000,589000,54556000,283236000,-98114000,-2441000,182680000,182680000,237236000,1925000,2939000,6294000,-623000,10535000,-2605000,-2541000,-1015000,653000,-3342000,4652000,4652000,-847000,3805000,4838000,0,1215000,0.70005,0.03126,0.03168,0.01054,0.00811,0.63117,1.71762,0.29864,0,0.03405,0.03405,1.07483,3.23172,0.02149,0.0105,0.00663,-8.44233,-21.50816
"22","2016_Q1",5.48770491803279,"Down",59151000,-17779000,41372000,-43567000,-32879000,-9498000,-1190000,-2195000,169000,169000,-2026000,-2422000,-18535000,-20957000,-20957000,-20957000,-20957000,48803000,48803000,30388000,30388000,15191000,9327000,94382000,24129000,107683000,24619000,80322000,785000,1957000,131812000,226194000,41398000,7102000,34296000,13862000,13862000,55260000,5629000,3270000,5629000,60889000,286913000,-119071000,-2536000,165305000,165305000,226194000,-20957000,3515000,16699000,11709000,10966000,-1933000,-1942000,643000,643000,127000,9151000,9151000,-1192000,7959000,1320000,0,29631000,0.69943,-0.03711,-0.3543,-0.12678,-0.09265,-1.4139,1.70796,0.36834,1.65436122510606e-24,-0.37093,-0.37093,1.04696,2.92585,0.52446,-0.1226,0.17335,-36.97197,22.23371
"23","2016_Q2",6.37265625,"Up",55464000,-15864000,39600000,-42343000,-32205000,-9214000,-924000,-2743000,634000,634000,-2109000,-2109000,-554000,-2663000,-2663000,-2663000,-2663000,44556000,44556000,30209000,30209000,16395000,11999000,91160000,24841000,106555000,23034000,80409000,994000,2118000,131396000,222556000,33165000,7188000,25977000,21893000,21893000,55058000,6736000,3151000,6736000,61794000,286265000,-121734000,-3768000,160762000,160762000,222556000,-2663000,3167000,4144000,-2498000,2150000,-4529000,-3089000,-2969000,235000,-2969000,-3908000,-3908000,-339000,-4247000,424000,0,-6049000,0.71398,-0.04946,-0.04801,-0.01656,-0.01197,2.2715,1.65571,0.38438,0,-0.04723,-0.04723,0.98365,2.8511,-0.10728,-0.0159,-0.03611,-105.08491,16.24353
"24","2016_Q3",7.595,"Up",56680000,-17508000,39172000,-44985000,-33249000,-10719000,-1017000,-5813000,-646000,-646000,-6459000,-6459000,-1307000,-7766000,-7766000,-7766000,-7766000,52326000,52326000,28649000,28649000,15907000,11946000,96882000,23221000,105385000,21550000,80360000,1096000,2379000,128606000,225488000,35442000,6233000,29209000,29454000,29454000,64896000,6773000,3145000,6773000,71669000,288355000,-129500000,-5034000,153819000,153819000,225488000,-7766000,3627000,5387000,11364000,12612000,-2117000,-2109000,-947000,420000,-947000,9556000,9556000,-1786000,7770000,-2186000,7.105427357601e-15,8368000,0.69111,-0.10256,-0.13701,-0.05049,-0.03444,-1.07752,1.49288,0.46593,0,-0.13877,-0.13877,1.01281,2.74857,0.14953,-0.04836,0.05211,23.93687,9.00155
"25","2016_Q4",8.24047619047619,"Up",54518000,-14838000,39680000,-42643000,-32135000,-9495000,-1013000,-2963000,-123000,-123000,-3086000,-2702000,-3177000,-5879000,-5879000,-5879000,-5879000,51405000,51405000,29488000,29488000,14813000,10847000,95706000,24111000,103894000,20012000,80381000,1076000,2425000,128005000,223711000,38369000,5768000,32601000,26454000,26454000,64823000,7490000,3254000,7490000,72313000,289965000,-135379000,-3186000,151398000,151398000,223711000,-5879000,2651000,4517000,499000,1788000,-2605000,-3021000,-1019000,183000,-1019000,-2252000,-2252000,1331000,-921000,-312000,0,759000,0.72783,-0.05435,-0.10784,-0.03883,-0.02628,-0.1291,1.47642,0.47764,0,-0.1049,-0.1049,0.97273,2.7013,0.01354,-0.037,0.00478,164.75962,17.34897
"26","2017_Q1",7.125,"Down",56117000,-14951000,41166000,-46687000,-34986000,-10770000,-931000,-5521000,-395000,-395000,-5916000,-8669000,-896000,-9565000,-9565000,-9565000,-9565000,50889000,50889000,31823000,31823000,9439000,5477000,92151000,28397000,99090000,16510000,80245000,773000,1562000,127487000,219638000,47538000,7288000,40250000,27145000,27145000,74683000,6479000,3147000,6479000,81162000,289582000,-144944000,-6160000,138476000,138476000,219638000,-9565000,2566000,8464000,6545000,8010000,-3093000,-3233000,-2133000,2061000,-2133000,2644000,2644000,-3160000,-516000.000000002,-2955000,0,1393000,0.73357,-0.09838,-0.17045,-0.06907,-0.04355,-0.14564,1.2339,0.58611,4.2351647362715e-22,-0.17123,-0.17123,1.00461,2.479,0.02494,-0.06599,0.00961000000000001,17.22132,9.21735
"27","2017_Q2",9.14603174603175,"Up",50919000,-13781000,37138000,-41822000,-31392000,-9958000,-472000,-4684000,320000,320000,-4364000,-4604000,-1072000,-5676000,-5676000,-5676000,-5676000,47759000,47759000,28687000,28687000,12039000,8061000,88485000,29057000,97821000,15189000,80278000,792000,1562000,126878000,215363000,38041000,6170000,31871000,33087000,33087000,71128000,6626000,3044000,6626000,77754000,290993000,-150620000,-2762000,137609000,137609000,215363000,-5676000,2793000,3732000,-3951000,-3102000,-2729000,-2844000,-516000,460000,-516000,-6462000,-6462000,3332000,-3130000,-1891000,0,-7499000,0.72935,-0.09199,-0.11147,-0.04125,-0.02636,1.32118,1.24402,0.56504,0,-0.1014,-0.1014,0.90967,2.4584,-0.13397,-0.03935,-0.05199,25.25595,10.1962
"28","2017_Q3",12.7960317460317,"Up",54074000,-15134000,38940000,-43627000,-33830000,-9327000,-470000,-4687000,-99000,-99000,-4786000,-6861000,-672000,-7533000,-7533000,-7533000,-7533000,54365000,54365000,24854000,24854000,13101000,9344000,92320000,29690000,96753000,13951000,80423000,786000,1593000,126443000,218763000,40429000,3448000,36981000,36621000,36621000,77050000,6783000,2951000,6783000,83833000,294628000,-158153000,-1542000,134930000,134930000,218763000,-7533000,3045000,4250000,8704000,8466000,-4282000,-4201000,1323000,2128000,1323000,5588000,5588000,1018000,6606000,-1642000,0,3452000,0.72012,-0.08668,-0.13931,-0.05583,-0.03443,-0.458249999999999,1.19818,0.62131,0,-0.13463,-0.13463,0.9664,2.41144,0.06169,-0.05316,0.02436,33.10901,11.5991
"29","2017_Q4",12.4814285714286,"Down",56493000,-14541000,41952000,-42197000,-32001000,-9726000,-470000,-245000,191000,191000,-54000,-54000,-1256000,-1310000,-1310000,-1310000,-1310000,54361000,54361000,32180000,32180000,9185000,7734000,95726000,32183000,95659000,12974000,80499000,699000,1487000,127842000,223568000,40650000,3443000,37207000,35694000,35694000,76344000,6827000,2745000,6827000,83171000,301673000,-159414000,-1859000,140397000,140397000,223568000,-1310000,3179000,4150000,-7865000,-1846000,-5165000,-2965000,5200000,5160000,5200000,389000,389000,-393000,-4000,2934000,0,-8840000,0.74261,-0.00434,-0.02319,-0.00933,-0.00586,6.74809,1.25388,0.5924,0,-0.02317,-0.02317,0.99933,2.48353,-0.15637,-0.0089,-0.06004,-18.52795,221.88163
"30","2018_Q1",13.3409836065574,"Up",57390000,-14749000,42641000,-48257000,-36806000,-11023000,-428000,-5616000,-276000,-276000,-5892000,-6171000,2499000,-3672000,-3672000,-3672000,-3672000,56115000,56115000,37926000,37926000,8803000,7352000,102844000,34705000,95250000,12366000,80531000,753000,1600000,129955000,232799000,53492000,5481000,48011000,35563000,35563000,89055000,3681000,2766000,3681000,92736000,305736000,-163135000,-2535000,140063000,140063000,232799000,-3672000,3341000,826000,6277000,6772000,-5214000,-5310000,1202000,1203000,1202000,2664000,2664000,-910000,1754000,-2275000,2.91038304567337e-11,-3711000,0.743,-0.09786,-0.06398,-0.02622,-0.01577,1.01062,1.15484,0.6621,5.42101086242752e-20,-0.06445,-0.06445,1.00734,2.45846,-0.06514,-0.02555,-0.02582,24.66593,9.99198999999993
