"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",13.306875,"Up",12581986,-10344137,-1643656,-6258623,-2426446,1824963,1824963,1761487,-739000,1022487,1022487,1022487,1022487,2316752,2316752,10520413,10520413,1282828,744327,14119993,122240578,299120880,-176880302,124311184,138431177,7782921,7082555,9062547,32481335,27638907,4842428,45981335,55043882,2478113,-5918820,86828002,83387295,83387295,138431177,1022487,6258623,621584,373882,8276576,-4984938,-5017530,-583187,-954757,-390713,-390713,-1928657,1330389,1330389,1330389,8083586,13500000,4211530,0.14505,0.08127,0.01226,0.00739,4.11891,1.55806,0.6601,0.09752,0.06117,0.06117,0.75269,4.98848,0.25195,0.03489,0.01241,0.03255,0.57036,1.38345,6.12793
"12","2013_Q4",14.1265625,"Up",17730445,-9938975,-1585285,-5192544,-3135498,7330568,7330568,7323168,-2253000,5070168,5070168,5070168,5070168,1381705,1381705,12234870,12234870,1616085,745207,15232660,125430128,307349606,-181919478,127563513,142796173,7626154,6648091,7626154,34294621,29293907,5000714,47859858,55486012,2620143,-6626113,91316131,87310161,87310161,142796173,5070168,5192544,1981776,-3486093,8758395,-7856412,-8469347,-582039,65237.0000000005,-707293,-707293,-1224095,-935047,-935047,-935047,12523112,13565237,3433607,0.41345,0.28596,0.05807,0.03551,0.67722,1.99742,0.6355,0.095,0.30352,0.30352,1.06141,5.2267,0.20555,0.03484,0.04182,0.0254,0.1148,0.97288,1.66202
"13","2014_Q1",17.305737704918,"Up",18396254,-8496272,-1674971,-4855581,-2016752,9242483,9084925,8780096,-3061000,5719096,5719096,5719096,5719096,2867171,2867171,13720761,13720761,1217247,792049,17805179,127918127,314559418,-186641291,130033251,147838430,10173491,8409634,10300591,36376623,31226907,5149716,44638879,54939470,2728362,-6283851,96454449,92898960,92898960,147838430,5719096,4855581,2561854,72364,13208895,-6189426,-5839670,-580778,-5302981,0,1.16415321826935e-10,-5883759,1485466,1485466,1485466,14098064,8262256,11042002,0.50241,0.31088,0.06156,0.03868,1.93073,1.72856,0.59139,0.05589,0.34267,0.34267,1.10224,5.5662,0.6616,0.0348,0.0458,0.08028,0.10155,0.38268,0.58373
"14","2014_Q2",22.544126984127,"Up",18396756,-10457883,-1873167,-5308019,-3237942,7367309,7367309,7164318,-2238000,4926318,4926318,4926318,4926318,294961,294961,14677736,14677736,874317,874317,15847014,132275187,324095384,-191820197,134378710,150225724,10211820,7168398,10762692,36943943,31595907,5348036,42943943,53706635,2596827,-6130233,100052495,96519089,96519089,150225724,4926318,5308019,668675,983335,11886347,-9892262,-11425639,-664618,-2262256,-122044,-122044,-3032918,-2572210,-2572210,-2572210,12675328,6e+06,6004401,0.40047,0.26778,0.05104,0.03279,1.21884,1.4724,0.55644,0.03994,0.29481,0.29481,1.10095,5.77615,0.35933,0.03977,0.04009,0.04305,0.13491,0.45009,0.77437
"15","2014_Q3",27.51015625,"Up",19752045,-10373287,-1651380,-4939834,-3757644,8672725,8672725,8445573,-2791000,5654573,5654573,5654573,5654573,1816400,1816400,17105718,17105718,851905,851905,19774023,134346259,327540969,-193194710,136283478,156057501,8167044,6532367,9502473,38249111,32763907,5485204,44249111,53751584,2731025,-6130233,105705125,102305917,102305917,156057501,5654573,4939834,1778020,-2525422,9847005,-7622726,-7659969,-665597,0,-5.82076609134674e-11,-5.82076609134674e-11,-665597,1521439,1521439,1521439,13612559,6e+06,6255411,0.43908,0.28628,0.05527,0.03623,1.10626,2.08093,0.5254,0.03845,0.33799,0.33799,1.18064,6.11513,0.3739,0.03978,0.04312,0.04268,0.11771,0.30733,0.48239
"16","2014_Q4",18.87953125,"Down",18374977,-10112754,-1825374,-5314777,-2965647,7668282,7627585,7627585,-2505000,5122585,5122585,5122585,5122585,1511057,1511057,15070653,15070653,7581779,4421536,24163489,221226547,419666338,-198439791,223039798,247203287,9143048,8031138,11096239,43252699,37308907,5881654,129105493,140201732,2908139,-6068697,110162113,107001555,107001555,247203287,5122585,5314777,4756125,-488303,14705184,-9086863,-94198724,-665597,79852794,0,0,79188197,-305343,-305343,-305343,12983059,85852794,5912893,0.41732,0.27878,0.04787,0.02072,1.15428,2.17763,1.31028,0.3473,0.30624,0.30624,1.09849,6.39673,0.35348,0.03979,0.02452,0.02504,0.12993,6.49629,10.99878
"17","2015_Q1",18.6893442622951,"Down",27887446,-12393348,-2083262,-6334272,-3959937,14671518,14249919,13583986,-4286000,9297986,9297986,9297986,9297986,509755,509755,16227469,16227469,2631387,980824,19368611,225084293,429815954,-204731661,227271993,246640604,8849474,7034773,9449574,43112728,37363907,5748821,121112728,130562302,3142281,-5858167,118794188,116078302,116078302,246640604,9297986,6334272,1905157,-1353349,16184066,-11918937,-8666663,-665911,-7852794,0,0,-8518705,-1001302,-1001302,-1001302,21005790,7.8e+07,12019504,0.5261,0.33341,0.0801,0.0377,1.2927,2.04968,1.12478,0.31625,0.55539,0.55539,1.66579,6.93365,0.71795,0.03978,0.04201,0.05067,0.07162,3.68899,5.28168
"18","2015_Q2",19.2033333333333,"Up",30999170,-12906167,-1958428,-6139019,-4783368,17470491,17067758,14875761,-4642000,10233761,10233761,10233761,10233761,519605,519605,13555350,13555350,13201570,868534,27276525,230254861,441077980,-210823119,232308281,259584806,10848177,6167740,11613277,44291683,38382907,5908776,123006790,134620067,2871089,-5601276,127694926,124964739,124964739,259584806,10233761,6139019,3694990,-4882281,15185489,-14901631,-15044936,-666199,715107,-120611,-120611,-130702.999999985,9850,9850,9850,23609510,78715107,8467598,0.56358,0.33013,0.08189,0.03942,0.82742,2.34874,1.07726,0.30323,0.61072,0.61072,1.84993,7.4575,0.50532,0.03976,0.04396,0.03415,0.0651,3.31203,4.47585999999999
"19","2015_Q3",15.9778125,"Down",14679034,-12034749,-1850203,-5811590,-4369851,2245128,1835852,627207,77000,704207,704207,704207,704207,586982,586982,9639059,9639059,11417790,927620,21643831,228003019,444599923,-216596904,230040086,251683917,7008370,5094559,8023470,45333333,39646907,5686426,117256922,125280392,3213146,-5208754,128399133,126403525,126403525,251683917,704207,5811590,2959357,2993273,12468427,-4896365,-4982708,-666824,-6791518,-2.91038304567337e-11,-1.45519152283669e-11,-7418342,67377,67377,67377,8056718,71923589,6076626,0.15295,0.04797,0.00557,0.0028,8.62903,2.69756,0.99111,0.28577,0.04196,0.04196,0.87463,7.53159,0.36207,0.03973,0.00563,0.02494,0.94691,8.8543,31.77396
"20","2015_Q4",15.97765625,"Down",11748888,-11368121,-1565575,-5729460,-4053175,18219,-364828,-496946,-232000,-728946,-728946,-728946,-728946,925219,925219,9455779,9455779,6184464,782358,16565462,226612451,448844281,-222231830,228700080,245265542,8007548,5948158,8752648,45873160,40072907,5800253,111373160,120125808,3159938,-5022264,127002060,125139734,125139734,245265542,-728945.999999999,5729460,-1059016,5752388,9693886,-3815353,-2188231,-668127,-6423589,-121702,-121702,-7167418,338237,338237,338237,5747679,65500000,7916714,0.00154999999999997,-0.06204,-0.00583,-0.00297,-10.86049,1.89262,0.95993,0.26706,-0.04354,-0.04354,0.70177,7.47471,0.47287,0.03991,-0.000260000000000003,0.03347,-0.91657,11.23493,3544.36473
"21","2016_Q1",13.9288524590164,"Down",12939723,-11638461,-1965114,-6141070,-3580645,983177,627750,-848681,-39000,-887681,-887681,-887681,-887681,603915,603915,7895591,7895591,5284678,728017,13784184,222792090,450828893,-228036803,225041089,238825273,3359647,2028746,4876747,45028140,39118907,5909233,110028140,114904887,3274057,-4800144,125446473,123920386,123920386,238825273,-887681,6141070,1910365,1059458,8223212,-7187276,-7372610,-667906,-5e+05,2.91038304567337e-11,-1.45519152283669e-11,-1171906,-321304,-321304,-321304,7124247,6.5e+07,1035429,0.07598,-0.0686,-0.00716,-0.00372,-1.16644,2.82651,0.92725,0.27217,-0.05286,-0.05286,0.7705,7.37892,0.06166,0.03977,-0.00094,0.00443,-0.75242,9.039,65.49796
"22","2016_Q2",15.21671875,"Up",11462125,-12194351,-1912079,-6957652,-3296830,-1054067,-1414629,-5167118,2368000,-2799118,-2799118,-2799118,-2799118,1503691,1503691,5540926,5540926,2022293,1386179,9066910,215634519,450066670,-234432151,215807942,224874852,4961704,2397076,5824804,42057286,36025907,6031379,99057286,104882090,3196157,-4512768,121309373,119992762,119992762,224874852,-2799118,6957652,-2185611,5677295,7650218,-658567,2080087,-668364,-8e+06,-117165,-117165,-8830529,899776,899776,899776,5903585,5.7e+07,8554313,-0.09196,-0.24421,-0.02333,-0.01245,-3.05607,1.5566,0.87407,0.25347,-0.16643,-0.16643,0.6815,7.13436,0.50861,0.03974,-0.00973,0.03905,-0.23878,9.40044,-52.6496999999996
"23","2016_Q3",15.36515625,"Up",7576583,-10921681,-1651444,-6045883,-3252144,-3574238,-3916586,-12013161,4575000,-7438161,-7438161,-7438161,-7438161,486630,486630,4231534,4231534,2238317,785863,6956481,201831299,442261240,-240429941,201998962,208955443,2383943,1447314,2696043,39056545,32918907,6137638,93556545,96252588,3281492,-4449820,113871183,112702855,112702855,208955443,-7438161,6045883,4198901,109809,2916432,-1268429,-764846,-669647,-2500000,2.91038304567337e-11,2.91038304567337e-11,-3168647,-1017061,-1017061,-1017061,2471645,54500000,-3261975,-0.47175,-0.98173,-0.066,-0.0356,0.43855,2.58026,0.85404,0.26082,-0.44169,-0.44169,0.44991,6.69242,-0.1937,0.03976,-0.03282,-0.01581,-0.09003,21.85321,-15.11186
"24","2016_Q4",19.3742857142857,"Up",9864090,-11067035,-1570134,-5959482,-3537419,-1399678,-1730795,-1730795,944000,-786795,-786795,-786795,-786795,506541,506541,4404084,4404084,2169530,182779,7080155,195472478,441689315,-246216837,195636396,202716551,3371213,1499739,5061729,37071666,30821907,6249759,86271666,91333395,3366753,-4398338,112414741,111383156,111383156,202716551,-786795.000000001,5959482,-7000538,4319925,2492074,-804975,3497484,-669647,-5300000,0,0,-5969647,19911,19911,19911,4559804,49200000,7130754,-0.1419,-0.07976,-0.00706,-0.00388000000000001,-9.06304,1.39876,0.81999,0.2427,-0.04671,-0.04671,0.58561,6.61259,0.42334,0.03976,-0.00059,0.03608,-0.85111,10.67885,-34.78904
"25","2017_Q1",18.7453225806452,"Down",10157985,-8458078,-2006071,-5524548,-927459,1375989,1065397,913190,-176000,737190,737190,737190,737190,471213,471213,5287229,5287229,502911,419037,6261353,191405651,443113400,-251707749,191562973,197824326,4070181,2351623,4473793,37061927,30676007,6361261,81561927,86035720,3471994,-4165672,112482284,111788606,111788606,197824326,737190,5524548,-1999204,-2731541,1530993,3247462,3802326,-669647,-4700000,-2.91038304567337e-11,0,-5368647,-35328,-35328,-35328,6900537,44500000,7592458,0.13546,0.07257,0.00659,0.00373,10.29919,1.39956,0.76963,0.22495,0.04372,0.04372,0.60249,6.63043,0.45033,0.03972,0.00728,0.03927,0.90838,6.38049,31.99792
"26","2017_Q2",18.5995238095238,"Down",7051673,-9736851,-1842482,-4834263,-3062349,-3053023,-3345392,-3345392,1107000,-2238392,-2238392,-2238392,-2238392,484989,484989,5526787,5526787,371437,273397,6383213,189967134,446458698,-256491564,190139486,196522699,5426167,3457200,8360114,36079448,29569007,6499854,80179448,88539562,2757004,-3677400,108903533,107983137,107983137,196522699,-2238392,4834263,-1658204,1898406,2836073,-2174523,-1344516,-670104,-4e+05,-407677,-407677,-1477781,13776,13776,13776,1781240,44100000,398123.000000001,-0.43295,-0.31743,-0.02073,-0.01139,-0.177860000000001,0.76353,0.81994,0.2244,-0.13262,-0.13262,0.4178,6.39779,0.02359,0.0397,-0.00833,0.00212,-0.29937,24.48576,-14.28584
"27","2017_Q3",20.3630158730159,"Up",13949258,-9007086,-1719628,-4105655,-3179560,4570619,4284221,4273433,-803000,3470433,3470433,3470433,3470433,551671,551671,5150560,5150560,1214074,337712,6916305,192599309,443767422,-251168113,192768782,199685087,6816617,5294624,6860322,36932272,30600007,6332265,80932272,87792594,2712099,-3193275,112373669,111892493,111892493,199685087,3470433,4105655,-998171,-3256500,3321417,-4828031,-2484183,-670552,-1e+05,-1.16415321826935e-10,-1.16415321826935e-10,-770552,66682,66682,66682,8676274,4.4e+07,1394743,0.32766,0.24879,0.03102,0.01738,0.40189,1.00816,0.78462,0.22035,0.20509,0.20509,0.82433,6.61228,0.08242,0.03963,0.02148,0.00723,0.19322,5.00772,9.50601
"28","2017_Q4",20.5079365079365,"Up",12437186,-9912880,-1796004,-4714350,-3402526,2133919,1827758,1827758,-567000,1260758,1260758,1260758,1260758,560892,560892,5851996,5851996,2234347,222675,8647235,196648953,452455082,-255806129,196828873,205476108,5549983,3791830,5549983,37307306,30825007,6482299,87307306,92857289,2812760,-3156695,112962754,112618819,112618819,205476108,1260758,4714350,-372375,-1465269,4137464,-10290467,-9456570,-671673,6e+06,0,0,5328327,9221,9221,9221,6848269,5e+07,-4340467,0.17158,0.10137,0.01119,0.00614,-3.44274,1.55807,0.82453,0.24334,0.0745,0.0745,0.7349,6.6545,-0.25647,0.03969,0.00967,-0.02171,0.53275,7.21921,23.16822
"29","2018_Q1",18.2004918032787,"Down",12896932,-9970772,-2083128,-4743280,-3144364,2507546,2117336,1465134,-426000,1039134,1039134,1039134,1039134,557791,557791,7585485,7585485,1846099,253480,9989375,196584358,443068337,-246483979,196754844,206744219,3538019,1847230,3538019,37736570,31051007,6656798,89958570,93496589,3007382,-3089968,113330216,113247630,113247630,206744219,1039134,4743280,276867,-790333,5268948,-7791176,-6628201,-671672,2222000,-194176,-194176,1356152,-3101,-3101,-3101,7250826,52222000,-904683,0.19443,0.08057,0.00918,0.00503,-0.87061,2.82344,0.82559,0.25259,0.06157,0.06157,0.76418,6.7102,-0.0536,0.0398,0.00842,-0.00445,0.64638,7.12529,20.60349
"30","2018_Q2",18.47359375,"Up",12490526,-10495018,-1888143,-5275824,-3331051,1506518,1074939,1074939,12710000,13784939,13784939,13784939,13784939,568427,568427,7355784,7355784,778104,312733,8702315,195356242,444403584,-249047342,195598325,204300640,2846211,1063042,3181088,25105172,18313007,6792165,75505172,78686260,2467476,-2620643,125767547,125614380,125614380,204300640,13784939,5275824,-12263410,302538,7099891,-4427130,-4323045,-671890,-1822220,-272100,-272100,-2766210,10636,10636,10636,6782342,50400000,-10052250,0.12061,1.10363,0.10974,0.06747,-0.72922,2.73564,0.62641,0.2467,0.81335,0.81335,0.73698,7.41163,-0.59311,0.03964,0.07188,-0.04998,0.0487400000000001,7.34725,33.07732
"31","2018_Q3",17.8815873015873,"Down",11421258,-9441308,-1766190,-4241078,-3434040,1482127,1046176,1046176,24000,1070176,1070176,1070176,1070176,168562,168562,6475117,6475117,1133290,340975,7776969,191277730,431484738,-240207008,191502038,199279007,2164164,785880,4045186,24084215,18280007,5714871,67584215,71629401,2847484,-2035601,126837723,127649606,127649606,199279007,1070176,4241078,-120081,2458366,7649539,-987646,-473686,-675718,-6900000,0,0,-7575718,-399865,-399865,-399865,5723205,43500000,7169925,0.12977,0.0937,0.00838,0.00537,6.69976,1.92252,0.56114,0.21829,0.06306,0.06306,0.67295,7.52124,0.42246,0.03981,0.00894,0.03672,0.63141,7.57118,29.23598
"32","2018_Q4",15.6980952380952,"Down",9557937,-9635977,-1593251,-4619509,-3423217,-563197,-984093,-984093,208999.999999998,-775093,-775093,-775093,-775093,477013,477013,6489489,6489489,386326,176356,7352828,188971432,428024117,-239052685,189183500,196536328,2718069,1163424,5732580,24051297,18104007,5658321,64451297,70183877,2972329,-2006616,125386738,126352451,126352451,196536328,-775093,4619509,-242403,2203641,5805654,-1243184,-1721311,-675892,-3100000,0,0,-3775892,308451,308451,308451,4056312,40400000,4807769,-0.05892,-0.0810900000000001,-0.00613,-0.00393999999999999,-6.20283,1.28264,0.55546,0.20556,-0.04564,-0.04564,0.56282,7.44029,0.28311,0.0398,-0.000519999999999996,0.0252,-0.87201,9.84219,-70.88636
"33","2019_Q1",14.8060655737705,"Down",11564543,-4968676,-2094857,-4258629,1384810,8067837,7505477,759647,-204000,555647,555647,555647,555647,532502,532502,7101629,7101629,612045,578880,8246176,198284401,441541873,-243257472,198503510,206749686,2673080,881130,5737126,24197760,18088007,5759783,75197760,80934886,3106193,-2558338,125266945,125814800,125814800,206749686,555647,4258629,6645151,-5070617,6388810,-3847038,-15310973,-675440,10600220,-947128,-947128,8977652,55489,55489,55489,12326466,5.1e+07,3612811,0.69764,0.04805,0.00442,0.00269,6.50199,1.43734,0.64329,0.24668,0.03286,0.03286,0.68396,7.441,0.21367,0.03995,0.00612,0.01797,1.21559,4.09424,6.25539
"34","2019_Q2",13.3179365079365,"Down",26328994,-8873733,-1938840,-3813686,-3121207,16846310,16306940,16306940,-3571000,12735940,12735940,12735940,12735940,455793,455793,7179043,7179043,4097134,840188,11731970,196385440,443401545,-247016105,196895552,208627522,2627166,903962,2627166,28278343,22402007,5876336,69778343,72405509,3105792,-3538875,136655096,136222013,136222013,208627522,12735940,3813686,-10728383,-1811500,4009743,7650999,7227999,-673892,-9500000,-1140559,-1140559,-11314451,-76709.0000000001,-76709.0000000001,-76709.0000000001,20659996,41500000,30070495,0.63984,0.48372,0.09349,0.06105,2.36107,4.46564,0.53153,0.19892,0.75098,0.75098,1.55251,8.03243,1.77313,0.03974,0.0651,0.14597,0.05291,1.98665,2.43639
