"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",42.6711111111111,"Up",149100000,-64600000,84500000,-96600000,-81100000,-9200000,-12100000,-7300000,-7300000,-19400000,-19400000,8e+06,-11400000,17100000,17100000,17100000,154800000,154800000,184100000,184100000,296200000,19700000,654800000,259700000,1210400000,1030900000,159800000,3600000,1470100000,2124900000,321800000,184400000,137400000,321800000,579900000,66400000,3e+07,646300000,968100000,1544300000,-349300000,-34300000,1156800000,1156800000,2124900000,17100000,16200000,8300000,-21900000,19700000,-6300000,-6300000,-1700000,3e+05,-1700000,11700000,11700000,0,11700000,4100000,579900000,-32100000,0.56673,-0.08115,0.11469,0.01478,0.00805,-1.87719,2.0348,0.83688,0.27291,0.36617,0.36152,3.19272,24.77088,-0.68737,0.00948,-0.0178,103.68293,-35.13223
"12","2017_Q4",45.9609523809524,"Up",150500000,-69500000,8.1e+07,-91400000,-78400000,-9600000,-10400000,-7400000,-7400000,-17800000,-17800000,7600000,-10200000,16600000,16600000,16600000,166100000,166100000,194400000,194400000,300500000,2e+07,6.81e+08,261100000,1206800000,1.032e+09,154800000,3700000,1467900000,2148900000,319400000,172500000,146900000,319400000,580400000,68400000,31900000,648800000,968200000,1547900000,-332700000,-30600000,1180700000,1180700000,2148900000,16600000,16100000,5400000,-14700000,23400000,-1.4e+07,-1.4e+07,1500000,1500000,1500000,10900000,10900000,4e+05,11300000,5700000.00000001,580400000,-30600000,0.53821,-0.0691,0.1103,0.01406,0.00772,-1.84337,2.13212,0.82002,0.27009,0.3547,0.34874,3.21581,25.22863,-0.65385,0.00907,-0.01673,72.68421,-39.83654
"13","2018_Q1",47.4781967213115,"Up",166300000,-76400000,89900000,-92900000,-77400000,-12100000,-3e+06,-7200000,-7200000,-10200000,-10200000,14600000,4400000,32800000,32800000,32800000,219700000,219700000,2.03e+08,2.03e+08,91100000,14400000,528200000,109900000,1557800000,764700000,148900000,636600000,1667700000,2195900000,316100000,171200000,144900000,389800000,541100000,49600000,31800000,590700000,980500000,1.551e+09,-299900000,-31300000,1215400000,1215400000,2195900000,32800000,1.1e+07,-5700000,2.6e+07,64100000,-12600000,-12600000,1900000,2400000,1900000,53400000,53400000,2e+05,53600000,8e+06,580900000,6800000,0.54059,-0.01804,0.19723,0.02699,0.01494,0.20732,1.35505,0.80673,0.26454,0.69787,0.73051,3.5383,25.85957,0.14468,0.01777,0.00368,45.15,-120.4
"14","2018_Q2",52.8409375,"Up",156400000,-65300000,91100000,-98100000,-86400000,-9900000,-7e+06,-7800000,-7800000,-14800000,-14800000,3500000,-11300000,20200000,20200000,20200000,203100000,203100000,199500000,199500000,92300000,15800000,510700000,117500000,1574700000,764600000,144600000,654200000,1692200000,2202900000,322700000,194400000,128300000,360600000,5.42e+08,48500000,30200000,590500000,951100000,1557800000,-279700000,-21800000,1251800000,1251800000,2202900000,20200000,7800000,4899999.99999999,-6599999.99999999,26300000,-9600000,-9600000.00000003,3300000,3400000,-36700000,-2e+07,-2e+07,3400000,-16600000,8e+05,5.42e+08,-18900000,0.58248,-0.04476,0.12916,0.01614,0.00917,-0.93564,1.41625,0.75979,0.24604,0.4307,0.4307,3.33475,26.69083,-0.40299,0.01096,-0.01026,423.625,-48.41429
"15","2018_Q3",64.3544444444444,"Up",160900000,-66200000,94700000,-85900000,-79800000,-10800000,8800000,-7700000,-7700000,1100000,1100000,2e+05,1300000,35300000,35300000,35300000,479600000,479600000,189200000,189200000,107800000,99900000,876500000,123500000,917400000,763800000,139500000,3500000,1040900000,1917400000,352800000,176900000,175900000,352800000,247400000,30600000,29600000,2.78e+08,630800000,1568200000,-244400000,-32100000,1286600000,1286600000,1917400000,35300000,7800000,-108600000,-31200000,-96700000,-11100000,723400000,7500000,8e+06,-291500000,335200000,335200000,-7200000,3.28e+08,16600000,247400000,-25900000,0.58856,0.05469,0.21939,0.02744,0.01841,-0.73371,2.48441,0.49028,0.12903,0.74947,0.73237,3.41614,27.31635,-0.54989,0.02256,-0.01655,-13.98795,-26.38636
"16","2018_Q4",52.3919047619048,"Down",165100000,-60400000,104700000,-97700000,-86300000,-10500000,7e+06,-2e+06,-2e+06,5e+06,5e+06,-8e+05,4200000,4200000,4200000,4200000,411800000,411800000,151800000,151800000,121200000,52400000,737200000,1.37e+08,970300000,786700000,173900000,3400000,1107300000,1844500000,265500000,159200000,106300000,265500000,247600000,31200000,30100000,278800000,544300000,1.576e+09,-240200000,-30500000,1300200000,1300200000,1844500000,4200000,8900000,4599999.99999999,-85500000,-67800000,-10700000,-56500000,5400000,5400000,5400000,-118900000,-118900000,-400000.000000002,-119300000,15900000,247600000,-79500000,0.63416,0.0424,0.02544,0.00322999999999999,0.00228,-18.92857,2.77665,0.41863,0.13424,0.08879,0.0864199999999999,3.49049,27.48837,-1.68076,0.00266,-0.05035,-10.3270400000001,-23.4571400000001
"17","2019_Q1",44.7759016393443,"Down",169900000,-69499999,100400001,-100500000,-87900000,-10600000,-99999,-9299999,-1100000,-9399998,-9399998,6700000,-2699998,-2199998,-2199998,-2199998,384500000,384500000,150500000,150500000,121400000,57200000,713600000,154100000,965700000,783600000,168200000,7600000,1119800000,1833400000,264300000,169900000,94400000,264300000,247700000,24200000,19800000,271900000,536200000,1578600000,-242400000,-33700000,1297200000,1297200000,1833400000,-2200000,9e+06,12700000,-26899999,-7399999,-17700000,-17800000,0,3e+05,-1600000,-26799999,-26799999,-5e+05,-27299999,8900001,247700000,-42399998,0.59094,-0.00059,-0.01295,-0.0017,-0.0012,19.27274,2.69996,0.41335,0.1351,-0.04632,-0.04878,3.57684,27.30947,-0.89263,-0.0014,-0.02702,-15.37078,1368.01368
"18","2019_Q2",42.7750793650794,"Down",164200000,-65400000,98800000,-123400000,-106400000,-10200000,-24600000,-1300000,-1300000,-25900000,-25900000,5600000,-20300000,-20300000,-20300000,-20300000,348300000,348300000,1.35e+08,1.35e+08,129600000,47100000,6.6e+08,159600000,1014400000,783700000,163200000,61300000,1.174e+09,1.834e+09,226700000,148800000,77900000,238400000,247900000,67600000,63200000,315500000,553900000,1.583e+09,-262700000,-3.3e+07,1280100000,1280100000,1.834e+09,-20300000,8400000,4700000,-15900000,-23100000,-12500000,-12500000,-1700000,2e+05,-1700000.00000001,-37300000,-37300000,1100000,-36200000,-16200000,247900000,-50200000,0.60171,-0.14982,-0.12363,-0.01586,-0.01107,2.47291,2.76846,0.4327,0.13517,-0.42737,-0.42737,3.45684,26.94947,-1.05684,-0.01272,-0.03146,6.19753000000001,4.08129999999983
"19","2019_Q3",38.149375,"Down",172200000,-73500000,98700000,-108500000,-94700000,-9500000,-9800000,-1500000,-1500000,-11300000,-11300000,3300000,-8e+06,-8e+06,-8e+06,-8e+06,288100000,288100000,124300000,124300000,133900000,26200000,572500000,174400000,1036500000,782300000,158500000,82400000,1210900000,1783400000,172300000,99400000,72900000,1.87e+08,247800000,71700000,71100000,319500000,506500000,1587300000,-270700000,-31100000,1276900000,1276900000,1783400000,-8e+06,8500000,-1e+05,-32300000,-31900000,-22900000,-29900000,1e+06,2400000,8e+05,-6.1e+07,-6.1e+07,8e+05,-60200000,-1300000,247800000,-59800000,0.57317,-0.05691,-0.04646,-0.00627,-0.00449,7.475,3.0615,0.39666,0.13895,-0.16842,-0.16842,3.62526,26.88211,-1.25895,-0.00501,-0.03746,31,4.11224
"20","2019_Q4",36.2096875,"Down",171400000,-76400000,9.5e+07,-113100000,-94400000,-9600000,-18100000,-2200000,-2200000,-20300000,-20300000,8800000,-11500000,-11500000,-11500000,-11500000,214400000,214400000,157700000,157700000,144500000,29900000,546500000,182100000,1079100000,800500000,189500000,76800000,1261200000,1807700000,203600000,94700000,108900000,218100000,247900000,74800000,74300000,322700000,540800000,1592600000,-282200000,-34800000,1266900000,1266900000,1807700000,-11500000,8700000,4700000,-18500000,-16600000,-7100000,-57600000,2500000,2600000,2500000,-71700000,-71700000,-2e+06,-73700000,-9400000,247900000,-43800000,0.55426,-0.1056,-0.06709,-0.00908,-0.00636,3.8087,2.50573,0.42687,0.13714,-0.24059,-0.24059,3.58577,26.50418,-0.91632,-0.00723,-0.02755,-3.56383,-1.85083000000002
"21","2020_Q1",29.8627419354839,"Down",189800000,-80100000,109700000,-91800000,-103600000,-8400000,17900000,-24400000,-3300000,-6500000,-6500000,4e+05,-6100000,-6100000,-6100000,-6100000,205300000,205300000,152400000,152400000,145900000,34900000,538500000,184500000,1076600000,800900000,184300000,75300000,1261100000,1799600000,197800000,8.3e+07,114800000,212500000,248100000,73800000,73800000,321900000,534400000,1594400000,-288300000,-3.2e+07,1265200000,1265200000,1799600000,-6100000,11300000,1800000,-9900000,-2900000,-8100000,-8100000,-1e+05,1e+05,-1e+05,-11100000,-11100000,2e+06,-9100000,29200000,262800000,10800000,0.57798,0.09431,-0.03214,-0.00482,-0.00339,-1.77049,2.53412,0.42238,0.14603,-0.12815,-0.12815,3.98739,26.57983,0.22689,-0.00381,0.00674,1.96918,3.21229
"22","2020_Q2",28.9501587301587,"Down",180400000,-78300000,102100000,-100500000,-91100000,-9400000,1600000,-4600000,-3600000,-3e+06,-3e+06,6700000,3700000,3700000,3700000,3700000,187700000,187700000,159600000,159600000,153100000,23700000,524100000,178700000,1060900000,799800000,179300000,70800000,1239600000,1763700000,175100000,73500000,101600000,189400000,248200000,69600000,69600000,317800000,507200000,1596900000,-284600000,-46900000,1256500000,1256500000,1763700000,3700000,10600000,2500000,-22599999,-5799999,-5200000,-5199999.99999999,-719958.125093094,-285320.195935241,-5795189.81605541,-10999999,-10999999,-6600000,-17599999,12200000,248200000,-22299999,0.56596,0.00886999999999998,0.02051,0.00294,0.0021,-6.02703,2.76716,0.40366,0.14073,0.07741,0.07708,3.77406,26.28661,-0.46653,0.00235,-0.01417,4.95902,37.8125
"23","2020_Q3",31.955,"Up",163700000,-77200000,86500000,-84600000,-76900000,-7700000,1900000,-7800000,-4100000,-5900000,-5900000,2900000,-3e+06,-3e+06,-3e+06,-3e+06,1.85e+08,1.85e+08,137800000,137800000,174100000,20200000,517100000,179300000,1059500000,800200000,174600000,70700000,1238800000,1755900000,160600000,75800000,84800000,1.76e+08,248400000,69900000,69900000,318300000,494300000,1600400000,-287600000,-4.2e+07,1261600000,1261600000,1755900000,-3e+06,10800000,3200000,-9900001,1099999,-6900000,-6900000,299999.999999998,6e+05,3e+05,-5500001,-5500001,2800000,-2700001,12700000,248400000,-7000001,0.52841,0.01161,-0.01833,-0.00238,-0.00171,2.33333,2.93807,0.3918,0.14147,-0.06276,-0.0625,3.42469,26.39331,-0.14644,-0.0019,-0.00443,4.99213,33.36842
"24","2020_Q4",41.6225,"Up",185699999,-89900000,95799999,-90600000,-82400000,-8200000,5199999,-9400000,-4100000,-4200001,-4200001,23500000,19299999,19299999,19299999,19299999,1.8e+08,1.8e+08,182300000,182300000,184100000,21200000,567600000,177300000,1054200000,801200000,170100000,70900000,1231500000,1799100000,163800000,75900000,87900000,179400000,248500000,81300000,67500000,329800000,509200000,1604600000,-268300000,-37100000,1289900000,1289900000,1799100000,19300000,10700000,4500000,-33400000,1100000,-3e+06,-7e+06,7e+05,8e+05,-2e+06,-7900000,-7900000,2900000,-5e+06,15899999,248500000,-44000001,0.51589,0.028,0.10393,0.01496,0.01073,-2.27979,3.16388,0.39476,0.13812,0.40377,0.40208,3.88494,26.98536,-0.9205,0.01192,-0.02717,4.30818,13.17308
"25","2021_Q1",46.9290163934426,"Up",185000001,-96100000,88900001,-91800000,-82200000,-9600000,-2899999,-44500000,-2600000,-47399999,-47399999,199999,-47200000,-47200000,-47200000,-47200000,111500000,111500000,108600000,108600000,168900000,78200000,467200000,175300000,1030300000,802500000,157700000,60100000,1205600000,1672800000,150800000,67600000,83200000,166300000,1.8e+08,7e+07,64300000,2.5e+08,416300000,1609900000,-315500000,-28100000,1256500000,1256500000,1672800000,-47200000,10800000,25600000,11900000,1100000,-5100000,-5100000,1500000,2e+06,-68300000,-72300000,-72300000,3800000,-68500000,7900001,1.8e+08,14500002,0.48054,-0.01568,-0.25514,-0.03756,-0.02822,-0.3072,2.80938,0.33132,0.1076,-0.98745,-1,3.87029,26.28661,0.30335,-0.03133,0.00962,8.67088,-23.6207
"26","2021_Q2",41.3526984126984,"Down",180700000,-89400000,91300000,-81700000,-73400000,-8300000,9600000,-22800000,-8e+05,-13200000,-13200000,5600000,-7600000,-7600000,-7600000,-7600000,100100000,100100000,105300000,105300000,165200000,77300000,447900000,173400000,1027500000,802100000,153600000,56400000,1200900000,1648800000,139500000,59200000,80300000,154600000,1.75e+08,66600000,6.1e+07,241600000,396200000,1617800000,-323100000,-32299999,1252600001,1252600001,1648800001,-7600000,9700000,3200000,-8600000.00000001,-3300000,-5700000,-5700000,4800000,4800000,-2e+05,-9200000.00000001,-9200000.00000001,-2200000,-11400000,19300000,1.75e+08,-6e+05,0.50526,0.05313,-0.0420599999999999,-0.00607,-0.00460999999999999,0.0789499999999998,2.89715,0.3163,0.10614,-0.15833,-0.15833,3.76458,26.09583,-0.0124999999999997,-0.00508999999999999,-0.000400000000000001,3.88083,7.80208
"27","2021_Q3",33.9290625,"Down",186400000,-100700000,85700000,-84700000,-76700000,-8e+06,1e+06,-9200000,-9e+05,-8200000,-8200000,46100000,37900000,37900000,37900000,37900000,99900000,99900000,106700000,106700000,159700000,77200000,443500000,171900000,1067900000,802600000,149500000,53900000,1239800000,1683300000,143400000,65500000,77900000,158300000,1.65e+08,63700000,58100000,228700000,3.87e+08,1621800000,-285200000,-3e+07,1296300000,1296300000,1683300000,37900000,9500000,8400000,-40500000,15300000,-5800000,-5800000,-1e+05,4e+05,-10100000,-6e+05,-6e+05,4e+05,-2e+05,10500000,1.65e+08,-81900000,0.45976,0.00536,0.20333,0.02924,0.02252,-2.16095,2.80164,0.29854,0.09802,0.78958,0.78958,3.88333,27.00625,-1.70625,0.02485,-0.0537,6.2,65.1
"28","2021_Q4",32.33046875,"Down",184100000,-93900000,90200000,-83400000,-7.5e+07,-8400000,6800000,-4100000,-7e+05,2700000,2700000,-3.8e+07,-35300000,-35300000,-35300000,-35300000,97800000,97800000,117500000,117500000,158400000,31300000,4.05e+08,169700000,1023200000,801800000,145300000,52500000,1192900000,1597900000,114500000,54900000,59600000,129200000,1.45e+08,61800000,56200000,206800000,3.36e+08,1626200000,-320300000,-33600000,1261900000,1261900000,1597900000,-35500000,9600000,3500000,45600000,23200000,-4800000,-4800000,8e+05,9e+05,-19200000,-8e+05,-8e+05,-1300000,-2100000,16400000,1.45e+08,95200000,0.48995,0.03694,-0.19174,-0.02797,-0.02209,-2.69688,3.13467,0.26627,0.09074,-0.73389,-0.73389,3.82744,26.23493,1.97921,-0.02403,0.06482,2.87805,6.94118000000002
"29","2022_Q1",32.2054838709677,"Down",193400000,-96300000,97100000,-82799999,-75200000,-7599999,14300001,10200000,-7e+05,24500001,24500001,-14300000,10200001,10200001,10200001,10200001,118500000,118500000,131200000,131200000,159300000,18600000,427600000,168100000,1007900000,801600000,141200000,55100000,1.176e+09,1603600000,124500000,56400000,68100000,139200000,1.3e+08,63800000,51900000,193800000,3.33e+08,1629300000,-303600000,-33800000,1270600000,1270600000,1603600000,10400000,9500000,6100000,26100000,52100000,-4700000,-4700000,-10800000,1e+05,-25800000,21600000,21600000,-9e+05,20700000,23800001,1.3e+08,59500001,0.50207,0.07394,0.05274,0.00803,0.00636,5.83333,3.07184,0.26208,0.08107,0.21206,0.21206,4.02079,26.4158,1.23701,0.00697,0.04063,0.48319,0.8042
"30","2022_Q2",28.7322580645161,"Down",197400000,-90200000,107200000,-97900000,-90100000,-7800000,9300000,-1400000,-1300000,7900000,7900000,-2100000,5800000,5800000,5800000,5800000,104300000,104300000,161600000,161600000,157600000,15700000,439200000,166900000,1160400000,8.26e+08,271100000,5.2e+07,1327300000,1766500000,138400000,63800000,74600000,152900000,254400000,102700000,6.8e+07,357100000,5.1e+08,1633800000,-304500000,-32100000,1256500000,1256500000,1766500000,5799999.99999999,11100000,3800000,-18900000,1799999.99999999,-5e+06,-121700000,-18700000,7e+05,105700000,-14200000,-14200000,-610161.758867042,-14200000,20400000,254400000,-1399999.99999999,0.54306,0.04711,0.0293800000000001,0.00461999999999999,0.00328,-0.24138,2.87247,0.40589,0.14401,0.12033,0.11934,4.09544,26.06846,-0.02905,0.00359,-0.000869999999999996,7.35784,16.13978
