"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",36.6812903225806,"Up",378077000,-266670000,111407000,-49788000,-49788000,-49788000,61619000,-20650000,-20650000,-20684000,34000,40969000,40969000,-14992000,25977000,25977000,25977000,25977000,34550000,34550000,86762000,86762000,26762000,124053000,13598000,96571000,272127000,86538000,280120000,-193582000,82287000,16598000,4118000,61571000,168825000,440952000,123247000,61875000,61372000,24444000,50460000,50460000,198151000,1542522000,45810000,38221000,1588332000,1786483000,1479000,568000,-1344585000,-2425000,-1345531000,-1345531000,440952000,25977000,5411000,11754000,43142000,-5186000,-1289000,-6475000,-8919000,-6469000,-13141000,23526000,23526000,274000,23800000,67030000,1566966000,0.29467,0.16298,0.06871,-0.01931,0.05891,1.37333,-1.32772,3.5536,0.46042,0.44031,6.70116,-23.84863,6,0.0972,22.86164,24.86921
"12","2013_Q1",42.6676666666667,"Up",539650000,-378975000,160675000,-72636000,-72636000,-72636000,88039000,-27733000,-27733000,-27797000,64000,60306000,60306000,-22728000,37578000,37578000,37578000,37578000,54813000,54813000,95961000,94103000,31061000,124432000,11210000,97932000,306267000,91445000,283158000,-191713000,78388000,16598000,3953000,57837000,171930000,478197000,149243000,77414000,70327000,24349000,55906000,55906000,229498000,1536443000,47779000,40778000,1584222000,1813720000,2227000,563000,-1335364000,-2386000,-1335523000,-1335523000,478197000,37578000,7319000,10075000,75068000,-14240000,778000,-13462000,-400000.000000004,-45528000,-40145000,21461000,21461000,-1198000,20263000,95358000,1560792000,0.29774,0.16314,0.06963,-0.02814,0.07858,1.33451,-1.35806,3.26391,0.66604,0.63694,9.56493,-23.67124,7,0.13762,15.7929,17.10582
"13","2013_Q2",50.5875,"Up",417617000,-287811000,129806000,-54281000,-54281000,-54281000,75525000,-20903000,-20903000,-20945000,42000,54622000,54622000,-20202000,34420000,34420000,34420000,34420000,75081000,75081000,90156000,90156000,29916000,113404000,10628000,94659000,308557000,89776000,284093000,-194317000,78222000,16598000,3707000,57917000,167998000,476555000,152352000,69087000,70719000,24211000,47022000,47022000,223585000,1530411000,45931000,41773000,1576342000,1799927000,563000,563000,-1321498000,-2437000,-1323372000,-1323372000,476555000,34420000,5631000,7598000,47649000,-3858000,-478000,-4336000,-7298000,-18346000,-23070000,20243000,20243000,25000,20268000,81156000,1554622000,0.31083,0.18085,0.08242,-0.02601,0.07223,1.38004,-1.36011,3.26221,0.61743,0.59116,7.49132,-23.73898,8,0.12418,18.23083,19.59008
"14","2013_Q3",57.365,"Up",414010000,-288023000,125987000,-52146000,-52146000,-52146000,73841000,-20396000,-20396000,-20427000,31000,53445000,53445000,-20175000,33270000,33270000,33270000,33270000,40838000,40838000,93987000,93987000,27996000,139715000,21505000,107761000,302536000,88551000,284575000,-196024000,77712000,16598000,3562000,57552000,166263000,468799000,142661000,63875000,66572000,24153000,61998000,61998000,228812000,1524420000,44358000,40067000,1568778000,1797590000,622000,558000,-1327020000,-2393000,-1328791000,-1328791000,468799000,33270000,5776000,-19855000,19191000,-5652000,2047000,-3605000,-4028000,-49165000,-49724000,-34138000,-34138000,-105000,-34243000,79617000,1548573000,0.30431,0.17836,0.08036,-0.02504,0.07097,1.3222,-1.3528,3.30328,0.59979,0.57404,7.46381,-23.95557,7,0.12596,18.93735,20.41867
"15","2013_Q4",62.3190625,"Up",404049000,-283415000,120634000,-53859000,-53859000,-53859000,66775000,-20322000,-20322000,-20346000,24000,46453000,46453000,-15821000,30632000,30632000,30632000,30632000,32079000,32079000,92765000,92765000,30282000,147284000,20466000,117356000,302410000,89330000,288468000,-199138000,76784000,16598000,3458000,56728000,166114000,468524000,133514000,63006000,58814000,24140000,67822000,67822000,225476000,1518383000,46840000,40100000,1565223000,1790699000,1145000,557000,-1321053000,-2267000,-1322175000,-1322175000,468524000,30632000,6073000,1030000,37735000,-7592000,-3303000,-10895000,-9026000,-32604000,-35648000,-8808000,-8808000,49000,-8759000,72848000,1542523000,0.29856,0.16526,0.07581,-0.02317,0.06538,1.34121,-1.35436,3.2923,0.55347,0.53069,7.30048,-23.88945,8,0.11465,20.73419,22.6199
"16","2014_Q1",67.3075409836066,"Up",566547000,-3.94e+08,172547000,-74877000,-74877000,-74877000,97670000,-27091000,-27091000,-27154000,63000,70579000,70579000,-25916000,44663000,44663000,44663000,44663000,14383000,14383000,107602000,105779000,30321000,199234000,18376000,170148000,351540000,97584000,297498000,-199914000,72862000,16598000,3167000,53097000,173715000,525255000,167516000,83408000,72259000,24144000,62951000,62951000,254611000,1512299000,48547000,40720000,1560846000,1815457000,1227000,558000,-1289445000,-1984000,-1290202000,-1290202000,525255000,44663000,8303000,24975000,89414000,-18767000,-62130000,-80897000,-2577000,-31258000,-26362000,-17845000,-17845000,149000,-17696000,105973000,1536443000,0.30456,0.1724,0.07883,-0.03462,0.08503,1.38069,-1.40711,2.92514,0.80698,0.77377,10.23654,-23.31176,9,0.15151,14.36272,15.5837
"17","2014_Q2",67.0484126984127,"Down",453852000,-316810000,137042000,-52867000,-52867000,-52867000,84175000,-20295000,-20295000,-20326000,31000,63880000,63880000,-23406000,40474000,40474000,40474000,40474000,38376000,38376000,103881000,103881000,33578000,178045000,11991000,158811000,353880000,95717000,296565000,-200848000,74715000,16109000,3069000,55537000,170432000,524312000,152219000,73183000,64546000,24155000,64030000,64030000,240404000,1506256000,46608000,42036000,1552864000,1793268000,3729000,558000,-1270117000,-2568000,-1268956000,-1268956000,524312000,40474000,6421000,-10691000,36204000,-2655000,16548000,13893000,-7882000,-26184000,-26232000,23865000,23865000,128000,23993000,90596000,1530411000,0.30195,0.18547,0.08918,-0.0319,0.07719,1.47202,-1.41318,2.91889,0.73307,0.70546,8.22019,-22.9834,7,0.13138,16.4691,17.72539
"18","2014_Q3",68.54859375,"Up",450463000,-315818000,134645000,-53282000,-53282000,-53282000,81363000,-19824000,-19824000,-19851000,27000,61539000,61539000,-23077000,38462000,38462000,38462000,38462000,15304000,15304000,105970000,105970000,33542000,166164000,30354000,126423000,320980000,98056000,302575000,-204519000,76635000,16109000,2990000,57536000,174691000,495671000,150068000,73184000,62447000,538000,65401000,65401000,216007000,1523882000,45464000,41624000,1569346000,1785353000,671000,551000,-1287995000,-2358000,-1289682000,-1289682000,495671000,38462000,6656000,-20532000,24586000,-11326000,33146000,21820000,-5855000,-63952000,-69322000,-22916000,-22916000,-156000,-23072000,88019000,1524420000,0.2989,0.18062,0.08538,-0.02982,0.0776,1.48597,-1.38434,3.07547,0.69911,0.67334,8.18794,-23.4422,7,0.13727,17.14534,18.54794
"19","2014_Q4",82.651875,"Up",446568000,-313054000,133514000,-56573000,-56573000,-56573000,76941000,-19952000,-19952000,-19974000,22000,56989000,56989000,-21371000,35618000,35618000,35618000,35618000,30936000,30936000,103540000,103540000,35213000,163635000,21846000,133703000,333324000,100491000,307902000,-207411000,77068000,16109000,2713000,58246000,177559000,510883000,145846000,73942000,57793000,549000,73991000,73991000,220386000,1523740000,48499000,43044000,1572239000,1792625000,1585000,549000,-1280993000,-2334000,-1281742000,-1281742000,510883000,35618000,6947000,15530000,58095000,-11200000,802000,-10398000,-3210000,-31479000,-32109000,15588000,15588000,44000,15632000,83888000,1524289000,0.29898,0.17229,0.07976,-0.02779,0.06972,1.51246,-1.39858,2.98364,0.64856,0.62563,8.13147,-23.339,9,0.12238,17.80175,19.40907
"20","2015_Q1",92.9813114754098,"Up",642950000,-453385000,189565000,-86683000,-86683000,-86683000,102882000,-26667000,-26667000,-26730000,63000,76215000,76215000,-28182000,48033000,48033000,48033000,48033000,30855000,30855000,118395000,118395000,37944000,241167000,32569000,198741000,428361000,114046000,310220000,-196174000,49340000,16297000,2475000,30568000,167972000,596333000,178523000,86552000,77620000,564999.999999999,86520000,86520000,265608000,1500599000,49591000,44003000,1550190000,1815798000,30117000,556000,-1246921000,-2661000,-1219465000,-1219465000,596333000,48033000,15764000,9633999.99999999,73454000,-35752000,-47006000,-82758000,5716000,-13635000,8765000,-539000,-539000,458000,-80999.9999999925,118646000,1501164000,0.29484,0.16002,0.07471,-0.03939,0.08055,1.61276,-1.48901,2.51733,0.87462,0.8437,11.70735,-22.20501,7,0.14499,12.3924,14.29122
"21","2015_Q2",99.9811111111111,"Up",502027000,-344961000,157066000,-62813000,-62813000,-62813000,94253000,-20071000,-20071000,-20153000,82000,74182000,74182000,-27893000,46289000,46289000,46289000,46289000,74991000,74991000,118085000,118085000,37899000,215066000,13267000,194088000,446041000,114744000,314545000,-199801000,76196000,16297000,2349000,57550000,190940000,636981000,188217000,88323000,82315000,234000,86862000,86862000,275313000,1527202000,48044000,44843000,1575246000,1850559000,7312000,554000,-1217800000,-3090000,-1213578000,-1213578000,636981000,46289000,7347000,31109000,84745000,-811000,977000,166000,-2539000,-43477000,-41339000,43572000,43572000,564000,44136000,101600000,1527436000,0.31286,0.18774,0.0922,-0.03814,0.07267,1.62012,-1.52488,2.39793,0.83845,0.81189,9.09343,-21.98206,7,0.1279,14.29572,15.41007
"22","2015_Q3",103.3846875,"Up",488622000,-335950000,152672000,-60441000,-60441000,-60441000,92231000,-18953000,-18953000,-19010000,57000,73278000,73278000,-27369000,45909000,45909000,45909000,45909000,25891000,25891000,113328000,113328000,36283000,228999000,31691000,187119000,404501000,117196000,320684000,-203488000,76204000,16176000,2259000,57769000,193400000,597901000,163782000,76961000,69336000,237000,105194000,105194000,269213000,1527161000,47182000,43725000,1574343000,1843556000,627000,548000,-1243353000,-2929000,-1245655000,-1245655000,597901000,45909000,7681000,-34741000,18849000,-10642000,24609000,13967000,727999.999999993,-85196000,-81589000,-48773000,-48773000,-327000,-49100000,99912000,1527398000,0.31245,0.18876,0.09396,-0.03686,0.07678,1.50253,-1.47999,2.5546,0.83157,0.80523,8.85062,-22.56309,6,0.13957,15.02829,16.27985
"23","2015_Q4",99.85109375,"Down",484696000,-342742000,141954000,-61411000,-61411000,-61411000,80543000,-19915000,-19915000,-19979000,64000,60628000,60628000,-22796000,37832000,37832000,37832000,37832000,32506000,32506000,112398000,112398000,39826000,219702000,23701000,187051000,404432000,119452000,325825000,-206373000,79312000,16176000,2018000,61118000,198764000,603196000,166450000,86423000,62711000,256000,112585000,112585000,279291000,1527664000,52190000,47667000,1579854000,1859145000,1819000,546000,-1254287000,-3481000,-1255949000,-1255949000,603196000,37832000,7667000,18215000,63714000,-11917000,5651000,-6266000,-1370000,-58018000,-51199000,6249000,6249000,366000,6615000,88210000,1527920000,0.29287,0.16617,0.07805,-0.03012,0.06272,1.44807,-1.48027,2.53304,0.70282,0.68125,9.00443,-23.33237,5,0.11671,16.95289,18.56665
"24","2016_Q1",111.30131147541,"Up",741183000,-509744000,231439000,-93027000,-93027000,-93027000,138412000,-40285000,-40285000,-40395000,110000,98127000,98127000,-35368000,62759000,62759000,62759000,62759000,133449000,133449000,131582000,131582000,36861000,300745000,20646000,280099000,602637000,131890000,336173000,-204283000,59264000,16097000,5865000,37302000,197208000,799845000,199894000,106927000,92967000,59333000,116756000,116756000,375983000,2181460000,42653000,42653000,2224113000,2600096000,7440000,498000,-1804143000,-3548000,-1800251000,-1800251000,799845000,62759000,9739000,-1397000.00000001,124478000,-27188000,-89971000,-117159000,741161000,-632195000,93191000,100510000,100510000,433000,100943000,148151000,2240793000,0.31226,0.18674,0.08467,-0.03486,0.07846,1.60283,-1.4443,2.80153,1.1659,1.13012,13.76931,-33.44413,5,0.12988,14.2243,15.22515
"25","2016_Q2",119.21875,"Up",539175000,-371959000,167216000,-68504000,-68504000,-68504000,98712000,-25870000,-25870000,-26146000,276000,72842000,72842000,-27391000,45451000,45451000,45451000,45451000,178252000,178252000,130520000,130520000,39108000,278606000,33832000,244774000,626486000,131060000,340130000,-209070000,63213000,16097000,1623000,45493000,194273000,820759000,183287000,86137000,77752000,41593000,108846000,108846000,333726000,2173403000,43909000,43909000,2217312000,2551038000,50380000,501000,-1777696000,-2963000,-1730279000,-1730279000,820759000,45451000,8221000,-36524000,17148000,-8744000,26230000,17486000,-21313000,-164000,10419000,45053000,45053000,-250000,44803000,106933000,2214996000,0.31013,0.18308,0.0843,-0.02627,0.05538,1.87725,-1.47435,2.69872,0.91455,0.88718,10.84914,-34.81622,4,0.08598,19.04692,20.6332
"26","2016_Q3",137.38390625,"Up",547342000,-375503000,171839000,-68137000,-68137000,-68137000,103702000,-25010000,-25010000,-25207000,197000,78692000,78692000,-29431000,49261000,49261000,49261000,49261000,22305000,22305000,132533000,132533000,36473000,259138000,42678000,216460000,450449000,131972000,345735000,-213763000,69857000,16097000,3637000,50123000,201829000,652278000,180337000,84902000,76620000,48870000,127520000,127520000,356727000,2165177000,45128000,45128000,2210305000,2567032000,576000,483000,-1912755000,-2575000,-1914754000,-1914754000,652278000,49261000,8535000,-5491000,52305000,-16301000,49136000,32835000,-753000,-243074000,-240871000,-155731000,-155731000,-216000,-155947000,112237000,2214047000,0.31395,0.18946,0.09,-0.02573,0.07552,1.26273,-1.34066,3.39433,1.00097,0.97618,11.12182,-38.90722,5,0.14303,19.5278,21.135
"27","2016_Q4",153.242857142857,"Up",566676000,-392774000,173902000,-72991000,-72991000,-72991000,100911000,-25097000,-25097000,-25180000,83000,75814000,75814000,-28581000,47233000,47233000,47233000,47233000,29981000,29981000,138107000,138107000,38834000,265668000,26865000,238803000,472590000,132601000,349514000,-216913000,71416000,16097000,2824000,52495000,204017000,676607000,203035000,103994000,80494000,73877000,133605000,133605000,410517000,2156884000,45352000,45352000,2202236000,2612753000,619000,481000,-1934177000,-2588000,-1936146000,-1936146000,676607000,47233000,8704000,37227000,93164000,-13209000,-15006000,-28215000,14193000,-78168000,-57348000,7601000,7601000,75000,7676000,109615000,2230761000,0.30688,0.17808,0.08335,-0.0244,0.06981,1.15121,-1.34946,3.29698,0.97093,0.9461,11.64869,-39.79977,7,0.13893,20.07736,21.80912
"28","2017_Q1",169.322096774194,"Up",819435000,-564701000,254734000,-104017000,-104017000,-104017000,150717000,-33407000,-33407000,-33536000,129000,117310000,117310000,-44577000,72733000,72733000,72733000,72733000,42815000,42815000,150369000,150369000,40181000,262508000,17635000,244873000,495873000,138534000,359498000,-220964000,74628000,16058000,8935000,49635000,220422000,716295000,229692000,111510000,118182000,38887000,135119000,135119000,403698000,2148990000,46750000,46750000,2195740000,2599438000,1487000,481000,-1881520000,-3110000,-1883143000,-1883143000,716295000,72733000,12680000,-20779000,129843000,-15365000,-62021000,-77386000,-41873000,-52769000,-87992000,-35535000,-35535000,-888000,-36423000,163397000,2187877000,0.31087,0.18393,0.08876,-0.03862,0.10154,1.22833,-1.38037,3.05444,1.49511,1.45688,16.84445,-38.71023,6,0.20693,13.12792,14.23238
"29","2017_Q2",187.104126984127,"Up",624217000,-430401000,193816000,-77782000,-77782000,-77782000,116034000,-25520000,-25520000,-25631000,111000,90514000,90514000,-28045000,62469000,62469000,62469000,62469000,52094000,52094000,150931000,150931000,38326000,287285000,16541000,270744000,528636000,137824000,363174000,-225350000,76002000,16058000,2703000,57241000,213826000,742462000,246853000,110245000,114123000,3e+05,122287000,122287000,369440000,2179258000,47455000,47455000,2226713000,2596153000,1697000,481000,-1852345000,-3043000,-1853691000,-1853691000,742462000,62469000,9498000,13726000,76628000,-11665000,544000,-11121000,-13181000,-12974000,-26155000,39352000,39352000,32000,39384000,125532000,2179558000,0.31049,0.18589,0.10008,-0.0337,0.08414,1.43091,-1.40053,2.93558,1.30579,1.25677,13.04806,-38.74785,7,0.16733,16.94758,18.33483
"30","2017_Q3",184.904920634921,"Down",628611000,-435766000,192845000,-79978000,-79978000,-79978000,112867000,-24335000,-24335000,-24611000,276000,88532000,88532000,-22791000,65741000,65741000,65741000,65741000,52243000,52243000,151641000,151641000,37664000,319355000,41512000,277843000,560903000,137793000,368598000,-230805000,83101000,16058000,5354000,61689000,220894000,781797000,218071000,104620000,90803000,305000,133136000,133136000,351512000,2180518000,52838000,52838000,2233356000,2584868000,8546000,482000,-1808789000,-2828000,-1803071000,-1803071000,781797000,65741000,10275000,-46623000,36142000,-13539000,-51000,-13590000,2387999.99999997,-22027000,-19639000,2913000,2913000,4000,2917000,123142000,2180823000,0.30678,0.17955,0.10458,-0.03646,0.08409,1.59569,-1.43359,2.7895,1.37039,1.3207,13.10356,-37.58549,7,0.15268,17.28557,18.85919
