"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2015_Q1",0.150491803278689,"Up",3608202,-6260181,-2651979,-1424189,-1424189,-4076168,-204441,-221899,17458,-4280609,-4280609,185473,-4095136,-4095136,-4095136,-4095136,1086701,1086701,2280469,2280469,293326,6718405,5719247,10378901,6489212,6594607,16973508,6781413,2888385,3893028,4169771,1461689,12412873,38071,1029167,13442040,6107606,-3165151,3531468,3531468,16973508,-4095136,211166,2831154,-568061,-1620877,-10552,-10552,-1027956,-1027956,-2659385,-2659385,-2660211,-3865002,4207842,-4629088,-0.73499,-1.1297,-1.13495,-1.15961,-0.24127,1.13039,0.83614,3.80636,0.24791,-0.17896,-0.17896,0.15768,0.12618,-0.20229,-0.46907,-0.80754,-0.7657
"17","2015_Q2",0.0841269841269841,"Down",4374975,-3092116,1282859,-804207,-804207,478652,-272301,-272112,-189,206351,206351,258319.581328001,206351,206351,206351,206351,886888,886888,3220715,3220715,242179,6152444,5153286,10502226,6327789,6728282,17230508,7626073,3810319,3815754,5584459,651923,13862455,35278,1026374,14888829,6296331,-4436220,2341679,2341679,17230508,206351,197228,114017,-138287,379309,-17600,-17600,-233349,-233349,128360,128360,128435,675880,5619737,-5098318.48535181,0.29323,0.10941,0.04717,0.0881199999999998,0.01198,-0.229045063722437,0.7576,6.35819,0.32615,0.00859,0.00859,0.18221,0.0757,-0.22046717065907,0.02305,7.0025,9.88787
"18","2015_Q3",0.1528125,"Up",4103887,-2696333,1407554,-910038,-910038,497516,-242910,-244165,1255,254606,254606,221113.645757522,254606,254606,254606,254606,849264,849264,2051843,2051843,198536,5312224,4313066,8411867,6116040,6405473,14817340,6400523,2843494,3557029,5300945,268925,11970393,32399,1023495,12993888,6360290,-5084990,1823452,1823452,14817340,254606,195891,101170,-138089,413578,-1.45519152283669e-11,7.27595761418343e-12,-233391,-233391,180187,180187,179853,693407,5333344,-3882949.86406063,0.34298,0.12123,0.06204,0.13963,0.01718,-1.55920544343709,0.70272,7.12598,0.35994,0.01032,0.01032,0.16641,0.05268,-0.165475750308632,0.03125,6.46674,9.01294
"19","2015_Q4",0.19109375,"Up",3506560,-2434900,1071660,-768220,-768220,303440,-291437,-291932,495,12003,12003,119911.137308282,12003,12003,12003,12003,1278667,1278667,2060211,2060211,222441,4864134,3864976,8425453,5909830,5986034,14411487,5120431,1775244,3345187,3388539,1178114,9687084,2796187,3787283,13474367,6423964,-6030708,937120,937120,14411487,12003,189509,-56169,-564952,-419609,-174615,-174615,-233434,-233434,-827658,-827658,-828312,492949,6184726,-1761342.56073914,0.30562,0.08653,0.00342,0.01281,0.000829999999999997,-1.6893481014332,0.86976,14.37849,0.42915,0.00049,0.00049,0.14213,0.01674,-0.073043954803877,0.00148,9.95247,16.16814
"20","2016_Q1",0.20327868852459,"Up",4868530,-3136857,1731673,-902544,-902544,829129,55597,55929,-332,884726,884726,767.999999999884,885494,885494,885494,885494,1332166,1332166,2022480,2022480,128595,2926450,2926450,6409691,4814184,5674798,12084489,2809582,996065,1804485,953106,2136853,5899541,3735410,4456777,10356318,7097481,-5390878,1728171,1728171,12084489,885494,164925,100090,-475694,674815,-29449,-29449,-233477,-129885,515481,515481,515865,994054,4688516,488143,0.35569,0.1703,0.18188,0.51239,0.07328,0.55127,1.08647,5.99265,0.38798,0.03827,0.03827,0.21041,0.07469,0.0211,0.12405,3.37643,4.04804
"21","2016_Q2",0.2125,"Up",4644805,-3109412,1535393,-888178,-888178,647215,-192459,-193210,751,454756,454756,-9453,445303,445303,445303,445303,2858278,2858278,1395905,1395905,139915,2155862,2155862,6549960,4638134,5446304,11996264,2306654,617919,1670250,577336,1728885,4612875,4482724,5199252,9812127,7109086,-4945575,2184137,2184137,11996264,445303,176050,25454,739558,1386365,0,0,284200,139862,1526227,1526227,1526112,823265,5060060,1572276,0.33056,0.13934,0.09587,0.20388,0.03712,3.5308,1.41993,4.49245,0.4218,0.01791,0.01791,0.18679,0.08783,0.06323,0.05594,2.67445,3.40193
"22","2016_Q3",0.47703125,"Up",3656163,-2182547,1473616,-739585,-739585,734031,-176444,-183268,6824,557587,557587,-11505,546082,546082,546082,546082,2838328,2838328,904461,904461,125590,2533958,2533958,6402337,4575552,5436985,11839322,2224108,589602,1604516,615948,1191495,4031551,4354839,5066528,9098079,7120391,-4399493,2741243,2741243,11839322,546082,177438,46972.9999999999,-728103,42390,-114856,-114856,54015.9999999999,52358.9999999999,-20107.0000000002,-20107.0000000002,-19950.0000000005,911469,4970787,80014.9999999998,0.40305,0.20077,0.14936,0.19921,0.04612,0.14653,1.58806,3.31896,0.41985,0.02096,0.02089,0.14033,0.10521,0.00307,0.06483,2.33958,2.90513
"23","2016_Q4",0.519047619047619,"Up",5318610,-3266721,2051889,-1955093,-1955093,96796,-206391,-207521,1130,-109595,1012692,-20598,992094,992094,992094,992094,3794773,3794773,771202,771202,124394,3414373,3414373,8104742,4747890,5556060,13660802,1749665,548759,1195317,696245,663158,3109068,5041868,5748718,8857786,8191166,-3407399,4803016,4803016,13660802,992094,165626,321906,-996293,483333,-337964,-337964,824539,811397,956766,956766,956445,262422,5738113,-1051237,0.38579,0.0182,0.18653,0.20656,0.07262,-1.05961,2.60681,1.84421,0.42004,0.0363,0.03591,0.1946,0.17573,-0.03846,0.0882,7.4054,20.07666
"24","2017_Q1",0.723387096774194,"Up",4931096,-3895862,1035234,-754131,-754131,281103,-60288,-60022,-266,220815,220815,2875875,3096690,3096690,3096690,3096690,3066156,3066156,1870672,1870672,141792,2519317,2519317,7597937,4912202,7883882,15481819,1258723,365308,893415,717481,642831,2619035,4874721,4892463,7511498,8261702,-310709,7970321,7970321,15481819,3096690,170179,-2750672,-698512,-182315,-334988,-334988,-171872,-211184,-728487,-728487,-728617,451282,5592202,-3458093,0.20994,0.05701,0.62799,0.38853,0.20002,-1.11671,2.90104,0.94243,0.36121,0.11336,0.11195,0.18051,0.29176,-0.12659,0.22803,5.59749,8.98619
"25","2017_Q2",0.703650793650794,"Down",5830386,-4089799,1740587,-919759,-919759,820828,-108691,-108782,91,712137,712137,-287635,424502,424502,424502,424502,3332214,3332214,1229319,1229319,151519,3842119,3842119,8555171,4953535,8107136,16662307,1607844,564731,1038710,729784,574309,2911937,4721390,5255723,8167660,8361090,113793,8494647,8494647,16662307,424502,171613,523122,-545456,573781,-132946,-132946,-174591,-174591,266244,266244,266058,992441,5451174,601674,0.29854,0.14078,0.07281,0.04997,0.0254800000000001,1.41736,2.93797,0.96151,0.32716,0.01473,0.01426,0.20227,0.2947,0.02087,0.02932,2.13510000000001,2.58149
"26","2017_Q3",0.662698412698413,"Down",4588894,-3155893,1433001,-720341,-720341,712660,-98958,-100414,1456,613702,613702,-245516,368186,368186,368186,368186,2489626,2489626,2175822,2175822,200787,3759962,3759962,8626197,5369167,7802095,16428292,1389035,380318,1008717,742292,827573,2958900,4546078,4554142,7513042,8412399,481979,8915250,8915250,16428292,368186,179809,201128,-780941,-31818,-595440,-632427,-177918,-177918,-842163,-842163,-842588,892469,5288370,-238396,0.31228,0.1553,0.08023,0.0413,0.02241,-0.64749,2.91534,0.84272,0.32191,0.01277,0.01238,0.1592,0.30929,-0.00827000000000001,0.02591,3.13596,3.92718
"27","2017_Q4",0.596349206349206,"Down",3642294,-3219543,422751,-596271,-596271,-173520,-104775,-104861,86,-278295,-278295,-413096,-691391,-691391,-691391,-691391,2971029,2971029,1609588,1609588,207292,2992013,2992013,7779922,5303210,7299888,15079810,1077030,259035,817995,753990,576710,2407730,4368120,4371346,6779076,8488637,-209412,8300734,8300734,15079810,-691391,172218,417077,833664,731568,-106262,-69275,-180788,-180788,481505,481505,481403,-1302,5122110,1139196,0.11607,-0.04764,-0.18982,-0.08329,-0.04585,-1.64769,3.23123,0.81668,0.33967,-0.02399,-0.02399,0.12636,0.28797,0.03952,-0.0515,-1652.13594,-12.39673
"28","2018_Q1",0.551967213114754,"Down",4668420,-4288458,379962,-772631,-772631,-392669,-96297,-98931,2634,-488966,-488966,121761,-367205,-367205,-367205,-367205,2689110,2689110,1446982,1446982,2088485,798436,798436,7023013,5202448,7255606,14278619,1133789,345705,788084,766354,180706,2080849,4185274,4185274,6266123,8564877,-576617,8012496,8012496,14278619,-367205,180644,129468,39741,-17352,-79882,-79882,-184179,-184179,-281413,-281413,-281919,-212025,4951628,-373927,0.08139,-0.08411,-0.07866,-0.04583,-0.02572,1.01831,3.37507,0.78204,0.34679,-0.01274,-0.01361,0.16196,0.27797,-0.01297,-0.02832,-10.671,-5.7619
"29","2018_Q2",0.58125,"Up",4098823,-3046299,1052524,-730465,-730465,322059,-92645,-95385,2740,229414,229414,-65029,164385,164385,164385,164385,2111253,2111253,716408,716408,1025211,4591171,4591171,8444043,5078912,7546571,15990614,1085515,332798,752717,778991,1458319,3322825,3998609,3998609,7321434,8589807,57047.9999999999,8669180,8669180,15990614,164385,185585,89315,-729212,-289927,-101695,-101695,-186896,-186896,-578518,-578518,-577857,507644,4777600,-258234,0.25679,0.07857,0.04011,0.01896,0.01028,-1.57091,2.54122,0.84454,0.29878,0.0057,0.00565,0.1422,0.30076,-0.00896,0.01222,5.2523999999999,8.27906
"30","2018_Q3",0.735396825396825,"Up",3621185,-2526085,1095100,-751037,-751037,344063,-85974,-90249,4275,258089,258089,-77374,180715,180715,180715,180715,1401238,1401238,817744,817744,2119496,5988105,5988105,10326583,5058536,7406793,17733376,1819114,1031438,787676,791920,2393881,5004915,3807487,3807487,8812402,8661395,237763,8920974,8920974,17733376,180715,186475,194707,-955349,-393452,-126453,-126453,-190427,-190427,-710332,-710332,-710015,530538,4599407,-473890,0.30241,0.09501,0.0499,0.02026,0.01019,-2.62231,2.06329,0.98783,0.25936,0.00627,0.00599,0.12563,0.30949,-0.01644,0.01337,6.02816,9.2953
"31","2018_Q4",0.910483870967742,"Up",4270396,-3299166,971230,-631783,-631783,339447,-86724,-88314,1590,252723,252723,-34701,218022,218022,218022,218022,1837925,1837925,147788,147788,1980838,8433425,8433425,12399976,5046757,7365335,19765311,1503710,625598,878112,807059,4693889,7004658,3611430,3611430,10616088,8671604,455785,9149223,9149223,19765311,218022,186511,67988,331734,804255,-174732,-174732,-192486,-192486,437037,437037,436687,525958,4418489,717661,0.22743,0.07949,0.05105,0.02383,0.01103,3.29169,1.77025,1.16033,0.22355,0.00755,0.00698,0.14798,0.31704,0.02487,0.01607,4.90640999999999,7.60226
"32","2019_Q1",1.00475409836066,"Up",4712154,-3246640,1465514,-633258,-633258,832256,-48449,-80877,32428,783807,783807,-246253,537554,537554,537554,537554,2036646,2036646,1010443,1010443,1240315,4888891,4888891,9176295,4860609,6871188,16047483,1362581,609082,753499,822105,740947,2925633,3410542,3410542,6336175,8696029,993339,9711308,9711308,16047483,537554,191184,124269,-442574,410433,-8463,-8463,-196545,-202745,199225,199225,198721,1023440,4232647,818656,0.31101,0.17662,0.11408,0.05535,0.0335,1.52293,3.13652,0.65245,0.26376,0.01853,0.01751,0.16245,0.33479,0.02822,0.03855,2.14571,2.63861
"33","2019_Q2",1.04126984126984,"Up",4334268,-3224767,1109501,-741413,-741413,368088,-57093,-76523,19430,310995,310995,-90218,220777,220777,220777,220777,3530353,3530353,866062,866062,1201798,3293451,3293451,8891664,4680804,6600265,15491929,1139392,266443,872949,837844,339850,2317086,3205112,3205112,5522198,8733854,1214116,9969731,9969731,15491929,220777,190005,251977,1040517,1703276,-10200,-10200,-199533,-199533,1493543,1493543,1493707,558093,4042956,1678628,0.25598,0.08493,0.05094,0.02214,0.01425,7.60327,3.83743,0.5539,0.26097,0.00755,0.00719,0.14816,0.3408,0.05738,0.01576,0.918490000000001,1.39261
"34","2019_Q3",1.49203125,"Up",3074076,-2660558,413518,-740967,-740967,-327449,-71148,-72596,1448,-398597,-398597,107576,-291021,-291021,-291021,-291021,2554512,2554512,826841,826841,1902965,4208854,4208854,9493172,4492123,6524090,16017262,1642978,783393,859585,853888,816385,3313251,2994835,2994835,6308086,8764479,923095,9709176,9709176,16017262,-291021,190025,-712,-663733,-765441,-1343.99999999999,-1344,-203356,-209191,-975976,-975976,-975841,-137424,3848723,-910077,0.13452,-0.10652,-0.09467,-0.02997,-0.01817,3.12719,2.86521,0.6497,0.24029,-0.00995,-0.01047,0.10508,0.33189,-0.03111,-0.02147,-9.41765,-3.9524
"35","2019_Q4",1.54796875,"Up",3667276,-3352962,314314,-662675,-662675,-348361,-69143,-69328,184.999999999998,-417504,-417504,97734,-319770,-319770,-319770,-319770,1968405,1968405,752984,752984,1512082,4595315,4595315,8828786,4347796,6511148,15339934,1451874,470619,981255,1167518,828762,3448154,2481948,2481948,5930102,8784896,603325,9409832,9409832,15339934,-319770,168008,-37371,-139301,-328434,-23681,-23681,-207626,-234000,-586115,-586115,-586107,-180353,3649466,-441069,0.08571,-0.09499,-0.0872,-0.03398,-0.02085,1.37933,2.56044,0.6302,0.23791,-0.01093,-0.01093,0.12536,0.32165,-0.01508,-0.02449,-9.32095,-4.82563
"36","2020_Q1",1.48112903225806,"Down",4931668,-3629799,1301869,-640431,-640431,661438,-75942,-77629,1687,585496,90495.9999999999,-42051,48444.9999999999,48444.9999999999,48444.9999999999,48444.9999999999,930856,930856,990300,990300,1217613,5110772,5110772,8249541,4182861,6330941,14580482,1739589,185065,1554524,109829,805049,2654467,2456560,2456560,5111027,8795997,651770,9469455,9469455,14580482,48444.9999999999,169541,586172,-736780,67378,-4606,-4606,-1099985,-1100353,-1037581,-1037581,-1037549,830979,2566389,131644,0.26398,0.13412,0.00982,0.00512,0.00332,2.71739,3.1078,0.53974,0.17602,0.00165,0.00165,0.16848,0.3235,0.0045,0.00403,1.9682,2.47269
