"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","total_claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","dividend_payout_ratio"
"11","2016_Q4",30.0274603174603,"Up",3.41e+08,2.31e+08,9.4e+07,1.6e+07,1.6e+07,9e+06,-6.5e+07,2.81e+08,-2.6e+07,-2.6e+07,2.55e+08,4.8e+08,-1e+06,4.79e+08,4.79e+08,4.79e+08,4.79e+08,1.1445e+10,9.8e+07,1.08e+08,3.018e+09,1.4669e+10,5.268e+09,9.29e+08,1.304e+09,5.28e+08,8.029e+09,1.167e+09,5.11e+09,3.63e+08,6.64e+09,6.64e+09,1.4669e+10,-1.42e+08,-3.02e+08,7e+06,-2.95e+08,-1.7e+07,-1e+06,-5e+07,-3.6e+07,-1.04e+08,-5.41e+08,-5.41e+08,-1e+06,-5.42e+08,1.304e+09,0.82405,1.40469,1.20919,0.08889,3.63429,3.60421,2.58725,50.37936,0.12898,0.03549
"12","2017_Q1",35.5362903225806,"Up",5.32e+08,2.36e+08,1.17e+08,1.79e+08,3.7e+07,-1.12e+08,-1.95e+08,2.38e+08,-7.7e+07,-7.7e+07,1.61e+08,2.48e+08,-5e+07,1.98e+08,1.98e+08,1.98e+08,1.98e+08,1.0985e+10,1.18e+08,1.06e+08,2.942e+09,1.4151e+10,4.638e+09,1.424e+09,1.306e+09,2.79e+08,7.647e+09,1.061e+09,5.289e+09,1.54e+08,6.504e+09,6.504e+09,1.4151e+10,8.1e+07,-3.8e+08,4.99e+08,1.19e+08,-1.7e+07,0,-1.1e+08,-44000000.0000001,-1.71e+08,29000000.0000001,28999999.9999999,-1e+06,2.8e+07,1.306e+09,0.44737,0.37218,1.17574,0.09229,1.52308,1.50342,4.09231,50.03077,0.13077,0.08586
"13","2017_Q2",35.4692063492064,"Down",3.01e+08,1.64e+08,1.22e+08,1.5e+07,1.5e+07,5.9e+07,-7.2e+07,2.88e+08,3.8e+07,2.4e+07,3.26e+08,2.65e+08,5.5e+07,3.2e+08,3.2e+08,3.2e+08,3.2e+08,1.1341e+10,1.47e+08,1.06e+08,2.025e+09,1.4675e+10,5.02e+09,1.329e+09,1.307e+09,3.82e+08,8.038e+09,8.42e+08,5.588e+09,2.07e+08,6.637e+09,6.637e+09,1.4675e+10,1.02e+08,2.65e+08,-5.4e+07,2.11e+08,-1.9e+07,-1e+06,-2.26e+08,-4.8e+07,-2.94e+08,1.9e+07,4e+07,2e+06,4.2e+07,1.307e+09,0.95681,1.06312,1.21109,0.08906,2.55387,2.5177,2.40223,52.96887,0.15164,0.05938
"14","2017_Q3",38.6707936507936,"Up",2.96e+08,1.62e+08,1.01e+08,3.3e+07,9000000.00000001,-7.2e+07,-5.7e+07,1.63e+08,-2.5e+07,-2.5e+07,1.38e+08,1.5e+08,3e+06,1.53e+08,1.53e+08,1.53e+08,1.53e+08,1.1271e+10,2e+08,1.07e+08,3.077e+09,1.4655e+10,5.383e+09,9.7e+08,1.294e+09,2.58e+08,7.905e+09,7.12e+08,5.722e+09,3.16e+08,6.75e+09,6.75e+09,1.4655e+10,9.6e+07,-9.46e+08,1.096e+09,1.5e+08,-1.7e+07,-5e+06,-1.34e+08,-3.8e+07,-1.94e+08,5.2e+07,3.1e+07,1e+06,3.2e+07,1.294e+09,0.55068,0.51689,1.17111,0.0883,1.26134,1.24694,2.44023,55.64716,0.14015,0.11111
"15","2017_Q4",32.8544444444444,"Down",6.2e+08,1.86e+08,9.9e+07,3.35e+08,3.35e+08,-2.23e+08,-5.8e+07,3.34e+08,-2.4e+07,-2.4e+07,3.1e+08,3.13e+08,-1.05e+08,2.08e+08,2.08e+08,2.08e+08,2.08e+08,1.1591e+10,7.2e+07,1.05e+08,2.881e+09,1.4649e+10,4.923e+09,1.118e+09,1.292e+09,4.38e+08,7.771e+09,6.38e+08,5.913e+09,3.27e+08,6.878e+09,6.878e+09,1.4649e+10,1.56e+08,-2.45e+08,1.16e+08,-1.29e+08,-1.7e+07,-2.3e+07,-7.9e+07,-3.8e+07,-1.57e+08,-1.3e+08,-1.3e+08,1e+06,-1.29e+08,1.292e+09,0.53871,0.33548,1.12983,0.0882,1.75084,1.72328,5.21886,57.89562,0.1431,0.08173
"16","2018_Q1",32.0290163934426,"Down",4.64e+08,1.78e+08,9.5e+07,1.91e+08,99000000.0000001,-1.52e+08,-5.7e+07,2.45e+08,-8.6e+07,-7.2e+07,1.59e+08,2.63e+08,-2.14e+08,4.9e+07,4.9e+07,4.9e+07,4.9e+07,1.1395e+10,1.44e+08,1.01e+08,2.793e+09,1.4433e+10,4.919e+09,1.028e+09,1.292e+09,3.55e+08,7.594e+09,5.74e+08,5.892e+09,3.73e+08,6.839e+09,6.839e+09,1.4433e+10,7.9e+07,1.747e+09,-1.629e+09,1.18e+08,-1.7e+07,-1.58e+08,-6.2e+07,1.11e+08,-1.26e+08,7.1e+07,7.1e+07,1e+06,7.2e+07,1.292e+09,0.52802,0.1056,1.1104,0.08952,0.4188,0.41281,3.96581,58.45299,0.1453,0.34694
"17","2018_Q2",33.2646875,"Up",2.93e+08,1.45e+08,1e+08,4.8e+07,-1e+06,1.8e+07,-6.5e+07,2.41e+08,-2.4e+07,-2.4e+07,2.17e+08,2.17e+08,-2e+07,1.97e+08,1.97e+08,1.97e+08,1.97e+08,1.1151e+10,1.14e+08,1e+08,1.588e+09,1.4019e+10,4.694e+09,9.45e+08,1.281e+09,3.15e+08,7.235e+09,4.67e+08,6.102e+09,2.15e+08,6.784e+09,6.784e+09,1.4019e+10,2.7e+07,1.78e+08,-5.2e+07,1.26e+08,-1.8e+07,-1.9e+07,-1.11e+08,-3.3e+07,-1.81e+08,-2.8e+07,-5.5e+07,1e+06,-5.4e+07,1.281e+09,0.82253,0.67235,1.06648,0.09138,1.71007,1.68954,2.5434,58.88889,0.15625,0.09137
"18","2018_Q3",36.4420634920635,"Up",2.2e+08,1.36e+08,9.8e+07,-1.4e+07,-1.4e+07,-4.4e+07,-6.2e+07,1.1e+08,-2.3e+07,-2.4e+07,8.7e+07,8.7e+07,-1.2e+07,74999999.9999999,74999999.9999999,7.5e+07,7.5e+07,1.1238e+10,1.85e+08,1.02e+08,2.607e+09,1.4132e+10,4.962e+09,9.37e+08,1.264e+09,3.35e+08,7.498e+09,3.22e+08,6.159e+09,1.53e+08,6.634e+09,6.634e+09,1.4132e+10,4.17e+08,3.38e+08,-4.78e+08,-1.4e+08,-1.9e+07,-5e+06,-1.51e+08,-2.8e+07,-2.03e+08,7.4e+07,1.46e+08,-2e+06,1.44e+08,1.264e+09,0.5,0.34091,1.13024,0.08944,0.67204,0.66372,1.97133,59.44444,0.17025,0.25333
"19","2018_Q4",36.7833333333333,"Up",2.75e+08,1.42e+08,9.9e+07,3.4e+07,-7e+06,-1.7e+07,-5.6e+07,1.99e+08,-2.4e+07,-2.3e+07,1.75e+08,1.75e+08,-1.4e+07,1.61e+08,1.61e+08,1.61e+08,1.61e+08,1.1025e+10,8.2e+07,1.03e+08,2.529e+09,1.3739e+10,4.685e+09,7.84e+08,1.249e+09,4.38e+08,7.156e+09,2.01e+08,6.303e+09,7.9e+07,6.583e+09,6.583e+09,1.3739e+10,-9.2e+07,2.18e+08,-1e+07,2.08e+08,-1.8e+07,-4.9e+07,-1.18e+08,-3.7e+07,-2.22e+08,-1.06e+08,-2.13e+08,-1e+06,-2.14e+08,1.249e+09,0.72364,0.58545,1.08704,0.09091,1.49074,1.47571,2.5463,60.9537,0.16667,0.1118
"20","2019_Q1",38.5083606557377,"Up",2.13e+08,1.25e+08,9.8e+07,-1e+07,-4.9e+07,-2.1e+07,-6.5e+07,1.23e+08,-2.2e+07,-2.3e+07,1.01e+08,1.01e+08,-1.3e+07,8.8e+07,8.8e+07,8.8e+07,8.8e+07,1.0873e+10,1.04e+08,1.05e+08,1.617e+09,1.3603e+10,4.689e+09,8.28e+08,1.233e+09,2.98e+08,7.048e+09,8.7e+07,6.374e+09,9.4e+07,6.555e+09,6.555e+09,1.3603e+10,1.1e+08,-1.653e+09,1.756e+09,1.03e+08,-1.6e+07,-2.8e+07,-1.2e+08,-2.5e+07,-1.89e+08,24000000.0000001,4.6e+07,-2e+06,44000000.0000001,1.233e+09,0.57746,0.41315,1.07521,0.09064,0.8365,0.82629,2.02471,62.30989,0.15209,0.18182
"21","2019_Q2",40.9630158730159,"Up",1.95e+08,1.18e+08,9.8e+07,-2.1e+07,-5e+06,-4.6e+07,-6.4e+07,7.9e+07,-2.1e+07,-2.3e+07,5.8e+07,5.8e+07,-4e+06,5.4e+07,5.4e+07,5.4e+07,5.4e+07,1.0777e+10,1.23e+08,1.04e+08,1.65e+09,1.3551e+10,4.469e+09,8.38e+08,1.232e+09,3.43e+08,6.882e+09,1e+06,6.406e+09,2.62e+08,6.669e+09,6.669e+09,1.3551e+10,-3.32e+08,1.37e+08,3.55e+08,4.92e+08,-2e+07,-3e+06,-8e+07,-3.9e+07,-1.42e+08,1.8e+07,3.7e+07,1e+06,3.8e+07,1.232e+09,0.40513,0.27692,1.03194,0.09092,0.52427,0.51923,1.8932,64.74757,0.19417,0.37037
"22","2019_Q3",41.06203125,"Up",2.66e+08,1.12e+08,1.1e+08,4.4e+07,4.7e+07,1000000.00000001,-6e+07,2.03e+08,-2.1e+07,-2.2e+07,1.82e+08,1.82e+08,-4e+07,1.42e+08,1.42e+08,1.42e+08,1.42e+08,1.0793e+10,1.9e+08,1.06e+08,1.626e+09,1.3581e+10,4.489e+09,7.75e+08,1.233e+09,3.62e+08,6.859e+09,1e+06,6.425e+09,2.96e+08,6.722e+09,6.722e+09,1.3581e+10,1.34e+08,3.34e+08,-1.95e+08,1.39e+08,-1.9e+07,-1e+06,-1.1e+08,-7.1e+07,-2.01e+08,7.2e+07,1.43e+08,-1e+06,1.42e+08,1.233e+09,0.76316,0.53383,1.02038,0.09079,1.40316,1.39216,2.62846,66.42292,0.18775,0.1338
"23","2019_Q4",44.78640625,"Up",2.06e+08,1.23e+08,8.8e+07,-5e+06,-1.1e+07,-3e+07,-6.5e+07,1.08e+08,-2.2e+07,-2.2e+07,8.6e+07,8.6e+07,-1.7e+07,6.9e+07,6.9e+07,6.9e+07,6.9e+07,1.0476e+10,2.29e+08,1.07e+08,1.711e+09,1.3367e+10,4.341e+09,7.07e+08,1.234e+09,4.33e+08,6.715e+09,1e+06,6.331e+09,3.2e+08,6.652e+09,6.652e+09,1.3367e+10,-1.67e+08,-2.3e+07,4.62e+08,4.39e+08,-1.7e+07,0,-1.5e+08,-6.8e+07,-2.35e+08,3.7e+07,7.2e+07,-2e+06,7e+07,1.234e+09,0.52427,0.33495,1.00947,0.09232,0.70265,0.69838,2.09776,67.73931,0.17312,0.24638
"24","2020_Q1",38.8803225806452,"Down",2.99e+08,1.23e+08,8.2e+07,9.4e+07,3e+07,-1.8e+07,-1.32e+08,1.62e+08,3e+06,-2.2e+07,1.65e+08,1.38e+08,-2e+06,1.36e+08,1.36e+08,1.37e+08,1.37e+08,1.024e+10,1.69e+08,1.11e+08,2.52e+09,1.4326e+10,4.786e+09,6.6e+08,1.235e+09,9.93e+08,7.674e+09,1e+06,6.295e+09,3.43e+08,6.639e+09,6.652e+09,1.4326e+10,1.08e+08,-9.26e+08,7.73e+08,-1.53e+08,-1.8e+07,-5e+06,-1.6e+08,1.77e+08,-5999999.99999997,-5.1e+07,-1.76e+08,5e+06,-1.71e+08,1.235e+09,0.54181,0.45819,1.15364,0.08621,1.44515,1.42708,3.15401,70.03165,0.18987,0.13139
"25","2020_Q2",25.8063492063492,"Down",1.7e+08,1.03e+08,8e+07,-1.3e+07,3.4e+07,-2e+07,-1.09e+08,3.8e+07,-2.6e+07,-2.2e+07,1.2e+07,-6.2e+07,4e+06,-5.8e+07,-5.8e+07,-5.5e+07,-5.5e+07,9.622e+09,1.39e+08,1.13e+08,2.638e+09,1.3745e+10,4.756e+09,6.59e+08,1.221e+09,8.36e+08,7.472e+09,1e+06,6.1e+09,1.39e+08,6.24e+09,6.273e+09,1.3745e+10,-1.64e+08,-1520417464.85497,3.89e+08,3.89e+08,-2e+07,-2.1e+07,-1.16e+08,-2.3e+07,-1.8e+08,4.5e+07,4.5e+07,-7e+06,3.8e+07,1.221e+09,0.22353,-0.32353,1.19114,0.08883,-0.59395,-0.59395,1.83585,67.38661,0.21598,-0.36364
"26","2020_Q3",21.0340625,"Down",3.01e+08,1.21e+08,7.8e+07,1.02e+08,-1.2e+07,-3.7e+07,-8.8e+07,1.72e+08,-2.1e+07,-2.1e+07,1.51e+08,2.22e+08,-3.4e+07,1.88e+08,1.88e+08,1.83e+08,1.83e+08,9.573e+09,2.93e+08,1.16e+08,3.504e+09,1.478e+10,4.818e+09,5.15e+08,1.222e+09,1.716e+09,8.271e+09,1e+06,6.109e+09,3.34e+08,6.444e+09,6.509e+09,1.478e+10,-2.81e+08,-1504819621.11204,3.44e+08,3.44e+08,-1.7e+07,3.61e+08,-1.64e+08,9e+06,1.89e+08,2.52e+08,2.52e+08,-1.86264514923096e-09,2.52e+08,1.222e+09,0.57143,0.60797,1.2707,0.08268,2.11806,2.08428,3.4838,74.58333,0.19676,0.0929
"27","2020_Q4",28.25328125,"Up",2.21e+08,1.07e+08,7.1e+07,4.3e+07,2.3e+07,-7.3e+07,-1.09e+08,4.6e+07,-3.7e+07,-2.1e+07,9e+06,7.9e+07,1e+07,8.9e+07,8.9e+07,8.6e+07,8.6e+07,9.527e+09,2.23e+08,1.18e+08,3.506e+09,1.4695e+10,4.744e+09,5.17e+08,1.223e+09,1.594e+09,8.078e+09,1e+06,6.143e+09,4.05e+08,6.549e+09,6.617e+09,1.4695e+10,-2.19e+08,-855999999.999999,1.029e+09,1.73e+08,-1.6e+07,-1.7e+07,-4e+07,5.2e+07,-2.1e+07,-6.7e+07,-6.7e+07,0,-6.7e+07,1.223e+09,0.20814,0.38914,1.22079,0.08323,1.03365,1.02871,2.65625,78.71394,0.19231,0.18605
"28","2021_Q1",38.6744262295082,"Up",2.66e+08,1.54e+08,6.8e+07,4.4e+07,4e+06,-7.3e+07,-1.35e+08,5.8e+07,6.5e+07,-2.1e+07,1.23e+08,1.74e+08,-2.5e+07,1.49e+08,1.49e+08,1.48e+08,1.48e+08,9.838e+09,1.62e+08,1.19e+08,5.215e+09,1.5334e+10,4.823e+09,1.03e+08,1.224e+09,2.479e+09,8.629e+09,1e+06,6.143e+09,4.99e+08,6.643e+09,6.705e+09,1.5334e+10,7.65e+08,-5.5e+07,-1.017e+09,-1.072e+09,-1.6e+07,3.4e+08,-1.26e+08,-3e+06,1.95e+08,-1.12e+08,-1.12e+08,4e+06,-1.08e+08,1.224e+09,0.21805,0.55639,1.28695,0.07982,1.85464,1.83168,3.33333,83.24561,0.2005,0.10811
"29","2021_Q2",45.6133333333333,"Up",1.75e+08,1.03e+08,7e+07,2e+06,-3e+06,-3e+07,-1.2e+08,2.5e+07,-1.2e+07,-2.1e+07,1.3e+07,1.1e+07,-20261767.1231697,1.1e+07,1.1e+07,7e+06,7e+06,9.599e+09,9.5e+07,1.24e+08,4.841e+09,1.6018e+10,4.776e+09,4.42e+08,1.225e+09,3.082e+09,9.525e+09,1e+06,6.055e+09,3.74e+08,6.43e+09,6.493e+09,1.6018e+10,-4.66e+08,-3.96e+08,5.21e+08,1.25e+08,-1.8e+07,4.8e+08,-7.7e+07,4e+06,3.89e+08,4.8e+07,4.8e+07,4685477.82297851,4.8e+07,1.225e+09,0.14286,0.0400000000000001,1.46696,0.07648,0.0912599999999997,0.0903200000000002,2.28162,83.83312,0.23468,2.57143
"30","2021_Q3",46.6765625,"Up",2.11e+08,1.02e+08,6.8e+07,4.1e+07,-4.8e+07,1.6e+07,-9.8e+07,1.29e+08,-2.7e+07,-2.3e+07,1.02e+08,7.9e+07,2.3e+07,1.02e+08,1.02e+08,9.8e+07,9.8e+07,1.273e+09,1.44e+08,1.0269e+10,4.167e+09,1.7226e+10,4.768e+09,4.77e+08,1.72e+09,3.688e+09,1.0653e+10,1e+06,6.056e+09,4.46e+08,6.503e+09,6.573e+09,1.7226e+10,-4.83e+08,1.07e+08,-4.88e+08,-3.81e+08,-1.7e+07,9.17e+08,-8.8e+07,2e+06,8.14e+08,-5e+07,-5e+07,1697632.70288459,-5e+07,1.72e+09,0.61137,0.46445,1.62072,0.09985,1.27771,1.26452,2.75098,84.78488,0.22164,0.17347
"31","2021_Q4",50.4603125,"Up",2.18e+08,1.02e+08,6.6e+07,5e+07,5e+06,6.8e+07,-1e+08,1.86e+08,-2.7e+07,-2.3e+07,1.59e+08,5e+06,1.5e+07,2e+07,2e+07,1.7e+07,1.7e+07,9.617e+09,1.01e+08,129000000.000002,7.767e+09,1.7614e+10,4.697e+09,4.38e+08,1.671e+09,4.412e+09,1.1218e+10,1e+06,5.924e+09,3.75e+08,6.3e+09,6.396e+09,1.7614e+10,-8.43e+08,2.1e+07,4.04e+08,4.25e+08,-1.6e+07,4.95e+08,-1.4e+08,2.4e+07,3.63e+08,-5.5e+07,-5.5e+07,-1e+06,-5.6e+07,1.671e+09,0.85321,0.0779799999999999,1.75391,0.09487,0.25178,0.2288,3.22875,93.30787,0.23697,0.94118
