"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",29.731935483871,"Down",707884000,-638617000,69267000,-47782000,-47782000,21485000,321000,527000,-206000,21806000,21806000,-7049000,14757000,14757000,14757000,14757000,34295000,34295000,445206000,445206000,501980000,52191000,35460000,1033672000,46332000,127537000,56363000,71174000,173869000,1207541000,398504000,397163000,1341000,465886000,46920000,52285000,52285000,99205000,565091000,137348000,514659000,-9557000,642450000,642450000,1207541000,14757000,14757000,2754000,464000,29805000,47780000,-4674000,-4674000,-54044000,4704000,4704000,-3366000,-52706000,-9600000,-9600000,1302000,-8298000,24239000,46920000,56419000,0.09785,0.03035,0.02085,0.02297,0.01222,3.8232,2.21872,0.87959,0.03886,0.53683,0.52856,25.75154,23.37117,2.05242,0.0199,0.07607,0.52085,0.58762
"12","2013_Q1",30.6628333333333,"Up",754469000,-680642000,73827000,-45511000,-45511000,28316000,315000,504000,-189000,28631000,28631000,-8846000,19785000,19785000,19785000,19785000,29173000,29173000,458341000,458341000,487946000,56470000,41846000,1031930000,48785000,121091000,53885000,67206000,169876000,1201806000,421381000,419683000,1698000,498401000,5429000,45665000,45665000,51094000,549495000,139557000,534445000,-21691000,652311000,652311000,1201806000,19785000,19785000,1986000,149000,12970000,34890000,-2603000,-2603000,-36001000,-429000,-429000,1570000,-34860000,-2573000,-2573000,-2549000,-5122000,30302000,9697000,49515000,0.09785,0.03753,0.02622,0.03033,0.01646,2.50265,2.07048,0.84238,0.00807,0.71745,0.70972,27.35863,23.65417,1.79552,0.02796,0.06997,-0.64273,-0.68781
"13","2013_Q2",30.3159375,"Down",733605000,-659565000,74040000,-47825000,-47825000,26215000,524000,509000,15000,26739000,26739000,-9097000,17642000,17642000,17642000,17642000,38731000,38731000,468718000,468718000,471014000,53868000,38730000,1032331000,48328000,127431000,54187000,73244000,175759000,1208090000,394169000,384111000,10058000,466195000,17644000,48115000,44797000,65759000,531954000,142604000,552086000,-18554000,676136000,676136000,1208090000,17642000,17642000,2228000,2709000,-20180000,2399000,-2006000,-2006000,7601000,759000,759000,608000,8968000,9361000,9361000,197000,9558000,28443000,17644000,15354000,0.10093,0.03573,0.02405,0.02609,0.0146,0.87031,2.21438,0.78676,0.0146,0.63879,0.63231,26.56257,24.48171,0.55594,0.02378,0.0207,-0.74138,-0.80439
"14","2013_Q3",33.9021875,"Up",747715000,-673365000,74350000,-49925000,-49925000,24425000,349000,403000,-54000,24774000,24774000,-8417000,16357000,16357000,16357000,16357000,31455000,31455000,464286000,464286000,474713000,57818000,42540000,1028272000,48685000,126566000,54080000,72486000,175251000,1203523000,355375000,353108000,2267000,430571000,27237000,48755000,45968000,75992000,506563000,144894000,568443000,-16377000,696960000,696960000,1203523000,16357000,16357000,2188000,4440000,-35372000,-12387000,-1198000,-1198000,9829000,699000,699000,-4475000,6053000,-7532000,-7531999.99999999,256000,-7276000,26613000,27781000,-1540000,0.09944,0.03267,0.02188,0.02347,0.01359,-0.0941500000000003,2.38816,0.72682,0.02308,0.59023,0.58512,26.98066,25.14921,-0.05557,0.02115,-0.00199,-0.13805,-0.15042
"15","2013_Q4",39.45359375,"Up",682966000,-614133000,68833000,-48038000,-48038000,20795000,385000,380000,5000,21180000,21180000,-7202000,13978000,13978000,13978000,13978000,93905000,93905000,431264000,431264000,407093000,56728000,42041000,988990000,49008000,120441000,53743000,66698000,169449000,1158439000,328357000,325658000,2699000,401050000,5429000,42048000,39169000,47477000,448527000,146975000,582421000,-19484000,709912000,709912000,1158439000,13978000,13978000,2188000,2506000,67322000,85994000,-1259000,-1259000,-22504000,773000,773000,-61000,-21792000,62943000,62943000,-493000,62450000,22983000,5429000,96248000,0.10079,0.03045,0.02047,0.01969,0.01207,6.88568,2.466,0.63181,0.00469,0.50196,0.49879,24.52566,25.4933,3.45631,0.01846,0.12708,-3.84963,-4.25468
"16","2014_Q1",39.3885245901639,"Down",712678000,-637027000,75651000,-96043000,-96043000,-20392000,725000,171000,554000,-19667000,-19667000,6352000,-13315000,-13315000,-13315000,-13315000,148164000,148164000,435028000,435028000,402307000,56561000,40105000,1042060000,20203000,101920000,31795000,70125000,122123000,1164183000,363967000,362271000,1696000,427682000,5429000,35116000,34911000,40545000,468227000,149821000,569107000,-22972000,695956000,695956000,1164183000,-13315000,-13315000,1853000,36777000,28123000,53438000,-368000,-368000,0,1793000,1793000,0,1793000,54863000,54863000,-604000,54259000,-18539000,5429000,2864000.00000001,0.10615,-0.02861,-0.01868,-0.01913,-0.01144,-0.2151,2.43653,0.67278,0.00466,-0.47693,-0.47391,25.52754,24.92858,0.102589999999999,-0.01808,0.00389,7.69917,6.99956
"17","2014_Q2",38.1649206349206,"Down",731904000,-655405000,76499000,-48278000,-48278000,28221000,218000,327000,-109000,28439000,28439000,-9002000,19437000,19437000,19437000,19437000,193769000,193769000,443256000,443256000,433109000,58545000,43023000,1128679000,19545000,103633000,32044000,71589000,123178000,1251857000,427833000,417103000,10730000,491253000,5429000,31427000,30729000,36856000,528109000,153905000,588544000,-18701000,723748000,723748000,1251857000,19437000,19437000,1869000,4382000,20013000,45701000,-215000,-215000,3.72529029846191e-09,2786000,2786000,-3370000,-584000,44902000,44902000,703000,45605000,30090000,5429000,58890000,0.10452,0.03856,0.02656,0.02686,0.01553,3.02979,2.29755,0.72969,0.00434,0.69334,0.68786,26.10773,25.81679,2.10066,0.02555,0.07743,-6.25922,-6.67375
"18","2014_Q3",37.345,"Down",740618000,-663362000,77256000,-49795000,-49795000,27461000,348000,290000,58000,27809000,27809000,-9511000,18298000,18298000,18298000,18298000,157130000,157130000,438358000,438358000,467202000,57546000,40731000,1120236000,18890000,99176000,31994000,67182000,118066000,1238302000,386133000,383996000,2137000,451067000,5429000,30360000,30159000,35789000,486856000,163680000,606842000,-19076000,751446000,751446000,1238302000,18298000,18298000,1778000,4954000,-69382000,-44352000,-207000,-207000,0,8269000,8269000,137000.000000001,8406000,-36153000,-36153000,-486000,-36639000,29239000,5429000,-30839000,0.10431,0.03708,0.02471,0.02435,0.01478,-1.68538,2.48352,0.64789,0.00438,0.64673,0.63986,26.17672,26.55943,-1.08999,0.02324,-0.03917,-5.18831,-5.52423
"19","2014_Q4",37.56015625,"Up",682998000,-609647000,73351000,-47686000,-47686000,25665000,315000,329000,-14000,25980000,25980000,-9031000,16949000,16949000,16949000,16949000,183562000,183562000,419889000,419889000,479871000,57823000,41947000,1141145000,25674000,85555000,32143000,53412000,111229000,1252374000,378181000,375892000,2289000,446655000,5429000,27504000,27312000,32933000,479588000,166509000,623791000,-17514000,772786000,772786000,1252374000,16949000,16949000,1744000,12395000,233000,31321000,-6363000,-6363000,-2.3283064365387e-10,1097000,1097000,-46000,1051000,26009000,26009000,423000,26432000,27409000,5429000,30310000,0.1074,0.03758,0.02482,0.02193,0.01353,1.78831,2.55487,0.6206,0.00433,0.59466,0.58994,23.96316,27.1134,1.06343,0.02104,0.03762,-6.49907,-6.9407
"20","2015_Q1",37.8867213114754,"Up",758114000,-684121000,73993000,-33554000,-33554000,40439000,440000,687000,-247000,40879000,40879000,-13774000,27105000,27105000,27105000,27105000,194851000,194851000,464405000,464405000,504758000,51667000,33558000,1215681000,31823000,87620000,32342000,39283000,119443000,1335124000,430406000,421721000,8685000,499831000,5429000,27221000,27036000,32650000,532481000,168447000,650896000,-16700000,802643000,802643000,1335124000,27105000,27105000,1984000,337000,-14374000,15052000,-4443000,-4443000,0,429000,429000,-16999.9999999995,412000.000000002,11021000,11021000,268000,11289000,42423000,5429000,37380000,0.0976,0.05334,0.03575,0.03377,0.0203,1.37908,2.43218,0.66341,0.00407,0.95042,0.94036,26.58277,28.14415,1.31071,0.03245,0.04475,-4.46508,-4.68414
"21","2015_Q2",39.7009523809524,"Up",791720000,-714075000,77645000,-48668000,-48668000,28977000,259000,645000,-386000,29236000,29236000,-10028000,19208000,19208000,19208000,19208000,139863000,139863000,500002000,500002000,495090000,62799000,44497000,1197754000,38423000,124814000,50945000,73869000,163237000,1360991000,438709000,423545000,15164000,514430000,5429000,30867000,26511000,36296000,550726000,170104000,670104000,-29943000,810265000,810265000,1360991000,19208000,19208000,1897000,-1030000,-19377000,698000,-7319000,-42835000,-4690000,205000,205000,-5459000,-9944000,-52081000,-52081000,-2907000,-54988000,30874000,5429000,14206000,0.09807,0.0366,0.02426,0.02371,0.01411,0.73959,2.32831,0.67969,0.00399,0.67293,0.66708,27.73683,28.38653,0.49769,0.02269,0.01678,-4.35428,-4.63933
"22","2015_Q3",36.61890625,"Down",807018000,-728906000,78112000,-52121000,-52121000,25991000,-53000.0000000001,285000,-338000,25938000,25938000,-9117000,16821000,16821000,16821000,16821000,121513000,121513000,490713000,490713000,518419000,58118000,39872000,1188763000,43232000,118497000,48966000,69531000,161729000,1350492000,421549000,419614000,1935000,495608000,5429000,30707000,26776000,36136000,531744000,171825000,686925000,-40002000,818748000,818748000,1350492000,16821000,16821000,2443000,3782000,-33407000,-10361000,-6464000,-6464000,-60000,44000,44000,190000.000000002,173999.999999996,-16651000,-16651000,-1699000,-18350000,28434000,5429000,-2320000,0.09679,0.03221,0.02084,0.02054,0.01246,-0.13792,2.3986,0.64946,0.00402,0.58858,0.58343,28.23815,28.64859,-0.08118,0.01968,-0.00271,-4.08258,-4.46632
"23","2015_Q4",36.92390625,"Up",763203000,-683187000,80016000,-58520000,-58520000,21496000,-1675000,-161000,-1514000,19821000,19821000,-6878000,12943000,12943000,12943000,12943000,93578000,93578000,487148000,487148000,485603000,68024000,47145000,1134353000,47401000,165165000,64848000,100317000,212566000,1346919000,394724000,392396000,2328000,480982000,6696000,60190000,56554000,66886000,547868000,171084000,699868000,-71901000,799051000,799051000,1346919000,12943000,12943000,3710000,6003000,14144000,36800000,-6071000,-30295000,-23721000,-2564000,130000,-111000,-26396000,-19891000,-19891000,-8044000,-27935000,25206000,11867000,40157000,0.10484,0.02817,0.01696,0.0162,0.00961,3.1026,2.35841,0.68565,0.00881,0.45183,0.44855,26.64257,27.89398,1.40184,0.01486,0.0461,-3.24173,-3.80122
"24","2016_Q1",34.875737704918,"Down",856685000,-765368000,91317000,-66340000,-54343000,24977000,-66000,72000,-138000,24911000,24911000,-8464000,16447000,16447000,16447000,16447000,121646000,121646000,522532000,522532000,553063000,46917000,46917000,1244158000,46574000,186209000,66509000,34465000,232783000,1476941000,505509000,501329000,4180000,598760000,5966000,63230000,59457000,69196000,667956000,157172000,716315000,-64502000,808985000,808985000,1476941000,16447000,16447000,3947000,5385000,22606000,48385000,-908000,-947000.000000015,-5034000,-15693000,381000,0,-20727000,26711000,26711000,1357000,28068000,28924000,8826000,59086000,0.10659,0.02916,0.0192,0.02033,0.01114,3.59251,2.07789,0.82567,0.00598,0.57784,0.57275,30.0982,28.42234,2.07589,0.01867,0.06706,-3.90057,-4.51696
"25","2016_Q2",39.259375,"Up",870829000,-783277000,87552000,-63111000,-63111000,24441000,-19000,661000,-680000,24422000,24422000,-8426000,15996000,15996000,15996000,15996000,41239000,41239000,588008000,588008000,588195000,89389000,69602000,1306831000,45461000,190975000,83251000,50265000,236436000,1543267000,527336000,516146000,11190000,632239000,92769000,53566000,50007000,146335000,778574000,116849000,732311000,-84467000,764693000,764693000,1543267000,15996000,15996000,3938000,2976000,-80635000,-57725000,-433000,-61908000,86322000,-41852000,97000,27000,44497000,-75136000,-75136000,-5271000,-80407000,28379000,94469000,-44263000,0.10054,0.02807,0.01837,0.02092,0.01037,-2.76713,2.06699,1.01815,0.06121,0.57743,0.57274,31.4356,27.60425,-1.59783,0.01753,-0.0485,1.87568,2.1779
"26","2016_Q3",38.9621875,"Down",993521000,-892889000,100632000,-68780000,-68780000,31852000,-220000,57999.9999999999,-278000,31632000,31632000,-10976000,20656000,20656000,20656000,20656000,39438000,39438000,588443000,588443000,604093000,81715000,62563000,1313689000,46642000,188799000,83313000,50721000,235441000,1549130000,514321000,512034000,2287000,626314000,114418000,53604000,50250000,168022000,794336000,89284000,752967000,-87457000,754794000,754794000,1549130000,20656000,20656000,4351000,7774000,-15516000,17265000,-3033000,-3032999.99999999,20526000,-29057000,581000,-7212000,-15743000,-1510999.99999997,-1511000,-290000,-1801000,36203000,115123000,28630000,0.10129,0.03206,0.02079,0.02737,0.01333,1.38604,2.09749,1.05239,0.07431,0.77514,0.76782,37.28314,28.3246,1.07438,0.02237,0.031,2.09057,2.37615
"27","2016_Q4",37.2087301587302,"Down",798404000,-713927000,84477000,-62831000,-62831000,21646000,-293000,106000,-399000,21353000,21353000,-7311000,14042000,14042000,14042000,14042000,40849000,40849000,522693000,522693000,568247000,72060000,54249000,1203849000,50076000,185536000,90912000,41560000,235612000,1439461000,435131000,431913000,3218000,547249000,79070000,55768000,52365000,134838000,682087000,67534000,767009000,-77169000,757374000,757374000,1439461000,14042000,14042000,4281000,9137000,37312000,64772000,-5654000,-5654000,-35388000,-23689000,3138000,0,-59077000,41000,41000,1370000,1411000,25927000,79844000,64896000,0.10581,0.02711,0.01759,0.01854,0.00976,4.62156,2.19982,0.90059,0.05547,0.54294,0.54076,30.87051,29.28407,2.50922,0.01572,0.07267,1.50403,1.80149
"28","2017_Q1",40.7709677419355,"Up",877472000,-794693000,82779000,-63841000,-46687000,18938000,-335000,499000,-834000,18603000,18603000,-5678000,12925000,12925000,12925000,12925000,61400000,61400000,559557000,559557000,558581000,49367000,49367000,1228905000,52388000,209892000,92715000,37237000,262280000,1491185000,474543000,471487000,3056000,585112000,76856000,54721000,52166000,131577000,716689000,67249000,779934000,-72687000,774496000,774496000,1491185000,12925000,12925000,4584000,-1887000,12277000,27899000,-2961000,-2961000,-3048000,-66000,1726000,-2868000,-5982000,18956000,18956000,1595000,20551000,23522000,76856000,38516000,0.09434,0.02158,0.01473,0.01669,0.00867,2.97996,2.10029,0.92536,0.05154,0.50341,0.49807,34.17612,30.16537,1.50014,0.01426,0.04251,0.65709,0.81614
"29","2017_Q2",38.8492063492063,"Down",932566000,-841032000,91534000,-68659000,-63435000,22875000,-151000,426000,-577000,22724000,22724000,-7908000,14816000,14816000,14816000,14816000,45125000,45125000,637804000,637804000,567287000,56254000,56254000,1306470000,57080000,380571000,201197000,39368000,437651000,1744121000,543851000,533001000,10850000,682506000,166141000,122313000,119831000,288454000,970960000,52036000,794750000,-73625000,773161000,773161000,1744121000,14816000,14816000,5224000,2805000,-16579000,6266000,-1976000,-85780000,89224000,-17226000,187000,-8662000,63336000,-16178000,-16178000,-97000,-16275000,28099000,166141000,17452000,0.09815,0.02453,0.01589,0.01916,0.00849,1.17792,1.91422,1.25583,0.09526,0.5805,0.57511,36.53826,30.29272,0.68378,0.01396,0.01644,4.30677,5.29032
"30","2017_Q3",39.3236507936508,"Up",904791000,-806257000,98534000,-75259000,-68671000,23275000,12506000,-19000,12525000,35781000,35781000,-12745000,23036000,23036000,23036000,23036000,45071000,45071000,620588000,620588000,512875000,72130000,72130000,1250664000,56730000,373263000,200017000,39762000,429993000,1680657000,486225000,476339000,9886000,629296000,141666000,122159000,119925000,263825000,893121000,5.2e+07,817786000,-82250000,787536000,787536000,1680657000,23036000,23036000,6588000,6313000,-6472000,29465000,-1285000,-1284999.99999999,-24538000,561000,4030000,-3227000,-27204000,976000.000000007,976000,-1030000,-54000,29863000,141666000,34851000,0.1089,0.02572,0.02546,0.02925,0.01371,1.51289,1.9874,1.13407,0.08429,0.91609,0.91105,35.98151,31.31854,1.38595,0.02191,0.03315,3.2346,4.15016
