"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",3.47125,"Up",6048000,-4989000,1059000,-21056000,-9374000,-11682000,-19997000,-474000,198000,-20471000,-20471000,-20471000,-20471000,-20471000,-20471000,106968000,40833000,66135000,4104000,4104000,10283000,759000,759000,122114000,11655000,508000,508000,12163000,134277000,2605000,2605000,12297000,3347000,8950000,15093000,5779000,4885000,18786000,33879000,677995000,-577595000,-2000,100398000,100398000,134277000,-20471000,1404000,2498000,162000,-16407000,-280000,-280000,-280000,-6865000,-7145000,11347000,11347000,11347000,-12205000,-12205000,-12205000,-18593000,13198000,0.1751,-3.30638,-3.38476,-0.2039,-0.15245,8.09077,0.33745,0.09829,-0.33045,-0.33045,0.09763,1.62068,-0.17148,5.0433,4.6892
"12","2013_Q4",4.59109375,"Up",7422000,-6181000,1241000,-21176000,-10757000,-10419000,-19935000,-552000,135000,-20487000,-20487000,-20487000,-20487000,-20487000,-20487000,126936000,64767000,62169000,3814000,3814000,9819000,1194000,1194000,141763000,10544000,493000,493000,11037000,152800000,3413000,3413000,18865000,10359000,8506000,22479000,33605000,32711000,46778000,69257000,681614000,-598082000,11000,83543000,83543000,152800000,-20487000,1341000,2341000,35528000,18723000,-230000,-230000,-230000,3993000,3763000,1448000,1448000,1448000,23934000,23934000,23934000,-18594000,13374000,0.16721,-2.68593,-2.76031,-0.24523,-0.13408,6.30646,0.829,0.08753,-0.31236,-0.31236,0.11316,1.27375,-0.15696,6.10745,5.69661
"13","2014_Q1",6.32065573770492,"Up",9133000,-5944000,3189000,-20193000,-9060000,-11133000,-17004000,-227000,466000,-17231000,-17231000,-17231000,-17231000,-17231000,-17231000,112528000,26362000,86166000,2746000,2746000,10050000,1135000,1135000,126459000,9236000,490000,490000,9726000,136185000,9622000,1717000,12933000,10831000,2102000,22555000,31103000,30554000,44450000,67005000,684479000,-615313000,14000,69180000,69180000,136185000,-17231000,1410000,2442000,-1195000,-14574000,-102000,-102000,-102000,-24050000,-24152000,321000,321000,321000,-38405000,-38405000,-38405000,-15594000,13347000,0.34917,-1.86182,-1.88667,-0.24907,-0.12653,5.60669,0.96856,0.09801,-0.26018,-0.26018,0.1379,1.04457,-0.15164,6.3602,5.8328
"14","2014_Q2",5.0047619047619,"Down",11642000,-8966000,2676000,-20921000,-9150000,-11771000,-18245000,-641000,44999.9999999999,-18886000,-18886000,-18886000,-18886000,-18886000,-18886000,118736000,41261000,77475000,3383000,3383000,8301000,1642000,1642000,132062000,8492000,486000,486000,8978000,141040000,3926000,3926000,18367000,10689000,7678000,22513000,29477000,28928000,43002000,65515000,709706000,-634199000,18000,75525000,75525000,141040000,-18886000,1221000,2472000,-1063000,-16256000,-477000,-477000,-477000,8674999.99999999,8198000,22957000,22957000,22957000,14899000,14899000,14899000,-17024000,13745000,0.22986,-1.56717,-1.62223,-0.25006,-0.13391,5.86603,0.86746,0.09745,-0.2783,-0.2783,0.17156,1.11294,-0.15904,6.16723,5.75451
"15","2014_Q3",5.22890625,"Up",11425000,-8299000,3126000,-21428000,-8993000,-12435000,-18302000,-834000,-133000,-19136000,-19136000,-19136000,-19136000,-19136000,-19136000,105034000,28200000,76834000,4255000,4255000,9440000,1169000,1169000,119898000,7861000,482000,482000,8343000,128241000,14604000,5379000,13363000,12059000,1304000,27967000,27545000,26846000,41259000,69226000,712308000,-653335000,42000,59015000,59015000,128241000,-19136000,1090000,2592000,1834000,-13620000,-465000,-465000,-465000,644000,179000,380000,380000,380000,-13061000,-13061000,-13061000,-17212000,13714000,0.27361,-1.60193,-1.67492,-0.32426,-0.14922,4.28712,1.17302,0.10694,-0.27132,-0.27132,0.16199,0.83675,-0.19084,5.3056,4.98962
"16","2014_Q4",6.39859375,"Up",20623000,-7461000,13162000,-21575000,-9882000,-11693000,-8413000,-750000,-34000,-9163000,-9163000,-9163000,-9163000,-9163000,-9163000,99312000,35411000,63901000,2370000,2370000,11398000,1057000,1057000,114137000,7034000,471000,471000,7505000,121642000,14571000,5845000,14569000,12092000,2477000,29140000,25553000,24854000,39467000,68607000,715510000,-662498000,23000,53035000,53035000,121642000,-9163000,1e+06,2701000,-773000,-6235000,-190000,-190000,-190000,12886000,12696000,750000,750000,750000,7211000,7211000,7211000,-7413000,13914000,0.63822,-0.40794,-0.44431,-0.17277,-0.07533,3.91685,1.29362,0.11438,-0.1295,-0.1295,0.29146,0.74953,-0.09906,11.52003,10.15072
"17","2015_Q1",6.89524590163934,"Up",16904000,-12466000,4438000,-22332000,-10001000,-12331000,-17894000,-1081000,-356000,-18975000,-18975000,-18975000,-18975000,-18975000,-18975000,101348000,36449000,64899000,3406000,3406000,11335000,1671000,1671000,117760000,6601000,29000.0000000001,29000.0000000001,6630000,124390000,17049000,5608000,14440000,12906000,1534000,31489000,23961000,23017000,37952000,69441000,736413000,-681473000,9000,54949000,54949000,124390000,-18975000,910000,3478000,-770000,-15357000,-477000,-477000,-477000,-1032000,-1509000,17904000,17904000,17904000,1038000,1038000,1038000,-16984000,13991000,0.26254,-1.05857,-1.12252,-0.34532,-0.15254,3.73972,1.26374,0.11248,-0.26082,-0.26082,0.23235,0.75529,-0.20425,5.14349,4.88192
"18","2015_Q2",5.78587301587302,"Down",17645000,-11718000,5927000,-25255000,-10772000,-14483000,-19328000,-845000,-148000,-20173000,-20173000,-20173000,-20173000,-20173000,-20173000,79149000,30271000,48878000,5287000,5287000,13457000,1629000,1629000,99522000,6743000,156000,156000,6899000,106421000,16362000,6924000,22049000,20639000,1410000,38411000,13199000,12336000,27538000,65949000,742102000,-701646000,16000,40472000,40472000,106421000,-20173000,908000,3406000,-8052000,-23911000,-717000,-717000,-717000,16016000,15299000,2434000,2434000,2433999.99999999,-6178000,-6178000,-6178000,-18420000,14339000,0.3359,-1.09538,-1.14327,-0.49844,-0.18956,2.59098,1.6295,0.13474,-0.27206,-0.27206,0.23797,0.54582,-0.29662,3.51846,3.35317
"19","2015_Q3",4.8890625,"Down",24939000,-10433000,14506000,-25864000,-10821000,-15043000,-11358000,-577000,138000,-11935000,-11935000,-11935000,-11935000,-11935000,-11935000,72674000,25930000,46744000,3950000,3950000,11978000,1587000,1587000,90189000,6428000,153000,153000,6581000,96770000,17134000,5818000,21883000,20892000,991000,39017000,9350000,8451000,23917000,62934000,747405000,-713581000,12000,33836000,33836000,96770000,-11935000,938000,3600000,-97000,-7494000,-949000,-955000,-955000,2119000,1170000,1983000,1983000,1983000,-4341000,-4341000,-4341000,-10420000,14567000,0.58166,-0.45543,-0.47857,-0.35273,-0.12333,2.31153,1.85997,0.15053,-0.1597,-0.1597,0.3337,0.45275,-0.20666,5.57649,5.11595
"20","2015_Q4",8.9709375,"Up",13917000,-7366000,6551000,-26980000,-10818000,-16162000,-20429000,-793000,-51999.9999999999,-21222000,1821000,1821000,1821000,1821000,1821000,58909000,27208000,31701000,4164000,4164000,11621000,11513000,11513000,86207000,7855000,5715000,5715000,13570000,99777000,17439000,6097000,21315000,20688000,627000,38754000,4845000,3920000,19653000,58407000,753124000,-711760000,6000,41370000,41370000,99777000,1821000,848000,484000,-18923000,-15770000,-453000,-459000,-459000,15020000,14567000,2481000,2481000,2481000,1278000,1278000,1278000,-19581000,14808000,0.47072,-1.46792,0.13085,0.04402,0.01825,2.22447,1.41182,0.14841,0.02421,0.02421,0.18503,0.55004,0.02984,2.25223,2.15874
"21","2016_Q1",9.83491803278689,"Up",36281000,-9815000,26466000,-27528000,-12776000,-14752000,-1062000,-347000,426000,-1409000,-1409000,-1409000,-1409000,-1409000,-1409000,82270000,33629000,48641000,5245000,5245000,10955000,12071000,12071000,110541000,8548000,12018000,12018000,20566000,131107000,20300000,4749000,17878000,17637000,241000,38178000,4441000,3841000,19389000,57567000,786716000,-713169000,-7000,73540000,73540000,131107000,-1409000,983000,4034000,-4322000,-714000,-854000,-878000,-878000,-17076000,-22430000,29565000,29565000,29565000,6421000,6421000,6421000,-79000,14948000,0.72947,-0.02927,-0.03884,-0.0191600000000001,-0.01075,2.89541,0.7828,0.11401,-0.01798,-0.01798,0.46301,0.9385,-0.01516,852.17722,63.39171
"22","2016_Q2",9.135,"Down",19127000,-9623000,9504000,-28069000,-11708000,-16361000,-18565000,-787000,-7999.99999999983,-19352000,-19352000,-19352000,-19352000,-19352000,-19352000,91531000,20080000,71451000,8009000,8009000,12162000,7351000,7351000,119053000,9093000,12029000,12029000,21122000,140175000,16935000,4734000,15075000,13631000,1444000,32010000,4173000,3622000,19389000,51399000,821256000,-732521000,41000,88776000,88776000,140175000,-19352000,848000,4923000,-6686000,-20267000,-346000,-457000,-457000,-22895000,-23241000,29959000,29959000,29959000,-13549000,-13549000,-13549000,-17717000,15216000,0.49689,-0.97062,-1.01176,-0.21799,-0.13806,3.71924,0.57897,0.10855,-0.23147,-0.23147,0.22878,1.06186,-0.17891,4.30744,4.11069
"23","2016_Q3",8.35875,"Down",20747000,-10103000,10644000,-28714000,-11192000,-17522000,-18070000,-429000,366000,-18499000,-18499000,-18499000,-18499000,-18499000,-18499000,102470000,24778000,77692000,10427000,10427000,14201000,10957000,10957000,138055000,11188000,12128000,12128000,23316000,161371000,21724000,5395000,12089000,10667000,1422000,33813000,3993000,3729000,19489000,53302000,859037000,-751020000,52000,108069000,108069000,161371000,-18499000,975000,5062000,-6423000,-18885000,-2899000,-2798000,-2798000,-6261000,-9160000,32743000,32743000,32743000,4698000,4698000,4698000,-17095000,15496000,0.51304,-0.87097,-0.89165,-0.17118,-0.11464,4.0829,0.49322,0.09603,-0.20986,-0.20986,0.23537,1.22599,-0.14502,5.08768999999991,4.81317
"24","2016_Q4",7.26634920634921,"Down",25118000,-12480000,12638000,-29373000,-11894000,-17479000,-16735000,-759000,62000,-17494000,-17494000,-17494000,-17494000,-17494000,-17494000,87333000,22794000,64539000,11761000,11761000,16473000,6900000,6900000,122467000,14003000,14165000,14165000,28168000,150635000,24793000,8311000,7313000,6571000,742000,32106000,4055000,3837000,19849000,51955000,867171000,-768514000,23000,98680000,98680000,150635000,-17494000,999000,5317000,-4698000,-15876000,-2301000,-2301000,-2301000,13166000,10865000,3027000,3027000,3027000.00000001,-1984000,-1984000,-1984000,-15736000,15794000,0.50315,-0.66626,-0.69647,-0.17728,-0.11614,3.81446,0.5265,0.10485,-0.18993,-0.18993,0.2727,1.07133,-0.14759,4.5462,4.27481
"25","2017_Q1",4.89483870967742,"Down",25722000,-14348000,11374000,-29248000,-12993000,-16255000,-17874000,-1156000,-317000,-19030000,-19030000,-19030000,-19030000,-19030000,-19030000,71978000,16765000,55213000,11421000,11421000,15634000,9978000,9978000,109011000,14560000,14313000,14313000,28873000,137884000,24963000,8359000,8811000,7130000,1681000,33774000,3336000,2980000,19442000,53216000,872207000,-787544000,5000,84668000,84668000,137884000,-19030000,1053000,5271000,-195000,-12901000,-2651000,-2651000,-2651000,9323000,6672000,2e+05,2e+05,2e+05,-6029000,-6029000,-6029000,-16821000,16106000,0.44219,-0.69489,-0.73983,-0.22476,-0.13801,3.22766,0.62853,0.11681,-0.20522,-0.20522,0.27739,0.91306,-0.18279,3.32155999999999,3.12588
"26","2017_Q2",4.03222222222222,"Down",24915000,-15978000,8937000,-32236000,-15265000,-16971000,-23299000,-568000,270000,-23867000,-23867000,-23867000,-23867000,-23867000,-23867000,56050000,28982000,27068000,10441000,10441000,15348000,6501000,6501000,88340000,42449000,4719000,4719000,47168000,135508000,25467000,8221000,6850000,6683000,167000,35440000,17581000,17373000,30883000,66323000,880599000,-811411000,-3000,69185000,69185000,135508000,-23867000,2850000,5158000,-812000,-16671000,-2668000,-2668000,-2668000,28148000,25480000,3408000,3408000,3408000,12217000,12217000,12217000,-20449000,16425000,0.3587,-0.93514,-0.95794,-0.34497,-0.17613,2.49266,0.95863,0.12121,-0.25672,-0.25672,0.26799,0.74416,-0.23129,1.93775,1.70072
"27","2017_Q3",4.29809523809524,"Up",20073000,-12072000,8001000,-32388000,-15505000,-16883000,-24387000,-1152000,-326000,-25539000,-25539000,-25539000,-25539000,-25539000,-25539000,102596000,36478000,66118000,9525000,9525000,17266000,3545000,3545000,132932000,40289000,4684000,4684000,44973000,177905000,24354000,6514000,8697000,6782000,1915000,35694000,15910000,15895000,26351000,62045000,952826000,-836950000,-16000,115860000,115860000,177905000,-25539000,1989000,6060000,4681000,-12809000,-3436000,-3448000,-3448000,-39156000,-42592000,67397000,67397000,62897000,7496000,7496000,7496000,-22398000,13084000,0.3986,-1.21492,-1.27231,-0.22043,-0.14355,3.72421,0.53552,0.07354,-0.26225,-0.26225,0.20612,1.18972,-0.17631,3.99643,3.67048
"28","2017_Q4",3.50142857142857,"Down",23545000,-15318000,8227000,-29796000,-13952000,-15844000,-21569000,-452000,181000,-22021000,-22021000,-22021000,-22021000,-22021000,-22021000,83965000,25931000,58034000,8897000,8897000,18201000,2548000,2548000,113611000,39605000,4688000,4688000,44293000,157904000,19806000,8574000,7579000,6151000,1428000,30292000,15748000,15578000,26204000,56496000,960381000,-858971000,-2000,101408000,101408000,157904000,-22021000,1793000,5351000,-2961000,-17838000,-3267000,-3257000,-3257000,8150000,4883000,2408000.00000001,2408000.00000001,2408000,-10547000,-10547000,-10547000,-19776000,13363000,0.34942,-0.91608,-0.93527,-0.21715,-0.13946,3.75053,0.55712,0.08463,-0.18984,-0.18984,0.20298,0.87423,-0.16872,3.57008,3.27331
"29","2018_Q1",2.59655737704918,"Down",24935000,-15441000,9494000,-30023000,-14397000,-15626000,-20529000,-233000,391000,-20762000,-20762000,-20762000,-20762000,-20762000,-20762000,62872000,16507000,46365000,13433000,13433000,23065000,2249000,2249000,101619000,37920000,4545000,4545000,42465000,144084000,21711000,9093000,6924000,6319000,605000,28635000,15711000,15528000,29346000,57981000,965868000,-879733000,-32000,86103000,86103000,144084000,-20762000,1810000,5686000,-6934000,-20200000,-1021000,-1060000,-1060000,11701000,10680000,96000,96000,96000,-9424000,-9424000,-9424000,-18719000,13635000,0.38075,-0.8233,-0.83264,-0.24113,-0.1441,3.54877,0.67339,0.09463,-0.1784,-0.1784,0.21426,0.73986,-0.17984,2.63032,2.39841
"30","2018_Q2",2.77421875,"Up",19362000,-12066000,7296000,-31245000,-14934000,-16311000,-23949000,-230000,351000,-24179000,-24179000,-24179000,-24179000,-24179000,-24179000,79260000,25458000,53802000,8452000,8452000,25930000,2057000,2057000,115699000,36704000,4546000,4546000,41250000,156949000,18810000,8567000,6138000,5993000,145000,24948000,15391000,15379000,29263000,54211000,1006499000,-903723000,-38000,102738000,102738000,156949000,-24179000,1802000,5310000,-1706000,-18773000,-344000,-344000,-344000,-7405000,-7749000,35473000,35473000,35473000,8951000,8951000,8951000,-22147000,13872000,0.37682,-1.23691,-1.24879,-0.23535,-0.15406,4.63761,0.52766,0.08839,-0.19536,-0.19536,0.15644,0.83009,-0.18317,2.95245,2.7303
"31","2018_Q3",4.29079365079365,"Up",21578000,-12716000,8862000,-30607000,-14943000,-15664000,-21745000,-795000,-197000,-22540000,-22540000,-22540000,-22540000,-22540000,-22540000,63491000,23058000,40433000,7446000,7446000,23440000,2035000,2035000,96412000,36103000,4543000,4543000,40646000,137058000,15104000,4169000,7160000,6416000,744000,22264000,15199000,15159000,29320000,51584000,1011753000,-926263000,-16000,85474000,85474000,137058000,-22540000,1809000,5345000,889000,-14497000,-1356000,-1356000,-1356000,13547000,12191000,-94000,-94000,-94000,-2400000,-2400000,-2400000,-19936000,14121000,0.4107,-1.00774,-1.04458,-0.26371,-0.16446,4.3304,0.60351,0.10303,-0.17085,-0.17085,0.16356,0.64789,-0.19635,2.47642,2.27041
"32","2018_Q4",6.33603174603175,"Up",18160000,-14968000,3192000,-27862000,-13506000,-14356000,-24670000,-374000,242000,-25044000,-25044000,-25044000,-25044000,-25044000,-25044000,115747000,38063000,77684000,6404000,6404000,19694000,2028000,2028000,143873000,34490000,4543000,4543000,39033000,182906000,15264000,5966000,6385000,5740000,645000,21649000,14993000,14965000,29377000,51026000,1083211000,-951307000,-24000,131880000,131880000,182906000,-25044000,1825000,5172000,3872000,-14175000,-95999.9999999998,-95999.9999999998,-95999.9999999998,-37248000,-37344000,66524000,66524000,66524000,15005000,15005000,15005000,-22845000,14384000,0.17577,-1.35848,-1.37907,-0.1899,-0.13692,6.64571,0.38691,0.07864,-0.18522,-0.18522,0.13431,0.97536,-0.1553,4.43699,4.10876
"33","2019_Q1",7.23245901639344,"Up",19526000,-13780000,5746000,-36369000,-20106000,-16263000,-30623000,-176000,452000,-30799000,-30799000,-30799000,-30799000,-30799000,-30799000,102354000,18844000,83510000,8595000,8595000,17878000,2832000,2832000,131659000,34073000,4543000,4543000,38616000,170275000,19559000,6736000,7325000,6537000,788000,26884000,14671000,14655000,29330000,56214000,1096203000,-982106000,-36000,114061000,114061000,170275000,-30799000,1779000,7425000,2610000,-18985000,-58000,-58000,-58000,-5455000,-5513000,5279000,5279000,5279000,-19219000,-19219000,-19219000,-28844000,14659000,0.29427,-1.56832,-1.57733,-0.27002,-0.18088,4.8973,0.49284,0.08609,-0.20605,-0.20605,0.13063,0.7631,-0.21479,3.04032,2.8637
