"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",68.41921875,"Down",198409000,-126571000,71838000,-50138000,-37752000,-12386000,21700000,-1341000,-1341000,20359000,-2286000,18073000,-4544000,13529000,13529000,13529000,13529000,47680000,47680000,169418000,169418000,198292000,56763000,37737000,472153000,238815000,144634000,37276000,83646000,23712000,383449000,855602000,121550000,81817000,39733000,77349000,60601000,255694000,11099000,130108000,130108000,141207000,396901000,278109000,187940000,-7348000,458701000,458701000,855602000,13529000,7063000,6438000,-32599000,-5569000,-23547000,-23547000,-21813000,-3e+05,-23847000,39551000,1125000,1641000,32772000,3356000,3356000,-2526000,830000,28763000,67894000,-22839000,0.36207,0.10937,0.06819,0.02949,0.01581,-1.68815,1.84655,0.86527,0.07935,0.67689,0.65819,9.9269,22.94997,-1.14269,0.0206,-0.03478,0.70278,0.93152
"12","2014_Q1",59.8537704918033,"Down",227895000,-140750000,87145000,-57935000,-45255000,-12680000,29210000,-1201000,-1201000,28009000,-2978000,25031000,-13185000,11846000,11846000,11846000,11846000,34697000,34697000,206817000,206817000,206213000,95397000,53780000,543124000,249029000,160586000,36603000,83743000,40240000,409615000,952739000,145212000,97050000,28503000,92230000,74099000,298239000,10673000,165376000,119011000,176049000,474288000,285001000,199786000,-6336000,478451000,478451000,952739000,11846000,9635000,13054000,-33117000,1418000,-18564000,-18564000,-17938000,0,-18564000,3550000,-1508000,59000,1912000,-15234000,-15234000,2251000,-12983000,38845000,71470000,349000,0.38239,0.12817,0.05198,0.02476,0.01243,0.0294599999999998,1.8211,0.9913,0.07502,0.59432,0.57681,11.43362,24.00416,0.0175099999999997,0.01656,0.00049,0.94666,1.25892
"13","2014_Q2",59.6669841269841,"Down",206274000,-138328000,67946000,-53234000,-42214000,-11020000,14712000,-1470000,-1470000,13242000,-4239000,9003000,-2609000,6394000,6394000,6394000,6394000,37186000,37186000,205283000,205283000,228007000,77151000,77151000,547627000,249406000,155749000,40289000,91018000,24442000,405155000,952782000,137125000,97334000,39791000,86839000,71290000,305920000,12273000,150199000,150199000,162472000,468392000,283146000,206180000,-4936000,484390000,484390000,952782000,6394000,12873000,5831000,-18851000,6247000,-9727000,-9727000,-7971000,-9302000,-19029000,21964000,-13000,1501000,14470000,1688000,1688000,801000,2489000,27585000,94229000,1616000,0.3294,0.07132,0.031,0.0132,0.00671,0.25274,1.7901,0.96697,0.0989,0.32016,0.31009,10.32868,24.25467,0.08092,0.00877,0.00222000000000001,2.0679,3.87731
"14","2014_Q3",66.39078125,"Up",236408000,-155469000,80939000,-56731000,-45556000,-11175000,24208000,-1503000,-1503000,22705000,-2179000,20526000,-5953000,14573000,14573000,14573000,14573000,39899000,39899000,164006000,164006000,219998000,82246000,82246000,506149000,271468000,157653000,40013000,92046000,25594000,429121000,935270000,109278000,67720000,41558000,114034000,67495000,286283000,11724000,144007000,144007000,155731000,442014000,276938000,220753000,-4435000,493256000,493256000,935270000,14573000,13544000,5906000,34703000,68726000,-34442000,-34442000,-33731000,-785000,-35227000,-19685000,-10542000,0,-30976000,2523000,2523000,190000,2713000,37752000,74695000,43966000,0.34237,0.1024,0.06164,0.02954,0.01558,3.01695,1.768,0.89611,0.07986,0.73007,0.70784,11.84349,24.71099,2.2026,0.02047,0.06175,0.9217,1.43738
"15","2014_Q4",68.20484375,"Up",203956000,-133449000,70507000,-49978000,-39399000,-10579000,20529000,-1370000,-1370000,19159000,-2507000,16652000,-11851000,4801000,4801000,4801000,4801000,39848000,39848000,142806000,142806000,239026000,93932000,93932000,515612000,265739000,158396000,40725000,92196000,25475000,424135000,939747000,117033000,73808000,43225000,124439000,61499000,266251000,10847000,160902000,103739000,171749000,4.38e+08,279994000,225554000,-3801000,501747000,501747000,939747000,4801000,13607000,28807000,1638000,48853000,-8177000,-8177000,-6431000,-1553000,-9730000,-39011000,0,0,-39208000,-85000,-85000,34000,-51000,34136000,35626000,39448000,0.3457,0.10065,0.02354,0.00957,0.00511,8.21662,1.93656,0.87295,0.03791,0.24082,0.23366,10.23054,25.16789,1.97873,0.00688,0.05649,-0.12368,-0.20566
"16","2015_Q1",71.6781967213115,"Up",260104000,-174496000,85608000,-51718000,-39700000,-12018000,33890000,-1097000,-1097000,32793000,-3119000,29674000,-7548000,22126000,22126000,22126000,22126000,38831000,38831000,185773000,185773000,234138000,107379000,46978000,566121000,260479000,184477000,43615000,92607000,48255000,444956000,1011077000,128013000,74460000,32997000,147775000,87098000,302607000,10436000,165821000,92660000,176257000,478864000,287434000,247680000,-2901000,532213000,532213000,1011077000,22126000,14215000,-10702000,-20295000,5344000,-8148000,-8148000,-6465000,-1e+05,-8248000,1562000,-1.86264514923096e-09,-5.82076609134674e-11,1420000,-1484000,-1484000,467000,-1017000,48105000,37255000,27210000,0.32913,0.13029,0.08507,0.04157,0.02188,1.22977,1.87081,0.89976,0.03685,1.10963,1.07444,13.04433,26.69072,1.36459,0.03009,0.03701,-0.03276,-0.0465
"17","2015_Q2",72.3253968253968,"Up",218397000,-144155000,74242000,-56852000,-44182000,-12670000,17390000,-864000,-864000,16526000,-726000,15800000,-4551000,11249000,11249000,11249000,11249000,37274000,37274000,155849000,155849000,264394000,125484000,52122000,583001000,250193000,194861000,47628000,97430000,49803000,445054000,1028055000,134989000,80552000,29481000,153825000,97867000,321634000,11267000,172985000,99007000,184252000,505886000,268713000,258929000,-5473000,522169000,522169000,1028055000,11249000,17741000,6064000,-3601000,31453000,-4199000,-4199000,-3136000,-10869000,-15068000,5701000,-18164000,209000,-19015000,-2630000,-2630000,1073000,-1557000,35131000,44087000,31882000,0.33994,0.07963,0.05151,0.02154,0.01094,2.83421,1.81262,0.96882,0.04288,0.56756,0.54796,11.01902,26.34556,1.60858,0.01522,0.04313,0.19393,0.39178
"18","2015_Q3",72.2090625,"Down",257829000,-168555000,89274000,-61134000,-47894000,-13240000,28140000,-832000,-832000,27308000,-2079000,25229000,-6988000,18241000,18241000,18241000,18241000,44780000,44780000,184228000,184228000,263901000,126424000,53131000,619333000,240369000,196956000,48865000,98410000,49681000,437325000,1056658000,157066000,96513000,29681000,155701000,103959000,338583000,9399000,167353000,93420000,176752000,515335000,271988000,277170000,-7835000,541323000,541323000,1056658000,18241000,14341000,6876000,-9961000,29497000,-5624000,-5624000,-3311000,-3818000,-9442000,-7518000,-2512000,1732000,-10325000,9730000,9730000,-2224000,7506000,42481000,35215000,33884000,0.34625,0.10914,0.07075,0.0337,0.01726,1.85757,1.82919,0.95199,0.03333,0.9208,0.89054,13.01509,27.32574,1.71045,0.02452,0.04555,-0.22516,-0.33991
"19","2015_Q4",87.50171875,"Up",215375000,-142771000,72604000,-50529000,-37970000,-12559000,22075000,-812000,-812000,21263000,-3620000,17643000,-4415000,13228000,13228000,13228000,13228000,49041000,49041000,165352000,165352000,265415000,101063000,39095000,580871000,227654000,197405000,50196000,96712000,50497000,425059000,1005930000,125990000,91125000,32134000,150610000,101613000,285414000,9028000,154226000,85946000,163254000,448668000,278365000,290398000,-11501000,557262000,557262000,1005930000,13228000,13366000,10644000,-10492000,26746000,-5625000,-5625000,-3666000,0,-5625000,-17262000,522000,1296000,-16943000,4178000,4178000,83000,4261000,35441000,17842000,23739000,0.33711,0.1025,0.06142,0.02374,0.01315,1.7946,2.03519,0.80513,0.01774,0.66808,0.64423,10.87753,28.14455,1.19894,0.01814,0.03255,-0.88031,-1.41332
"20","2016_Q1",66.1886885245902,"Down",266601000,-177368000,89233000,-54880000,-41710000,-13170000,34353000,-747000,-747000,33606000,-3425000,30181000,-7748000,22433000,22433000,22433000,22433000,47593000,47593000,178519000,178519000,230421000,40101000,40101000,496634000,225703000,214952000,50413000,98167000,66372000,440655000,937289000,95101000,61932000,33169000,143741000,95954000,241643000,8556000,105311000,74623000,113867000,355510000,279212000,312831000,-10264000,581779000,581779000,937289000,22433000,13528000,-2806000,-15748000,17407000,-6066000,-6066000,-5173000,768000,-5298000,-6607000,-6992000,361000,-13743000,-1634000,-1634000,186000,-1448000,47881000,11357000,33815000,0.33471,0.12886,0.08414,0.03856,0.02393,1.50738,2.05524,0.61107,0.01212,1.13493,1.09115,13.48786,29.43332,1.71077,0.03212,0.04841,-0.75679,-1.05481
"21","2016_Q2",55.07765625,"Down",200050000,-132079000,67971000,-52274000,-40393000,-11881000,15697000,-794000,-794000,14903000,-8817831.82065169,14903000,-4098000,10805000,10805000,10805000,10805000,80930000,80930000,164755000,164755000,260457000,89988000,45102000,596130000,207625000,211069000,50215000,97815000,63039000,418694000,1014824000,128698000,85728000,29343000,132518000,90171000,308992000,7834000,134051000,68622000,141885000,450877000,252224000,323636000,-11913000,563947000,563947000,1014824000,10805000,14063000,4170000,-4226000,24812000,-3461000,-3461000,-2503000,-782000,-4243000,44344000,-18404000,3067000,12891000,33460000,33460000,-123000,33337000,29760000,55610000,26171000,0.33977,0.07847,0.05401,0.01916,0.01065,2.42212,1.92927,0.7995,0.0548,0.54753,0.52774,10.13733,28.57743,1.32619,0.01434,0.03473,-0.85081,-1.61305
"22","2016_Q3",63.02875,"Up",197339000,-129275000,68064000,-56186000,-43141000,-13045000,11878000,-623000,-623000,11255000,-11097000,158000.000000002,-50000.0000000005,108000,108000,108000,108000,79789000,79789000,157799000,157799000,280600000,89252000,45655000,607440000,191967000,210984000,50732000,98746000,61506000,402951000,1010391000,107775000,77236000,26265000,140088000,103479000,305615000,7257000,129911000,64329000,137168000,442783000,256683000,323744000,-12819000,567608000,567608000,1010391000,108000,13987000,14715000,-34064000,-5254000,-4161000,-4161000,-2437000,-1327000,-5488000,9447999.99999999,169000.000000004,1327000,9617000,-1125000.00000001,-1125000.00000001,-16000,-1141000,25865000,65009000,-12310000,0.34491,0.06019,0.000550000000000002,0.00019,0.00011,-113.98148,1.9876,0.78009,0.06434,0.00546999999999997,0.00529999999999997,9.99691,28.7542,-0.62361,0.00014,-0.01614,-0.57143,-1.24432
"23","2016_Q4",72.0990476190476,"Up",210804000,-140745000,70059000,-52178000,-39233000,-12945000,17881000,-608000,-608000,17273000,-4595000,12678000,-3335000,9343000,9343000,9343000,9343000,97425000,97425000,159787000,159787000,291092000,96523000,53057000,644827000,187204000,243271000,58373000,122297000,62601000,430475000,1075302000,122068000,84655000,29818000,156156000,121360000,405983000,6770000,130430000,61543000,137200000,543183000,212371000,333087000,-13339000,532119000,532119000,1075302000,9343000,14494000,5009000,-8168000,20678000,-5599000,-5599000,-4025000,-17456000,-23055000,69582000,-49001000,1738000,20443000,18066000,18066000,-430000,17636000,32375000,134529000,21943000,0.33234,0.08482,0.04432,0.01756,0.00869,2.3486,1.58831,1.02079,0.12511,0.48314,0.46881,10.90102,27.51675,1.13471,0.01172,0.02753,1.14607,2.07505
"24","2017_Q1",74.2711290322581,"Up",221467000,-150702000,70765000,-55833000,-43888000,-11945000,14932000,-827000,-827000,14105000,-6349000,7756000,-1855000,5901000,5901000,5901000,5901000,104370000,104370000,141716000,141716000,273288000,79419000,35944000,598793000,183114000,209816000,56283000,122819000,30714000,392930000,991723000,98693000,69490000,29203000,141383000,141383000,367835000,6054000,76988000,47828000,83042000,450877000,219114000,338988000,-17256000,540846000,540846000,991723000,5901000,15378000,-4172000,1875000,18982000,-10337000,-10337000,-8723000,-356000,-10693000,-600000.000000015,5000.00000000745,5000,-1123000,7166000,7166000,-221000,6945000,30310000,133813000,23703000,0.31953,0.06742,0.02665,0.01091,0.00595,4.01678000000001,1.62788,0.83365,0.13493,0.31229,0.30229,11.72031,28.62225,1.25439,0.00785,0.03153,0.9714,1.97181
"25","2017_Q2",75.6973015873016,"Up",220855000,-152768000,68087000,-56031000,-43553000,-12478000,12056000,-1158000,-1158000,10898000,-9957000,941000,-264000,677000,677000,677000,677000,122966000,122966000,177857000,177857000,289601000,79678000,45757000,670102000,178830000,404081000,129349000,242590000,32142000,582911000,1253013000,94587000,66129000,28458000,165080000,128612000,601348000,5623000,99335000,70212000,104958000,706306000,225020000,339665000,-17978000,546707000,546707000,1253013000,677000,15426000,11506000,-29467000,-1858000,-4687000,-4687000,-2806000,-186861000,-191548000,213526000,-613000,2099000,212623000,19217000,19217000,-621000,18596000,27482000,347304000,-6408000,0.30829,0.05459,0.00307,0.00124,0.00054,-9.46529,1.11433,1.29193,0.27718,0.03574,0.03456,11.65892,28.86063,-0.33828,0.00068,-0.00645,8.16309,18.608
"26","2017_Q3",81.2987301587302,"Up",242548000,-159953000,82595000,-64482000,-51544000,-12938000,18113000,-1981000,-1981000,16132000,-9420000,6712000,-1879000,4833000,4833000,4833000,4833000,138248000,138248000,178360000,178360000,283788000,86196000,52179000,686592000,166759000,404654000,126282000,242951000,35421000,571413000,1258005000,108631000,73719000,34912000,151426000,123189000,611622000,4921000,97356000,67853000,102277000,713899000,221745000,344498000,-22137000,544106000,544106000,1258005000,4833000,16749000,8199000,-9658000,20123000,-2377000,-2377000,-1523000,-2153000,-4530000,9274000.00000003,-296999.999999996,4358000,252000,15845000,15845000,-563000,15282000,34862000,356486000,24706000,0.34053,0.07468,0.01993,0.00888,0.00384,5.11194,1.12258,1.31206,0.28337,0.2539,0.24597,12.74221,28.5845,1.29792,0.00484,0.02476,6.26005,12.04869
"27","2017_Q4",84.034126984127,"Up",245146000,-159118000,86028000,-63826000,-49431000,-14395000,22202000,-2577000,-2577000,19625000,-420000,19205000,-5186000,14019000,14019000,14019000,14019000,158472000,158472000,183838000,183838000,267191000,64041000,47066000,673542000,161081000,401114000,120575000,241727000,38812000,562195000,1235737000,110960000,80279000,30681000,141856000,116384000,348226000,240018000,93181000,64581000,333199000,681425000,216220000,358517000,-20425000,554312000,554312000,1235737000,14019000,16867000,5830000,-2810000,33906000,-8949000,-8949000,-7650000,10569000,1620000,22745000,-37590000,3496000,-15752000,19774000,19774000,450000,20224000,39069000,335428000,32496000,0.35093,0.09057,0.05719,0.02529,0.01134,2.318,1.93421,1.22932,0.27144,0.7412,0.71837,12.96109,29.30697,1.71809,0.01426,0.03306,4.52932,7.97027
"28","2018_Q1",64.8896721311475,"Down",252402000,-165611000,86791000,-59172000,-48032000,-11140000,27619000,-3913000,-3913000,23706000,-24813000,-1107000.00000001,2654000,1547000,1547000,1547000,1547000,169650000,169650000,206526000,206526000,248510000,28314000,28314000,6.53e+08,141539000,435548000,118450000,242129000,74969000,577087000,1230087000,110742000,76121000,34621000,129996000,129996000,346134000,241750000,72990000,52309000,314740000,660874000,222529000,363872000,-17188000,569213000,569213000,1230087000,1547000,19193000,4896000,-15028000,10608000,-6230000,-6230000,-5117000,-7.45058059692383e-09,-6230000.00000001,8919000,-2296000,-2296000,6460999.99999999,10839000,10839000,339000,11178000,46812000,347146000,22900000,0.34386,0.10942,0.00613,0.00272,0.00126,14.80284,1.88655,1.16103,0.28221,0.0828,0.07735,13.50899,30.46526,1.22565,0.00156,0.02315,3.79168,6.42659
