"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",5.81612903225806,"Down",340179000,-170478000,169701000,-117985000,-108520000,-9465000,51716000,-19000,-19000,51697000,51697000,-19486000,32211000,32211000,32211000,32211000,93713000,93713000,91144000,78748000,12396000,10919000,45902000,15784000,241678000,77521000,386830000,132850000,211373000,23798000,464351000,706029000,110009000,24679000,85330000,130592000,95727000,34865000,240601000,96768000,67002000,96768000,337369000,188601000,227013000,-46954000,368660000,368660000,706029000,32211000,9465000,4831000,46507000,-4335000,-386000,139000,-4582000,-11673000,-11574000,30351000,30351000,1302000,31653000,61181000,0,0.49886,0.15203,0.09469,0.08737,0.04562,1.00448,0.91512,0,0.06534,0.06534,0.69009,0.74787,0.02368,6,0.09429,0.36239,-1.53173,-1.81207
"12","2013_Q1",6.30766666666667,"Up",306393000,-163025000,143368000,-107886000,-98076000,-9810000,35482000,76000,76000,35558000,35026000,-12112000,22914000,22914000,22914000,22914000,65082000,65082000,80743000,68920000,11823000,11847000,48320000,14982000,205992000,82263000,404251000,141789000,212477000,23144000,486514000,692506000,109060000,24854000,84206000,119356000,87753000,31603000,228416000,109134000,65863000,109134000,337550000,191171000,220752000,-56967000,354956000,354956000,692506000,22914000,9229000,-3454000,21807000,-5909000,-14545000,-511000,-20965000,-29174000,-28974000,-28132000,-28132000,-499000,-28631000,44711000,0,0.46792,0.11581,0.07479,0.06455,0.03309,0.90183,0.95096,-3.3881317890172e-21,0.04649,0.0465,0.6217,0.72024,0.0592,5,0.11224,1.2732,-1.45561,-1.83423
"13","2013_Q2",6.30671875,"Down",299714000,-155606000,144108000,-109028000,-99134000,-9894000,35080000,45000,45000,35125000,35125000,-11946000,23179000,23179000,23179000,23179000,82479000,82479000,79092000,68194000,10898000,11801000,51834000,18995000,225206000,83295000,398937000,136458000,212280000,23617000,482232000,707438000,98225000,23078000,75147000,135633000,96251000,39382000,233858000,108614000,65597000,108614000,342472000,191925000,230785000,-57744000,364966000,364966000,707438000,23179000,9894000,5713000,38786000,-4739000,-929000,56000,-5612000,-17624000,-14938000,18236000,18236000,-839000,17397000,44974000,0,0.48082,0.11704,0.07734,0.06351,0.03276,0.963,0.93837,0,0.04696,0.04696,0.60726,0.73947,0.03571,5,0.08616,0.76034,-1.83393,-2.35117
"14","2013_Q3",6.75421875,"Up",350798000,-174361000,176437000,-119286000,-109518000,-9768000,57151000,127000,127000,57278000,57278000,-21284000,35994000,35994000,35994000,35994000,91597000,91597000,91458000,79015000,12443000,12117000,62620000,28321000,257792000,84470000,394807000,131122000,212004000,25436000,479277000,737069000,114204000,30724000,83480000,132862000,100057000,32805000,247066000,105196000,62933000,105196000,352262000,194296000,249590000,-59079000,384807000,384807000,737069000,35994000,9768000,-11407000,34355000,-4875000,-1688000,177000,-6386000,-17817000,-17365000,10604000,10604000,-1486000,9118000,66919000,2.27373675443232e-13,0.50296,0.16292,0.10261,0.09354,0.04883,1.04341,0.91543,0,0.07294,0.07294,0.7109,0.77982,0.03611,5,0.10982,0.495,-1.36877,-1.60272
"15","2013_Q4",7.35828125,"Up",362155000,-181135000,181020000,-123104000,-113028000,-10076000,57916000,101000,101000,58017000,58017000,-21817000,36200000,36200000,36200000,36200000,116734000,116734000,93642000,80902000,12740000,11836000,54469000,19804000,276681000,85348000,398835000,134763000,212201000,25968000,484183000,760864000,116352000,26106000,90246000,132207000,100114000,32093000,248559000,105013000,63504000,105013000,353572000,196843000,268667000,-58218000,407292000,407292000,760864000,36200000,10076000,8102000,54378000,-3680000,-9526000,195000,-13011000,-17696000,-17293000,24074000,24074000,1063000,25137000,67992000,0,0.49984,0.15992,0.09996,0.08888,0.04758,1.11314,0.8681,0,0.07346,0.07346,0.73494,0.82654,0.03591,7,0.1052,0.48884,-1.71688,-2.01557
"16","2014_Q1",7.74606557377049,"Up",324707000,-167357000,157350000,-116441000,-106608000,-9833000,40909000,112000,112000,41021000,41186000,-13229000,27957000,27957000,27957000,27957000,118216000,118216000,85069000,72849000,12220000,12251000,58906000,19388000,274442000,87215000,377560000,128569000,211847000,25487000,464775000,739217000,1.15e+08,23194000,91806000,120792000,91014000,29778000,235792000,65170000,64479000,65170000,300962000,199629000,270397000,-31771000,438255000,438255000,739217000,27957000,9566000,1306000,35146000,-4864000,-489000.000000004,-428000,-5781000,-26244000,-26057000,3308000,3308000,-1826000,1482000,50475000,-1.4210854715202e-14,0.48459,0.12599,0.0861,0.06379,0.03782,1.16392,0.68673,0,0.05679,0.05679,0.65956,0.8902,0.05331,7,0.10766,0.93873,-2.34207,-2.88973
"17","2014_Q2",7.99444444444444,"Up",313388000,-161308000,152080000,-111046000,-100832000,-10214000,41034000,76000,76000,41110000,41358000,-15592000,25766000,25766000,25766000,25766000,83129000,83129000,86537000,75307000,11230000,12688000,58650000,19087000,241004000,92026000,432631000,157014000,235257000,25357000,524657000,765661000,109779000,26581000,83198000,140723000,98461000,42262000,250502000,65393000,64935000,65393000,315895000,200017000,279986000,-30237000,449766000,449766000,765661000,25766000,10214000,5202000,41182000,-5066000,-53575000,446000,-58195000,-21941000,-18555000,-35568000,-35568000,481000,-35087000,51248000,0,0.48528,0.13094,0.08222,0.05729,0.03365,0.96208,0.70235,0,0.05229,0.03486,0.63604,0.91283,0.04453,5,0.09261,0.85155,-1.62209,-2.02586
"18","2014_Q3",7.8153125,"Down",369357000,-182642000,186715000,-121360000,-110752000,-10608000,65355000,86000,86000,65441000,65671000,-24811000,40860000,40860000,40860000,40860000,101519000,101519000,98977000,86156000,12821000,13136000,59833000,19052000,273465000,94678000,436446000,139231000,255515000,26743000,531124000,804589000,115592000,27972000,87620000,143839000,105455000,38384000,259431000,69616000,69141000,69616000,329047000,203291000,299975000,-27531000,475542000,475542000,804589000,40860000,10608000,-2639000,48829000,-6405000,-6085000,662000,-11828000,-21460000,-20391000,16610000,16610000,1780000,18390000,75963000,8.88178419700125e-16,0.50551,0.17694,0.11062,0.08592,0.05078,1.0541,0.69194,-1.65436122510606e-24,0.08299,0.05533,0.75023,0.96591,0.04359,6,0.11432,0.52521,-1.33643,-1.55335
"19","2014_Q4",8.3915625,"Up",384870000,-188810000,196060000,-130202000,-118765000,-11437000,65858000,-24000,-24000,65834000,65920000,-24799000,41121000,41121000,41121000,41121000,114216000,114216000,100622000,87755000,12867000,12526000,59981000,17701000,287345000,101986000,437303000,150286000,250540000,25944000,539289000,826634000,123391000,26293000,97098000,144466000,104296000,40170000,267857000,67764000,66874000,67764000,335621000,205742000,319691000,-34220000,491013000,491013000,826634000,41121000,11437000,14858000,67416000,-10952000,0,-46000,-10998000,-38041000,-37963000,18455000,18455000,-5758000,12697000,77295000,0,0.50942,0.17112,0.10684,0.08375,0.04975,1.07276,0.68353,0,0.08357,0.05571,0.78214,0.99785,0.07731,5,0.14167,0.9251,-1.47766,-1.73428
"20","2015_Q1",9.10360655737705,"Up",343951000,-174979000,168972000,-122607000,-111357000,-11250000,46365000,116000,116000,46481000,46535000,-16618000,29917000,29917000,29917000,29917000,108372000,108372000,90088000,77854000,12234000,14078000,71420000,28656000,283958000,101669000,422535000,133472000,255563000,25619000,524204000,808162000,121172000,22878000,98294000,131507000,94056000,37451000,252679000,92807000,63249000,92807000,345486000,281322000,247042000,-65488000,462676000,462676000,808162000,29917000,10018000,-6843000,36719000,-3713000,-3675000,-1062000,-8450000,-29821000,-29610000,-1341000,-1341000,-4503000,-5844000,56383000,0,0.49127,0.1348,0.08698,0.06466,0.03702,1.12379,0.74671,0,0.06091,0.0608,0.70031,0.94205,0.06072,5,0.10754,0.99679,-1.92207,-2.33737
"21","2015_Q2",10.2188888888889,"Up",330909000,-168043000,162866000,-116356000,-105575000,-10781000,46510000,47000,47000,46557000,46612000,-16331000,30281000,30281000,30281000,30281000,93389000,93389000,88487000,76523000,11964000,13766000,59589000,18840000,255231000,105448000,440583000,136635000,269375000,25661000,546031000,801262000,106531000,21426000,85105000,137926000,100104000,37822000,244457000,89825000,63774000,89825000,334282000,280522000,259295000,-72637000,466980000,466980000,801262000,30281000,10781000,2992000,44054000,-8191000,-28245000,269000,-36167000,-23974000,-21693000,-13806000,-13806000,-1177000,-14983000,57291000,0,0.49218,0.14055,0.09151,0.06484,0.03779,1.04407,0.71584,0,0.06158,0.06158,0.67297,0.94969,0.04876,7,0.09744,0.79172,-1.63008,-2.00793
"22","2015_Q3",11.45703125,"Up",392150000,-190209000,201941000,-129867000,-118622000,-11245000,72074000,66000,66000,72140000,72334000,-27261000,45073000,45073000,45073000,45073000,109684000,109684000,102326000,88267000,14059000,14034000,73013000,32377000,299057000,110375000,439329000,132395000,269867000,28453000,549704000,848761000,125192000,28550000,96642000,138743000,107327000,31416000,263935000,87583000,61538000,87583000,351518000,282260000,286892000,-71709000,497243000,497243000,848761000,45073000,11245000,-11117000,45201000,-9212000,-2592000,271000,-11533000,-18392000,-18992000,14676000,14676000,1619000,16295000,83319000,-2.77555756156289e-17,0.51496,0.18379,0.11494,0.09065,0.0531,1.13307,0.70693,0,0.09163,0.09163,0.79725,1.0109,0.03739,7,0.10852,0.40805,-1.31643,-1.52182
"23","2015_Q4",10.87734375,"Down",399746000,-195489000,204257000,-133100000,-121944000,-11156000,71157000,21000,21000,71178000,72433000,-27387000,45046000,45046000,45046000,45046000,134310000,134310000,104993000,90782000,14211000,12964000,66836000,24695000,319103000,115731000,427505000,142640000,248792000,27765000,543236000,862339000,126422000,21092000,105330000,138452000,105725000,32727000,264874000,78035000,53497000,78035000,342909000,285597000,314461000,-80428000,519430000,519430000,862339000,45046000,11156000,-1633000,54569000,-10845000,-554000,1515000,-9884000,-17477000,-17395000,27290000,27290000,-2664000,24626000,82313000,0,0.51097,0.17801,0.11269,0.08672,0.05224,1.20474,0.66016,0,0.09159,0.09159,0.81276,1.0561,0.03553,7,0.10465,0.38798,-1.6317,-1.88752
"24","2016_Q1",10.8831147540984,"Up",362500000,-182235000,180265000,-128941000,-117601000,-11340000,51324000,26000,26000,51350000,51799000,-20050000,31749000,31749000,31749000,31749000,134574000,134574000,93694000,79864000,13830000,12801000,28365000,28365000,269434000,121356000,457861000,138931000,249939000,28326000,579217000,848651000,123400000,24919000,98481000,129586000,96192000,33394000,252986000,71636000,61901000,71636000,324622000,288515000,306892000,-71178000,524029000,524029000,848651000,31749000,8957000,21848000,52532000,-7728000,-2071000,-2559000,-12358000,-39319000,-39136000,1038000,1038000,-774000.000000001,263999.999999996,60281000,4.44089209850063e-16,0.49728,0.14158,0.08758,0.06059,0.03741,1.06502,0.61947,-2.06795153138257e-25,0.06456,0.06456,0.73707,1.06551,0.07995,6,0.11931,1.23843,-2.23244,-2.62205
"25","2016_Q2",11.29734375,"Up",352736000,-177802000,174934000,-123895000,-112255000,-11640000,51039000,50000,50000,51089000,51178000,-19250000,31928000,31928000,31928000,31928000,131238000,131238000,99162000,86012000,13150000,13616000,26105000,26105000,270121000,127427000,475467000,157543000,252618000,28477000,602894000,873015000,118192000,21657000,96535000,144676000,102303000,42373000,262868000,68588000,58991000,68588000,331456000,287169000,315676000,-61286000,541559000,541559000,873015000,31928000,11640000,-2224000,41344000,-8919000,-21109000,93000,-29935000,-30634000,-27615000,-16206000,-16206000,12870000,-3336000,62679000,0,0.49593,0.14469,0.09052,0.05896,0.03657,1.02759,0.61204,0,0.06489,0.06489,0.71688,1.10063,0.06226,4,0.10254,0.95947,-2.09381,-2.57133
"26","2016_Q3",11.7678125,"Up",411133000,-195943000,215190000,-138895000,-126545000,-12350000,76295000,88000,88000,76383000,76962000,-29179000,47783000,47783000,47783000,47783000,126465000,126465000,112222000,96959000,15263000,14635000,33265000,33265000,286587000,133519000,485495000,164604000,254001000,32487000,619014000,905601000,124828000,27628000,97200000,146471000,109733000,36738000,271299000,75982000,66523000,75982000,347281000,289943000,332176000,-63799000,558320000,558320000,905601000,47783000,12350000,-4955000,55178000,-10968000,-13929000,988000,-23909000,-31653000,-31564000,-295000,-295000,-4477999.99999999,-4773000,88645000,-7.105427357601e-15,0.52341,0.18557,0.11622,0.08558,0.05276,1.05635,0.62201,0,0.09722,0.09722,0.83651,1.13598,0.0644,5,0.12523,0.66243,-1.42665,-1.65758
"27","2016_Q4",12.8709523809524,"Up",423994000,-205608000,218386000,-138490000,-125407000,-13083000,79896000,18000,18000,79914000,79966000,-30315000,49651000,49651000,49651000,49651000,139263000,139263000,115097000,99113000,15984000,13787000,31759000,31759000,299906000,134166000,487443000,161885000,260154000,32655000,621609000,921515000,125549000,26436000,99113000,146097000,110848000,35249000,271646000,75640000,69320000,75640000,347286000,292119000,348866000,-66756000,574229000,574229000,921515000,49651000,13083000,-1097000,61637000,-7042000,-5786000,52000,-12776000,-34262000,-33834000,15027000,15027000,-2229000,12798000,92979000,0,0.51507,0.18844,0.1171,0.08647,0.05388,1.10403,0.60479,0,0.10121,0.10121,0.86428,1.17052,0.06984,7,0.12912,0.69006,-1.49779,-1.74305
"28","2017_Q1",14.718064516129,"Up",385614000,-192995000,192619000,-140150000,-126321000,-13829000,52469000,4000,4000,52473000,52530000,-14523000,38007000,38007000,38007000,38007000,142785000,142785000,104458000,88490000,15968000,13724000,29204000,29204000,290171000,133477000,492890000,161776000,255665000,33572000,626367000,916538000,132324000,30284000,102040000,144667000,99820000,44847000,276991000,71002000,68122000,71002000,347993000,295244000,343376000,-70075000,568545000,568545000,916538000,38007000,12821000,8462000,68366000,-3790000,-5484000,-948000,-10222000,-43521000,-43358000,14786000,14786000,-11264000,3522000,65290000,0,0.49951,0.13607,0.09856,0.06685,0.04147,1.04758,0.61208,0,0.07755,0.07755,0.78682,1.16008,0.0888,6,0.12748,1.14508,-2.18694,-2.72132
"29","2017_Q2",16.7298412698413,"Up",375247000,-189163000,186084000,-128925000,-115154000,-13771000,57159000,73000,73000,57232000,57258000,-16988000,40270000,40270000,40270000,40270000,162478000,162478000,100355000,85178000,15177000,14736000,28186000,28186000,305755000,132101000,487009000,159046000,257612000,33937000,619110000,924865000,119222000,31946000,87276000,148293000,104325000,43968000,267515000,73799000,71293000,73799000,341314000,291031000,358588000,-66068000,583551000,583551000,924865000,40270000,13771000,2730000,56771000,-5286000,-3020000,61000,-8245000,-32538000,-32538000,15988000,15988000,3705000,19693000,70930000,0,0.4959,0.15232,0.10732,0.06901,0.04354,1.14295,0.58489,0,0.08211,0.08211,0.76513,1.18986,0.06635,6,0.11076,0.808,-2.29068,-2.84256
"30","2017_Q3",18.0698412698413,"Up",433555000,-204480000,229075000,-143213000,-129667000,-13546000,85862000,190000,190000,86052000,86139000,-32450000,53689000,53689000,53689000,53689000,194837000,194837000,118063000,101229000,16834000,15507000,33219000,33219000,361626000,131443000,487457000,156997000,258263000,37994000,618900000,980526000,132908000,33777000,99131000,154189000,112973000,41216000,287097000,75967000,73835000,75967000,363064000,293930000,387218000,-63686000,617462000,617462000,980526000,53689000,13546000,-4098000,63137000,-5691000,-3145000,234000,-8602000,-25268000,-25268000,29267000,29267000,3092000,32359000,99408000,9.09494701772928e-13,0.52836,0.19804,0.12383,0.08695,0.05476,1.2596,0.58799,-8.470329472543e-22,0.10946,0.10946,0.8839,1.25883,0.05151,7,0.11386,0.47064,-1.95997,-2.26919
"31","2017_Q4",19.1874603174603,"Up",450442000,-218781000,231661000,-149245000,-134932000,-14313000,82416000,79000,79000,82495000,82561000,-31131000,51430000,51430000,51430000,51430000,113396000,113396000,127533000,110325000,17208000,15380000,26617000,26617000,282926000,132865000,630736000,187358000,372924000,37963000,763601000,1046527000,139112000,36195000,102917000,169674000,118950000,50724000,308786000,87302000,85543000,87302000,396088000,296457000,413583000,-59601000,650439000,650439000,1046527000,51430000,14313000,3736000,69479000,-5803000,-121716000,-228000,-127747000,-25569000,-25569000,-83837000,-83837000,2397000,-81440000,96729000,0,0.5143,0.18297,0.11418,0.07907,0.04914,0.91625,0.60895,0,0.10486,0.10486,0.91838,1.32615,0.05213,4,0.10437,0.49716,-1.17231,-1.3759
"32","2018_Q1",20.7103278688525,"Up",414713000,-207519000,207194000,-138630000,-123680000,-14950000,68564000,-83000,-83000,68481000,68544000,-34809000,33735000,33735000,33735000,33735000,107050000,107050000,115065000,97802000,17263000,14983000,25697000,25697000,262795000,134088000,636780000,214417000,346514000,39834000,770868000,1033663000,127195000,26161000,101034000,167374000,109029000,58345000,294569000,85170000,85170000,85170000,379739000,408393000,291487000,-45956000,653924000,653924000,1033663000,33735000,13903000,24624000,45983000,-7011000,-2308000,-262000,-9580999.99999997,-46888000,-46888000,-10486000,-10486000,4139000,-6347000,82467000,-1.45519152283669e-11,0.49961,0.16533,0.08135,0.05159,0.03264,0.89213,0.58071,0,0.06878,0.06878,0.84553,1.33323,0.0956,4,0.10908,1.38989,-1.29809,-1.56131
