"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q1",14.9070491803279,"Down",7880000,-28626000,-8708000,-19918000,-20746000,1680000,1680000,-19066000,-19066000,-19066000,-19066000,-19066000,-19066000,314059000,58856000,7547000,7547000,3371000,3371000,324977000,17061000,5277000,5277000,22338000,347315000,13450000,2708000,10742000,27122000,40572000,28823000,28810000,13000,28823000,69395000,478973000,-201025000,277920000,277920000,347315000,-19066000,1227000,2997000,6304000,-8538000,-1461000,-256016000,30162000,30162000,30162000,-234392000,-234392000,-234392000,-19519000,0,-2.63274,-2.41954,-0.0686,-0.0549,8.00988,0.24969,0,-0.43112,-0.43112,0.17818,6.28437,-0.06216,16.08991,15.13829
"12","2019_Q2",15.7203174603175,"Up",10433000,-34242000,-10533000,-23709000,-23809000,1869000,1869000,-21940000,-21940000,-21940000,-21940000,-21940000,-21940000,296582000,47097000,3591000,3591000,3520000,3520000,303693000,16669000,24001000,24001000,40670000,344363000,11422000,3687000,7735000,27812000,39234000,40791000,25659000,15132000,40791000,80025000,487564000,-223285000,264338000,264338000,344363000,-21940000,1300000,3170000,-3983000,-21453000,-1533000,5694999.99999997,3999000,3999000,3999000,-11759000,-11759000,-11759000,-22509000,1.77635683940025e-15,-2.28209,-2.10294,-0.083,-0.06371,7.74056,0.30274,8.27180612553028e-25,-0.48503,-0.48503,0.23064,5.84375,-0.0719,13.17615,12.45672
"13","2019_Q3",15.9440625,"Up",11118000,-38578000,-13118000,-25460000,-27460000,1777000,1777000,-25683000,-25683000,-25683000,-25683000,-25683000,-25683000,271099000,49140000,4188000,4188000,31850000,4710000,307137000,16694000,23871000,23871000,45304000,352441000,13746000,1848000,11898000,24717000,38463000,37112000,22508000,14604000,37112000,75575000,525579000,-248968000,276866000,276866000,352441000,-25683000,1338000,3196000,-6528000,-27677000,-941000,23249000,6471000,6471000,6471000,2043000,2043000,2043000,-26122000,0,-2.46987,-2.31004,-0.09276,-0.07287,7.98526,0.27297,0,-0.56059,-0.56059,0.24268,6.04326,-0.0818,10.37819,9.87251
"14","2019_Q4",13.91375,"Down",10616000,-35944000,-8431000,-27513000,-25328000,1694000,1694000,-23634000,-23634000,-23634000,-23634000,-23634000,-23634000,285922000,38440000,3599000,3599000,6414000,6414000,295935000,17206000,23626000,23626000,50700000,346635000,16192000,4548000,11644000,21327000,37519000,33464000,19322000,14142000,33464000,70983000,547918000,-272602000,275652000,275652000,346635000,-23634000,1383000,2412000,-5609000,-25448000,-1748000,-31652000,46400000,46400000,46400000,-10700000,-10700000,-10700000,-23945000,1.4210854715202e-14,-2.38583,-2.22626,-0.08574,-0.06818,7.8876,0.25751,0,-0.48637,-0.48637,0.21847,5.67271,-0.07646,11.94078,11.28877
"15","2020_Q1",13.4714516129032,"Down",10936000,-40707000,-8976000,-31731000,-29771000,1495000,1495000,-28276000,-28276000,-28276000,-28276000,-28276000,-28276000,279726000,57226000,4620000,4620000,5135000,5135000,289481000,17996000,22057000,22057000,44799000,334280000,17214000,3941000,13273000,18419000,35633000,28766000,16136000,12630000,28766000,64399000,570498000,-300878000,269881000,269881000,334280000,-28276000,1566000,2589000,-4541000,-28662000,-2572000,27884000,19564000,19564000,19564000,18786000,18786000,18786000,-28205000,0,-2.72229,-2.58559,-0.10477,-0.08459,8.12396,0.23862,0,-0.573,-0.573,0.22161,5.46905,-0.09468,9.9176,9.39592
"16","2020_Q2",16.9884126984127,"Up",12916000,-45964000,-11314000,-34650000,-33048000,1242000,1242000,-31806000,-31806000,-31806000,-31806000,-31806000,-31806000,250259000,80993000,13368000,13368000,6133000,6133000,269760000,17251000,27741000,27741000,44992000,314752000,16972000,3870000,13102000,18332000,35304000,31689000,13020000,18669000,31689000,66993000,580070000,-332684000,247759000,247759000,314752000,-31806000,1541000,3957000,-12237000,-38545000,-845000,57448000,4864000.00000001,4864000.00000001,4864000.00000001,23767000,23767000,23767000,-31507000,-2.27373675443232e-13,-2.55869,-2.46253,-0.12837,-0.10105,7.64106,0.2704,2.11758236813575e-22,-0.62993,-0.62993,0.25581,4.90699,-0.11382,7.94297,7.57259
"17","2020_Q3",20.8509375,"Up",16263000,-49297000,-11526000,-37771000,-33034000,641000,641000,-32393000,-32393000,-32393000,-32393000,-32393000,-32393000,436804000,361687000,3864000,3864000,5699000,5699000,446367000,16402000,28061000,28061000,44463000,490830000,15381000,7000,15374000,43761000,59142000,80101000,62752000,17349000,80101000,139243000,716509000,-365077000,351587000,351587000,490830000,-32393000,1566000,4696000,83548000,57417000,-1036000,92963000,132225000,132225000,132225000,282605000,282605000,282605000,-31468000,0,-2.03124,-1.99182,-0.09213,-0.066,7.54738,0.39604,0,-0.60678,-0.60678,0.30464,6.58588,-0.07504,13.88089,13.22286
"18","2020_Q4",36.31328125,"Up",22220000,-50322000,-10566000,-39756000,-28102000,262000,262000,-27840000,-27840000,-27840000,-27840000,-27840000,-27840000,407947000,179746000,1217000,1217000,7086000,7086000,416250000,15612000,26693000,26693000,42305000,458555000,27123000,7775000,19348000,28742000,55865000,73070000,57070000,1.6e+07,73070000,128935000,722506000,-392917000,329620000,329620000,458555000,-27840000,1602000,5473000,-7793000,-28558000,-698000,-153980000,596999.99999997,596999.99999997,597000.00000003,-181941000,-181941000,-181941000,-26500000,3.63797880709171e-12,-1.26472,-1.25293,-0.08446,-0.06071,7.451,0.39116,3.3881317890172e-21,-0.47365,-0.47365,0.37803,5.60788,-0.06914,15.39423,14.51665
"19","2021_Q1",67.1219672131148,"Up",6595000,-48994000,-10763000,-38231000,-42399000,207000,207000,-42192000,-42192000,-42192000,-42192000,-42192000,-42192000,597371000,160020000,2130000,2130000,17016000,17016000,616517000,15943000,39114000,39114000,59805000,676322000,36014000,10460000,25554000,28240000,64254000,84996000,51387000,33609000,84996000,149250000,962180000,-435109000,527072000,527072000,676322000,-42192000,1602000,6350000,-5986000,-40226000,-1006000,-210918000,234093000,234093000,234093000,-17051000,-17051000,-17051000,-40797000,0,-6.42896,-6.39757,-0.08005,-0.06238,9.595,0.28317,0,-0.68835,-0.68835,0.1076,8.59908,-0.06893,14.64252,14.08927
"20","2021_Q2",77.8674603174603,"Up",6445000,-52870000,-13594000,-39276000,-46425000,220000,220000,-46205000,-46205000,-46205000,-46205000,-46205000,-46205000,584063000,141538000,953000,953000,16068000,16068000,601084000,16157000,82915000,82915000,115807000,716891000,29903000,8688000,21215000,30799000,60702000,110316000,45829000,64487000,110316000,171018000,1027199000,-481314000,545873000,545873000,716891000,-46205000,1591000,7633000,-15395000,-52376000,-2412000,-25542000,58595000,58595000,58595000,-19323000,-19323000,-19323000,-44834000,-5.82076609134674e-11,-7.20326,-7.16912,-0.08464,-0.06445,9.90221,0.31329,-2.71050543121376e-20,-0.82528,-0.82528,0.11512,9.75,-0.07041,13.02723,12.58079
"21","2021_Q3",151.40359375,"Up",6550000,-75567000,-16683000,-58884000,-69017000,211000,211000,-68806000,-68806000,-68806000,-68806000,-68806000,-68806000,529019000,129879000,1993000,1993000,18392000,18392000,549404000,18530000,82047000,82047000,122839000,672243000,44004000,6854000,37150000,29959000,73963000,103467000,40208000,63259000,103467000,177430000,1044946000,-550120000,494813000,494813000,672243000,-68806000,1634000,12273000,1918000,-52981000,-2938000,33260000,7133000,7133000,7133000,-12588000,-12588000,-12588000,-67383000,0,-10.53695,-10.50473,-0.13905,-0.10235,7.42809,0.35858,0,-1.01671,-1.01671,0.09679,7.31161,-0.11501,7.85093,7.66505
"22","2021_Q4",125.27453125,"Down",7204000,-79197000,-18711000,-60486000,-71993000,349000,349000,-71644000,-71644000,-71644000,-71644000,-71644000,-71644000,798267000,334736000,2491000,2491000,14016000,14016000,814774000,19946000,86953000,86953000,520187000,1334961000,32103000,7470000,24633000,65464000,97567000,130296000,63023000,67273000,130296000,227863000,1729036000,-621764000,1107098000,1107098000,1334961000,-71644000,1786000,17512000,-12676000,-65022000,-4538000,-399381000,668680000,668680000,668680000,204277000,204277000,204277000,-70207000,-4.65661287307739e-10,-9.99348,-9.94503,-0.06471,-0.05367,8.35092,0.20582,-4.33680868994202e-19,-1.05865,-1.05865,0.10645,16.35904,-0.0579,11.37019,11.08812
"23","2022_Q1",84.7245161290323,"Down",12854000,-93269000,-22108000,-71161000,-80415000,-822000,503000,-81237000,-81237000,-81237000,-81237000,-81237000,-81237000,748688000,123406000,2031000,2031000,18584000,18584000,769303000,20968000,79143000,79143000,525161000,1294464000,52962000,9653000,43309000,72871000,125833000,128387000,63476000,64911000,128387000,254220000,1745877000,-703001000,1040244000,1040244000,1294464000,-81237000,1880000,21457000,3249000,-54651000,-2868000,-159115000,2280000,2280000,2280000,-211486000,-211486000,-211486000,-78535000,0,-6.25603,-6.31998,-0.07809,-0.06276,6.11368,0.24438,0,-1.10218,-1.10218,0.1744,14.11342,-0.06951,9.53318,9.3103
"24","2022_Q2",50.78,"Down",11252000,-155498000,-22403000,-133095000,-144246000,-2205000,540000,-146451000,-146872000,-146872000,-146872000,-146872000,-146872000,855251000,133382000,1801000,1801000,18315000,18315000,875367000,23697000,76473000,76473000,327421000,1202788000,53014000,10138000,42876000,9338000,126111000,122923000,49481000,73442000,122923000,249034000,1811689000,-849873000,953754000,953754000,1202788000,-146872000,1754000,82464000,-17147000,-79801000,-46261000,47473000,47320000,47320000,47320000.0000001,14992000,14992000,14992000,-142492000,63759000,-12.81959,-13.05297,-0.15399,-0.12211,6.94124,0.26111,0.05301,-1.96482,-1.96482,0.15053,12.75908,-0.12879,5.55464,5.4871
"25","2022_Q3",62.03546875,"Up",14030000,-112331000,-22132000,-90199000,-98301000,-2549000,703000,-100850000,-100678000,-100678000,-100678000,-100678000,-100678000,874275000,147781000,2854000,2854000,18304000,18304000,895433000,25868000,73775000,73775000,214991000,1110424000,52386000,7515000,44871000,71374000,123760000,106117000,35330000,70787000,106117000,229877000,1840652000,-950551000,880547000,880547000,1110424000,-100678000,1837000,31166000,-17416000,-85091000,-3980000,95345000,5895000,5895000,5895000,16149000,16149000,16149000,-96464000,0,-7.00649,-7.17591,-0.11434,-0.09067,7.23524,0.26106,0,-1.3278,-1.3278,0.18504,11.61319,-0.10204,9.06323,8.89386
