"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"21","2015_Q4",27.90078125,"Up",33831000,-24324000,9507000,-2577000,-2577000,6930000,-229000,-229000,6701000,5711000,-2599000,3112000,3112000,3112000,3112000,18866000,18866000,20384000,20384000,7135000,5458000,1510000,46385000,58997000,98780000,95926000,157777000,204162000,6387000,2574000,3813000,10088000,1555000,16475000,29438000,26068000,3370000,65803000,82278000,56900000,-32426000,97410000,121884000,121884000,204162000,36365000,0.28101,0.20484,0.09199,0.02553,0.01524,2.81548,0.67505,0.17812,0.54368,0.54103,5.91038,21.2935,0.02277,2.52511
"22","2016_Q1",26.776393442623,"Down",14542000,-11788000,2754000,-2449000,-2449000,305000,-558000,-141000,-253000.000000001,-1189000,618000,-571000,3697000,3697000,3697000,21614000,21614000,21300000,21300000,4981000,2608000,1266000,47895000,58131000,98545000,95671000,156676000,204571000,5591000,2799000,2792000,8747000,1346000,14338000,30272000,27688000,2584000,67417000,81755000,57584000,-32948000,98180000,122816000,122816000,204571000,37145000,0.18938,0.02097,0.25423,0.0301,0.01807,3.34042,0.66567,0.18158,0.65111,0.64985,2.56111,21.63015,0.04093,50.92131
"23","2016_Q2",28.8003125,"Up",32745000,-24685000,8060000,-2717000,-2717000,5343000,-189000,-189000,5154000,5154000,-2130000,3024000,3024000,3024000,3024000,15336000,15336000,19519000,19519000,6153000,3574000,1482000,41008000,57924000,110795000,103644000,168719000,209727000,7079000,2840000,4239000,8926000,1508000,16005000,32195000,28253000,3942000,68560000,84565000,58058000,-32635000,99739000,125162000,125162000,209727000,36365000,0.24614,0.16317,0.09235,0.02416,0.01442,2.5622,0.67564,0.17339,0.52582,0.52509,5.69379,21.76352,0.01561,3.9358
"24","2016_Q3",28.5884375,"Down",25585000,-18297000,7288000,-2620000,-2620000,4668000,-172000,-172000,4496000,4491000,-1857000,2634000,4811000,4811000,4811000,17735000,17735000,22190000,22190000,5502000,2606000,1819000,45427000,57816000,110741000,103459000,168557000,213984000,7048000,2680000,4368000,8511000,1729000,16637000,33024000,29148000,3876000,68311000,84948000,58587000,-32635000,103084000,129036000,129036000,213984000,36365000,0.28485,0.18245,0.18804,0.03728,0.02248,2.73048,0.65833,0.16994,0.83611,0.83481,4.44647,22.42544,0.02425,3.991
"25","2016_Q4",32.8820634920635,"Up",29878000,-21775000,8103000,-2728000,-2728000,5375000,-187000,-187000,5188000,6581000,-2678000,3903000,5414000,5414000,5414000,22714000,22714000,21747000,21747000,4868000,1925000,1771000,49329000,57627000,110847000,103493000,168474000,217803000,6145000,2575000,3570000,8094000,1683000,15317000,33976000,29918000,4058000,69263000,84580000,59124000,-32641000,106740000,133223000,133223000,217803000,36365000,0.2712,0.1799,0.1812,0.04064,0.02486,3.22054,0.63488,0.16696,0.94075,0.93928,5.19166,23.14909,0.0266,2.53972
"26","2017_Q1",35.3074193548387,"Up",30747000,-22042000,8705000,-2915000,-2915000,5790000,-196000,-196000,5594000,5557000,-2208000,3349000,4937000,4937000,4937000,26697000,26697000,17735000,17735000,8340000,2397000,1318000,52772000,49174000,118052000,92597000,167226000,219998000,4816000,1618000,3198000,11229000,1304000,16045000,33684000,29741000,2885000,68971000,85016000,59631000,-33382000,108733000,134982000,134982000,219998000,35287000,0.28312,0.18831,0.16057,0.03658,0.02244,3.289,0.62983,0.1604,0.85356,0.8515,5.31587,23.33714,0.03865,1.48359
"27","2017_Q2",35.2866666666667,"Down",26155000,-21340000,4815000,-2863000,-2863000,1952000,-208000,-208000,1744000,1765000,-718000,1047000,1938000,1938000,1938000,30580000,30580000,19183000,19183000,4754000,2802000,1952000,54517000,56319000,110731000,103324000,167050000,221567000,7559000,2681000,4878000,7507000,1916000,15066000,34153000,30167000,3986000,70518000,85584000,60202000,-33121000,108902000,135983000,135983000,221567000,36365000,0.18409,0.07463,0.0741,0.01425,0.00875,3.61855,0.62937,0.16413,0.33443,0.33368,4.51337,23.46557,0.00938,2.96363
"28","2017_Q3",30.0461904761905,"Down",30261000,-21426000,8835000,-2880000,-2880000,5955000,-229000,-229000,5726000,5647000,-2272000,3375000,4534000,4534000,4534000,30228000,30228000,17186000,17186000,26941000,2181000,1935000,74355000,49865000,102658000,94439000,152523000,226878000,5598000,2287000,3311000,12183000,1621000,17781000,34491000,31422000,3069000,69778000,87559000,61603000,-33948000,111664000,139319000,139319000,226878000,35287000,0.29196,0.19679,0.14983,0.03254,0.01998,4.18171,0.62848,0.15553,0.78132,0.78092,5.21472,24.0081,0.02168,0.84954
"29","2017_Q4",31.4695238095238,"Up",30269000,-21755000,8514000,-3132000,-3132000,5382000,-254000,-254000,5128000,5255000,-2290000,2965000,33416000,33416000,33416000,81035000,81035000,18880000,18880000,3747000,2026000,1721000,103662000,56345000,117947000,102530000,174292000,277954000,28559000,2211000,26348000,8522000,1394000,47368000,34031000,31762000,2269000,59031000,106399000,62232000,-33985000,143308000,171555000,171555000,277954000,35287000,0.28128,0.17781,1.10397,0.19478,0.12022,2.18844,0.6202,0.12695,5.75443,5.75443,5.2125,29.54279,0.13873,-8.50019
"30","2018_Q1",29.1877049180328,"Down",31464000,-23238000,8226000,-2782000,-2782000,5444000,-212000,-212000,5232000,3659000,11200000,14859000,14829000,14829000,14829000,53030000,53030000,19307000,19307000,3837000,2517000,1320000,76174000,56235000,116360000,100802000,172595000,248769000,11978000,2206000,3243000,8927000,1091000,20905000,23399000,21072000,2327000,48399000,69304000,62751000,-34894000,151608000,179465000,179465000,248769000,2.5e+07,0.26144,0.17302,0.4713,0.08263,0.05961,3.64382,0.38617,0.10049,2.55364,2.55364,5.41829,30.90494,0.07285,-5.14879
