"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",2.85578125,"Down",136073000,-86215000,49858000,-42459000,-42459000,7399000,-5487000,-5487000,1912000,1912000,-1874000,38000,38000,-418000,-380000,-380000,15457000,15457000,231863000,231863000,28795000,12075000,3537000,11097000,276115000,11076000,7626000,141706000,26322000,82587000,14388000,18409000,160408000,436523000,101992000,95115000,6877000,20899000,23492000,18245000,5247000,146383000,103563000,47893000,15609000,16901000,15383000,151456000,297839000,130540000,-27766000,45029000,-22888000,124915000,13769000,138684000,436523000,38000,2539000,3873000,-14317000,-7867000,-1028000,-10358000,14156000,12000,12000,14168000,-4057000,-4057000,2798000,-1259000,9938000,124462000,-3533000,0.36641,0.05438,-0.00279,-0.00274,-0.00087,9.29737,1.88625,2.14761,0.28512,-0.00983,-0.00983,3.51937,3.23078,-0.09138,-0.00122,-0.01136,10.9685,14.7324
"12","2013_Q3",2.936875,"Up",148464000,-95394000,53070000,-43230000,-43230000,9840000,-6281000,-6281000,3559000,3558999.99999999,-2288000,1271000,1271000.00000001,-552000,719000,719000,21825000,21825000,235964000,235964000,36350000,14192000,3830000,16749000,294139000,10527000,7741000,133586000,26418000,81410000,13660000,12098000,151854000,445993000,99890000,95318000,4572000,23823000,25742000,16728000,9014000,149455000,109763000,49095000,15102000,17496000,16497000,158858000,308313000,132646000,-27766000,45748000,-25099000,125529000,12151000,137680000,445993000,1271000,2657000,3530000.00000001,-5740000,1718000,-265000,462000.000000002,5551000,61000,61000,5612000,7792000,7792000,-1424000,6368000,12497000,133586000,8780000,0.35746,0.06628,0.00484000000000003,0.00521999999999997,0.00161000000000001,12.2114,1.96808,2.23934,0.29952,0.0185200000000001,0.0184599999999997,3.82383,3.23312,0.22614,0.00224000000000002,0.02741,8.94303,11.35783
"13","2013_Q4",3.58265625,"Up",147194000,-92747000,54447000,-46195000,-46195000,8252000,-5489000,-5489000,2763000,2763000,179000,2942000,2942000,-386000,2556000,2556000,26639000,26639000,236014000,236014000,35601000,14885000,4165000,14456000,298254000,10685000,8025000,134193000,25141000,83112000,12983000,12957000,152903000,451157000,99310000,94497000,4813000,20583000,29668000,19355000,10313000,149561000,111647000,47453000,16720000,18288000,12445000,159100000,308661000,134267000,-27766000,48304000,-24321000,130484000,12012000,142496000,451157000,2942000,2725000,5493000,3874000,15034000,-851000,-854000,-2692000,0,0,-2692000,11488000,11488000,-6674000,4814000,10977000,132230000,13821000,0.3699,0.05606,0.01736,0.01794,0.00567,5.40728,1.9942,2.1661,0.29309,0.06494,0.06422,3.73997,3.31539,0.35117,0.00793,0.0429,9.61929,12.79581
"14","2014_Q1",4.5783606557377,"Up",144950000,-86295000,58655000,-49448000,-49448000,9207000,-5607000,-5607000,3600000,3600000,-2367000,1233000,1233000,-566000,667000,667000,30381000,30381000,174685000,174685000,40572000,12514000,4460000,16258000,245638000,10613000,5984000,131241000,24964000,85853000,10511000,9913000,147838000,393476000,90338000,80894000,9444000,18974000,29812000,17557000,12255000,139124000,114285000,43211000,16261000,19672000,7278000,157496000,296620000,136904000,-27766000,422000.000000007,-24591000,84969000,11887000,96856000,393476000,1233000,2835000,1295000,7185000,12548000,-13682000,-4076000,-1212000,85000.0000000001,84999.9999999999,-1127000,7345000,7345000,-3603000,3742000,12042000,133259000,7912000,0.40466,0.06352,0.00459999999999999,0.00689,0.0017,11.86207,1.7656,3.06248,0.33867,0.01687,0.01672,3.66544,2.14867,0.20008,0.00244,0.02895,8.54327,11.17389
"15","2014_Q2",6.35031746031746,"Up",150013000,-91354000,58659000,-47711000,-47711000,10948000,-5076000,-5076000,5872000,5872000,-324000,5548000,5548000,-240000,5308000,5308000,29780000,29780000,237432000,237432000,30056000,12161000,4371000,11765000,297268000,11167000,5932000,139281000,23670000,86995000,13886000,14730000,156380000,453648000,98624000,91302000,7322000,53395000,26951000,16728000,10223000,178970000,85858000,42410000,17426000,17291000,7693000,128268000,307238000,139030000,-28304000,47091000,-23812000,134005000,12405000,146410000,453648000,5548000,2427000,3628000,-16102000,-4499000,-1352000,-1352000,3934000,172000,172000,4106000,-1745000,-1745000,1144000,-601000,13375000,139253000,-3755000,0.39103,0.07298,0.03538,0.03625,0.0117,-0.70742,1.66099,2.09848,0.30696,0.13338,0.13073,3.76964,3.36738,-0.09436,0.01618,-0.01145,8.1849,9.99936
"16","2014_Q3",4.86234375,"Down",159639000,-98370000,61269000,-52614000,-52614000,8655000,-5646000,-5646000,3009000,3009000,-993000,2016000,2016000,-498000,1518000,1518000,26847000,26847000,248556000,248556000,29794000,13618000,4356000,10083000,305197000,11160000,5948000,140620000,22290000,87885000,13955000,16490000,157728000,462925000,105385000,100668000,4717000,53307000,31329000,16885000,14444000,190021000,87578000,37094000,14598000,17100000,5396000,124672000,314693000,140012000,-28304000,48609000,-22248000,138069000,10163000,148232000,462925000,2016000,2437000,4714000,-12298000,-3131000,-1020000,-1020000,-470000.000000002,760999.999999998,761000.000000002,291000.000000001,-3860000,-3860000,927000,-2933000,11092000,140885000,-1233000,0.3838,0.05422,0.00951,0.01024,0.00328,-0.81225,1.60612,2.12298,0.30434,0.03741,0.03569,3.93461,3.40298,-0.03039,0.00465,-0.00378000000000001,10.2811,13.17597
"17","2014_Q4",3.67015625,"Down",161491000,-98842000,62649000,-51352000,-51352000,11297000,-16112000,-16112000,-4815000,-4815000,-3800000,-8615000,-8615000,-351000,-8966000,-8966000,28525000,28525000,251084000,251084000,26153000,11336000,4264000,8817000,305762000,11061000,5566000,143582000,19504000,83072000,13736000,27270000,160209000,465971000,101384000,93626000,7758000,2580000,28470000,15506000,12964000,132434000,125291000,34119000,13846000,15383000,4890000,159410000,291844000,179133000,-28304000,39643000,-25737000,164735000,9392000,174127000,465971000,-8615000,2412000,12490000,-5005000,1282000,2372000,-21000,-23759000,38335000,38335000,4919000,6180000,6180000,-4502000,1678000,13709000,127871000,14876000,0.38794,0.06995,-0.05552,-0.05149,-0.01924,-1.65916,2.30879,1.67604,0.27442,-0.19209,-0.20422,3.45983,3.52933,0.31871,-0.02668,0.04426,7.24677,8.79402
"18","2015_Q1",3.74688524590164,"Up",18205000,-34167000,-15962000,5412000.00000001,5412000.00000001,-10550000,23735000,23735000,13185000,13185000,-4880000,8305000,-10322000,-215000,-10537000,-10537000,30124000,30124000,146035000,146035000,81135000,11582000,3316000,12844000,257294000,8957000,6651000,123170000,10986000,53669000,1797000,56718000,138778000,396072000,83660000,76146000,7514000,6361000,49947000,14339000,35608000,139968000,115163000,24287000,11488000,671000,12128000,139450000,279418000,179918000,-28304000,-33292000,-11612000,106710000,9944000,116654000,396072000,8305000,-325000,-1738000,2e+07,12177000,-3825000,-9817000,660000,2999.99999999255,3000,81999.9999999991,2442000,2442000,-843000,1599000,-10875000,121524000,10180000,-0.87679,-0.57951,-0.5788,-0.09033,-0.0266,-0.96612,1.83823,2.39527,0.30682,-0.20892,-0.20892,0.36095,2.11575,0.20184,-0.04015,0.03879,-8.4046,-8.66351
"19","2015_Q2",4.76904761904762,"Up",170268000,-105556000,64712000,-58923000,-58923000,5789000,-3757000,-3574000,2032000,2032000,-1184000,848000,848000,-146000,702000,702000,25785000,25785000,206833000,206833000,39183000,14235000,4622000,13888000,271801000,14850000,4359000,132724000,16366000,74534000,14122000,27702000,151933000,423734000,106874000,98218000,8656000,4805000,26922000,18758000,8164000,138601000,135145000,35327000,12366000,15991000,6970000,170472000,309073000,180681000,-28304000,-5024000,-40240000,107113000,7548000,114661000,423734000,848000,2440000,-422000,-10895000,-8029000,-5234000,-5234000,12266000,2000,2000,12095000,-1168000,-1168000,-3171000,-4339000,8229000,139950000,-6716000,0.38006,0.034,0.00412,0.00612,0.00166,-9.56695,1.96103,2.69554,0.33028,0.01394,0.01386,3.38014,2.1264,-0.13333,0.00242,-0.02316,13.8735,19.72102
"20","2015_Q3",4.39859375,"Down",181648000,-114310000,67338000,-56652000,-56652000,10686000,-3565000,-3531000,7121000,7121000,-2586000,4535000,4535000,-140000,4395000,4395000,31571000,31571000,237501000,237501000,48828000,13922000,5253000,23211000,317900000,21440000,3927000,133130000,19075000,79990000,14015000,20050000,158497000,476397000,127245000,117163000,10082000,4806000,33557000,19416000,14141000,165608000,148280000,44651000,15267000,17312000,12072000,192931000,358539000,178169000,-28665000,-628999.999999993,-35993000,112882000,4976000,117858000,476397000,4535000,2983000,4409000,-11367000,560000.000000004,-3825000,-8209000,12716000,167000,166999.999999999,12926000,5277000,5277000,509000,5786000,13669000,153086000,1063000,0.37071,0.0588300000000001,0.0242,0.03729,0.00923,0.24187,1.91959,3.04213,0.32134,0.08706,0.08553,3.59806,2.23595,0.02106,0.01393,0.00337000000000001,8.88982,11.37142
"21","2015_Q4",3.48859375,"Down",178935000,-109701000,69234000,-57526000,-57526000,11708000,-4161000,-4147000,7547000,7547000,-4210000,3337000,3337000,-389000,2948000,2948000,23901000,23901000,236824000,236824000,40720000,17769000,3891000,12392000,301445000,22565000,3804000,121742000,16081000,75212000,12496000,17953000,148111000,449556000,114483000,103310000,11173000,2982000,29927000,16194000,13733000,147392000,140492000,43991000,14384000,15745000,13862000,184483000,331875000,187737000,-28665000,2319000,-45694000,115697000,1984000,117681000,449556000,3337000,2863000,11319000,-13642000,3877000,-2388000,-2388000,-10007000,25000,25000,-9982000,-8493000,-8493000,823000,-7670000,14571000,143474000,2751000,0.38692,0.06543,0.01648,0.02505,0.00656,0.93318,2.04519,2.82012,0.31915,0.05766,0.05691,3.49995,2.26302,0.05381,0.00966,0.00902,8.20623,10.21293
"22","2016_Q1",3.25606557377049,"Down",13909000,-43977000,-30068000,452000.000000007,452000.000000007,-29616000,7635000,7641000,-21981000,-21981000,2147000,-19834000,-22398000,-148000,-22546000,-22546000,24089000,24089000,187721000,187721000,83913000,7030000,3187000,13604000,295723000,18822000,4936000,106974000,8878000,49739000,3084000,45273000,130732000,426455000,100014000,91034000,8980000,4357000,40225000,9866000,30359000,144596000,140626000,37296000,15857000,1032000,20407000,177922000,322518000,189204000,-29245000,-47793000,-10589000,101577000,2360000,103937000,426455000,-19834000,-346000,18802000,11434000,4128000,1364000,-3602000,8083000,-376000,204000,7584000,8110000,8110000,-7922000,187999.999999996,-29962000,144983000,-19311000,-2.16177,-2.12927,-1.62096,-0.21692,-0.05287,0.85652,2.04517,3.10301,0.33997,-0.43768,-0.43845,0.27001,1.97187,-0.37488,-0.07877,-0.06747,-4.03491,-4.08205
"23","2016_Q2",4.09015625,"Up",136899000,-93301000,43598000,-37793000,-37793000,5805000,-613000,-628000,5192000,5192000,-456000,4736000,3493000,11000,3504000,3504000,21035000,21035000,243093000,243093000,28165000,10379000,4391000,13395000,292293000,22901000,5544000,118585000,13780000,76503000,19709000,8593000,147030000,439323000,113256000,107606000,5650000,4411000,20078000,10746000,9332000,137745000,141865000,38989000,10070000,16872000,12047000,180854000,318599000,190367000,-29974000,2655000,-45642000,117406000,3318000,120724000,439323000,4736000,1906000,7373000,-10391000,843000,-392000,-406000,471000,96000,96000,567000,1004000,1004000,-4058000,-3054000,7711000,146276000,-2616000,0.31847,0.0424,0.0256,0.02902,0.00798,-0.74658,2.12199,2.63907,0.33296,0.06787,0.06775,2.65149,2.27394,-0.05067,0.01145,-0.00855,16.24186,21.57468
"24","2016_Q3",4.34921875,"Up",132709000,-92354000,40355000,-34323000,-34323000,6032000,-607000,-576000.000000001,5425000,5425000,-2749000,2676000,2102000,28000,2130000,2130000,24922000,24922000,233860000,233860000,24909000,9559000,4854000,10496000,283691000,21931000,4202000,131327000,12644000,76230000,19584000,22869000,157460000,441151000,106789000,102629000,4160000,4238000,19864000,10183000,9681000,130891000,141108000,49053000,19062000,16411000,13580000,190161000,321052000,188406000,-29974000,4145000.00000001,-45082000,117495000,2604000,120099000,441151000,2676000,2303000,431000,3061000,6717000,161000,-449000,-746000,118000,118000,-737000,5531000,5531000,-1644000,3887000,8335000,145346000,14306000,0.30409,0.04545,0.0160499999999996,0.01774,0.00482999999999999,6.71643,2.16738,2.67323,0.32947,0.04118,0.04109,2.56557,2.27144,0.27657,0.00677,0.04549,14.44799,19.96419
"25","2016_Q4",3.97888888888889,"Down",121222000,-82329000,38893000,-46867000,-46867000,-7974000,-618000,-606000,-8592000,-8592000,-2318000,-10910000,-11450000,-96000,-11546000,-11546000,21219000,21219000,229892000,229892000,31122000,11507000,5035000,14580000,282233000,22307000,4738000,130265000,11560000,75899000,19274000,23532000,157310000,439543000,111112000,105825000,5287000,7316000,18362000,8697000,9665000,136790000,146639000,43680000,15254000,16472000,11954000,190319000,327109000,189055000,-29974000,-2721000,-46662000,109698000,2736000,112434000,439543000,-10910000,1480000,12625000,-14391000,-6589000,-1267000,-1563000,8271000,79000,79000,6819000,-1333000,-1333000,-2370000,-3703000,-6494000,153955000,-19834000,0.32084,-0.06578,-0.09525,-0.10269,-0.02627,1.71782,2.06326,2.90934,0.35026,-0.22309,-0.22394,2.34227,2.1196,-0.38324,-0.03724,-0.06397,-20.43979,-16.6461
"26","2017_Q1",4.97322580645161,"Up",125182000,-90959000,34223000,-51699000,-51699000,-17476000,-554000,-545000,-18030000,-18030000,-432000,-18462000,-27881000,-19000,-27900000,-27900000,25637000,25637000,164844000,164844000,75980000,7751000,3554000,10024000,266461000,16389000,3501000,113724000,6006000,50665000,3200000,53853000,133614000,400075000,90554000,85680000,4874000,1983000,46988000,12943000,34045000,139525000,142120000,42078000,22804000,560000,18714000,184198000,323723000,190359000,-30041000,-81349000,-4611000,74358000,1994000,76352000,400075000,-18462000,1576000,9208000,23620000,7927000,-865000,-1632000,-9495000,240000,240000,-9257000,-2962000,-2962000,7380000,4418000,-15900000,144103000,7287000,0.27339,-0.1396,-0.22288,-0.36541,-0.06974,-0.26118,1.90977,4.23988,0.36019,-0.53878,-0.53878,2.41739,1.43593,0.14072,-0.10627,0.02776,-7.45069,-6.77878
"27","2017_Q2",4.53809523809524,"Down",116120000,-78509000,37611000,-33463000,-33463000,4148000,-783000,-749000,3365000,3365000,-1349000,2016000,-2235000,-119000,-2354000,-2354000,20413000,20413000,167289000,167289000,74929000,7799000,2900000,10879000,262631000,15715000,4421000,115152000,5474000,51467000,3176000,55035000,135288000,397919000,92615000,87993000,4622000,4492000,37885000,5094000,32791000,134992000,150808000,38982000,19612000,629000,18741000,189790000,324782000,190869000,-30041000,-83703000,-6168000,70957000,2180000,73137000,397919000,2016000,1595000,-1e+06,-13308000,-16843000,-372000,-495000,10676000,49000,49000,10725000,-6613000,-6613000,635000,-5978000,5743000,155300000,-6588000,0.3239,0.03572,-0.02027,-0.03219,-0.00592,2.79864,1.94553,4.44073,0.39028,-0.04539,-0.04539,2.23911,1.36824,-0.12703,-0.0088,-0.02464,23.4872,32.51856
